NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
1067,AJ네트웍스,095570,B+,C,A,B+,2024,,,,
1066,AK홀딩스,006840,A,A,A+,B+,2024,,,,
1065,BGF,027410,A,A,A+,B+,2024,,,,
1064,BGF리테일,282330,A,A,A+,A,2024,,,,
1063,BGF에코머티리얼즈,126600,B,B,B,B,2024,,,,
1062,BNK금융지주,138930,A,A+,A+,A,2024,,,,
1061,BNK캐피탈,801190,등급없음,등급없음,등급없음,B,2024,,,,
1060,BYC,001460,D,D,D,C,2024,,,,
1059,CJ,001040,A,A,A+,A,2024,,,,
1058,CJ CGV,079160,A,A+,A+,A,2024,,,,
1057,CJ ENM,035760,A,B+,A+,B+,2024,,,,
1056,CJ 바이오사이언스,311690,B+,C,B+,B+,2024,,,,
1055,CJ대한통운,000120,A,A,A+,B+,2024,,,,
1054,CJ씨푸드,011150,B+,A,A,B,2024,,,,
1053,CJ제일제당,097950,A,A,A,B+,2024,,,,
1052,CJ프레시웨이,051500,A,A,A,B+,2024,,,,지배구조 등급조정(2024.10.)
1051,CS홀딩스,000590,C,D,D,B,2024,,,,
1050,DB,012030,C,D,B,C,2024,,,,
1049,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2024,,,,
1048,DB손해보험,005830,B+,A,A,B+,2024,,,,
1047,DB증권,016610,B,C,C,B+,2024,,,,
1046,DB하이텍,000990,C,B+,A,D,2024,,,,
1045,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2024,,,,
1044,DL,000210,A,A,A+,A,2024,,,사회 등급조정(2025.01.),
1043,DL이앤씨,375500,A,A,A+,A,2024,,,,
1042,DN오토모티브,007340,C,C,C,C,2024,,,,
1041,DRB동일,004840,B+,B+,A,B+,2024,,,,
1040,DSR,155660,C,C,C,C,2024,,,,
1039,DSR제강,069730,C,D,D,B,2024,,,,
1038,E1,017940,A,A,A+,B+,2024,,,,
