date,title,content
2024-12-23,택배 배송 중 화재 막은 CJ대한통운 택배기사,CJ대한통운 택배기사가 화재 현장을 발견한 뒤 119에 신고하고 주민들을 직접 대피시켜 큰 피해로 이어지는 것을 막았다.CJ대한통운은 배송 업무 중 주택 화재를 발견하고 신속한 조치로 인명 피해와 화재 확산을 막은 택배기사 배철(46)씨에게 포상했다고 23일 밝혔다.화재 현장을 발견하고 신속히 대처해 큰 피해를 막은CJ대한통운 기사 배철씨 /CJ대한통운경기 남양주 수동면에서CJ대한통운 택배기사로 일하는 배 씨는 지난 13일 배송 업무 중 한 빌라 2층에서 연기가 피어 오르는 것을 발견했다. 연기의 원인을 찾아 나선 배 씨는 2층에서 자욱한 연기와 함께 화재 경보음이 울리는 것을 확인했다. 불이 난 집을 찾아낸 그는 곧바로 119에 신고했다.배씨는 곧 이어 집집마다 문을 두드리며 상황을 알렸다. 원룸 건물 특성 상 화재가 빠르게 퍼질 수 있다는 판단에서였다.대피를 도운 후에는 주민들과 함께 주차된 차량을 이동시켜 소방차 진입을 도왔다. 소방관들이 현장에 신속히 접근할 수 있도록 공용 현관의 잠금 장치도 해제해뒀다. 소방관이 도착하자 배씨는 불이 난 집을 직접 안내했다.배씨의 빠른 판단과 조치 덕분에 화재는 20분 만에 큰 피해 없이 조기 진압될 수 있었다.건물에 거주했던 한 주민은 “타는 냄새가 났지만 화재일 거라고는 생각하지 못했다”며 “택배 기사님의 빠른 대처가 아니었다면 큰 화재로 이어질 뻔했다”고 말했다.CJ대한통운은 배씨의 침착한 대처와 적극적 구호 조치로 큰 화재를 막은 공로를 인정해 포상했다. 남양주소방서도 신속한 판단으로 대형 화재를 막은 배 씨에게 표창을 준비 중인 것으로 알려졌다.12년 째 택배기사로 일을 해 온 배철씨는 “불이 난 걸 본 순간 사람을 구해야겠다는 생각에 몸이 먼저 움직였다”며 “CJ대한통운 택배기사라면 모두 소방안전교육을 받기 때문에 화재 상황 시 누구라도 똑같이 대응했을 것”이라고 말했다. 또 “앞으로도 고객의 소중한 상품과 안전까지 함께 배송하는 동네 지킴이로서 역할을 다하겠다”고 밝혔다.
2024-12-23,최재림 이어 차지연도 뮤지컬 공연 중단… “일시적 과호흡 상태”,"배우 최재림(왼쪽), 차지연/CJENM·뉴시스뮤지컬 업계에서 배우들의 건강 이상으로 공연이 중도 취소되는 일이 잇따라 벌어졌다.23일 공연계에 따르면, 전날 오후 서울 디큐브 링크아트센터에서 진행된 뮤지컬 ‘광화문연가’는 ‘월하’ 역을 맡은 차지연의 건강 이상으로 인해 공연이 중단됐다.제작사CJENM은 “1막 공연 중 차지연 배우에게 일시적인 과호흡 상태가 발생해 공연이 중단됐다”며 “배우는 지체 없이 병원으로 이동했으며 전문의의 소견에 따라 필요한 검사와 조치를 받고 회복하고 있다”고 밝혔다. 제작사 측은 이 공연 예매자들에게 티켓 결재 금액 기준으로 110% 환불이 이뤄질 것이라고 했다.차지연이 출연 중인 또 다른 뮤지컬 ‘명성황후’ 부산 공연도 캐스팅이 변경됐다. 오는 23일과 24일에는 배우 김소현이 차지연을 대신해 명성황후 역을 소화할 예정이다.지난 20일에도 배우 최재림의 컨디션 난조로 인해 뮤지컬 ‘시라노’가 1막 후 무대를 긴급 중단한 바 있다. 최재림은 당시 목소리가 갈라지는 등 목 상태가 좋지 않았던 것으로 전해졌다.이로 인해 성남아트센터에서 진행하는 뮤지컬 ‘킹키부츠’는 지난 21일 배우 강홍석이 최재림 대신 ‘롤라’역으로 무대에 섰다. 뮤지컬 ‘시카고’ 부산 공연의 경우 박건형이 ‘릴리 플린’ 역을 대신 소화했다.최근 배우들의 컨디션 난조로 공연이 갑작스럽게 중단되는 일이 발생하자 뮤지컬 팬들 사이에선 ‘겹치기 출연’을 지적하는 목소리가 커지고 있다. 최재림은 ‘시라노’를 비롯해 뮤지컬 ‘킹키부츠’와 ‘시카고’를 함께 출연하고 있는데, 이런 무리한 일정이 그의 건강 상태에 영향을 미친 것 아니냐는 우려가 나왔다.이와 관련해 최재림 소속사 포킥스 엔터테인먼트는 23일 “공연 현장을 찾아주셨던 관객분들, 이후 예정된 공연을 기다리셨을 많은 관객분들께 고개 숙여 깊은 사과의 말씀드린다”며 “갑작스러운 캐스팅 변경에도 불구하고 많은 도움을 주신 동료 배우들 및 공연 제작사와 스태프 분들께 깊은 감사의 말씀드린다”고 했다.소속사 측은 “현재 최재림 배우는 빠른 회복 중에 있으며 전문가의 소견을 바탕으로 오는 25일에 뮤지컬 ‘시라노’ 무대 복귀를 준비하고 있다”며 “많은 분들의 걱정과 우려 속에, 약속된 공연을 이행하지 못했다는 무거운 마음이다. 이 무거운 마음 잊지 않고 좋은 무대를 보여드릴 수 있도록 최선을 다하겠다”고 했다."
2024-12-20,“첫곡부터 불안불안”… ‘공연 중단’ 최재림 목상태 어땠길래,"뮤지컬 ‘시라노’ 20일 낮 공연 1막 후 취소뮤지컬 '시라노' 출연배우 최재림/CJENM뮤지컬 ‘시라노’ 공연이 출연 배우 최재림의 컨디션 난조로 인해 1막을 마친 뒤 돌연 취소됐다.20일 공연업계에 따르면, 서울 서초구 예술의전당CJ토월극장에서 이날 낮 2시 30분 뮤지컬 ‘시라노’ 공연이 진행됐다. 그러나 주인공 시라노 역의 최재림이 목소리를 제대로 내지 못하면서 공연 중단 결정이 내려졌다. 현장 관계자는 2막 공연 전 무대에 올라와 공연 취소를 알리며 관객에게 사과했다.‘시라노’ 제작사RG컴퍼니와CJENM는 이날 소셜미디어를 통해 이 같은 소식을 알리며 “뮤지컬 시라노를 예매하고, 관람하러 방문해주신 관객분들께 갑작스러운 공연 취소로 불편을 드려 진심으로 죄송하다”고 했다. 이어 “해당 공연의 예매자분들께 티켓 결제 금액 기준으로 110% 환불이 두번의 절차로 진행된다”고 했다.공연 취소 직후 온라인 커뮤니티에는 최재림의 목소리 상태가 불안정했다는 후기들이 올라왔다. 한 네티즌은 “시라노(최재림) 처음부터 음이 아예 안 올라가고 목이 다 갈라졌다. 중간에 좋아지겠지 했는데 기본 대사에서도 목 다 갈라지는 거 듣고 그냥 나왔다”며 “보는 내내 언제 나가지 생각만 했고 넘버가 끝난 뒤 박수소리도 정말 작았다”고 했다.이외에도 “첫 곡부터 불안불안하더니 ‘Alone’에서는 가사의 절반 이상을 날렸다” “리허설 때 정상이었을 리가 없는데 왜 공연을 올렸나” “1막 마지막에는 처절했다. 진짜 우는 줄 알았다” 등의 후기들도 소셜미디어에 올라왔다.최재림이 최근 여러 작품에 출연하면서 목 관리를 제대로 못한 것 아니냐는 반응도 나왔다. 최재림은 뮤지컬 ‘시카고’,뮤지컬 ‘킹키부츠’의 지방 공연과 뮤지컬 ‘시라노’에 출연하고 있다. 내년 3월부터는 ‘지킬앤하이드’에도 합류한다. 이에 뮤지컬 팬들 사이에선 최재림의 ‘겹치기 출연’이 과하다는 지적이 나온 바 있다. 라이브로 진행되는 뮤지컬 특성상 배우의 컨디션이 공연에 큰 영향을 미치기 때문이다.최재림은 지난달tvN‘유퀴즈’에 출연해 자신의 다작 논란에 대해 “분명히 많이 찾아주는 시간이 지나갈 건데, 기회가 있고 시간이 있고 할 수 있는 체력과 의지가 있으면 계속 더 새롭게 보여드리는 마음을 크게 가지고 있어서 올해 특별히 작품에 많이 참여했다”라고 말했다.뮤지컬 ‘시라노’는 스페인과 전쟁 중이던 17세기 프랑스에서 용맹한 가스콘 부대를 이끌었던 콧대 높은 영웅 시라노의 이야기를 다룬 이야기로, 19세기 프랑스 희곡 ‘시라노 드 베르주라크’가 원작이다."
2024-12-04,"CJ대한통운과 손 잡은 SSG닷컴, 충청권도 ‘새벽배송’","SSG닷컴이 충청권까지 새벽배송 서비스 지역을 넓힌다.SSG닷컴 측은 “이번 권역 확대는 신세계그룹과CJ그룹이 맺은 ‘사업제휴 합의(MOU)’ 성과“라며 “CJ대한통운 물류망을 이용해 배송 권역을 추가 확대하는 방안을 지속 모색하겠다”고 밝혔다./SSG닷컴SSG닷컴은 대전광역시, 세종특별자치시를 비롯한 충청권으로 새벽배송을 확대한다고 4일 밝혔다. 9일부터는 동탄을 포함한 화성시 등 경기 남부권에서도 이용 가능하다.SSG닷컴 새벽배송은 밤 11시까지 주문하면 다음날 오전 7시까지 상품을 받아볼 수 있는 서비스다. 최대 3일 뒤까지 원하는 일자를 선택할 수 있고, 일요일에도 배송받을 수 있다. 냉장, 냉동 상품은 보냉재를 함께 담아 적정 온도를 유지한다.SSG닷컴은 핵심 카테고리인 ‘온라인 장보기’를 강화하기 위해 새벽배송 권역을 확대해왔다. 이번 권역 확대로 충청권, 경기 남부권 약 400만 가구가 신선, 가공식품과 생활용품을 빠르게 받아볼 수 있게 될 것으로 보인다.신세계그룹은CJ그룹과 ‘사업제휴 합의(MOU)’를 맺고,CJ대한통운이 보유한 물류 인프라를 기반으로 배송 권역 확대를 추진했다. 새벽배송 상품은CJ대한통운을 통해 배송된다.SSG닷컴 측은 “CJ대한통운과 함께 배송 권역 추가 확대 방안을 지속 모색할 계획”이라고 말했다.SSG닷컴은 다음 달 4일까지 새벽배송 신규 권역 고객을 대상으로 프로모션을 진행한다. 1만 9800원 이상 구매 시 사용 가능한 무료 새벽배송 쿠폰을 2장씩 제공한다. 장보기 상품 최대 50% 할인 쿠폰도 선착순 발급한다. 4만원 이상 구매 고객에게는SSG닷컴이 선정한 인기 가공식품, 생필품 중 고객이 선택한 상품 한 가지를 증정한다."
2024-12-16,[기업 브리핑] CJ푸드빌 뚜레쥬르 새 로고 ‘TLJ’,CJ푸드빌은 베이커리 브랜드 뚜레쥬르의BI(로고)를 리뉴얼했다고 15일 밝혔다. ‘프리미엄 베이커리 카페’를 지향하겠다는 상징성을 담아 뚜레쥬르(TOUSlesJOURS)의 브랜드명을 줄인 ‘TLJ’로 정했다. 새 로고는 지난 13일 문을 연 뚜레쥬르 강남 직영점부터 적용됐다.
2024-12-05,TV홈쇼핑 초유의 ‘블랙아웃’,"CJ온스타일, 케이블 3곳서 방송 중단양측의 송출수수료 갈등이 원인케이블TV홈쇼핑 방송 송출 중단 화면. /뉴시스메이저 홈쇼핑 업체인CJ온스타일이 5일 0시부터 딜라이브, 아름방송, 씨씨에스충북방송 등 3곳의 케이블TV에 방송 송출을 중단했다. 해당 케이블TV가입자가CJ온스타일 채널을 켜면 검은 배경에 방송 중단을 알리는 안내 화면만 나왔다.TV홈쇼핑 업체는 채널을 배정받는 대가로 케이블TV업체에 일종의 ‘자릿세’인 송출 수수료를 지급하는데, 협상이 결렬되면서CJ온스타일이 방송 송출을 끊은 것이다. 국내 4대TV홈쇼핑(CJ,GS,현대, 롯데) 중 수수료 문제로 방송 송출을 중단한 건 이번이 처음이다.TV를 시청하는 사람이 계속 줄면서TV홈쇼핑과 케이블TV업체 간 갈등이 심해지고 있다. 작년에도 현대홈쇼핑이LG헬로비전에, 롯데홈쇼핑은 딜라이브에 송출 중단을 통보했다가 막판에 가까스로 협상을 타결했다. 올해도 여전히 송출 수수료 문제로 줄다리기하는 곳이 많아 케이블TV에 방송 송출을 중단하는 홈쇼핑 업체가 추가될 수 있다는 전망이 나온다.홈쇼핑 업계는 “케이블TV가입자가 감소한 탓에TV방송을 통한 매출이 줄어든 만큼 송출 수수료도 인하해야 한다”는 입장이다. 실제로 홈쇼핑 업체들은 방송으로 물건을 사는 소비자가 줄자TV가 아닌 스마트폰을 활용한 라이브커머스 사업에 더 주력하고 있다.케이블TV업계는 홈쇼핑에서 받는 송출 수수료가 절실한 상황이다. 지난해 케이블TV업계가 홈쇼핑 업체로부터 받은 송출 수수료는 총 7318억원으로, 가입자에게 받는 전체 이용 요금(5830억원)보다 더 많았다. 한국케이블TV방송협회는 “가입자 감소 폭이 크지 않은데도TV홈쇼핑사가 과도한 수수료 인하를 요구하고 있다”고 했다."
2024-12-11,공무원 접고 도전한 ‘48년 식초 명인’… 이젠 아들이 수출,"[명문 장수 기업] (5) 식초 생산 유일한 中企 ‘천연식품’새콤한 맛을 내는 식초는 한식에서 필수 ‘K조미료’ 중 하나로 꼽히지만, 국내에서 식초를 자체 생산하는 기업은 그리 많지 않다. 딱 네 곳만이 국내에서 식초를 만든다. 이 중 세 곳이CJ제일제당·대상·오뚜기 등 대기업들이고, 나머지 한 곳이 중소기업인 경북 영천의 천연식품이다.임경만 천연식품 회장이 지난 여름 경북 영천 천연식품 본사에서 보리식초를 숙성하는 옹기를 살펴보고 있다. 천연식품은 우리나라에서 유일하게 식초를 직접 생산하고 판매하는 중소기업이다. 조선시대 식초 발효법에서 아이디어를 얻어 자체 개발한 보리식초는 천연식품의 주력 상품으로 꼽힌다. /천연식품식초가 대량 생산하기엔 까다로운 발효 식품이라서 남다른 노하우가 필요하고, 제품 단가가 높지 않아 수익을 내는 것도 쉽진 않다. 이 호락호락하지 않은 환경 속에서 천연식품은 48년 동안 식초를 빚고 판매해왔다. 지난해 매출은 90억원으로 현재 국내 식초 시장에선 점유율 6% 정도를 차지한다. 현재 자체 제품 외에도 샘표·사조·풀무원·롯데웰푸드 등 여러 기업의 식초 제품을OEM(주문자 상표 부착 생산) 방식으로 생산하고 있다. 지난 2019년엔 창립자인 임경만(81) 회장이 농림축산식품부 ‘식품 명인’에 선정되기도 했다.본래 임 회장의 첫 직장은 국세청이었다. 세무 공무원으로 사회 생활을 시작해 8년 이상 공무원으로 일했다. 그러던 중 “너만의 업(業)을 하라”는 부친의 조언을 듣고 시작한 게 식초 개발이었다. 왜 하필 식초였을까. 임 회장은 “어린 시절 어머니를 도와 식초를 빚어보기도 했고, 세무 공무원 시절에도 주세(酒稅)를 부과하기 위해 양조 지식을 습득했기 때문에 식초를 직접 만들 수 있을 것이라고 생각했다”고 했다. 술을 빚은 후 발효 과정을 한 번 더 거쳐 알코올이 초산(醋酸)으로 변하면 식초가 된다.막상 뛰어든 식초 개발은 그러나 실패의 연속이었다. 공무원 시절에 만났던 동료 도움을 받아 일본산(産) 식초 발효기까지 구했지만 정작 식초 발효에 필수적인 초산균(醋酸菌)이 없어 식초를 만들지 못했다고 했다. 균을 자체 배양하기 위해 온갖 실험을 하면서 밤잠을 설쳤지만 쉽게 성공하진 못했다. 수소문 끝에 일본산 식초 균주를 분양받았고, 이후 반년간 연구·개발 과정을 또다시 거듭해야 했다. 그렇게 1977년 첫 제품인 ‘천연양조식초’를 출시했다. 이는 1969년 ‘환만식초’ 후 국내 기업이 개발한 두 번째 식초이기도 하다. 천연식품은 이후 샘표, 이마트 같은 다른 유통 업체들과OEM계약을 체결하고 제품을 판매하면서 본격적인 궤도에 오르게 됐다.중소기업인 덕분에 오히려 그만큼 다양한 식초 제품을 생산, 납품할 수 있었던 것도 천연식품의 경쟁력을 키웠다. 다른 식품 기업들은 양조식초처럼 일반 제품을 대규모로만 판매, 생산하지만, 천연식품의 경우엔 현미식초·사과식초·마늘식초처럼 시장에서 널리 판매되는 주요 제품을 만드는 것은 물론이고, 거래처 요구에 따라 ‘뽕나무 식초’ 같은 제품을 소량 생산하는 주문도 소화하는 것이다.2016년부터 천연식품에 합류해 회사를 경영하고 있는 임 대표 아들 임재성 천연식품 전무./김동환 기자자체 브랜드도 직접 개발했다. 보리를 볶은 후 발효시키는 조선시대 식초 제조법을 재현해 2018년 출시한 ‘보리식초’다. 현재 천연식품의 주력 제품으로 꼽힌다. 이 제품으로 임 회장은 2019년 농림축산식품부 ‘식품 명인’에 선정되기도 했다. 임 회장은 “어린 시절 어머니와 함께 빚었던 기억을 되살려 만든 제품이 보리식초”라면서 “그 특유의 은은한 향과 맛을 알리고 싶었는데 식품 명인으로도 선정돼 기쁘다”고 했다.현재 천연식품은 임 회장의 아들 임재성(47) 전무가 대를 이어 맡고 있다. 임 전무는 금융 공기업에 다니다가 2016년부터 천연식품에 합류했다. 3년간의 현장 경험을 거쳤고 현재 생산 물량 확대와 수출 판로 개척에 힘쓰고 있다. 임 전무는 “생산 가능한 물량을 기존 대비 2배로 늘렸고, 거래처도 50% 정도 새로 뚫었다”고 했다.임 회장 부자는 최근 식초 음료도 새롭게 개발해 일본·미국 등에서 수출을 시작했다. 현재 ‘선드럭’ 등 일본의 유명 드럭스토어가 내놓는 식초 음료PB상품을OEM방식으로 생산·수출하고 있고, 앞으로 더 다양한 제품을 만들어 수출 물량을 키우겠다는 계획을 갖고 있다. 임 전무는 “식초를 활용한 소스, 음료까지 새로운 제품을 계속해서 개발해 해외 시장을 더욱 적극적으로 확대해 나가겠다”고 말했다."
2024-12-05,아마존 인증 또 취득 클라우드 사업 확대,"CJ올리브네트웍스 밝혀CJ올리브네트웍스가 네이버 클라우드·아마존 웹서비스(AWS)의 핵심 기술 역량을 확보하며 클라우드(가상 서버) 사업을 본격 확대한다.CJ올리브네트웍스는 아마존 웹서비스(AWS) 인증인 ‘데브옵스 컨설팅 컴피턴시’ 자격을 신규 취득했다고 4일 밝혔다. 이번 인증은 소프트웨어 개발 수명 주기의 각 단계를 최적화해 고객의 클라우드 서비스를 더 전문적으로 제공할 능력이 입증됐다는 의미다. 앞서CJ올리브네트웍스는AWS‘리테일 컴피턴시’와 ‘보안 컴피턴시’를 받았다.CJ올리브네트웍스는 네이버 클라우드 전문가 인증인 ‘서버리스 마스터’ ‘서포트 마스터’ 등도 받았다.CJ올리브네트웍스는 “클라우드 분야 마스터(전문가) 확보로 경쟁력 있는 서비스 제공이 가능해졌다”고 했다.CJ올리브네트웍스는MSP(관리형 서비스 제공사),SaaS(서비스형 소프트웨어) 등 주요 클라우드 서비스 분야의 대외 사업을 확대하고 있다. 그룹 주요 계열사뿐 아니라GS칼텍스 등 다양한 대외 고객사의AWSMSP업무를 수행 중이다. 내년 상반기에는 자체 개발한SaaS웹사이트와 웹사이트 내SaaS서비스 8종을 공개할 예정이다."
2024-11-19,"허민회, CJ 지주사 경영지원대표로 돌아왔다","2025 정기 임원 인사 발표CJ그룹이 18일 지주사인CJ주식회사의 경영지원대표로 허민회(62)CJCGV대표이사를 선임하는 등 2025 정기 임원 인사를 발표했다. 허 대표가 맡았던CGV의 신임 대표이사에는 정종민(53)CGV터키 법인장이,CJENM커머스 부문 대표에는 이선영(49)ENM커머스 부문 사업총괄이 지명됐다.허민회CJ주식회사 경영지원대표이날CJ그룹 인사에서 가장 주목받은 것은 허 대표의 지주사 복귀다. 허 대표는CJ주식회사 경영지원대표를 맡아 그룹 전반의 대외 업무를 총괄한다. 경영대표와 경영지원대표를 겸직했던 김홍기 대표는 경영대표직을 맡는다.허 대표는CJ그룹 내에서 재무·관리통으로 분류된다. 1986년 제일제당 신입 공채로 입사해 제일제당,CJ투자증권,CJ헬로비전 등을 두루 경험했고, 2013~2014년CJ주식회사 경영총괄을 거쳐 올리브네트웍스, 오쇼핑,ENM대표이사를 지냈다. 지난 2020년 엄청난 적자에 시달리고 있던 영화관 사업을 하는CGV대표이사를 맡으며 핵심 보직에서 떠났다는 평가가 나왔지만, 지난해 2분기 흑자 전환을 시작으로 6분기 연속CGV의 흑자를 이끈 이후 지주사로 복귀하게 됐다.이선영CJENM커머스 부문 대표이선영ENM커머스 부문 신임 대표는 역대 세 번째CJ그룹 주요 계열사 여성 대표다. 지난 2000년 오쇼핑에 신입 사원으로 입사해 홈쇼핑이 부진한 상황 속에서TV와 모바일 등을 결합한 ‘원 플랫폼’ 전략을 이끈 성과를 인정받은 것으로 전해졌다.ENM엔터테인먼트 부문과 커머스 부문 대표를 겸임했던 윤상현 대표는ENM대표이사와 엔터테인먼트 부문 대표를 겸하게 됐다.정종민CJCGV대표허 대표에 이어CGV를 이끌게 된 정종민 신임 대표는 2020년부터 터키 법인을 총괄했다.CGV는 2016년 당시 터키(튀르키예) 최대 극장 사업자를 약 8000억원에 인수했지만, 리라화 가치 하락 등의 영향으로 부진을 겪어왔다. 정 신임 대표는 사업 효율화로 튀르키예에서 적자 폭을 줄인 성과를 인정받았다.CGV자회사CJ4DPLEX신임 대표에는 방준식(34) 경영리더가 지명됐다.CJ그룹의 첫 1990년대생CEO다.CJ그룹은 지난 2월 핵심 계열사인CJ제일제당과CJ대한통운 대표를 동시에 교체하는 2024 임원 인사를 해를 넘겨 단행했다. 올해 9개월여 만에 인사가 이뤄지면서 이번에는 주요 계열사CEO대부분이 유임됐다. 신임 경영리더(임원)에는 21명이 이름을 올렸다. 임원 승진자의 평균 연령은 44.9세다."
2024-11-18,"CJ, 허민회 지주사 대표 선임... 그룹 최초 90년대생 CEO 발탁","CJ그룹이 18일 2025 정기임원인사를 단행했다고 밝혔다.CJ주식회사 경영지원대표로는 허민회CJCGV대표이사가 선임됐다.CJCGV신임 대표이사에는 정종민CJCGV터키법인장이,CJENM커머스부문 대표에는 이선영CJENM커머스부문 사업총괄이 내정됐다. 그룹 최초로 90년대생CEO도 발탁했다.서울 중구에 위치한CJ주식회사 본사 전경. /뉴스1지주사인CJ주식회사는 기존 2인 대표 체제를 유지하며 허민회 신임 대표가 경영지원대표를 맡아 그룹 전반의 대외 업무를 총괄하게 됐다. 경영대표와 경영지원대표를 겸직했던 김홍기 대표는 경영대표직을 맡는다.허 대표는 1986년 제일제당 신입공채로 입사해CJ푸드빌 대표이사,CJ올리브네트웍스 총괄대표,CJ제일제당 경영지원총괄,CJ오쇼핑 대표이사,CJENM대표이사 등을 거쳤다. 2020년부터CJCGV대표이사직을 맡아 코로나 상황에서 극장 사업 구조 혁신과 수익성 개선을 이끌었다.CJ관계자는 “허 대표는 그룹 사업 전반에 대한 이해와 경륜을 바탕으로 대외업무 총괄과 그룹 중기전략 실행을 효과적으로 지원할 적임자”라고 설명했다.CJ는CJENM엔터테인먼트부문과 커머스부문 대표를 겸임했던 윤상현 대표를CJENM대표이사와 엔터테인먼트 부문 대표를 겸하도록 했다.CJENM커머스부문 대표에는 이선영CJENM커머스부문 사업총괄이 내부 승진한다. 이 신임 대표는 2000년CJ오쇼핑에 신입으로 입사해CJENM커머스부문 브랜드사업부장,MD본부장 등을 거쳤다. 신규 상품 카테고리와 브랜드를 발굴해 회사 경쟁력을 높인 성과를 인정받았다.CJCGV신임 대표에는 정종민CJCGV터키법인장이 내정됐다. 2012년CJCGV에 합류해 마케팅담당, 국내사업본부장 등을 거쳤다. 2020년부터 터키법인을 총괄하며 사업 구조를 혁신하고 효율적 운영을 통해 사업 건전성을 회복시켰다는 평을 받는다.CJCGV자회사CJ4DPLEX신임 대표에는 1990년생 방준식 경영리더를 내정했다. 방 신임 대표는 2018년CJ4DPLEX에 합류해 콘텐츠사업팀장, 콘텐츠사업혁신TF장 등을 거쳤다. 올해 2월부터 콘텐츠본부장을 맡아BTS‘옛 투 컴 인 시네마’,콜드플레이 ‘뮤직 오브 더 스피어스’ 등CGV특화 콘텐츠를 다수 기획해 글로벌 유통하는 등 매출 성장에 기여했다.CJ4DPLEX의 2023년 매출액은 2019년 대비 두 배 이상 성장했다.CJ그룹 측은 “콘텐츠 경쟁력을 기반으로 극장 사업의 혁신과 글로벌 사업 확대를 주도하기 위해 젊은 인재의 역할을 과감히 확대했다”고 밝혔다.신임 경영리더에는 21명이 이름을 올렸다. 직급과 연령에 관계없이 우수한 성과를 낸 인재들을 발탁했다. 신임 경영리더의 평균 연령은 44.9세로, 1980년대생이 12명이다.이번 인사에 대해CJ그룹 측은 “이번 인사는 대내외 위기 상황에서 그룹의 핵심 가치인 ‘온리 원(OnlyOne)’ 정신을 재건하는 데 초점이 맞춰졌다“며 ”그룹 사업 전반의 속도감 있는 실행을 위해 주요 계열사CEO대부분이 유임됐다”고 밝혔다.아래는CJ그룹 2025년도 정기임원인사 신임임원(경영리더) 승진자 명단.■CJ제일제당 △김세원 김영상 김창현 윤대진 전태원■CJ대한통운 △박승훈■CJENM(엔터부문) △박상혁 유승만 이슬기 (커머스부문) △남우종 황예나■CJ올리브영 △이동근 이정민 장원■CJ프레시웨이 △김범중■CJCGV△고재수 임성택■CJ주식회사 △김효정 김희은 박영중 오일영"
