date,title,content
2024-12-23,택배 배송 중 화재 막은 CJ대한통운 택배기사,CJ대한통운 택배기사가 화재 현장을 발견한 뒤 119에 신고하고 주민들을 직접 대피시켜 큰 피해로 이어지는 것을 막았다.CJ대한통운은 배송 업무 중 주택 화재를 발견하고 신속한 조치로 인명 피해와 화재 확산을 막은 택배기사 배철(46)씨에게 포상했다고 23일 밝혔다.화재 현장을 발견하고 신속히 대처해 큰 피해를 막은CJ대한통운 기사 배철씨 /CJ대한통운경기 남양주 수동면에서CJ대한통운 택배기사로 일하는 배 씨는 지난 13일 배송 업무 중 한 빌라 2층에서 연기가 피어 오르는 것을 발견했다. 연기의 원인을 찾아 나선 배 씨는 2층에서 자욱한 연기와 함께 화재 경보음이 울리는 것을 확인했다. 불이 난 집을 찾아낸 그는 곧바로 119에 신고했다.배씨는 곧 이어 집집마다 문을 두드리며 상황을 알렸다. 원룸 건물 특성 상 화재가 빠르게 퍼질 수 있다는 판단에서였다.대피를 도운 후에는 주민들과 함께 주차된 차량을 이동시켜 소방차 진입을 도왔다. 소방관들이 현장에 신속히 접근할 수 있도록 공용 현관의 잠금 장치도 해제해뒀다. 소방관이 도착하자 배씨는 불이 난 집을 직접 안내했다.배씨의 빠른 판단과 조치 덕분에 화재는 20분 만에 큰 피해 없이 조기 진압될 수 있었다.건물에 거주했던 한 주민은 “타는 냄새가 났지만 화재일 거라고는 생각하지 못했다”며 “택배 기사님의 빠른 대처가 아니었다면 큰 화재로 이어질 뻔했다”고 말했다.CJ대한통운은 배씨의 침착한 대처와 적극적 구호 조치로 큰 화재를 막은 공로를 인정해 포상했다. 남양주소방서도 신속한 판단으로 대형 화재를 막은 배 씨에게 표창을 준비 중인 것으로 알려졌다.12년 째 택배기사로 일을 해 온 배철씨는 “불이 난 걸 본 순간 사람을 구해야겠다는 생각에 몸이 먼저 움직였다”며 “CJ대한통운 택배기사라면 모두 소방안전교육을 받기 때문에 화재 상황 시 누구라도 똑같이 대응했을 것”이라고 말했다. 또 “앞으로도 고객의 소중한 상품과 안전까지 함께 배송하는 동네 지킴이로서 역할을 다하겠다”고 밝혔다.
2024-12-04,"CJ대한통운과 손 잡은 SSG닷컴, 충청권도 ‘새벽배송’","SSG닷컴이 충청권까지 새벽배송 서비스 지역을 넓힌다.SSG닷컴 측은 “이번 권역 확대는 신세계그룹과CJ그룹이 맺은 ‘사업제휴 합의(MOU)’ 성과“라며 “CJ대한통운 물류망을 이용해 배송 권역을 추가 확대하는 방안을 지속 모색하겠다”고 밝혔다./SSG닷컴SSG닷컴은 대전광역시, 세종특별자치시를 비롯한 충청권으로 새벽배송을 확대한다고 4일 밝혔다. 9일부터는 동탄을 포함한 화성시 등 경기 남부권에서도 이용 가능하다.SSG닷컴 새벽배송은 밤 11시까지 주문하면 다음날 오전 7시까지 상품을 받아볼 수 있는 서비스다. 최대 3일 뒤까지 원하는 일자를 선택할 수 있고, 일요일에도 배송받을 수 있다. 냉장, 냉동 상품은 보냉재를 함께 담아 적정 온도를 유지한다.SSG닷컴은 핵심 카테고리인 ‘온라인 장보기’를 강화하기 위해 새벽배송 권역을 확대해왔다. 이번 권역 확대로 충청권, 경기 남부권 약 400만 가구가 신선, 가공식품과 생활용품을 빠르게 받아볼 수 있게 될 것으로 보인다.신세계그룹은CJ그룹과 ‘사업제휴 합의(MOU)’를 맺고,CJ대한통운이 보유한 물류 인프라를 기반으로 배송 권역 확대를 추진했다. 새벽배송 상품은CJ대한통운을 통해 배송된다.SSG닷컴 측은 “CJ대한통운과 함께 배송 권역 추가 확대 방안을 지속 모색할 계획”이라고 말했다.SSG닷컴은 다음 달 4일까지 새벽배송 신규 권역 고객을 대상으로 프로모션을 진행한다. 1만 9800원 이상 구매 시 사용 가능한 무료 새벽배송 쿠폰을 2장씩 제공한다. 장보기 상품 최대 50% 할인 쿠폰도 선착순 발급한다. 4만원 이상 구매 고객에게는SSG닷컴이 선정한 인기 가공식품, 생필품 중 고객이 선택한 상품 한 가지를 증정한다."
2024-11-08,"CJ대한통운, 3분기 영업익 1416억... 전년비 13.5% 증가","CJ대한통운CI.CJ대한통운은 올해 3분기 매출이 2조9758억원, 영업이익은 1416억원으로 잠정 집계됐다고 8일 공시했다. 전년 동기와 비교해 매출은 1.3%, 영업이익은 13.5% 각각 증가했다.부문별로 택배·이커머스사업의 올 3분기 매출은 전년 동기와 비슷한 8982억원, 영업이익의 경우 전년보다 3.1% 감소한 540억원을 기록했다.CJ대한통운은 내수 둔화, 풀필먼트 프로모션 확대 등의 영향이라고 분석했다.계약물류(CL부문) 매출은 7684억원으로 전년 동기보다 6.2% 증가했고 영업이익은 15.8% 늘어난 512억원으로 각각 집계됐다. 물류 컨설팅을 기반으로 3자 물류(3PL) 고객사를 다수 유치하고, 생산성 혁신 프로젝트로 원가 경쟁력을 강화한 것도 수익 개선에 한몫했다.글로벌부문은 포워딩 마진 확대, 초국경 전자상거래 물량 증가로 전년 동기대비 4.2% 늘어난 1조985억원의 매출을 올렸다. 같은 기간 영업이익은 83.1% 증가한 282억원을 기록했다."
2024-08-20,"CJ대한통운, 내년부터 주 7일 배송한다","CJ대한통운이 주 7일 배송시스템을 도입한다.CJ대한통운은 이르면 내년부터 일요일과 공휴일을 포함해 주 7일 언제든 택배를 받을 수 있는 배송서비스 ‘매일 오네(O-NE)’를 시작한다고 20일 밝혔다.통상 택배는 일요일과 공휴일에는 정상적으로 이뤄지지 않는다. 자체 배송 시스템을 갖춘 쿠팡 등 일부 플랫폼에서만 주 7일 배송이 가능했다. 이런 상황에서CJ대한통운이 주 7일 서비스를 추진하겠다고 밝힌 것이다.CJ대한통운은 “압도적인 물류 인프라와 첨단 기술역량으로 주 7일 서비스를 추진할 수 있게 됐다”고 밝혔다.CJ대한통운은 아시아 최대 규모의 곤지암메가허브를 비롯해 14개 허브터미널과 276개 서브터미널을 운영하고 있다. 최근에는 하루 2000만건 이상의 데이터를 처리할 수 있는 차세대 택배 시스템( 로이스 파슬) 개발을 완료하고 현장에 도입했다.업계에서는 물류 1위CJ대한통운과 판매뿐 아니라 배송 시장에서도 영향력을 키워가고 있는 쿠팡의 경쟁이 치열해질 것이라는 분석을 내놓는다. 쿠팡은 물류전문 자회사 쿠팡로지스틱스서비스(CLS)를 두고 있다. 직매입 상품뿐 아니라 오픈마켓 판매자들의 상품을 대신 배달해준다. 쿠팡이 기존 택배업계와 ‘밥그릇 싸움’을 벌일 수밖에 없는 구조인 것이다. 업계에서는CLS가 대한통운에 이어 시장 2위 수준의 점유율을 보이고 있는 것으로 본다.CJ대한통운은 “일부 플랫폼에서만 가능하던 휴일배송이 보편화되면서, 최근 성장 둔화와 경쟁격화로 고심하던 이커머스에는 새로운 돌파구로 작용할 수 있을 전망”이라고 자평했다.CJ대한통운은 주 7일 배송과 함께 택배기사 주 5일 근무제를 도입키로 했다. 앞서CJ대한통운과 대리점, 택배기사, 전국택배노동조합 등은 ‘매일 오네’ 서비스의 성공적인 안착을 위해 상호 협력하기로 합의했다. 사회적 합의에 따른 가이드라인인 주당 60시간 근무를 준수하는 가운데 실질적인 휴식일을 확대하는 방식이다.CJ대한통운 관계자는 “기존 배송구역은 보장하는 가운데 탄력적인 운영시스템을 구축해 궁극적으로 수입감소 없는 주5일 근무제가 안착되도록 한다는 계획”이라고 설명했다.CJ대한통운 배송 택배 기사의 모습.CJ대한통운은 이르면 내년부터 주 7일 배송 서비스를 도입한다고 밝혔다. /CJ대한통운"
2024-08-09,"이커머스 각축전에 미소 짓는 CJ대한통운… 올 2분기 매출·영업이익, 지난해 대비 3%·11% 증가","CJ대한통운이 올해 2분기에 연결 기준 매출 3조592억원, 영업이익 1254억원을 거뒀다고 9일 밝혔다. 지난해 대비 각각 3.3%, 11.5% 증가한 호실적이다.CJ대한통운 측은 “기술 경쟁력에 기반한 수주 확대, 미국·인도 물류사업 호조, 초국경 전자상거래(직구·역직구) 물량 등에 기인했다”고 밝혔다.CJ대한통운이 택배를 전달하는 모습. /CJ대한통운부문별로 택배·이커머스 사업 매출은 9427억원으로 전년 동기보다 2.3% 성장했고 영업이익은 0.2% 증가한 617억원으로 집계됐다. 알리익스프레스 등 해외 이커머스 플랫폼, 패션·화장품 전문 이커머스 중심의 물량 확대 효과가 반영됐다.계약물류(CL) 사업도 W&D(보관·창고·운송) 부문의 외형 확장에 힘입어 성장세를 보였다. W&D 부문은 물류 컨설팅 역량을 기반으로 다수의 3자 물류 신규 고객을 유치하면서 올해 2분기에 전년 동기보다 11% 증가한 3397억원의 매출을 올렸다.CL사업 총매출은 7371억원으로 지난해 같은 기간 대비 3.3% 늘었고 영업이익은 13.3% 증가한 426억원을 기록했다.해외 사업은 포워딩과 직구·역직구 물류 사업 확대, 미국∙인도 등 해외 주요 국가 사업 호조에 힘입어 매출은 전년 동기 대비 5% 증가한 1조1239억원, 영업이익은 17.8% 늘어난 185억원을 기록했다.◇이커머스 각축전 최대 수혜자CJ대한통운은 최근 더욱 치열해지고 있는 이커머스 업계 경쟁의 반사 효과를 가장 크게 누리고 있는 기업 중 하나로 지목된다. 알리 등 해외 이커머스들 역시 국내 1위인 대한통운을 주로 이용하고, 배송까지 자체 진행하는 쿠팡을 제외한 네이버·지마켓·11번가 등 다른 이커머스들 역시 물류망을 갖추고 있지 못해 결국 대한통운에 러브콜을 보내고 있기 때문이다.대한통운이 이런 업계 동향을 미리 읽고 선제적으로 물류 인프라에 투자한 것이 성과를 거두고 있다는 평가도 나온다. 대한통운에 따르면 지난해 말 기준 대한통운의 전국 각지 물류센터와 택배 터미널, 그외 사업장 부지와 건물 면적 총합은 전국 700여곳에서 약 1130만㎡에 달한다. 이는 축구장 1600개를 합친 것과 맞먹는 크기로, 다른 국내 경쟁사와 대비해도 2~3배 큰 국내 최대 규모다.특히 2016년 4000억원 이상을 투자해 2018년 완공한 곤지암 메가허브터미널은 하루 170만 박스의 물량을 처리하고 있다. 당시에는 ‘과도한 투자’라는 비판이 잇따랐지만 코로나 이후 유통업체 주문량이 20% 이상 급증하면서 이를 무리 없이 소화하는 데 큰 역할을 했다.◇이커머스 고객, 400여곳에서 1200곳까지CJ대한통운이 2020년 시작한 통합 물류(풀필먼트) 서비스 역시 이커머스 업계에서 큰 호응을 끌고 있다. 이 서비스는 상품 보관은 물론 고객 주문에 따른 출고, 배송, 재고관리까지 모두 제공한다. 이커머스가 익일 배송을 하기 위한 주문 마감 시간이 일반적으로 오후 3시지만, 대한통운 풀필먼트 서비스를 이용하는 이커머스는 자정까지 주문을 받아도 익일 배송이 가능하다. 2022년 398사였던 이커머스 고객사는 2023년 1071개, 올 1분기 말에는 1201곳까지 늘었다. 같은 기간 이커머스 분야 매출 역시 2045억원에서 2514억원까지 늘었다.한편CJ대한통운은 지난 6월 신세계와 업무 협약을 맺고, 연간 약 5000만건의 G마켓·SSG닷컴 배송 물량을 맡기로 했다. 실제 배송이 시작된 것은 지난 7월부터이기 때문에, 이는 올해 2분기 실적에는 반영되지 않았다. 증권가에서는 해당 실적이 반영되면 연간 약 3000억원의 매출이 증가할 것으로 보고 있다."
2024-05-30,"CJ대한통운, 美·日과 ‘역직구 동맹’","현지 대표 물류社와 배송계약수출 통관부터 운송 ‘원스톱’CJ대한통운이 미국과 일본 물류회사와 협력해 한국 제품을 해외로 배송하는 ‘역직구’ 물류 사업을 확대한다고 29일 밝혔다. 이전까지는 수출 통관이나 운송, 현지 배송까지 복잡한 절차를 거쳐야 했는데 현지 물류 업체 도움으로 전 과정을 원스톱으로 빠르게 처리하는 네트워크를 구축한 것이다. 미국에서 손잡은 회사는 페덱스와 현지의 물류 업체들이다.CJ대한통운이 항공을 통해 미국LA국제공항, 뉴욕JFK국제공항 등으로 한국 제품을 보내면 페덱스 등 현지 물류사가 소비자까지 제품 배송을 담당하게 된다. 일본에선 야마토 택배와 사가와 택배가 도쿄 나리타 공항 등에 도착한 한국 역직구 상품을 빠르게 배송한다. 앞서 지난 4월CJ대한통운은 싱가포르 물류회사 닌자밴과 통관·배송 서비스 계약을 체결하기도 했다.CJ대한통운 관계자는 “2023년 역직구를 뜻하는 온라인 해외 직접 판매액은 1조6561억원이었는데, 특히 역직구 수요가 높은 미국, 일본 업체와 협력해 초국경 물류 사업을 이어나가겠다”고 했다."
2024-05-15,[경제계 인사] CJ대한통운 한국사업부문 대표 윤진 외,CJ대한통운 한국사업부문 대표 윤진CJ대한통운은 한국사업부문 신임 대표에 윤진FT본부장을 선임했다고 14일 밝혔다.전주페이퍼 대표 정동하전주페이퍼는 정동하 전 태림페이퍼 전무가 신임 대표로 취임했다고 14일 밝혔다.
2024-04-24,"CJ 대한통운, 편의점 택배 가격 인상 미룬다","편의점 일반 택배 운임 인상을 추진하던CJ대한통운이 인상을 당분간 미루기로 했다. /뉴시스편의점 일반 택배 운임 인상을 추진하던CJ대한통운이 인상을 당분간 미루기로 했다.CJ대한통운은 24일 “유가와 최저임금 등 원가의 급격한 상승으로 고객사인 편의점 업체들과 택배 단가 50원 인상을 협의 중이었으나 국민 부담을 고려해 인상 시기를 조정하기로 결정했다”고 밝혔다. 구체적인 추후 인상 시기는 언급하지 않았다.CJ대한통운은 앞서 편의점들과의 협의를 거쳐 다음 달 초부터 계약 단가 50원 인상하기로 했었다. 이에 따라 편의점 4사 가운데CJ대한통운과 계약한GS25,CU,이마트24 등은 일반 택배 가격은 간접비용 상승분을 포함해 무게·배송권역에 따라 100∼400원씩 일제히 올릴 예정이었다.CJ대한통운이 운임 인상을 연기함에 따라 편의점 업체들도 당분간 지금의 택배 단가를 유지할 것으로 보인다."
2024-12-28,신세계·알리바바 제휴에 ‘싸늘’…이마트 주가 10% 급락,"외국인 투자자들 429억 순매도증권가 “中 자본에 소비자 반감…뚜렷한 시너지 효과 예측 어려워""이마트 주가가 27일 6만8100원에 마감했다. 이날 코스피는 전날 대비 1.02% 하락했는데, 이마트 주가는 전날 종가(7만5500원) 대비 9.8% 떨어졌다. 이날 외국인 투자자들은 이마트 주식 429억원어치를 순매도(매도가 매수보다 많은 것)했다. 전날 장 마감 후 신세계그룹이 전격적으로 중국 알리바바 인터내셔널과 이커머스 합작 법인을 만드는 등 전략적 동맹을 맺는다는 발표를 했는데, 시장이 부정적인 반응을 보였다는 분석이 나온다. 일부 증권사도 우려 섞인 보고서를 내놓았다.상승세 꺾인 이마트 주가그래픽=김하경이마트 주가는 지난 19일부터 4거래일 연속 상승했다. 신세계그룹 정용진 회장이 국내 인사 중 처음으로 미국 도널드 트럼프 대통령 당선인과 식사하고 대화를 나눴다는 소식 등이 호재로 작용했다. 하지만 26일 장 마감 후 신세계그룹이 “알리바바와 전략적 파트너십을 구축하기로 했다”고 발표하면서 7만원대까지 올랐던 주가가 6만원대로 주저앉았다. 신세계그룹이 실적 부진이 계속되고 있는 G마켓을 떼어내 알리바바와 만드는 합작 법인 밑에 넣기로 했는데, ‘몸통’인 이마트 주가가 떨어지는 상황이 벌어진 것이다. 이마트 주식 토론방에서는 “‘멸공’을 외쳤던 이마트가 중국과 손을 잡았다” “트럼프 만나고 와서 뜬금없이 중국과 협력하겠다는 건 어떻게 봐야 하느냐” 등의 반응도 쏟아졌다.증권가에서도 중국 기업과의 협업에 대해 부정적인 분석이 나왔다. 한화투자증권 이진협 연구원은 “중국 자본에 대한 국내 소비자들의 반감이 형성될 수 있어 이마트에 부담으로 작용할 가능성도 있다”며 “특히 중국으로의 개인 정보 유출 가능성에 대해서 민감할 수 있기 때문에 향후 소비자들에게 안전성에 대한 충분한 설득 과정을 거칠 필요가 있다”고 분석했다. 개인정보보호위원회는 지난 7월 알리익스프레스가 보호 조치 없이 해외 판매 업체 18만여 곳에 한국 고객의 정보를 제공했다며 알리익스프레스 모회사 알리바바닷컴에 과징금 19억7800만원 부과를 의결하기도 했다. 신세계그룹 측은 “G마켓은 현재와 마찬가지로 독립적으로 플랫폼을 운영해 개인 정보가 유출될 수 없다”고 말했다.시너지로 작용할까신세계그룹은 알리바바와의 합작 법인에 G마켓을 현물로 출자한다. 알리바바는 알리익스프레스 코리아 지분과 현금 3000억원을 출자하는 것으로 알려졌다. 시장에서는 두 회사의 합작사가 수년 내에 기업공개(IPO)에 나설 가능성도 거론된다. 신세계그룹 관계자는 “IPO계획은 구체적으로 결정된 게 없다”고 밝혔다.리테일 분석 서비스 와이즈앱·리테일·굿즈에 따르면 11월 기준 국내 종합 몰 앱 이용자 순위는 쿠팡, 알리익스프레스, 11번가, 테무, G마켓 순이었다. 쿠팡의 사실상 독주가 계속되고 있는 상황에서 G마켓과 알리익스프레스는 협업을 통한 시너지를 기대하고 있다. 한국 시장에서 세를 확대하려는 알리바바는 G마켓의 검증된 판매자들을 활용할 수 있다는 점을 기대할 수 있다. G마켓은 알리바바의 글로벌 네트워크를 통해 투자 유치를 하고 판매자들의 판로를 확장할 수 있을 것으로 보고 있다. G마켓 정형권 대표는 알리바바와의 협력이 공표된 직후 사내 공지를 통해 “시장 변화에 더 적극적으로 대처하고 선도 기업으로서 주도권을 확보하고자 이번 합작 법인 설립을 결정했다”고 설명했다.두 회사의 협력이 실제 시너지로 작용할지에 대해선 엇갈린 분석이 나왔다. 한국투자증권 김명주 연구원은 “뚜렷한 전략 방향성이 없던 G마켓이 전략 파트너를 확보한 것은 긍정적이지만 합작 법인 설립을 통한 뚜렷한 시너지를 예측하기 어렵다”며 “시너지 전략의 구체화가 필요하다”고 지적했다. 메리츠증권 오정하 연구원은 “G마켓은 국내 소비자의 신뢰를 확보하고 있고, 알리는 자본력을 갖췄다는 점에서 양 사 시너지가 기대된다”는 분석을 내놨다.이날 이마트 주가가 하락한 것과 달리CJ대한통운은 ‘신세계그룹-알리바바 협력 수혜주’로 꼽히며 주가가 5.54% 상승했다.CJ대한통운은 지난 9월부터 G마켓의 도착일 보장 배송 서비스를 전담하고 있다. 여기에 더해CJ대한통운은 알리익스프레스의 한국 택배 물량 약 80%를 처리하고 있다."
2024-03-14,"CJ대한통운, 자율주행 트럭 활용한 간선차량 운행 시범 사업 시작","CJ대한통운 택배상품 간선차량. /CJ대한통운CJ대한통운은 자율주행 스타트업 마스오토와 협력, 자율주행 트럭을 활용한 택배 간선차량 운행 시범사업을 시작한다고 14일 밝혔다. 택배상품을 실은 11톤 대형트럭이CJ대한통운 인천장치장센터에서 옥천허브터미널까지 218km의 간선노선을 주 6회 운행할 예정이다.CJ대한통운은 “3월 말부터 약 1년간 진행되는 시범사업을 통해 자율주행 완성도를 한층 높이겠다는 계획”이라고 설명했다.-일반적으로 11톤 이상의 대형트럭은 자율주행 난이도가 높다. 차체가 크고 무거운 데다 많은 화물까지 싣고 있어 제동거리가 길어 자율주행을 적용할 때 일반 차량보다 더 빠른 판단과 예측이 필요하기 때문이다. 하지만 간선차량은 매일 같은 노선을 반복 운행하고 대부분의 노선이 고속도로로 도입에 유리한 측면이 있다.CJ대한통운의 간선차량이 이동하는 인천~옥천 간선노선은 제2경인고속도로-영동고속도로-경부고속도로를 차례로 통과하며, 고속도로 비중이 운행거리의 약 93%를 차지한다. 이 구간을 운행하는 자율주행 트럭은 도심 구간은 수동으로 주행하며, 고속도로에서는 자율주행으로 전환된다. 운전자는 비상상황에 대비해 탑승하며, 필요시 수동 주행으로 전환이 가능하다.대한통운은 2022년에는 단원 서브터미널에서 곤지암 허브터미널까지 약 60km구간을 4회, 2023년에는 군포 서브터미널에서 대전 허브터미널까지 약 258km구간을 실제 화물을 싣고 6회 운행하며 주야간, 우천, 터널 등 다양한 운행조건과 비상상황에 대비한 테스트를 진행해왔다.CJ대한통운은 자율주행을 도입하면 화물차 운전자들의 업무 강도를 낮추면서 안전성은 높일 수 있을 것으로 기대하고 있다."
