date,title,content
2023-06-24,"“보험금 안 주고, 미루고” 금감원, 메리츠화재·DB손보 제재","서울 여의도 금융감독원 모습. /뉴스124일 금감원은 메리츠화재에게 과태료 2640만원과 과징금 500만원을 매기고, 보험금 지급 담당 직원에 대한 자율 처리를 의뢰했다고 밝혔다.DB손해보험에 대해서도 과징금 1400만원과 보험금 지급 담당 직원에 대한 자율 처리를 의뢰했다.금감원에 따르면 메리츠화재는 지난 2019년 7월부터 2021년 12월까지 총 14건의 보험 계약과 관련해, 약관에서 정한 내용을 어기고 보험금을 지급하지 않았다. 허혈성 심장질환을 진단받은 고객에게 진단비 보험금을 지급하지 않거나, 직업을 바꾼 것이 보험 사고와 직접적인 관련이 없음에도 계약 후 직업 변경 알릴 의무를 위반했다며 보험금을 지급하지 않는 식이다.메리츠화재는 고객이 보험금을 청구하면 30영업일 안에 보험금을 지급해야 하지만, 총 4개 보험 계약에 대해 56영업일에서 438영업일을 지체해 보험금을 지급한 사실도 적발됐다.DB손해보험도 2019년 8월부터 2021년 12월까지 총 26건의 보험 계약과 관련해 보험금을 지급하지 않았고, 마찬가지로 허혈성 심장질환 진단비 보험금을 지급하지 않은 경우가 포함됐다. 고객이 제출한 영수증에 급여 항목으로 기재된 수술이 보험을 지급하지 않아도 되는 면책사유인 ‘성형술’에 해당한다는 이유로 보험금을 지급하지 않기도 했다.DB손해보험은 보험사가 계약자의 계약 전 알릴 의무 위반 사실을 알게 될 경우 해당 시점에서 1개월 안이나 계약 시점에서 3년 안에 계약을 해지할 수 있음에도, 2020년 4월부터 2021년 11월까지 총 12건의 보험 계약과 관련해 정해진 기간이 지났음에도 계약을 부당하게 해지했다가 적발되기도 했다."
2022-11-30,[경제계 인사] DB손해보험 외,▲DB손해보험◇부사장▷남승형◇부문장▷강경준◇상무▷김주택 김강욱 심성용 권순철 박기현 조화태 임대순 송정국 안복남 김승욱 김병은▲DB생명◇부사장▷황성배◇상무▷이용로
2024-03-22,"역대급 실적에… 보험사 연봉, 은행 제쳐","삼성화재, 1억4394만원 1위작년 ‘연봉킹’KB은행 넘어국내 주요 보험사들이 지난해 최대 실적을 기록하면서 성과급이 늘어나 직원 평균 연봉도 크게 오른 것으로 나타났다. 특히 삼성화재 등 상위권 보험사들은 직원 평균 연봉이 은행보다 많았다.21일 오기형 더불어민주당 의원실이 각 보험사에서 제출받은 급여 현황 자료에 따르면, 지난해 삼성화재 직원의 1인당 평균 근로소득(성과급 포함)은 1억4394만원이었다. 주요 보험사 중 가장 높은 수준이다. 이어 삼성생명과 메리츠화재의 평균 연봉은 각각 1억3500만원, 1억2800만원으로 나타났다.지난해 은행권에선KB국민은행의 평균 연봉이 1억2000만원으로 가장 많았는데, 일부 보험사가 이를 넘어선 것이다. 현대해상(1억199만원)과 교보생명(1억447만원) 등은 평균 연봉이 1억원을 넘었다. 한화생명(9223만원)과DB손해보험(8935만원)은 1억원에 가까운 평균 연봉을 임직원에게 지급했다.전년 대비 평균 연봉 증가율은 삼성생명(12.5%)이 가장 높았고,DB손해보험(6.2%), 교보생명(5.9%), 삼성화재(5.8%), 한화생명(3.8%) 순으로 나타났다. 현대해상은 주요 보험사 가운데 홀로 6.2% 감소했다.보험권에서 등기임원 평균 연봉도 삼성화재가 가장 많았다. 삼성화재의 등기임원 평균 연봉은 12억6800만원이었고, 이어 삼성생명(7억5714만원), 현대해상(4억2463만원),DB손해보험(3억8719만원), 한화생명(3억538억원), 교보생명(3억2871억원) 순이었다."
2024-12-23,다시 보기 영상으로 이달 말부터 만나요,"본지 유튜브서 강연 무료 공개지난 20일 서울 강남구 세텍에서 2025 대한민국 재테크 박람회가 열렸다. 이상우 인베이드투자자문 사장이 내년에도 부동산으로 돈 버는 법을 주제로 강연하고 있다. /고운호 기자‘2025 대한민국 재테크 박람회’ 둘째 날인 21일에는 젊은 층의 관심이 높았다. 한 20대 커플은 “주말에 데이트도 하고 돈 버는 비법도 배워갈 겸 함께 오게 됐다”고 말했다.다양한 방송에서 20~30대의 재테크 멘토로 활동하고 있는 김경필 머니트레이닝랩 대표는 ‘진짜 노후 준비법’ 강연에서 “경기 수축 국면이 예상되는 만큼, 오버슈팅(단기 급상승)한 미국 주식시장에 과도한 쏠림 투자를 하는 것은 경계해야 한다”며 “노후 대비는 수익률이 아니라 안정성의 게임”이라고 강조했다.요즘 대중화된ETF(상장지수펀드) 투자 전략 강연도 큰 관심을 받았다. 김남호 타임폴리오자산운용 펀드매니저와 김효식 삼성액티브자산운용 팀장의 강연이 끝나자 개인 상담을 받고자 20여 명의 참관객이 긴 줄을 섰다. 두 사람은 기다린 모든 사람의 질문에 일일이 답했다. 김남호 매니저는 “마지막 강연이었는데도 열기가 대단했다”며 “재테크 박람회의 위력을 실감했다”고 말했다.30여 개 기업 부스에는 볼거리가 풍성했다. 5000원 캐시가 충전된 갤럭시아머니트리의 선불카드 1000장은 순식간에 동이 났다. 생성형 인공지능(AI) 검색을 서비스하는 스타트업 뤼튼테크놀로지스와 삼성금융네트웍스, 토스뱅크가 이벤트로 배포한 타포린백도 인기였다.금융 상담 코너도 북적였다. 동양생명과DB손해보험 부스에는 보험 리모델링을 고민하는 참관객들의 상담이 이틀간 이어졌다. 한국거래소KRX금시장 부스에서는 금 투자를 온라인으로 간편하게 하는 방법을 소개했다.연 인원 2만여 명이 참관한 이번 행사는 동영상과 서적으로도 다시 만날 수 있다. 강연 다시 보기 영상은 이달 말부터 조선일보 경제 유튜브 채널인 ‘조선일보 머니(youtube.com/@chosunmoney)’를 통해 순차적으로 공개된다. 지방에 거주해 참석하지 못했거나 1·2관 강연 시간이 겹쳐 미처 듣지 못했다면 유튜브에서 ‘조선일보 머니’를 검색해 영상으로 보면 된다. 구독 버튼을 누르면 쏠쏠한 금융 투자 강연을 무료로 시청할 수 있다. 강연 내용을 정리한 책은 내년 2월 출간될 예정이다."
2023-11-01,"장기요양 판정 전 사망...대법 “보험사, 보험금 지급 의무 없어”","장기요양 판정 결과에 따라 진단비 지급이 결정되는 보험에 가입한 피보험자가 판정 결과가 나오기 전 사망했다면 진단비를 지급받을 수 없다는 대법원 판단이 나왔다.대법원 1부(주심 오경미 대법관)는DB손해보험이 사망한 피보험자 A씨의 유족을 상대로 낸 보험금 지급 채무 부존재 확인 소송에서 원고 패소 판결한 원심을 깨고 사건을 울산지법으로 돌려보냈다고 1일 밝혔다.대법원 전경. /뉴스1A씨는 2014년 3월DB손해보험의 장기 간병 요양 진단비 보험에 가입했다. 이 보험은 노인장기요양보험 수급 대상으로 인정될 경우 진단비 명목의 보험금을 받는 보험이었다. 보험 약관에는 ‘피보험자가 보험기간 중 사망할 경우 계약은 소멸한다’는 내용이 있었다. A씨는 암 투병 중이던 2017년 6월 1일 국민건강보험공단에 장기요양 대상자로 인정해달라고 신청했으나 일주일 뒤 숨졌다. 공단은 약 2주 뒤 A씨에 대해 장기요양 1등급 판정을 내렸다.이후DB손해보험은 보험금 지급 의무가 없다고 소송을 냈고, A씨 유족은 보험금 청구 소송으로 맞섰다.1심과 2심은 유족 측 손을 들어줬다. 2심 재판부는 “보험기간 중 장기요양등급 판정을 받지 못하더라도 그 원인으로서 장기요양이 필요하다는 사실이 확인되면 보험금 지급사유가 발생한다”는 취지로 판결했다.그러나 대법원 판단은 달랐다. 대법원은 “피보험자가 수급 대상에 해당할 정도의 심신 상태임이 확인됐다고 하더라도 장기요양등급 판정을 받지 않은 상태에서 보험계약이 소멸했다면 보험기간 중 보험금 지급 사유가 발생했다고 볼 수 없다”고 봤다. 또 “장기요양급여는 성질상 피보험자의 생존을 전제로 하므로 신청인의 사망 후에는 장기요양등급을 판정할 수 없다”며 “사망자에 대한 장기요양등급 판정이 법률상 효력이 있다고 보기 어렵다”고 했다."
2024-12-21,강연마다 ‘앞자리 사수’ 전쟁… 30분 전부터 긴 줄,"[2025 대한민국 재테크 박람회] 행사 첫날, 추위에도 1만여 명 모여영하의 날씨는 재테크 정보를 얻기 위한 참관객들의 열정을 막지 못했다. 20일 서울 강남구 대치동 세텍(SETEC)에서 열린 ‘2025 대한민국 재테크 박람회’에는 첫날에만 1만여 명의 참관객이 박람회장을 찾았다.'2025 재테크 박람회'에서 김광석 한국산업경제연구원 경제분석실장의 강연에 참관객들이 빼곡하게 들어차 있다. /고운호 기자행사 시작 30분 전부터 박람회장의 전시관 두 곳에는 각각 긴 줄이 늘어섰다. 이날 첫 번째로 입장한 유홍렬(77)씨는 “신문에서 박람회 소식을 접하고 경기 구리에서 아침 일찍 왔다”며 “상속세와 증여세 관련 정보가 제일 관심사”라고 했다. 재테크에 대한 관심은 남녀노소를 가리지 않았다. 서울 마포에서 온 이민주(26)씨는 “이제 막 돈을 벌기 시작하고 돈을 모으다 보니 재테크에 관심이 많다”며 “친구가 박람회 소식을 알려줘 함께 왔다”고 했다.세법, 투자, 부동산뿐 아니라 은퇴 생활, 건강 관리까지 각 분야 1타 강사들의 강연에 대한 관심은 뜨거웠다. 프레젠테이션 화면이 넘어갈 때마다 내용을 사진으로 남겨두려는 참관객들로 연신 찰칵 소리가 났다. 필기를 하며 듣는 사람들도 많았다. ‘부스트라다무스(부동산+노스트라다무스)’로 불리는 이상우 인베이드투자자문 사장, ‘수퍼개미’ 남석관 베스트인컴 회장, 강창희 행복100세자산관리 연구회 대표 등의 강연마다 시작하기 30분 전부터 앞자리를 차지하려는 줄이 이어졌다. 노년 근력 운동법에 대해 강연한 김헌경 전 도쿄건강장수의료센터 연구부장이 자신의 저서 ‘근육이 연금보다 강하다’를 선물하겠다고 하자 30여 명이 손을 들었고, 세무법인 다솔의 안수남 대표가 강연을 마치자 참관객들은 그의 명함을 받기 위해 몰려들었다.KB·신한·우리·하나·NH농협 등 5대 금융지주를 비롯해 은행, 증권, 보험, 핀테크(IT를 접목한 금융) 업체 등 30여 곳 금융회사가 마련한 홍보 부스의 각종 이벤트와 사은품도 참관객들의 발길을 사로잡았다. 여러 금융사가 한 번에 모인 만큼 보험과 재무 설계 등을 비교해 상담받으려는 사람들로 부스마다 북적였다. 토스뱅크와DB손해보험에서 진행한 색깔공 뽑기 이벤트에는 매 시간 줄이 길게 늘어섰다. ‘돈이 들어온다’는 은행 달력, 텀블러, 에코백, 수건 등 금융회사들이 준비한 사은품도 인기였다."
2022-12-27,DB그룹 ‘보험·금융·제조’로 개편… 사장단 인사,"DB그룹이 26일 조직을 보험·금융·제조 서비스의 3개 사업 그룹으로 개편하고, 각 사업 그룹을 이끌어 갈 경영진 인사를 단행했다.보험그룹장에는 김정남DB손해보험 부회장, 금융그룹장엔 고원종DB금융투자 부회장, 제조서비스그룹장에는 이재형 전 동부대우전자 부회장이 각각 선임됐다. 김정남 보험그룹장은 2010년부터DB손해보험 대표이사를, 고원종 금융그룹장은 2010년부터DB금융투자 대표이사로 일해 왔다. 이재형 제조서비스그룹장은 동부대우전자 대표를 거쳐 2020년까지 한국 광산업진흥회 회장을 역임했다.주요 계열사 대표들도 바뀌었다.DB손해보험 신임 대표이사에는 정종표DB손해보험 부사장이,DB금융투자 신임 대표에는 곽봉석DB금융투자 부사장이 각각 사장으로 승진하면서 내정됐다. 반도체 기업DB하이텍은 조기석 부사장이 승진과 함께 파운드리사업부 대표로, 황규철 사장이 브랜드사업부 대표로 각자대표를 맡게 됐다.신임 대표이사들은 내년 초 주주총회를 거쳐 최종 선임될 예정이다.DB그룹 관계자는 “전문 경영인을 그룹장으로 임명해 사업 전문성과 책임 경영을 강화하고, 계열사 대표 세대교체를 위한 인사”라고 설명했다."
2023-07-07,요양비용 쓴 만큼 돌려주는 실손보험 나왔다,"요양원의 경우 월 70만원 한도DB손해보험이 6일 업계 최초로 요양 비용을 쓴 만큼 돌려주는 ‘요양 실손보장보험’을 출시했다. 기존의 요양 관련 보험은 장기 요양 등급에 따라 일정 금액을 일시불로 지급하는 방식이었는데, 이제는 상한(上限)만 넘지 않으면 실제 들어간 돈을 다달이 지급받을 수 있는 상품이 나온 것이다.이 상품은 장기 요양 1~5등급을 받고 요양원 또는 방문요양 서비스를 이용하는 경우 발생하는 본인 부담금에 대해 매달 요양원(시설급여)은 70만원, 방문요양(재가급여)은 30만원 한도로 실손 보장한다. 추가 특약에 가입하면 요양원의 비급여 항목인 식재료비와 상급 침실 이용료를 총 120만원까지 추가로 보장한다. 방문요양도 특약 가입 시 1·2등급의 경우 1일 최대 6만원으로 총 120만원(월 20회)을 추가로 보장받는다.예를 들어 뇌졸중으로 거동이 불편한 70대 노모를 둔 A씨의 경우, 하루 기본 3시간의 방문 돌봄 서비스에 추가로 4시간을 연장하면 현재 기준으로 한 달에 총 128만원 정도의 자기부담금이 발생한다. 그런데 이 보험의 특약 상품에 가입하면 이를 모두 보장받을 수 있는 것이다. 기존 일시불 상품은 최대 2000만원쯤을 한 번에 받을 수 있지만, 1년여 남짓이면 모두 소진되는 금액이다.이 외에 요양원 직원이나 방문요양사 등에게 학대를 받았을 경우에 ‘피해위로금’ 명목으로 최대 100만원을 보장받을 수 있다. 보험료는 개인에 따라 다르지만, 통상 60세 기준으로 무(無)특약 상품은 월 9만원, 특약 상품은 월 18만원 정도다.DB손해보험 관계자는 “노후 요양과 관련된 다양한 위험을 보장하는 만큼, 존엄한 노후 생활을 유지하는 데 큰 도움이 될 것으로 기대한다”고 말했다."
2023-04-26,가만히 앉아서 순이익 111% 폭등… 보험사에 무슨 일이,"/pixabay개미들의 관심이 온통 2차전지 종목에 쏠려 있는 사이, 소리 없이 오른 업종이 있다. 손해보험주(株)다.올 들어 이달 21일까지DB손해보험 주가는 26%, 현대해상 주가는 24% 올랐다. 특히 최근 한 달 새 폭풍 상승해 최근까지 두 종목은 52주 신고가를 달렸다.사실 보험 업종은 지난 10여 년간 이어진 저금리 속에 저출산, 저성장이 겹치면서 투자자들 사이에서 그다지 주목받지 못했다. 그런데 갑자기 웬일로 보험주에 볕이 들었을까.‘만년 병풍’ 보험주 올들어 26% 폭등 52주 신고가… 백내장 과잉 진료 잡자, 손해율 뚝보험 업계로서는 앓던 이가 쏙 빠진 계기가 있었다. 꼭 1년 전인 지난해 4월 금융감독원이 경찰청·대한안과의사회와 함께 백내장 과잉 진료 및 보험금 누수 방지를 위한 특별 대책을 발표하고, 보험사기 예방 모범규준을 개정했다. 그간 비급여 과잉 진료 단골로 꼽혔던 백내장 수술에 대한 실손보험 청구 심사를 강화했다.그 결과, 작년 실손보험의 보험 손익이 1조5300억원 적자로, 2021년 적자(2조8600억원)보다 절반 가까운 1조3300억원이 개선됐다. 또 경과 손해율(보험료 수익 대비 발생 손해액)도 작년 기준 101.3%로 역대 최고였던 2021년(113.1%) 대비 11.8%포인트 줄었다. 손해율은 보험사의 핵심 수익성 지표다.전체 실적을 발목 잡던 실손보험에서 누수가 많이 줄어든 데다, 손보사들의 경우 지난해 자동차 보험 영업이익도 전년 대비 20%가량 늘어났다. 감독 당국이 올해부터 새로운 자동차 보험 표준 약관을 적용, 경상 환자가 ‘나이롱 환자’(장기 치료받는 가짜 환자)가 되는 것을 크게 줄일 것으로 예상되기 때문에 올해 실적도 작년 못지않을 것이라는 관측이 많다.그래픽=백형선회계의 마법?…앉아서 이익이 늘어나네사실 4월 들어 주가 그래프가 가팔라진 것은 또 다른 이슈 때문이다. 각 회사가 3월 말 작년 실적을 내놓으면서 올해부터 적용되는 새로운 보험회계 국제기준(IFRS17)에 따른 부채 시가평가 결과를 일제히 내놨는데, 새 회계 기준을 적용했을 때 실적이 크게 개선돼 보이는 회사들이 상당했다.현대해상의 경우 종전 회계 제도대로라면 작년 순이익이 5609억원인데, 업계에서 일명 ‘세븐틴’이라고 부르는 새 제도를 적용하면 1조1820억원으로 무려 111% 뛴다. ‘회계의 마법’이라 부를 만하다. 업계 순위도 바뀌었다. 손보 업계 1위였던 삼성화재가 새 회계 기준으로 보면 작년 순이익이 1조4764억원에 그치고,DB손해보험이 1조6703억원으로 삼성을 넘어선다.기존 회계 제도에서는 현금 흐름 일정에 맞춰 초기에 대량으로 인식하던 사업 비용을 새 회계 제도에서는 기간이 지남에 따라 일정하게 나눠 처리하게 된다. 한 보험사 관계자는 “보험료는 20~30년에 걸쳐 들어오는데 비용은 판매 초기에 크게 인식했던 기존 회계의 문제점이 개선되면서 왜곡이 사라져 순이익이 개선되는 효과를 보게 됐다”고 설명했다. 특히 장기 인(人)보험 상품 판매 비중이 높은 회사일수록 회계 변경에 따른 실적 상승 효과가 큰 것으로 풀이된다.그래서 주주 환원율은요?안영준 하나증권 연구원은 “과거 10년이 넘도록 지속된 저금리 기조로 보험 업종은 다른 업종에 비해 시장에서 많은 관심을 받지는 못했지만, 2021년부터는 급격히 금리가 상승한 데다 2019년 이후 손해율이 안정화되면서 손해보험사들의 실적은 성장을 이어오고 있다”고 평가했다. 안 연구원은 “IFRS17 도입 시 생명보험사는 이차 역마진(이자 손실) 때문에 저조했던 실적이 순이익 기준 100%~155% 증가하고, 손해보험사 역시 순이익이 30~70% 증가할 것”이라고 예상했다.다만 이런 요인들이 ‘반짝 효과’에 그칠 가능성도 있다. 보험연구원에 따르면 1980년대 연평균 20~30%씩 늘어났던 손보·생보사 원수보험료(가입자들로부터 거둬들인 보험료)는 2010년대 들어 3~6%대로 뚝 떨어졌다. 인구 감소, 저성장 경제 구조 속에서 보험 업계도 저성장·저수익성을 탈피할 만한 돌파구를 찾을 수 있느냐도 관건이다.강승건KB증권 연구원은 일단 보험 업종에 대한 매수 의견을 유지하면서도 “1분기 실적 발표 후 새 회계 기준을 적용한 이익을 기준으로 주주 환원율에 대한 구체적인 가이드라인이 필요한 시점”이라고 지적했다. 국내 보험사들의 배당 성향은 새 회계 기준에 따른 이익 기준으로 계산해도 13~39.7% 수준인데, 유럽 보험사들은 50% 이상인 곳이 많다. 이 차이가 좁혀질수록 투자 매력이 높아질 것이라는 얘기다."
2022-04-24,포항 대지진 손해 만회하려...임대주택 화재보험료 담합한 손보사들,"8개업체에 17억원대 과징금...KB손보와 공기업인스컨설팅은 검찰 고발포항대지진에서 입은 손해를 만회하기 위해 저소득층 임대주택 보험 입찰을 담합한 8개 손해보험사가 덜미를 잡혔다. 한국토지주택공사(LH)가 부담하는 임대주택 관련 보험을 담합해 보험료를 대폭 올려받은 것이다. 공기업인LH의 손실은 결국 국민들의 손실로 이어진다는 점에서 다른 유형의 담합보다 심각성이 크다는 지적이 나온다.KB손해보험 등 손보사의 입찰 담합 가담 내용 및 대가.공정거래위원회는 24일 “LH의 임대주택 재산종합보험 및 화재보험 입찰 과정에서 담합을 한KB손해보험과 삼성화재,MG손해보험, 한화손해보험, 흥국화재보험,DB손해보험, 메리츠화재보험, 공기업인스컨설팅 등 8개사에 대해 17억6400만원의 과징금을 부과하기로 했다”고 밝혔다. 이 가운데 담합을 주도한KB손해보험 등은 검찰에 고발하기로 했다.공정위에 따르면,KB손해보험은 2017년LH가 발주한 임대주택 등 재산종합보험 및 전세임대주택 화재보험 입찰 담합을 주도했다. 2017년 11월 15일 발생한 포항지진으로 100억원 가량의 손해가 발생했는데 이를 만회하기 위해 이듬해인 2018년 입찰에서 삼성화재보험을 들러리로 섭외하고, 한화손해보험 및 흥국화재보험은 입찰에 불참하게 한 것이다.이에 대한 대가로 삼성화재보험과 한화손해보험에게 지분 일부를 코리안리(재보험사)를 경유해 재재보험으로 인수하도록 했다. 재보험은 원보험의 위험을 분담하기 위한 ‘보험의 보험’이다. 재재보험은 재보험의 위험을 한번 더 분담한 ‘재보험의 보험’인데KB손해보험 공동수급체(원보험)→코리안리(재보험)→삼성화재보험 등으로 지분을 배정한 셈이다. 공정위 관계자는 “KB손보와 삼성화재가 재재보험을 통해 지분을 나눠갖기 한 것은 증거를 입수했지만 이 과정에서 코리안리가 개입했는 지 여부는 밝혀내지 못했다”고 했다.MG손해보험과DB손해보험은 삼성화재가 들러리로 입찰에 참가한다는 소식을 듣고KB공동수급체에 참여하는 방법으로 입찰담합에 가담했다.뉴시스/장혜림 공정거래위원회 입찰담합조사과장이 지난 22일 정부세종청사에서 한국토지주택공사가 발주한 2018년 임대주택 등 재산종합보험과 전세임대주택 화재보혐 입찰에서 들러리 참가·입찰불참 등의 방법으로 담합한KB손해보험, 삼성화재해상보험 등 8개 손해보험사에 대해 시정명령과 과징금 17억6400만 원을 부과하고 담합을 주도한KB손해보험 및 공기업인스컨설팅(주)를 검찰에 고발한다고 밝히고 있다.결국 담합을 하지 않고 정상적인 경쟁을 통해 입찰이 이뤄졌을 경우의 보험료에 비해 보험료가 크게 올랐다.KB공동수급체가 낙찰받은 금액은 2017년에 비해 약 4.3배였고, 설계가 대비 투찰률은 2017년 49.9%에서 2018년 93.0%로 급격히 상승했다.LH가 2016년부터 재산종합보험입찰을 통합해 실시한 이래 낙찰금액 및 설계가 대비 투찰률이 가장 높았다.이들 보험료는LH가 부담하지만, 보험료 상승에 따라 임차인(임대주택 거주자)이 내는 임대료가 올라갔을 가능성도 있다. 공정위 관계자는 “포항지진으로 인해 보험료가 어느정도 올라갈 수 있다는 점을 고려해도 보험사들이 너무 쉽게 담합을 통해서 부당한 이득을 챙겼다”며 “이때문에 그만큼 국민한테 돌아갈 수 있는 몫이 보험사에게 돌아갔다는 점에서 문제가 큰 담합이다”고 설명했다."
