date,title,content
2024-02-05,"DB하이텍, 작년 영업이익 2663억원…전년 대비 65.4%↓","DB하이텍 로고. /DB하이텍국내 반도체 기업인DB하이텍이 지난해 전년 동기 대비 65% 하락한 영업이익을 기록했다. 글로벌 경기 침체에 따른 반도체 시장 불황의 여파다.5일DB하이텍은 2023년 연결기준 매출액이 1조 1578억원, 영업이익이 2663억원으로 전년 대비 각각 30.89%, 65.35% 감소한 것으로 잡정 집계됐다고 공시했다. 순이익은 2448억원으로 56.2% 줄었다.작년 4분기만 놓고 보면 영업이익은 431억원으로 전년 동기 대비 71.97% 급감했다. 매출과 순이익은 각각 2830억원과 356억원을 기록했다.DB하이텍은 “세계적인 경기 침체에 따른 전방산업 수요 부진으로 반도체 파운드리 시장 회복이 지연되면서 전년에 비해 실적이 다소 하락했지만, 전력반도체 기술 격차를 지속 확대하는 동시에 차량용의 비중을 높이고 차세대 전력반도체로 주목받는GaN·SiC등 고부가·고성장 제품을 확대하며 경쟁력을 강화할 계획”이라고 설명했다.앞서DB하이텍은 작년 12월 말 지배구조 개선과 주주친화정책 강화를 골자로 하는 경영혁신 계획을 발표했다. 대표이사-이사회 의장 분리를 통해 이사회의 독립성을 높이고, 자사주 매입·소각, 배당 등을 통해 순이익의 30% 이상을 주주들에게 환원하겠다는 내용이다."
2023-10-31,"DB하이텍, 올해 3분기 매출 2678억원","반도체 제조사DB하이텍이 올해 3분기 실적(연결기준)을 발표했다.DB하이텍은 올해 3분기 매출은 2678억원으로 작년 동기 대비 40.14% 감소, 영업이익은 503억원으로 전년 동기보다 77.18% 감소한 것으로 잠정 집계됐다고 31일 공시했다. 올해 3분기까지 누적으로는 매출 8748억원, 영업이익 2232억원을 기록했다.DB하이텍 관계자는 “글로벌 경기 둔화와 지정학적 불안이 지속되는 상황 속에서 반도체 시장 회복이 지연되면서 영향을 받았다”며 “기존 전력반도체 사업의 기술 격차를 높여 나가는 한편, 고부가·고성장 제품 라인업을 확대하며 미래 준비를 강화할 것”이라고 밝혔다.최근DB하이텍은 전기차, 모바일, 데이터센터 등의 분야에서 수요가 급증하며 차세대 전력반도체로 주목받는GaN(갈륨나이트라이드)·SiC(실리콘카바이드)에 대한 초기 투자를 단행했다. 8월에는 장비 증설 등 생산성 향상 투자를 통해 생산능력 월 15만1000장을 확보해 반도체 업사이클(호황)을 대비하고 있다고 설명했다."
2022-08-12,"DB하이텍, 2분기 영업이익 2132억…6분기 연속 사상 최대","한화진 환경부장관이 29일 오전 충북 음성군 반도체 생산업체DB하이텍 상우공장에서 환경규제 개선을 위한 기업 간담회 후 반도체 생산 공정을 살펴보고 있다. /뉴스1반도체 파운드리(위탁생산) 회사DB하이텍은 지난 2분기(4~6월) 사상 최대 분기 실적을 기록했다고 12일 밝혔다. 매출은 4357억원, 영업이익은 2132억원으로 전년 동기 대비 각각 59%, 162% 증가했다.DB하이텍은 “6분기 연속 분기 최대 실적을 기록했다”면서 “공급망 불안과 인플레이션 등 악재에도 전력반도체 등 수요가 증가했고, 환율도 유리하게 작용했다”고 했다.DB하이텍은 구형으로 분류되는 8인치 웨이퍼(반도체 원판)를 사용해 반도체를 위탁 생산하는 기업이다. 최근 중국과 일본의 팹리스(반도체 설계) 시장이 급성장하면서 이들 국가로부터 수주하는 물량이 크게 늘어난 것으로 알려졌다. 디스플레이 반도체가 주력 분야인 브랜드(설계) 사업 부문도 전체 매출의 22%, 영업이익의 16%를 차지하며 실적 향상에 기여했다.DB하이텍은 “향후 전기차 등 신규 고성장 응용분야에 적합한 차세대 전력반도체 개발에 집중할 것”이라며 “5G 관련 무선주파수(RF)칩, 특화센서 등 성장 동력 확보에 주력하겠다”고 밝혔다."
2022-05-13,"반도체 호황 누린 DB하이텍, 1분기 최대 실적 기록","DB하이텍 부천공장 전경/DB하이텍반도체 파운드리(위탁생산) 업체DB하이텍이 1분기 매출 3950억원, 영업이익 1815억원을 기록했다고 밝혔다. 5분기 연속 최고 기록 행진이다. 매출은 전년대비 62%, 영업이익은 200% 증가했다. 특히 영업이익률은 46%로, 업계 최고 수준을 달성했다고DB하이텍이 설명했다.호실적은 8인치(200㎜) 반도체 부족 장기화로DB하이텍에 주문 물량이 몰린 덕분이다. 삼성전자 등 글로벌 대형 파운드리 업체들이 부가가치가 높은 12인치(300㎜) 생산에 집중하면서 자동차, 가전,PC등에 쓰이는 8인치 반도체 웨이퍼의 공급난이 계속됐다. 이 과정에서 다품종 소량생산 방식으로 8인치 생산에 주력하는DB하이텍이 수혜를 입은 것으로 분석된다.DB하이텍은 이날 실적에 대해 “OLED디스플레이 구동칩 매출이 본격화된 것 또한 실적에 긍정적 영향을 미쳤다”면서 “경기 부천과 충북 음성에 위치한 2개의 반도체 공장(팹) 모두 풀가동하고 있고 고객 수주 역시 연말까지 견조할 것으로 예상된다”고 했다."
2023-02-15,파운드리 기업 DB하이텍… 작년 매출 절반이 영업익,"국내 파운드리(반도체 위탁생산) 기업인DB하이텍이 지난해 50% 가까운 영업이익률을 기록하며 사상 최대 실적을 기록했다. 적자 위기에 직면한 국내 메모리 반도체 기업들과 달리, 파운드리 업계는 상대적으로 반도체 불황 여파가 적었기 때문으로 해석된다.14일DB하이텍은 지난해 매출 1조6753억원, 영업이익 7687억원을 기록했다고 밝혔다. 전년 대비 각각 38%, 93% 증가한 역대 최대 실적이다. 영업이익률(매출액 대비 영업이익)은 무려 46%로, 매출의 절반 가까이를 이익으로 남겼다는 의미다.DB하이텍은 전력반도체와 이미지센서 위탁 생산을 주력으로 하며, 레거시(전통) 공정이라 부르는 90~350나노 제품을 주로 생산한다. 대만 미디어텍, 미국 브로드컴,LX세미콘 등이 고객사인 것으로 알려져있다. 신규 장비에 계속 대규모로 투자해야 하는 메모리 산업과 달리, 파운드리는 이미 감가상각이 끝난 구형 장비를 계속 유지하면서 사업을 할 수 있어 상당한 원가 절감이 가능하다.DB하이텍 관계자는 “전력반도체 분야에서 기술력과 원가 경쟁력을 확보한 것이 주효했고, 자동차용 등 고부가가치 제품 비중 확대도 실적 상승의 원동력이었다”고 말했다.DB하이텍은 “호실적에 따른 주주 환원을 위해, 지난해 순이익 5638억원 중 10%에 해당하는 565억원을 배당한다”고 밝혔다."
2022-12-27,DB그룹 ‘보험·금융·제조’로 개편… 사장단 인사,"DB그룹이 26일 조직을 보험·금융·제조 서비스의 3개 사업 그룹으로 개편하고, 각 사업 그룹을 이끌어 갈 경영진 인사를 단행했다.보험그룹장에는 김정남DB손해보험 부회장, 금융그룹장엔 고원종DB금융투자 부회장, 제조서비스그룹장에는 이재형 전 동부대우전자 부회장이 각각 선임됐다. 김정남 보험그룹장은 2010년부터DB손해보험 대표이사를, 고원종 금융그룹장은 2010년부터DB금융투자 대표이사로 일해 왔다. 이재형 제조서비스그룹장은 동부대우전자 대표를 거쳐 2020년까지 한국 광산업진흥회 회장을 역임했다.주요 계열사 대표들도 바뀌었다.DB손해보험 신임 대표이사에는 정종표DB손해보험 부사장이,DB금융투자 신임 대표에는 곽봉석DB금융투자 부사장이 각각 사장으로 승진하면서 내정됐다. 반도체 기업DB하이텍은 조기석 부사장이 승진과 함께 파운드리사업부 대표로, 황규철 사장이 브랜드사업부 대표로 각자대표를 맡게 됐다.신임 대표이사들은 내년 초 주주총회를 거쳐 최종 선임될 예정이다.DB그룹 관계자는 “전문 경영인을 그룹장으로 임명해 사업 전문성과 책임 경영을 강화하고, 계열사 대표 세대교체를 위한 인사”라고 설명했다."
2022-10-06,"‘쪼개기 상장’ 부담되네, 기업개편 트렌드는 인적분할","소액주주 반대·심사 강화…DB하이텍·풍산 등 ‘물적분할’ 잇단 철회최근 인적분할·물적분할 등 기업 지배구조 개편 움직임이 활발하다. 주가가 바닥을 기면서 지분 인수 등 지배구조 개편에 필요한 비용이 줄어들자, 상당수 기업은 “지금이 적기”라며 앞다퉈 기업분할에 뛰어들고 있다. 특히 재작년LG화학과LG에너지솔루션의 물적분할로 기존 투자자들이 거세게 반발한 사례를 겪으면서, 최근 시장에서는 인적분할이 활발하게 이뤄지고 있다. 반면 물적분할을 발표했던DB하이텍·풍산은 소액주주들의 집단 반발에 부딪혀 당초 계획을 줄줄이 철회하고 있다. 최근 금융 당국도 물적분할에 대한 규제를 강화해 앞으로 물적분할은 더욱 힘들어질 전망이다.한화·현대백·코오롱은 인적분할 중한화솔루션은 최근 갤러리아 부문을 9(존속법인 한화솔루션) 대 1(신설 한화갤러리아)로 인적분할한 뒤, 한화갤러리아를 내년 3월 신규 상장하겠다고 밝혔다. 재계 일각에서는 김승연 한화그룹의 셋째 아들 김동선 상무가 갤러리아 신사업전략실장으로 일하고 있는 점을 고려해, 이번 인적분할을 승계 문제와 연결지어 해석하는 시각도 있다. 김동관 한화솔루션 부회장, 김동원 한화생명 부사장, 김동선 한화솔루션 갤러리아부문 상무 등 한화 3형제가 각각 제조·금융·유통 이렇게 3부문으로 나눠 갖는다는 시나리오다.현대백화점그룹도 지난달 주력 계열사인 현대백화점과 현대그린푸드를 각각 인적분할해, 지주회사 체제로 전환하겠다고 밝혔다.현대백화점은 신설 법인인 현대백화점홀딩스와 존속법인인 현대백화점으로 분리된다. 현대백화점홀딩스는 현대백화점이 46.3%의 지분을 보유한 백화점 운영업체 한무쇼핑을 자회사로 지배하고, 현대백화점은 온라인 가구·매트리스 기업인 지누스와 면세점 사업을 자회사로 두는 방식이다. 현대그린푸드도 임대사업, 신규 투자 등을 목적으로 하는 사업 부문을 현대지에프홀딩스(존속회사)와 푸드서비스, 유통 사업, 식재 사업을 목적으로 하는 현대그린푸드(신설회사)로 분리하기로 했다.코오롱글로벌도 지난 7월 인적분할을 통해 수입차 판매·AS부문 신설 회사인 코오롱모빌리티그룹을 세우기로 했다. 코오롱모빌리티는 이웅열 명예회장의 아들 이규호 부사장이 대표로 선임됐다. 화학 소재 기업인 유니드, 건축자재 회사인 아주산업도 최근 이사회에서 인적분할을 결정해 각각 오는 11월, 12월 분할이 이뤄진다.주요 기업들이 최근 인적분할에 적극적으로 나서는 것은 규제 강화로 발목이 잡힌 물적분할의 대안으로 떠오른 측면도 있다. 금융위원회는 지난달 4일 상장 기업의 주주가 물적분할에 반대하는 경우 기업에 주식을 매수해달라고 요구할 수 있는 ‘주식매수청구권’을 부여하고, 물적분할 후 자회사 상장 시 심사를 강화하겠다고 밝혔다.소액주주 반대에DB하이텍·풍산 물적분할 줄줄이 중단반면 최근 물적분할을 추진했던 기업들은 소액 주주들의 반발로 계획을 속속 철회하고 있다. 파운드리(반도체 위탁생산)와 팹리스(반도체 설계) 부문을 운영하고 있는DB하이텍은 팹리스 부문을 물적분할해 자회사로 분사하는 방안을 검토해왔다. 이 소식이 알려지자 소액주주들은 온라인카페를 만들어 물적분할 반대 집단 행동에 나서며, 차라리 인적분할을 하라고 제안했다. 이들은 회사를 상대로 주주명부 열람·등사를 요구하며 가처분 신청을 제기했고, 국회의원들에게 김준기DB그룹 창업회장을 국정감사 증인으로 신청해달라고 요청하기도 했다. 이들의 거센 반발에DB하이텍은 지난달 “현재 진행 중인 분사 작업 검토를 중단하기로 했다”고 공시했다.풍산도 방산사업부를 풍산디펜스로 물적분할하는 안을 이달 말 임시주주총회에서 통과시킬 계획이었지만, 지난 4일 철회했다. 그룹 측은 기존 주주가치 훼손을 막기 위해 풍산디펜스 비상장 상태로 유지하겠다고 밝혔지만, 주주들이 유망 사업인 방위산업을 분리 계획에 반발하며 풍산 주가가 폭락했다. 게다가 물적분할에 대한 엄격한 규제가 시행되기 전의 꼼수 분할이라는 논란과 함께 류진 회장이 국감 증인으로 채택되는 일까지 발생하자 결국 계획을 접었다. 최준선 성균관대 법학전문대학원 명예교수는 “최근 물적분할에 대한 사회적 여론이 악화되고 기업 이미지까지 덩달아 나빠지자, 경영 효율화 등을 위해 기업분할을 고려하고 있는 많은 기업이 인적분할 방안에 눈을 돌리고 있다”고 말했다.☞물적분할·인적분할물적분할은 회사를 둘로 나눈 뒤 기존 회사가 신설 회사의 주식을 100% 소유하는 형태로, 기존 주주는 신설 회사 주식을 배정받지 못한다. 핵심 사업 부문을 떼낸 신설 회사 상장을 통해 대규모 자금 유치가 가능하지만 ‘주주 가치 훼손’ 논란이 불가피하다. 반면 인적분할은 기존 회사 주주들도 신설 회사 지분을 받기 때문에 이런 비판에서 상대적으로 자유롭다."
2022-08-11,한국만 왜이래… 줄잇는 ‘물적분할’에 주주들 분통,"최근DB하이텍 “물적분할 검토”, 후성 “상장 추진”… 주가 급락올 1월27일 서울 여의도 한국거래소에서LG에너지솔루션 코스피 신규상장 기념식이 열렸다./뉴스1DB그룹 계열사인DB하이텍이 반도체 설계사업부문 물적분할을 검토한다는 소식이 알려진 지난달 12일 하루 동안 주가가 15.7% 급락했다.이후로도 주가가 횡보하는 가운데, 개인 주주들은DB그룹이 지주사 전환 과정에서DB하이텍 물적분할을 악용하려 한다면서 사측에 대항하기 위해 지분을 모으고 있다. 주주명부 열람도 요청하는 등 사측과 개인 주주 간 골이 깊어지고 있다.지난 5일에는 화학기업 후성이 지난해 해외법인 지주사업 부문을 물적분할해 만든 후성글로벌을 상장 추진하겠다고 밝히면서 주가가 13.6% 급락했다. 후성글로벌이 후성의 해외 2차전지와 반도체 소재 자회사를 관리하는 알짜 회사인데, 이 회사를 상장하면 기존 후성 주주들은 ‘앙꼬 없는 찐빵’을 들고 있는 신세가 될 것이 뻔하기 때문이다.“앙꼬 없는 찐빵 됐다”…들고 일어나는 주주들올해 초LG화학의LG에너지솔루션 상장으로 논란이 됐던 물적분할 후 모자(母子)기업 동시 상장 문제가 여전히 주식시장을 흔들고 있다. 주요 기업들이 핵심 사업부를 떼어내 자회사를 설립하는 물적분할을 단행한 뒤 이 회사를 상장하면서, 모기업 주식을 가진 주주들이 손해를 보는 사례가 꼬리를 물고 있기 때문이다.금융위원회는 지난 8일 업무보고에서 물적분할에 반대하는 주주들에게 주식매수청구권을 부여하고, 물적분할 자회사 상장 때 주주와 소통하도록 공시와 상장심사를 강화하겠다는 대책을 내놨다. 그러나 소액 주주들은 “턱없이 부족한 대책”이라며 반발하는 중이다.물적분할 자체는 법에서 허용하는 기업 구조조정 수단이다. 그러나 우리나라에서 유독 지배주주의 지분을 희석하지 않으면서 대규모 자금 조달을 하는 방편으로 사용되고, 이 과정에서 기존 개인 주주들의 권리는 보호되지 않는다는 게 문제라는 지적을 받고 있다.물적분할을 하면 분할되는 사업부에 대해 모회사 주주는 의결권을 상실하고, 분할 자회사를 상장하면 모자기업 간에 이해충돌이 발생할 수 있다. 자회사가 대규모 신주를 발행하면 모회사 주식 가치는 희석된다. 남길남 자본시장연구원 자본시장실장은 “물적분할제도 자체가 나쁜 것은 아니지만, 지배주주만의 의도대로 회사를 쪼개고 상장하는 게 문제”라면서 “물적분할 자회사 상장 시 공시 요건이 생긴 게 없는 것보다는 낫지만, 물적분할을 하면서 상장 계획을 밝힌 기업은 이제껏 한 곳도 못 봤다. 공시의 진실성이 떨어질 수밖에 없다”고 했다.“회사 주식 주주에 현물 배분해야”일본 경제산업성 등의 통계에 따르면, 2019년 기준 주요국 증시에서 전체 상장사 중 물적분할 후 자회사가 동시에 상장된 회사의 비율이 영국 0%, 미국 0.5%, 프랑스·독일 2% 수준인 데 비해 한국은 8.5%에 달한다.실제 모회사와 자회사가 동시에 상장돼 모회사 주주에게 얼마나 피해가 발생했는지 계산해본 연구도 있다. 경제개혁연구소가 2017년 이후 올 5월까지 모자(母子)회사 동시상장 사례 42건 중 모회사 소액주주들이 자회사 공모 주식을 받지 못해 발생한 기회손실에 따른 손해액이 8조9300억원에 달했다. 가장 큰 손실이 있었던 경우는LG에너지솔루션 상장으로LG화학 소액 주주들은 4조7000억원대 기회손실을 본 것으로 분석됐다.전문가들은 작년 말 독일 다임러가 다임러트럭을 물적분할해 상장할 때 다임러트럭 신주 65%를 모회사 주주에게 배분한 사례, 또 올 7월 영국GSK(글락소스미스클라인)가 헬스케어 전문기업 헤일리온을 물적분할해 상장하면서 신주 54.5%를 모회사 주주에게 배분한 사례 등을 우리도 참고해야 한다고 지적한다.김규식 한국기업거버넌스포럼 회장은 “자본시장 선진국들은 종속 자회사의 대규모 신주발행 방식 상장이 사실상 금지돼 있고, 상장하는 경우엔 반드시 자회사 주식을 현물 배분한다”면서 “한국 자본시장 디스카운트 요인인 모자회사 동시상장 악습을 손봐야 한다”고 했다."
2023-06-30,"상장폐지 앞둔 우선주, 40% 떨어졌다 상한가 치기도","발행주식 너무 적어 퇴출 예정인데 주가 널뛰기29일 유가증권(코스피)시장에서 현대비앤지스틸우는 주가가 가격 제한 폭(30%)까지 급등하며 2만6000원을 기록했다. 지난 22일부터 5거래일 연속 약 40% 하락해 2만원까지 떨어졌지만, 이날 갑자기별 이유 없이 상한가를 찍었다. 이 주식은 의결권은 없지만 보통주보다 이익 배당 우선순위가 높은 우선주였다.또 다른 우선주DB하이텍우도 이날 상한가 가까이(28%) 급등하다 전날 대비 12% 오른 3만4050원에 거래를 마쳤다.SK네트웍스우, 흥국화재2우B도 각각 17%, 12% 동반 급등하다 각각 전날보다 3%, 6% 오른 가격에 마감했다.그런데 이런 널뛰기 움직임을 보이는 우선주들이 다음 달 상장폐지가 예고되어 있다는 점에서 증시에선 우려의 목소리가 나온다. 전문가들은 이 주식들은 유통 주식 수가 적은 탓에 주가가 큰 폭으로 출렁이고 있어 투자자들이 손해를 볼 수 있다고 경고한다. 이남우 연세대 교수는 “정상적인 투자자라면 투자를 하지 말아야 한다”며 “금융 당국이 안내를 해야 하고 주식 발행 기업도 주주들에게 상장폐지와 관련한 사전 설명을 충분히 해야 한다”고 말했다.그래픽=양진경그래픽=양진경상폐 종목, 작전 표적 가능성금융당국은 2020년 6월 ‘우선주 관련 투자자 보호 강화방안’을 내고, 상장 주식 수가 20만주가 되지 않는 우선주들은 2022년 말까지 상장 주식 수를 늘리라고 요청했다. 하지만 삼성중공업·현대비앤지스틸·SK네트웍스·흥국화재·DB하이텍 등의 5개 우선주는 상장 주식 수를 늘리지 않아 관리 종목으로 지정됐다. 이후 이달 말까지 같은 상태를 유지할 경우 상장폐지하도록 했는데, 29일 현재 이들 우선주 주식 수는 10만주대에 그치고 있다.한국거래소는 지난 1일 이들에 대해 상장폐지 우려가 있다고 예고 공시했다. 실제 상장폐지 예고 기간과 정리 매매 기간을 거쳐 다음 달 중순 최종 상장폐지될 예정이다.그런데 난데없이 상장폐지를 앞둔 이 종목들이 최근 급등락하고 있는 것이다.SK네트웍스우는 지난 21일 별 이유 없이 상한가를 친 뒤 지난 28일까지 33% 급락했다. 삼성중공우(삼성중공업 우선주)도 지난 20일 14% 상승한 뒤 이틀간 연달아 7%씩 하락했다.증시 전문가들은 작전 세력이 움직인 것으로 의심한다. 이들 주식은 시가총액 규모가 수십억원대로 매우 적어 소액의 자금으로도 쉽게 주가를 띄울 수 있는 상태다.보통주와 가격 차이도 커우선주는 보통주에 있는 의결권이 없기 때문에 통상 보통주에 비해 주가가 낮은 반면, 배당은 많이 받는 특성이 있다.하지만 최근 가격이 급등락한 우선주들은 적자 등의 문제로 배당을 아예 주지 않거나 매우 적다. 따라서 투자 대상으로서 가치가 낮은 것으로 평가된다.SK네트웍스우선주의 배당금을 주가로 나눈 시가배당률은 0%다. 보통주도 시가배당률이 2~3% 수준인데 우선주가 더 낮은 것이다. 연속적인 적자를 보고 있는 삼성중공업 우선주 역시 보통주와 함께 9년째 배당을 지급하지 않고 있다.우선주 주가도DB하이텍만 빼고 보통주와의 격차가 지나치게 벌어져 있는 상태다. 이날 삼성중공우는 10만8000원인데, 삼성중공업은 6560원에 거래됐다. 통상 보통주 주가보다 우선주 주가가 낮은데, 우선주 주가가 오히려 높은 상태다. 그 격차도 16배까지 벌어져 있다.상폐 후, 우선주들 어떻게 되나상장 주식 수를 늘릴 방법을 마땅히 찾지 못한 이 우선주들은 다음 달 중 상장폐지될 예정이다. 한 기업 관계자는 “내부적으로 유상증자나 액면분할 등 다양한 방법을 검토했으나 현실적으로 어렵다는 결론을 내렸다”고 했다. 3~5일까지 상장폐지 예고 기간을 갖고, 6~14일까지는 정리 매매가 진행된다. 이후 15일 상장폐지된다.상장폐지돼도 주식이 완전히 사라지는 것은 아니다. 상장 주식처럼 손쉽게 거래를 할 수 없게 되는 것이다. 비상장 거래소를 통해 거래를 할 수는 있다. 배당이 나온다면 정상적으로 지급은 된다. 황세운 자본시장연구원 선임연구위원은 “상장폐지를 앞둔 주식을 도박처럼 생각하며 투자하는 사람들이 있기 때문에 주가가 크게 출렁이는 것”이라며 “작전 세력 개입도 배제할 수 없기 때문에 투자자들은 유의해야 한다”고 했다."
2023-02-17,“배당 늘려라” “경영진 바꿔라”… 행동주의펀드와 소액주주 목소리 커져,"3월 주총앞두고 주주제안 쏟아내얼라인파트너스,JB금융지주에 1주당 900원 배당안 등 요구오는 3월 정기 주주총회를 앞두고 주요 대기업CEO(최고경영자)들은 “올해 주총은 그 어느 때보다 힘들 것 같다”며 바짝 긴장하고 있다. 갈수록 힘이 세지는 행동주의 펀드뿐 아니라 주총에서 목소리를 높이는 소액 주주들 움직임에 촉각을 곤두세우며 대응책 마련에 고심 중이다. 행동주의펀드와 소액주주들은 배당 확대에서부터 이사·감사 선임, 경영진 교체, 회사 분할까지 다양한 주주제안을 쏟아내고 있어, 올해 주총장은 이들의 표 대결로 뜨거워질 전망이다.트러스톤자산운용 로고.행동주의펀드 트러스톤자산운용은 16일 자신들이 2대 주주(지분율 8.96%)로 있는 의류 기업BYC측을 상대로 주주제안서를 보냈다. 트러스톤은 “BYC회계장부를 열람한 결과 한석범 회장의 장남과 장녀가 각각 최대주주인 계열사 2곳에BYC의 특정 제품을 유리한 단가에 공급한 부당 내부거래 정황이 드러났다”며 특정 변호사를 감사위원으로 선임할 것을 제안했다.SM엔터테인먼트의 지배 구조 변화를 이끌고 있는 얼라인파트너스자산운용은JB금융지주에도 주주제안을 쏟아내고 있다. 얼라인 측은 주당 900원 결산 배당과 뱅크오브아메리카메릴린치(BAML) 출신 자본시장 전문가인 김기석 후보자 1인을 사외이사로 추가 선임하는 주주제안을 했다. 또 다른 행동주의 펀드 플래쉬라이트 캐피탈 파트너스(FCP)는KT&G를 대상으로 차석용 전LG생활건강 대표와 황우진 전 푸르덴셜 생명보험 대표를KT&G 사외이사 및 감사위원으로 추천하는 안건을 제안했다. 이어KT&G를 인적분할한 뒤 분할신설회사 이사회에 두 사람을 이사로 참여시키자는 분할계획안을 추가로 제시하기도 했다.전국경제인연합회에 따르면 행동주의 펀드가 국내 기업을 대상으로 공격적인 주주제안을 하는 경우가 최근 크게 늘고 있다. 2019년에는 8건에 불과했지만, 지난해에는 47건으로 3년 만에 약 6배가 됐다. 같은 기간 일본이 1.6배 증가한 것을 감안하면 월등히 높은 수준이다.행동주의 펀드뿐 아니라 소액주주들도 적극적으로 행동에 나서고 있다. 지난해 9월 파운드리 전문기업DB하이텍의 물적분할계획을 철회시킨DB하이텍 소액주주연대는 보통주 1주당 2417원의 현금배당과 한승엽 홍익대 경영대 교수를 감사위원으로 선임 요청하는 주주제안을 보냈다. 광주신세계 소액주주 모임은 정용진 신세계그룹 부회장이 2021년 자신의 광주신세계 보유 지분(지분율 52.08%)을 신세계에 매각해 주가가 급락했다며 주당 3750원의 현금배당과 감사위원 후보 추천을 주주제안으로 제출했다.이뿐이 아니다. 현대백화점은 주주가치 훼손 논란을 피하기 위해 물적분할이 아닌 인적분할 방식의 기업 분할을 제안했다가 지난 10일 임시주총에서 부결됐다. 시장에서는 일부 주주들의 반대에도 인적분할안이 통과될 것이라고 예상했지만 결국 부결돼 다른 기업CEO들도 큰 충격을 받은 것으로 알려졌다. 유정주 전경련 기업정책팀장은 “행동주의 펀드의 기업 경영 관여는 이제 경영의 변수가 아니라 상수가 되고 있다”며 “이들의 주주권 행사를 막을 수 없는 만큼, 사전에 이들이 관여할 수 있는 여지를 차단하고 평소 기관투자자들과의 소통에 적극적으로 나서야 한다”고 말했다."
