date,title,content
2024-12-13,"DL, KT, Lotte sell off hotels amid soaring prices and demand","Companiesliquidatehotelassetstostrengthenfinancesamidboomingforeigntourism,attractingglobalinvestorsGladHotelYeouidoinSeoul./CourtesyofDLDL,KT,andLottearesellingtheirhotelassetsamidasurgeinforeigntourists,fueledbytheglobalriseofK-content.Thesecompaniesareliquidatingrealestateassetstostrengthentheirfinancialstability,whileinstitutionalandforeigninvestorsareseekingopportunitiesinthegrowthpotentialofSouthKorea’shotelsector.AccordingtotherealestateindustryonDec.12,DLGroupissellingGladYeouidoandGladCoexhotelsinSeoul,andMaisonGladJejutostreamlineassetsandrestructureoperations.Thesalepriceisestimatedtobearound600billionto700billionwon($420millionto$490million)withforeigninvestorssuchasGIC,KKR,andBlackstoneshowinginterest.KTGrouphasalsoselectedanadvisoryfirmtofacilitatelarge-scalerealestateliquidationtoraisefundsfornewgrowthareaslikeartificialintelligence(AI).Amongthe20propertiesunderreviewarefive-starhotelsinSeoul,includingNovotelAmbassadorDongdaemun,AndazGangnam,SofitelAmbassadorSeoul,andLeMéridien&MoxyMyeongdong.LotteGroup,whichisfacingliquidityconcerns,announcedplanslastmonthtosellsomeofitshotels,includingL7Myeongdong,L7Hongdae,andUlsanCityHotel,toraiseabout600billionwon.Arealestatefundmanagerexplained,“Withhoteldemandoutstrippingsupply,foreigninvestorsviewSouthKorea’shotelmarketashighlypromising.Corporationsseethisastheoptimaltimetosecurehighsaleprices.”FromJanuarytoOctober,around13.74millionforeigntouristsvisitedSouthKorea,a 54.7%increasecomparedtolastyear.HoteloccupancyratesinSeoulreachedaround80%lastmonth,fullyrecoveringtopre-pandemiclevels.AccordingtorealestatefirmRsquare,hoteltransactionsinSeoul,Busan,andJejuduringthefirstthreequartersofthisyeartotaled2.16trillionwon,asixfoldincreasefrom360billionwonduringthesameperiodlastyear."
2024-12-13,한류에 호텔 몸값도 덩실… 기업들 “지금 팔자”,"DL·KT·롯데그룹 등 매각 추진DL그룹이 매각을 추진 중인 서울 여의도 ‘글래드 여의도’ 호텔. /DL‘K콘텐츠’ 열풍으로 방한 외국인 관광객이 늘고 있는 상황에DL과KT,롯데 등 주요 대기업들이 보유 중인 호텔 매각에 나서고 있다. 호텔 등 부동산 자산을 유동화해 재무 건전성을 확보하려는 대기업과 국내 호텔의 성장 가능성에 투자하려는 기관투자자 및 외국계 큰손들의 이해가 맞아떨어진 것이다.12일 부동산 업계에 따르면,DL그룹은 자산 정리와 사업 구조 개편을 위해 서울에 있는 ‘글래드 여의도’와 ‘글래드 코엑스’,제주의 ‘메종 글래드 제주’ 등 호텔 3곳의 매각을 추진 중이다. 총 매각가는 6000억~7000억원 정도로 전망된다. 싱가포르투자청(GIC)과 콜버그크래비스로버츠(KKR), 블랙스톤 등 외국계 투자자들이 인수에 관심을 보이는 것으로 알려졌다.KT그룹도 최근 매각자문사를 선정하고 대규모 부동산 유동화에 나섰다. 부동산 매각으로 현금을 확보해 인공지능(AI) 등 새로운 성장 동력을 키운다는 취지다.KT가 매각을 저울질하는 20여 부동산 자산 중에는 ‘노보텔 앰배서더 동대문’ ‘안다즈 강남’ ‘소피텔앰배서더 서울’ ‘르메르디앙&목시 명동’ 등 서울 지역 5성급 호텔이 포함돼 있다. 유동성 위기설이 불거진 롯데그룹은 지난달 기업설명회에서 L7과 시티호텔 가운데 일부를 매각해 6000억원가량을 확보하는 계획을 내비쳤다. 롯데그룹이 보유한 ‘L7명동’ ‘L7홍대’ ‘울산시티호텔’ 등 세 곳이 유력하게 거론된다.한 자산운용사 관계자는 “현재 관광 수요보다 호텔 공급이 부족한 상황이어서 외국 자본들도 국내 호텔 시장의 잠재력을 높게 평가하고 있다”며 “지금이 제값을 받을 적기라고 판단한 대기업들이 서둘러 호텔 매각에 나서는 것”이라고 했다. 올 들어 10월까지 한국을 방문한 외국인 관광객은 약 1374만명으로 전년 동기 대비 54.7% 증가했다. 지난달 서울 시내 주요 호텔의 객실 점유율은 80% 안팎으로 코로나 이전 수준을 완전히 회복했다. 상업용 부동산 종합서비스 기업 알스퀘어에 따르면 올해 1~3분기 서울·부산·제주 호텔 거래 규모는 2조1600억원으로, 지난해 같은 기간(3600억원)보다 6배 급증했다."
2024-05-02,"DL케미칼, 석유화학 불황에도 1분기 영업익 1178억원 기록","석유화학기업DL케미칼이 중국발(發) 공급 과잉으로 인한 국내 석유화학 업계 불황에도 고부가 제품 판매 호조에 힘입어 올해 1분기 연결 기준 매출 1조 2297억원, 영업이익 1178억원을 달성했다.DL케미칼 전남 여수PB공장 전경/DL케미칼매출과 영업이익은 전년 동기 대비 각 9.9%(1105억원), 540%(994억원) 증가했고, 직전 분기 대비 각각 16.3%(1720억원), 820%(1050억원) 늘었다.DL케미칼 별도 기준으로는 새롭게 개발한 태양광 봉지재용POE(폴리올레핀 엘라스토머)와PB(폴리부텐)의 견조한 판매로 매출 5016억원을 기록했다. 출범 이후 분기 기준 최대 매출을 달성했다. 영업이익 역시 매출의 16.5%에 달하는 828억원을 기록했다. 전년 동기 대비 414% (667억원), 직전 분기 대비 35.3% (216억원) 늘어났다.주요 자회사 실적이 개선됐다. 2022년 약 1조8900억원에 인수를 완료한 석유화학 기업 크레이튼은 원재료 가격 안정화와 판매 물량 증가에 힘입어 전년 동기 대비 4.9%, 전분기 대비 28.8% 늘어난 6953억원 매출을 기록했다. 영업이익도 556억원으로 흑자 전환했다.DL케미칼 관계자는 “이미 수년 전 호황기 때부터 범용 중심 석유화학 사업은 향후 중국의 굴기에서 비롯된 구조적인 한계에 직면할 것으로 판단하고 고부가 제품 중심으로 빠르게 사업 구조를 개편해왔다”고 설명했다. 크레이튼, 카리플렉스와 같은 글로벌 선도 기업들을 인수하며 범용에서 스페셜티(Specialty·고부가 제품)로 사업 영역을 확장했고, 제품 포트폴리오 역시POE등 가격 프리미엄이 높은 고부가 제품들의 비중을 높여왔는데 그 성과를 거뒀다는 것이다."
2024-11-06,[단독] ‘리베이트 탈세’ DL 등 지주사로 세무 조사 확대,"국세청, 사주 일가 비자금 조사자금 드러나면 검찰 고발할 듯국세청 전경. /국세청DL과 효성그룹 건설사의 ‘리베이트 탈세’ 의혹을 조사 중인 국세청이 대주주와 연결돼 있는 계열사로 세무조사를 확대하고 있는 것으로 5일 전해졌다. 법조계에서는 “사주(社主) 일가의 비자금(부외자금) 조성 정황을 찾고 있는 것으로 보인다“는 해석이 나왔다.본지 취재를 종합하면, ‘국세청의 특수부’로 불리는 서울지방국세청 조사4국은DL그룹의 지주사DL㈜의 대주주인 ㈜대림, 핵심 계열사 중 하나인DL케미칼,DL케미칼과 한화솔루션(옛 한화케미칼)의 합작사인 여천NCC에 지난달부터 조사 인력을 보내 회계처리 과정 전반을 들여다보고 있는 것으로 알려졌다. 세무당국은 효성그룹 지주사인 (주)효성에 대해서도 조사할 방침인 것으로 전해졌다.앞서 지난 9월 국세청은 건설‧의료‧보험 업계의 ‘불법 리베이트’ 사례 47건을 적발해 이들 기업에 대한 세무조사에 착수했다. 기업이 판매한 상품이나 용역의 대가 중 일부를 일종의 뇌물처럼 ‘뒷돈’으로 구매자에게 돌려준 ‘리베이트’ 단서를 잡은 것이다.건설 분야에서는 시공사(건설사)가 공사 일감을 따내기 위해 시행사나 재건축조합 등 발주처에 뒷돈을 건네거나 발주처 관계자 자녀 등을 특혜 채용한 사실이 확인됐다. 세무조사 대상 건설사 17곳 중 대형 업체는DL이앤씨(시공능력 5위)와 효성중공업(39위)이 포함됐다.업계에서는 이번 세무조사가 건설사 리베이트에 국한하지 않고, 대기업 집단의 지주사와 다른 사업 분야까지 확대된 데 주목하고 있다.DL그룹은 2019년 지주사 체제로 전환해 ‘이해욱 회장→㈜대림(옛 대림코퍼레이션)→DL㈜→DL이앤씨‧DL케미칼‧DL에너지’의 지배구조를 갖췄다. 이 회장은 ㈜대림 지분을 52.3% 보유하고 있다.효성그룹도 ㈜효성이 지주사로서 효성중공업의 지분 32.47%를 보유하고 있다. 지난 3월 조석래 명예회장 사망 후 지분을 상속받은 조현준 회장이 올 6월 말 기준, ㈜효성의 최대주주(지분율 33.03%)이다.국세청은 조사 과정에서 일부 건설사 등이 사주 일가와 관련된 대행사를 통해 자금을 세탁한 정황도 포착한 것으로 알려졌다. 이에 세무조사 대상 기업들과 거래한 업체의 회계 장부도 조사하고 있다. 세무 당국의 한 관계자는 “분야별 리베이트 기획 세무조사가 지주사로 이어졌다는 것은 사주 일가를 겨냥하고 있는 것으로 봐야 한다”면서 “비자금이 드러나면 검찰 고발로 이어질 것”이라고 했다."
2024-10-29,"DL이앤씨, 즉시 상용화 가능 ‘층간소음 1등급 바닥구조’ 개발","DL이앤씨는 아파트 건설 현장에서 즉시 상용화할 수 있는 ‘층간 소음 1등급 바닥 구조’를 개발했다고 28일 밝혔다. 기존에 나온 1등급 바닥 구조가 비싼 원가와 시공 어려움 때문에 현장에 도입하지 못하는 문제를 해결했다는 것이다.DL이앤씨는 “소음 차단 효율이 높은 복합 소재를 단순한 구조로 구성해 상용성을 극대화했다”고 설명했다. 소음과 진동을 최소화하는 마감재와 완충재를 적용하고, 잔여 진동을 빠르게 분산하는 특수 패드를 설치했다. 이 구조는 정부 지정 인정 기관인LH품질시험인정센터의 성능 평가에서 1등급을 받았다. 1등급은 아래층에 전달되는 소음이 37dB(데시벨) 이하인 경우 받을 수 있다. 일반적으로 가정용 에어컨의 소음 수준이 38~40dB정도다.박상신DL이앤씨 대표는 “건설사 중 유일하게 1~3등급 바닥 구조를 모두 시공할 수 있게 됐다”며 “사업지와 발주처 여건에 따라 맞춤형 기술을 공급할 것”이라고 했다."
2024-09-28,DL이앤씨·효성중공업 ‘리베이트 탈세’ 세무조사,"국세청, 47개 업체 조사 착수최근 국세청이 착수한 ‘리베이트 탈세’ 의심 세무조사 대상에DL이앤씨(옛 대림산업)와 효성중공업 등 대기업들도 포함된 것으로 27일 전해졌다.본지 취재를 종합하면, ‘국세청의 특수부’로 불리는 서울지방국세청 조사4국은DL이앤씨와 효성중공업 등에 대한 세무조사를 시작했다. 최근 이 업체들에 대한 현장 조사도 벌인 것으로 알려졌다.앞서 지난 25일 국세청은 건설·의료·보험 업계의 ‘불법 리베이트’ 사례를 47건 적발해 세무조사에 착수했다고 밝혔다. 대상은 건설 17곳, 의약품 16곳, 보험중개 14곳 등 3개 분야 47개 업체이다. 리베이트란 기업이 판매한 상품이나 용역의 대가 중 일부를 ‘뒷돈’으로 구매자에게 돌려주는 것으로, 시장의 공정성을 해치는 행위다.국세청은 대형 건설 업체(시공사)가 공사 일감을 따내기 위해 발주처인 재건축조합 자녀에게 허위 급여를 주거나, 시행사 직원의 가족 명의 업체에 용역비를 제공한 사례를 확인하고 세무조사에 나선 것으로 알려졌다.DL이앤씨는 ‘e편한세상’과 ‘아크로’ 브랜드를 보유한 국내 10대 건설사이자, 재계 18위인DL그룹의 핵심 계열사다. 효성중공업은 시공능력 39위 업체로 브랜드는 ‘해링턴 플레이스’다.법조계에서는 이번 세무조사 결과에 따라 건설 업계의 리베이트 관행이 검찰 수사로 이어질 수도 있다고 보고 있다. 기업의 탈세 행위가 최고경영자(CEO)나 사주 일가의 비자금 수사로 확대될 수 있기 때문이다. 국세청은 2013년 5월 효성그룹에 대한 특별 세무조사를 시작해 그해 9월 조석래 전 회장 등을 검찰에 고발했고, 서울중앙지검 특수2부가 수사해 2014년 1월 조 전 회장을 불구속 기소했다.DL이앤씨 관계자는 “기업 분할을 한 지 올해 4년 차가 됐고, 10대 건설사 중 최근 3년 동안 세무조사를 받지 않아서 이번에 세무조사를 받게 된 것으로 안다”고 했고, 효성중공업 측은 별다른 입장이 없다고 했다."
2024-09-27,"[단독] DL‧효성, 국세청 ‘리베이트 탈세’ 세무조사 받는다","민주원 국세청 조사국장이 지난 25일 세종시 국세청 기자실에서 건설, 의약품, 보험중개 등 3개 분야 47개 업체를 대상으로 한 리베이트 세무조사 추진 계획을 발표하고 있다. /연합뉴스국세청이 최근 착수한 리베이트 탈세 의심 세무조사 대상에DL이앤씨(옛 대림산업)와 효성중공업 등 대기업들도 포함된 것으로 27일 전해졌다.본지 취재를 종합하면, ‘국세청의 특수부’로 불리는 서울지방국세청 조사4국은DL이앤씨와 효성중공업 등에 대한 세무조사를 시작했다. 최근 이들 업체에 대한 현장조사도 벌인 것으로 알려졌다.앞서 국세청은 지난 25일 건설·의료·보험 업계의 ‘불법 리베이트’ 사례를 47건 적발해 세무조사에 착수했다고 밝혔다. 건설·의약품·보험중개 등 3개 분야 47개 업체가 대상이라고 했다. 리베이트란 기업이 판매한 상품이나 용역의 대가 중 일부를 ‘뒷돈’으로 구매자에게 돌려주는 것으로, 시장의 공정성을 해치는 행위다. 대형 건설업체(시공사)는 공사 일감을 따내기 위해 발주처인 재건축조합 자녀에게 허위 급여를 주거나, 시행사 직원의 가족 명의 업체에 용역비를 제공하는 경우가 있는데, 이는 건설 비용 증가를 불러 아파트 등 주택 품질 저하와 분양가 상승으로 이어질 수 있다.DL이앤씨는 아파트 브랜드 ‘e편한세상’과 하이엔드 브랜드 ‘아크로’를 보유한 국내 10대 건설사 중 한 곳이다. 재계 18위인DL그룹의 핵심 계열사로서 올해 국토교통부가 발표한 시공능력 순위에서 작년보다 한 계단 오른 5위를 기록했다. 효성중공업은 시공능력 39위 업체로서 브랜드는 ‘해링턴 플레이스’다.법조계에서는 이번 세무조사 결과에 따라 건설업계의 리베이트 관행이 검찰 수사로 이어질 수도 있다고 보고 있다. 기업의 탈세 행위가 최고경영자(CEO)나 사주 일가의 비자금 수사로 확대될 수 있기 때문이다. 국세청은 2013년 5월 효성그룹에 대한 특별 세무조사를 시작해 그 해 9월 조석래 전 회장 등을 검찰에 고발했고, 서울중앙지검 특수2부가 수사해 2014년 1월 조 전 회장을 불구속 기소했다. 효성그룹은 2019년 세무조사에서는 추징금 1522억원을 부과받기도 했다.한편 이해욱DL그룹 회장과 조현준 효성그룹 회장은 계열사 부당지원 혐의로 2019년 재판에 넘겨져 이 회장은 작년 8월 벌금 2억원이 확정됐고, 조 회장도 항소심에서 벌금 2억원이 선고됐다.DL이앤씨 관계자는 본지 통화에서 “내부적으로 확인한 결과, 지금까지 리베이트로 볼 만한 사안은 발견되지 않았다”면서 “기업분할을 한 지 올해 4년차가 됐고, 10대 건설사 중 최근 3년 동안 세무조사를 받지 않아서 이번에 세무조사를 받게 된 것으로 안다. 큰 회사를 하나쯤 포함시켜야 해서 포함된 것 같은 느낌도 든다”고 했다. 효성중공업은 별다른 입장이 없다고 했다."
2024-10-03,[경제계 인사] DL이앤씨 외,▲DL이앤씨▷담당임원 강형구 박창용 권현성 배종식 한만유 조형길 ▲DL건설▷담당임원 김은철 김동원 김정한 구본홍 임성훈 ▲DL케미칼▷전무 성덕훈 김시영 ▷상무 서정훈 최연우 ▲㈜대림▷전무 김영훈 ▷상무 이용천
2024-08-22,13년만에 국내 양수발전소 DL이앤씨서 5034억에 수주,"영동 양수발전소 조감도. /DL이앤씨DL이앤씨는 한국수력원자력이 발주한 5034억원 규모의 충북 영동 양수발전소 공사를 수주했다고 21일 밝혔다.양수(揚水) 발전은 심야에 싼 전기로 하부 댐의 물을 상부 댐으로 끌어올려 저장했다가, 전력 수요가 증가할 때 상부의 물을 밑으로 떨어뜨려 전력을 생산한다. 충북 영동군 상촌면과 양강면 일원에 건설되는 양수발전소가 2030년 하반기 준공되면 500MW(메가와트) 규모의 전력을 생산하게 된다. 이는 약 11만 가구가 쓸 수 있는 전력량이다.DL이앤씨는 상·하부 댐과 지하 발전소, 수로 터널 등 토목공사를 수행한다.국내에서 양수발전소가 건설된 것은 2011년 예천 양수발전소가 마지막으로, 이 발전소도DL이앤씨가 건설을 맡았다.DL이앤씨 관계자는 “국내를 비롯해 인도네시아·이란·파키스탄 등에서 다수의 댐과 수력발전소를 지은 실적과 노하우를 인정받아 이번 공사를 수주하게 됐다”고 했다."
2024-08-15,[경제계 인사] DL이앤씨 대표이사 박상신,DL이앤씨는 14일 박상신 주택사업본부장을 신임 대표이사로 선임했다. 박 대표가 겸임하던 자회사DL건설 대표이사는 강윤호 전무가 맡는다.
