date,title,content
2024-10-29,"DL이앤씨, 즉시 상용화 가능 ‘층간소음 1등급 바닥구조’ 개발","DL이앤씨는 아파트 건설 현장에서 즉시 상용화할 수 있는 ‘층간 소음 1등급 바닥 구조’를 개발했다고 28일 밝혔다. 기존에 나온 1등급 바닥 구조가 비싼 원가와 시공 어려움 때문에 현장에 도입하지 못하는 문제를 해결했다는 것이다.DL이앤씨는 “소음 차단 효율이 높은 복합 소재를 단순한 구조로 구성해 상용성을 극대화했다”고 설명했다. 소음과 진동을 최소화하는 마감재와 완충재를 적용하고, 잔여 진동을 빠르게 분산하는 특수 패드를 설치했다. 이 구조는 정부 지정 인정 기관인LH품질시험인정센터의 성능 평가에서 1등급을 받았다. 1등급은 아래층에 전달되는 소음이 37dB(데시벨) 이하인 경우 받을 수 있다. 일반적으로 가정용 에어컨의 소음 수준이 38~40dB정도다.박상신DL이앤씨 대표는 “건설사 중 유일하게 1~3등급 바닥 구조를 모두 시공할 수 있게 됐다”며 “사업지와 발주처 여건에 따라 맞춤형 기술을 공급할 것”이라고 했다."
2024-09-28,DL이앤씨·효성중공업 ‘리베이트 탈세’ 세무조사,"국세청, 47개 업체 조사 착수최근 국세청이 착수한 ‘리베이트 탈세’ 의심 세무조사 대상에DL이앤씨(옛 대림산업)와 효성중공업 등 대기업들도 포함된 것으로 27일 전해졌다.본지 취재를 종합하면, ‘국세청의 특수부’로 불리는 서울지방국세청 조사4국은DL이앤씨와 효성중공업 등에 대한 세무조사를 시작했다. 최근 이 업체들에 대한 현장 조사도 벌인 것으로 알려졌다.앞서 지난 25일 국세청은 건설·의료·보험 업계의 ‘불법 리베이트’ 사례를 47건 적발해 세무조사에 착수했다고 밝혔다. 대상은 건설 17곳, 의약품 16곳, 보험중개 14곳 등 3개 분야 47개 업체이다. 리베이트란 기업이 판매한 상품이나 용역의 대가 중 일부를 ‘뒷돈’으로 구매자에게 돌려주는 것으로, 시장의 공정성을 해치는 행위다.국세청은 대형 건설 업체(시공사)가 공사 일감을 따내기 위해 발주처인 재건축조합 자녀에게 허위 급여를 주거나, 시행사 직원의 가족 명의 업체에 용역비를 제공한 사례를 확인하고 세무조사에 나선 것으로 알려졌다.DL이앤씨는 ‘e편한세상’과 ‘아크로’ 브랜드를 보유한 국내 10대 건설사이자, 재계 18위인DL그룹의 핵심 계열사다. 효성중공업은 시공능력 39위 업체로 브랜드는 ‘해링턴 플레이스’다.법조계에서는 이번 세무조사 결과에 따라 건설 업계의 리베이트 관행이 검찰 수사로 이어질 수도 있다고 보고 있다. 기업의 탈세 행위가 최고경영자(CEO)나 사주 일가의 비자금 수사로 확대될 수 있기 때문이다. 국세청은 2013년 5월 효성그룹에 대한 특별 세무조사를 시작해 그해 9월 조석래 전 회장 등을 검찰에 고발했고, 서울중앙지검 특수2부가 수사해 2014년 1월 조 전 회장을 불구속 기소했다.DL이앤씨 관계자는 “기업 분할을 한 지 올해 4년 차가 됐고, 10대 건설사 중 최근 3년 동안 세무조사를 받지 않아서 이번에 세무조사를 받게 된 것으로 안다”고 했고, 효성중공업 측은 별다른 입장이 없다고 했다."
2024-10-03,[경제계 인사] DL이앤씨 외,▲DL이앤씨▷담당임원 강형구 박창용 권현성 배종식 한만유 조형길 ▲DL건설▷담당임원 김은철 김동원 김정한 구본홍 임성훈 ▲DL케미칼▷전무 성덕훈 김시영 ▷상무 서정훈 최연우 ▲㈜대림▷전무 김영훈 ▷상무 이용천
2024-07-19,"DL이앤씨 서영재 대표, 취임 두 달 만에 사의...후임은 박상신 DL건설 대표","서영재DL이앤씨 대표. /DL이앤씨서영재DL이앤씨 대표가 취임 두 달 만에 사의를 표명했다. 후임은 박상신DL건설 대표가 겸직할 예정이다.19일 건설업계에 따르면, 서 대표는 최근 회사에 사표를 제출한 것으로 알려졌다.LG전자 출신인 서 대표는 지난 5월DL이앤씨 신임 대표로 선임됐다. 1991년부터LG전자에서 재직해 건설업 경험은 없다.DL이앤씨는 선임 당시 서 대표를 통해 신사업 발굴·육성, 리스크 관리 등에 주력하겠다는 계획을 밝혔다.서 대표가 임기를 채우지 못하고 두 달 만에 물러나게 된 것은 제조업과는 다른 건설업 경영에 대한 부담감이 크게 작용한 것으로 알려졌다.DL이앤씨는 다음 달 14일 이사회를 열어 박상신DL건설 대표를 신임 대표로 선임할 예정이다. 박 대표는DL이앤씨와DL건설 대표를 겸직하게 된다."
2024-08-15,[경제계 인사] DL이앤씨 대표이사 박상신,DL이앤씨는 14일 박상신 주택사업본부장을 신임 대표이사로 선임했다. 박 대표가 겸임하던 자회사DL건설 대표이사는 강윤호 전무가 맡는다.
2024-07-03,DL이앤씨 회사채 수요 예측에 8배 몰려 ‘이례적 흥행’,"8050억원 주문 접수DL이앤씨CIDL이앤씨가 건설 경기 침체 속에서도 회사채 시장에서 이례적인 흥행에 성공했다.DL이앤씨는 지난 2일 진행한 회사채 발행 수요예측에서 총 8050억원 규모의 주문을 접수했다고 3일 밝혔다. 당초 2년물 600억원, 3년물 400억원 등 총 1000억원 규모로 회사채 수요 예측을 진행했는데 2년물 5200억원, 3년물 2850억원 등 계획 대비 약 8배의 물량이 접수됐다.최근 부동산 경기 침체에 따른 건설업 전반의 업황 악화,PF우발채무 리스크 등으로 건설채 투자심리가 얼어붙은 상황에서DL이앤씨의 회사채 수요예측은 이례적인 흥행이라는 평가를 받는다.DL이앤씨는 탁월한 재무 안정성과 다양한 포트폴리오를 갖춘 안정적 사업 기반 등이 흥행에 영향을 미쳤다고 분석했다.DL이앤씨는 최근 회사채 신용등급 평가에서 건설업계 최고 수준인 ‘AA-(안정적)’ 등급을 받아 2019년 이후 6년 연속 해당 등급을 유지하고 있다.올해 1분기 연결 기준 순현금은 1조2506억원을 보유해 지난해 말 대비 1896억원 증가했고, 현금 및 현금성자산은 2조4320억원으로 집계됐다. 영업현금흐름은 2774억원을 기록했다. 반면 차입금 의존도는 13.5%에 불과하다. 부채비율 역시 102.3%를 기록해 업계 최저 수준이다. 건설업 재무 위기의 단초가 된PF보증 규모면에서도DL이앤씨는 2024년 1분기말 별도 기준 약 1조5000억원 수준으로 자기자본 대비 38.6%에 불과하다. 특히 리스크가 낮은 도시정비 사업과 관련된PF보증을 제외할 경우 실질적인PF보증 리스크는 약 5000억원, 자기자본 대비 13.6%로 업계 최저 수준이다."
2024-07-08,[부동산 100자 정보] DL이앤씨 회사채 8050억원 규모 주문 접수 외,"DL이앤씨 회사채 8050억원 규모 주문 접수DL이앤씨는 지난 2일 진행한 회사채 발행 수요 예측에서 2년물 5200억원, 3년물 2850억원 등 계획 대비 약 8배인 총 8050억원 규모의 주문을 접수했다고 7일 밝혔다. 부동산 경기 침체와PF우발채무 리스크 등으로 최근 건설채 투자 심리가 얼어붙은 상황에서 이례적인 흥행이다.DL이앤씨는 회사채 신용 등급 평가에서 업계 최고 수준인 ‘AA-’등급을 유지하고 있다.포니정재단, 종로 경희궁1가길에 건물 준공포니정재단이 내년 설립 20주년을 앞두고 서울 종로구 경희궁1가길 9에 포니정재단 건물을 준공했다. 재단은 건물을 임대하며 얻는 수익으로 장학 및 학술 지원 사업을 더욱 강화한다는 계획이다. 지난 2일 준공식에는 정몽규 포니정재단 이사장, 정몽준 아산재단 이사장, 정몽윤 현대해상화재보험 회장, 정몽원HL그룹 회장, 정몽진KCC그룹 회장 등이 참석했다."
2024-06-17,"[부동산 100자 정보] DL이앤씨, 싱가포르서 라텍스 공장 준공 외","DL이앤씨, 싱가포르서 라텍스 공장 준공DL이앤씨가 싱가포르에서 모듈러 공법을 활용해DL케미칼의 자회사 카리플렉스의 이소프렌(isoprene) 라텍스 공장〈사진〉을 준공했다고 16일 밝혔다.DL이앤씨가 설계부터 조달, 시공까지 도맡아 싱가포르에서 처음 수행한 플랜트 건설 프로젝트로 공사 금액은 약 3억달러다.DL이앤씨는 플랜트 모듈을 인근 베트남에서 생산하고, 선박으로 운송해 싱가포르 부지에 설치하는 공법으로 공기를 애초 계획보다 1개월 단축했다. 발주처인 카리플렉스는 글로벌 이소프렌 라텍스 시장 1위 업체다.대우건설, 투르크메니스탄 진출 논의정원주  회장대우건설은 정원주〈사진〉회장이 윤석열 대통령 국빈 방문 일정에 맞춰 지난 9∼12일 투르크메니스탄에서 석유가스담당 부총리 등 주요 발주처 관계자를 잇달아 만나 현지 사업 진출 방안을 논의했다고 16일 밝혔다. 대우건설은 투르크메니스탄에서 비료 공장 2곳의 입찰에 참여했고, 수도인 아시가바트에서 남서쪽으로 30㎞쯤 떨어진 알카닥 신도시 건설에 참여하는 것도 타진 중이다. 대우건설은 수주 관련 업무를 원활하게 추진하기 위해 작년 11월부터 투르크메니스탄 현지 지사를 운영하고 있다."
2024-03-30,"DL이앤씨, 임원 3분의 1 ‘물갈이’","마창민 대표이사 등 19명 교체DL이앤씨가 마창민 대표이사를 포함해 임원 19명을 교체하며 대대적인 조직 개편에 나섰다.29일 건설업계에 따르면,DL이앤씨는 최근 사의를 표명한 마창민 대표를 교체하기로 하고 신임CEO물색에 나섰다. 차기 대표는 아직 결정되지 않았지만, 내부 승진이 아닌 외부 인사 영입이 유력한 것으로 알려졌다.DL이앤씨는 또 박경렬 재무관리실장(CFO) 등 임원 18명에게 이달 말로 계약 해지를 통보했다. 이번에 교체되는 임원은 부문별로 주택 6명, 토목 7명, 플랜트 2명, 경영지원 3명으로 알려졌다. 작년 말 기준DL이앤씨 미등기 임원이 57명임을 고려하면 이번 인사로 전체 임원의 약 3분의 1이 물러난 것이다.DL이앤씨는 작년 9월 초에도 임원 10여 명을 내보냈고, 12월 초엔 정기 임원 인사를 단행했다. 반년 사이에 3개월 주기로 임원을 대폭 물갈이한 것이다.이번 대규모 임원 인사는 지난해 실적 부진을 만회하고, 침체한 건설 경기 속 새로운 돌파구를 찾으려는 시도로 풀이된다. 지난해DL이앤씨 매출(7조9910억원)은 전년 대비 6.6% 늘었지만, 같은 기간 영업이익(3306억원)은 33.5% 줄었다. 2021년(9572억원)과 비교하면 2년 만에 영업이익이 3분의 1 수준으로 쪼그라들었다.DL이앤씨 관계자는 “외부 경영 환경이 안 좋은 상황에서 대대적인 인적 쇄신이 필요하다고 판단했다”고 설명했다."
2024-04-04,DL이앤씨 신임 대표이사에 LG전자 출신 서영재씨 내정,"국내 6위 건설사DL이앤씨가 신임 대표이사에 서영재(57) 전LG전자 전무를 내정했다. 3월 말 물러난 전 대표에 이어 다시LG전자 출신을CEO로 영입했다.DL이앤씨는 3일 이사회를 열고 서 전 전무를 신임 사내이사 후보로 추천했다. 서 후보자는 다음 달 10일 열리는 임시 주주총회에서 대표이사로 선임될 예정이다.서 후보자는 1991년LG전자에 입사해 휴대전화,TV,모니터, 노트북 등 다양한 사업 부서를 두루 거쳤다.DL이앤씨 관계자는 “새 대표이사가 선임되면 회사의 신성장 동력 발굴과 신사업 확대에 적극적으로 나설 것”이라고 했다."
