date,title,content
2024-12-31,"서울 아파트 거래량 4개월째 줄어, 악성 미분양은 4년4개월만 최대","대출 규제 여파로 서울 아파트 거래가 4개월 연속 감소하는 등 지난달 전국 주택 거래량이 한 달 전보다 13% 감소한 것으로 나타났다. 전국 미분양 주택은 소폭 감소했지만, ‘악성 미분양’으로 불리는 준공 후 미분양은 1만8644가구로 4년4개월 만에 최대치를 기록했다.국토교통부는 31일 이런 내용의 ‘11월 주택 통계’를 발표했다. 11월 전국 주택 매매량은 4만9114건으로 전월(5만6579건)보다 13.2% 줄었다. 수도권(2만1777건)이 전월보다 12.9%, 지방(2만7337건)은 13.4% 각각 감소했다.정부의 대출 규제 여파로 매수심리가 얼어붙으면서 서울 아파트 거래가 4개월 연속 감소했다. 사진은 지난 1일 서울의 아파트 밀집 지역./뉴스1아파트 매매 거래량만 보면, 전국 3만6399건으로 한 달 새 15.2% 줄었다. 서울 아파트(3773건)는 5.7% 감소하며 4개월 연속 거래량이 축소됐다. 서울 아파트 거래량은 인기 주거지를 중심으로 매수세가 몰렸던 지난 7월 9518건까지 늘었다가 8월(7609건)부터 꺾였다. 9월(4951건)과 10월(4000건)에 이어 11월 들어 3000건대로 더 떨어졌다. 정부가 지난 8월 무주택자용 대출인 디딤돌·버팀목 대출 금리를 상향 조정하고, 9월에는 2단계 스트레스DSR(총부채원리금상환비율)을 시행한 후 대출 규제를 이어간 것이 거래 감소에 영향으로 미친 것으로 보인다.11월 말 기준으로 전국의 미분양 주택은 총 6만5146가구로 10월(6만5836가구)보다 1%(690가구) 줄었다. 수도권(1만4494가구)은 3.9% 늘었지만, 지방(5만652가구)에서 2.4% 감소했기 때문이다. 다만 준공 후 미분양은 전월보다 1.8%(337가구) 늘어 총 1만8644가구로 집계됐다. 2020년 7월(1만8560가구) 이후 4년 4개월 만에 가장 많다.지난달 전국 주택 인허가는 2만8344가구로 전월 대비 8.4% 증가했고, 주택 착공은 2만1717가구로 10.1% 감소한 것으로 집계됐다."
2024-10-14,"가계 대출 급증할라… 당국, 전세·정책 대출도 DSR 규제 검토","은행권에 꼼꼼한 대응 주문지난 1일 서울 시내의 주요 은행ATM기기 모습. /연합뉴스한국은행이 지난 11일 38개월 만에 금리를 내리며 금리 인하기 시작을 알리자, 금융 당국이 은행권에 “전세 대출과 정책 대출에 대한 총부채원리금상환비율(DSR) 산출을 정교하게 해달라”고 주문하는 등 가계 부채 문제를 더 꼼꼼히 챙기겠다고 했다.DSR규제에 전세·정책 대출을 넣는 것도 검토하고 있다. 금리 인하기에 은행권 가계 대출이 다시 급증할 수 있다는 우려 때문이다.13일 금융권에 따르면, 금융 당국은 최근 은행권에 전세·정책 대출 관련 지역·소득수준별DSR산출을 더 정교하게 해달라고 요청했다.DSR은 대출자가 한 해에 갚아야 하는 원리금 상환액을 연 소득으로 나눈 값이다. 은행권은 대출자의DSR이 40%를 넘지 않아야 하는데 현재DSR을 산정할 때 전세·정책 대출은 반영되지 않고 있다. 한 금융 당국 관계자는 “당국은DSR산정 범위에 전세 대출과 정책 대출을 포함하는 방안에 무게를 두고 검토 중”이라고 했다. 전세·정책 대출까지 반영하면 종전에 받던 일반 주택 담보대출 등의 한도가 줄어든다.금융 당국은 지난달 스트레스DSR2단계 규제를 시행하면서 내부 관리 목적으로 전세·정책 대출 등 모든 대출을 반영한DSR산출을 은행에 요구했다. 금융 당국은 한 달에 두 차례씩 은행들이 제출한 자료를 받아보며 지역, 소득, 주택 소유 여부 등에 따른 대출자의DSR을 살펴보고 있다. 금융권에선DSR적용 범위가 집단 대출까지 확대될 수 있다는 전망도 나온다.한편 금융 당국은 15일 보험사, 저축은행, 상호금융, 여신 전문 금융사·협회 관계자들을 불러 가계 부채 관리 강화를 주문할 예정이다. 은행권에서 억제된 대출 수요가 2금융권에 쏠릴 가능성 때문이다. 금융 당국 관계자는 “이달 2금융권 가계 대출이 1조원 이상 늘어날 가능성이 있다”며 “현재 2금융권 가계 대출 수치가 안정적이진 않다”고 했다."
2024-09-01,‘스트레스 DSR 2단계’ 규제 시행...’막차 수요’에 지난달 은행권 주담대 또 7조원↑,"연소득 6000만원인 수도권 가구주택담보대출 한도 5500만원 축소이달부터 스트레스 총부채원리금상환비율(DSR) 2단계 규제가 시행된 가운데 규제 전 ‘막차 수요’ 영향으로 지난달 5대 은행의 주택담보대출 증가폭이 7월에 이어 또 다시 7조원을 넘어섰다.서울에 위치한 은행 개인대출 창구 앞으로 한 시민이 지나가고 있다. /뉴스11일 금융당국에 따르면, 이달부터 은행권과 제2금융권 대출에 보다 높은 가산금리를 적용하는 스트레스DSR2단계 규제가 시행됐다. 스트레스DSR2단계 규제란 가계부채 관리를 위해 은행권 주택담보대출과 신용대출, 제2금융권 주택담보대출 금리에 각각 가산금리 0.75%포인트를 적용하는 규제를 말한다. 특히 2단계 규제에서는 은행권의 수도권 주택담보대출에 대해 가산금리 1.2%포인트를 적용하기로 했다.지난 2월 시행된 스트레스DSR1단계 규제는 은행권 주택담보대출을 대상으로 스트레스 금리 0.38%포인트만 가산했는데, 보다 높은 수준의 가산금리가 적용된 것이다.규제가 시행되면서 연 평균 소득이 6000만원인 가구의 경우 수도권 주택담보대출 한도가 약 5500만원 축소됐다.금융당국 시뮬레이션에 따르면, 연소득이 6000만원인 수도권 대출자는 은행권에서 30년 만기 변동금리(대출이자 연 4% 가정)로 주택담보대출을 받을 경우 대출 한도가 3억6400만원으로 규제 시행 전(4억1900만원)보다 5500만원 가량 축소된다. 1단계 규제 때(4억원)보다는 3600만원 가량 축소됐다.같은 조건의 비수도권 주택담보대출 한도는 3억8300만원으로 규제시행 전 보다 3600만원, 1단계 규제 때 대비 1700만원 축소됐다. 스트레스DSR2단계 규제는 당초 지난 7월 시행 예정이었으나 이달로 시행 시점이 연기됐다.규제 시행을 앞두고 은행권에 이른바 ‘막차 수요’가 몰리면서 지난달 5대 은행(KB국민·신한·하나·우리·NH농협)의 주택담보대출 잔액은 또다시 급증했다.은행권에 따르면 지난달 29일 기준 주택담보대출(전세자금대출 포함) 잔액은 567조735억원으로, 7월 말(559조7501억원)보다 7조3234억원 증가했다.이 같은 증가폭은 역대 월간 최대 증가 폭을 기록한 7월(7조5975억원)보다는 적지만 비슷한 수준이고, 30~31일 주택담보대출 증가액까지 감안하면 지난달 5대 은행의 월간 주택담보대출 증가폭이 8조원을 넘어섰을 가능성도 있다.같은 기간 5대 은행의 전체 가계대출 증가 폭은 8조3234억원(715조7383억원→724조617억원)으로, 2021년 4월(9조2266억원) 이후 3년 4개월 만에 최대치 기록했다."
2024-09-11,스트레스 DSR 2단계 규제 시행 후 열흘만에 서울 아파트 매물 3% 증가,"아파트 매매값 상승폭도 3주째 줄어드는 추세서울 중구 남산에서 바라본 서울시내 아파트 밀집지역 모습./뉴스1이달 들어 서울 아파트 값 상승세가 다소 둔화되면서 아파트 매물이 다시 쌓이고 있는 것으로 나타났다. 호가가 오른 상황에서 대출 규제로 자금조달 부담이 커지면서 집을 사려했던 수요자들이 다시 관망세로 돌아서고 있다는 분석이 나온다. 11일 부동산 빅데이터 업체 아실에 따르면, 이날 기준 서울 아파트 매물은 8만2836건으로 스트레스 총부채원리금상환비율(DSR) 2단계 시행 당일인 지난 1일(8만462건)에 비해 2.9% 가량 증가했다. 한달 전인 8월 11일(7만9059건)과 비교했을때는 4.7% 증가한 수치다. 자치구 별로도 집값 상승이 가팔랐던 지역과 상대적으로 상승세가 저조했던 지역 모두 매물이 쌓이고 있는 모양새다. 이달 초와 비교했을때 가장 많이 아파트 매물이 증가한 지역은 중구(5.6%)였으며, 이어서 강북구(5.5%), 마포구(5.0%), 중랑구(4.9%), 용산구(4.9%), 구로구(4.5%) 순이었다. 반면 강남구(0.6%)와 노원구(0.7%), 종로구(0.8%) 등은 상대적으로 매물 증가 속도가 더딘 것으로 나타났다최근 서울 아파트값 상승폭은 3주 연속 하락 곡선을 그리고 있다. 한국부동산원에 따르면 서울 아파트값 상승폭은 8월 둘째주(0.32%) 정점을 찍은 후 점차 줄어들기 시작해 지난주(9월 첫째주)에는 0.21% 를 기록했다. 주택 매수 심리도 한풀 꺾였다.KB부동산에 따르면 지난주 서울의 매수우위지수는 61.5로 전주(67.7) 대비 9% 가량 하락했다. 매매 거래량도 줄어드는 추세다. 서울시에 따르면 지난달 서울 아파트 거래량은 4701건으로, 이달 말까지 신고 기간이 남아있는 것을 감안해도 7월 거래량(8808건)에는 미치지 못할 것으로 전망된다."
2024-07-21,김병환 금융위원장 후보“DSR 단계적 확대... LTV 강화는 반대”,"김병환 금융위원장 후보자가 지난 5일 오전 서울 중구 예금보험공사에 마련된 인사청문회 준비 사무실로 출근하며 지명 소감을 밝히고 있다. /연합뉴스김병환 금융위원장 후보자가 차주의 소득을 고려해 대출 한도를 정하는 총부채원리금상환비율(DSR) 규제 범위를 확대할 필요가 있다는 입장을 밝혔다. 다만 담보 가치에 비례해 돈을 빌릴 수 있도록 규제하는 담보인정비율(LTV) 규제 강화는 반대했다.김 후보자는 국회 인사청문회를 하루 앞둔 21일 국회에 제출한 자료에서 최근 급증한 가계 부채 관리 방안에 대해 “DSR제도를 내실화해 ‘갚을 수 있는 범위 내에서 빌리는’ 대출 관행을 안착시키는 것이 중요하다”고 밝혔다. 현행DSR규제는 매년 갚아야 할 대출 원리금이 연 소득의 40%를 넘지 못하도록 규정하고 있다. 다만 전세 대출 규제를 주택담보대출 수준으로 강화해야 한다는 일각의 주장에는 “신중히 검토해야 한다”며 선을 그었다. 또 “LTV규제 강화는 가계부채·주택시장 추이, 서민·실수요자 주거 안정에 미치는 영향을 면밀히 고려해 신중히 검토해야 할 사항”이라며 당장LTV규제 강화에 나설 뜻이 없음을 시사했다.민주당이 주장하는 횡재세 도입에 대해서는 “특정 기업 이익은 경기 여건 등에 따라 변하는 만큼 이전 대비 증가했다는 이유로 초과 이익으로 과세하는 것은 시장 원리에 부합하지 않는다”며 반대했다. 종합부동산세에 대해서는 “지난 수년간 부동산 과열기에 과도하게 걷힌 측면이 있다”며 “과열기 이전 수준으로 완화할 필요가 있다”고 했다. 홍콩H지수 연계 주가연계증권(ELS) 불완전 판매 사태 등과 관련해 고위험 상품의 판매 대상을 제한하는 문제에 대해서는 “판매 대상의 제한은 금융 소비자 보호와 함께 선택권 등을 충분히 고려해야 한다”며 “현재와 같이 고위험 금융 상품에 대한 은행 판매를 일정 부분 제한하는 것에 원칙적으로 동의한다”고 했다."
2024-06-25,"대출 한도 줄이는 ‘스트레스DSR 2단계’ 시행, 두 달 연기...9월 1일부터","정부가 대출 한도를 더 줄이는 ‘2단계 스트레스DSR(총부채원리금상환비율)’ 규제 시행을 돌연 두 달 연기하기로 했다. 지난 2월 1단계 규제 시행 이후, 적용 대출 범위를 넓히고 대출 한도를 더 줄이는 2단계 규제를 7월 1일부터 적용할 예정이었으나 시행 일주일을 앞두고 미뤄지게 된 것이다.서울 시내 한 은행에 주택담보대출 관련 안내문이 붙어 있다./연합뉴스스트레스DSR2단계 시행, 두 달 연기금융위원회는 25일 관계기관과 협의를 거쳐 이 같은 내용의 ‘하반기 스트레스DSR운용방향’을 발표했다. 스트레스DSR은 미래의 금리 변동 위험을 반영해 실제 대출 금리에 ‘스트레스(가산) 금리’를 더해 대출 한도를 산정하는 제도다. 대출자 소득은 그대로인데 가산 금리를 적용하면 대출자가 갚아야 하는 연간 이자 비용이 늘어난다. 이에 따라 대출 원금을 줄여야DSR비율을 맞출 수 있다. 그래서 대출 한도가 줄어드는 것이다. 금융위는 스트레스DSR을 모든 대출에 적용하되, 업권과 대출 종류에 따라 단계적으로 도입할 예정이었다. 지난 2월 26일부터 은행권 주택담보대출에 적용하기 시작했고, 올 하반기부턴 은행권 신용대출과 2금융권 주택담보대출로 확대하기로 돼 있었다. 가산 금리 적용 비율도 단계적으로 늘려간다는 방침을 세운 바 있다. 올해 상반기엔 25%, 하반기에는 50%를 적용했다.금융위는 시행 계획을 갑자기 두 달 미룬 배경에 대해 “범정부적 자영업자 지원대책이 논의되는 상황이고, 이달 말 시행되는 부동산 프로젝트파이낸싱(PF) 사업성 평가 등 전반적인 부동산PF시장의 연착륙 과정 등을 고려한 결정”이라고 밝혔다. 금융위 관계자는 “2단계 스트레스DSR이 시행되더라도DSR을 적용 받는 모든 차주의 한도가 감소하는 게 아니라 ‘고DSR’차주들의 최대한도가 감소하는 건데 자금 수요가 긴박한 분들이 많다”면서 “제2금융권 주택담보대출의 경우 대출이 줄어드는 차주가 약 15% 정도로 분석돼 이분들의 어려움을 고려했다”고 말했다.정부는 스트레스DSR로 인해 실제 대출한도가 제약되는 ‘영끌’(고DSR) 차주 비중은 약 7∼8% 수준이라고 밝혔다. 돈을 빌린 사람 대부분이 제도 시행과 상관없이 기존과 같은 수준의 한도와 금리를 적용 받을 수 있다는 것이 정부의 설명이다. 오는 9월부터 2단계 스트레스DSR이 시행될 경우, 차주별DSR최대 대출한도는 은행권·제2금융권 주담대의 경우 대출유형에 따라 약 3∼9%, 은행권 신용대출은 금리 유형과 만기에 따라 약 1∼2% 감소할 것으로 보인다.정부가 집값 부채질한다는 지적도스트레스DSR2단계 시행을 두 달 연기한 것에 대해 정부가 부동산 회복기에 집값 상승을 부채질하고 있다는 지적도 나온다. 주요 시중은행들의 대출금리 하단이 속속 2%대까지 내려앉고, 주요 시중은행의 가계대출이 불어나는 등 불안 조짐을 보이는데도 대출 한도 축소 조치를 미루는 것이 영향을 줄 수 있다는 것이다. 가계부채 축소 기조를 이어온 기존의 금융 당국 방침과 배치된다는 지적도 있다.시중은행들은 2단계 규제 시행을 앞두고 대출한도 축소 시뮬레이션 등을 돌리는 등 대대적인 준비를 하고 있었는데 이번 발표로 당혹스러워하고 있다. 일부 은행은 이미 2단계 시행 방침을 고객들에게 모두 안내한 것으로 알려졌다. 한 시중은행 관계자는 “이렇게 갑자기 규제가 전면 연기된 것은 보기 드문 일”이라며 “고객들에게 최근 대출 한도가 줄어든다고 안내를 해왔던 터라 다시 바뀐 상황을 설명하고 있다”고 말했다.또한 금융위가 시행 연기 이유로 든 서민·자영업자 대출이 축소될 수 있거나 부동산PF연착륙 과정이 진행 중이라는 이유도 인과 관계가 불명확하다는 의견도 있다."
2024-11-20,여전한 영끌… 가계빚 1900조 뚫었다,"3년 만에 증가폭 최대올해 3분기(7~9월) 가계빚이 처음으로 1900조원을 넘어서며 역대 최대치를 경신했다. 수도권을 중심으로 대출을 받아 집을 사는 ‘영끌(영혼까지 끌어모아 대출)’ 열기가 이어지면서 주택담보대출을 중심으로 가계 대출이 늘어난 영향이다.한국은행이 19일 발표한 ‘3분기 가계신용’에 따르면, 3분기 말 가계 부채는 1913조8000억원으로 집계됐다. 가계 부채는 은행 등 금융회사의 가계 대출에 대금 결제가 아직 안 된 신용카드 판매액을 합한 것을 뜻한다. 3분기 가계 부채는 전 분기 말 대비 18조원쯤 늘며 2002년 4분기 관련 통계를 공표한 후 최대치를 기록했다. 증가 폭도 2021년 3분기(35조원) 이후 3년 만에 최대다. 우리나라 가계 부채는 올해 1분기 3조1000억원쯤 줄었지만, 곧 반등해 두 분기 연속 증가세를 이어갔다.그래픽=김하경주택담보대출 최대 폭 증가가계빚이 늘어난 것은 가계 대출 중에서도 주택담보대출이 급증했기 때문이다. 3분기 전체 가계 부채가 18조원 정도 늘었는데, 주택담보대출은 19조4000억원가량 늘었다. 주택담보대출이 모든 가계 부채 증가세를 압도했다는 것이다. 특히 예금 은행이 취급한 주택담보대출은 22조2000억원가량 늘어 통계 집계 이후 가장 큰 분기별 증가 폭을 기록했다. 김민수 한은 금융통계팀장은 가계빚 증가 배경에 대해 “수도권을 중심으로 주택 거래가 늘면서 주택담보대출 증가 폭이 커졌다”고 했다.그래픽=김하경7~9월은 규제 강화를 앞두고 ‘영끌족’의 대출 막차 수요가 몰린 때다. 앞서 금융 당국은 소득에 따라 대출액을 제한하는 스트레스DSR(총부채원리금상환비율) 2단계 규제를 7월 도입하겠다고 했다가 시행 1주일 전 연기해 9월부터 도입하겠다고 했다. 그러자 규제 도입 전 두 달 동안 집을 사려는 수요가 대거 몰렸다. 8월 한 달간 시중 5대 은행인KB국민·신한·하나·우리·NH농협의 가계 대출만 9조6259억원 늘어나기도 했다. 이 역시 5대 은행에서 수치를 확인할 수 있는 2016년 1월 이후 최대 증가액이다.코로나 팬데믹으로 0%대 초저금리가 이어지면서 영끌 투자와 빚을 내서 투자하는 빚투 열풍이 일었던 3년 전보다도 가계 부채 증가액이 컸던 것이다. 실제 올해 수도권 주택 매매 거래량은 1분기(1~3월) 5만9000호에서, 2분기(4~6월) 8만3000호, 3분기 9만6000호로 뛰었다. 다만 한은에서는 수도권 주택 거래가 최근 둔화하고 있어 가계 부채도 시차를 두고 둔화 흐름이 이어질 것이라고 봤다.정책 엇박자가 급증 부추겨3분기 주택담보대출 증가가 사상 최대를 기록한 데는 정책 엇박자가 큰 몫을 담당했다.DSR규제 시행 연기 후에 대출 급증세가 나타나자 금융감독원은 부행장 간담회를 소집하고, 현장 점검에 나섰다. 이에 은행들은 각개격파 식으로 주택담보대출 가산 금리 등을 올리고, 유주택자 대출을 제한하는 등 대출 문턱을 높여 대응했다.반면 디딤돌·버팀목 등 정책 대출은 계속 증가했다. 은행들이 주택담보대출 제한을 강화해도 정책 대출은 요건을 갖추면 내줘야 하기 때문이다. 실제 금융위원회가 발표한 10월 가계 대출 동향에 따르면 3분기 은행권의 정책 대출은 6조원이 늘었다. 3분기에 늘어난 주택담보대출의 30% 가까운 돈이 정책 대출이었다.금융 정책 엇박자가 만들어낸 3분기 대출 급증의 여진은 지금도 심각하다. 금융 당국은 은행들에 연간 대출 목표치를 초과할 경우 내년부터 더 낮은DSR관리 계획 수립을 제시하는 등 페널티를 부과하기로 했다. 은행들은 대출금리 인상과 대출 제한으로 대응하고 있다. 지난 9월 국내 은행이 신규 취급한 주택담보대출 평균 금리는 연 3.74%로 전월(연 3.51%)과 비교해 0.23%포인트 올랐다.이와 함께 비대면 채널 대출을 제한하는 등 대출 자체를 어렵게 하고 있다. 5대 시중은행 중KB국민은행을 제외하고 연말까지 비대면 가계 대출의 빗장을 모두 걸어 잠갔다. 실수요자들의 ‘대출 가뭄’이 불가피하다. 한 시중은행 관계자는 “연간 대출 총량을 맞추기 위한 것”이라며 “실수요자를 가리려면 상대적으로 심사가 느슨한 비대면 창구를 닫을 수밖에 없다”고 했다."
2023-07-17,"한국, 가계빚 증가 속도 세계 두번째… “DSR·LTV 규제 강화해야”","우리나라의GDP(국내총생산) 대비 가계 빚 비중이 주요 국 가운데 셋째로 높고, 빚이 늘어나는 속도는 둘째로 빠른 것으로 나타났다. 세계 최상위권인 가계 빚 규모와 증가 속도를 방치할 경우 성장 활력이 크게 떨어질 것이라는 우려가 나온다.GDP(국내총생산)보다 규모가 큰 우리나라의 가계부채는 향후 경제 성장률을 크게 저하시킬 것으로 보인다. 서울 한 시중은행의 대출 창구 모습./뉴스117일 국제결제은행(BIS)에 따르면 지난해 한국 가계 부문의 총부채원리금 상환비율(DSR)은 13.6%로 조사 대상 주요 17국 가운데 호주(14.7%) 다음으로 높았다.DSR은 연소득에서 주택담보대출과 신용대출 등 모든 대출금의 원리금(원금+이자) 상환액이 차지하는 비율을 가리킨다. 이 비율이 높을수록 버는 돈에 비해 빚 상환 부담이 크다는 것을 뜻한다. 우리나라의DSR은 미국(7.6%)과 일본(7.5%)의 거의 2배에 달하고, 이탈리아(4.3%)의 3배를 넘는다.우리나라의 지난해DSR은 코로나 사태 직전인 2019년과 비교해 1.4%포인트 증가(12.2→13.6%)해 조사 대상 17국 중 증가 속도가 가장 빨랐다.BIS는 주요국의 가계 빚 부담 수준을 같은 기준으로 비교하기 위해DSR을 구할 때 빚이 없는 집의 소득을 포함시키고, 대출 만기를 18년으로 일괄 적용한다. 이 때문에DSR비율이 실제보다 낮게 산출된다. 한국은행이 빚이 있는 국내 가구만 분리해 평균DSR을 산출했더니 지난해 4분기 기준 40.6%로,BIS기준의 3배에 달했다.한국은행도 이날 보고서를 내고 “가계 빚 증가세에 제동을 걸어야 한다”고 밝혔다. 한은에 따르면 지난해 말 우리나라의GDP대비 가계 빚 비율은 105%로 주요 43국 가운데 스위스(128.3%), 호주(111.8%)에 이어 셋째로 높았다. 당장은 ‘부채 폭탄’이 터질 조짐이 보이지 않지만 가계 빚이GDP보다 많은 상태가 길어지면 소비가 위축되고 금융을 통한 자원 배분의 효율성이 떨어져 성장률이 하락할 수 있다고 한은은 지적했다. 한은은 “가계 빚을 줄이면서 연착륙에 성공하려면DSR예외 대상을 축소하는 것을 비롯해LTV(주택담보대출비율) 수준별 차등 금리 및 만기일시상환 대출 가산 금리 적용 등의 조치를 검토해야 한다”고 밝혔다."
2023-06-26,‘역전세’ 보증금 반환 대출땐 DSR 규제 완화,"이르면 내달 하순 시행이르면 7월 하순부터 집주인이 전세금을 돌려주기 위해 대출을 받을 경우DSR(총부채원리금 상환비율) 규제가 일부 완화된다. 전셋값이 떨어져 세입자가 전세보증금을 돌려받을 수 없는 역전세 피해를 최소화하기 위한 조치다.26일 정부 관련 부처들에 따르면, 기획재정부는 다음 주 발표할 ‘하반기 경제정책 방향’에 이 같은 내용의DSR규제 완화 방안을 포함시킬 방침이다. 현행DSR규제는 금융권에서 대출받을 때 매년 갚는 금액(원금과 이자)이 연간 소득의 40%를 넘지 못하도록 제한하고 있다. 이에 따라 기존 대출이 많거나 소득이 적은 집주인은 집을 담보로 대출을 받고 싶어도 받을 수 없는 경우가 많다.정부는 전세금 반환 목적의 대출에 대해서만DSR규제를 완화할 방침이다. 기재부 관계자는 다만 “집주인이DSR규제 완화를 갭 투자 등에 악용하는 걸 막기 위해, 어떤 조건을 달아 어느 정도까지 완화할지 막판 고심 중”이라고 말했다.DSR완화 방안은 관련 부처 협의와 시스템 정비 등을 거쳐 7월 하순쯤 시행될 예정이다.정부는 징벌적 수준의 부동산 규제를 정상화하는 차원에서 양도소득세 중과세 완화도 검토하고 있다. 내년 5월까지는 다주택자가 집을 팔더라도 양도세가 중과세되지 않는데, 이를 연장하거나 아예 중과세를 폐지하는 방안을 추진하는 것이다."
2023-06-08,추경호 “전세금 반환 대출에 DSR 규제 완화”,"“세입자 보증금 돌려받기 쉽게”추경호 경제부총리 겸 기획재정부 장관이 8일 서울 중구 한국프레스센터에서 열린 관훈클럽 초청 토론회에서 모두발언을 하고 있다. /뉴스1추경호 경제부총리 겸 기획재정부 장관이 8일 “세입자에게 전세금을 돌려줄 목적으로 받는 대출에 한정해 총부채원리금상환비율(DSR) 규제를 조금 완화하는 방안을 검토해 늦어도 다음 달 중 시행할 계획”이라고 밝혔다.추 부총리는 이날 서울 중구 프레스센터에서 열린 관훈클럽 초청 토론회에서 최근 심화하는 역전세(전셋값이 기존 전세 보증금보다 낮아지는 것)로 인해 전세 보증금을 돌려받지 못하는 이들이 늘어나는 데 따른 대책을 묻는 질문에 이처럼 말했다. 추 부총리는 “전세금을 반환하는 목적에 한정해, 일시적으로DSR을 조금 올려 자금 융통이 되도록 할 것”이라고 했다.DSR은 1년 동안 벌어들인 소득에서 그해 갚아야 할 대출 원금과 이자가 차지하는 비율을 뜻한다. 주택담보대출뿐 아니라 신용대출, 마이너스통장 등 개인이 받은 모든 대출의 원리금이 포함된다. 그래서DSR규제가 적용되면 소득이 늘거나 기존 대출을 갚지 않는 한 추가로 대출을 받기가 어렵다.정부는 집값이 천정부지로 치솟던 지난 2021년부터 작년까지 계속DSR규제를 강화해왔다. 저금리 상황에서 무리하게 빚을 내 집을 사는 걸 막겠다는 것이었다. 작년 7월부터DSR규제 3단계가 적용돼, 1억원 넘게 대출을 받을 때는DSR이 40%를 넘으면 추가 대출을 받기가 어려웠다. 연소득 5000만원인 사람이 2억원을 대출받으려면 연간 원리금 상환액이 2000만원 이하여야 하는 식이다.특히 그간 정부는DSR완화에 선을 그어왔다.DSR규제가 4월 기준 1052조원까지 불어난 가계대출이 더 늘어나는 걸 막을 ‘최후의 수단’이라는 것이다. 김주현 금융위원장은 지난 4월 “그동안 부채가 너무 많아서 문제라고 했는데 이제 와서DSR을 완화한다는 것은 이상하다”며DSR규제는 유지하겠다는 입장을 밝히기도 했다.그러나 올해 하반기에 역전세 위험 가구가 103만 채에 달할 것이란 전망이 한국은행에서 나오는 등 역전세난 우려가 늘어나자, 일부 완화에 나선다는 것이다. 추 부총리는 “어디까지나 전세자금 반환 대출에 대해 일시적으로 시행하는 대책일 뿐, 일반 대출에 대해 완화할 생각은 전혀 없다”며 확대 해석을 경계했다."
