date,title,content
2024-11-20,Exclusive: SK sells 5.42% stake in Sapeon ahead of Rebellions-Sapeon merger,"SKGroupsells5.42%stakeinSapeontoE1,HanaSecurities,andAscentEquityPartnersSapeonKoreaandRebellions,twoartificialintelligence(AI)chipmakersinKorea,havesignedaformalmergeragreementonAug.18, 2024. /SKTelecomSKGroup,themajorityshareholderofAIchipmakerSapeon,hassolda 5.42%staketoE1,HanaSecurities,andprivateequityfirmAscentEquityPartnersaheadoftheupcomingmergerbetweenSapeonandfablessAIchipstartupRebellions.Thisstakerepresentsapproximately1.6%ofthepost-mergerentity.ThedealinvolvesshareholderswhohadinitiallyinvestedinSapeonduringitsSeriesAfundingroundintheformofconvertiblenotes.ThesestakeholdershaveoptedtoremainshareholdersofthemergedcompanybyacceptingSapeoncommonstockinsteadofreclaimingtheirprincipalandinterest.SKGroupplanstosellanadditional1.4%stakeinthemergedentity,aimingtoreduceitstotalstaketo3%,withthetransactionexpectedtobefinalizedshortly.SapeonInc.solditsstakeinSapeonKoreatoE1,HanaSecurities,andAscentEquityPartnersintwoseparateroundsinAugustandSeptember,accordingtosourcesintheinvestmentbankingsectoronNov.20.Thetotalvalueofthetransactionamountedtoapproximately18billionwon($13million).SapeonKoreaisawholly-ownedsubsidiaryofSapeonInc.withownershipsplitbetweenSKTelecomCo.(62.5%),SKHynixInc.(25%),andSKSquareCo.(12.5%).SKHynixholdsitsstakeinSapeonInc.indirectlythroughSKHynixAmerica,whileSKSquareholdsitsstakethroughSKSquareAmerica.E1,HanaSecurities,andAscentEquityPartnersinvestedinSapeonduringtheSeriesAfundingroundinAugustlastyearthroughconvertiblenotes-anopen-endedformofcorporatefinancingthatallowsinvestorstoconverttheirinvestmentintoequityorberepaidtheprincipalandinterestuponmaturity.Unlikeconventionalconvertiblebonds,theconversionpriceforthesenotesisnotfixedinadvance.“Theseinvestorsdecidedtostayonboard,convertingtheirnotestoSapeonKoreacommonstockinsteadofcashingout,”anindustryinsidersaid.“TheylikelyseethemergedentityasunrivaledintheAIsemiconductorspace.”However,thecommonstocktheyreceivedhasalreadybeenconvertedtoredeemableconvertiblepreferredstock(RCPS)withaplantoswitchbacktocommonstockoncethemergeriscomplete."
2023-07-19,"E1, 캐나다 블루 암모니아에 투자","에너지 기업 E1이 캐나다 블루 암모니아 생산 프로젝트에 1000만캐나다달러(약 95억원)를 투자해 연간 100만t 규모 블루(청정) 암모니아 도입에 나선다.E1은 18일 서울LS용산타워 본사에서 하이드로젠 캐나다와 ‘캐나다 블루 암모니아 생산 프로젝트 투자 및 도입 확약식’을 열었다. 양 사는 캐나다 최대 산유 지역인 앨버타주(州) 천연가스를 이산화탄소 지하 매립 처리(CCS)해 청정 수소를 생산하고, 이후 암모니아로 변환해 2028년부터 국내로 가져온다는 계획이다. 블루 암모니아는 이산화탄소를 제거한 블루 수소를 원료로 생산한다. 연소할 때 탄소 배출량이 극소량에 불과해 친환경 연료로 주목받고 있다. 구자용 E1 회장은 “지난 40여 년간 축적한 글로벌LPG사업 역량을 바탕으로 해외 청정 수소의 국내 도입, 공급망 구축 및 유통 사업 등을 적극적으로 추진하고자 한다”고 말했다."
2024-10-01,"LPG 공급 가격, 10월에도 동결","국내 액화석유가스(LPG) 가격이 10월에도 동결된다.서울 시내의 한LPG충전소. /뉴시스국내 양대LPG공급사인SK가스와 E1은 10월LPG가격을 전월과 같게 유지한다고 1일 밝혔다.SK가스는 프로판 가격을 ㎏당 1299.81원, 부탄은 L당 927.21원으로 유지하기로 했다. E1은 10월 가정·상업용 프로판 가격을 ㎏당 1300.25원, 산업용 프로판은 ㎏당 1306.85원으로 동결했다. 부탄도 L당 927.79원을 유지한다. E1 관계자는 “가격 인상 요인이 있지만 소비자 부담 경감을 위해 공급 가격을 동결한다”고 했다.국내LPG가격은 지난 8월 한 차례 인상된 것을 제외하면 계속해서 동결돼 있다. 당초SK가스는 이달부터 프로판 가격을kg당 20원, 부탄 가격을 L당 11.68원 올리겠다고 지난달 30일 밝혔지만, E1이 10월에도 가격을 동결하겠다고 밝히자 인상 방침을 철회했다.LPG는 양 사의 제품 품질에 큰 차이가 없어 가격도 서로 비슷하게 형성되는 특징이 있다.SK가스가LPG가격을 올리려고 했던 것은 최근 국제LPG가격이 계속해서 상승하고 있기 때문이다. 사우디 아람코가 국내LPG공급사에 통보한 10월 국제LPG가격은 프로판이 t당 625달러로 전달 대비 20달러 상승했고, 부탄은 620달러로 전달 대비 25달러 상승했다. 지난 7월 이후 3개월 연속 상승세다."
2023-02-28,"국제LPG가격 인상에도, SK가스·E1 3월 LPG 가격 동결","지난 24일 서울 시내의 한LPG충전소 모습./연합뉴스SK가스와 E1이 3월 국내 액화석유가스(LPG) 공급 가격을 동결했다. 앞서 사우디아라비아 국영석유회사 아람코가 국제LPG가격을 인상했지만, 국내 에너지 가격 안정에 동참하고자 동결을 결정했다.SK가스는 3월 프로판 가격을 ㎏당 1274.81원, 부탄 가격을 ㎏당 1541.68원으로 결정했다고 28일 밝혔다. 이는 이달 가격과 동일한 수준이다. E1도 가격을 동결했다. E1의 3월 프로판 가격은 가정·상업용 ㎏당 1275.25원, 산업용 1281.85원이다. 부탄 가격은 ㎏당 1542.68원으로 결정됐다.2월LPG국제가격이 큰 폭으로 오르며 3월 국내 공급가격도 오를 것이란 예측이 있었다. 앞서 사우디아라비아 국영석유회사 아람코는 2월 국제LPG가격을 프로판과 부탄 모두 t(톤)당 790달러로 결정한 바 있다. 전월과 비교하면 프로판은 200달러, 부탄은 185달러 오른 것이다.SK가스와 E1 등LPG수입사는 아람코가 통보한 국제LPG계약가격(CP)을 기준으로 매월 말 국내 공급 가격을 정한다. 국제LPG가격에 원/달러 환율을 반영하면 3월 국내LPG가격에는 ㎏당 230∼240원가량 인상 요인이 발생했다.그러나 업체들은 “서민 에너지 가격 안정에 동참하겠다”며 동결을 결정했다. 최근 급등한 에너지 가격으로 인해 집집마다 ‘난방비 폭탄 고지서’가 도착하며 논란이 됐는데, 이같은 여론을 의식한 것으로 풀이된다. 앞서 산업통상자원부는 지난 23일SK가스와 E1, 정유 4사와 동절기LPG가격 점검회의를 열고 가격 안정화에 힘써 줄 것을 당부하기도 했다.업계 관계자는 “가격 인상요인이 많았지만, 정부에서도 인상을 자제할 것을 당부해 동결을 결정했다”고 말했다."
2024-04-02,LPG 공급 가격 동결,"작년 12월 이후 5개월 연속식당과 가정, 택시 등에서 주로 사용하는 액화석유가스(LPG) 공급 가격이 작년 12월 이후 5개월 연속 동결됐다.국내 양대LPG공급 회사인SK가스와 E1은 4월LPG가격을 전월과 같게 유지한다고 1일 밝혔다.SK가스는 4월 프로판 가격은 ㎏당 1239.81원, 부탄은 ㎏당 1506.68원으로 유지하기로 했다. E1도 지난달과 같이 프로판(가정·상업용)은 ㎏당 1238.25원, 부탄은 ㎏당 1505.68원으로 동결했다. E1 관계자는 “누적된 가격 미반영분 등으로 가격 인상 요인이 발생했으나, 소비자 부담 경감 등을 고려해 동결하기로 했다”고 말했다."
2024-03-01,3월에도 LPG 가격 동결...12월부터 4개월 연속,"SK가스·E1 동결 발표“소비자 부담 경감 등 고려”E1 과천LPG충전소 전경./E1국내 액화석유가스(LPG) 가격이 3월에도 동결됐다.SK가스와 E1은 3월LPG가격을 전월과 같게 유지한다고 1일 밝혔다.SK가스는 프로판 가격을 ㎏당 1239.81원, 부탄은 1506.68원으로 유지한다고 밝혔고, E1도 3월 가정·상업용 프로판 가격을 ㎏당 1238.25원, 산업용 프로판은 ㎏당 1244.85원으로 동결했다. 부탄도 ㎏당 1505.68원이 이어진다.E1 관계자는 “국제LPG가격 상승 및 누적된 가격 미반영분 등으로 가격 인상 요인이 발생했으나 소비자 부담 경감 등을 고려했다”고 말했다. 국내LPG업계는 고물가에 따른 소비자 부담을 줄인다는 차원에서 작년 12월부터 4개월 연속LPG가격을 동결하고 있다."
2024-03-02,LPG 공급 가격 4개월 연속 동결,"식당, 가정, 택시 등에서 주로 사용하는 액화석유가스(LPG) 공급 가격이 3월에도 동결됐다. 작년 12월 이후 4개월 연속이다.LPG공급 회사인SK가스와 E1은 3월LPG가격을 전달과 같게 유지한다고 1일 밝혔다.SK가스는 프로판 가격을 ㎏당 1239.81원, 부탄은 1506.68원으로 유지하기로 했다. E1도 지난달과 같이 프로판(가정·상업용)은 ㎏당 1238.25원, 부탄은 ㎏당 1505.68원으로 동결했다. E1 관계자는 “국제LPG가격 상승과 그동안 누적된 가격 미반영분 등으로 가격 인상 요인이 발생했으나 소비자 부담 경감 등을 고려해 동결했다”고 말했다."
2022-04-28,"LS그룹, 전기차 충전 사업 진출","구자은LS그룹 회장LS그룹이 전기차 충전 사업에 진출한다.LS지주회사인 ㈜LS는 전기차 충전 인프라 구축과 운영 사업을 하는 신규 법인 ‘LSE-Link’를 설립한다고 28일 밝혔다.LS와 E1이 50대 50으로 공동 투자한다. 국내 1위 전력 솔루션과 가스 충전소 운영 노하우를 기반으로 전기차 사업의 시너지를 창출한다는 구상이다. 신임 대표로는 E1에서 강원지사장, 서울지사장, E1 컨테이너터미널 대표를 지낸 김대근 이사가 선임됐다. 본격적인 영업은 올 하반기부터 시작한다.LS관계자는 “앞으로 전기차로의 전환이 빨라지고 단위 충전소의 전력 사용량이 증가하면서 전력계통을 안정적·효율적으로 운영할 수 있는 역량이 더욱 중요해질 것”이라며 “LSE-Link를 컨트롤 타워로 삼아 그룹 내 전기차 충전 분야 사업 역량을 집결하고 시너지를 창출할 계획”이라고 말했다."
2023-11-21,구동휘 LS일렉 부사장 LS MnM으로 이동해 상장 추진한다,"LS그룹 2024 임원 인사LS그룹이 2024 임원 인사를 21일 단행했다. 글로벌 경제 불황이 이어지는 가운데 대부분 계열사CEO(최고경영자)가 유임됐다. 사장·부사장 승진자도 각각 2·3명씩 나왔다.LS그룹 3세 중 구자열 회장의 아들 구동휘LS일렉트릭 비전경영총괄 대표(부사장)가 소재 전문 기업인LSMnM(옛LS니꼬동제련)의COO(최고운영책임자)로 이동하며 기업공개(IPO)를 준비한다.LS그룹 관계자는 “이번 인사의 키워드는 조직 안정과 신상필벌의 원칙을 적용한 성과주의”라며 “글로벌 경기 침체를 고려해 외형과 조직 변화를 최소화하면서도 각 회사별로 글로벌 사업 등 비즈니스 성장에 기여한 분야는 승진 및 조직을 강화했다”고 말했다.구동휘LS일렉트릭 부사장./LS일렉트릭이번 인사의 가장 큰 축은LSMnM의 조직 개편을 단행한 것이다. 최근 이차전지 소재 사업에 본격 진출한LS는 이 사업에 대한 실행력을 강화하기 위해LSMnM에COO와 경영관리 본부를 신설한다.LS그룹 3세 중 구동휘LS일렉트릭 부사장이LSMnMCOO로 이동한다. 지주사인 ㈜LS의 심현석CFO(전무)가 부사장으로 승진하며LSMnM경영관리 본부장을 맡는다.구 부사장은 ㈜LS,E1,LS일렉트릭 등을 거치며LS그룹의 미래 성장 사업을 두루 경험해왔다. 심 전무는 기획 및 재무 분야에서 운영 관리 능력을 인정받은 인물이다. 이들은 향후LSMnM의 소재 사업 추진을 가속화하면서 상장을 추진한다.2024LS그룹 정기 인사에서 사장으로 승진하는 오재석LS일렉트릭 전력CIC부사장(왼쪽)과 신재호LS엠트론 대표이사 부사장. /LS이밖에 사장·부사장·전무 승진자도 고루 나왔다. 먼저 오재석LS일렉트릭 전력CIC부사장이 사장으로, 신재호LS엠트론 대표이사 부사장이 사장으로 각각 승진했다. 오 부사장은LS일렉트릭의 주력인 국내 전력 사업을 총괄하면서 해외 사업도 적극 지원해 글로벌 역대 최대 실적을 달성하는데 기여했다는 평가를 받는다. 신 대표는 주력인 트랙터 사업의 북미 투자를 강화해 성장세 유지를 이끌었다는 점을 인정받았다.이밖에 부사장 승진자는 심현석(LSMnM), 정현(가온전선), 최창희(슈페리어 에식스) 등 3명, 전무 승진자는 김우태(LS전선), 채대석, 이상준(이상LS일렉트릭), 박명호(LS엠트론), 김명균(가온전선) 등 5명이다.LS관계자는 “이번 임원 인사를 통해LS그룹은 경제 위기 속에서도 위기를 기회로 삼아 그룹의 미래 성장을 독려할 것”이라며 “특히 배∙전∙반(배터리∙전기차∙반도체) 관련 사업 분야를 강화함으로써 탄소 배출이 없는 전력 시대를 이끌어나갈 계획”이라고 밝혔다.[인사 명단 ][㈜LS]◇ 상무 승진▲ 강동준 세무부문장◇ 신규 이사 선임▲ 박재영 법무부문장(전문위원) ▲ 최원규 경영기획부문장[LS전선]◇ 전무 승진▲ 김우태 배전사업본부장◇ 상무 승진▲ 김원배 해저생산부문장 ▲ 이상돈 유럽/중동지역본부장 ▲ 차금환 생산기술센터장(연구위원) ▲ 김진용 구매부문장◇ 신규 선임▲ 변정일LSCUS법인장 ▲ 손태원Busduct영업부문장 ▲ 백승엽 지중생산부문장[LS일렉트릭]◇ 사장 승진▲ 오재석 전력CICCOO◇ 전무 승진▲ 채대석 비전경영부문장(CVO) ▲ 이상준 자동화CICCOO◇ 상무 승진▲ 이상열 전력CICSE사업부장 ▲ 김순우 비전경영부문(CVO) 비전전략/기획실장CSO▲ 구병수 자동화CIC자동화Device사업부장◇ 신규 이사 선임▲ 김희중 전력CIC연구개발본부 전력전자연구단장(연구위원) ▲ 허승재 전력CIC전력그리드사업부 전력시스템영업실장 ▲ 선규근 자동화CIC자동화경영지원부문장 ▲ 이정용 글로벌CICEMEA사업부장 ▲ 정호찬 글로벌CIC글로벌시스템사업부장 ▲ 구소희 비전경영부문(CVO)DXLab장(연구위원)◇ 외부영입▲ 최해운 이사ESG총괄 법무부문장(전문위원)[LSMnM]◇ 이동(전입)▲ 구동휘 부사장◇ 부사장 승진▲ 심현석 경영관리본부장 겸)재경부문장◇ 상무 승진▲ 한동훈 지원부문장CHO[LS엠트론]◇ 사장 승진▲ 신재호 대표이사CEO◇ 전무 승진▲ 박명호 지원본부장CHO[E1]◇ 신규 이사 선임▲ 전진만 대외협력실장[예스코]◇CEO선임▲ 김환 상무◇ 신규 이사 선임▲ 김은일 기획재경부문장CFO▲ 이창우 경영지원부문장CHO◇ 이동(전입)▲ 방혁준 이사[LSE-Link]◇ 상무 승진▲ 김대근 대표이사CEO[LS글로벌]◇ 신규 이사 선임▲ 김형민 대표이사CEO[가온전선]◇ 부사장 승진▲ 정현 대표이사CEO◇ 전무 승진▲ 김명균 재경부문장CFO◇ 신규 이사 선임▲ 김근식 전력생산부문장◇ 이동(전입)▲ 정창원 이사[LS마린솔루션]◇ 신규 이사 선임▲ 이근창 프로젝트수행부문장 ▲ 구영헌 경영기획부문장[LS메탈]◇ 상무 승진▲ 장재완STS사업부장[LSITC]◇ 신규 이사 선임▲ 김준현 디지털인프라사업부장[GRM]◇CEO선임▲ 김성직 이사[토리컴]◇CEO선임▲ 홍형기 상무[슈페리어 에식스]◇ 부사장 승진▲ 최창희 대표이사CEO"
2024-09-21,"‘월북 미군’ 트래비스 킹, 귀환 1년 만에 석방… 불명예 제대","작년 7월 월북한 주한미군 트래비스 킹/AFP연합뉴스작년 7월 무단 월북한 미군 병사 트래비스 킹(24)이 미국으로 귀환한 지 1년 만에 자유의 몸이 됐다.20일(현지 시각) 미국CNN등에 따르면, 킹은 미국 텍사스주 포트블리스 육군기지 내 군사법원에서 탈영, 명령 불복종, 상관 폭행 등 5개 혐의에 대해 유죄를 인정했다. 이에 법원은 킹 이병에 대해 불명예 제대와 함께 징역 1년형을 선고했다.작년 9월부터 텍사스 포트블리스에서 구금 상태로 지냈던 킹은 미결수로 구금된 일수가 인정돼 이날 석방됐다.그는 또한 이병에서 훈련병 계급인 ‘E1′으로 강등됐고 급여와 수당 등을 몰수당했다고 매체는 전했다.킹은 주한 미군으로 활동하면서 통금을 어기고 병영을 이탈해 술을 마시다가 적발됐다. 그는 상관인 하사의 머리를 걷어차 폭행 혐의도 받았다. 또 한국인들을 모욕하는 발언을 하며 한국 경찰차를 파손했다. 이에 폭행 혐의와 공공 기물 파손 혐의로 기소돼 유죄 판결을 받았다.이에 킹은 미국으로 돌아가 징계를 받을 예정이었다. 그러나 그는 미국행 비행기를 타지 않고 작년 7월 18일 ‘판문점 민간인 투어’에 참여한 뒤 군사분계선(DML)을 넘어 월북했다.그는 71일 만에 북한에서 추방형식으로 풀려나 미국으로 귀환했다. 미국으로 돌아온 뒤 그는 탈영과 함께 아동 음란물 소지 등 14개 혐의로 기소됐다. 다만 군검찰은 킹과 유죄 인정 협상을 벌인 뒤 9개 혐의에 대해선 기소를 취하했다.킹은 이날 법원에서 군 생활에 불만족해 무단 월북했다며 “다시는 돌아오지 않길 원했다”고 말했다. 또 정신 건강에 문제가 있다는 진단을 받았지만 재판을 받는 데는 문제가 없다고 설명했다.킹의 변호사는 성명을 내고 “킹은 이번 사건에 대한 모든 책임을 인정한다”며 “다만 부정적인 대중의 인식, 1년간의 구금은 그가 남은 평생 동안 견뎌야 할 처벌이 될 것”이라고 했다.-조선일보 국제부가 픽한 글로벌 이슈! 뉴스레터 구독하기 ☞https://page.stibee.com/subscriptions/275739국제퀴즈 풀고 선물도 받으세요! ☞https://www.chosun.com/members-event/?mec=n_quiz"
