date,title,content
2024-12-20,"GS건설, 부산에 국내 첫 스마트 연어 양식장 준공","2026년 4분기부터 출하부산 기장군 스마트 연어 양식 클러스터 전경 /GS건설GS건설이 국내 최초로 육상 스마트 연어 양식장을 준공했다.GS건설은 20일 부산 기장군 부경대 수산과학연구소에서 ‘부산 스마트양식 클러스터’ 준공식을 열고 본격적인 연어 육상 양식에 나선다고 밝혔다. 부산 스마트양식 클러스터 시설은 2019년 정부 주도로 국비 및 부산시비를 지원받아 시작됐다.GS건설은 지난 2020년 7월 부산광역시와 ‘스마트 양식 클러스터 조성을 위한 업무협약’을 맺고, 같은 해 설립한 자회사 에코아쿠아팜을 통해 민간투자자로 사업에 참여했다.이 시설에서는 연간 최대 500t 규모의 연어 생산이 가능하며, 지난 7월과 11월 두 차례에 나눠 입식한 대서양 연어 발안란 생육이 진행되고 있다.GS건설은 2년여간의 양식기간을 거쳐 2026년 4분기부터 연어를 본격적으로 출하할 계획이다.이 양식장은 국내 최초로 폐쇄식 순환 여과방식(RAS)의 친환경 설비를 이용한 수처리 방식을 적용해 해상이 아닌 육상에서 연어를 양식한다.RAS는 육상에 양식시설을 만들어 놓고 지하수 또는 해수를 끌어와 고도의 수처리 기술을 통해 오염물질을 정화해 연어를 키우고, 배출되는 양식수도 재처리해 깨끗하게 바다로 내보내는 방식이다. 사육수의 최대 99%까지 재사용할 수 있다.전량 수입에 의존하던 대서양 연어를 국내에서 생산하게 된 것은 물론, 기존 해상 가두리 양식의 한계로 지적되는 미세플라스틱, 중금속, 바이러스 등의 해양오염으로부터 안전한 청정 연어의 생산이 가능하다. 차갑고 깨끗한 물에서 서식하는 연어를 국내에서 연중 생육하기 위해서는 고도의 수처리 기술과 함께 수온을 일정하게 유지하는 기술이 중요하다.GS건설은 자체 보유한 순환 여과 및 담수화 양식시설 처리 특허 기술과 양식장 운영을 위한 첨단 정보통신기술을 적용해 스마트 양식이 가능하게 했다.허윤홍GS건설 대표는 준공식에서 “스마트 양식 기술 저변 확대와 함께 해양 특수 플랜트 분야의 전문성과 경쟁력을 토대로 국내 수산업의 지속가능한 성장에 기여할 것”이라고 말했다."
2024-12-04,[부음] 허창수 GS명예회장 모친 구위숙 여사 별세 외,"허창수GS명예회장 모친 구위숙 여사허창수GS그룹 명예회장의 모친 구위숙(96) 여사가 3일 오후 노환으로 별세했다.1928년 경남 진주시 지수면 승산리에서 태어난 고인은 고(故) 구인회LG창업주의 동생인 고 구철회LIG명예회장의 장녀다. 구 여사는 같은 마을 출신인 고 허만정GS창업주의 3남 고 허준구GS건설 명예회장과 1945년 결혼했다.유족으로 장남인 허창수 명예회장을 비롯해 허정수GS네오텍 회장, 허진수GS칼텍스 상임고문, 허명수GS건설 상임고문, 허태수GS그룹 회장 등 5남이 있다. 빈소는 서울대병원. 발인은 5일 오전 8시. (02)2072-2091▲윤석자별세,조주연前 양천구시설관리공단 이사장 모친상=2일13시 홍익병원, 발인 4일6시30분, (02)2600-1441▲이정숙별세,박순용연세대 교육학과 교수·박순원모친상,노경은시모상=2일20시40분 신촌세브란스병원, 발인 5일7시, (02)2227-7500▲홍원표별세,박화순남편상,홍성일더구루 산업부 기자·홍성욱부친상=3일0시58분 강동성심병원, 발인 5일5시20분, (02)470-1692"
2024-12-18,요기요 “10월부터 3개월 연속 흑자 전환”,"배달앱 요기요가 상각 전 영업이익(EBITDA) 기준으로 흑자 전환에 성공했다. 18일 요기요는 올해 10월부터 흑자를 기록하기 시작해 이달까지 3개월 연속 흑자를 내고 있다고 밝혔다. 요기요가 흑자로 전환한 것은 2021년GS리테일이 요기요 지분을 인수한 이후 처음이다.요기요 라이더가 서울 시내 도로 위에서 신호를 기다리고 있다. /뉴스1요기요는 무료 배달 멤버십 서비스 ‘요기패스X’가 흑자 전환에 주요한 역할을 한 것으로 보고 있다. ‘요기패스X’는 월 2900원을 내면 무제한으로 배달비 무료 혜택을 받을 수 있는 서비스다. 지난달 구독자 수 100만 명을 돌파한 데 이어 이달에는 130만명을 넘어서며 가입자가 크게 늘었다. 요기요 측은 “이번 흑자 전환은 일시적인 비용 절감이나 단기적 조치가 아닌 수익성과 비용 구조 등 체질 개선의 결과”라며 “특히 요기패스X의 멤버십 제휴 채널이 네이버, 토스 등으로 다양해지면서 락인효과(자물쇠효과)가 발생한 것으로 분석된다”고 밝혔다.요기요가EBITDA기준 월간 흑자를 낸 것은GS리테일과 사모펀드가 딜리버리히어로코리아로부터 요기요를 인수한 2021년 이후 처음이다.권태섭 요기요CFO겸 공동대표는 “배달 시장의 성장 둔화와 치열한 경쟁 속에서도 요기요는 운영 효율화를 통한 지속 가능한 수익 구조를 구축하며 안정적인 재무 환경을 마련했다”며 ”이번 성과는 회사의 체질 개선 노력이 결실을 본 것”이라고 밝혔다."
2024-12-11,"﻿홈쇼핑 쇼호스트 된 소유진, 실적은? “3개월 주문액 140억”","배우 소유진이 홈쇼핑 쇼핑호스트가 되어 진행하는 '소유진 쇼'./GS샵TV홈쇼핑에 출사표를 낸 배우 소유진이 3개월 만에 누적 주문액 100억원을 넘겼다. ‘쇼핑호스트’로서 안착했다는 평가가 나온다.11일GS샵에 따르면, 9월 6일부터 12월 6일까지 매주 금요일마다 진행된 ‘소유진 쇼(소쇼)’ 실적을 분석한 결과 누적 주문액 140억원을 기록했다. 총 14회차 방송의 평균 주문액이 10억원에 달하는 셈이다. 직전 3개월(6~9월) 동시간대 주문액과 비교하면 25.1%가 늘어난 수치다.최고 주문액 13억원을 달성했던 9월 13일 방송은 헤어 기기 ‘다이슨 에어랩’과 화장품 ‘안티에이징 세럼 달바’를 방송했다.GS샵 관계자는 “방송 시작할 때는 시청 가구가 매우 낮았지만, 소유진이 상품 시연 장면을 선보인 후 방송 후반에는 시청 가구가 5배까지 치솟았다”며 “홈쇼핑 채널 가운데 1위까지 차지했다. 그야말로 소유진 효과를 제대로 보여줬다”고 말했다.구매 건수가 가장 높았던 방송은 첫 패션 아이템을 선보인 11월 8일 방송으로, 소유진이 입은GS샵 패션 브랜드 ‘모르간’ 착장에 관심이 몰리며 방송 내내 홈쇼핑 채널 중 시청 가구 1위를 지켰다고 한다. 동시에 2만1000건의 주문이 몰렸다.‘소유진 쇼’ 방송 구매 고객 연령은 전체 평균 대비 약 3살 어린 것으로 집계됐다. 특히 30대와 40대 고객의 비중이 높았다고 한다.소유진은 “저를 믿고 상품을 구매하는 고객, 저에게 상품을 맡겨주시는 협력사 분들께 정말 감사한 마음과 막중한 책임감을 느끼고 있다”며 “생방송으로 진행되는 홈쇼핑은 방송 경력 24년이 무색할 정도로 쉽지 않다 보니 100억원 돌파보다 100일 동안 최선을 다한 것에 의미를 두고 싶다”고 했다. 이어 “그간의 성과는 함께 방송을 진행하는 정은진, 이주원 쇼핑호스트에게 공을 돌리고 싶다”고 말했다.GS샵은 ‘소쇼’ 주문액 100억원 돌파 기념으로 오는 20일 크리스마스 특집 방송을 실시한다. 소유진이 직접 제작에 참여한 ‘김서룡 램스킨 토트백’을 소개하면서 ‘루이뷔통 카드 홀더’를 경품으로 증정할 계획이다."
2024-12-12,"GS그룹, 연말 성금 40억원 기탁",GS그룹은 연말을 맞아 취약 계층 지원을 위한 성금 40억원을 사회복지공동모금회에 기탁했다고 11일 밝혔다. 지난 2005년부터GS그룹이 기탁한 연말 성금은 총 760억원에 달한다. 허태수GS그룹 회장은 “우리 사회가 더 따뜻하고 행복해질 수 있도록 나눔을 통한 기업의 사회적 역할에 솔선수범하겠다”고 했다.
2024-11-28,[경제계 인사] ㈜GS 외,▲㈜GS▷부사장 최누리▷전무 황재웅 ▲GS에너지▷부사장 진형로▷상무 박종선 김진학 ▲GS칼텍스▷상무 송지호 ▲GS파워▷상무 김영일 ▲GS리테일▷부사장 박솔잎 정춘호▷전무 곽용구▷상무 이정표 이운희 김수택 김요한 석윤선 이수현 ▲파르나스호텔▷대표이사 부사장 여인창 ▲GSE&R▷상무 제형모 ▲GS풍력발전▷대표이사 전무 김수연 ▲GS건설▷부사장 김동욱 김하수 이상규 남경호▷상무 이행준 이용구 이상의 김생수 박노승 지승영 ▲자이S&D▷대표이사 부사장 구본삼 ▲자이C&A▷상무 성영주▲현대해상◇임원 전보▷윤리경영실장 박계현▷기획관리부문장 정규완▷기술지원부문장 김택수▷기업보험부문장 윤의영▷AM영업부문장 전혁▷자동차보험부문장 한정근▷CISO서홍원▷디지털전략본부장 김성재▷브랜드전략본부장 주준형▷기업영업3본부장 유영철▷AM1본부장 이기원▷AM2본부장 김태우▷개인마케팅본부장 김호▷강북지역본부장 김원준▷강남지역본부장 김한민▷경인지역본부장 이상억▷충청호남지역본부장 길준희▷영남지역본부장 김도회▷다이렉트영업본부장 박윤정▷장기업무본부장 채형준▷자동차보상본부장 임지훈▷수도권대인보상본부장 이철우▷지속가능실장 강명관
2024-11-27,"홍순기 부회장 승진,  GS리테일은 허서홍 체제로...GS 인사","홍순기GS부회장GS그룹은 홍순기 대표이사 사장을 부회장으로,GS리테일 신임 대표이사에는 허서홍 부사장을 내정하는 등 정기 임원 인사를 27일 단행했다. 검증된 인재를 경영진으로 전진 배치하고, 불황이 예상되는 사업 영역에 대한 위기 대응력 강화 차원이라는 설명이다.홍 신임 부회장 외에 사장 승진자는 2명이다. 유재영GS파워 대표가 사장으로 승진했고, 여은주GS스포츠 대표가 부사장에서 사장으로 승진했다. 유 신임 사장은 장기간 재무분야에서 전문성을 발휘했고, 올해GS파워 대표이사로 임명됐다. 여 신임사장은 커뮤니케이션 전문가로 오래 경험을 쌓았고 올해부터GS스포츠 대표이사를 맡아 K리그 역대 최다 관중 기록을 경신하는 등FC서울 축구단의 새로운 전성기를 이끌고 있다.허서홍GS리테일 대표이번 인사에서 오너 일가 중에선 허서홍GS리테일 신임 대표가 리더십을 잡은 것이 가장 눈에 띈다. 허연수 부회장이 경영 조언자의 역할로 용퇴하면서 차세대 리더에게 지휘봉을 넘기기로 했다. 허 신임 대표는GS에너지 전력/집단에너지사업부문장과 경영지원본부장을 거쳐, ㈜GS미래사업팀장을 역임했다. ㈜GS재임시 그룹 전반의 신사업 밑그림을 그렸고 세계적인 메디컬 에스테틱 기업 ‘휴젤’을 인수하는 등 사업 다각화에 기여했다. 올해GS리테일로 리더십 경험을 쌓아왔다.또 여인창 파르나스호텔 대표가 부사장으로, 최누리 ㈜GS업무지원팀장이 부사장으로 각각 승진했다.GS에너지에서는 진형로 가스·업스트림 사업실장이,GS리테일에서는 박솔잎 홈쇼핑BU장이 각각 부사장으로 승진했다. 정춘호GS리테일 편의점사업부장도 부사장이 됐다.전무 승진자는 7명, 상무 승진자는 18명이다."
2024-11-27,"홍순기 GS 사장, 부회장 승진... 4세 허서홍은 GS리테일 대표로","홍순기GS사장이 부회장 승진했다. 4세 허서홍은GS리테일 대표로 선임됐다. /뉴시스·연합뉴스GS그룹이 ㈜GS홍순기(65) 대표이사 사장을 부회장으로, 오너가 4세인 허서홍(47) 부사장을GS리테일 새 대표이사로 선임하는 내용의 임원 인사를 실시했다.GS그룹은AI(인공지능) 기술 발전으로 전력 수요가 높아지고, 청정 에너지 중심으로 글로벌 에너지 시장이 재편되는 등 불확실성이 커진 분야에 경험을 갖춘 경영진을 앞세워 변화를 줬다. 또 신사업 등에는 젊은 인재를 과감하게 배치하는 방식으로 조직을 재정비했다고 설명했다.홍순기 신임 부회장의 경우 1986년 호남정유에 입사한 이후LG구조조정본부를 거쳐 2004년 ㈜GS출범과 함께 자리를 옮겨 업무지원팀장,CFO(최고재무책임자) 등을 지낸 전문가다. 그룹 내 유일한 부회장으로 대외 여건 변화에도 견딜 수 있도록 그룹 내실을 견고하게 다지는 역할을 맡게 됐다.허서홍 신임GS리테일 대표는 앞으로 편의점 등 내수 시장 경쟁이 치열한 유통 분야에서 온·오프라인 신사업을 통해 새 성장 동력을 만드는 게 과제다. 그는GS에너지 경영기획, ㈜GS미래사업팀장 등을 거치며 신사업 발굴과 신규 투자 업무를 주로 해왔다. 특히 2021년 바이오 의약품 전문 기업 휴젤 인수를 주도하며 그룹의 사업 영역을 확장했다는 평가를 받는다. 허광수 삼양인터내셔날 회장의 아들로, 허태수GS그룹 회장의 5촌 조카다.사장 승진자는 2명이다. 유재영GS파워 대표와 여은주GS스포츠 대표가 부사장에서 사장으로 승진했다. 에너지 계열사는 변화 폭이 컸다. 김석환GSEPS대표이사 사장, 김성원GSE&R 대표이사 부사장, 황병소GS동해전력 대표이사 전무가 새로 임명됐다. 건설 불황을 감안해,GS건설의 6개 사업 본부를 3개로 통합하고 임원 직급도 ‘전무’와 ‘부사장’을 ‘부사장’으로 합치는 조직 개편도 했다.그룹 전체 부사장 승진자는 5명 나왔다. 전무 승진자는 7명이었다. 새로 상무가 된 사람은 18명으로 작년(31명)보다 크게 줄었다.GS그룹은 또 벤처투자 전문 회사인GS벤처스에 40대인 홍석현(43) 신임 대표를 임명해 미래 성장 동력을 발굴하는 데 더 집중하기로 했다."
2024-12-02,아산신도시 ‘센트럴시티’에 첫 공급되는 대단지,"[분양 단지 입체 분석] 아산탕정자이 퍼스트시티GS건설이 12월 중 충남 아산시 탕정면에서 ‘아산탕정자이 퍼스트시티’를 분양할 예정이다. 아산신도시 센트럴시티 도시개발사업을 통해 처음으로 공급되는 아파트 단지다. 구역 내 3개 블록(A1·A2·A3)에서 총 3673가구 규모로 조성되는 대단지다. 이달 A1블록 지하 2층~지상 35층, 6동(棟) 797가구를 시작으로 차례로 분양한다. 전용면적 59㎡ 136가구, 84㎡656가구, 125㎡ 5가구로 구성된다. 삼성 사업장 등 주변에 일자리가 많고, 신축 대단지이면서 안정적인 교육 환경을 갖춰 수요자들의 관심을 끌고 있다.충남 아산시 탕정면에서 최고 35층으로 들어서는 '아산탕정자이 퍼스트시티'의 준공 후 예상 모습. 천안 불당동 학원가를 비롯해 불당지구의 편리한 생활 인프라를 공유하는 입지에 들어선다. /GS건설◇'천안의 대치동’ 불당지구 인프라 공유아산탕정자이 퍼스트시티는 천안을 대표하는 주거지인 ‘불당지구’와 2만1000여 가구가 들어설 ‘아산탕정2지구’ 사이에 있다. 단지가 들어서는 아산신도시 센트럴시티는 앞으로 불당지구, 아산탕정2지구와 고가로 연결돼 신흥 주거 축을 형성할 전망이다.불당지구는 편리한 생활 인프라 덕분에 천안·아산권에서 가장 주거 선호도가 높은 지역으로 꼽힌다. 단지가 자리하는 탕정면 일대는 대학 입시 때 농어촌특별전형에 도전할 수 있고, ‘천안의 대치동’이라 불리는 불당동 일대 학원가가 가까워 교육 여건이 좋다. 구역 내 초등학교가 신설될 예정이고, 주변에 동덕초·탕정중·충남외고 등이 있어 학군이 뛰어나다는 평가를 받는다.그래픽=이진영단지 서쪽에 있는 아산탕정2지구는 4만5000명을 수용하는 대규모 주거지를 조성 중이다. 2025년 착공, 2029년 준공을 목표로 지난 9월부터 토지 보상 절차에 착수한 상태다.주변에 일자리가 많아 직주근접(職住近接)이 뛰어난 단지라는 평가를 받는다. 삼성로를 따라 삼성 아산디스플레이시티로 편하게 출퇴근할 수 있고, 삼성전자 나노시티 온양캠퍼스, 삼성SDI천안사업장, 탕정·천안 내 일반산업단지로도 이동이 편리하다. 천안아산역을 통해 서울과 수도권으로 이동이 쉽고, 향후KTX천안아산역 광역복합환승센터가 들어서면 교통 여건은 더욱 좋아질 것으로 보인다. 갤러리아백화점, 코스트코, 이마트 같은 쇼핑 시설 이용도 편리하다.◇3673가구 대단지, 유주택자도 1순위 청약 가능아산탕정자이 퍼스트시티는 혁신적인 평면과 차별화된 커뮤니티 등 상품성을 높이는 데 공을 들였다. 남향 위주의 단지 배치로 채광과 통풍이 잘돼 쾌적한 주거 환경을 구현하려 했다. 주택형에 따라 4베이(거실과 방 3개를 전면 발코니 방향으로 배치) 판상형 구조, 3면 발코니 평면 등을 적용했다. 팬트리와 드레스룸 같은 수납 공간도 넉넉히 배치했다.커뮤니티센터인 ‘클럽 자이안’에는 독서실, 피트니스클럽, 골프연습장,GX룸, 사우나 등이 들어설 예정이다. 특히 입주민 전용 스카이라운지 ‘클럽 클라우드’에는 교보문고가 선별한 도서로 채워진 북카페와 게스트하우스가 조성된다.아산시를 비롯해 충남·대전·세종시에 거주하는 만 19세 이상이면서 청약통장 가입 기간 6개월 이상, 주택형별 예치금 기준을 충족하면 1순위 청약이 가능하다. 주택 보유자도 1순위 청약이 가능하며, 재당첨 제한을 적용받지 않는다. 입주는 2027년 하반기 예정이다.GS건설 관계자는 “새롭게 개편한 자이 브랜드에 어울리는 뛰어난 상품성의 아파트를 공급하기 위해 최선을 다하겠다”고 했다."
2024-12-03,“혼자 끼니는 잘 드세요?” 야쿠르트 배달 때 살핀다,"오세훈(왼쪽 여섯번째) 서울시장이 2일 오전 서울 중구 서울시청에서 열린 '외로움 없는 서울' 민관협력 업무협약식에서 기념 촬영을 하고 있다. 왼쪽부터 문은경 한국빨래방협회 이사, 손지욱BGF리테일 커뮤니케이션 실장, 윤명랑 풀무원식품 마케팅본부장, 함윤식 우아한형제들 부사장, 황도연 당근마켓 대표, 오세훈 서울시장, 안병현 교보문고 대표, 변경구hy대표, 김경숙 대상ESG경영실장, 김천주GS리테일 편의점지원 부문장, 진수희 서울시복지재단 대표/뉴시스서울시가 1인 가구의 고립·은둔 문제를 해결하기 위해 기업들과 손을 잡았다. 서울시는 2일 기업·단체 9곳과 ‘외로움 없는 서울을 위한 업무협약’을 체결했다고 밝혔다.아홉 단체는 교보문고, 당근마켓,hy(한국야쿠르트), 우아한형제들,GS리테일, 대상,BGF리테일, 풀무원식품, 사단법인 한국빨래방협회다.서울시 관계자는 “시와 기업, 단체가 자신만의 특기를 살려 시민들의 외로움 문제를 풀어보자는 취지에서 뭉쳤다”고 했다.교보문고는 ‘외로움’을 주제로 책 모임을 연다. 참가자들에게는 교보문고가 여는 강연회에 참여할 수 있는 기회를 준다.이른바 ‘야쿠르트 아줌마’들은 서울 곳곳을 다니며 홀로 사는 노인의 안부를 확인한다. 이미 독거노인 8000명을 살피고 있는데 이를 1만명으로 확대하기로 했다.음식 배달 플랫폼인 ‘배달의민족’ 앱에서는 자신의 ‘고립 위험도’를 체크해 볼 수 있는 자가 진단 코너를 운영하기로 했다. 진단 결과를 서울시의 ‘외로움 안녕 120′ 등에 공유하면 할인 쿠폰을 준다. ‘외로움 안녕 120′은 서울시가 24시간 운영하는 고독 문제 전담 콜센터다. 내년 4월부터 운영한다. 120다산콜로 전화를 건 뒤 전담 상담원을 찾으면 된다.당근마켓은 고립·은둔 상황을 극복한 시민과 고립·은둔 청년을 모아 동네 모임을 만들 예정이다. 1인 가구가 자주 찾는 편의점과 빨래방에는 외로울 때 상담을 받을 수 있는 방법 등을 안내하는 포스터를 붙일 예정이다. 다른 시민들과 어울릴 수 있는 ‘마음 편의점’도 4곳 생긴다. 편의점처럼 편하게 들를 수 있는 장소라는 뜻이다. 대상과 풀무원이 준비한 쌀국수와 볶음밥, 라면을 만들어 먹을 수 있다.통계청에 따르면, 서울시 1인 가구는 전체 가구의 38.2%다. 세 집 중 한 집꼴로 혼자 사는 셈이다."
