date,title,content
2024-12-18,[경제계 인사] HDC그룹 서울춘천고속도로 대표 이지호 외,HDC그룹 서울춘천고속도로 대표 이지호HDC그룹은 2025년도 정기 임원 인사에서 이지호 서울춘천고속도로 대표와 김상균HDC현대PCE대표 직무대행을 선임했다고 17일 밝혔다.▲HDC현대산업개발▷상무 조기훈 강민석 정한효
2024-12-09,"침체에 허덕… ‘빅10′ 건설사 중 여덟 곳, CEO 바꿨다","작년 말부터 잇단 인적 쇄신남산에서 바라본 서울 도심. /연합뉴스건설 경기 침체로 실적 부진에 빠진 대형 건설사들이 최고경영자(CEO)를 잇따라 교체하고 나섰다. 국내 10대 건설사 중 삼성물산과 롯데건설을 제외한 8곳이 지난해 말부터 올해 사이 모두CEO를 바꾼 것으로,국내 건설사 수장들이 이렇게 한꺼번에 교체되는 것은 이례적인 일이라는 것이 업계 관계자들의 말이다. 건설 경기 부진이 심화되면서 기업들이 자구책을 마련하기 위해 연일 조직 쇄신에 나서고 있다는 분석이다.HDC그룹은 지난 6일HDC정경구 대표를HDC현대산업개발 신임 대표로 선임했다. 재무 전문가인 정 대표는 2020년HDC현산에서CFO(최고재무전문가)를 역임했고, 2022년부터HDC대표로 그룹 내 인수·합병(M&A) 업무를 주도했다.시공능력평가 2~4위인 현대건설, 대우건설, 현대엔지니어링도 지난달 모두CEO인사를 단행했다. 현대건설은 주택사업 부문 전문가인 이한우 부사장을, 대우건설은 2021년 중흥그룹의 대우건설 인수를 주도했던 김보현 총괄부사장을 각각CEO로 내정했다. 현대엔지니어링은 재무 전략가인 주우정 기아자동차 재경본부장을 사장으로 승진시키며 대표이사로 내정했다. 이 회사들은 모두 건설 경기 침체로 최근 실적이 좋지 않았다. 현대건설과 대우건설은 지난 3분기 영업이익이 전년 동기 대비 각각 53.1%, 67.2% 급감했고,HDC현산과 현대엔지니어링도 같은 기간 각각 23.5%, 21.3% 감소했다.GS건설, 포스코이앤씨,SK에코플랜트,DL이앤씨도 지난해 10월부터 올해 8월 사이 경영 쇄신을 이유로CEO를 교체했다.건설사들은 임직원 구조 조정에도 돌입했다.DL이앤씨는 지난 3월 임원 18명에게 계약 해지를 통보했고, 지난 10월 정기 인사에선 예년(9명)보다 적은 6명을 신규 임원으로 선임했다.SK에코플랜트는 최근 임원 수를 66명에서 51명으로 20% 넘게 줄였다. 50대 이상 고연차 직원을 대상으로 명예퇴직도 시행 중이다.GS건설은 최근 기존 6개 사업본부를 3개로 축소하고 ‘본부-그룹-담당’ 3단계 조직 구조를 ‘본부-부문’ 또는 ‘실-부문’ 2단계로 조정했다. 대우건설은 기존 7개 사업본부 83팀을 5개 사업본부 79팀으로 간소화했다."
2024-12-09,‘금고지기’ 재무통 ‘저승사자’ 감사통이 뜬다,"올 주요 그룹 인사 트렌드는그래픽=김의균최근 연말 정기 인사를 마무리한 주요 그룹의 트렌드는 ‘재무통’과 ‘감사 출신’의 약진이다. 기업은 인사(人事)로 말한다. 극심한 대내외 불확실성과 주력 사업의 위기를 동시에 겪고 있는 주요 그룹들의 인사에선 ‘재무통’과 ‘감사통’의 전면 배치가 두드러지게 드러났다. 재계 관계자는 “업황에 따라 사업 개발과 투자 전문가가 득세하기도 하지만, 지금처럼 불확실성이 큰 위기에는 재무와 감사 출신처럼 고삐를 바짝 죄는 인물에게 힘이 실린다”고 했다. 동시에 지주사가 ‘컨트롤 타워’ 역할을 강화하며, 자회사 관리에 더 적극적으로 나서 위기를 돌파하겠다는 의지도 일제히 드러냈다.그래픽=김의균위기 속 재무, 감사 전면에GS그룹의 지주사인 ㈜GS는 지난달 말 ‘재무통’ 홍순기 대표이사 사장의 부회장 승진을 발표하며 ‘믿을맨’이란 표현을 썼다. 최고재무책임자(CFO) 출신을 그룹 유일의 부회장으로 내세우며 이같이 설명한 것이다. 홍 부회장은CFO를 지내며GS글로벌(2009년),GSE&R(2014년) 같은 굵직한 인수 합병을 비롯해GS에너지 물적 분할(2012년) 등을 완수했다.GS는 “불확실한 경영 환경에서 어떤 외부 충격에도 견딜 수 있도록 그룹 전반의 내실을 더 견고히 하겠다는 뜻”이라고 했다.CJ그룹 인사의 최대 화제 역시 ‘재무통’인 허인회 사장의 지주사 복귀였다. 추진력 강한 재무 전문가로 꼽히는 그는 ‘해결사’란 별명답게CJ푸드빌,CJ오쇼핑,CJCGV등 경영난을 겪는 계열사에 투입돼 기업 재무, 실적을 개선하는 역할을 해왔다. 이번에도CGV의 6분기 연속 흑자를 이끈 뒤, 위기를 겪고 있는 지주사CJ㈜의 경영지원대표로 선임됐다.지주사뿐 아니라 핵심 계열사도 마찬가지였다.HD현대오일뱅크는 지난달 사장단 인사에서 지주사 재무지원실장인 송명준 부사장을 사장 승진과 함께 신임 대표이사로 내정했다. 현장 전문가인 정임주 부사장과 함께 공동 대표 체제를 구축해, 부진에 빠진 실적 개선의 ‘구원투수’ 역할을 맡긴 것이다.SK그룹은 중간 지주사인SK디스커버리 수장에 재무 출신인 손현호SK수펙스추구협의회 사장을 내세웠고,HDC그룹도 ‘재무통’ 정경구HDC대표를 건설사인HDC현대산업개발의 수장으로 임명했다.감사 기능 강화도 두드러진다. 지난달 삼성이 ‘삼성 내 검찰’로 불렸던 경영진단실을 부활시키고, 미래전략실과 핵심 계열사CEO출신인 최윤호 사장을 배치해 그룹 사업을 제대로 들여다보겠다는 의지를 분명히 한 것이 대표적이다.SK그룹은 ‘감사통’으로 유명한 신창호 부사장을SK온에 신설한 운영총괄로 임명했다. 최근 유동성 위기를 겪고 있는 기업에 그룹 내 감사 조직인 이른바 ‘자경단(자율책임 경영 지원단)’장 출신을 내세운 것이다. 이마트도 최근 조직 개편에서 감사팀을 대표이사 직속으로 전면 배치하며, 감사 기능에 힘을 실었다. 한 그룹 지주사 관계자는 “희망퇴직을 받기 전에 대대적인 감사를 벌인 다음, 결과지를 들고 구성원 면담에 들어가는 경우도 있다”고 귀띔했다.지주사 고삐 죄기도 강화위기 속 지주사의 ‘컨트롤 타워’ 역할도 일제히 강화됐다. 지주사가 지분을 갖고 있는 각 자회사의 포트폴리오를 더 적극적으로 관리하며 효율성과 수익성의 고삐를 더 단단히 죄고 나선 것이다. 동시에 지주사 출신을 계열사 전면에 내세우며 직접 관리에 돌입했다.LG는 최근 인사에서 그룹 경영관리 부문장을 신설하고, 지주사 경영전략 부문을 총괄하던 홍범식 사장을 계열사 대표로 내려보내며 그룹이 사활을 걸고 있는 인공지능(AI) 사업 강화란 ‘미션’을 부여했다.비상경영 체제에 돌입한 롯데도 지주사의 노준형 경영혁신실장을 사장으로 승진시키고, 경영혁신실과 사업지원실을 통합해 사업 포트폴리오 조정 역할을 강화했다.SK㈜도 조직 개편을 통해 포트폴리오 관리와 투자 기능을 기존CFO산하에서CEO직속으로 바꿔 대표이사가 직접 챙기도록 했다.재계 관계자는 “한때 은막 뒤에 숨어있다는 평가를 받았던 지주사들이 대내외 불확실성이 커지자 그룹 경영 전면에 등장하며 위기 돌파에 적극적으로 나서고 있다”고 했다."
2024-12-07,KB국민카드 대표 김재관 외,"KB국민카드 대표 김재관KB금융지주는 계열사 대표이사 후보 추천위원회를 열고KB국민카드 대표에 김재관KB금융지주 부사장,KB라이프생명보험 대표에 정문철KB국민은행 부행장,KB데이터시스템 대표에 박찬용KB국민은행 부행장을 각각 후보로 올렸다고 6일 밝혔다. 김성현·이홍구 현KB증권 대표는 재추천됐다. 신임 대표이사 임기는 2년, 재선임된 대표이사 임기는 1년이다.HDC현대산업개발 대표 정경구HDC그룹은HDC현대산업개발 신임 대표에 정경구HDC대표를 선임하고 사장으로 승진시켰다고 6일 밝혔다. 지주사인HDC신임 대표에는 김회언HDC현대산업개발CFO(최고재무책임자)가 선임됐다.▲한미글로벌▷부사장 권오찬▷전무 김재현 박상진 오승경 유동훈 이광준 이진호 ▲한미글로벌PMC▷대표 유현열"
2024-12-09,Finance and audit experts dominate South Korea’s year-end leadership shakeups,"GraphicsbyKimEui-gyunYear-endleadershipreshufflesacrossmajorSouthKoreanconglomeratesarespotlightingagrowingpreferenceforexecutiveswithbackgroundsinfinanceandauditing.Theappointmentsunderscoreastrategicpivotascompaniesnavigateheighteneduncertaintiesbothdomesticallyandgloballywhileaddressingchallengesintheircoreoperations.Acorporateofficialexplained,“Economicconditionsdictatetheprominenceofdifferenttypesofleaders.Duringuncertaintimeslikethese,expertsinfinanceandauditing,whocanexercisetightercontrol,areinhighdemand.”Theofficialaddedthatholdingcompaniesarebolsteringtheirrolesas“controltowers,”activelysteeringsubsidiariestomitigaterisksandweathertheturbulence.GraphicsbyKimEui-gyunAtGSHoldings,HongSoon-kiwaselevatedfromCEOtoViceChairmanlatelastmonth,amovethecompanydescribedaspromotinga “trustedleader.”Asthegroup’ssolevicechairmanandaformerChiefFinancialOfficer(CFO),Honghasaproventrackrecord,havingoverseenkeymergersandacquisitions,includingthetakeoversofGSGlobalin2009andGSE&Rin2014,aswellasthespin-offofGSEnergyin2012.GSemphasizedthatthisleadershipshiftaimstofortifythegroup’sstabilityagainstexternalshocksamidanincreasinglyvolatilebusinessenvironment.Similarly,CJGroupreinstatedfinanceexpertHeoMin-heoiasco-CEOofCJCorporation,managingexternalaffairs.KnownforhisabilitytoturnaroundstrugglingaffiliateslikeCJFoodville,CJOShopping,andCJCGV,Heohasearnedthemoniker“fixer.”FollowingsixconsecutiveprofitablequartersatCJCGV,HeoisnowtaskedwithsteeringCJCorporationthroughitscurrentchallenges.Theemphasisonfinancialexpertiseextendedtoaffiliates.HDHyundaiOilbankappointedSongMyung-jun,vicepresidentandheadoffinancialsupport,asitsnewCEO.SongwillshareleadershipresponsibilitieswithJeongIm-joo,avicepresidentwithoperationalexpertise,underaco-CEOsystemaimedatrevivingthecompany’sperformance.SKGroupalsoprioritizedfinancialleadership,namingSonHyun-ho,PresidentoftheSKSUPEXCouncil,toleadSKDiscovery,acrucialintermediaryholdingcompany.HDCGroupfollowedsuitbyappointingJungKyung-koo,CEOofHDC,astheheadofitsflagshipconstructionaffiliate,HDCHyundaiDevelopmentCompany.Anothernotabletrendinthereshufflesisafocusonbolsteringauditfunctions.Samsungreinstatedits“ManagementDiagnosisOffice,”oftenlikenedtoaninternal“prosecutor’soffice,”andnamedChoiYoon-ho,aformerCEOofSamsung’sFutureStrategyOffice,asitshead.ThemovesignalsSamsung’scommitmenttorigorousinternalreviewsacrossitsoperations.SKGroupsimilarlystrengtheneditsauditingcapabilities,appointingShinChang-ho,aVicePresidentwithsignificantauditingexperience,asChiefOperatingOfficerofSKOn,anewlycreatedrole.Shin’sappointmentcomesinthewakeofliquiditychallengesatthecompanyandreflectsabroaderstrategyofdeployingleaderswithinternalauditexpertisetocriticalpositions.E-Martalsorevampeditsauditstructure,placingitsAuditTeamunderthedirectsupervisionoftheCEOaspartofabroaderorganizationaloverhaul.Accordingtoaholdingcompanyofficial,somefirmsareconductingintensiveauditsaheadofvoluntaryretirementprograms,usingtheresultstoengageemployeesindividually.Inthefaceofongoingeconomicchallenges,holdingcompaniesaretakingamorehands-onapproachtomanagingtheirsubsidiaries,streamliningportfolios,andimprovingoperationalefficiency.Severalholdingcompaniesaredirectlyappointingexecutivesfromtheirownrankstooverseeaffiliates.LGCorporationrecentlyestablishedaBusinessManagementDivision,appointingHongBeom-shik,theformerHeadofStrategicPlanning,asCEOofoneofitsaffiliates.HonghasbeentaskedwithdrivingLG’sgrowthinartificialintelligence(AI), akeystrategicfocusforthegroup.LotteCorporationpromotedNohJoon-hyung,HeadofESGManagementInnovationDivision,toExecutiveDirectorwhilemergingthedivisionwithBusinessSupport.Thereorganizationaimstoenhanceoperationalefficiencyandreinforceleadership."
2023-07-22,‘하도급법 위반’ HDC현산...법원 “공정위 과징금 처분 적법”,"HDC현대산업개발이 하청업체에 지연이자를 주지 않는 등 불공정 행위를 했다는 이유로 공정거래위원회로부터 과징금 처분을 받은 것은 적법하다는 법원 판단이 나왔다.서울 서초동 서울중앙지법 전경. /뉴스1서울고법 행정6-1부(재판장 황의동)는HDC현산이 공정위를 상대로 낸 시정명령 및 과징금 납부명령 취소 소송에서 원고 일부 승소 판결했다고 22일 밝혔다. 법원은 기간 계산 착오로 시정명령 범위에 들어간 일부 하도급 계약 부분에 대해서는 “부당하다”며 취소 결정을 내렸다.HDC현산은 2016년 1월~2019년 3월 190개 하도급업체와 거래하면서 하도급법을 위반한 혐의로 지난해 1월 공정위로부터 시정명령과 과징금 3000만원을 부과받았다. 공정위는HDC현산이 하도급업체에 건설·제조 등을 위탁하면서 계약 관련 서면을 최장 413일까지 지연 발급했다고 판단했다. 또 하도급 대금을 늦게 지급하면서 2500여만원의 지연이자를 전달하지 않거나, 어음 대체결제 수단으로 하도급 대금을 주면서 수수료를 주지 않은 사실도 확인했다.HDC현산은 발주자로부터 설계변경 등에 따른 계약금을 올려 받고도 이를 하도급업체에 알리지도 않은 것으로 조사됐다.HDC현산은 공정위가 현장 조사에 착수한 뒤 지연이자와 어음 대체결제 수수료를 모두 지급했다. 이어 공정위 처분에 불복해 지난 1월 소송을 냈다.재판부는HDC현산이 공정위 처분이 위법하다는 근거를 제시하지 못하는 점 등을 고려해 시정명령과 과징금 명령이 타당하다고 봤다. 재판부는 “하도급법 위반 행위 횟수와 기간이 결코 적거나 짧다고 할 수 없고HDC현산이 수급사업자들에게 책임을 전가하는 태도를 보이고 있다”며 공정위 손을 들어줬다."
2024-05-22,"HDC현산, 광운대역 물류부지로 본사 이전 추진","용산역에서…2028년 이전 목표HDC현대산업개발이 서울 노원구 광운대역 물류부지로 본사 이전을 추진한다. 서울시는HDC현산 본사 이전을 기반으로 동북권 일자리 창출을 견인하겠다는 계획이다.광운대역 개발 조감도 /서울시서울시는 노원구,HDC현산과 이 같은 내용을 담은 광운대역 물류부지 동북권 신 생활·지역 경제거점 조성을 위한 업무협약을 체결한다고 밝혔다. 협약식에는 오세훈 서울시장과 오승록 노원구청장, 최익훈HDC현산 대표이사가 참석한다.광운대역 물류부지(서울 노원구 85-7번지 일대)는 과거 서울 동북권과 경기 북부, 강원 일대의 화물을 담당하던 곳이었으나 시설 노후화와 분진·소음으로 인해 2009년부터 재개발을 추진해왔다.이번 협약에 따라HDC현산은 2028년까지 1800여 명이 근무하는 본사의 이전을 적극 추진하기로 했다. 용산역 민자역사에 있는 본사를 광운대역으로 옮기는 것이다.HDC현산은 광운대역 개발의 추진과 공공기여 계획을 이행하기로 했다.이와 함께 서울시는 적년 9월 광운대역 물류부지에 8개 동(棟) 지하 4층·지상 49층 규모, 3072가구가 거주할 수 있는 복합 시설을 짓는 계획도 확정했다. 공공 기숙사와 생활 시설도 들어선다.광운대역 물류부지 재개발 조감도 /서울시서울시는 “HDC현산 본사가 이전할 상업업무용지(1만9675㎡)와 공공용지(1만916㎡)도 건축심의와 설계 공모를 준비 중”이라고 했다.오세훈 시장은 “HDC현산 본사 이전 추진은 지난 50년간 도시 발전에서 소외됐던 강북권을 베드타운에서 벗어나 일자리 중심의 신(新) 경제도시로 재탄생시키겠다는 것”이라며 “강북의 잠재력을 이끌어 낼 신호탄이 될 것”이라고 했다."
2022-02-05,정몽규 광주사고후 주가방어… 지주사 HDC 105만주 사들여,"정몽규HDC그룹 회장이 자신의 투자회사를 통해 그룹 지주사인HDC주식을 대거 사들였다. 지난달 11일 광주광역시 ‘화정 아이파크’ 붕괴 사고 이후 급락한 주가를 끌어올리려는 조치로 보인다.HDC는 “엠엔큐투자파트너스가 지난달 27일부터 이달 3일까지HDC보통주 30만5146주를 장내 매수했다”고 4일 밝혔다. 엠엔큐투자파트너스는 정몽규 회장이 지분 100%를 보유한 투자회사다. 이번 거래로HDC최대 주주인 엠엔큐투자파트너스의 지분율은 39.82%에서 40.34%로 올라갔다.HDC는 “최대 주주가 회사의 신뢰 회복을 위해 계속 노력하겠다는 의지를 밝힌 것”이라고 설명했다.정 회장의 주식 매수 소식이 알려지면서 이날HDC관련 주가는 대폭 올랐다.HDC는 7.74% 오른 7660원,HDC현대산업개발은 6.85% 오른 1만5600원으로 마감했다.광주 아이파크 사고 이후 정 회장은 주가 방어를 위해 안간힘을 쓰고 있다. 엠엔큐투자파트너스가 지난달 17일부터 사들인HDC주식은 총 105만2781주에 달한다. 지주사인HDC도 광주 사고 이후HDC현대산업개발 주식 100만3407주를 매수했다."
2023-12-29,"HDC현대산업개발, 올해 ‘재무 건전성’ 강화.. “내년 복합개발사업 박차”","부동산 침체 등으로 건설업계가 어려움을 겪는 가운데,HDC현대산업개발은 재무 안정성을 다지며 올해를 잘 넘겼다는 평가를 받고 있다. 안전·품질·스마트·디자인 역량을 강화하며 아이파크 브랜드의 핵심 경쟁력을 끌어올리는 성과를 거뒀다. 내년에는 H1 프로젝트 착공과 더불어 용산 철도병원부지 개발, 성문안 프로젝트 등 복합개발사업을 적극 추진하며 한 단계 더 도약한다는 계획이다.29일HDC현대산업개발에 따르면 올해 3분기 재무제표 기준 순차입금은 약 1조원을 기록했다. 이는 지난해 말 1조4000억원 대비 4000억원이 감소한 수치다. 부채비율은 118%로 지난해 말 138%에서 20% 감소했다. 누적 매출액은 전년 대비 27% 증가한 3조131억원, 누적 영업이익은 207% 증가한 1141억원, 누적 당기순이익은 766% 상승한 1187억원을 기록했다.지난 10월, 김회언HDC현대산업개발 대표이사(왼쪽 두 번째)가 의왕초평지구지식산업센터 현장을 방문해 특별안전점검을 하고 있다.수주는 민간수주·도시정비·인프라 등 사업 전 분야에서 골고루 확보해 2조1253억원의 수주고를 달성했다. 이는 당초 신규 수주 목표로 설정한 2조816억원보다 초과한 수치다. 민간수주 분야에서는 강릉 견소동 아이파크(2588억원), 전북 익산 부송 4지구 아이파크(1496억원), 신길동 삼성아파트 재건축정비사업(1794억원) 등을 수주했다. 인프라 분야에서는 인덕원-동탄 복선전철 제12공구 노반 신설공사(3626억원), 광주도시철도 2호선 9·12공구(1626억원) 등을 수주했다. 이를 통해HDC현대산업개발의 수주잔고는 약 32조원 규모로 증가했다. 특히 주택사업 수주잔고 가운데 약 10조원은 서울 및 수도권 비중이 70% 이상을 차지하고 있다.안전·품질 관리에도 박차를 가했다.HDC현대산업개발은 안전 혁신 경영을 총괄하는CSO조직을 신설했다. ‘A1 프로젝트(화정 아이파크 리빌딩)’ 완수를 위해 7월부터 건물 해체공사를 시작하며 성공적인 철거를 위해 전사적 역량을 기울이고 있다.BIM(BuildingInformationModeling) 기술을 토대로 개발한HEB(HDCEstimatesystembyBIM) 시스템으로 설계도면 완성도를 높여 하자, 공기 지연 등을 줄이기 위해 노력하고 있다.또 현장에서도BIM데이터 기반의 프로세스 구축으로 시공 오차를 줄이고, 3D 스캐너 등 스마트 건설장비를 적극적으로 활용하고 있다. 향후 딥러닝 분석 기술을 통한 인공지능(AI)CCTV안전 관제, 건설 특화AI알고리즘 등을 추가 적용했다.이와 함께 품질 실명제(I-QMS)와 품질성능지수(I-QPI)를 운영해 시공 초기부터 하자 발생 가능성을 줄이고 있다. 국내 건설업계 최초로 시행한 품질 실명제는 공사 단계별 핵심 사항을 실시간으로 점검한 후 승인하고 기록 관리해 항목별 책임관리가 이뤄질 수 있도록 하는 품질 개선 활동이다. 350여 가지 평가 항목을 토대로 전 현장의 공정별 품질을 관리하고 있다.지난 6월 김회언HDC현대산업개발 대표이사가 협력사와의 공정거래 및 동반성장 공로를 인정받아 전문건설공제조합으로부터 상생경영 감사상을 받고 있다.HDC현대산업개발은HDC홈패드, 안면인식 스마트 원패스 시스템, 스마트LED감성 조명 시스템 등 변화하는 고객의 니즈에 맞춘 스마트 기술을 선보이고 있다. 국내 최초로 공기질센서 일체형 무선AP와 창문형 자동 폐쇄 장치를 활용한 엘리베이터홀 동파 방지 시스템을 개발했다.디자인 경쟁력 강화를 위해 올해 초 디자인실을 신설했다. 이를 토대로 수원 센트럴 아이파크자이의 ‘아이파크 워터 오브제’가 2023년 굿디자인어워드 공간·환경디자인 부문 우수디자인 상품 동상에 선정됐고, 광주 계림 아이파크SK뷰는 2023년 제13회 대한민국 조경대상에서 한국조경학회장상을 받았다.아이파크는 광명 센트럴 아이파크, 청주 가경 아이파크 6단지, 강릉 오션시티 아이파크 등에서 청약 흥행을 이어가고 있다. 올해 올림픽파크포레온을 시작으로 광명 센트럴 아이파크, 이문 아이파크자이, 청주 가경 아이파크 6단지 등 서울 및 전국 각지에 약 1만 2000여가구 공급과 더불어 약 1만 1000여 가구가 아이파크에 입주하며 브랜드 가치를 이어가고 있다.HDC현대산업개발은 내년에는 H1 프로젝트 착공, 용산 철도병원부지 개발, 성문안 프로젝트 등의 복합개발사업을 추진하는데 역량을 쏟을 예정이다. H1 프로젝트는 광운대역 일대 약 15만㎡의 철도시설 부지를 새로운 라이프스타일 플랫폼으로 개발하는 복합개발 프로젝트다. 공사비만 약 4조5000억원 규모에 달한다. 이를 통해 광운대역 일대는 업무, 상업, 프리미엄 호텔, 약 3000 가구의 주거공간이 어우러지는 미래형 복합타운으로 탈바꿈할 전망이다.HDC현대산업개발 관계자는 “내년 불확실한 경제 여건에서도 올 한해 다져온 재무 건전성을 바탕으로 안정적인 운영을 이어갈 것”이라며 “특히 H1 프로젝트를 통해 메디컬 서비스, 웰니스, 녹지 네트워크, 첨단 기술, 에너지 자립 시스템 등이 접목된 스마트 도시공간을 선보이겠다”고 말했다."
2023-12-29,[경제계 인사] HDC그룹 4개사 대표이사 선임 외,"HDC그룹 4개사 대표이사 선임HDC그룹은HDC현대산업개발 조태제 대표이사,HDC자산운용 전우진 대표이사, 서울춘천고속도로 김정섭 대표이사, 북항아이브리지 박경신 대표이사를 28일 신규 선임했다.▲HDC현대산업개발▷전무 이현우▷상무 김영한 민성우▷상무보 강경민 김진택 한상현 김동훈 이유로 김정우▲HDC▷상무보 이진욱▲HDC현대EP▷상무보 장원진▲HDC랩스▷상무보 양인배▲HDC아이파크몰▷이사대우 김윤호▲HDC리조트▷상무보 이석희▲통영에코파워▷상무보 김동영일동제약 사장 이재준일동제약그룹은 이재준 일동제약 부사장이 사장으로 승진했다고 28일 밝혔다.▲일동홀딩스▷부사장 강규성▷부사장 최규환▷상무이사 강정훈▲일동제약▷사장 이재준▷전무이사 이석준▷상무이사 이승현▷상무이사 배진구▷상무이사 정규호▲아이디언스▷사장 이원식▲일동바이오사이언스▷부사장 이장휘▲유니기획▷전무이사 이광현▲㈜신영▷재경부문 부사장 최광철▲산업은행◇부행장▷기업금융부문장 이봉희▷자본시장부문장 서동호▷리스크관리부문장 박찬호▲DB손해보험◇부사장▷자산운용부문 황성배◇담당▷재무기획본부 조석구▲DB생명◇상무▷자산운용본부 정영▲동원산업▷전무 김세훈▷상무 백관영▲동원글로벌터미널부산▷대표 김창훈▲동원F& B▷상무 윤영돈▷상무보 서기택 한상우▲동원홈푸드▷상무 박상천 강영국▷상무보 조정균▲BIDC▷대표 김태정▲동원건설산업▷상무보 강승덕▲KB금융지주◇부사장▷전략담당(CSO) 이승종▷디지털부문장(CDO)·IT부문장(CITO) 조영서▷준법감시인(CCO) 임대환▷보험사업담당 박효익▷감사담당 차대현◇상무▷재무기획부장 나상록▷HR담당 전효성▷이사회사무국장 서기원▲KB국민은행◇부행장▷글로벌사업그룹 강남채▷디지털사업그룹 곽산업▷경기지역그룹 김진삼▷기업고객그룹 박병곤▷기관영업그룹 서영익▷영업그룹 손석호▷테크그룹 오상원▷자본시장사업그룹 이성희▷경영기획그룹 이종민▷강남지역그룹 이택연▷부산·울산·경남지역그룹 이혁▷WM고객그룹 장연수▷DT추진본부장 정진호▷HR지원그룹 최석문◇상무▷브랜드홍보그룹 박진영▷고객컨택영업본부 박철호▷스타뱅킹영업본부 박형주▷연금사업본부 염용섭▷글로벌플랫폼본부 이영근▷법률지원부 이종훈▷모바일사업본부 이준호▲신한은행◇부행장▷고객솔루션그룹장 김광수▷여신그룹장 강명규▷브랜드홍보그룹장 김광재▷리스크관리그룹장 나훈"
