date,title,content
2024-08-14,청소용역 받은 척 26억원 횡령한 前 시중은행 직원 구속,"범행 가담한 청소용역업체는HDC그룹 계열사국민은행 로고. /조선일보DB청소 용역업체 인력을 받은 것처럼 허위로 꾸며 수십억원을 횡령한 전직KB국민은행 직원이 구속됐다.서울 동작경찰서는 지난 12일 전직KB국민은행 직원 A씨를 특정경제범죄가중처벌법등에관한법률상 횡령 혐의로 구속했다고 14일 밝혔다.경찰에 따르면 A씨는 지난 2020년 대기업 계열 청소용역업체로부터 인력을 받지 않았음에도 받은 것처럼 허위로 꾸미고 근무시간을 부풀려 서류를 조작하는 등의 방식으로 2021년까지 26억원 상당의 부당이득을 취한 혐의를 받는다. 청소용역업체는HDC그룹의 계열사HDC랩스인 것으로 파악됐다.KB국민은행은HDC랩스와 하도급 계약을 맺고 청소 용역 대금을 지급하고,HDC랩스는 페이퍼컴퍼니와 하도급 계약을 맺었다. 페이퍼컴퍼니 대표는 이 대금을 다시 A씨에게 넘겨주는 방식으로 범행이 이뤄졌다.A씨는KB국민은행 총무부에서 대리로 근무하며 은행과HDC랩스가 청소 하도급 계약을 맺고 있다는 것을 알고 이 점을 악용한 것으로 전해졌다.경찰은 명의를 빌려주는 등 A씨와 횡령을 공모한HDC랩스와 페이퍼컴퍼니 관계자 10여명을 검찰에 송치할 예정이라고 밝혔다."
2023-12-29,[경제계 인사] HDC그룹 4개사 대표이사 선임 외,"HDC그룹 4개사 대표이사 선임HDC그룹은HDC현대산업개발 조태제 대표이사,HDC자산운용 전우진 대표이사, 서울춘천고속도로 김정섭 대표이사, 북항아이브리지 박경신 대표이사를 28일 신규 선임했다.▲HDC현대산업개발▷전무 이현우▷상무 김영한 민성우▷상무보 강경민 김진택 한상현 김동훈 이유로 김정우▲HDC▷상무보 이진욱▲HDC현대EP▷상무보 장원진▲HDC랩스▷상무보 양인배▲HDC아이파크몰▷이사대우 김윤호▲HDC리조트▷상무보 이석희▲통영에코파워▷상무보 김동영일동제약 사장 이재준일동제약그룹은 이재준 일동제약 부사장이 사장으로 승진했다고 28일 밝혔다.▲일동홀딩스▷부사장 강규성▷부사장 최규환▷상무이사 강정훈▲일동제약▷사장 이재준▷전무이사 이석준▷상무이사 이승현▷상무이사 배진구▷상무이사 정규호▲아이디언스▷사장 이원식▲일동바이오사이언스▷부사장 이장휘▲유니기획▷전무이사 이광현▲㈜신영▷재경부문 부사장 최광철▲산업은행◇부행장▷기업금융부문장 이봉희▷자본시장부문장 서동호▷리스크관리부문장 박찬호▲DB손해보험◇부사장▷자산운용부문 황성배◇담당▷재무기획본부 조석구▲DB생명◇상무▷자산운용본부 정영▲동원산업▷전무 김세훈▷상무 백관영▲동원글로벌터미널부산▷대표 김창훈▲동원F& B▷상무 윤영돈▷상무보 서기택 한상우▲동원홈푸드▷상무 박상천 강영국▷상무보 조정균▲BIDC▷대표 김태정▲동원건설산업▷상무보 강승덕▲KB금융지주◇부사장▷전략담당(CSO) 이승종▷디지털부문장(CDO)·IT부문장(CITO) 조영서▷준법감시인(CCO) 임대환▷보험사업담당 박효익▷감사담당 차대현◇상무▷재무기획부장 나상록▷HR담당 전효성▷이사회사무국장 서기원▲KB국민은행◇부행장▷글로벌사업그룹 강남채▷디지털사업그룹 곽산업▷경기지역그룹 김진삼▷기업고객그룹 박병곤▷기관영업그룹 서영익▷영업그룹 손석호▷테크그룹 오상원▷자본시장사업그룹 이성희▷경영기획그룹 이종민▷강남지역그룹 이택연▷부산·울산·경남지역그룹 이혁▷WM고객그룹 장연수▷DT추진본부장 정진호▷HR지원그룹 최석문◇상무▷브랜드홍보그룹 박진영▷고객컨택영업본부 박철호▷스타뱅킹영업본부 박형주▷연금사업본부 염용섭▷글로벌플랫폼본부 이영근▷법률지원부 이종훈▷모바일사업본부 이준호▲신한은행◇부행장▷고객솔루션그룹장 김광수▷여신그룹장 강명규▷브랜드홍보그룹장 김광재▷리스크관리그룹장 나훈"
2023-01-18,[부동산 100자 정보] 사물인터넷 플랫폼 개발 업무협약 외,"사물인터넷 플랫폼 개발 업무협약HDC현대산업개발이 자사 아파트 브랜드인 ‘아이파크’ 입주민들의 생활 편의성 증진을 위해HDC랩스,LG전자와 사물인터넷(IoT) 플랫폼 서비스 개발 업무 협약을 체결했다고 17일 밝혔다. 이번 협약에 따라 앞으로 아이파크 입주민은 스마트폰 애플리케이션으로LG전자의 에어컨, 냉장고, 세탁기 등을 이용할 수 있게 된다. 향후 정수기와 제습기 등 중소형 가전까지 서비스를 확대할 예정이다.동부간선 지하화·GTXB 사업 수주 유력대우건설이 국내 대형 사회기반시설 프로젝트 2건에서 사실상 사업자로 선정됐다. 대우건설은 지난 12일 동부간선도로 지하화 사업 4공구(재정 구간) 설계적격심의에서 1위를 기록한 데 이어 수도권광역급행철도(GTX) B 노선 민간 투자 사업 구간에서도 우선협상대상자로 선정됐다고 17일 밝혔다. 동부간선도로 지하화 4공구는 3639억원,GTXB 노선 민간 사업비는 총 3조8421억원으로 추정된다.부산 괴정7구역 재개발 사업 수주SK에코플랜트가 부산 괴정7구역 재개발 사업을 수주했다고 17일 밝혔다. 부산 사하구 괴정동 545-1번지 일대에 지하 3층~지상 29층, 14개 동, 1819가구 규모 아파트와 부대 복리 시설을 조성하는 사업이다. 총도급액은 6084억원이다.SK건설과 현대건설이 컨소시엄으로 참여했으며,SK건설의 지분율은 60%다. 단지에서 부산 지하철 1호선 사하역과 괴정역을 걸어서 다닐 수 있고 김해공항이 가깝다."
2023-02-02,[부음] 고의민 前 세계태권도연맹 기술위원장 별세 외,"▲고의민前 세계태권도연맹 기술위원장 별세,김석순남편상,고영재독일 태권도 사범·고영규부친상=21일20시40분 신촌세브란스병원, 발인 4일9시, (02)2227-7556▲김항묵부산대 자연과학대 명예교수 별세,김태헌KT&G 팀장·김유지바이올리니스트·김도헌사업 부친상,민신영서울삼성내과 원장 장인상,김민경바이올리니스트 시부상=1일12시56분 삼성서울병원, 발인 4일14시. (02)3410-6901▲이규방前 국토연구원장 별세,백추혜남편상,이정현HDC랩스 과장·이재표신한은행 대리 부친상=1일6시50분 삼성서울병원, 발인 4일7시30분, (02)3410-6914▲이영규신흥 회장 별세,이용현신흥 부회장·이현옥·이용익신흥 대표·이현숙부친상,박길삼前 신성정밀 대표·정현홍익대 미대 교수 장인상,김선희·신기화시부상=1일0시20분 신촌세브란스병원, 발인 3일9시40분, (02)2227-7550▲한윤갑별세,한태영前 만도브로제 사장·한성희포스코건설 사장 부친상,박금숙·모미경시부상,한규빈미국 거주·한규진·한용하미국 거주·한규영·한정하조부상=31일23시 서울아산병원, 발인 3일6시, (02)3010-2000"
2024-12-02,"HDC랩스, AI 인재 영입 등 혁신 박차","HDC랩스 사옥 외경공간AIoT플랫폼 기업HDC랩스가AX(AITransformation)에 박차를 가하고 있다.HDC아이서비스와HDC아이콘트롤스가 합병하여 2021년 12월에 출범한HDC랩스는 기존 사업 분야에 머무르지 않고 혁신적인 변화를 추구하고 있다.지난 5월,HDC랩스는AI전문가인 총괄 리더를 외부에서 영입한 데 이어, 6월에는 내부에AI전담 조직을 신설하고 대규모AI인력 채용을 진행하여 내부 전문가를 확보하였다. 6개월간 운영된HDC랩스의 에이아이랩(AILab)은 영상처리(CV,ComputerVision), 자연어 처리(NLP,NaturalLanguageProcessing), 데이터 사이언스(DS,DataScience) 분야로 조직되어 있다.영상처리(CV,ComputerVision) 분야에서는 ‘시그라프 아시아(SIGGRAPHASIA) 2024’에 ‘OverallNet:Scale-ArbitraryLightweightSRModelforhandling360°PanoramicImages’논문을 제출하며 포스터 발표를 앞두고 있으며, 관련 특허도 완료했다. 이번 연구는 다양한 크기로 선명하게 확대할 수 있는 경량 360도 파노라마 이미지 기술로, 모바일,AR,MR등 다양한 분야에 활용 가능성이 주목받고 있다.또한,AI기반 건설 현장 안전 관제 시스템을 5개 현장에서 테스트 적용했으며, 지하 주차장 전기차 화재 감지 시스템을 통해 오검출을 크게 줄였다. 스마트홈 분야에서도AI에이전트를 탑재한 월패드를 서울원 아이파크에 처음 적용하며 시장 확대를 준비 중이다.자연어 처리(NLP,NaturalLanguageProcessing) 분야에서 자체 개발한 스마트 회의록 시스템이 10월부터 내부 테스트에 도입되었다. 이 시스템은 회의 요약 기능과 대화 중 필요한 정보를 간편하게 확인할 수 있는 기능을 제공하여, 회의록 작성의 효율성을 높이고 업무 생산성을 크게 향상시키는 데 기여하고 있다. 또한, 민감 정보 보호를 위한 보안 강화 측면에서도 우수하여 활발히 사용되고 있으며, 임직원들로부터 긍정적인 반응을 얻고 있다는 평가다.데이터 사이언스(DS,DataScience) 분야에서는, 부동산R114와 협력해 대규모 언어 모델 기반의 부동산AI시세 추정 시스템을 개발, 지난 22일 출시했다. 해당AI는 데이터 전처리 과정에서 결측치를 보완하는 혁신적 방법론을 도입해, 관련 논문이 ‘KDBC(KoreaDataBaseConference) 2024’에서 우수논문상을 수상하며 기술력을 인정받았다.또한,HDC현대산업개발과의 공동 연구를 통해 건설 데이터와IT기술을 융합, 디지털 전환(DX) 경쟁력을 강화를 목표로 다수의AI프로젝트를 추진하고 있다.이 외에도,HDC랩스 기술연구소에서는 굿디자인,IF디자인, 레드닷 어워드 수상으로 디자인과 성능의 우수성을 여러 해 인정받은IoT제품을 기획 및 개발하는IoT분야와 주거 공간을 통합 제어하는 인베이스 플랫폼과 상업 건물 통합 관리 인사이트 플랫폼을 자체 개발하고 운영하는 플랫폼 분야의 조직과 개발 역량도 보유하고 있다."
2022-01-13,광주 붕괴 쇼크…HDC그룹주 시총 5000억 날아갔다,"광주 서구 화정동 신축아파트 붕괴사고 사흘째인 13일 오후 119구조대 드론이 실종자 수색 비행을 하고 있다. 연합뉴스지난 11일 광주 아파트 붕괴 사고 여파로HDC그룹주식이 동반 신저가를 기록하는 등 하락세를 이어가고 있다.13일 유가증권시장에서HDC현대산업개발은 전거래일 대비 1.2% 내린 2만600원에 거래를 마치면서, 2020년 11월 이후 가장 낮은 종가를 하루 만에 다시 갈아치웠다. 장중 주가는 6.47% 빠진 1만9500원까지 내리기도 했다.지주사인HDC도 전날보다 4.3% 하락한 8790원에,HDC랩스는 1.41% 떨어진 1만500원으로 각각 거래를 마감했다.HDC그룹주의 약세는 광주 아파트 붕괴사고 이후부터 이어지고 있다. 12일HDC현대산업개발 종가는 전날(11일)보다 19.02% 급락한 2만850원을 기록했다.HDC와HDC랩스도 각각 12.89%, 7.39% 하락했다.주가가 큰 폭으로 내리면서 시가총액도 크게 쪼그라들었다. 이날 종가기준HDC현대산업개발의 시총은 1조3577억원으로 11일 1조6971억원보다 3400억가량 줄었다.HDC현대산업개발과HDC,HDC랩스 3사의 이날 시총 합계는 2조1344억원으로 사고 당일 2조6259억원에서 4915억원 증발했다.지난 11일 광주 서구 화정 아이파크 신축 공사장에서는 외벽이 무너지는 사고가 발생했다. 해당 아파트 단지는HDC그룹의HDC아이앤콘스가 시행을 담당하고HDC현대산업개발이 시공했다.HDC현대산업개발은 지난해 6월 재개발 철거 작업 중 건물 붕괴 참사가 발생했던 광주 학동4구역의 시공사이기도 하다.사고 직후 현장에 있던 하청업체 직원 6명이 실종됐으며 당국의 구조작업이 이어지고 있다. 이날 오전 11시 14분께 현장에서 남성으로 추정되는 1명이 발견됐다. 이 남성은 실종된 작업자 가운데 한 명일 것으로 추정된다.광주시는 전날HDC현대산업개발이 광주에서 진행 중인 모든 공사에 대한 시행 중지 명령을 내린 데 이어 13일에는 사고가 발생한 건물을 철거하고 재시공하는 방안을 검토 중이라고 밝힌 바 있다."
2022-05-25,"HDC현산, 최익훈 신임 대표이사 내정…광주 사고 수습 조직 신설","최익훈HDC현대산업개발 신임 대표 [HDC현대산업개발]HDC현대산업개발이 신임 대표이사에 최익훈HDC아이파크몰 대표를 내정했다고 25일 밝혔다.최익훈 대표는HDC랩스(구HDC아이콘트롤스)의 코스피 상장과 부동산114의 빅테이터 플랫폼 사업을 주도했다.HDC아이파크몰의 전면 재단장 등 복합상업시설의 개발·운영 경험도 갖췄다. 회사 측은 ""최 대표가 건설, 부동산 및 유통 분야의 종합적 경험을 바탕으로HDC현대산업개발의 기업가치를 높여갈 적임자로 기대한다""고 설명했다.현대산업개발은 3본부 2실로의 조직개편을 단행했다. 현장 경험이 풍부한 조태제 부사장이 건설본부를, 김회언 전무와 이현우 상무가 각각 경영기획본부장과 개발영업본부장을 맡는다. 아울러 상품개발실과 투자개발실을 신설해 미래상품과 신사업의 개발을 각각 전담토록 했다.광주 화정아이파크 붕괴 사고 수습과 신뢰회복을 위해 화정 아이파크 리빌딩 추진단을 신설했으며, 유병규 사장과 하원기 전무는 대표이사직을 내려놓고 추진단을 이끈다. 현산 관계자는 ""고객과의 약속을 이행하고 근본적인 쇄신으로 미래를 준비하기 위해 조직개편을 단행했다""며 ""안전과 품질관리를 업계 최고 수준으로 끌어올리겠다""고 말했다."
2022-06-16,"인천대 전기공학과 김준동 교수, 과기부장관상 수상","인천대학교는 57회 발명의 날 기념식에서 본교 전기공학과 김준동 교수가 과학기술정보통신부 장관상을 수상하였다고 밝혔다.김준동 교수는 세계적으로 드문 투명 태양광 발전 시스템 개발에 성공했으며, 이 기술은 진보의 상당성을 인정받아 출원 50여 일 만에 특허 등록됐다. 이후 유관 기술을 통해 40여 건의 특허를 출원·등록한 데 이어 250여 편의 학술지 논문을 발표하고 10여 건의 기술을 이전했다.고체 기반의 투명 태양전지를 근간 기술로 하여, 인공안구, 인공 광 시냅스, 뉴로모픽 센서, 바이오닉스, 해수 분해 수소 생산 및 광물 추출 기술 등 다양한 분야에서성 성과를 내고 있다.이를 통해 조선일보·중앙일보 등의 국내 언론과 야후파이낸스·마켓워치·테크타임스·일렉트로닉스위클리 등의 해외 언론에도 소개됐다.김 교수는HDC아이콘트롤스 (현HDC랩스), 한국지엠 등 유관 기업과 기술의 실용화에 노력하면서 살아 움직이는 특허 기술의 실용화를 추구하고 있다.발명가로서 또한 교수로서 학문 후속 세대에게 학문과 기술의 연계성 및 기술 사업화에 대한 교육을 접목하고 있으며, 지적재산권에 대한 가치의 중요성을 과학터치,YTN사이언스, 아리랑뉴스 등을 통해 전파하는 등 과학의 대중성에도 노력하고 있다."
2024-07-05,"알투이랩, 전열교환 환기시스템에 ‘차세대 항균필터’ 적용","알투이랩의SpikersSolution이 탑재된 차세대 항균필터(사진 제공 = 알투이랩)알투이랩이HDC랩스의 공간 위생 전문 브랜드 베스틴케어를 통해 아이파크 아파트의 전열교환 환기시스템에 차세대 항균필터를 적용했다고 5일 밝혔다.최근 학교를 중심으로 백일해 등 감염병이 확산되고 여름철을 맞이하여 에어컨, 공조기 등을 통한 레지오넬라균 등 세균과 곰팡이 번식의 우려가 커지고 있다. 이로 인해 공조기, 에어컨, 청정기 등 인간의 폐에 해당하는 필터의 중요성이 대두되고 있으며, 안전성을 갖춘 항균기능이 탑재된 필터에 대한 관심이 높아지는 중이다.이러한 시장의 요구에 맞추어 알투이랩이 전열교환 환기시스템에 차세대 항균필터를 적용했다. 이번에 적용된 차세대 항균 필터는 항균과 탈취, 미세먼지 제거 멀티 기능을 갖추고 있어, 공조기 내 필터에서 발생하는 곰팡이와 세균을 억제할 수 있는 것이 특징이다.차세대 항균필터에 적용된 물리적 항균 메커니즘은 잠자리, 매미 등의 날개 표면에 존재하는 작은 돌기 구조와 표면 결합 기술을 접목한 표면 항균코팅의 고도화 기술로 다양한 표면에 쉽고 안전하게 코팅을 시켜 세균과 곰팡이로부터 그 표면을 지속적으로 보호하는 차세대 급 항균코팅 기술이다.알투이랩 김창주 대표이사는 “해당 제품은 국내에서 유일하게 90일 반복 흡입 독성 시험을 완료하였다. 환경부에서 실시하는 위해성 평가를 완료한 항균필터로써 실내 공기질에 영향을 주는 다양한 미생물을 억제할 수 있다”고 설명했다.이어 “여름철 공조기, 에어컨에서 발생하는 곰팡이, 세균(레지오넬라 등) 이슈는 일반 주거시설 뿐 아니라 다중이용시설인 병원, 학교에서 면역이 떨어지는 사람에게 심각한 감염 문제를 야기시킬 수 있기 때문에 공조기, 에어컨, 청정기 내 설치된 필터를 꼼꼼하게 관리하고 자주 청결을 유지시켜 주는 것이 필요하다”고 덧붙였다."
2022-07-19,"HDC현대산업개발, 최익훈 · 김회언 각자 대표이사 선임","최익훈(왼쪽), 김회언HDC현대산업개발 신임 대표이사.HDC현대산업개발HDC현대산업개발이 19일 열린 임시주주총회에서 최익훈 부사장과 김회언 경영기획본부장을 각자 대표이사로 선임했다고 밝혔다.최익훈 대표이사는HDC현대산업개발,HDC랩스를 비롯한 그룹 내 주요 계열사에서 새로운 비즈니스 모델을 창출해 온 경험이 있다. 회사의 위기 대응능력을 재정립하고 실적개선 및 지속적인 성장동력을 마련하는 데 기여할 것으로 평가받는다. 김회언 대표이사는 재무·회계 분야의 전문가로HDC현대산업개발의 재정팀장을 거쳐HDC그룹 계열사인HDC신라면세점과HDC아이파크몰의 전문 경영인을 경험했다. 의사결정 과정에서 회계·재무 분야의 전문적 의견을 제시할 것으로 회사 측은 기대했다.이로써HDC현대산업개발은 최익훈(CEO), 김회언(CFO), 정익희(CSO) 대표이사 3인 각자 대표 체계를 이어가게 된다. 정익희 대표이사 겸 최고안전책임자(CSO)는 지난 3월 신규 선임됐다."
