date,title,content
2024-12-20,"권오갑 HD현대 회장, 외대에 2억 기부","권오갑<사진>HD현대 회장이 19일 “사회로부터 받은 혜택을 미래 세대에게 되돌려주는 것은 인생 선배로서의 당연한 책무”라면서 모교인 한국외대에 발전 기금으로 사재(私財) 2억원을 기부했다. 기부금 중 1억5000만원은 최신 교육 장비 도입과 노후 시설 개선 등에 활용되고, 5000만원은 생활 지원 장학금으로 쓰일 예정이다. 포르투갈어과 71학번인 권 회장은 지난 5월 한국외대에서 명예 경영학 박사 학위를 받았다."
2024-12-24,"올해 ‘최고 복덩이’는 HD현대일렉트릭, 4.5배 뛰었다","국내 증시 결산, 최고·최악 종목은연초 이후 코스피가 8% 이상, 코스닥은 20% 이상 하락했다. 하지만 시장이 아무리 안 좋아도 오를 주식은 오른다. 24일 한국거래소에 따르면, 올 들어 지난 20일까지 세 자릿수의 주가 상승률을 보인 종목은 53개였다. 올해 최고의 수익을 안겨준 종목, 그리고 최악의 손실을 안겨준 종목은 무엇일까?그래픽=이진영K푸드·K방산보다 K전력이 최고올해 국내 주식시장에서 돈을 번 세 가지 키워드는 K전력, K푸드, K방산이었다. 그런데 이 중에서도 K푸드와 K방산이 K전력을 이기지는 못했다.올해 코스피에서 최고의 수익을 낸 종목은 K푸드 불닭볶음면 신화의 주인공인 삼양식품도, K방산 열풍의 대장주인 한화에어로스페이스도 아닌HD현대의 전력회사인HD현대일렉트릭이었다. 올 들어 지난 20일까지HD현대일렉트릭의 주가 상승률은 345.26%에 달했다. 2위인 삼양식품은 246.30%, 9위인 한화에어로스페이스는 136.81%다.HD현대일렉트릭은 변압기 등 전력 인프라 관련 기기를 주로 만드는데, 인공지능(AI) 개발 열풍 등으로 전력난을 겪고 있는 북미·유럽 등 현지 시장에서 급성장을 이루며 올 3분기 역대 최대 실적을 경신했다. 같은 K전력 인프라 종목인 효성중공업도 6위로 152.93%,LS일렉트릭도 18위로 108.20% 증가율을 기록했다. 김태현IBK투자증권 연구원은 “HD현대일렉트릭의 경우 초고압 변압기 수요 확대 흐름이 여전한 가운데, 미국 시장 선점 효과와 고사양 변압기 수주 대응 능력이 커져 내년에도 실적 성장세가 지속될 것으로 기대된다”고 말했다.코스닥 시장 1위는PCB(인쇄회로기판) 핵심 설비 제조 업체 ‘태성’이었다. 올해 주가가 577.75% 급등했다.AI반도체 시장 성장과 함께 고성능 반도체에 대한 수요가 증가하면서 태성의 ‘유리기판’ 사업이 주목받았다. 미국 아마존에 납품하는 K화장품의 선두주자로 하유미팩(배우 하유미가 쓰는 마스크팩)으로 유명한 ‘제닉’(2위 ·490.28%)과 화장품 유통 플랫폼인 ‘실리콘투’(4위·311.80%), 이재명 더불어민주당 대표의 테마주인 오리엔트정공(3위·406.64%) 등보다 상승률이 높았다.그래픽=이진영지난해 스타, 올해는 추락한 이차전지반면, 올해 국내 주식 시장에서 돈을 잃은 3가지 키워드는 이차전지, 친환경, 부동산(리츠·REITs·부동산투자신탁)이었다.올해 들어 코스피 하락률 1위는 ‘스타에스엠리츠’로 78.55% 하락했다. 법무법인 태평양은 “올해는 고금리와 부동산에 대한 투자 심리 위축 등으로 상장 리츠들의 주가가 급락했다”며 “상장 리츠들의 자산 편입과 유상증자 이슈 등으로 주가가 하락하는 현상이 있었다”고 분석했다.리츠를 제외하고 하락률이 제일 컸던 건 이차전지주였다. 배터리 아저씨로 불리던 박순혁 작가가 홍보 이사로 재직했던 금양(-77.11%), 이차전지 소재 기업인 포스코DX(-73.71%), 이엔플러스(-71.61%),SK아이이테크놀로지(-71.17%)가 하락률 2~5위를 기록했다. 지난해 최고의 스타였던 ‘이차전지’주가 올해는 최악의 주가 된 것이다.장정훈 삼성증권 애널리스트는 “트럼프 2기 행정부에서 전기차 수요 둔화 가능성을 높이는 이벤트가 추가로 발생할 확률이 높은 만큼 이차전지는 보수적인 시각을 유지하는 것이 바람직하다”고 말했다.코스닥 시장에서 손실률 1위를 차지한 주식은 자동차 렌털 등의 사업을 하는CNH다. 올해 중순 경영권 매각 등의 이슈로 급등과 급락을 반복하다 현재는 거래 정지 상태로 상장 폐지 위험 종목이다. 경영권 분쟁 종목은 함부로 들어가면 안 된다는 것을 보여준다는 게 증권가의 얘기다. 한때 종가로 200만원까지 올랐던 영풍·MBK등과 경영권 분쟁 중인 고려아연 주가도 한 달 전 수준인 110만원대로 내려왔다.2위인 의류제조기업 엠에프엠코리아도 매각 이슈 등으로 혼란을 겪으며 93.90% 하락한 후 거래 정지 상태다. 청정 에너지 기업으로 각광받던 에스엘에너지도 91.32% 하락했다."
2024-12-04,"HD현대, 이웃사랑성금 20억원",HD현대는 연말을 맞아 취약 계층 지원을 위한 성금 20억원을 사회복지공동모금회에 기탁했다고 3일 밝혔다. 지난 2006년부터HD현대가 기탁한 연말 성금은 총 360억원에 달한다. 권오갑HD현대 회장은 “이 성금이 어려운 이웃들에게 보탬이 돼 모두가 따뜻한 연말을 보낼 수 있기를 바란다”고 했다.
2024-11-25,"HD현대 정기 임원인사, HD현대일렉 이창호 부사장 등 74명 승진","HD현대는 25일 2024년도 임원인사를 단행했다고 밝혔다. 지난 14일 발표한 사장단 인사에 이은 후속 임원인사로 모두 74명이 승진·발령됐다.이창호HD현대일렉트릭 전무 등 5명은 이날 인사에서 부사장으로, 윤훈희HD현대중공업 상무 등 24명은 전무로 각각 승진했다. 김동목HD현대사이트솔루션 수석 등 45명은 상무로 신규 선임됐다.HD현대는 “급변하는 경영환경 속에서 조직을 안정적으로 관리하면서 사업 경쟁력 강화와 신사업 발굴을 위해 유능한 인재들을 발탁, 중용하는 데 초점을 맞췄다”고 설명했다.HD현대는 임원인사에 이어 다음달 중순 모든 계열사 사장단이 참여하는 ‘2025년 경영계획 전략회의’를 개최할 예정이다. 내년도 사업계획과 구체적인 실행 로드맵을 확정, 그룹의 미래전략을 가속화해 나간다는 방침이다.■HD현대 임원인사 현황▶HD한국조선해양○ 부사장 : 류근찬○ 전무 : 이동원○ 상무 : 서일원, 서호균, 지춘호(전문위원), 김형택(전문위원), 남기일(전문위원), 박동범(전문위원)▶HD현대중공업○ 전무 : 윤훈희, 이재희, 홍석환, 우권식, 강민호, 김정배○ 상무 : 이상진, 옥정석, 이강국, 정동찬, 조양삼, 윤상식, 김오균, 김재락, 정대열, 함형원, 이태원, 송재훈, 이진, 김영호, 김건헌, 문중수(전문위원), 이경구(전문위원), 김인태(전문위원)▶HD현대미포○ 부사장 : 오세광○ 전무 : 이동진, 김창환○ 상무 : 손용석, 신동효, 안윤수▶HD현대삼호○ 전무 : 전경석, 이준혁○ 상무 : 최승재, 서정훈▶HD현대마린솔루션○ 부사장 : 윤병락○ 전무 : 박영언, 김정혁○ 상무 : 최봉준▶HD현대마린엔진○ 상무 : 우영제▶HD현대사이트솔루션○ 전무 : 오병수○ 상무 : 김동목, 박치형, 현정미▶HD현대건설기계○ 부사장 : 송희준○ 전무 : 최태근, 김기형▶HD현대인프라코어○ 전무 : 정욱, 이종윤○ 상무 : 전성호▶HD현대오일뱅크○ 전무 : 임평순, 정태오, 정춘섭○ 상무 : 이세연, 김한돈▶HD현대일렉트릭○ 부사장 : 이창호○ 전무 : 양재철, 안재한, 강봉주○ 상무 : 강진호, 김용한, 김홍태, 황종현, 김민수▶HD현대로보틱스○ 상무 : 박정훈▶HD현대에너지솔루션○ 상무 : 김기범▶HD현대○ 상무 : 정지원"
2024-11-24,HD현대아너상에 20년간 장애인 지원 ‘푸르메재단’,"푸르메재단 넥슨어린이재활병원에서 어린이가 재활 치료를 받고 있다. /HD현대HD현대1%나눔재단은 제2회HD현대아너상 대상에 20년간 장애인 재활·자립을 지원한 ‘푸르메재단’을 선정했다고 24일 밝혔다.HD현대아너상은 어려운 이웃을 위해 헌신하는 이들을 기리기 위해 지난해 처음 제정됐다. 대상 상금은 1억5000만원이다.대상을 받는 푸르메재단은 교통사고로 한쪽 다리를 잃은 황혜경씨가 내놓은 사고 보상금 10억원을 기반으로 2005년 출범했다. 2007년 장애인 치과 푸르메치과, 2016년 어린이 전문 넥슨어린이재활병원, 2020년 발달장애 청년 일터 푸르메소셜팜 등 다양한 장애인 지원 사업을 해왔다.최우수상 단체 부문은 미혼모 지원·상담 단체인 ‘한국미혼모지원네트워크’,개인 부문은 30년간 소외 계층을 위해 신발 수선과 이발 봉사를 해온 김병록씨가 받았다."
2024-12-31,﻿상속 없이 주식 부자 된 인물 2위는 방시혁…1위는?,"방시혁 하이브 이사회 의장(왼쪽), 박순재 알테오젠 대표. /뉴스1국내 주식부호 상위 50명 중 상속 대신 창업으로 부를 쌓은 인물이 10년 전에 비해 2배 이상 늘어난 것으로 나타났다.31일 기업분석연구소 리더스인덱스에 따르면 지난 27일 기준 국내 주식부호 현황을 10년 전(2014년 12월 20일)과 비교해 조사한 결과, 주식부호 상위 50명 중 ‘창업 부호’는 5명에서 12명으로 140% 증가했다.이번 조사는 10년 전 부호 순위와 비교한 것으로, 올해는 개인별 보유 주식을 연말 종가로 계산했다. 비상장사 보유지분은 순자산가치에 보유지분율로 평가해 반영했다.창업 부호 중에서는 박순재 알테오젠 대표(8위)가 50인에서 가장 높은 순위를 차지했다. 이어 방시혁 하이브 이사회 의장(10위), 박현주 미래에셋그룹 회장(11위), 김범수 카카오 경영쇄신위원장(12위), 장병규 크래프톤 이사회 의장(13위), 서정진 셀트리온 회장(18위), 이중근 부영그룹 회장(19위0, 이동채 에코프로그룹 전 회장(20위), 이해진 네이버 글로벌투자책임자(23위) 등이 뒤를 이었다.방준혁 넷마블 이사회 의장(24위), 박진영JYP엔터테인먼트 대표 프로듀서(40위), 김상헌DN그룹 회장(41위)도 새롭게 명단에 포함됐다.창업부호를 탄생시킨 업종은 10년 새 크게 달라졌다. 10년 전에는 고(故) 김정주 넥슨 창업주(11위), 김범수 당시 다음카카오 이사회 의장(12위), 이해진 네이버이사회 의장(22위) 등 정보기술(IT) 분야가 주를 이뤘으나 올해에는 엔터테인먼트, 바이오, 이차전지 등으로 다양해졌다.지난 10년간 창업부호 6명, 상속형 부호 12명 등 총 18명이 새롭게 주식부호 상위 50위 명단에 이름을 올렸다. 신규 진입한 주식부호 중 지분가치가 가장 높은 부호는 조정호 메리츠금융 회장(9조9213억원·2위)이다.전체 주식부호 1위는 10년간 삼성그룹 오너일가가 지키고 있다. 10년 전에는 이건희 선대 회장이 12조912억원으로 1위였으나 현재는 이재용 삼성전자 회장이 12조1671억원으로 그 자리를 대신하고 있다. 다만 이 회장의 삼성 계열사 보유 가치는 크게 떨어졌다. 연초 이 회장이 보유한 주식 지분은 14조3755억원이었지만, 1년 새 그 가치가 15.4%(2조2084억원) 하락한 것으로 집계됐다.이 회장 외에 다른 삼성가 3명도 상위권을 차지했다. 홍라희 전 삼성미술관 리움 관장(5조4824억원‧3위), 이부진 호텔신라 사장(4조9023억원‧4위), 이서현 삼성물산 전략기획담당 사장(4조2336억원‧6위)이다. 이들은 10년 전에는 주식부호 순위 10위권 밖에 있었으나 상속과 함께 보유 자산을 키운 것으로 분석됐다.여성 부호는 현재 기준 총 7명으로, 모두 상속으로 부를 일궜다. 홍라희 전 리움 관장, 이부진 사장, 이서현 사장, 최기원SK행복나눔재단 이사장(30위), 김영식 여사(故 구본무LG선대회장 부인‧36위), 이명희 신세계그룹 회장(49위) 등 6명은 10년 전에도 주식부호 50위 안에 들었다. 여기에 구연경LG복지재단 대표(45위)가 새로 포함되면서 1명이 더 늘어났다.주식부호 50인의 평균 나이는 10년 전 55.9세에서 올해는 61.3세로 5.4년 많아졌다. 정기선HD현대 수석부회장(39위)이 42세로 가장 나이가 적었으며 정몽구 현대자동차 명예회장(5위)이 86세로 최고령이었다.주식부호 상위 50명의 지분 가치는 84조1235억원에서 86조798억원으로 10년간 2.3% 증가하는 데 그쳤다. 이 기간 코스피‧코스닥 시장 가치가 1311조원에서 2319조원으로 76.9% 늘어난 것과는 크게 차이 난다. 리더스인덱스는 “지난 10년 동안 경영권 승계와 상속 과정에서 보유 지분이 분산된 데다, 새롭게 편입된 창업 부호들의 지분가치가 올해 들어 하락한 것이 주된 원인”이라고 분석했다."
2024-12-31,변압기 2代 52년 외길… “아프리카까지 수출 뚫었죠”,"[명문 장수 기업] [10·끝] 동미전기공업 한상욱 대표동미전기공업은 52년 동안 변압기를 전문적으로 생산, 미국·인도네시아·필리핀 등으로 수출을 확대해왔다. 지난달 경기도 화성시 본사 공장에서 만난 한상욱 대표가 고속철도 선로 전용 변압기 위에 앉아 있다. /조인원 기자AI(인공지능) 열풍이 거세지면서 전 세계적으로 전력 수요가 급격히 늘고 있다. 한국 전력기기 산업도 이 추세에 힘입어 차세대 성장 산업으로 각광받고 있다. 효성중공업,HD현대일렉트릭,LS일렉트릭 같은 대기업이 미국과 유럽 등지에 초고압 변압기를 공급해 굵직굵직한 수주 실적을 올리는가 하면, 국내 중소·중견 기업들도 탄탄한 기술력과 품질을 검증받은 중·고압 변압기를 생산·납품함으로써 해외 수출 시장을 확대하고 있다.동미전기공업은 지난 52년 동안 변압기를 전문적으로 생산, 해외 수출 시장을 확대해온 작지만 강한 기업이다. 주상 변압기와 지상 설치형 변압기를 비롯한 76만V 이하의 중·고압 변압기를 주로 만들어왔다. 미국과 필리핀을 시작으로, 인도네시아·몽골·사우디·과테말라 등에 변압기 납품 수주 계약을 따내며 수출액을 키워왔다. 2019년엔 102억원 정도였던 매출은 매년 두 자릿수 성장을 거듭해 올해는 800억원을 돌파할 것으로 보인다. 지난 5년 동안 매출이 8배가량 늘어났다. 수출 비율도 80%가 넘는다.그래픽=김하경동미전기공업은 1972년 경기도 화성에서 형제인 고(故) 한두성, 한두석 전 공동대표가 함께 창업했다. 평안남도 출신인 이들은 6·25전쟁이 터지자 남한으로 피란을 왔고, 1960년대부터 모터 수리 일을 해왔다. 1970년대 초 한국 경제가 급성장하고 전력 수요가 폭발적으로 늘자 두 창업자는 ‘동미기업주식회사’란 이름으로 회사를 열고 변압기를 비롯한 전력기기 수리·제조일에 본격적으로 뛰어들었다. 1976년 한국산업표준(KS) 인증을 받았고, 한국전력에 변압기를 납품하기 시작, 핵심 협력사로 자리 잡았다. 이후 코레일의KTX경부선 구간과 포스코,SK하이닉스 등에도 변압기를 납품하며 몸집을 키워나갔다.수출을 본격적으로 시작한 것은 2000년대 중반부터다. 창업자 한두석 전 대표의 아들 한상욱(50)씨는 회사 해외영업팀장으로 일할 때부터 수출 확대를 위해 뛰어왔다. 2008년 글로벌 금융 위기를 겪으며 해외 시장을 뚫어야만 회사가 안정적으로 성장할 수 있다고 생각한 그가 필리핀과 미국령 괌, 해외 주둔 미군 기지, 인도네시아, 몽골, 사우디, 과테말라, 케냐 등지까지 직접 다니며 변압기 수출 계약을 따냈다는 것이다. 한 대표는 “당시 국내 중소기업들엔 생소한 아프리카 모잠비크까지 날아가 그 나라 전력청 관계자부터 현지 업체 대표들을 만나고 영업해 수출 계약서에 도장을 찍게 만들었다”고 했다. 그는 2015년 대표로 취임했다.코로나 팬데믹으로 전 세계적인 공급망 위기가 닥쳤을 때도 동미전기공업은 성장을 거듭했다. 물류 차질로 해외에서 들여오던 핵심 부품을 제때 공급받지 못해 납기일을 맞추기 어렵게 되자, 한 대표는 직원들을 독일 등으로 직접 파견해 배 대신 비행기로 변압기를 옮겨 실어가며 납기를 맞췄다. 이는 해외 거래처들로부터 큰 신뢰를 얻은 계기가 됐다. 한 대표는 “외국 변압기 시장에선 한번 신뢰를 얻으면 거래처들이 장기 계약을 맺고 일거리를 계속 주는 경우가 적지 않다”고 했다.최근 1~2년 동안엔 미국 4주(州) 전력청과도 변압기 공급 계약을 맺었다. 미국의 전력기기가 노후화해 교체 수요 시기가 도래했고, 이에 위스콘신을 비롯한 주에서 새 변압기 공급 업체를 찾았는데 동미전기공업이 낙찰된 것이다. 최근엔 유럽 시장에도 수출을 모색하고 있다.동미전기공업은 매년 매출액의 최소 5%를 R&D에 투자하고 있다. 수년 내 미국 전력기기 규격이 이전보다 까다로워지는 데다 유럽 시장에서의 고효율·친환경 변압기 수요가 늘어날 것에 선제적으로 대응하겠다는 구상이다. 한 대표는 “앞으로 3년 안에 수출 1억달러(약 1460억원)를 넘어서겠다”고 했다."
2024-11-15,"‘정몽준 장남’ HD현대 정기선, 1년만에 수석부회장으로 승진","정기선(42)HD현대 부회장이 수석부회장으로 14일 승진했다.HD현대 최대 주주인 정몽준 아산재단 이사장의 장남으로, 작년 11월 부회장 승진 후 1년 만이다. 조선업 호황과 맞물려 재계 순위를 8위로 한 단계 끌어올리고, 신사업도 성공적으로 이끌었다는 평가다.HD현대는 조선 부문HD한국조선해양, 정유 부문HD현대오일뱅크, 건설기계 부문HD현대사이트솔루션 등을 계열사로 보유한 지주회사다. 전문 경영인인HD현대 권오갑 대표이사 회장과 정 수석부회장이 경영 전반을 함께 이끄는 체제를 유지한다.이날 발표된HD현대 사장단 인사에서 조석(67)HD현대일렉트릭 사장은 부회장으로 승진했다. 내년 3월 주총까지 대표이사를 맡고 이후 부회장으로 경영 전반을 챙길 것으로 알려졌다. 조 부회장은 산업부 차관 출신으로 2020년 그룹 최초 외부 출신 대표이사로 영입됐다. 이후 3연임하며 호황을 맞은 전력기기 사업에서 매출, 영업 이익 모두 역대 최대 실적을 이끌었다.주요 계열사 인사로는HD현대삼호 대표이사에 김재을(59)HD현대중공업 부사장,HD현대일렉트릭 대표이사에 이 회사 김영기(58) 부사장,HD현대오일뱅크 대표이사에 송명준(55)HD현대 재무지원실 부사장, 총 3명이 각각 사장으로 승진해 내정됐다.HD현대오일뱅크는 정임주 부사장이 공동 대표를 맡는다.HD현대 관계자는 “정 수석부회장이 그룹 주요 핵심 과제를 직접 챙기고, 그룹 성장 동력 발굴에 더욱 주력할 것”이라고 했다."
2024-11-14,"HD현대 정기선 부회장, 수석부회장으로 승진…계열사 3사 대표 신규 선임","HD현대 정기선 부회장이 ‘수석부회장’으로 승진한다.HD현대는 14일 이 같은 내용의 그룹 사장단 인사를 발표했다. 주요 계열사 3사의 대표이사도 새로 선임했다.정 수석부회장은 고(故) 정주영 현대그룹 명예회장의 손자이자 정몽준 아산재단 이사장의 장남으로, 권오갑HD현대 회장과 함께 그룹 경영을 이끌고 있다. 작년 11월 사장에서 부회장으로 승진했고, 1년 만에 수석부회장으로 승진했다.정기선HD현대 수석부회장./뉴스1HD현대의 전력기기 계열사HD현대일렉트릭의 조석 사장은 부회장으로 승진한다. 주요 계열사 중에서는HD현대일렉트릭,HD현대오일뱅크,HD현대삼호 대표이사를 새로 선임했다.HD현대삼호 대표이사에는 김재을HD현대중공업 조선사업대표 부사장이 사장으로 승진 내정됐고,HD현대오일뱅크 대표이사에는 송명준HD현대 재무지원실 부사장이 사장으로 승진 내정됐다.HD현대오일뱅크는 현재 안전생산본부장을 맡고 있는 정임주 부사장이 송명준 사장과 함께 공동대표이사를 맡는다.HD현대일렉트릭 대표이사에는 김영기 부사장이 사장으로 승진 내정됐다.HD현대 관계자는 “미국 대선 이후의 경영환경 변화, 우크라이나 전쟁을 비롯한 국제정세의 변화, 유가 및 환율 변동 등 급변하는 경영환경에 적극 대응해 나가기 위해 사장단 인사를 단행했다”고 밝혔다.이날 발표된 대표이사 내정자들은 향후 주주총회와 이사회를 거쳐 정식 대표이사로 선임된다. 사장단 인사에 이어 조만간 후속 임원인사도 발표될 예정이다."
2024-10-31,"HD현대오일뱅크, 日 코스모오일 합작사 'HD현대코스모' 100% 자회사로 인수","HD현대오일뱅크가 일본 정유업체 코스모오일과 합작해 만든 자회사HD현대코스모를100% 자회사로 인수·합병한다.HD현대오일뱅크는 31일 코스모오일과HD현대코스모 지분 인수 계약을 체결했다고 밝혔다.31일 소공동 롯데호텔에서 진행된 ‘HD현대코스모 지분 인수 계약’ 체결식에서 주영민(왼쪽)HD현대오일뱅크 대표와 스즈키 코스모오일 대표이사가 기념 촬영을 하고 있다. /HD현대오일뱅크HD현대코스모는HD현대오일뱅크와 코스모오일이 50%씩 출자해 2009년 설립된 합작회사다. 석유화학 제품의 원료인 파라자일렌(PX)을 주로 생산해 왔지만, 최근 중국 업체들과의 경쟁이 치열해져 수익성이 악화했다.HD현대오일뱅크는 이번 지분 인수로HD현대코스모의 생산 제품 제약이 사라지기 때문에, 시장 상황에 맞춰 수익성이 높은 제품들을 우선적으로 생산하겠다는 계획이다.HD현대오일뱅크와 코스모오일은 이날 미래 신사업을 위해 협력하는 업무협약도 체결했다. 지속가능항공유(SAF), 순환 납사, 열분해유 등 미래 에너지 사업과 윤활유, 탄소 포집·저장·활용(CCUS) 등의 분야에서 협력한다는 내용이다.앞서HD현대오일뱅크는 내달 1일HD현대코스모 지분을 취득, 최종적으로 지분 100%를 취득하겠다고 공시했다. 합병 기일은 오는 12월 30일이다."
