date,title,content
2024-12-19,울산 조선소서 30대 근로자 추락…병원 치료중 숨져,"HD현대미포 조선소 야드 전경. /뉴스1울산 동구HD현대미포조선에서 30대 근로자가 추락해 숨지는 사고가 발생했다.19일HD현대미포와 울산경찰청에 따르면 지난 18일 오후 4시 50분쯤 울산 동구HD현대미포 내 독(dock·선박 건조장)에서 이 회사 소속 A(39)씨가 약 12ｍ 아래로 추락했다.A씨는 병원으로 이송돼 응급 수술을 받았으나 19일 오전 3시 30분쯤 숨졌다.사고 당시 A씨는 독 위에서 작업할 물품을 밧줄에 매달아 바닥으로 내리고 있던 것으로 전해졌다. 사측은 A씨가 안전모와 안전벨트는 착용하고 있었으나, 난간에 안전고리를 체결하지 않아 추락한 것으로 추정하고 있다.경찰은 회사 관계자 등을 상대로 정확한 사고 경위 등을 조사 중이다.이번 사고는HD현대미포에서 지난 2016년 11월 이후 8년 만에 발생한 중대재해사고다.HD현대미포 측은 이날 “사고로 유명을 달리한 재해자의 명복을 빌며 유가족께도 진심어린 애도와 위로의 뜻을 전한다”며 “사고 수습과 지원에 최선을 다하겠다”고 밝혔다.이어 “경찰 등 유관기관 조사에 적극 협조해 사고원인을 밝히고, 유사 사고가 재발하지 않도록 대책을 마련하겠다”고 했다."
2024-02-08,"HD현대, 중대재해 유가족 위한 장학재단 설립","조선소 작업 중 사망 유가족 위로… 권오갑 회장, 사재 1억원 출연권오갑HD현대 회장HD현대가 조선소 작업 중 사망한 중대재해 사고 유가족을 돕기 위한 장학재단을 세운다.HD현대는 7일 “선박 건조 현장에서 불의의 사고로 사망한 근로자의 유가족을 위로하고, 기업의 사회적 책무를 다하기 위해 ‘HD현대희망재단(가칭)’을 설립한다”고 밝혔다.재단은 5명 안팎의 이사로 구성하되, 공정하고 투명한 운영을 위해 이사장을 포함한 이사진 대부분을 외부 인사로 구성할 예정이다. 산업계 및 사회 복지 분야 등에서 명망과 능력을 갖춘 인사를 이사진으로 초빙해, 재단 운영을 일임한다는 방침이다.HD현대의 조선 계열사인HD현대중공업, 현대미포조선, 현대삼호중공업이 기금을 낼 계획이다.재단은 우선 중대재해 사고 중 사망 직원의 유가족 대학생 자녀의 학자금을 지원하고, 유가족 중 생활이 어려운 저소득층의 생활 안정 지원으로 사업을 확대할 계획이다. 1973년 현대조선중공업(현HD현대중공업) 설립 후 발생한 조선소 사고 중 현재 중대재해 사망 기준에 해당하는 모든 경우를 대상으로 한다.재단 설립은 권오갑HD현대 회장의 제안으로 이뤄졌다. 권 회장은 “불의의 사고로 부모를 떠나보내거나 자식을 잃은 유가족의 마음을 생각하면 가슴이 먹먹해진다”며 “늦었지만, 이분들의 아픔과 슬픔을 조금이나마 위로하는 것이 도리이며, 조선 사업을 영위하는HD현대가 앞장서야 한다”고 했다. 권 회장은 재단 설립을 위해 사재 1억원을 출연하기로 했다.HD현대 관계자는 “중대재해 사고 예방 대책도 철두철미하게 운영하되, 다양한 방면에서 실질적으로 직원들을 지원할 수 있는 방안을 검토했다”고 했다."
2024-01-18,"HD현대 정기선, CES 이어 다보스포럼서 탈탄소 논의","정기선HD현대 부회장이 스위스 다보스에서 열린 ‘2024 세계경제포럼(다보스포럼)’에 참석해 공급·에너지 분야 탈탄소 협력 방안을 논의했다. 정 부회장은 앞서 미국 라스베이거스에서 열린CES2024 기조연설에서도 ‘탈탄소’를 강조한 데 이어, 그룹 핵심 사업인 조선·건설기계·에너지 등 분야에서 탈탄소 협력을 확대하고 있다.18일HD현대에 따르면 정 부회장은 17일(현지 시각) 스위스 다보스 포럼에서 공급 및 운송 산업 협의체와 에너지 산업 협의체에 참석해 탈탄소 추진 및 협력방안에 대해 논의했다. 정 부회장의 다보스 포럼 참석은 지난해에 이어 두 번째다.세계 최대 가전·IT(정보기술) 전시회'CES2024' 개막 이틀째인 지난 10일(현지시각) 미국 네바다주 라스베이거스 베네시안 호텔에서 정기선HD현대 부회장이 기조연설을 하고 있다./뉴스1공급 및 운송 산업 협의체는 글로벌 해운사인A.P.몰러 머스크,PSA인터내셔널, 볼보,DHL등 20여개 글로벌 선도 기업의 최고경영자(CEO)로 구성된 모임이다. 정 부회장은 이번 협의체에서 공급 및 운송 산업의 탈탄소 촉진 및 협력 방안에 대해 논의했다. 머스크의 로버트 머스크 우글라 의장도 만나 친환경 선박 분야 파트너십도 재차 논의했다.HD현대의 조선 계열사 현대미포조선은 지난해 세계 최초로 머스크사가 발주한 친환경 메탄올 추진 컨테이너 운반선을 인도한 바 있다.에너지 산업 협의체에서는 탈탄소를 위한 상호협력 방안과 제28차 유엔기후변화협약 당사국총회(COP28)에서 합의된 온실가스 감축안의 실질적인 이행방안에 대해 논의했다. 협의체에는 쉘, 토탈에너지스, 페트로나스, 트라피구라 등 30여 개 글로벌 에너지 기업이 참석했다. 앞서 정 부회장은CES2024 기조연설에서도 “해상에서 육상까지 전 지구를 아우르는 수소 에너지 생태계를 구축하겠다”며 “미래를 위한 탈탄소 글로벌 에너지 가치사슬을 마련하겠다”며 탈탄소를 강조한 바 있다.정 부회장은 미국의 빅데이터 기업 팔란티어 테크놀로지스의CEO알렉스 카프와도 만남을 가지며 의견을 교환했다.HD현대는 팔란티어와 함께 인공지능(AI) 기반의 스마트 조선소를 구축하고 있다. 정 부회장은 다보스 포럼 이후 스위스 취리히에 있는HD현대일렉트릭 연구소를 찾아 근무하는 주재원과 현지 직원도 격려했다."
2024-01-11,‘수주 행진’ HD한국조선해양 연초부터 25척 2.8조원 따내,"HD현대의 조선 부문 중간 지주사인HD한국조선해양은 올 들어 이달 9일까지 선박 25척, 2조8221억원을 수주했다고 10일 밝혔다. 올해 수주 목표 135억달러(약 17조8200억원)의 약 16%를 달성한 것이다.HD한국조선해양은 새해 들어 9일 만에 유럽·오세아니아·아시아·중동 지역 선사에서 초대형 암모니아 운반선 2척, 중형 석유화학 제품 운반선 15척, 초대형 액화석유가스(LPG) 운반선 6척, 액화천연가스(LNG) 운반선 2척 등 총 25척을 수주했다. 대부분 선박 건조 가격이 높은 고부가 가치 선박이다. 이번에 수주한 선박은 울산HD현대중공업·현대미포조선·현대삼호중공업에서 나눠 건조돼 2026~2027년 차례로 선주사에 인도된다.HD한국조선해양 관계자는 “연초부터 다양한 선종에서 선박 발주 문의가 지속되는 상황”이라며 “안정적인 수주 잔액을 유지하고, 고부가 가치 선박 위주 선별 수주를 통해 수익성을 강화해 나갈 것”이라고 했다."
2023-10-17,HD현대로 옮긴 조선 인력 2년 반 동안 400명 넘어,"HD현대그룹으로 이직한 경쟁 조선사 인력이 2년 반 동안 400명이 넘는 것으로 나타났다.16일 국회 정무위원회 강민국 의원실이 공정거래위원회에서 받은 자료에 따르면, 2021년부터 지난 5월까지HD현대 소속 조선 3사(HD현대중공업·현대미포조선·현대삼호중공업)로 유입된 경력직 인력은 415명이었다. 삼성중공업 출신이 180명으로 가장 많았고, 한화오션 179명, 케이조선 33명, 대한조선 23명 순이었다. 조선업은 산업 특성상 신규 직원이 실무 역량을 제대로 습득하기까지 약 5년에서 10년 정도의 시간이 소요된다. 최근HD현대로 이직한 인원의 대다수는 경력 10년 안팎의 실무자인 것으로 알려졌다.고질적인 인력난을 겪는 국내 조선업계는 작년부터 본격화한 호황으로 구인난이 심해지자 인력 확보를 둘러싸고 업체 간 갈등도 커졌다. 작년 삼성중공업, 한화오션은 중소 조선사와 함께 공정위에HD현대를 ‘핵심 인력 부당 유인 행위’로 신고했다.HD현대 측이 다수의 기술 관련 핵심 인력에게 접촉해 통상적인 보수 이상의 과다한 이익과 채용 절차상 특혜를 제공했고, 이는 공정거래법상 사업 활동 방해 행위에 해당할 수 있다는 주장이었다.HD현대중공업 관계자는 “정상적인 공개 채용이었고, 공정위에 신고한 회사 대부분이 신고를 철회한 것으로 알고 있다”고 설명했다. 최근엔 한화오션이 처우 개선을 바탕으로HD현대로 이탈한 전직 직원과 경쟁사 직원들을 상대로 적극적인 채용에 나서고 있다."
2023-10-16,조선업 채용 경쟁 과열…HD현대 2년 새 경력직 400여명 스카웃,"호황기를 맞아 국내 주요 조선사들이 인력난에 시달리고 있는 가운데,HD현대 조선 3사로 이직한 경쟁사 인력이 2년 반 동안 400명이 넘는 것으로 나타났다. 업계 안팎에선 외부 인재 수혈 없이 경쟁 기업끼리 인력 쟁탈전만 치열해지고 있다는 우려가 나온다.현대삼호중공업 전경/뉴스116일 국회 정무위원회 강민국 의원실이 공정거래위원회에서 받은 자료에 따르면, 2021년부터 지난 5월까지HD현대 소속 조선3사(HD현대중공업·현대미포조선·현대삼호중공업)로 유입된 경력직 인력은 모두 415명으로 집계됐다. 회사별로는 삼성중공업 출신이 180명으로 가장 많았고, 한화오션 179명, 케이조선 33명, 대한조선 23명 등 순이었다.작년부터 본격 호황에 접어든 국내 조선업계는 인력 부족으로 갈등을 빚고 있다. 작년 삼성중공업, 한화오션(당시 대우조선해양)은 중소 조선사와 함께 공정위에HD현대를 ‘핵심인력 부당 유인 행위’로 신고했다. 당시 이들은 신고서에서HD현대 측이 다수의 기술 관련 핵심 인력에 접촉해 통상적인 보수 이상의 과다한 이익과 채용 절차상 특혜를 제공했다며 공정거래법상 사업활동 방해 행위에 해당할 수 있다고 주장했다. 공정위는 작년 11월 현장 조사에 착수했지만, 아직 결과는 나오지 않았다.HD현대중공업 관계자는 “어려운 경영환경 속에서도 꾸준히 공개채용을 진행해 왔으며, 경력직 채용 역시 통상적인 공개 채용절차에 따라 모든 지원자가 동등한 조건에서 이뤄졌다”며 “부당 인력 유인은 전혀 사실이 아니고, 공정위에 신고서를 제출한 회사들 중 대부분이 신고를 철회한 것으로 알고 있다”고 설명했다.이런 상황에서 올해 한화그룹 편입 후 경영 정상화에 나선 한화오션이 처우 개선을 바탕으로 공격적으로 인재 채용에 나서면서 경쟁은 더 심해졌다. 이에 인력난 문제와 채용 경쟁 관련해서 한화오션 권혁웅 대표가 이번 국정감사에 증인으로 채택되기도 했다.더 나은 처우를 내세운 스카웃 경쟁은 당연한 일이지만, 조선업 내부에서만 인력이 돌고 돌면서 중소 조선사를 비롯한 생태계 약화가 우려된다는 지적도 나온다. 작년부터 중소 조선사는 인력 부족으로 블록(선박 조립용 부품) 일감을 일부 반납하기도 했다."
2023-04-30,"HD현대, 메탄올로 가는 컨테이너선 세계 최초로 진수","세계 1위 해운사 ‘머스크(Maersk)’는 지난 26일(현지 시각) 홈페이지를 통해 “세계 최초 친환경 메탄올 추진선을 올해 6월 한국 조선사에서 인도받아 오는 9월 코펜하겐 본사에서 명명식을 진행할 예정”이라고 밝혔다.머스크는 “시민들이 부두에서 새 선박을 살펴보고 해운 산업의 탈탄소화 노력에 대해 자세히 접할 수 있도록 개방할 예정”이라며 “직원, 파트너 투자자 뿐 아니라 학생과 시민을 위한 공개 행사를 주최한다”고 설명했다.머스크가 공개 예고한 선박은HD현대 조선 부문 계열사인 현대미포조선이 건조한 2100TEU급 컨테이너선박으로, 지난 4월 4일 울산 현대미포조선에서 진수식이 진행됐다.머스크가 메탄올 추진 초대형 컨테이너선을 대규모로 발주하기 직전, 파일럿 프로젝트 형태로 세계 최초로HD현대 중공업 부문에 발주한 선박이다. 2021년 7월 건조를 시작해 오는 9월쯤 인도될 예정이다.머스크는 이 선박 발주 이외에도 친환경 메탄올 선박 18척을 모두HD현대 중공업 계열사에 발주했다. 머스크는 2030년까지 해상 운송 화물의 25%를 친환경 연료선으로 대체한다는 계획인데, 메탄올 연료 추진 친환경 선박에 강점을 지니는 국내 조선사와 뜻이 맞았다.메탄올은 암모니아, 수소 등과 함께LNG(액화천연가스) 이후의 친환경 선박연료 중 하나로 꼽힌다. 기존 대비 황산화물을 99%, 질소산화물을 80%, 온실가스를 25% 줄일 수 있는 것으로 알려졌다.탄소 배출을 줄일 수 있는 대체연료 중 조선 분야에서 가장 주목받는 메탄올을 두고, 국내와 중국 조선사들 메탄올 추진선 수주 경쟁을 벌이고 있는 가운데HD현대의 조선부문 한국조선해양이 가장 앞서 있는 상황이다. 글로벌 조선해운시황 분석기관 클락슨리서치에 따르면 지난 2월까지 총 99척 메탄올 추진선이 발주됐는데, 절반 이상인 54척을HD한국조선해양이 수주했다."
2024-11-25,"HD현대 정기 임원인사, HD현대일렉 이창호 부사장 등 74명 승진","HD현대는 25일 2024년도 임원인사를 단행했다고 밝혔다. 지난 14일 발표한 사장단 인사에 이은 후속 임원인사로 모두 74명이 승진·발령됐다.이창호HD현대일렉트릭 전무 등 5명은 이날 인사에서 부사장으로, 윤훈희HD현대중공업 상무 등 24명은 전무로 각각 승진했다. 김동목HD현대사이트솔루션 수석 등 45명은 상무로 신규 선임됐다.HD현대는 “급변하는 경영환경 속에서 조직을 안정적으로 관리하면서 사업 경쟁력 강화와 신사업 발굴을 위해 유능한 인재들을 발탁, 중용하는 데 초점을 맞췄다”고 설명했다.HD현대는 임원인사에 이어 다음달 중순 모든 계열사 사장단이 참여하는 ‘2025년 경영계획 전략회의’를 개최할 예정이다. 내년도 사업계획과 구체적인 실행 로드맵을 확정, 그룹의 미래전략을 가속화해 나간다는 방침이다.■HD현대 임원인사 현황▶HD한국조선해양○ 부사장 : 류근찬○ 전무 : 이동원○ 상무 : 서일원, 서호균, 지춘호(전문위원), 김형택(전문위원), 남기일(전문위원), 박동범(전문위원)▶HD현대중공업○ 전무 : 윤훈희, 이재희, 홍석환, 우권식, 강민호, 김정배○ 상무 : 이상진, 옥정석, 이강국, 정동찬, 조양삼, 윤상식, 김오균, 김재락, 정대열, 함형원, 이태원, 송재훈, 이진, 김영호, 김건헌, 문중수(전문위원), 이경구(전문위원), 김인태(전문위원)▶HD현대미포○ 부사장 : 오세광○ 전무 : 이동진, 김창환○ 상무 : 손용석, 신동효, 안윤수▶HD현대삼호○ 전무 : 전경석, 이준혁○ 상무 : 최승재, 서정훈▶HD현대마린솔루션○ 부사장 : 윤병락○ 전무 : 박영언, 김정혁○ 상무 : 최봉준▶HD현대마린엔진○ 상무 : 우영제▶HD현대사이트솔루션○ 전무 : 오병수○ 상무 : 김동목, 박치형, 현정미▶HD현대건설기계○ 부사장 : 송희준○ 전무 : 최태근, 김기형▶HD현대인프라코어○ 전무 : 정욱, 이종윤○ 상무 : 전성호▶HD현대오일뱅크○ 전무 : 임평순, 정태오, 정춘섭○ 상무 : 이세연, 김한돈▶HD현대일렉트릭○ 부사장 : 이창호○ 전무 : 양재철, 안재한, 강봉주○ 상무 : 강진호, 김용한, 김홍태, 황종현, 김민수▶HD현대로보틱스○ 상무 : 박정훈▶HD현대에너지솔루션○ 상무 : 김기범▶HD현대○ 상무 : 정지원"
2024-11-19,HD현대重·한화오션 잇단 3000억원대 수주,"각사 초대형 가스운반선 2척씩HD현대중공업은 18일 아시아의 한 선사에서 초대형 가스 운반선(VLGC) 2척을 수주했다고 밝혔다. 총 수주 금액은 2억4200만달러(약 3381억원)로, 2027년 12월까지 인도할 예정이다.HD현대중공업은 이번 계약으로 올해 연간 수주 목표(72억달러)를 조기 달성했다. 올해 누적 수주 금액은 총 73억3000만달러(약 10조2466억원)다. 이에 따라HD한국조선해양 산하의 조선 계열사 3사(HD현대삼호,HD현대미포 포함)가 모두 올해 수주 목표를 넘겼다.한화오션도 이날 아시아 지역 선주와VLGC2척 수주 계약을 체결했다고 18일 공시했다. 수주 금액은 2억3700만달러(약 3313억원)로 2027년 11월까지 배를 인도한다. 한화오션은 이로써 올해 총 42척, 81억5000만달러(약 11조3900억원) 규모를 수주했다. 한화오션 관계자는 “올해 누적 수주 총액은 국내 단일 조선소 기준으로 최대”라고 했다."
2023-11-29,"HD현대, 현대重 박승용 사장 승진 등 임원인사…“생산·안전 전문가 43% 발탁”","HD현대는 사장 승진 1명, 부사장 승진 7명, 전무 승진 26명, 상무 56명 신규 선임을 포함한 임원인사를 실시했다고 29일 밝혔다.HD현대중공업 박승용 부사장이 사장으로 승진했다.HD현대중공업 울산조선소 전경./HD현대중공업HD한국조선해양 장광필 전무 등 7명이 부사장으로,HD현대건설기계 이원태 상무 등 26명이 전무로 각각 승진했다. 또,HD현대오일뱅크 김종진 책임 등 56명이 상무로 신규 선임됐다.HD현대 관계자는 “전 세계적으로 경영환경의 불확실성이 커지고 있는 상황에서 사업의 경쟁력을 강화하고, 새로운 사업기회를 발굴할 수 있는 전문 인재를 중용했다”고 밝혔다.이어 “신규선임 임원 중 약 43%인 24명을 생산 및 안전부문에서 배출함으로써 생산 현장 안정화 및 공정관리 강화에 역점을 두었다”고 설명했다.HD현대는 지난 10일 사장단 인사, 이날 임원인사를 마치고 다음 달 중순 이틀간에 걸쳐 전 계열사 사장단이 참석하는 2024년 사업계획 전략회의를 개최할 예정이다.HD현대 로고 /HD현대○HD현대- 전무(1명) : 강석주○HD한국조선해양- 부사장(2명) : 장광필, 남영준- 전무(3명) : 남궁훈, 정병용, 김민성- 상무(4명) : 이재웅, 조민수, 김상현(전문위원), 설정훈(전문위원)○HD현대중공업- 사장(1명) : 박승용- 부사장(1명) : 조민수- 전무(12명) : 정재준, 이환식, 설귀훈, 임대준, 강규환, 류영석, 이상기, 김태진, 장혁진, 김관중, 이준엽, 김원탁- 상무(20명) : 성창경, 홍대훈, 박정호, 김기택, 김동렬, 강철웅, 임형철, 김상철, 송운성, 김장호, 최호정, 장창용, 손원식, 곽상휘, 신영균, 박성수, 김대성, 서현수, 송동호, 전재현(전문위원)○ 현대미포조선- 전무(2명) : 황태환, 윤의성- 상무(6명) : 이상봉, 유원일, 송정식, 우기용, 홍상우, 이창준○ 현대삼호중공업- 부사장(1명) : 김환규- 전무(1명) : 심학무- 상무(4명) : 정성호, 배창현, 이승훈, 박한규○HD현대마린솔루션- 전무(1명) : 조성헌- 상무(1명) : 민 산○HD현대일렉트릭- 상무(4명) : 손창곤, 이희태, 윤후진, 김용덕○HD현대사이트솔루션- 전무(1명) : 이윤석- 상무(4명) : 정우용, 박충서, 이상호, 이준우○HD현대건설기계- 부사장(1명) : 박찬혁- 전무(1명) : 이원태- 상무(2명) : 서기호, 김동록○HD현대인프라코어- 부사장(1명) : 김중수- 전무(1명) : 임형택- 상무(4명) : 김기혁, 박현상, 곽규선, 황순천(전문위원)○HD현대에너지솔루션- 상무(1명) : 신갑주○HD현대로보틱스- 상무(1명) : 임현규○HD현대스포츠- 부사장(1명) : 김광국○HD현대오일뱅크- 전무(1명) : 강동순- 상무(4명) : 윤우현, 김종진, 황인진, 박정서○HD현대케미칼- 전무(1명) : 조남수- 상무(1명) : 정대옥○HD현대쉘베이스- 전무(1명) : 송규석"
