date,title,content
2023-09-14,"HD현대인프라코어, 굴착기 등 131대 수주","사우디아라비아·브라질에서HD현대의 건설기계 계열사인HD현대인프라코어가 사우디아라비아와 브라질에서 굴착기, 휠로더(광물·흙 등을 옮기는 장비) 131대를 수주했다고 13일 밝혔다. 수주한 장비는 사우디아라비아 정부가 추진 중인 5000억달러(약 650조원) 규모의 네옴시티 조성 프로젝트와 브라질 공공인프라 사업에 투입된다.HD현대인프라코어는 사우디아라비아 건설업체인 알 나자즈, 네즈마 앤 파트너스와 자체 브랜드 디벨론(DEVELON)의 53t 굴착기 30대와 42t 휠로더 50대 공급 계약을 체결했다. 사우디아라비아 정부가 추진 중인 네옴시티 프로젝트에 투입될 예정이다.HD현대인프라코어는 올해 사우디아라비아에서 굴착기와 휠로더 총 846대를 수주했다. 작년 동기(558대) 대비 51.6% 증가한 숫자다. 회사 관계자는 “네옴시티의 공정 상황에 맞춰 두바이 지사를 통해 활발한 현지 영업 활동을 하고, 네옴시티 인근에 딜러사 신규 지점을 오픈해 영업 인력을 늘렸다”고 했다.브라질에서는 굴착기 51대를 수주했다. 최근 브라질에선 공공 인프라 투자에 따른 건설기계 수요가 증가하고 있다. 이번에 수주한 80t과 53t 굴착기 22대는 브라질 중서부 마투그로수주(州) 철도 건설 프로젝트에 투입되고, 14t 중형 굴착기 29대는 남부 히우그란지두술주 도로 건설 등에 사용된다.HD현대인프라코어 관계자는 “앞으로 신흥국에서 대형 건설 장비 시장 점유율을 확대하겠다”고 말했다."
2023-11-11,정기선 HD현대 사장 2년만에 부회장 승진,"정기선(41)HD현대 사장이 부회장으로 10일 승진했다. 최대 주주인 정몽준 아산재단 이사장의 장남으로, 2021년 사장 승진 이후 2년 만에 부회장에 올랐다.HD현대는 조선회사인HD현대중공업과 2021년 인수한 건설기계회사HD현대인프라코어 등을 계열사로 거느린 지주회사다.HD현대는 “정 부회장은 세계 조선 경기 불황으로 전사적 어려움에 처한 상황에서 회사의 체질을 개선하고 위기를 극복했다”고 밝혔다.정 부회장과HD한국조선해양(조선 부문 중간 지주회사) 공동대표를 맡고 있던 가삼현 부회장, 한영석HD현대중공업 부회장은 연말 퇴임한다. 권오갑HD현대 회장은 유임됐다.HD현대 관계자는 “이번 인사로 정 부회장은 그룹 내에서 유일하게 부회장 직함을 갖게 됐다”며 “정 부회장이 더 많은 권한을 갖고 수소·로봇 등 신사업뿐 아니라 주력인 조선·건설기계 부문도 챙기게 될 것”이라고 말했다.이번 인사에서는 오승현HD현대인프라코어 대표이사 부사장, 강영HD현대중공업 부사장이 각각 사장으로 승진했다. 강영 사장은 지난 7월 인수한STX중공업의 기업 결합 작업을 담당할 예정이다. 일부 계열사 대표이사도 바뀌었다.HD한국조선해양은 김성준 부사장,HD현대로보틱스는 김완수 부사장,HD현대케미칼은 고영규 부사장이 새 대표이사로 내정됐다. 노진율HD현대중공업 사장은 공동대표이사로 내정됐다. 이들은 내년 3월 이사회와 주주총회를 거쳐 정식 선임될 예정이다."
2023-05-18,주유소에서 굴착기 판다...오일뱅크주유소서 HD현대인프라 ‘디벨론’ 판매,"HD현대오일뱅크와HD현대인프라코어 이색협업3.5t·3.5t·1.7t 3종...인천·광주·안성·충주 4곳서 판매HD현대오일뱅크가HD현대인프라코어와 함께 직영 주유소에서 소형 굴착기 판매 사업을 시작한다./현대오일뱅크HD현대 그룹 계열사인HD현대오일뱅크와HD현대인프라코어가 이색 협업을 추진한다.HD현대오일뱅크는 18일 직영주유소에서HD현대인프라코어가 올 1월 출시한 ‘디벨론(DEVELON)’ 소형 굴착기를 판매한다고 18일 밝혔다.주유소 유휴 공간을 활용해 굴착기와 같은 중장비를 판매하기는 국내에서 처음이다.HD오일뱅크 관계자는 “건설 및 토목 현장에서 주로 사용하는 중대형 굴착기와 달리 소형 굴착기는 농가, 과수원, 전원주택 등에서도 활용도가 높아 고객층이 다양하다”며 “기존 대리점뿐 아니라 주유소로 유통채널을 확대하게 됐다”고 말했다.지난해 5t 미만 소형 굴착기 국내 시장은 2019년 대비 3년 만에 52.7% 성장하며 4천 400여대까지 판매 규모가 늘었다.HD현대인프라코어는 올해는 작년보다 54% 증가한 1000대를 판매할 계획이다.주유소에서 판매하는 모델은 3.5t(DX35Z-7), 3t(DX30Z-7), 1.7t(DX17Z-5) 등 3종이다. 인천, 광주, 경기 안성, 충북 충주에 있는HD현대오일뱅크 직영주유소 4곳에서 전시·판매하고 있다.HD현대오일뱅크 관계자는 “미니 굴착기 판매 주유소를 추후 17개소까지 점차 확대할 예정” 이라며 “앞으로도 소형 전기차 판매, 게임 테마 주유소, 프리미엄 셀프세차장 등 주유소 플랫폼을 활용한 차별화된 비즈니스를 지속적으로 선보이겠다”고 말했다."
2023-07-13,"HD현대, 증강현실 기술로 중장비 수리","HD현대인프라코어는 증강현실(AR) 기술을 활용해 건설기계·장비 고장 진단과 수리를 지원해주는 ‘AR가이던스’ 애플리케이션(앱)을 업계 최초로 개발했다고 12일 밝혔다.AR은 현실 세계와 가상의 이미지를 겹쳐 보여주는 컴퓨터 그래픽 기술이다. 예컨대, 태블릿PC나 스마트폰에서 해당 앱을 실행시킨 뒤 화면으로 고장 난 장비를 비춰보면 장비 위에 주요 부품의 위치 등이 그래픽으로 함께 표시되는 식이다.HD현대인프라코어는 “장비의 3D 모델링 데이터와 부품 센서에서 수집되는 정보에AR기술을 적용했기 때문에 장비 상태를 시각적으로 쉽게 확인할 수 있도록 도와준다”고 했다.AR가이던스 앱은 장비 고장에 관한 정보를 제공하는 ‘가이던스’ 기능과, 주요 부품의 위치와 명칭을 보여주는 ‘모델 뷰어’ 2가지 기능을 제공한다.지난 2019년 앱 개발에 처음 착수한HD현대인프라코어는 지난 2020년 시범 프로그램을 개발한 데 이어, 지난해부터 본격적으로 상용화를 준비해왔다. 회사 관계자는 “현재는 북미·유럽 지역 건설기계 일부 기종에서만AR가이던스를 사용할 수 있지만, 앞으로 다양한 지역의 건설기계 기종으로 확대해 나갈 것”이라고 했다."
2023-01-19,"현대두산인프라코어, 사명에서 ‘두산’ 뗀다","건설장비 브랜드는 ‘디벨론’HD현대 계열사인 현대두산인프라코어가 사명에서 두산을 뺀다. 건설 기계 장비 브랜드도 기존 ‘DOOSAN(두산)’ 대신, 새 브랜드 ‘DEVELON(디벨론)’을 사용하기로 했다.현대두산인프라코어는 18일 새로운 건설 장비 브랜드 디벨론과BI(브랜드 아이덴티티)를 글로벌 시장에 공개했다고 밝혔다. 디벨론은 ‘Develop(발전하다)’과 ‘Onwards(앞으로 나아가는)’의 합성어로, ‘끊임없는 혁신을 통해 미래를 향해 계속 나아가는 가운데, 세계 최고의 제품과 설루션으로 세상을 변화시켜 나가겠다’는 의미다. 신규 브랜드가 장착된 실물 장비는 오는 3월 미국 라스베이거스에서 열리는 건설 기계 박람회 ‘콘엑스포(CONEXPO) 2023′에서 공개된다.현대두산인프라코어는 브랜드 이름뿐 아니라 사명에서도 ‘두산’을 사용하지 않기로 했다. 새 이름은 올해 상반기 중 이사회와 주주총회를 통해 결정된다. 현대두산인프라코어는 지난 2021년 8월 두산그룹에서HD현대의 계열사로 편입됐다."
2023-04-30,"HD현대 정기선, 美법인 찾아 ‘참전용사 가족’ 직원들 깜짝 한국 초청","“참전용사 희생에 감사, 발전된 한국 보여드릴 기회”방미 경제사절단 일원으로 미국을 방문한HD현대 정기선 사장이 방미 기간 중 미국 앨라배마 현지법인 등을 방문해 직원 격려 행사를 가졌다. 정 사장은 6·25전쟁 참전용사의 가족이 미국 법인서 일하고 있다는 사실을 확인해, 이들을 만나 한국 초청을 깜짝 제안하기도 했다.HD현대 정기선(왼쪽에서 네번째) 사장은방미 일정 중 미국 앨라배마주 몽고메리시에 있는HD현대일렉트릭 변압기 공장을 찾아 6.25 전쟁 참전용사를 가족으로 둔 직원들을 만났다. 정 사장과 기념촬영한 직원들./HD현대HD현대는 정 사장이 미국 앨라배마주 몽고메리시에 있는HD현대일렉트릭 변압기공장, 조지아주 애틀랜타시에 있는HD현대건설기계,HD현대인프라코어,HD현대일렉트릭 법인을 찾아 현장을 점검하고 직원들과 간담회를 가졌다고 30일 밝혔다.정 사장은 가족과 떨어져 먼 타지에서 지내는 주재원들을 격려하고, 북미시장에서 성과를 내고 있는 현지 직원들에게도 감사를 전했다고 한다. 2011년 설립된HD현대일렉트릭 앨라배마 법인은 3만8678㎡(약 1만1700평) 규모의 생산공장에 381명의 직원이 근무하고 있다.HD현대의 건설기계부문 계열사인HD현대건설기계와HD현대인프라코어도 애틀랜타시에 법인을 운영하고 있다.정 사장은 특히HD현대일렉트릭 변압기 공장에 재직 중인 직원 6명이 6·25전쟁 참전용사 가족이라는 사실을 알고, 이들을 따로 만나 감사와 존경의 뜻을 전했다고HD현대는 설명했다. 정 사장은 학군사관후보생(ROTC) 43기 출신으로 파주 제701특공연대에서 근복무를 마치고 육군 중위 전역했다. 부친 정몽준 아산재단 이사장도ROTC13기로 군 생활을 마쳤다.정 사장은 이들 직원과 만난 자리에서 “방산기업의CEO로서 참전용사의 용기와 희생에 항상 감사한 마음을 갖고 있었다”, “그분들께서 목숨을 걸고 지킨 대한민국의 발전된 모습을 보여 드릴 수 있는 기회가 됐으면 좋겠다”며 한국 초청을 깜짝 제안했다고 한다.6·25전쟁 참전용사의 아들로,HD현대일렉트릭 앨라배마 법인에서 2012년부터 일하고 있는 직원 ‘제프리 워’씨는 “생각지 못한 선물을 받아 너무 기쁘다”며 “아버지가 살아계셨다면 발전한 한국의 모습에 아주 기뻐하셨을 것”이라고 답했다고 한다."
2024-11-25,"HD현대 정기 임원인사, HD현대일렉 이창호 부사장 등 74명 승진","HD현대는 25일 2024년도 임원인사를 단행했다고 밝혔다. 지난 14일 발표한 사장단 인사에 이은 후속 임원인사로 모두 74명이 승진·발령됐다.이창호HD현대일렉트릭 전무 등 5명은 이날 인사에서 부사장으로, 윤훈희HD현대중공업 상무 등 24명은 전무로 각각 승진했다. 김동목HD현대사이트솔루션 수석 등 45명은 상무로 신규 선임됐다.HD현대는 “급변하는 경영환경 속에서 조직을 안정적으로 관리하면서 사업 경쟁력 강화와 신사업 발굴을 위해 유능한 인재들을 발탁, 중용하는 데 초점을 맞췄다”고 설명했다.HD현대는 임원인사에 이어 다음달 중순 모든 계열사 사장단이 참여하는 ‘2025년 경영계획 전략회의’를 개최할 예정이다. 내년도 사업계획과 구체적인 실행 로드맵을 확정, 그룹의 미래전략을 가속화해 나간다는 방침이다.■HD현대 임원인사 현황▶HD한국조선해양○ 부사장 : 류근찬○ 전무 : 이동원○ 상무 : 서일원, 서호균, 지춘호(전문위원), 김형택(전문위원), 남기일(전문위원), 박동범(전문위원)▶HD현대중공업○ 전무 : 윤훈희, 이재희, 홍석환, 우권식, 강민호, 김정배○ 상무 : 이상진, 옥정석, 이강국, 정동찬, 조양삼, 윤상식, 김오균, 김재락, 정대열, 함형원, 이태원, 송재훈, 이진, 김영호, 김건헌, 문중수(전문위원), 이경구(전문위원), 김인태(전문위원)▶HD현대미포○ 부사장 : 오세광○ 전무 : 이동진, 김창환○ 상무 : 손용석, 신동효, 안윤수▶HD현대삼호○ 전무 : 전경석, 이준혁○ 상무 : 최승재, 서정훈▶HD현대마린솔루션○ 부사장 : 윤병락○ 전무 : 박영언, 김정혁○ 상무 : 최봉준▶HD현대마린엔진○ 상무 : 우영제▶HD현대사이트솔루션○ 전무 : 오병수○ 상무 : 김동목, 박치형, 현정미▶HD현대건설기계○ 부사장 : 송희준○ 전무 : 최태근, 김기형▶HD현대인프라코어○ 전무 : 정욱, 이종윤○ 상무 : 전성호▶HD현대오일뱅크○ 전무 : 임평순, 정태오, 정춘섭○ 상무 : 이세연, 김한돈▶HD현대일렉트릭○ 부사장 : 이창호○ 전무 : 양재철, 안재한, 강봉주○ 상무 : 강진호, 김용한, 김홍태, 황종현, 김민수▶HD현대로보틱스○ 상무 : 박정훈▶HD현대에너지솔루션○ 상무 : 김기범▶HD현대○ 상무 : 정지원"
2022-12-19,"[단독] MZ 직원들 마음 홀렸다, 현대重의 특별한 결혼식 선물","현대두산인프라코어 직원 결혼식에 참석한 하객들이 포토부스에서 사진을 찍고 있다./현대제뉴인 유튜브지난 10일 인천 부평에 있는 한 결혼식장에서 현대두산인프라코어 직원 이모씨의 결혼식이 열렸다. 이날 결혼식에 참석한 하객들은 신랑·신부에게 축하 인사를 전한 뒤 예식장에 마련된 포토부스 앞에 길게 줄을 서서 사진을 찍었다. 포토부스 옆에는 ‘현대중공업그룹이 여러분의 소중한 순간을 함께 합니다’라는 글이 적힌 입간판이 놓였다.최근 현대중공업그룹 건설기계 3사(현대제뉴인·현대두산인프라코어·현대건설기계) 직원들의 결혼식장에 설치된 포토부스가 신랑·신부와 하객들로부터 좋은 반응을 얻고 있다.MZ세대(1980년대 초~2000년대 초 출생) 사이에서는 포토부스에서 즉석 사진을 찍는 게 큰 인기를 끌고 있는데, 이들의 취향을 고려해 회사가 직원들의 결혼식장에 포토부스를 설치해주고 있는 것이다.하객들은 신랑·신부를 위해 현장에서 찍은 사진이 담긴 포토방명록을 만들 수도 있고, 잘 꾸미고 나온 자신의 모습을 사진으로 간직할 수도 있다. 이 회사 직원은 “현대중공업그룹은 올드한 이미지가 있는 게 사실인데 포토부스를 설치해준다는 이야기를 듣고 깜짝 놀랐다”면서 “결혼을 앞둔 젊은 직원들 사이에서 뜨거운 반응이 나오고 있다”고 말했다.현대중공업그룹이 포토부스 설치에 나선 것은 지난 9월 정기선HD현대 사장과 현대두산인프라코어 신입사원과의 간담회가 계기가 됐다. 당시 정 사장은 올해 입사한 신입사원 40여명과 점심 식사를 하면서 “MZ세대를 위한 복지가 필요하다”는 한 직원의 건의 사항을 들었다고 한다. 이후 정 사장은 젊은 세대에게 인기를 얻고 있는 포토부스를 이들을 위한 복지 정책으로 선정했다. 화환과 포토부스 중 한 가지를 선택할 수 있게 만든 것이다. 포토부스 설치 비용(60만원)은 전액 회사가 부담하고 있다.지난 10월 이후 건설기계 3사 직원 20여명이 결혼을 했는데, 90% 이상이 포토부스를 선택할 정도로 직원들의 반응은 뜨겁다. 포토부스를 이용한 직원들은 “사비로 진행하려고 했는데 회사 지원 받아서 좋았다” “주변 지인들이 ‘회사에서 이런 것도 보내주냐며 역시 대기업은 다르다’고 말해줘 으쓱했다” “화환도 좋지만, 일회성이라 아쉬웠는데 사진은 오래 보관할 수 있어 좋다”고 말했다.포토부스는 실속을 중시하는MZ세대의 특성과도 부합한다. 한 번 쓰고 버리는 화환보다 결혼식 당일 추억을 사진으로 간직하는 게 훨씬 실용적일 뿐 아니라 화환을 낭비하지 않아 환경도 보호할 수 있기 때문이다. 현대중공업그룹 관계자는 “내년부터는 포토부스 설치를 그룹 내 다른 계열사로도 확대 적용하는 방안을 검토하고 있다”면서 “앞으로도 직원들과의 소통을 통해 복지 만족도를 높이는 방안을 찾을 계획”이라고 말했다."
2024-09-25,“수소 기술 모였다”...국내 최대 수소 산업 전시회 개막,"국내 최대 규모의 수소 산업 전시회인 ‘H2MEET’이 25일 경기도 고양시 킨텍스에서 개막했다. 올해 5회째 열리는 행사로, 24국 317 기업이 참여해 수소 기술을 선보인다.최남호 산업통상자원부 2차관이 25일 경기 고양시 킨텍스에서 열린'H2MEET2024' 개막식에서 축사하는 모습. /산업통상자원부현대차그룹은 수소의 생산부터 활용까지 전 주기에 걸친 비전을 공개한다. 크게 ‘에너지 안보’ ‘항만 및 공항 탈탄소화’ ‘산업용 수소 애플리케이션 및 비즈니스’ ‘수소 사회’ 등 4개 주제로 전시를 구성했다. 탈탄소화 부문에선 북미지역에서 시작한 항만 탈탄소화 사업 ‘캘리포니아 항만 친환경 트럭 도입 프로젝트’를 소개한다. 또, 미국 조지아주에 가동 예정인 공장 ‘현대차그룹 메타플랜트 아메리카(HMGMA)’에 도입되는 수소전기트럭 기반 물류 체계에도 공개한다.이날 킨텍스를 찾은 장재훈 현대차 사장은 글로벌 완성차 기업들과의 수소 협력 가능성에 대해 “외부와의 제휴를 계속 이끌어 나갈 수 있다고 생각이 든다”며 “특히 상용에 대한 부분은 상당히 다들 관심이 많다”고 했다.장재훈 현대차 사장이 25일 경기도 고양시 킨텍스에서 열린'H2MEET2024' 행사에서 현대차그룹 부스를 둘러보고 있다. /현대차그룹HD현대인프라코어는 수소 엔진을 중점적으로 소개한다.HD현대인프라코어는 2022년 수소엔진 개발을 시작, 내년 하반기부터 트럭용 수소 엔진을 양산한다는 계획이다. 부스에는 대형 트럭에 탑재할 수 있는 11L(리터)급 차량용 수소엔진 ‘HX12′과 22L급 수소엔진 ‘HX22′ 등이 전시된다.코오롱그룹도 수소 기술을 선보인다. 코오롱인더스트리는 수소연료전지의 핵심 소재 막전극접합체(PEM), 고분자전해질막(MEA) 등을 소개한다. 코오롱ENP는 소음기하우징을 비롯한 수소차 부품소재를, 코오롱스페이스워크는 수소연료탱크 제품 등을 선보인다.H2MEET은 오는 27일까지 열린다. 시간은 오전 10시부터 오후 5시까지.25일 경기 고양시 일산서구 킨텍스에서 열린 국내 대표 수소산업 전문 전시회'H2MEET2024' 현대자동차 부스에서 관람객들이 현대차그룹의 수소연료 전지 시스템을 살펴보고 있다. /뉴스1"
2024-09-12,‘中 대체 시장’ 향하는 K건설장비,"동남아·중동 등 신흥 시장 공략‘亞 최대’ 인니 광산 행사 참가도한국 건설 장비 업계가 동남아·중동 등 신흥 시장 공략에 속도를 내고 있다. 중국의 건설 시장이 위축된 가운데 신흥 시장에선 광물 자원 채굴과 대규모 인프라 공사가 활발하다.HD현대건설기계와HD현대인프라코어는 11~14일 인도네시아 자카르타에서 열리는 ‘마이닝 인도네시아’에 참가한다. 아시아 최대 규모 광산 장비 전시회로 1300여 사가 참여한다. 두 회사는 각각 900㎡(272평) 규모 부스를 마련하고 100t급 초대형 굴착기 등 마이닝(광물 채굴) 장비를 선보였다.자원 부국(富國) 인도네시아는 전기차 배터리 핵심 광물인 니켈을 포함해 주석, 코발트 채굴 수요가 많고, 채굴용 중대형 굴착기는 수익성이 특히 높다. 인니 건설장비 시장은 올해 2만8568대로 2029년까지 연평균 4.2%씩 성장할 것으로 전망된다.사우디아라비아 등 중동 시장 공략도 강화하고 있다. 사우디는 미래 도시 ‘네옴’ 프로젝트를 진행 중인 데다 ‘2030 엑스포’를 유치해 관련 공사 수요가 꾸준하다.HD현대인프라코어는 지난달 사우디 종합건설기업에 도로 건설용 건설장비 100대를 공급하는 계약을 체결했다. 사우디 건설장비 시장도 2029년까지 5만여 대로 연평균 5.9%씩 증가할 전망이다."
