date,title,content
2024-12-24,"올해 ‘최고 복덩이’는 HD현대일렉트릭, 4.5배 뛰었다","국내 증시 결산, 최고·최악 종목은연초 이후 코스피가 8% 이상, 코스닥은 20% 이상 하락했다. 하지만 시장이 아무리 안 좋아도 오를 주식은 오른다. 24일 한국거래소에 따르면, 올 들어 지난 20일까지 세 자릿수의 주가 상승률을 보인 종목은 53개였다. 올해 최고의 수익을 안겨준 종목, 그리고 최악의 손실을 안겨준 종목은 무엇일까?그래픽=이진영K푸드·K방산보다 K전력이 최고올해 국내 주식시장에서 돈을 번 세 가지 키워드는 K전력, K푸드, K방산이었다. 그런데 이 중에서도 K푸드와 K방산이 K전력을 이기지는 못했다.올해 코스피에서 최고의 수익을 낸 종목은 K푸드 불닭볶음면 신화의 주인공인 삼양식품도, K방산 열풍의 대장주인 한화에어로스페이스도 아닌HD현대의 전력회사인HD현대일렉트릭이었다. 올 들어 지난 20일까지HD현대일렉트릭의 주가 상승률은 345.26%에 달했다. 2위인 삼양식품은 246.30%, 9위인 한화에어로스페이스는 136.81%다.HD현대일렉트릭은 변압기 등 전력 인프라 관련 기기를 주로 만드는데, 인공지능(AI) 개발 열풍 등으로 전력난을 겪고 있는 북미·유럽 등 현지 시장에서 급성장을 이루며 올 3분기 역대 최대 실적을 경신했다. 같은 K전력 인프라 종목인 효성중공업도 6위로 152.93%,LS일렉트릭도 18위로 108.20% 증가율을 기록했다. 김태현IBK투자증권 연구원은 “HD현대일렉트릭의 경우 초고압 변압기 수요 확대 흐름이 여전한 가운데, 미국 시장 선점 효과와 고사양 변압기 수주 대응 능력이 커져 내년에도 실적 성장세가 지속될 것으로 기대된다”고 말했다.코스닥 시장 1위는PCB(인쇄회로기판) 핵심 설비 제조 업체 ‘태성’이었다. 올해 주가가 577.75% 급등했다.AI반도체 시장 성장과 함께 고성능 반도체에 대한 수요가 증가하면서 태성의 ‘유리기판’ 사업이 주목받았다. 미국 아마존에 납품하는 K화장품의 선두주자로 하유미팩(배우 하유미가 쓰는 마스크팩)으로 유명한 ‘제닉’(2위 ·490.28%)과 화장품 유통 플랫폼인 ‘실리콘투’(4위·311.80%), 이재명 더불어민주당 대표의 테마주인 오리엔트정공(3위·406.64%) 등보다 상승률이 높았다.그래픽=이진영지난해 스타, 올해는 추락한 이차전지반면, 올해 국내 주식 시장에서 돈을 잃은 3가지 키워드는 이차전지, 친환경, 부동산(리츠·REITs·부동산투자신탁)이었다.올해 들어 코스피 하락률 1위는 ‘스타에스엠리츠’로 78.55% 하락했다. 법무법인 태평양은 “올해는 고금리와 부동산에 대한 투자 심리 위축 등으로 상장 리츠들의 주가가 급락했다”며 “상장 리츠들의 자산 편입과 유상증자 이슈 등으로 주가가 하락하는 현상이 있었다”고 분석했다.리츠를 제외하고 하락률이 제일 컸던 건 이차전지주였다. 배터리 아저씨로 불리던 박순혁 작가가 홍보 이사로 재직했던 금양(-77.11%), 이차전지 소재 기업인 포스코DX(-73.71%), 이엔플러스(-71.61%),SK아이이테크놀로지(-71.17%)가 하락률 2~5위를 기록했다. 지난해 최고의 스타였던 ‘이차전지’주가 올해는 최악의 주가 된 것이다.장정훈 삼성증권 애널리스트는 “트럼프 2기 행정부에서 전기차 수요 둔화 가능성을 높이는 이벤트가 추가로 발생할 확률이 높은 만큼 이차전지는 보수적인 시각을 유지하는 것이 바람직하다”고 말했다.코스닥 시장에서 손실률 1위를 차지한 주식은 자동차 렌털 등의 사업을 하는CNH다. 올해 중순 경영권 매각 등의 이슈로 급등과 급락을 반복하다 현재는 거래 정지 상태로 상장 폐지 위험 종목이다. 경영권 분쟁 종목은 함부로 들어가면 안 된다는 것을 보여준다는 게 증권가의 얘기다. 한때 종가로 200만원까지 올랐던 영풍·MBK등과 경영권 분쟁 중인 고려아연 주가도 한 달 전 수준인 110만원대로 내려왔다.2위인 의류제조기업 엠에프엠코리아도 매각 이슈 등으로 혼란을 겪으며 93.90% 하락한 후 거래 정지 상태다. 청정 에너지 기업으로 각광받던 에스엘에너지도 91.32% 하락했다."
2024-12-31,변압기 2代 52년 외길… “아프리카까지 수출 뚫었죠”,"[명문 장수 기업] [10·끝] 동미전기공업 한상욱 대표동미전기공업은 52년 동안 변압기를 전문적으로 생산, 미국·인도네시아·필리핀 등으로 수출을 확대해왔다. 지난달 경기도 화성시 본사 공장에서 만난 한상욱 대표가 고속철도 선로 전용 변압기 위에 앉아 있다. /조인원 기자AI(인공지능) 열풍이 거세지면서 전 세계적으로 전력 수요가 급격히 늘고 있다. 한국 전력기기 산업도 이 추세에 힘입어 차세대 성장 산업으로 각광받고 있다. 효성중공업,HD현대일렉트릭,LS일렉트릭 같은 대기업이 미국과 유럽 등지에 초고압 변압기를 공급해 굵직굵직한 수주 실적을 올리는가 하면, 국내 중소·중견 기업들도 탄탄한 기술력과 품질을 검증받은 중·고압 변압기를 생산·납품함으로써 해외 수출 시장을 확대하고 있다.동미전기공업은 지난 52년 동안 변압기를 전문적으로 생산, 해외 수출 시장을 확대해온 작지만 강한 기업이다. 주상 변압기와 지상 설치형 변압기를 비롯한 76만V 이하의 중·고압 변압기를 주로 만들어왔다. 미국과 필리핀을 시작으로, 인도네시아·몽골·사우디·과테말라 등에 변압기 납품 수주 계약을 따내며 수출액을 키워왔다. 2019년엔 102억원 정도였던 매출은 매년 두 자릿수 성장을 거듭해 올해는 800억원을 돌파할 것으로 보인다. 지난 5년 동안 매출이 8배가량 늘어났다. 수출 비율도 80%가 넘는다.그래픽=김하경동미전기공업은 1972년 경기도 화성에서 형제인 고(故) 한두성, 한두석 전 공동대표가 함께 창업했다. 평안남도 출신인 이들은 6·25전쟁이 터지자 남한으로 피란을 왔고, 1960년대부터 모터 수리 일을 해왔다. 1970년대 초 한국 경제가 급성장하고 전력 수요가 폭발적으로 늘자 두 창업자는 ‘동미기업주식회사’란 이름으로 회사를 열고 변압기를 비롯한 전력기기 수리·제조일에 본격적으로 뛰어들었다. 1976년 한국산업표준(KS) 인증을 받았고, 한국전력에 변압기를 납품하기 시작, 핵심 협력사로 자리 잡았다. 이후 코레일의KTX경부선 구간과 포스코,SK하이닉스 등에도 변압기를 납품하며 몸집을 키워나갔다.수출을 본격적으로 시작한 것은 2000년대 중반부터다. 창업자 한두석 전 대표의 아들 한상욱(50)씨는 회사 해외영업팀장으로 일할 때부터 수출 확대를 위해 뛰어왔다. 2008년 글로벌 금융 위기를 겪으며 해외 시장을 뚫어야만 회사가 안정적으로 성장할 수 있다고 생각한 그가 필리핀과 미국령 괌, 해외 주둔 미군 기지, 인도네시아, 몽골, 사우디, 과테말라, 케냐 등지까지 직접 다니며 변압기 수출 계약을 따냈다는 것이다. 한 대표는 “당시 국내 중소기업들엔 생소한 아프리카 모잠비크까지 날아가 그 나라 전력청 관계자부터 현지 업체 대표들을 만나고 영업해 수출 계약서에 도장을 찍게 만들었다”고 했다. 그는 2015년 대표로 취임했다.코로나 팬데믹으로 전 세계적인 공급망 위기가 닥쳤을 때도 동미전기공업은 성장을 거듭했다. 물류 차질로 해외에서 들여오던 핵심 부품을 제때 공급받지 못해 납기일을 맞추기 어렵게 되자, 한 대표는 직원들을 독일 등으로 직접 파견해 배 대신 비행기로 변압기를 옮겨 실어가며 납기를 맞췄다. 이는 해외 거래처들로부터 큰 신뢰를 얻은 계기가 됐다. 한 대표는 “외국 변압기 시장에선 한번 신뢰를 얻으면 거래처들이 장기 계약을 맺고 일거리를 계속 주는 경우가 적지 않다”고 했다.최근 1~2년 동안엔 미국 4주(州) 전력청과도 변압기 공급 계약을 맺었다. 미국의 전력기기가 노후화해 교체 수요 시기가 도래했고, 이에 위스콘신을 비롯한 주에서 새 변압기 공급 업체를 찾았는데 동미전기공업이 낙찰된 것이다. 최근엔 유럽 시장에도 수출을 모색하고 있다.동미전기공업은 매년 매출액의 최소 5%를 R&D에 투자하고 있다. 수년 내 미국 전력기기 규격이 이전보다 까다로워지는 데다 유럽 시장에서의 고효율·친환경 변압기 수요가 늘어날 것에 선제적으로 대응하겠다는 구상이다. 한 대표는 “앞으로 3년 안에 수출 1억달러(약 1460억원)를 넘어서겠다”고 했다."
2024-11-25,"HD현대 정기 임원인사, HD현대일렉 이창호 부사장 등 74명 승진","HD현대는 25일 2024년도 임원인사를 단행했다고 밝혔다. 지난 14일 발표한 사장단 인사에 이은 후속 임원인사로 모두 74명이 승진·발령됐다.이창호HD현대일렉트릭 전무 등 5명은 이날 인사에서 부사장으로, 윤훈희HD현대중공업 상무 등 24명은 전무로 각각 승진했다. 김동목HD현대사이트솔루션 수석 등 45명은 상무로 신규 선임됐다.HD현대는 “급변하는 경영환경 속에서 조직을 안정적으로 관리하면서 사업 경쟁력 강화와 신사업 발굴을 위해 유능한 인재들을 발탁, 중용하는 데 초점을 맞췄다”고 설명했다.HD현대는 임원인사에 이어 다음달 중순 모든 계열사 사장단이 참여하는 ‘2025년 경영계획 전략회의’를 개최할 예정이다. 내년도 사업계획과 구체적인 실행 로드맵을 확정, 그룹의 미래전략을 가속화해 나간다는 방침이다.■HD현대 임원인사 현황▶HD한국조선해양○ 부사장 : 류근찬○ 전무 : 이동원○ 상무 : 서일원, 서호균, 지춘호(전문위원), 김형택(전문위원), 남기일(전문위원), 박동범(전문위원)▶HD현대중공업○ 전무 : 윤훈희, 이재희, 홍석환, 우권식, 강민호, 김정배○ 상무 : 이상진, 옥정석, 이강국, 정동찬, 조양삼, 윤상식, 김오균, 김재락, 정대열, 함형원, 이태원, 송재훈, 이진, 김영호, 김건헌, 문중수(전문위원), 이경구(전문위원), 김인태(전문위원)▶HD현대미포○ 부사장 : 오세광○ 전무 : 이동진, 김창환○ 상무 : 손용석, 신동효, 안윤수▶HD현대삼호○ 전무 : 전경석, 이준혁○ 상무 : 최승재, 서정훈▶HD현대마린솔루션○ 부사장 : 윤병락○ 전무 : 박영언, 김정혁○ 상무 : 최봉준▶HD현대마린엔진○ 상무 : 우영제▶HD현대사이트솔루션○ 전무 : 오병수○ 상무 : 김동목, 박치형, 현정미▶HD현대건설기계○ 부사장 : 송희준○ 전무 : 최태근, 김기형▶HD현대인프라코어○ 전무 : 정욱, 이종윤○ 상무 : 전성호▶HD현대오일뱅크○ 전무 : 임평순, 정태오, 정춘섭○ 상무 : 이세연, 김한돈▶HD현대일렉트릭○ 부사장 : 이창호○ 전무 : 양재철, 안재한, 강봉주○ 상무 : 강진호, 김용한, 김홍태, 황종현, 김민수▶HD현대로보틱스○ 상무 : 박정훈▶HD현대에너지솔루션○ 상무 : 김기범▶HD현대○ 상무 : 정지원"
2024-11-14,"HD현대 정기선 부회장, 수석부회장으로 승진…계열사 3사 대표 신규 선임","HD현대 정기선 부회장이 ‘수석부회장’으로 승진한다.HD현대는 14일 이 같은 내용의 그룹 사장단 인사를 발표했다. 주요 계열사 3사의 대표이사도 새로 선임했다.정 수석부회장은 고(故) 정주영 현대그룹 명예회장의 손자이자 정몽준 아산재단 이사장의 장남으로, 권오갑HD현대 회장과 함께 그룹 경영을 이끌고 있다. 작년 11월 사장에서 부회장으로 승진했고, 1년 만에 수석부회장으로 승진했다.정기선HD현대 수석부회장./뉴스1HD현대의 전력기기 계열사HD현대일렉트릭의 조석 사장은 부회장으로 승진한다. 주요 계열사 중에서는HD현대일렉트릭,HD현대오일뱅크,HD현대삼호 대표이사를 새로 선임했다.HD현대삼호 대표이사에는 김재을HD현대중공업 조선사업대표 부사장이 사장으로 승진 내정됐고,HD현대오일뱅크 대표이사에는 송명준HD현대 재무지원실 부사장이 사장으로 승진 내정됐다.HD현대오일뱅크는 현재 안전생산본부장을 맡고 있는 정임주 부사장이 송명준 사장과 함께 공동대표이사를 맡는다.HD현대일렉트릭 대표이사에는 김영기 부사장이 사장으로 승진 내정됐다.HD현대 관계자는 “미국 대선 이후의 경영환경 변화, 우크라이나 전쟁을 비롯한 국제정세의 변화, 유가 및 환율 변동 등 급변하는 경영환경에 적극 대응해 나가기 위해 사장단 인사를 단행했다”고 밝혔다.이날 발표된 대표이사 내정자들은 향후 주주총회와 이사회를 거쳐 정식 대표이사로 선임된다. 사장단 인사에 이어 조만간 후속 임원인사도 발표될 예정이다."
2024-11-15,"‘정몽준 장남’ HD현대 정기선, 1년만에 수석부회장으로 승진","정기선(42)HD현대 부회장이 수석부회장으로 14일 승진했다.HD현대 최대 주주인 정몽준 아산재단 이사장의 장남으로, 작년 11월 부회장 승진 후 1년 만이다. 조선업 호황과 맞물려 재계 순위를 8위로 한 단계 끌어올리고, 신사업도 성공적으로 이끌었다는 평가다.HD현대는 조선 부문HD한국조선해양, 정유 부문HD현대오일뱅크, 건설기계 부문HD현대사이트솔루션 등을 계열사로 보유한 지주회사다. 전문 경영인인HD현대 권오갑 대표이사 회장과 정 수석부회장이 경영 전반을 함께 이끄는 체제를 유지한다.이날 발표된HD현대 사장단 인사에서 조석(67)HD현대일렉트릭 사장은 부회장으로 승진했다. 내년 3월 주총까지 대표이사를 맡고 이후 부회장으로 경영 전반을 챙길 것으로 알려졌다. 조 부회장은 산업부 차관 출신으로 2020년 그룹 최초 외부 출신 대표이사로 영입됐다. 이후 3연임하며 호황을 맞은 전력기기 사업에서 매출, 영업 이익 모두 역대 최대 실적을 이끌었다.주요 계열사 인사로는HD현대삼호 대표이사에 김재을(59)HD현대중공업 부사장,HD현대일렉트릭 대표이사에 이 회사 김영기(58) 부사장,HD현대오일뱅크 대표이사에 송명준(55)HD현대 재무지원실 부사장, 총 3명이 각각 사장으로 승진해 내정됐다.HD현대오일뱅크는 정임주 부사장이 공동 대표를 맡는다.HD현대 관계자는 “정 수석부회장이 그룹 주요 핵심 과제를 직접 챙기고, 그룹 성장 동력 발굴에 더욱 주력할 것”이라고 했다."
2024-12-29,한전 발전소 장치 입찰서 대·중소기업 담합...8년간 5630억원 나눠 먹어,"대기업군-중소기업군 나눠 사전에 낙찰 비율 설정기업군 총무 두고 총무 통해서만 연락세종시 정부세종청사 공정거래위원회 전경. /뉴스1한국전력공사가 발주한 설비 보호 장치 입찰에서 나눠 먹기식으로 담합을 벌인 대기업, 중소기업 등 10개 사업자에 시정명령과 과징금 391억원이 부과됐다.29일 공정거래위원회는 효성중공업·LS일렉트릭·HD현대일렉트릭·일진전기 등 대기업과 동남·디투엔지니어링·서전기전·인텍전기전자·제룡전기 등 중소기업, 그리고 한국중전기사업협동조합 등 10곳에 대해 공정거래법 위반 혐의로 시정명령과 과징금을 부과했다고 밝혔다. 이들은 2015~2022년 총 5630억원 규모의 ‘가스 절연 개폐 장치’ 입찰 134건에 참여하면서, 사전에 기업별로 낙찰받을 비율과 순번 등을 정하는 방식으로 담합을 벌인 것으로 조사됐다.가스 절연 개폐 장치는 한전의 발전소나 변전소에서 전력 설비를 보호하기 위해 설치하는 장치다. 당초 대기업 4곳만 입찰에 참여할 자격이 있었지만, 한전이 중소기업들에도 입찰 참여 자격을 부여하면서 가격경쟁이 발생할 가능성이 높아지자 담합이 시작됐다는 게 공정위 판단이다.이들은 대기업군과 중소기업군으로 나뉘어 기업군별 총무를 세운 뒤, 낙찰 비율과 순번 등을 협의했다. 또 담합 사실을 숨기기 위해 자신이 속한 기업군의 총무하고만 연락을 취했다. 대기업군과 중소기업군 간에 합의한 낙찰 비율은 87:13에서 시작해, 중소기업 진입이 늘면서 60:40, 55:45 등으로 바뀌었다.공정위는 대기업 4곳과 중소기업군의 총무 역할을 한 제룡전기·한국중전기사업협동조합은 검찰에 고발하기로 했다. 공정위 관계자는 “공기업의 비용 상승과 공공요금의 원가 인상을 초래하는 담합 행위를 엄정하게 제재한 사례”라고 했다."
2023-10-31,"HD현대일렉, 19兆 진도 해상풍력단지 참여","3.2GW조성, 대불조선 등과MOUHD현대의 전력기기·에너지설루션 계열사인HD현대일렉트릭이 사업비 19조원 규모의 전남 진도군 해상풍력발전단지 조성 사업에 참여한다.HD현대일렉트릭은 30일 진도 해상에 3.2GW(기가와트) 해상풍력발전단지 조성 사업을 위해 글로벌 신재생에너지 개발사인 퍼시피코에너지코리아, 씨에스윈드, 한국해양기술, 대불조선과 양해각서(MOU)를 체결했다고 밝혔다. 진도 해상에 3개 단지로 추진하는 풍력발전단지는 300만 가구에 전력을 공급할 수 있는 규모다.HD현대일렉트릭은 풍력 발전기의 핵심 기자재인 터빈과 해상 변전소용 전력기기 제작과 공급을 담당한다. 퍼시피코는 지분 투자와 사업 개발 전반을, 씨에스윈드는 풍력발전기 타워와 하부 구조물 공급, 한국해양기술은 해저케이블 설치와 사후 관리를 담당한다. 대불조선은 풍력발전기 유지 보수와 검사 대행, 보수용 선박 건조· 수리를 맡는다.정부는 ‘2050 탄소 중립’ 목표 달성을 위해 올 초 제10차 전력수급기본계획에서 2036년까지 국내 해상풍력 설비를 26.7GW로 확대하기로 했다.HD현대일렉트릭 관계자는 “대규모 해상풍력단지 개발 사업을 통해 탄소 중립 달성에 이바지할 것”이라고 설명했다."
2024-12-14,"AI 바람 타고… K전력 인프라 빅3, 1년 새 시총 3배로","K원전 이어 차세대 성장 엔진으로HD현대일렉트릭이 만드는 초고압(EHV) 변압기. 장거리 송전 때 전압을 높여 에너지 손실을 최소화하는 장비다.HD현대일렉트릭은 지난 8월 스웨덴의 한 전력회사로부터 초고압 변압기 5대를 공급하는 662억원 규모 계약을 따냈다. 효성중공업은 지난 11월 덴마크 해상풍력 기업 오스테드와 계약을 맺고 영국 해상발전 사업에서 사용할 변압기를 공급하기로 했다.LS일렉트릭도 지난 2일 한국전력·제너럴일렉트릭(GE) 합작사 카페스에 초고압 변환용 변압기 40대를 5610억원에 공급하는 계약을 따냈다.국내에서 변압기 등 전력 인프라 관련 기기를 주로 만드는 우리 기업들이 올해 국내 안팎에서 수주 행렬을 이어가고 있다. 그 결과HD현대일렉트릭, 효성중공업,LS일렉트릭 등 ‘빅3′ 기업의 시가총액은 13일 약 21조9900억원에 이른다. 작년 말 약 6조6700억원에서 1년 새 3배 이상이 됐다. 이 기간 코스피지수가 약 6% 하락한 것과 전혀 다른 양상이다.철강, 석유화학, 건설 등 기존 주력 산업이 부진한 상황에서 ‘K전력 인프라’가 차세대 동력 중 하나로 주목받으면서 생긴 변화다. 변압기, 차단기 등 각종 전력 기기는 몇 년 전만 해도 공장이나 산업단지 등에 들어가는 흔한 인프라 중 하나 정도로만 여겨졌다. 하지만 글로벌AI(인공지능) 개발 바람이 불면서 조연에서 핵심 주연으로 거듭나고 있다. 데이터센터 등에 안정적으로 대규모 전력을 공급해야 하는데 이때 필수인 초고압(EHV·ExtraHighVoltage) 변압기 등 핵심 장비가 부족한 상황이기 때문이다.여기에 세계 최대 시장인 미국의 전력 인프라 개선 사업과 친환경 청정에너지 전환이라는 변화까지 겹쳤다. 초고압 변압기 같은 높이 10m가 훌쩍 넘는 대형 설비는 하나를 만드는 데 1년 이상 걸리기도 하는 등 이를 생산할 수 있는 역량을 갖춘 기업이 많지 않다. 반면 효성중공업은 1969년,HD현대일렉트릭은 1978년 각각 변압기 개발을 시작하는 등 50년 안팎 기술력과 경험을 갖추고 있다. 글로벌 에너지 대전환 속 K원전 생태계가 주목받은 것처럼, K전력인프라 산업도 두각을 나타내기 시작한 셈이다.◇AI바람과 미국 인프라 정책 호재빅3 기업의 수주 잔고는 2022년 말 약 8조9000억원에서 지난 3분기 말 기준 17조2000억원으로, 2년 만에 1.9배가 됐다. 업계에서는 3곳 모두 5년 치 정도의 일감이 확보된 것으로 보고 있다. 이 때문에 실적도 크게 호전되고 있다.HD현대일렉트릭과 효성중공업,LS일렉트릭의 영업이익은 지난 2021년 총 2848억원에 그쳤지만, 작년 8978억원으로 늘었고, 올해 1~3분기(1~9월)에 1조원을 돌파했다.그래픽=양진경수출의 핵심 설비인 초고압 변압기는 발전소 등 전기를 만드는 시설에서 실제 전기를 사용하는 곳으로 송전(送電)하는 과정에서 전압을 높여 장거리 송전 때도 에너지 손실을 최소화하는 장비다. 현재 미국과 유럽 등 세계에서 일제히AI경쟁이 본격화하면서 많은 양의 전력을 사용하는 데이터센터 등이 곳곳에 빠르게 생겨나고 있는데, 이 장비는 공급이 달리고 있다. 여기에 미국이 작년 10월 35억달러(약 5조원)를 투자해 전국의 노후화한 전력 인프라를 개선하는 정책을 발표하면서 수요가 더 늘었다. 다음 달 새로 출범하는 트럼프 2기 정부도 인프라 개선을 이어가겠다는 방침이다. 글로벌 시장에서는 미국GE(제너럴일렉트릭), 독일 지멘스, 스위스의ABB,일본 히타치에너지 등이 대표적인 기업이다.◇성장 속 경쟁도 더 치열우리 기업들도 미국, 유럽, 중동 등으로 시장을 넓히고 있다. 초고압 변압기 수출액은 22년 3억8407만달러에서 작년 6억8341만달러로 늘었다. 올해는 연말까지 9억달러에 이를 것이란 전망이 나온다.효성중공업은 올해 유럽에 공을 들였다. 지난 7월 노르웨이 국영전력회사와, 8월에는 아이슬란드의 국영 전력회사와 각각 3300억원, 220억원 규모의 변압기와 차단기 등을 공급하는 계약을 맺었다.HD현대일렉트릭은 지난 2011년 미국 앨라배마에 지은 변압기 생산 공장을 기반으로 미국 시장을 집중 공략하고 있다. 이곳을 발판으로 사우디아라비아와UAE등 중동 수출도 늘려가고 있다.다만 다른 글로벌 기업들도 공장 증설 등에 잇따라 나서고 있어 경쟁도 한층 치열해질 전망이다. 히타치에너지는 최근 2027년까지 15억달러를 투자해 변압기 생산을 늘릴 예정이라고 했고, 지멘스도 지난 10월 미국 텍사스주에 1억5000만달러를 투자해 새 공장을 짓겠다고 발표했다."
2023-04-30,"HD현대 정기선, 美법인 찾아 ‘참전용사 가족’ 직원들 깜짝 한국 초청","“참전용사 희생에 감사, 발전된 한국 보여드릴 기회”방미 경제사절단 일원으로 미국을 방문한HD현대 정기선 사장이 방미 기간 중 미국 앨라배마 현지법인 등을 방문해 직원 격려 행사를 가졌다. 정 사장은 6·25전쟁 참전용사의 가족이 미국 법인서 일하고 있다는 사실을 확인해, 이들을 만나 한국 초청을 깜짝 제안하기도 했다.HD현대 정기선(왼쪽에서 네번째) 사장은방미 일정 중 미국 앨라배마주 몽고메리시에 있는HD현대일렉트릭 변압기 공장을 찾아 6.25 전쟁 참전용사를 가족으로 둔 직원들을 만났다. 정 사장과 기념촬영한 직원들./HD현대HD현대는 정 사장이 미국 앨라배마주 몽고메리시에 있는HD현대일렉트릭 변압기공장, 조지아주 애틀랜타시에 있는HD현대건설기계,HD현대인프라코어,HD현대일렉트릭 법인을 찾아 현장을 점검하고 직원들과 간담회를 가졌다고 30일 밝혔다.정 사장은 가족과 떨어져 먼 타지에서 지내는 주재원들을 격려하고, 북미시장에서 성과를 내고 있는 현지 직원들에게도 감사를 전했다고 한다. 2011년 설립된HD현대일렉트릭 앨라배마 법인은 3만8678㎡(약 1만1700평) 규모의 생산공장에 381명의 직원이 근무하고 있다.HD현대의 건설기계부문 계열사인HD현대건설기계와HD현대인프라코어도 애틀랜타시에 법인을 운영하고 있다.정 사장은 특히HD현대일렉트릭 변압기 공장에 재직 중인 직원 6명이 6·25전쟁 참전용사 가족이라는 사실을 알고, 이들을 따로 만나 감사와 존경의 뜻을 전했다고HD현대는 설명했다. 정 사장은 학군사관후보생(ROTC) 43기 출신으로 파주 제701특공연대에서 근복무를 마치고 육군 중위 전역했다. 부친 정몽준 아산재단 이사장도ROTC13기로 군 생활을 마쳤다.정 사장은 이들 직원과 만난 자리에서 “방산기업의CEO로서 참전용사의 용기와 희생에 항상 감사한 마음을 갖고 있었다”, “그분들께서 목숨을 걸고 지킨 대한민국의 발전된 모습을 보여 드릴 수 있는 기회가 됐으면 좋겠다”며 한국 초청을 깜짝 제안했다고 한다.6·25전쟁 참전용사의 아들로,HD현대일렉트릭 앨라배마 법인에서 2012년부터 일하고 있는 직원 ‘제프리 워’씨는 “생각지 못한 선물을 받아 너무 기쁘다”며 “아버지가 살아계셨다면 발전한 한국의 모습에 아주 기뻐하셨을 것”이라고 답했다고 한다."
2024-05-15,"한물 간 줄 알았는데.... 터빈·변압기·전선, ‘E산업’이 뜬다","가스터빈 수요 세계 각국서 폭증두산에너빌리티가 2019년 세계에서 다섯째로 개발에 성공한 발전용 대형 가스터빈. 두산에너빌리티는 세계적인 구전난(求電難) 속에 가스터빈 수요가 폭증하자, 미국GE,독일 지멘스 등이 장악해온 가스터빈 시장에서 입지를 넓혀가고 있다. /두산에너빌리티AI(인공지능)·데이터 센터·전기차 등 폭증하는 전력(電力·Electricity) 수요가 세계적으로 전력 산업 생태계 호황으로 이어지고 있다. 발전소 투자가 쏟아지면서 발전용 터빈, 변압기, 전선 등 장비도 ‘E(전력) 프리미엄’으로 수요가 폭증했는데, 공급이 따라가지 못하고 있다. 일론 머스크 테슬라 최고경영자(CEO)도 지난 4월 한 인터뷰에서 “AI발전에서 작년에는 엔비디아의 신경망 칩 부족이 문제였다면, 이제는 변압기 부족이 닥쳤다”고 했다. 전력 인프라 업계에선 “거대 시장인 미국의 전력 설비 교체 주기까지 맞물려 2030년까지는 호황이 이어질 것”이라고 전망하고 있다.‘기계공학의 꽃’으로도 불리는 가스터빈(두산에너빌리티), 초고압 변압기(HD현대일렉트릭) 등 전력 인프라 설비에서 기술력을 끌어올린 국내 기업의 세계시장 입지도 강화되고 있다. 200년 넘은 전력 설비 시장은 그간GE·지멘스 등 미국, 독일의 선진국 메이저 기업들이 시장을 장악해왔다. 그러나 세계 각지에서 ‘에너지 러시’가 벌어지면서 이들만으로는 쏟아지는 수요를 감당할 수 없게 됐다.그래픽=김성규두산에너빌리티는 한국중부발전이 경남 함안에서 추진 중인 함안복합화력 가스터빈 수주를 앞두고 있다. 가스터빈 시장이 수요 폭증으로 공급자 우위 시장이 되면서GE,지멘스 등 선두 기업들의 납품 날짜는 예측이 사실상 불가능했고, 두산에너빌리티가 단독 응찰했다. 2019년 발전용 대형 가스터빈 국산화에 성공한 두산에너빌리티는 이번 계약을 따내면 가스터빈 4호 수주다. 한 업계 관계자는 “미국, 독일, 일본 등 모두 기계 설비 분야에서 오랫동안 경쟁력을 쌓은 곳들”이라며 “전기 수요가 급격히 늘어나면서 난공불락이었던 시장에 균열이 생기고 있다”고 했다.이 같이 에너지 수요가 폭증하며 변압기, 전선 등 한물갔다고 생각했던 전력 관련 업체들은 ‘귀한 몸’이 됐다. 한국무역협회에 따르면, 올해 1분기 변압기 수출액은 5억4482만달러(약 7400억원)로 작년 동기 대비 81.9% 늘었다. 고압 케이블을 포함한 전선 수출도 1분기 6억7571만달러(약 9250억원)로 작년보다 45.7% 늘었다.LS일렉트릭·HD현대일렉트릭·효성중공업·대한전선 등 관련 기업 모두 호황을 이어가고 있다.반도체·자동차에 이어 신성장 동력이 될 것이라는 기대감도 나온다. 반도체·석유화학·철강 등 전력 다소비 업종을 뒷받침하면서 지난 수십년간 성장해온 한국의 전력 생태계만큼 노하우가 쌓인 곳이 없다는 것이다. 한전 사장을 지낸 조환익 국민대 특임교수는 “전력 산업은 성장성이 높고 경쟁력이 강한 산업 가운데 하나”라며 “정책적인 뒷받침을 통해 미래 신성장 동력으로 키울 필요가 있다”고 했다."
