date,title,content
2024-06-18,"HJ중공업, 5600억 규모 새만금공항 공사 수주","새만금국제공항 조감도./HJ중공업HJ중공업(옛 한진중공업)이 국토교통부 서울지방항공청이 발주한 새만금국제공항 건설공사의 실시설계 적격자로 선정됐다고 18일 밝혔다. 실시설계 적격자란 실제 공사를 맡을 사업자를 뜻한다.새만금국제공항은 2029년 개항을 목표로 추진되고 있는 사업으로,HJ중공업 컨소시엄은 활주로, 계류장, 관제탑, 항행 안전시설 등을 시공하게 된다. 총 공사비는 5600억원 규모다.HJ중공업이 컨소시엄의 대표주간사로서 35% 지분을 갖고 대우건설, 코오롱글로벌,KCC건설, 신성건설 등이 공사에 참여한다.HJ중공업은 지난 5월 말 설계심의평가에서 최고 점수를 받으며 수주 가능성을 높였다. 지반 침하를 최소화하고 1000년에 한 번 있을 수준의 홍수, 태풍 등 자연재해를 버틸 수 있도록 설계한 점이 높은 점수를 받은 것으로 알려졌다. 공항 이용자의 편의성을 높이고 운항 효율성을 극대화하는 ‘무중단 공항’ 운영계획을 수립한 점도 높은 점수를 얻었다.HJ중공업은 김포국제공항과 인천국제공항을 포함해 지금까지 건설된 국내 공항 16개 중 13개의 시공에 참여하며 공항 건설 분야의 경쟁력을 쌓아오고 있다. 회사 관계자는 “지금껏 축적한 공항 건설 실적과 노하우를 토대로 새만금국제공항 건설공사를 성공적으로 이끌어 국내 최고 공항건설 명가로서의 입지를 공고히 다질 것”이라고 밝혔다."
2024-12-27,컨테이너선·유조선부터 군함까지… ‘선박 조명’ 세계 1위,"[명문 장수 기업] (9) 대양전기공업 서영우 대표“배에 들어가는 전기 부품 중 가장 많은 비중을 차지하는 게 ‘조명’입니다. 선박 조명(마린 라이팅) 분야에선 우리가 국내뿐 아니라 해외에서도 점유율 1위를 자랑합니다.”대양전기공업 서영우(52) 대표는 선박용 조명을 시험하는 라인을 가리키며 이렇게 설명했다. 올해로 47년 된 이 업체는 중국·튀르키예 등 세계 33국에 선박용 조명을 수출한다. 작년 매출액 1342억원 중 절반이 수출에서 나왔다. 전 세계의 컨테이너선과 유조선,LNG(천연가스) 운반선은 물론 군함에도 이 회사의 선박용 조명이 투입된다. 유독 남다른 기술력을 자랑하는 덕분이다.선박용 조명 시장에서 1990년대부터 줄곧 세계 1위인 대양전기공업의 서영우 대표가 회사 내 대형 암실에서 테스트용 조명을 들고 포즈를 취했다. 대양전기공업의 조명 제품은 컨테이너선과 유조선,LNG(천연가스) 운반선은 물론 군함에도 투입되고 세계 33국에 수출된다. 서 대표는 “지난해엔 회사 매출 절반이 수출에서 나왔다”고 했다./김동환 기자선박에 쓰는 조명은 물과 진동, 염분, 폭발을 견딜 수 있어야만 한다. 엔진 때문에 생기는 진동으로 쉽게 조명이 꺼져도, 작은 불꽃 하나가 인화성 가스와 만나 불이 붙어서도 안 된다. 길게는 6개월씩 검사 절차를 밟는다. 그만큼 기술 개발과 검증 조건이 까다롭다. 서 대표는 “선박 조명은 보통 바닷물에 자주 잠기는 등 염분이 많은 환경에 노출되기 쉽고, 그만큼 부식도 쉽게 될 수 있어 예민하게 제작해야 한다”면서 “적도나 북극, 영하 60도부터 영상 50도까지 온갖 극한 환경에서도 조명이 부식되지 않도록 수백 번 검사를 거쳐 제품을 만든다”고 했다.회사는 본래 서 대표의 아버지인 고(故) 서승정 사장이 1977년 부산에서 시작했다. 첫 이름은 ‘대양전기제작소’였다. 당시만 해도 국내 선박업체들은 조명을 독일·일본 등에서 전량 수입해 왔다. 서승정 사장은 대한조선공사(현HJ중공업)에서 10여 년간 선박 내 전기 설계를 맡았던 경력을 살려서 선박 조명의 국산화에 착수했다. 제품 개발 초기엔 보름씩 배에 올라 선원들과 운항에 나서며 같이 먹고 자는 일이 적지 않았다. 실제 선박에서 생활하면서 제품을 고쳐 나가야만 고품질 상품을 만들어낼 수 있다고 믿어서다. 10여 년을 꼬박 연구에 매달린 끝에 선박용 조명 국산화에 성공, 1990년대 후반에 이르러서는 업계 점유율 세계 1위를 차지했다.지난 2월에는 ‘스마트 조명 제어 시스템’의 국산화에도 성공했다. 선박 구역에 따라 조명이 스스로 조도를 조절하는 시스템이다. 선박 내부 복도에 들어가는 조명은 사람이 통행할 때만 켜지고, 엔진룸에선 시간에 따라 스스로 조도를 바꾸는 식이다. 이를 통해 근무시간 외에는 밝기를 평소의 5%까지 줄이고 탄소를 절감하는 기술이다. 서 대표는 “전 세계적으로 스마트 선박이 늘어나는 만큼 조명 시스템도 스마트로 바뀌는 추세”라고 했다.이 회사가 조명 기술만 남다른 것은 아니다. 2006년에는 세계에서 넷째로 바다의 97%를 탐사할 수 있다는 6000m급 무인 잠수정도 개발했다. 2009년에는 함내외통합통신시스템(ICS) 사업을 우리 기술로 독자적으로 만드는 데도 성공했다. 이른바 ‘군함의 신경망’으로도 불릴 만큼 핵심적인 통신 체계 중 하나인데, 이전까지만 해도 국내 업체들은 해당 시스템을 독일·프랑스에서 수입하고 있었다. 서 대표는 “현재 대한민국 해군 함정의 100%가 이제 우리 회사의ICS를 쓰고 있다”면서 “ICS는 국가 안보와 직결되는 기술인 만큼, 반드시 국산화에 성공해야 한다고 보고 개발을 시작했고, 결국 만들어냈다”고 말했다.2000년부터는 철도 배전반 사업도 하고 있다. 철도 배전반은 철도 차량에 설치된 모든 전기 기기의 작동과 제어에 쓰이는 전력을 수전하고 배전(전기를 최종 소비처에 공급)하는 장치다. 현대로템에 납품,KTX와SRT에서도 대양전기공업 제품을 쓴다. 4년여 전부터는 일본 전자회사 히타치를 통해 대만 철도에도 납품하고 있다.대양전기공업은 요즘도 매년 전체 직원 370명 중 90명(약 24%) 정도를 연구·개발(R&D)에 투입하고 있다. 앞으로AI(인공지능) 연구 및 투자도 강화해 나간다는 계획이다. 서 대표는 “연구·개발 인력이 4분의 1인 우리는 거의 스타트업이나 다름없는 회사지만, 창업주인 아버지가 ‘애국을 위해선 밑바닥 기술부터 우리 것으로 만들어야 한다’고 했던 만큼 앞으로도 연구·개발에 대한 투자를 아끼지 않겠다”고 했다."
2024-07-15,수주 호황? 딴 나라 얘기… 중소 조선사들의 분투,"대형 3사와 달리 생존경쟁12일 부산 영도구HJ중공업 조선소 현장에서 직원들이 친환경 선박을 만들고 있다. 이 회사 직원들은 대형 조선 3사와 차별화되는 ‘빠른 납기’를 달성하기 위해 무더운 날씨에도 다수가 나와 일하고 있었다. 중소 조선사들은 수주 호황을 맞은 대형 조선사들과 달리, 생존을 위해 차별화나 신사업에 사활을 걸고 있다. /김동환 기자지난 12일 부산 영도구에 있는HJ중공업(옛 한진중공업) 조선소. 금요일인 이날은 무더위를 고려해 전사 차원에서 휴무 권고일이었는데, 약 1800명 직원이 출근해 작업이 한창이었다. 협력사 직원을 포함해 3000여 명이 일하는 조선소 전체 인원의 절반 넘는 숫자였다. 안벽(岸壁·선박을 접안하도록 만든 구조물)에선 이달 중순 노르웨이 선주(船主)에 인도 예정인 5500TEU급 중형 친환경 컨테이너선 ‘콜로라도’호의 마무리 작업이 분주히 이뤄지고 있었다.HJ중공업은 한때 필리핀까지 진출한 수비크 조선소를 포함해 세계 6위권까지 올랐지만, 2010년대 조선업 불황 직격탄을 맞았다. 이후 부산 영도조선소와 거제 블록 공장으로 규모가 줄었다. 2021년 약 5년간의 채권단 관리를 마치고 새로 출발한 이 회사는 ‘친환경 선박’ 수주 원칙을 세웠다. 중국의 저가 공세가 극심한 일반 컨테이너선 대신 ‘메탄올 추진선’ 등 탄소 배출을 줄이는 친환경 연료를 사용하는 차세대 선박 시장에서 경쟁을 택한 것이다. 국제해사기구(IMO)의 탄소 배출 규제 강화에도 선제적으로 대응한 선택이었다. 2021년 말~2022년 초 친환경선박 6척을 수주하며 상선 사업을 재개했는데, 6번째인 콜로라도호까지 모두 납기를 준수해 건조했다. 이후 6척을 추가 수주했다.조선업 ‘수퍼 사이클’을 맞아 몇 년치 일감이 쌓이는 등 국내 대형 조선 3사의 수주 낭보가 연일 이어지고 있다. 그러나 한편에선 조선 3사와 사실상 다른 시장에서 중국과 치열하게 경쟁하는 중소·중견 조선사의 분투도 이어지고 있다.한국 조선업은HD한국조선해양, 한화오션, 삼성중공업 3사가 초대형 컨테이너선‧액화천연가스(LNG) 운반선 등을 내세워 선두에 서고,HJ중공업, 대선조선, 케이조선(옛STX조선해양) 등이 중소형 컨테이너선‧벌크선‧유조선(탱커) 같은 다양한 선종으로 뒤를 받치며 글로벌 조선 시장을 호령했다.그러다 2008년 금융 위기 이후 2010년대 조선업 장기 불황의 늪을 겪었고, 최근 호황기를 맞았다. 조선 3사는 3~4년치 일감이 쌓여 수익성 위주 선별이 가능할 정도로 유리한 상황이지만, 중견·중소 조선사는 벼랑 끝이다. 중소형 컨테이너선과 유조선 시장에서 중국의 저가경쟁에 집중 타격을 받아 ‘기본 체력’이 약해졌기 때문이다. 그러나 수주 잔량 기준으로 한때 국내 조선업의 4분의 1까지 차지했던 중소 조선사들은 납기 경쟁력 강화, 친환경 선박 수주, 해상풍력 구조물 사업 전환, 데이터센터 구축 등 다양한 생존 전략을 시도하며 버티고 있다.'조선 1번지’에서 중견·중소 조선사 생존경쟁HJ중공업 조선소에는 ‘대한민국 조선1번지’라고 쓰인 기념석이 세워져 있다. 1937년 최초의 근대 조선소인 ‘조선중공업’이 전신으로, 이 회사를 중심으로 영도조선소단지에 중견·중소 조선사들이 붐볐다.HJ중공업과 대선조선(1963년 설립) 등은 유구한 역사를 자랑했다. 그러나 최근 영도 일대 조선업 위기가 커지며 신사업 발굴에 사활을 걸고 있다.영도에 있는 중소 조선사 마스텍중공업은 안벽 2기, 크레인 3대를 갖춰 중·소형 선박 4척을 동시에 건조할 수 있다. 그러나 이 회사는 조선소 부지에 해양·물류 관련 데이터센터 건립을 추진하고 있다. 해상풍력 구조물 사업도 검토했지만 중소 조선사의 한계가 있어 과감하게 업종 전환에 나선 것이다. 중형 조선사의 한 축이었던 대선조선은 워크아웃(기업개선 작업) 절차를 밟고 있다. 생산 거점인 영도조선소를 매각해 재무구조를 개선하고, 향후 해상풍력 하부구조물 사업 확대를 검토하고 있다. 한때 10위권 선박 수주량을 기록했던 중견 조선사HSG성동조선도 현재는 해상풍력 하부구조물로 사업을 전환했다. 부산에서 수리 조선업을 하던 제일SR그룹은 공터로 변한 조선소단지에 대형 카페 등 복합문화단지까지 조성했다.HD현대重 군산조선소는 블록 생산에 사활국내에서 규모가 작은 조선소 대부분은 국내용 소·중형 선박이나 선박 블록 제작 업체가 모태다. 2000년대 호황기 때 조선소로 규모를 키웠지만, 지금은 다시 규모를 줄이거나 사업 전환을 해야 하는 상황이다.HD현대중공업의 군산조선소에서는 선박 부품에 해당하는 ‘블록’을 생산해 울산으로 보낸다. 지역사회에선 선박 건조를 포함한 완전 재가동을 희망하지만, 생산 효율성과 경제성이 떨어져 현실적으로 선박 건조는 어렵다는 평가다.정부가 나서RG(선수금 환급보증제) 한도를 확대하며 지원하지만, 고질적 인력난이 한계로 꼽힌다.RG는 조선사가 선주와 계약 체결 후 선주에게 선박을 인도하지 못하면 선주가 지급한 선수금을 은행에서 책임져주는 제도다. 재무가 불안한 중소 조선사가 적극적인 수주에 나서려면RG보증 확대가 필요하다. 지난 6월 5대 시중은행과 함께 3개 지방은행, 기업은행은 중형 조선사에 대해 1조원RG공급을 지원하기로 결정했다. 조선업계 관계자는 “RG보증 확대는 반가운 일이지만, 인력이 부족한 상황은 쉽게 해결되지 않고 있다”고 말했다."
2022-02-24,인권위 “해고노동자 김진숙 복직 환영… 어두운 과거 청산한 것”,"국가인권위원회.국가인권위원회가HJ중공업(옛 한진중공업) 해고노동자인 김진숙 민주노총 부산본부 지도위원의 명예복직을 환영한다는 뜻을 밝혔다.인권위는 24일 송두환 위원장 명의로 성명을 내고 “김씨의 복직은 단순히 개인의 명예 회복을 넘어서는 인간 존엄성 회복이자, 군부독재 시대에 자행된 국가폭력의 어두운 과거를 청산하는 것”이라며 “HJ중공업과 민주노총 금속노조가 해고 노동자 김진숙의 명예 복직 및 퇴직에 합의한 것을 환영한다”고 밝혔다.1981년 한진중공업에 용접공으로 입사한 김씨는 노동조합 활동을 한다는 이유로 1986년 해고됐다. 이후, 김씨는 부당해고를 주장하며 소송과 복직 운동을 이어왔다. 인권위는 작년 2월 당시 단식 중이던 김씨의 농성 현장을 방문하고, 위원장 명의로 김씨의 복직을 촉구하는 성명을 발표했다.결국 김씨가 해고된 지 36년 만인 지난 23일HJ중공업과 민주노총은 김씨의 명예복직과 퇴직에 합의했다.송 위원장은 “노동자에게 해고는 단순히 일자리를 잃는 고통에 머무는 것이 아니라, 노동자 개인과 그 가족, 더 나아가 그 사회구성원의 존엄과 보편적 인권을 위협하기도 한다”며 “그의 복직은 오랫동안 해결하지 못해 온 노동 존중에 대한 우리 사회의 과제이자 소명이었다”고 했다.이어 “인권위도 노동인권이 한걸음 한걸음 나아가는 그 길 위에서 제 역할을 할 수 있도록 지속적으로 노력하겠다”고 말했다."
2023-10-26,"부산 오페라하우스 2026년 말 완공…파사드, ‘트위스트 공법’으로 건립","부산 동구 부산항 북항재개발구역 안에 짓고 있는 부산오페라하우스 정면부(파사드) 조감도./부산시건물 정면부(파사드) 공법 문제로 착공 후 5년 5개월이 되도록 공정률 40%에 머물고 있는 부산오페라하우스가 결국 당초 공법대로 건립된다. 그러나 공법 논란으로 중간에 공사가 중단되면서 완공 시기가 2026년 말로 늦춰졌다. 현재 3117억원으로 잡힌 공사비도 더 늘어날 것으로 보인다.부산시는 26일 부산오페라하우스 파사드를 트위스트 공법으로 건설하기로 최종 결정했다고 밝혔다. 시는 지난 3월부터 트위스트, 스마트노드, 폴딩 등 3가지 파사드 공법을 놓고 검증을 해왔다. 진주를 품은 조개 형상으로 설계된 부산오페라하우스의 파사드는 바다를 향해 평면이 아닌 비정형 곡면으로 짓도록 돼 있었다.전체 유리로 된 이 곡면은 오페라하우스 건물의 랜드마크성을 드러낼 중요 특징 중 하나. 곡면을 실제로 구현할 공법은 지난 2012년 국제공모로 확정된 설계 때엔 ‘트위스트 공법’으로 돼 있었으나 2018년 5월 착공 후 시공사인HJ중공업 측이 실제 시공이 어렵다며 이의를 제기하면서 논란에 휩싸였다. 시공사, 설계사, 감리사, 발주자인 부산시 등이 2년여 동안 공방을 벌였다.부산 동구 부산항 북항재개발구역 안에 건립 중인 부산오페라하우스 /부산시이에 따라 시는 트위스트·스마트노드·폴딩 등 관련 공법을 놓고 3차원 좌표를 기반으로 한 실시설계, 실물모형 제작, 구조·성능실험, 당초 설계자 현장 방문, 공법 검증·자문위원회 회의 등 검증 절차를 거쳐 이번에 공법을 최종 확정했다.시 관계자는 “검증 결과, 3가지 공법 모두 곡면 파사드 건립을 할 수 있으나 트위스트 공법으로 시공한 사례가 다수 있고 이미 시공된 본 구조물과의 연계성 등을 고려할 때 리스크 관리에 유리하다는 점 등을 고려, 당초 설계대로 트위스트공법을 적용하기로 결정했다”고 말했다.파사드 규모는 8835㎡다. 시 측은 “트위스트 공법이 적용된 곡면 파사드로선 셰계 최대 규모급”이라고 말했다.당초 트위스트 공법 적용 불가 입장이었던HJ중공업도 이번에 3차원 좌표 기반 실시설계 등이 나옴에 따라 트위스트 공법으로 시공이 가능하다고 의견을 정리했다. 시 관계자는 “향후 4개월 동안 트위스트 공법을 적용한 재설계와 경제성 검토를 한 뒤 지난 3월 중단한 공사를 내년 2월부터 재개할 것”이라며 “공사 재개 후 완공까지 33개월 가량 기간이 소요될 전망”이라고 말했다.부산오페라하우스 파사드(정면부) 건립에 적용될 '트위스트 공법' 으로 만들어진 실물./부산시따라서 오페라하우스 완공은 2026년 말쯤 이뤄질 전망이다. 오페라하우스 완공은 2018년 착공 당시 2020년이었다가 지방선거 정권 교체, 파사드 공법 논란 등으로 공사가 중단되면서 2024년, 2025년 등으로 늦춰졌다가 이번에 2026년 말로 잡혔다. 착공 8년7개월여 만에 완공하는 셈이다.공사비도 그동안 착공·공사 지연·물가상승 등으로 인해 당초 2115억원에서 2500억원, 3050억원으로 늘어났고 이번 검증 과정에 비용 67억원이 추가되면서 3115억원이 됐다. 그러나 또 완공 시기가 늦춰지면서 실제 공사비는 더 불어날 가능성이 클 것으로 업계에선 보고 있다.이와 관련, 시 관계자는 “완공 때까지 재설계와 재시공, 물가변동(ESC) 비용 등을 시공사 측이 다 부담하기로 했다”며 “따라서 완공 시기 지연에 따른 공사비 증가는 더 이상 없을 것”이라고 말했다.HJ중공업 관계자는 “그동안 영화의전당 등 부산의 상징적 문화시설을 지어온 대표적 향토기업으로서의 책무를 다하기 위해 재설계 등 추가 비용을 부담하기로 했다”고 말했다.부산오페라하우스는 오페라, 발레, 뮤지컬 등을 공연할 수 있는 대극장(1880석)과 소극장(300석) 등을 갖추고 부산항 북항 1단계 재개발구역에 지하 2층, 지상 5층, 전체면적 5만1617㎡ 규모로 지어진다."
2023-08-25,"하도급법 상습 위반, 과징금 최대 50% 더 물린다","/연합뉴스하도급법을 상습적으로 위반하는 업체에 대한 과징금 가중 수준이 현행 10~20%에서 20~50%로 높아진다. 예컨대 3년간 네 번 넘게 법을 어겨 경고 이상 조치를 받고, 벌점이 4점 이상인 원청 업체의 경우 과징금을 최대 50% 더 부과받을 수 있게 된다.24일 공정거래위원회는 이런 내용을 담은 ‘하도급법 과징금 고시 개정안’을 행정 예고했다. 하도급법을 어겨 과징금을 내고서도 계속 법을 위반하는 업체가 많아 처벌 수위를 높인 것이다. 기존에 과징금을 20~50% 가중하도록 돼 있는 대규모유통업법이나 대리점법 등 갑을 관계를 규율하는 다른 법에 비해 가중 처벌 수위가 약하다는 점도 고려했다.공정위는 지난 3년간 하도급법 위반으로 경고 이상 조치를 3회 이상 받은 사업자를 ‘하도급법 상습법위반사업자’로 선정해 관보와 공정위 홈페이지에 1년 동안 명단을 공표한다. 입찰 참가 자격 사전 심사나 물품구매 적격심사 시 불이익도 준다. 하지만 이런 불이익에도 거래상 지위 격차가 큰 원사업자와 중소수급 사업자 간의 하도급 거래에서 반복적으로 법을 어기는 일이 많은 것으로 나타났다.공정위에 따르면 최근 5년(2018~2022년)간 하도급법 상습법위반사업자로 선정된 업체는 31곳이다. 공정위 관계자는 “공정위 제재에 불복 신청해 소송 중인 경우 명단 공개가 되지 않기 때문에 따지면 추후 상습 법 위반 업체가 더 늘어날 수 있다”고 했다.현재 상습 법 위반으로 올해 6월부터 내년 6월까지 홈페이지에 명단이 공개된 업체는HJ중공업(옛 한진중공업) 1곳이다.HJ중공업은 최저 입찰 금액보다 낮은 금액으로 하도급 대금을 결정하고, 하도급 업체에 선박 제조 작업을 맡기면서 작업 내용과 대금 지급 방법 등 서면을 공사 이후에 발급하는 등 법을 어겨 공정위로부터 과징금 처분을 받았다."
2024-05-15,"HD한국조선해양, 필리핀 수빅조선소에 ‘해상풍력’ 거점 구축","HD현대의 조선 부문 중간지주사HD한국조선해양이 필리핀에 해상 풍력 생산 거점을 구축하고 사업을 본격화한다. 주력 자회사인HD현대중공업은 최근 기존 조선해양사업부를 상선을 담당하는 조선과 해양플랜트, 신재생에너지 등을 총괄하는 해양에너지 사업으로 분리하고, 이달 1일 신재생에너지 사업을 담당하는 ‘해양에너지사업본부’를 출범시킨 바 있다.지난 14일(현지 시각)HD한국조선해양과 미국계 사모펀드 서버러스 캐피탈이 필리핀 대통령 관저(말라카냥궁)에서 수빅 조선소의 향후 운영 계획 등을 발표하는 행사가 열렸다.김성준(왼쪽부터)HD한국조선해양 대표, 페르디난드 마르코스 주니어 필리핀 대통령, 알렉스 버나드 서버러스 캐피탈 아시아 총책임자.HD한국조선해양은 14일(현지 시각) 필리핀 대통령 관저(말라카냥궁)에서 마르코스 필리핀 대통령 등이 참석한 가운데 서버러스 캐피탈과 필리핀 수빅조선소 야드의 향후 운영 계획 등을 발표하는 행사를 가졌다.필리핀 수도 마닐라 북서쪽으로 110km떨어진 수빅만에 있는 필리핀 수빅 야드는 과거 2006년 한진중공업(현HJ중공업)이 조성한 이후 선박 건조를 이어오다 2019년 세계 조선 경기 악화 등으로 인해 가동이 중단됐다. 전성기에는 약 2만명을 고용하면서 당시 세계에서 넷째로 큰 조선소라는 평가도 받았다.지금은 미국계 사모펀드인 서버러스 캐피탈이 소유하고 있고, 필리핀 해군 등이 해군기지로 활용하고 있다. 필리핀에 군함을 수출한HD현대중공업도 2022년 수빅 야드 내 군수지원센터를 설치해 필리핀 해군에 인도한 함정들에 대한 유지⋅보수⋅정비 활동을 지원하고 있다.한진중공업(현HJ중공업)이 2006년 필리핀 수빅만 경제자유구역 내에 조성했던 수빅조선소의 옛 모습./조선DB향후HD한국조선해양은 해상풍력 하부 구조물 제작 및 함정MRO(유지·보수·운영) 사업 확대 등을 위해 수빅조선소 야드 일부 부지와 설비를 임차하기로 하고, 세부 조건들에 대해 조율해 나가기로 했다. 필리핀 정부와 향후 긴밀한 협력을 통해 수빅야드를 해상풍력 하부 구조물과 선박 블록 제작, 선박 수리 등이 가능한 ‘해양복합단지’로 육성한다는 계획이다. 구체적인 투자 규모, 임차 비용 등은 향후 구체적으로 논의할 예정이다.대통령 관저에서 열린 행사에는 페르디난드 마르코스 주니어 필리핀 대통령, 프레드릭 고 경제투자 특별보좌관, 에두아르도 알리노 수빅 경제자유구역청장 등 필리핀 관계자, 김성준HD한국조선해양 대표와 주원호HD현대중공업 특수선 사업대표, 이상화 주필리핀 한국 대사, 메리케이 칼슨 주필리핀 미국 대사, 서버러스 캐피탈 관계자들 등이 참석했다.HD한국조선해양은 아태평양 중심에 있는 필리핀을 거점으로 2030~2050년 급성장할 것으로 예상하는 호주, 대만, 일본, 베트남, 인도, 필리핀 해상풍력을 공략한다는 계획이다.HD현대중공업은 지난 4월 스코틀랜드 경제개발기구들과 부유식 해상풍력 사업 협력 양해각서(MOU)를 체결한 바 있으며, 이번 해외 제작기지 구축을 통해 해상풍력 사업 확대에 박차를 가한다는 계획이다.김성준HD한국조선해양 대표는 “이번 양자 간 협력이 한국과 필리핀 간의 긴밀한 경제 협력을 이끄는 초석이 되리라 확신한다”며 “HD한국조선해양의 글로벌 오퍼레이션 경험과 노하우를 살려 수빅 야드의 조기 가동과 안정화가 이루어질 수 있도록 노력하겠다”고 밝혔다."
2024-05-16,필리핀 수비크 조선소에 해상풍력 사업 기지 구축,"HD한국조선해양, 현지서 행사HD한국조선해양 필리핀 해상풍력 제작기지 구축./뉴시스해상풍력 사업을 확대하는HD한국조선해양이 필리핀 수비크 조선소에 새로운 생산 거점을 만든다.HD한국조선해양은 지난 14일 필리핀 대통령 관저에서 페르디난드 마르코스 주니어 필리핀 대통령 등 필리핀 정부 관계자, 수비크 조선소를 소유한 미국계 사모펀드 서버러스 캐피털과 함께 수비크 조선소 활용 계획을 발표하는 행사를 개최했다고 15일 밝혔다.HD한국조선해양은 수비크 조선소 야드 일부 부지와 설비를 빌려 해상풍력 하부 구조물 제작, 선박 블록 제작, 선박 수리가 가능한 해양복합단지로 육성한다는 계획이다. 지난 1일 신재생에너지 사업을 담당하는 해양에너지사업본부를 출범하고, 해상풍력 사업을 강화하는HD한국조선해양은 아시아·태평양 해양 중심지인 필리핀이 해상풍력 제작 기지로 최적의 입지라고 판단했다.필리핀 수도 마닐라 북서쪽으로 110km떨어진 수비크 조선소는 2006년 한진중공업(현HJ중공업)이 선박 건조를 이어오다 2019년 조선 경기 악화 등으로 문을 닫았다. 호황 때는 약 2만명을 고용하면서 세계에서 넷째로 큰 조선소라는 평가도 받았다. 지금은 필리핀 해군이 기지 등으로 활용하는데, 필리핀에 군함을 수출한HD현대중공업은 2022년 이곳에 군수지원센터를 설치해 유지·보수·정비 활동을 지원하고 있다."
2022-03-07,"[부동산 100자 정보] 인천 건축박람회, 10~13일 열려 외","인천 건축박람회, 10~13일 열려동아전람이 주최하는 ‘제5회 인천 건축박람회’가 이달 10~13일 인천 송도컨벤시아에서 진행된다. ‘가구 엑스포’,‘스포츠 레저산업박람회’,‘차 공예 및 핸드메이드 페어’도 함께 열린다. 관람시간은 오전 10시~오후 6시.인테리어 아카데미, 국가사업 운영기관 선정LX하우시스는 작년 12월 개관한 인테리어 시공 교육기관 ‘LX지인(Z:IN) 인테리어 아카데미’가 ‘국가인적자원개발컨소시엄 사업’ 운영기관으로 선정됐다고 6일 밝혔다.LX하우시스는 인테리어 시공 인력 교육에 들어가는 사업비를 국가에서 지원받고, 참가자들도 무료로 교육을 받을 수 있다. 지난 2일 시작된 일반인 대상 ‘신규 시공 인력 양성 과정’엔 70명 모집에 약 800명이 지원했다.주택 브랜드 ‘해모로’ 새 로고 공개HJ중공업(옛 한진중공업)은 주택 브랜드 ‘해모로’를 16년 만에 전면 개편하고, ‘자연과 첨단이 조화된 햇살 가득한 집’을 표현한 새 로고〈사진〉도 공개했다."
2024-06-19,[부음] 나기봉씨 별세 외,"▲나기봉별세,나승균HJ중공업 재무본부장 부친상,최석홍풍림산업 공공영업 파트장 빙부상=17일22시30분 전남 목포 효사랑장례식장, 발인 20일8시40분, (061)242-7000▲박경종한국성악가협회 사무총장 별세,정윤주남편상,박하람·박하완부친상=17일22시 분당제생병원, 발인 20일5시30분, (031)781-6721▲서기종前 독도의용수비대 제1전투대장 별세,오정필남편상,서정일·서정국·서정욱前 울산시 선거관리위원회 상임위원 부친상=18일12시10분 울산전문장례식장, 발인 20일6시, (052)289-5491"
