date,title,content
2022-07-02,“따까리잖아요”…광고인들 뿔나게 한 ‘나는 솔로’ 제작진 한마디,"“어떻게 보면 따까리잖아요”미혼남녀들의 데이팅 프로그램SBS플러스 ‘나는SOLO’(나는 솔로)가 직업 비하 논란에 휩싸였다. 남성 제작진이 광고회사에 재직 중인 여성출연자를 “따까리”(심부름꾼)라고 했기 때문이다.남성 제작진이 광고회사에 재직 중인 옥순에게 ""따까리잖아요""라고 말하는 모습/SBS플러스 유튜브문제가 된 발언은 지난달 29일 방송분에서 나왔다. 여성 출연자 옥순(37)과 제작진은 사전 인터뷰에서 옥순의 직업에 대해 이야기를 나눴다. 옥순의 직업은 P그룹 광고기획자(AE·AccountExecutive). 옥순은 “전 세계에서 제일 큰 광고회사에 다닌다. 다양한 외국기업의 광고주를 갖고 있다”고 소개했다. 그러자 남성 제작진은 “어떻게 보면 따까리지 않냐”고 했다. 자막은 ‘따까리’ 대신 ‘심부름꾼’으로 순화됐다. 제작진 말에 옥순은 “그렇죠”라며 웃었다.이날 방송이 끝난 뒤, 직장인 커뮤니티 ‘블라인드’에서는 남성 제작진의 ‘따까리’ 발언이 화두에 올랐다. 특히 광고인들은AE를 비하했다며 분개했다.직장인 커뮤니티 블라인드LG그룹 계열사HS애드에 재직 중인 네티즌은 “광고AE=따까리? 왜 그PD는 남의 직업을 평가 절하하는지. 그리고 그 출연자는 전국의 광고AE를 싸잡아 끌어내리는지 모르겠네. 그렇지 않아도 힘들고 짜증 나는 직업인데 나만 예민충이라 그런 게 불편한지 모르겠네”라며 불쾌감을 드러냈다.현대자동차에 재직 중인 네티즌은 “나는 솔로PD저만 이상하냐. 여자분한테 아예 멀쩡한 직업을 따까리라고 칭하던데 이게 그냥 방송에 나오는 것도 신기하다. 자부심 가지고 열심히 일하시는AE분들 항상 대단하다 생각했는데 심부름꾼?PD는 얼마나 대단하길래 직업을 천대하나요?”라고 지적했다.직장인 커뮤니티 블라인드해당 글에 광고인들은 “난 안보고 있었는데 남편이 혼자TV보다가 미쳤네 저거. 나는 솔로 다신 안 본다 하길래 왜 그러냐니까 이야기 해주더라. 광고인 가족까지 기분 더러운 발언이었음”(제일기획), “아 진짜 불쾌하다. 직업을 대놓고 비하한 적이 있었나?”(대홍기획), “본인이 무슨 돈으로 콘텐츠 제작하는지 곰곰이 생각해보셔야 할 듯”(HS애드), “7월 매체 뺀다”(이노션) 등의 댓글을 달며 분노했다.‘따까리’ 발언은 이날 방송에서는 그대로 나갔지만,SBS플러스 공식 유튜브에서는 ‘따까리’ 발언만 쏙 빠졌다. 제작진 역시 ‘따까리’ 발언의 논란을 어느 정도 인지하고 있는 것으로 추정된다. 그러나 온라인 커뮤니티, 인스타그램 등에는 ‘따까리’ 발언만 짜깁기된 영상이 빠르게 확산하고 있어 논란이 지속될 것으로 보인다."
2023-11-23,㈜LG 인사... 박준성 ESG팀장 부사장 승진,"LG그룹 지주사인 ㈜LG와 그 자회사 D&O,HS애드가 23일 이사회를 열고 2024년도 임원인사를 실시했다고 밝혔다. ㈜LG에선 권봉석 대표이사 부회장, 하범종 경영지원부문장 사장, 홍범식 경영전략부문장 사장 등이 유임됐다. 박준성ESG팀장이 부사장으로 승진했으며, 이은정 인사 담당 상무가 전무로 승진해 인사팀장을 맡는다. 다음은 인사 명단.=㈜LG=■ 부사장 승진(1명)박준성ESG팀장■ 전무 승진(1명)이은정 인사팀장 (여)■ 상무 선임(1명)윤봉국■ 전입 (2명)장승세 화학팀장(전무) [現LG에너지솔루션]이상우 전자팀장(전무) [現LG전자]=D&O=■ 상무 선임(1명)오세철=HSAd=■ 전무 승진(1명)이상훈■ 상무 선임(1명)이석재"
2023-11-24,"LG디플 CEO 정철동, LG이노텍 새 수장은 1970년생 문혁수","그래픽=조선디자인랩 정다운LG디스플레이 신임 최고경영자(CEO)에 정철동LG이노텍 사장이 선임됐다. 정 사장이 자리를 옮긴LG이노텍에서는 문혁수(1970년생) 부사장이LG그룹 첫 1970년대생CEO로 선임됐다. 전날LG에너지솔루션CEO에 전임 권영수 부회장보다 열두 살 적은 김동명(1969년생) 사장이 선임된 데 이어 올해 인사에서 세대 교체 트렌드가 뚜렷하다는 평가가 나온다.LG디스플레이는 23일 정철동 사장을 새CEO로 선임하는 내용을 포함한 정기 임원 인사를 발표했다. 정 사장은 다음 달 1일부터 공식 업무를 시작하며 내년 3월 주총과 이사회를 거쳐 대표이사에 정식 선임된다. 1984년LG반도체 입사 후,LG디스플레이와LG화학,LG이노텍 등LG그룹의 부품·소재 부문 계열사를 두루 거쳤다. 지난 5년간LG이노텍 대표를 지내며 카메라 모듈에서 글로벌 1위를 굳히고, 전장부품·기판소재 등 미래 성장 사업 기반을 강화했다는 평가를 받는다. 앞서LG디스플레이에선 생산기술센터장과 최고생산책임자로서 원천기술 확보와 디스플레이 생산 기반을 안정적으로 구축했다.LG이노텍에선 최고전략책임자(CSO) 역할을 수행해온 문혁수 부사장이CEO로 선임됐다. 문 부사장은 2009년LG이노텍으로 옮겨 광학솔루션 개발실장, 연구소장, 사업부장을 거치며 광학솔루션 사업을 세계 1위로 키우는 데 핵심 역할을 했다는 평가를 받는다. 지난해부터는CSO를 맡아 신사업 발굴과 사업포트폴리오 재편을 주도해 왔다. 이 밖에 김영민LG경영연구원 원장과 김인석LG스포츠 대표도 부사장에서 사장으로 승진했다.▲㈜LG▷부사장 박준성▷전무 이은정▷상무 윤봉국▲LG디스플레이▷부사장 김성현▷전무 석명수▷상무 곽태형 성연우 이경형 이민형 조승현 최낙봉▲LG이노텍▷전무 오세진 유병국 윤석▷상무 김종국 김홍필 박홍근 배석▲LG생활건강▷전무 이명석 정철용 권도혁▷상무 손남서 정승아 전호준 최남수 양정익 임철우 박한석▲LGCNS▷상무 박경훈 신재훈 유기웅 허재호 진경선 최규웅 진요한▲D&O▷상무 오세철▲HS애드▷전무 이상훈▷상무 이석재▲LG경영개발원▷부사장 이홍락"
2022-06-06,서울 빌딩 위 아슬아슬… “북극곰을 구해주세요”,"환경의날 기후위기 3D영상 화제… 실제 곰이 튀어나오는 듯한 착시세계 환경의 날인 5일 오전, 서울 중구 시청역 12번 출구 앞의 한 건물 옥상 전광판에 대형 북극곰이 등장하는 영상이 나오고 있다. 이 영상은 광고회사HS애드와 국제 비영리 자연보전기관인WWF(세계자연기금)가 기후위기의 심각성을 알리기 위해 제작한 것이다. 마치 북극곰이 실제로 화면에서 빠져나오는 듯 실감나는 영상에 시민들 눈길이 쏠렸다. /뉴시스빙하 위에 서 있던 새하얀 북극곰 한 마리가 갑자기 물에 풍덩 빠진다. 발아래 빙하가 녹아내리면서 생긴 일이다. 물속에서 한동안 허우적대던 북극곰은 잠시 뒤 겨우 정신을 차리고 한쪽 모퉁이에 웅크리고 선다. 그리고 물끄러미 주변을 둘러본다.환경의 날인 5일 서울 시청역 12번 출구 앞 건물 옥상 전광판에 등장한 북극곰 영상이 화제다. 이 영상은 광고 회사HS애드가 5일 환경의 날을 맞아 국제 비영리 자연 보전 기관인 세계자연기금(WWF)과 함께 기후 위기의 심각성을 알리려 제작한 미디어아트다.특히 이 영상은 198㎡에 달하는 대형LED스크린에 ‘아나몰픽’ 기법으로 제작돼 시민들의 시선이 집중됐다. 아나몰픽은 착시를 통해 특정 각도에서 3D 효과를 내는 최신 영상 제작 기법이다. 실제 이 영상을 보면 북극곰이 빙하에서 쭉 미끄러질 때, 곰의 몸뚱이가 당장이라도 영상 밖으로 튀어나올 것 같은 느낌을 받는다. 곰이 화면 모퉁이에서 아래를 내려다보는 모습은 건물 아래 사람들을 구경하는 것 같다. 작년 일본 도쿄 신주쿠 거리에 있는 대형 전광판에 같은 방식으로 제작된 고양이 영상이 전 세계적으로 주목을 받기도 했다.영상 제작에 참여한 3D 콘텐츠 전문 기업 힉스 관계자는 “북극곰의 역동적인 움직임과 귀여운 손짓 등 진짜 살아 움직이는 듯한 모습을 재현하고자 털 한 올까지도 신경을 썼다”며 “기후변화로 오는 2100년이면 북극곰이 멸종될 수 있다는 위기의식을 불러일으키려고 이 영상을 제작하게 됐다”고 말했다.영상은 이 건물 전광판에서 이날부터 두 달간 오전 6시부터 자정까지 10분 간격으로 재생된다. 북극곰 영상 인증샷 이벤트’도 있다. 또 전광판에 노출되는QR코드를 스캔하면 물에서 빠져나온 북극곰의 쿠키 영상도 감상할 수 있다."
2022-06-05,“절 지켜주세요”… 서울 시청역에 거대한 북극곰 출몰한 이유,"서울 시청역 인근 건물 옥상 전광판에 대형 북극곰이 나타났다.0초0초광고 후 계속됩니다.다음 동영상subjectauthor취소“절 지켜주세요”… 서울 시청역에 거대한 북극곰 출몰한 이유조선일보재생5,146재생 (space/k)재생01:290:00:00재생 (space/k)재생음소거 (m)음소거00:00/01:29실시간설정전체 화면 (f)해상도자동 480p자막사용 안함재생 속도1.0x (기본)인기 구간 표시해상도자동 (480p)480p360p270p144p자막설정사용 안함옵션글자 크기배경색재생 속도0.5x1.0x (기본)1.5x2.0x죄송합니다. 문제가 발생했습니다. 다시 시도해 주세요.도움말음소거 상태입니다.도움말라이선스디버그 정보 다운로드고화질 재생이 가능한 영상입니다.설정에서 해상도를 변경해보세요.더 알아보기00:00두 개 층 높이의 거대한 북극곰은 물에 빠져 허우적대다 포효하며 다시 물 위로 올라간다. 진짜 북극곰 같아 보이지만 198㎡에 달하는 대형LED스크린에 아나몰픽 기법으로 제작된 3D 북극곰 영상이다. 아나몰픽은 착시를 통해 입체효과를 나타내는 최신 영상제작 기법이다. 작년 도쿄 신주쿠 대형 전광판에 이 방식으로 제작된 실제와 같은 고양이가 재현돼 세계적으로 주목을 받은 바 있다.시청역 3D 북극곰은 광고회사HS애드가 6월5일 환경의 날을 맞아 기후위기의 심각성을 알리기 위해 기획했다. 국제 학술지 네이처에 게재된 연구 결과에 따르면 기후변화가 현재와 같은 속도로 지속될 경우 2100년말에는 북극곰이 멸종할 것이라고 한다. 이번 북극곰 영상은 북극곰이 처한 위기를 현실감 있게 재현해 기후위기 대응에 시급히 나서야 한다는 메시지를 전한다.세상이 궁금한 것인가! 5일 서울 시청역 인근 건물 옥상 전광판에 대형 북극곰이 나타났다. 진짜 북극곰을 꼭 닮은 대형LED스크린에 아나몰픽 기법으로 제작된 3D 북극곰 영상이다. /디지틀 조선제작을 맡은 3D컨텐츠 전문기업 힉스 관계자는 “환경의 날을 맞아 기후변화로 2100년이면 북극곰이 멸종될 수 있다는 위기의식을 불러일으키기 위해 이 영상을 제작했다”며 “북극곰의 역동적인 움직임과 귀여운 손짓 등 진짜 살아 움직이는 듯한 모습을 재현하기 위해 털 한 올 한 올까지도 신경을 썼다”고 말했다.5일 서울 시청역 인근 건물 옥상 전광판에 대형 북극곰이 나타났다. 진짜 북극곰을 꼭 닮은 대형LED스크린에 아나몰픽 기법으로 제작된 3D 북극곰 영상이다. /디지틀 조선영상은 서울 시청역 12번출구 앞에서 5일부터 2개월 간 오전 6시부터 오전 12시까지 10분 간격으로 등장한다. ‘북극곰 영상 인증샷 이벤트’도 있다. 5일부터 12일까지 해당 영상을 동영상 또는 사진으로 촬영해 ‘#북극곰을 지켜주세요’ 해시태그를 달아 인스타그램에 올리면 추첨을 통해 다양한 선물을 증정한다. 또한 전광판에 노출되는QR코드를 스캔하면 물에서 빠져나온 북극곰의 쿠키영상도 감상할 수 있다."
2022-04-19,"尹 취임식 예산, 33억 역대 최고… 文·朴·MB와 비교해보니","행안부 “물가상승률 감안”윤석열 대통령 당선인이 지난달 20일 서울 종로구 한국금융연수원 별관에 마련된 대통령직인수위원회 회견장에서 청와대 대통령 집무실의 용산 국방부 청사 이전 관련 기자회견을 하고 있다./뉴시스내달 10일 열리는 윤석열 대통령 당선인 취임식에 역대 최대 예산인 약 33억원이 쓰일 전망이다.행정안전부(행안부)가 19일 조달청 나라장터에 입찰한 ‘제20대 대통령 취임행사 대행’ 공고문에 따르면, 취임식 준비와 진행을 담당하는 행사기획사 ㈜HS애드의 입찰 금액은 33억원이다. 예산으로는 33억1800만원이 배정됐다. 취임식 무대 설치, 영상 제작비, 합창단·오케스트라단 등 참여진 운영비, 일반 국민을 위한 프로그램 기획비 등이 포함된 금액이다.역대 대통령의 취임식 예산을 보면 김영삼 전 대통령은 10억원, 김대중 전 대통령 14억원, 노무현 전 대통령 20억원, 이명박 전 대통령 25억원, 박근혜 전 대통령 31억원을 집행했다. 궐위 선거로 선출된 문재인 대통령의 취임식은 국회 본관 로텐더홀에서 선서 위주로 간소하게 치러졌다. 당선과 동시에 대통령의 임기가 시작됐기 때문이다.행안부 관계자는 “박근혜 전 대통령 취임식 이후 9년 정도 지난 시점으로 물가 상승률 등을 감안해 예산을 편성한 것”이라며 “추후 과업에 따라 액수가 가감될 수는 있다”고 전했다.윤 당선인의 취임식에는 4만1000여명이 참석할 것으로 예상된다. 전준영 천안함 생존장병 전우회 사무총장, 2017년 K9 자주포 폭발사고 피해자 이찬호 씨, 울진·강릉 산불 피해자, 광주 아파트 붕괴 사고 유가족, 과로사한 택배 노동자 배우자, 평택 화재 순직소방관 자녀, 전동 휠체어 사용 중증 장애인, 우크라이나 출신 학자인 올레나 쉐겔 한국외대 교수 등이 초청됐다. 윤 당선인의 대광초등학교 은사도 명단에 올랐다.과거 박근혜 전 대통령의 취임식에는 약 7만명, 이명박 전 대통령의 취임식에는 약 5만명이 참석했었다. 문재인 대통령은 국회 로텐더홀에서 약 500명을 초청해 약식으로 취임식을 치렀다.이번 취임식 행사는 5월 10일 자정 새 대통령의 임기 개시를 알리는 보신각종 타종 행사로 시작한다."
2024-08-21,전세계 놀래킨 '곰팡이 핀 햄버거'…그 광고천재 부산 온다,"버거킹이 방부제 없는 자사 제품 와퍼를 홍보하기 위해 만든 광고 한 장면. 사진 부산국제마케팅광고제‘곰팡이 핀 햄버거’.2020년 미국 방송 등에서 곰팡이 핀 햄버거 광고가 나왔다. 해당 광고는 34일 동안 방치돼 서서히 부패하고 곰팡이가 슬어가는 햄버거 모습을 그대로 보여주며 ‘인공 방부제 없는 아름다움’이라는 메시지를 소비자에게 전달했다. 2014년부터 약 6년간 버거킹 최고마케팅책임자였던 브라질의 ‘페르난도 마차도(FernandoMachado)’가 제작한 이 광고 이후 유럽 등 다른 식품회사는 인공색소나 감미료를 줄이겠다고 선언했고, 이런 파급력으로 그는 세계 주요 광고제에서 상을 휩쓸었다.부산국제마케팅광고제 조직위원회는 21일부터 23일까지 부산 해운대구 벡스코 일대에서 열리는 제17회 부산국제마케팅광고제에 페르난도 마차도 등 국내외 광고 전문가가 찾는다고 밝혔다. 올해 행사 주제는 ‘AIM,AI로 마케팅 성공을 겨냥하다’로 인공지능 기술을 활용한 마케팅 성공 사례를 공유하고 인공지능이 생성한 광고 콘텐트를 공개할 예정이다.21일 오후 5시에 열리는 개막식에는 마케팅 관련 업계와 학계에서 주목할 만한 성과를 거둔 개인이나 단체에 수여하는 국제명예상·공로상·이노베이티브 리더(InnovativeLeader)상 시상식이 진행된다. 국제명예상은 마케팅 업계 거장 페르난도 마차도가 선정됐다.올해 부산국제마케팅광고제에서는 최고 영예상인 ‘올해의 그랑프리’상에 도전한 본선 진출작과 주제 전시 작품 등 20여 개국에서 제작된 240여 편의 광고를 볼 수 있다.지난해 부산 해운대구 벡스코에서 열린 2023 부산국제마케팅광고제를 찾은 관람객들이 전시 작품을 감상하고 있다. 송봉근 기자전 세계의 광고 트랜드를 알 수 있는 콘퍼런스는 전문가를 대상으로 한 ‘메인 콘퍼런스’와 광고·마케팅 등에 관심을 가진 일반인 누구나 무료로 참여할 수 있는 ‘밋업(Meet-up)’으로 나눠 진행된다. 콘퍼런스에서 기조연설을 맡은 페르난도 마차도와 국내 대표 종합광고대행사HSAD박애리 대표는 모두AI를 주제로 강연한다. 페르난도 마차도는 크리에이티브 분야에서 인간의 재능과 생성형AI기술을 결합해 시너지를 발휘할 수 있는 방법을, 박애리 대표는AI시대에 소비자 마음을 움직이는 마케팅 기법을 설명한다. 밋업에는 ‘농협은행 챌린지’ 등을 통해 이름을 알린 인기 크리에이터 겸 가수 이짜나언짜나(EZUZ) 등이 참여한다.세계 각국의 신진 크리에이터를 발굴·육성하기 위해 개최되는 마케팅·광고 경진대회인 ‘뉴스타즈’와 ‘영스타즈’도 볼거리다. 이 프로그램은 현장에서 공개되는 주제에 적합한 창의적인 아이디어와 캠페인을 30시간 내 기획·제작해 경연하는 프로그램이다. 뉴스타즈 금상 수상자에게는 ‘일과 휴식(워케이션)’을 동시에 즐길 수 있도록 부산지역 휴가지 원격근무를 지원한다. 또 영스타즈 수상자에게는 국내외 주요 광고회사인 대홍기획·HS애드·제일기획 등 20개 업체에 인턴십 기회를 제공한다. 자세한 내용은MADSTARS공식 홈페이지(www.madstars.org)에서 확인할 수 있다."
2022-06-05,"서울 시청역서 무슨일이…추락 직전의 북극곰 ""살려주세요""","HS애드 '환경의 날' 캠페인. 사진=HS애드 제공5일 서울 시청역 인근 건물 옥상 전광판에 대형 북극곰이 나타났다. 녹아버린 물 속에서 허우적거리던 북극곰은 이내 전광판을 뚫고 쏟아져내리는 물에 휩쓸려 전광판 밖으로 나온다. 건물 옥상 귀퉁이에 기대 누운 북극곰은 겁을 잔뜩 먹은 눈빛으로 사람들을 쳐다본다.실제 북극곰이 서울 시내에 나타난 것 같은 모습에 보는 이들이 마음을 졸였지만, 해당 영상은 198㎡에 달하는 대형LED스크린에 아나몰픽 기법으로 제작된 3D 영상이다.HS애드가 6월5일 환경의 날을 맞아 국제 비영리 자연보전기관인 세계자연기금(WWF)과 함께 기후 위기의 심각성을 알리기 위해 기획 제작했다.북극곰이 처한 위기를 현실감 있게 재현해 기후위기에 대한 범지구적 대응을 촉구하는 메시지를 담고 있다고 회사 측은 설명했다.영상은 서울 시청역 12번 출구 앞에서 이날부터 2개월간 오전 6시부터 자정까지 10분 간격으로 상영된다.HS애드 관계자는 ""환경 오염으로 삶의 터전을 위협받고 있는 북극곰의 모습을 통해 많은 사람이 기후 변화의 심각성을 깨닫고 환경 보호를 앞장서 실천하게 되기를 희망한다""고 말했다."
2022-04-19,"尹 취임식 예산 역대최고, 얼마길래…文대통령은 ""0원""","윤석열 대통령 당선인이 13일 오후 서울 종로구 통의동 대통령직인수위원회 브리핑룸에서 2차 국무위원 후보 및 대통령 비서실장 인선 발표를 하고 있다. 오른쪽은 법무부 장관에 내정된 한동훈 사법연수원 부원장. 뉴시스윤석열 대통령 당선인의 취임식에 역대 대통령 중 최대 수준인 약 33억 원의 예산이 소요될 전망이다.19일 행정안전부가 조달청 나라장터에 입찰한 ‘제20대 대통령 취임행사 대행’ 공고문에 따르면, 해당 공고의 입찰 금액은 33억 원이다.앞서 김영삼 전 대통령은 1993년 취임식에 10억 원을 썼고 김대중 전 대통령이 14억 원, 노무현 전 대통령이 20억 원을 썼다. 또 이명박 전 대통령은 24억 원, 박근혜 전 대통령은 31억 원이었다. 문재인 대통령은 박 전 대통령이 탄핵된 후 취임하면서 취임식을 하지 않았다.윤 당선인의 취임식은 코로나19로 인해 직전 박근혜 전 대통령 취임식보다 초청 인원이 줄어든다. 김대중‧노무현 전 대통령 때는 4만 명 중‧후반대, 이명박‧박근혜 전 대통령 때는 6만 명 초‧중반대를 초청했는데 이번에는 최대 4만 명이다.하지만 예산은 오히려 늘어났다. 이에 대해 대통령취임준비위원회는 “일반 국민을 초청하고 이들을 위한 다양한 프로그램 마련, 그리고 물가 상승률을 감안해 예산이 다소 증액됐다”고 설명했다.행안부 관계자 역시 “물가 상승률 등을 종합적으로 고려해 예산을 편성한 것”이라며 “추후 예산 집행 과정에서 변동 가능성은 있다”고 말했다.박주선 취임준비위원장은 지난 11일 취임식 관련 중간보고 기자회견에서 “어린이, 청년, 취약계층, 무명 스타 등과 함께하는 진정한 국민 화합 기조로 취임식을 준비할 것”이라고 밝힌 바 있다.해당 공고는 취임준비위가 당초 예고했던 대로LG그룹 계열 광고회사인HS애드가 수의계약 형태로 맡게 될 예정이다.HS애드는 2014년 인천아시안게임 개·폐회식을 총괄 운영했고 15대 김대중, 16대 노무현 대통령 취임식도 기획한 바 있다."
2024-11-28,[중앙광고대상] 심사위원 및 행사일정,"심사위원 및 행사일정▶전문가 심사위원 명단-심사위원장: 중앙대학교 이명천 광고홍보학과 교수-심사위원: 강상욱 차이커뮤니케이션 상무, 김미경 오리콤ECD,신병재HS애드 통합솔루션 5팀장, 이광현 대홍기획 상무(가나다순)▶심사일정 및 배점 기준-후보작 접수: 10월 1~25일-온라인 독자 투표: 11월 13~20일-전문 심사위원 평가: 11월 13~20일-평가 기준: 전문가 심사 40%, 독자투표 40%, 정성평가 20%-시상식: 12월 5일 오전 10시 30분, 웨스틴조선 서울 오키드룸"
