date,title,content
2024-12-07,KB국민카드 대표 김재관 외,"KB국민카드 대표 김재관KB금융지주는 계열사 대표이사 후보 추천위원회를 열고KB국민카드 대표에 김재관KB금융지주 부사장,KB라이프생명보험 대표에 정문철KB국민은행 부행장,KB데이터시스템 대표에 박찬용KB국민은행 부행장을 각각 후보로 올렸다고 6일 밝혔다. 김성현·이홍구 현KB증권 대표는 재추천됐다. 신임 대표이사 임기는 2년, 재선임된 대표이사 임기는 1년이다.HDC현대산업개발 대표 정경구HDC그룹은HDC현대산업개발 신임 대표에 정경구HDC대표를 선임하고 사장으로 승진시켰다고 6일 밝혔다. 지주사인HDC신임 대표에는 김회언HDC현대산업개발CFO(최고재무책임자)가 선임됐다.▲한미글로벌▷부사장 권오찬▷전무 김재현 박상진 오승경 유동훈 이광준 이진호 ▲한미글로벌PMC▷대표 유현열"
2024-10-29,"이복현 금융감독원장  “KB금융, 리스크 관리 안일함 없나”","우리금융에 이어 ‘리스크’ 점검이복현 금융감독원장이 29일KB·우리금융의 운영 리스크 등 각종 문제가 없는지 철저히 점검해야 한다고 공개적으로 주문하고 나섰다. 이 원장이 우리금융에 이어KB금융도 위험 관리 능력에 문제가 있다고 지적한 것이다.이복현 금융감독원장이 17일 오전 서울 여의도 국회 정무위원회에서 열린 금융감독원·서민금융진흥원 국정감사에서 의원 질의에 답하고 있다. /뉴스1이 원장은 이날 임원회의에서KB국민은행의 인도네시아 자회사인KB뱅크(옛 부코핀은행)의 투자·운영 부실을 언급하며 “KB금융이 이 문제와 관련해 반복적으로 지적받고 있고, 이로 인해KB금융의 평판이 나빠질 수 있다”며 “KB금융의 리스크 관리에 안일함이 없는지 살펴볼 필요가 있다”고 말했다. 이 원장이 언급한KB뱅크에는KB국민은행이 인수를 위해 3조1000억원 넘는 자금을 넣었지만, 올해 상반기까지 약 1조5000억원의 손실이 발생했다. 금감원은 이에 8월부터 진행한 정기검사를 이달 들어 연장하는 등 강도 높게 진행하고 있다.이 원장은 또 우리금융의 임종룡 회장 등 경영진에 대해 재차 비판했다. 그는 “우리금융의 내부 통제와 건전성 관리 수준이 현재의 우리금융지주 경영진이 추진하는 외형 확장에 따른 각종 리스크를 감당할 수 있는지 면밀히 점검할 필요가 있다”고 말했다. 금감원은 이 원장이 언급한 각종 리스크는 우리금융 내 출신 은행 간 파벌주의, 금융 사고에 대한 안일한 인식, 합리적 의사 결정을 방해하는 경영 체계 등이라고 설명했다. 우리금융은 지난 8월 동양생명과ABL생명을 인수하기로 하고 주식 매매 계약을 체결했는데, 이 원장은 금감원과 소통하지 않았다며 강도 높게 비판한 바 있다.이날 금감원은 임원회의에서 있었던 이 원장 발언을 보도자료로 공개했다. 이에 대해 금감원은 “금융시장에 주의를 환기시킬 목적”이라고 말했다."
2024-12-31,"세계 판매량 3위 현대차, 시총은 16위 그쳐","저평가받는 한국 기업들, 왜?현대차는 전 세계 자동차 판매량에서 일본 도요타, 독일 폴크스바겐에 이어 3위다. 그러나 시가총액 순위는 얘기가 다르다. 세계 주요 기업들의 시가총액을 분류한 ‘컴퍼니스마켓캡닷컴’에 따르면, 자동차 분야 1위는 미국의 테슬라, 2위는 일본 도요타, 3위는 중국 샤오미다. 현대차는 16위다.삼성전자도 마찬가지다. 글로벌 시장에서 종합 반도체 매출 1위, 글로벌 스마트폰 점유율 1위지만, 시가총액 순위는 각 분야에서 5위(반도체), 16위(테크)다. 세계HBM(고대역폭 메모리) 시장에서 부동의 1위인SK하이닉스는 반도체 부문 시가총액 17위, 테크 부문 58위다. 고질적인 ‘코리아 디스카운트(한국 시장 저평가)’ 때문이다. 특히 올해 다른 나라 주식 시장은 상승세였는데, 코스피는 9.6% 하락하면서 이런 현상은 더 심해졌다.◇여전한 코리아 디스카운트이런 현상이 나타나는 이유로 우선 한국 주식 시장에 상장돼 있는 것 자체가 디스카운트(저평가) 요인이라는 말이 나온다. 천준범 와이즈포레스트 대표는 “외국인 투자자들에게 한국은 정책의 지속성이 없는 나라”라며 “그들은 한국 주식 시장이 불투명하고 원칙이 없어 불확실성이 높다고 평가한다”고 말했다. 한 증권사 임원은 “SK하이닉스가 미 나스닥에 상장돼 있었으면, 엔비디아 시가총액이 3조달러 넘을 때SK하이닉스는 1조달러가 됐을 것”이라고 말했다. 미국 뉴욕 증시에 상장된 쿠팡의 시가총액은 405억달러(약 60조원)로, 현대차 시총(약 44조원)보다 크다.그래픽=양진경오너 중심의 지배 구조도 ‘코리아 디스카운트’의 주요 이유로 언급된다. 이남우 한국기업거버넌스포럼 회장은 “아시아기업지배구조협회(ACGA)가 올해 시행한 각국 기업의 기업 거버넌스에 대한 평가에서 한국은 아시아 12국 중 8위였다”며 “한국의 기업 거버넌스 구조 하에서 이사회는 자신의 임명을 도운 대주주에게 충성하게 돼, 대주주를 견제하기 어려워진다”고 말했다.쪼개기, 중복 상장도 늘 거론되는 디스카운트 요인이다. 한 주식 투자자는 “만약 애플이 한국 시장에 있었으면, 애플 뮤직, 애플tv,앱스토어 등 한 10개 기업으로 상장됐을 것”이라고 말했다.◇미래 가치 평가도 낮아전문가들은 한국 기업에 대한 미래 가치에 대한 투자자들의 평가가 낮기 때문이라고도 분석한다. 주식은 미래 가치를 반영한다. 지난 3분기 영업이익이 27억1700만달러(약 4조원)인 테슬라의 시가총액이 1조3500억달러인 것이 주요 사례다.글로벌 주식 분석 사이트 심플리 월스트리트는 “현대차의 주가수익비율(PER)은 4.67로 강력한 매수 기회로 보일 수 있지만,PER을 액면 그대로 받아들이는 것은 현명하지 않다”며 “현대차가 우수한 수익에도 주가가 좋지 않은 이유는 앞으로(의 미래)에 대해 덜 인상적으로 보기 때문”이라고 했다. 자율주행과 전기차 등에서 긍정적인 모습을 보이고는 있지만, 테슬라나BYD같은 선두 기업과의 경쟁에서 확실한 우위를 예측하기는 어렵다는 얘기다.삼성전자도 반도체 외에도 스마트폰·가전 등 제조업 중심의 사업 포트폴리오를 보유하고 있지만, 소프트웨어나 서비스에 비해 성장성과 수익성이 낮다고 분석된다. 이승우 유진투자증권 리서치센터장은 “삼성전자가 1위를 유지하는 D램과 낸드 시장은 내년에 감소가 예상된다”며 “삼성전자가 과거와 달라진 모습을 보여줄 수 있느냐가 주가 상승의 변수가 될 것”이라고 말했다.◇브랜드 가치의 한계세계 시장에서 기업 브랜드 가치가 낮은 것도 주요 이유로 꼽힌다.한국 최대 금융기업KB금융은 영국 금융 전문지 ‘더 뱅커’가 선정한 ‘세계 100대 은행’ 순위는 65위지만 시가총액은 105위다. 항공에서는 대한항공이 영국의 항공 컨설팅 및 평가 기관 스카이트랙스가 선정하는 세계 항공사 순위로는 11위지만, 시가총액은 23위다. K팝과 K푸드가 유행이라지만, 하이브는 엔터테인먼트 부문에서 50위, 불닭볶음면의 삼양식품은 푸드 부문 104위였다.한 대기업 임원은 “KB금융을 다른 외국 은행처럼 한국인이 아닌 사람이 쓰는 경우가 거의 없지 않으냐”며 “그만큼 글로벌 브랜드 가치가 약한 것”이라고 말했다."
2024-09-25,"첫 밸류업 지수… 현대차 턱걸이, KB금융 탈락","대표 상장사 100곳 선정서울 서초구 양재동 현대자동차그룹 본사 앞으로 시민들이 지나고 있다. /뉴스1정부가 연초부터 추진하고 있는 밸류 업(기업 가치 개선)에 모범적인 기업 100곳을 선정한 ‘코리아 밸류 업 지수(이하 밸류 업 지수)’가 24일 베일을 벗었다. 이 지수는 30일부터 도입된다. 밸류 업 지수에는 시가총액뿐만 아니라 수익성, 주주환원 등 다양한 조건을 만족한 100종목이 포함됐다.일러스트=김현국시가총액 10위 기업 중LG에너지솔루션, 삼성바이오로직스,KB금융, 포스코홀딩스 등 4곳이 탈락한 가운데, 현대차·신한지주 등은 기준엔 미달했지만 기업 가치 개선 계획을 자진 공시해서 턱걸이로 지수에 포함되기도 했다.그래픽=김현국◇희비 엇갈린 기업들한국거래소는 24일 밸류 업 지수의 선정 기준과 구성 종목을 발표했다. 기존에 증시에서 밸류 업 수혜주는 금융·자동차 업종에 집중됐었는데, 이날 나온 밸류 업 지수에는 예상을 깨고 정보기술(IT), 산업재 기업도 다수 포함됐다. 거래소 관계자는 “연기금, 자산운용사 등의 다양한 의견을 수렴하고 시가총액, 수익성, 주주 환원, 주가 순자산 비율(PBR), 주가 수익 비율(ROE) 등을 따졌다”며 “특정 산업군에 편중되거나 소외되지 않고, 고르게 편입되도록 했다”고 말했다.이 과정에서 기준엔 미달돼도 미리 기업 가치 개선 계획을 발표한 기업들은 특례 적용을 받아 지수에 들어갔다. 시가총액 5위인 현대차와 신한지주·우리금융지주·미래에셋증권 등 일부 금융사가 이 혜택을 받았다.하지만 시가총액 3위와 4위인LG에너지솔루션과 삼성바이오로직스는 주주 환원을 실시하지 않고 있는 것이 탈락 요인이 됐다. 금융 대장주인KB금융은 주주 환원 측면에서 호평을 받았지만,PBR이 낮아 탈락했다.SK텔레콤,KT등 통신사는 전부 들어가지 않았다.이에 선정 잣대가 모든 기업에 공정하게 적용됐는지를 두고 논란이 일었다. 이남우 한국기업거버넌스포럼 회장은 “삼성전자가 지수에 포함될 만큼 밸류 업에 진심이 있는지 의문”이라며 “밸류 업 주목 기업이었던KB금융과 하나금융지주가 아직 밸류 업 공시를 하지 않았다고 포함되지 않은 것도 이해 가지 않는다”고 했다. 이부연 한국거래소 경영지원본부 상무는 “2026년부터 삼성전자,SK하이닉스와 같은 기업도 밸류 업 공시를 하지 않으면 지수에서 빠진다”고 말했다. 거래소는 매년 한 번 지수 구성 종목을 재평가할 예정이다.◇증권가 “과한 기대는 금물”이번 밸류 업 지수 선정에서 탈락한 기업들이 밸류 업에 더 공을 들이고, 선정된 기업들은 빠지지 않기 위해 노력하면서 코리아 디스카운트(한국 주식 저평가)가 완화되고 주가도 오를 수 있을지가 시장의 관심사다.거래소에 따르면, 밸류 업 지수를 과거로 소급해서 최근 5년 수익률을 따져봤더니 43.5%였다. 이는 같은 기간 200개 우량 기업의 주가로 만든 코스피200 지수의 상승률 33.7%보다 높다.하지만 전문가들은 밸류 업 지수가 주가 상승 효과로 이어질지에 대해선 대체로 신중했다. 이경민 대신증권 연구원은 “연초부터 밸류 업 프로그램에 대한 기대감이 많이 반영돼왔다”며 “기업 가치 제고에 긍정적 변화는 맞지만, 단기간 드라마틱한 변화를 야기하는 그림은 아니다”라고 말했다.국내 증시의 ‘큰손’인 연기금이 밸류 업 지수의 지원에 나설지도 주요 변수다. 이경수 하나증권 연구원은 “연기금이 향후 어느 정도 밸류 업 종목을 매수하거나 밸류 업 지수를 벤치마크로 삼는지 등이 밸류 업 지수 효과가 나타날지 관건이 될 것”이라고 했다.이날 밸류 업 지수는 장 마감 후 발표했다. 그럼에도 이날 밸류 업 지수에 포함된 100종목 중 81종목이 올랐다. 지수에 포함된 기업들이 대부분이 상승세를 타는 종목이었다는 뜻이다. 특히 코스닥 종목인 소재 전문 기업인 에코프로에이치엔(9.15%), 연예기획사JYP엔터테인먼트(7.53%)의 상승률이 높았다.황세운 자본시장연구원 선임연구위원은 “밸류 업 지수는 기업이 밸류 업 정책을 얼마나 열심히 했는지를 뒤따라가면서 측정하는 후행 지표”라며 “앞으로 지수 편입 기업들이 꾸준하고 안정적으로 실적을 보여주는지 잘 살펴야 할 것”이라고 말했다. 거래소는 이날 오는 11월에는 밸류 업 지수를 활용한 지수선물과 상장지수펀드(ETF)도 상장될 예정이라고 밝혔다.그래픽=김현국"
2024-05-27,"KB금융, 밸류업 ‘1호’ 공시...“기업가치 제고 계획 4분기 중 마련”","KB금융은 27일 한국거래소 기업 공시 채널(KIND)에 ‘기업 가치 제고 계획 예고’를 안내 공시했다고 밝혔다. 기업 가치 제고(밸류업) 계획에 대한 국내 최초의 예고 공시이자, 정부의 기업 밸류업 프로그램이 적용된 첫 사례다. 공시에는 “당사는 이사회와 함께 ‘KB의 지속 가능한 밸류업 방안’을 논의해 왔으며, 이를 토대로 ‘기업 가치 제고 계획’을 마련해 2024년 4분기 중 공시할 예정”이라는 내용이 담겼다.KB금융 공시/뉴스1기업 가치 제고 계획 공시는 정부가 코리아 디스카운트 해소를 위해 시행하는 ‘기업 밸류업 프로그램’ 중 하나다. 기업 현황 진단을 비롯해 기업 가치 제고 목표와 계획을 담고 이행 평가, 소통 계획 등을 담은 문서를 공시 형태로 제공하는 것이다.앞서 지난 24일 금융 당국은 기업 가치 제고 계획에 대한 가이드라인과 해설서를 확정 발표한 바 있다. 금융 당국은 27일부터 준비되는 상장사부터 공시를 시작한다고 밝혔다.KB금융그룹 사옥 전경./뉴스1KB금융은 정부의 ‘기업 밸류업 프로그램’ 계획을 밝힌 직후부터 낮은 주가순자산비율(PBR)로 대표적인 ‘밸류업 수혜주’로 꼽혀왔다.KB금융 주가는 올해 들어 40% 넘게 올랐다.KB금융 관계자는 “밸류업 모범생으로서 코리아 디스카운트 해소에 앞장서겠다”고 말했다."
2024-04-26,주주환원 강화에 KB금융 주가 8%대 급등...다른 금융지주도 동반 랠리,"그래픽=조선디자인랩 정다운26일KB금융 주가가 올해 1분기 호실적과 강화된 주주환원책 발표에 힘입어 8%대 급등하고 있다.이날 오전 11시 현재 유가증권시장에서KB금융은 전날보다 8.1% 오른 7만4900원에 거래되고 있다.KB금융은 전날 공시를 통해 올해 1분기 1조491억원의 순이익을 낸 것으로 잠정 집계됐다고 밝혔다. 홍콩 주가연계증권(ELS) 관련 고객 보상 비용이 충당부채로 인식되면서 전년 동기 대비 30.5% 감소한 것이지만, 이를 제외하면 호실적이라는 평가다.여기에 업계 최초로 ‘배당총액 기준 분기 균등배당’을 도입한 것도 투자심리에 영향을 미쳤다. 전날KB금융 분기별 3000억원씩 균등 배당 지급하고 향후 배당총액을 유지 또는 상향하는 내용의 새로운 배당정책을 공개했다.KB금융 재무담당(CFO) 부사장은 “현금배당의 가시성과 예측가능성을 제고하기 위해 ‘배당총액 기준 분기 균등배당’을 결의했다”며 “배당 총액 기준으로 분기별 3000억원, 연간 1조 2000억원 수준에서 매분기 주당 현금 배당을 결의할 계획”이라고 설명했다.이와 동시에 매년 이익규모에 따라 탄력적인 자사주 매입·소각을 병행하기로 했다. 이렇게 되면 배당총액이 동일하더라도 주당 배당금은 자연스럽게 상승하는 효과가 나타난다.정부 ‘밸류업 프로그램’의 대표 수혜주인KB금융이 선제적으로 주주환원 강화에 나서면서 다른 금융지주들도 동참할 것이란 기대가 커지고 있다.이에 이날 유가증권시장에서 하나금융지주와 신한지주가 각각 6.5%, 5.8% 상승하고 있다. 우리금융지주도 2.2% 오름세다. 이들 세 지주는 이날 오후 나란히 1분기 실적을 발표한다."
2024-04-25,KB금융 1분기 실적 30.5%↓... 홍콩 ELS 여파,"KB금융그룹의 1분기 순이익이 1조491억원으로 전년 동기대비 30.5% 줄어든 것으로 나타났다. 홍콩ELS손실 고객에 대한 보상액이 회계상 충당부채로 집계됐기 때문이다. 사진은 이달 서울 시내 시중은행ATM기 모습. /연합뉴스홍콩 H지수 주가연계증권(ELS) 손실 배상 비용 등으로KB금융그룹의 1분기(1~3월) 순이익이 작년 같은 기간보다 30% 넘게 감소했다.KB금융그룹은 25일 1분기 순이익이 1조491억원으로 집계됐다고 밝혔다. 이는 작년 같은 기간(1조5087억원)보다 30.5% 줄어든 수치다. 홍콩ELS손실 고객에 대한 보상 비용으로 8620억원을 회계상 충당부채로 집계했기 때문으로 풀이된다. 충당부채는 앞으로 내줄 가능성이 있는 돈을 빚으로 인식한 것이다.이에KB금융의 1분기 영업이익은 작년 2조1400억원에서 올해 2조3554억원으로 10.1% 늘었지만, 같은 기간 영업 외 손실이 962억원에서 9480억원으로 10배로 늘었다. 다만, 홍콩ELS손실 보상 등 일회성 비용을 제외한 당기순이익은 1조5929억원으로 집계돼 작년 같은 기간의 순이익보다 높았다.업계에선KB·신한·우리·하나 등 4대 금융그룹 중KB금융에서 판매한 홍콩ELS가 가장 많기 때문에 배상 비용도 가장 커서KB금융이 업계 1위 자리를 신한금융지주에 내줄 수 있다는 전망이 나온다.한편,KB금융그룹은 이날 이사회를 열어 1분기 배당금을 주당 784원으로 결의했다. 또 업계 최초로 ‘배당 총액 기준 분기 균등 배당’을 도입하기로 확정했다. 연초에 미리 최소 배당 총액을 정해 놓고 이에 맞춰 각 분기에 똑같이 현금 배당을 하는 방식이다. 올해 현금 배당 총액은 1조2000억원으로 결정됐다."
2024-11-28,차기 KB국민은행장에 이환주 KB라이프 대표,"KB금융지주는 27일 ‘계열사 대표이사 후보 추천위원회’를 열고 차기KB국민은행장 단독 후보로 이환주KB라이프생명 대표를 선정했다고 밝혔다. 이 후보는KB국민은행 영업기획부장, 경영기획그룹 부행장,KB금융지주 부사장 등을 지냈다. 이 후보는KB라이프 대표로 재임하며, 기존KB생명과 합병한 푸르덴셜생명을 성공적으로 통합했다고 평가받는다. 차기KB국민은행장의 임기는 내년 1월부터 2년이다."
2024-12-22,"전체 인구 1% 한국 부자, 전체 금융자산 59% 갖고 있다","KB금융지주 경영연구소 ‘2024 한국 부자 보고서’ 발간일러스트=조선디자인랩 김영재금융자산이 10억 이상인 한국 부자는 전체 인구의 1%가 채 안되지만, 이들이 전체 가계 금융자산의 59%를 보유하고 있다는 조사 결과가 나왔다.22일KB금융지주 경영연구소는 ‘2024 한국 부자 보고서’를 내고 “한국에서 금융자산을 10억 원 이상 보유한 부자 수는 약 46만1000명으로 전체 인구의 0.9%에 불과하다”면서 “이들이 보유한 금융자산은 약 2826조원으로, 전체 가계 금융자산의 약 59%를 차지하는 것으로 나타났다”고 밝혔다.연구소는 한국 부자를 ‘금융자산 10억 원 이상 보유한 개인’으로 정의했는데, 한국 부자는 2023년(45만 6000 명)보다 1%(5000 명) 증가한데 그쳤다. 부자 수를 집계하기 시작한 2011년 이후 가장 낮은 증가율이다. 다만, 한국 부자가 보유한 금융자산은 지난해(2747조원)보다 2.9% 증가했다. 보고서는 2022년 말 고꾸라졌던 코스피가 반등한 영향으로 분석했다.한국 부자들 중 약 60.8%가 상속 또는 증여를 받은 경험이 있고, 54.3%는 앞으로도 상속·증여를 계획하고 있는 것으로 조사됐다. 상속이나 증여로 물려받는 자산은 ‘현금·예적금(53.9%)’,‘거주용 부동산(44.0%)’,‘거주용 외 부동산(35.4%)’,‘금이나 보석 등 현물자산(22.6%)’ 등이었다.한편, 투자 분야에서는 부동산이 여전히 최강자로 꼽혔다. 국내 부동산 투자에 대한 관심은 40%로, 다른 투자 분야를 압도했다. 금과 보석 등 실물 투자가 34%로 2위를 기록하며 꾸준히 상승세를 보였다. 단기적으로는 주식(35.5%)과 금·보석(33.5%), 중장기적으로는 거주용 주택(35.8%)과 주식(35.5%)이 유망 투자처로 조사됐다."
2023-11-21,양종희 KB금융 신임 회장 “상생 금융에 최우선 가치 둘 것”,"양종희KB금융지주 신임 회장이 취임 일성으로 ‘상생 금융’을 꺼냈다.양종희KB금융 회장이 21일 서울 영등포구KB국민은행 본점 신관에서 열린 취임식에서 기념 촬영하고 있다./연합뉴스양 회장은 21일KB국민은행 서울 여의도 본점 신관에서 열린 취임식에서 “사회와 끊임없이 상생하는 경영을 실천하겠다”고 밝혔다. 양 회장은 4대 경영 방향을 제시했는데 그중 첫손에 꼽은 것이 ‘상생 경영’이었다. 양 회장은 “기업도 재무적 가치뿐 아니라, 고객과 사회적 가치를 균형 있게 추구해야만 지속적으로 성장할 수 있다”며 “이것이 제가 생각하는 대한민국 금융의 스탠더드(기준)”라고 말했다. 금융 당국이 ‘이자 장사’ 비판을 받는 금융지주에 상생을 위한 통 큰 지원을 압박하는 가운데 양 회장이 상생 경영을 최우선으로 하겠다는 입장을 분명히 한 것이다. 양 회장은 이어 “진정한 금융인의 품격은 고객의 신뢰로부터 나오고, 고객의 자산을 내 자산처럼 여기며 사고 없는 모범적 금융기관이 되는 것에서 비롯된다”고 말했다. 또 다른 재임 기간 목표로는 ‘직원에게 자긍심과 꿈을 줄 수 있는 회사’ ‘주주 기대에 보답하는 경영’을 제시했다.한편 양 회장은 이날 출근길에서도 기자들과 만나 “국민과 함께 성장하고, 국민에게 도움이 될 수 있도록 노력하겠다”는 포부를 밝혔다. 연말 인사와 향후 조직 방향 등에 대한 질문에는 “아직 준비가 안 됐다”며 말을 아꼈다.KB금융은 이재근 국민은행장을 비롯해 박정림·김성현KB증권 대표, 김기환KB손해보험 대표 등 9개 계열사의 최고경영자(CEO) 임기가 올해 말 끝난다. 양 회장은 지주회사 내에 부회장직을 계속 둘 것인지를 묻는 말에도 즉답을 피했다. 양 회장의 임기는 3년으로 2026년 11월 20일까지다."
