date,title,content
2024-06-08,[부음] 곽태원 서강대 경제학부 명예교수 별세 외,"▲곽태원서강대 경제학부 명예교수 별세=7일1시 서울아산병원, 발인 9일6시40분, (02)3010-2000▲김성자별세,백민재KG케미칼 소재환경사업본부 상무·백민경서울신문 사회부장 모친상,정지훈대교PD장모상,이원경제이엘피코퍼레이션 영업 임원 시모상=6일18시35분 신촌세브란스병원, 발인 9일7시, (02)2227-7600▲홍경표대구가톨릭대 국어국문학과 명예교수 별세,박기란남편상,홍병욱MBC종합편집팀장·홍은영부친상,이재웅前 국회 보좌관 장인상,강라현한남초 교사 시부상=6일18시5분 서울아산병원, 발인 9일7시, (02)3010-2000"
2022-06-29,"쌍용차 새 주인은 KG그룹, 인수대금 3355억","쌍방울은 자금계획 불투명해 탈락쌍용차 새 주인으로KG그룹이 선정됐다. 서울회생법원은 28일KG그룹을 주축으로 한 ‘KG컨소시엄’을 쌍용차 인수자로 선정했다고 밝혔다. 비료 회사인 경기화학을 모태로 1985년 설립된KG그룹은KG스틸,KG케미칼,KG이니시스 등 국내 21곳, 해외에 8곳의 계열사를 두고 있다. 공정거래위원회가 발표하는 자산 규모 5조3460억원으로 재계 순위 71위다.KG그룹은 쌍용차 인수를 위해 3355억원가량을 인수 대금으로 써낸 것으로 전해졌다.KG그룹 전에 인수자 지위를 획득했던 에디슨모터스가 제시한 3048억원보다 300억원가량 많은 금액이다.KG그룹과 끝까지 경쟁을 벌였던 쌍방울그룹은KG그룹보다 높은 금액을 제시한 것으로 알려졌지만 자금 조달 계획이 불투명해 결국 탈락했다.회생 절차가 진행 중인 쌍용차는 8월 관계인 집회를 열어 채권단 동의 절차를 밟을 예정이다. 에디슨모터스는 채권자가 가진 쌍용차 채무의 1.75%만 현금 변제하겠다고 주장하면서 채권단 반대에 부딪혔지만,KG그룹은 현금 변제율을 이보다 상향할 것으로 전해져 채권단 설득이 더 쉬울 것으로 전망된다. 지난해 4월 15일 회생 절차가 개시된 쌍용차는 회생 절차에 따른 규정상 오는 10월 15일 이내 인수 절차를 매듭지어야 한다.다만 새로운 주인을 찾고, 회생 절차를 끝낸다 해도 쌍용차 경영이 정상화하기까진 넘어야 할 고비가 적지 않다. 2017년 이후 누적된 적자로 인해 부채 규모(연결 기준)가 2조원에 육박하는 데다 신차 출시나 전기차 전환에서도 어려움을 겪고 있다. 인수 과정에서 사업 구조조정과 노사 갈등이 새 뇌관으로 떠오를 가능성도 있다."
2022-06-28,"쌍용차 새 주인, KG그룹으로 결정...인수대금은 3355억원","KG그룹/뉴스1회생 절차를 진행 중인 쌍용차의 새 주인으로KG그룹이 낙점됐다. 서울회생법원은 28일KG그룹을 주축으로 한 ‘KG컨소시엄’을 쌍용차 인수자로 선정했다고 밝혔다.확정된 인수대금은 3355억원 가량인 것으로 전해졌다. 이는 에디슨모터스가 제시했던 3048억원 가량보다 300억원 많은 금액이다.KG그룹과 끝까지 경쟁을 벌였던 쌍방울그룹의 경우KG그룹보다 높은 금액을 제시했지만, 자금 증빙 등에 붙은 의문 부호를 해소하지 못해 탈락했다.쌍용차는 오는 8월 관계인 집회를 열어 채권단 동의 절차를 밟을 예정이다. 에디슨모터스의 경우 채권자 채무 중 1.75%만 현금 변제한다고 주장하는 등 채권단 반대에 부딪혔지만,KG그룹은 인수 금액을 더 높인데다, 현금 변제율도 키울 것으로 알려져 채권단 설득이 한결 용이할 것으로 분석된다.다만, 인수 후 경영 정상화까진 험로가 예상된다는 분석도 나온다. 쌍용차 정상화를 위해선 인력 구조조정 등이 동반돼야 한다는 게 전문가들 견해인데, 이는 전혀 논의되지 못하고 있기 때문이다. 더욱이 늦은 전기차 전환 등 기술 격차와 완성차 업계의 설비 투자 경쟁 등도 당면한 과제로 꼽힌다.비료 회사인 경기화학을 모태로 1985년 설립된KG그룹은KG스틸,KG케미칼,KG이니시스 등 국내 계열사 21곳, 해외 8곳을 보유하고 있다."
2022-12-01,[경제계 인사] 티와이홀딩스 외,▲티와이홀딩스▷전무 양윤석 황선호▷상무보 송용호▲태영건설▷부사장 이승모▷전무 안치열▷상무 이현석▷상무보 김영수 김인섭 백두성 이봉재 임기형 정광섭 조현민▲에코비트▷전무 이혜리 정세형▷상무 김수미▷상무보 신준식 윤상병 주승환▲이데일리▷사장 이익원▷상무 고규대▲KG케미칼▷부사장 김재익▷전무 김재수▷상무 백민제▲KG할리스F&B▷부사장 이종현▲KG이니시스▷전무 이선재 전승재▲KGE&C▷전무 윤병석▲KG스틸▷상무 조기연 한상무▷상무(보) 민영득▲KG모빌리언스▷상무 유충균▷상무(보) 최현수▲KGICT▷상무(보) 정철환▲KGE&C▷상무(보) 박상영 장호석▲KG제로인▷대표이사 한수혁▲대유에이텍▷전무 김현태▷상무 범형택▲대유에이피▷상무 김영남▲대유홀딩스▷상무 최광옥▲대유몽베르조합▷상무 장관희▲대유글로벌▷상무보 최재인▲대보정보통신▷부사장 최재훈 ▷상무보 이형채 이성진 임주환 황지환 유도삼▲대보건설▷전무 이동우 ▷상무보 진상균 조영찬 이윤석 이병복 김영관▲대보유통▷상무보 최영우▲대보그룹▷전무 정승인▲바디프랜드▷대표이사 김흥석▲DB자동차보험손해사정▷대표이사 유세종 ▲DBCNS▷대표이사 이대진▲현대해상▷CPC전략부문장 이권도▷AM영업부문장 한정근▷개인영업부문장 박종필▷인사총무지원부문장 진한승
2022-05-14,쌍용차 인수 예정자에 9000억 제시한 KG그룹,"쌍방울보다 1000억 높게 제시KG그룹이 쌍용차의 새 주인 후보로 선정됐다. 서울회생법원은 13일KG컨소시엄을 쌍용차 인수 예정자로 선정했다고 밝혔다. 비료 회사인 경기화학을 모태로 1985년 설립된KG그룹은KG스틸,KG케미칼,KG이니시스 등 국내 계열사 21곳, 해외 8곳을 보유하고 있다.KG컨소시엄은 인수 대금으로 9000억원가량을 제시했다. 경쟁을 벌인 쌍방울(광림컨소시엄)보다 1000억원가량 높은 것으로 전해졌다. 1차 인수가 불발된 에디슨모터스 인수 대금(3048억원)보다 금액이 크게 높아진 것은 이번에는 향후 운영 자금까지 포함됐기 때문이다.KG컨소시엄은 쌍용차와 사전 계약을 맺는다. 하지만 이번에는 공개 입찰을 한번 더 하는 ‘스토킹 호스(stalkinghorse)’ 방식으로 입찰이 진행되기 때문에 최종 인수자는 6~7월쯤 윤곽이 드러날 전망이다.한편 이날 쌍용차 상장 폐지 안건을 심의한 한국거래소가 올해 말까지 개선 기간을 연장함에 따라, 쌍용차는 상장폐지 걱정 없이 매각 작업을 진행할 수 있게 됐다."
2022-07-06,사전계약 3만대… 쌍용차 ‘토레스’ 자신감 넘친 발표회,"쌍용차 인수한KG그룹 회장 참석“멋진 회사로 다시 태어나겠다”5일 인천 네스트호텔에서 열린 쌍용차의 신형SUV'토레스' 신차 발표행사에서 문일한 쌍용차 수석연구원이 토레스 디자인을 설명하고 있다. /뉴시스쌍용자동차가 5일 3년 반 만에 신차 발표행 사를 열고 신차 중형SUV‘토레스’를 출시했다. 토레스는 쌍용차 전성기를 이끌었던 무쏘의 계보를 잇는 모델로, 경영난 탓에 그간 신차가 없었던 쌍용차가 옛 명성을 되찾겠다는 목표로 내놓은SUV(스포츠유틸리티차량)다.쌍용차는 인천 네스트호텔에서 열린 출시 행사에서 “토레스 사전 계약 물량이 목표 판매량의 2배 수준인 3만대를 돌파했다”며 “지난 1년간 낮 근무만 했던 평택 공장 조립 라인을 오는 11일부터 주·야간 2교대 체제로 확대하고 주말 특근도 시행할 것”이라고 밝혔다. 토레스 계약 물량 3만대는 쌍용차의 약 4개월어치 판매량(월 평균 약 8000대) 수준이다. 토레스 가격은 2740만~3020만원으로 확정됐다. 동급 국산SUV에 비해 가격이 500만~1000만원가량 저렴한 편이다. 정용원 쌍용차 관리인은 “2년 안에 경영 정상화를 달성하고 ‘SUV명가’ 지위를 되찾겠다”고 말했다.쌍용차는 전기차 중심 신차 출시와 수출 계획도 밝혔다. 쌍용차는 토레스를 시작으로 내년 중형 전기SUV,2024년에는 코란도 계보를 잇는SUV신차와 전기 픽업트럭을 출시하겠다고 밝혔다. 쌍용차는 지난해 중국 최대 전기차 제조사인BYD와 제휴하고,BYD배터리를 탑재한 전기차를 개발 중이다. 올해 하반기부터는 토레스의 해외 판로도 개척한다. 쌍용차는 올해 11월 칠레에서 신차 발표회를 여는 등 중남미 시장을 집중 공략할 계획이다.이날 행사에는 쌍용차 최종 인수자로 선정된KG그룹의 곽재선<사진>회장이 참석해 “구조 조정 없이 고용 승계를 할 것이며 자금 조달에도 문제가 없다”고 말했다. 곽 회장은 “국내 자동차 브랜드는 현대차그룹과 쌍용차 둘만 남았다”며 “소명감을 갖고 쌍용차를 멋진 회사로 다시 태어나게 할 것”이라고 말했다.KG그룹은 경영 정상화를 위해 인수 대금(3355억원)과 별개로 5000억원 이상 운영 자금을 지원할 계획이다.KG그룹의KG스틸(舊 동부제철)은 과거 자동차 강판을 제조했던 경험이 있고,KG케미칼은 배터리 소재 사업도 하고 있다.쌍용차 관계자는 “인수 절차가 마무리되면KG그룹과의 시너지를 낼 수 있는 중장기 전략을 세울 예정”이라며 “토레스의 선전까지 더해지면서 쌍용차 부활 기대감이 커지고 있다”고 말했다."
2022-04-08,쌍용차 스치기만해도 주가 들썩… 이러다 개미만 당한다,"투기 테마로 전락한 ‘인수戰’국내 주식 시장에 쌍용차 인수발(發) 광풍이 불고 있다. 업체들이 쌍용차 인수를 내비치면 주가가 급등하고 개인 투자자들이 상승하는 종목에 올라타 거래량이 폭발적으로 증가하는 상황이 반복된다. 이런 움직임은 기존 M&A(인수·합병)를 둘러싼 공식과 정반대다. 작은 기업이 규모가 큰 기업을 인수할 경우 자금 조달 문제가 불거지며 오히려 주가에 악재로 작용하는 경우가 많았다. 증시 전문가들 사이에선 쌍용차 인수 이슈가 투기 테마로 전락해 투자자들이 폭탄 돌리기를 하고 있다는 지적이 나온다.현재 쌍방울그룹, 이엔플러스,KG그룹 등이 인수 의사를 내비치고 있지만 이들이 실제 본입찰까지 참여할지는 미지수다. 지난해 1차 매각 시도 때 자금력을 갖췄다는 평가를 받은SM그룹(해운·중공업) 등이 인수의향서를 냈지만 본입찰에 나서진 않았다. 일각에선 현실적으로 인수 대금과 채권 변제 등 최소 5000억~1조원을 내는 게 버거운 기업들이 인수 의향을 내비치며 주가 부양에 나서고 있다는 지적도 제기된다.투기 테마 된 ‘쌍용차 인수’최근 주식 시장에선 ‘쌍용차에 스쳐도 주가가 오른다’는 말이 나온다. 실제 지난 1일 쌍용차 인수 의사를 처음 나타낸 쌍방울그룹의 경우 계열사 광림이 첫날 상한가를 기록하는 등 5거래일 동안 38.9% 오른 것을 비롯해 쌍방울 15.3%, 미래산업 13.8% 등 다른 계열사 주가도 일제히 올랐다. 6일KG그룹이 쌍용차 인수전에 뛰어든다는 소식이 돌자 7일까지KG동부제철(48%),KG케미칼(34.9%),KGETS(28%),KG모빌리언스(12%) 등 계열사 주가가 급등했다.거래량은 더 압도적이다. 지난 5일 쌍방울 관련주 거래량은 8억5466만주였다. 이는 코스피 전체 시장 거래량(9억9331만주)과 맞먹는 수준이다. 이 투자를 주도한 건 개인이다. 예컨대 쌍방울그룹의 인수 주체로 알려진 광림의 경우 1일부터 7일까지 외국인과 기관은 주식을 순매도 했지만, 개인만 151억원어치 주식을 샀다.한국거래소와 금융감독원이 시세 조종 등 불공정거래 여부에 대해 살피겠다고 나섰지만, 주가를 올린 주체가 이들 기업이 아니라면 위법을 따지기 힘들다는 게 전문가들 견해다. 참여연대 출신 김경률 회계사는 “기업들이 인수전에서 철수한다 해도 고의를 입증할 가능성은 적다”며 “피해는 고점에 주식을 산 개미들이 짊어질 가능성이 크다”고 했다.인수 여부에 관련 없이 기존 투자자들은 상당한 시세 차익을 거두고 있다. 5일 광림은 전환사채(CB) 157만993주에 대한 전환청구권이 행사됐다고 공시했다. 회사 전환사채를 가진 기존 투자자들이 이를 주식으로 전환한 것이다. 전환가액은 1655원으로 5일 종가 4250원과 비교하면 1주당 2.5배가량 시세 차익을 거둘 수 있다. 이전 에디슨EV에 투자했던 투자자들 역시 대부분 차익을 실현했을 것으로 관측된다. 지난해 5월 30일 6개 투자조합은 에디슨EV주식을 주당 1만4000원가량에 212만9957주를 샀다. 이 주식은 이후 6배가량 올랐다.쌍용차 경쟁력 제대로 검증됐나완성차 업계에선 치열한 전기차 시장의 생존 경쟁을 감안할 때 쌍용차 경쟁력이 더 철저하게 검증돼야 한다는 주장도 나온다. 벤츠와BMW등 글로벌 기업은 수년 내 모든 차량을 전기차로 전환하고 각각 50조원이 넘는 투자 계획을 발표하고 있다. 한 완성차 업체 관계자는 “쌍용차는 통합형 운영체제(OS)와OTA(무선업데이트) 등 소프트웨어나 전기차 전용 플랫폼 등 분야에서 국내외 기업과 비교해 경쟁력이 취약한 게 사실”이라고 말했다.인력 구조 조정 등 민감한 사안이 논의 대상이 되지 못하는 것도 리스크로 분류된다. 한 자동차 부품사 대표는 “쌍용차 인력을 그대로 유지해서는 어느 기업도 제대로 회사를 살리기 어려울 것”이라고 말했다. 에디슨모터스 측도 인수 협상 시 근로자 고용 보장을 전제로 했고 인원 감축은 논의하지 못했다. 게다가 쌍용차 노조는 작년 기준 5600만원까지 삭감된 평균 임금을 인수가 완료되면 곧바로 복원시키겠다는 입장이다."
2022-04-11,쌍용차 인수 KG·쌍방울 2파전…“2~3곳 더 있다”,"쌍용자동차는 이번주 중 재매각 계획안을 서울회생법원에 제출할 계획이다. [뉴시스]에디슨모터스와 인수·합병(M&A)이 무산된 쌍용차가 재매각 절차에 돌입했다.10일 업계에 따르면 쌍용차는 이번 주 중 쌍용차 재매각 계획안을 서울회생법원에 제출할 계획이다. 앞서 8일 법원은 쌍용차 회생계획안 가결기한을 10월 15일까지 6개월 연장했다.반년 안에 새로운 인수자를 선정하고 회생계획안을 내야 하는 만큼 갈 길이 바쁘다. 현재 쌍용차 인수 의향에 적극적인 곳은KG그룹과 쌍방울이다. 쌍방울은 지난주 인수의향서를 공식 제출했고,KG그룹은 쌍용차 측에 인수의사를 전달한 것으로 전해졌다. 자동차업계에 따르면 이 두 곳 외에도 서너 군데가 쌍용차 측에 인수의사를 밝혔다고 한다.업계 관계자는 “에디슨모터스 M&A 무산 후 상거래 채권단과 쌍용차 측 대표인 정용원 관리인이 비공개 간담회를 했다”며 “채권단이 향후 계획을 물었고, 정 관리인이 해외를 포함해 서너 곳에서 인수의사를 전달해와 접촉할 예정이라고 설명했다”고 전했다. 이와 관련, 과거 쌍용차 인수에 관심을 나타냈던 미국 자동차유통업체HAAH오토모티브홀딩스, 미국 전기차 스타트업 인디(INDI)EV,쌍용차와 전기차 배터리 개발·생산 기술협약을 맺은 중국 전기차업체 비야디(BYD) 등이 언급된다.쌍용차는 우선 인수예정자를 선정해 놓고 추가로 공개 경쟁입찰을 진행할 계획이다. 쌍용차 관계자는 “공개 입찰로만 하면 저가 입찰이 우려돼 최소한의 자격을 갖춘 인수예정자를 선정해 놓는 것”이라며 “공개 입찰에서 더 높은 인수 금액을 쓰는 곳이 있으면 우선협상대상자가 바뀔 수도 있다”고 말했다.업계 안팎에선 자금력 면에서 쌍방울보다 앞선KG그룹에 일단 이목이 쏠리고 있다.KG그룹은 비료회사인 경기화학(현KG케미칼)이 모태인 회사로 이니시스·KFC코리아·동부제철(현KG스틸)을 인수하며 성장했다. 사실상 그룹의 지주사인KG케미칼의 지난해 매출은 4조9315억원, 영업이익은 4671억원이다.KG스틸은 지난해 매출 3조3547억원, 영업이익 2969억원을 기록했다. 쌍용차의 지난해 매출은 2조4293억원이다. 쌍용차 관계자는 “지난해에도SM그룹이 쌍용차 인수자로 부상했다가 중도 하차했던 만큼 내부에서도 신중하게 보고 있다”고 했다."
2022-04-10,쌍용차 인수전 KG그룹·쌍방울 양파전 속 “2~3곳 더 있다”,"서울시내 한 쌍용자동차 판매 대리점. 뉴스1지난달 에디슨모터스와 인수·합병(M&A)이 무산된 쌍용차가 재매각 절차에 돌입했다.10일 쌍용차에 따르면 이번주 중 쌍용차 재매각 계획안을 서울회생법원에 제출한다. 앞서 8일 법원은 쌍용차 회생계획안 가결기한을 10월 15일까지 6개월 연장했다.반년 안에 새로운 인수자를 선정하고 회생계획안을 내야 하는 만큼 갈 길이 바쁘다. 현재 쌍용차 인수 의향에 적극적인 곳은KG그룹과 쌍방울이다. 쌍방울은 지난주 인수의향서를 공식 제출했고,KG그룹은 쌍용차 측에 인수의사를 전달한 것으로 전해졌다. 자동차업계에 따르면 이 두 곳 외에도 서너 군데가 쌍용차 측에 인수의사를 밝혔다고 한다.한 업계 관계자는 “에디슨모터스 M&A 무산 후 상거래 채권단과 쌍용차 측 대표인 정용원 관리인이 비공개 간담회를 했다”며 “상거래 채권단이 향후 계획을 따져 물었고, 정 관리인이 해외를 포함해 서너 곳에서 인수의사를  전달해와 접촉할 예정이라고 설명했다”고 전했다. 이와 관련, 과거 쌍용차 인수전에 관심을 나타냈던 미국 자동차유통업체HAAH오토모티브홀딩스, 미국 전기차 스타트업 인디(INDI)EV등이 오르내린다. 쌍용차와 전기차 배터리 개발·생산 기술협약을 맺은 중국 전기차업체 비야디(BYD)도 있다.━""인수예정자 선정 후 추가 공개 경쟁입찰 진행""쌍용차는 시간이 촉박한 만큼 매각 방식은 우선 인수예정자를 선정해 놓고 추가로 공개 경쟁입찰을 진행할 계획이다. 쌍용차 관계자는 “공개 입찰로만 하면 저가 입찰이 우려돼 최소한의 자격을 갖춘 인수예정자를 선정해 놓는 것”이라며 “공개 입찰에서 더 높은 인수 금액을 쓰는 곳이 있으면 우선협상대상자가 바뀔 수도 있다”고 말했다.그래픽=김영옥 기자yesok@joongang.co.kr업계 안팎에선 자금력 면에서 쌍방울보다 앞선KG그룹에 일단 이목이 쏠리고 있다.KG그룹은 비료회사인 경기화학(현KG케미칼)이 모태인 회사로 이니시스·KFC코리아·동부제철(현KG스틸)을 인수하며 성장했다. 사실상 그룹의 지주사인KG케미칼의 지난해 매출은 4조9315억원, 영업이익은 4671억원이다.KG스틸은 지난해 매출 3조3547억원, 영업이익 2969억원을 기록했다. 쌍용차의 지난해 매출은 2조4293억원이었다. 인수에 실패했던 에디슨모터스는 매출 규모가 1000억원이 안됐고, 쌍방울도 4000억원 대로 자금력 면에서 ‘역부족’이란 평가가 나온다. 쌍용차 관계자는 “지난해에도SM그룹이 쌍용차 인수자로 부상했다가 중도 하차했던 만큼 내부에서도 신중하게 보고 있다”고 했다.최근 쌍용차 인수 관련 기업의 주가가 널뛰기하는 것도 부담스러운 대목이다. 정은보 금융감독원장은 7일 “최근 상장기업 인수를 통한 구조조정 과정에서 자본시장을 악용해 신뢰성 저하와 투자자 피해가 우려되는 상황이 발생하고 있다”면서 “한국거래소·금융감독원·금융위원회자본시장단 등 유관기관들과 공조해 엄중하게 조치하겠다”고 밝혔다."
2023-05-04,"KG그룹 곽재선 회장, 신입사원들과 직접 대화 나섰다","KG그룹이 신규 입사자를 위한 ‘온보딩 프로그램’을 실시했다고 4일 밝혔다.KG그룹 온보딩 프로그램은 올해 1분기에 새로 입사한 187명을 대상으로 지난 3일 서울 중구KG타워에서 열렸다. 온보딩 프로그램은 회사에 대한 이해를 돕는KG소개, 건강한 일터를 만들기 위한 근무 안내 등의 내용으로 진행됐다. 온보딩 프로그램의 하이라이트는 '곽재선 회장과의 대화'였다. 그룹 창업자인 곽 회장은 ""'존경받는 기업’이 되기 위해서는 세상을 위해 지속해서 가치를 창출해야 하며, ‘자랑스러운 회사’를 위해서는 구성원 스스로가 행복해지기 위해 노력해야 한다""고 강조했다.KG그룹 곽재선 회장이 지난 3일 서울 중구KG타워에서 진행된 온보딩 프로그램에서 신규 입사자들의 질문에 답하고 있다. [사진KG그룹]이날 프로그램에 참여한KG케미칼 연보라 매니저는 “오늘 이 시간을 통해 업무 수행에 대한 동기 부여와 회사 생활에 대한 자신감을 얻었다”며 웃었다. 한편KG그룹은KG모빌리티,KG스틸,KG이니시스 등 주요 계열사의 신입 및 경력사원 공개 채용과 수시 채용 등을 통해 일자리 만들기에 나서고 있다."
