date,title,content
2024-07-22,허위공시로 600억대 부당이득 취한 KH필룩스 부회장 구속,"서울 남부지검 모습. /뉴스1주가조작으로 600억원대 부당이득을 취하고 검찰 수사를 받게 되자 해외로 도피했던KH필룩스 안모(54) 부회장이 구속됐다.서울남부지검 금융·증권범죄합동수사부(부장 공준혁)는 지난 20일 자본시장법 위반 혐의로 안 부회장을 구속했다고 22일 밝혔다.안씨는 2018년 2~9월KH필룩스 박모(55) 부회장, 안모(47) 대표 등과 공모해 신규 바이오 사업 진출과 관련한 허위 공시와 허위 보도자료를 배포해 사기적 부정거래로 631억원 상당의 부당이득을 챙긴 혐의를 받는다. 박 부회장과 안 대표는 앞서 지난 8일 구속됐다.검찰은 지난달 23일 필리핀 마닐라 국제공항에서 현지 출입국관리당국에 붙잡힌 안 부회장에 대한 범죄인 인도를 요청했고, 지난 19일 신병을 인계받았다.검찰 관계자는 “향후에도 사기적 부정거래 사범 등 금융·증권 범죄를 엄단해 선량한 ‘개미투자자’를 보호하고 시장 질서를 어지럽히면 반드시 대가를 치르게 된다는 메시지가 주식시장에 확실히 전달되도록 하겠다”고 했다."
2024-04-17,"공정위, ‘알펜시아 입찰담합’ KH그룹사 6곳에 과징금 510억원","‘황제 도피' 배상윤 회장도 검찰 고발서울 강남구KH그룹의 모습. /뉴스1강원도 알펜시아 리조트 매각 과정에서 담합한 혐의를 받는KH필룩스 등KH그룹사 6곳이 공정거래위원회로부터 510억여원의 과징금을 부과받았다.공정위는KH그룹사들의 공정거래법 위반 혐의에 대해 과징금 510억400만원을 부과했다고 17일 밝혔다. 과징금을 받은 6곳은KH필룩스,KH건설,KH강원개발,KH농어촌산업,KH전자,IHQ등이다. 공정위는 또 이들 6곳 중 담합에 적극적으로 가담한KH필룩스 등 4개사와 배상윤KH그룹 회장을 검찰에 고발 조치했다.이 사건은 검찰과 경찰이 2021년부터 형법상 입찰 방해 혐의로 수사하고 있다. 공정위가 같은 사건의 공정거래법 위반 혐의를 따로 조사해 제재 조치를 내린 것이다. 공정거래법 위반 사건은 공정위에 전속 고발권과 과징금 부과 권한이 있다.공정위에 따르면, 이 사건 입찰은 강원도개발공사가 보유한 알펜시아 리조트 자산매각을 목적으로 2020년 10월부터 공개경쟁입찰 방식으로 진행됐다. 그러나 2020~2021년 4차례 진행된 입찰은 투찰자가 없어 유찰됐고, 이어 2021년 3~4월에 진행된 2차례 수의계약도 결렬됐다.이후 2021년 5~6월 진행된 5차 입찰에서 문제된KH그룹사들이 담합을 저질렀다는 것이 공정위 판단이다.KH필룩스가 설립한 특수목적법인(SPC)인KH강원개발이 최종 낙찰받는 과정에서,KH건설이 설립한SPC인KH농어촌산업(당시KH리츠)가 ‘입찰 들러리’를 섰다. 또KH전자는KH강원개발,IHQ는KH농어촌산업의 지분을 각각 인수하는 방식으로 참여했다.투찰 당일인 2021년 6월 18일 들러리인KH농어촌산업 측이 예정가격에 근접한 6800억10만원을 투찰한 후 이 금액을KH강원개발 측에 텔레그램으로 전송했고,KH강원개발은 이보다 조금 높은 6800억7000만원을 투찰해 최종 낙찰받았다.배 회장은 이런 담합 과정에서 세부사항을 보고받고 이를 승인하는 등 이 사건 담합을 주도한것으로 조사됐다. 그는 현재 동남아시아에 도피 중인데, 현지 카지노에서 수백억원을 도박으로 탕진하는 등 이른바 ‘황제 도피' 생활을 한 것으로 알려졌다. 인터폴 적색수배가 내려진 상태다.공정위 관계자는 “이번 사건은 지방 공기업이 보유한 대규모 자산의 매각과 관련된 입찰담합을 적발한 것”이라며 “담합에 직‧간접적으로 참여한 모든 사업자를 제재하고, 과징금 납부에 대한 연대책임을 부과하는 등 엄정하게 조치했다”고 말했다."
2024-04-18,‘알펜시아 리조트 담합’ KH그룹사에 과징금 510억,"공정거래위원회는 강원도 알펜시아 리조트를 낙찰받는 과정에서 담합한 것으로 드러난KH필룩스 등KH그룹 회사 6곳에 대해 과징금 510억400만원을 부과했다고 17일 밝혔다. 공정위는 또 이들 회사 중 적극적으로 담합에 개입한 4곳과 배상윤KH그룹 회장을 검찰에 고발했다.이 사건은 2021년 6월 강원도개발공사가 경영 개선을 위해 공개 경쟁 입찰에 내놓은 알펜시아 리조트를KH그룹사들이 담합해 싼 가격으로 낙찰받은 것이 핵심이다. 연루된 그룹사 6곳은KH필룩스,KH건설,KH강원개발,KH농어촌산업,KH전자,IHQ등이다. 앞서 2020년부터 이 리조트의 매각이 시도됐지만, 투찰자가 없어 4차례 유찰된 상황이었다.공정위에 따르면, 당시 5차 입찰에서KH필룩스가 설립한 특수목적법인(SPC)인KH강원개발과KH건설이 설립한SPC인KH농어촌산업(당시KH리츠) 등 2곳이 투찰했다. 그런데 이 중KH농어촌산업은 ‘들러리’였다는 것이 공정위 판단이다.KH농어촌산업 측은 6800억10만원에 투찰한 후 이 금액 정보를KH강원개발 측에 전달했고,KH강원개발은 이보다 조금 높은 6800억7000만원을 써 내 낙찰받았다. 공정위 관계자는 “투찰이 독립적으로 이뤄졌다면 낙찰 가격이 더 높았을 가능성이 있다”며 “부당하게 경쟁을 저해한 것”이라고 말했다.배 회장은 이 같은 과정을 보고받고 승인하는 등 담합을 주도한 것으로 조사됐다. 그는 이 사건과 관련한 수천억원대 배임 혐의로도 검찰 수사를 받고 있는데, 현재 해외 도피 중이다. 수사 당국은 그에 대해 국제형사경찰기구(인터폴) 적색수배를 내린 상태다."
2023-04-06,"KH그룹 계열사들, 감사의견 거절로 줄줄이 퇴출 위기","검찰이 압수수색 중인 서울 강남구KH그룹의 모습. 2022.12.27/뉴스1쌍방울그룹의 대북 송금 의혹 등에 연루된KH그룹의 계열사들이 6일 잇따라 감사의견 거절을 받으며 상장폐지 위기에 처했다.한국거래소 코스닥시장본부는 이날KH건설이 2022년 사업연도 재무제표에 대한 감사의견 거절을 받아 상장폐지 사유가 발생했다고 공시했다.KH건설의 주권 매매거래는 상장폐지에 대한 이의신청기간 만료일 또는 이의신청에 대한 상장폐지 여부 결정일까지 정지된다.코스닥시장 상장규정에 따르면 상장폐지 사유가 발생한 상장사는 통보를 받은 날로부터 15일 이내 이의신청을 할 수 있으며 이의신청이 없는 경우 상장폐지 절차가 진행된다.전날엔 유가증권시장에 상장된IHQ가 2022년 사업연도 재무제표에 대한 감사의견 거절을 받아 상장폐지 절차가 진행되고 있다.IHQ는KH그룹이 계열사KH미디어와KH필룩스 등을 통해 지분을 총 36.66% 보유한 최대주주다.이외에도KH필룩스,KH전자, 장원테크도 비적정 감사의견을 받았다는 풍문에 이날부터 매매거래가 정지됐다. 거래소는 이들 회사에 감사의견 비적정설에 대한 조회공시를 요구한 상태다.KH그룹은 알펜시아리조트 입찰 비리 의혹, 쌍방울그룹의 대북 송금 의혹 등에 연루된 회사다."
2023-01-09,조폭·사기꾼이 재벌 되고 부자 되는 나라[강경희 칼럼],"쌍방울·KH필룩스·라임·빌라왕CB남발해 무자본 M&A전세금 부풀려 무자본 갭투자개미·세입자 등골 빼먹은경제 범죄 참극 곳곳서파수꾼이 있기는 했나#1. 지난 10월 사망한 속칭 ‘빌라왕’ 김씨를 필두로 전세 사기극의 전모가 속속 드러나고 있다. 새 빌라를 집값보다 비싸게 전세 주고는 그 돈을 챙겨간 사기범 패거리가 한둘이 아니었다. ‘바지 집주인’은 부실채권을 한데 모아놓은 일종의 ‘배드뱅크’였다. 세입자 돈은 다른 사람들이 다 빼갔다. 신혼 부부나 사회 초년생이 찾아간 신흥 빌라촌은 건축회사, 분양업체, 감정평가사, 공인중개사, 집주인까지 다 짜고 한 패인 범죄 소굴이나 다름없었다. 다주택자를 죄인시하면서 온갖 규제를 휘두른 정권에서 이토록 간 큰 빌라왕들이 다수 배출된 건 도대체 어떤 연유에서인가.김성태 전 쌍방울그룹 회장(왼쪽)과 배상윤KH그룹 회장(오른쪽).#2. 김성태 쌍방울 전 회장과 배상윤KH필룩스 회장은 수사 와중에 뒤늦게 실체가 알려지고 있지만, 이미 증시에서는 일찌감치 알 만한 전문가들이 고개를 내저은 요주의 인물들이었다. 쌍방울 경영권을 인수하면서 주가 조작에 함께 가담한 전력이 있다. 코스닥 상장기업을 인수해 제도권에 진입한 뒤로는 더 대담해졌다. 전환사채(CB)를 마구 찍어 무자본 M&A(기업 인수합병)로 사세를 불리고 그 와중에 바이오, 대북경협 등의 테마로 주가를 띄워 차익을 챙겼다. 또 다른 전주(錢主)로 지목되는 W씨를 비롯해 요주의 4인방의 코스닥 기업 20개가 증시에서 조달한 금액이 3조5000억원에 육박하는 것으로 추산된다. 조폭, 불법 사채업자 출신이 개미투자자 돈을 진공청소기처럼 빨아들이며 그룹 회장으로 초고속 신분 상승하는 데 불과 3~4년도 안 걸렸다.#3. 제일 먼저 불거진 라임·옵티머스 환매 중단 사태는 대형 경제범죄의 포문을 연 것에 불과했다. 옵티머스는 애당초 펀드 구조가 사기 행각이었다. 라임자산운용은 코스닥 한계기업CB를 50곳도 넘게 쓸어 담으며 이후 코스닥시장의 최대 골칫거리로 떠오른 무자본 M&A 시대를 개척했다. 라임 사태 이후 금융감독원도CB를 활용한 무자본 M&A의 심각성을 인지했지만 쌍방울·KH필룩스 오너 같은 기업 사냥꾼을 속수무책 방치했다.최근 몇 년 새 주택시장, 주식시장, 금융시장에서 초대형 사기 행각이 거의 동시다발로 벌어졌다. 일련의 사태는 각기 다른 듯해도 공통점이 있다. 이전 경제 범죄는 무허가 업체가 음지에서 벌인 것들이었다면, 최근엔 제도권에 버젓이 진입해 대담해졌다. 제도의 허점, 관련 기관의 도덕적 해이, 감독 당국의 무능을 조롱하듯 벌인 지능형 범죄들이다.시장에 착한 돈이 선순환 구조를 이루며 건전한 기업 등으로 유입돼야 하는데 보통 사람들의 등골 빼먹는 나쁜 돈이 너무 많아졌다. 라임과 옵티머스는 정식 자산운영사로 인가받고 사모펀드로 등록한 뒤 은행과 증권사를 통해 상품을 팔았다. 은행과 증권사는 자신들이 파는 펀드상품이 뭔지도 모른 채 고객들에게 불량품을 마구 팔았다. 그게 라임과 옵티머스뿐만이 아니었다. 은행과 증권사의 실력과 도덕적 해이가 다 드러났다.기업 사냥꾼이 활개 친 코스닥 상황은 더 심각하다. 큰돈 벌고 기업인 행세를 하니 정치권, 검찰, 일류 로펌, 투자은행 출신 등 엘리트들이 방패막이가 되어준다.CB는 중소기업들의 자금 조달을 용이하게 해주려고 길을 터준 것인데, 기업 사냥꾼들이 코스닥 한계기업에 빨대 꽂고 땅 짚고 헤엄치기 돈놀이를 하는 통로로 악용했다. 코스닥의 상폐 요건,CB및 유상증자를 통한 자본 조달 요건을 다 재정비해야 한다.빌라왕들한테 사기당한 건 무주택 세입자뿐만이 아니었다. 전세금 떼먹은 집주인 대신 변제해 주는 주택도시보증공사(HUG)는 사기당하는 줄도 모른 채 최대 금액의 사기를 당한 꼴이 됐다. 5년 새 보증금 미반환 사고가 10배로 불어나고, 그간 갚아준 1조6000억원 중 절반도 회수 못 했다. 악성 집주인 중 나랏돈을 500억원 넘게 떼먹은 사람이 여럿이다. 전세 사기 수사가 이뤄지고 나서야 감정평가를 믿을 만한 업체들한테만 맡기고 대출 보증 한도도 줄이겠다고 제도 보완에 나섰다. 사기꾼들한테 눈 뜨고 코 베여 나랏돈이 줄줄 샜다.경제 범죄는 날로 지능화된다. 개인 투자자나 소비자가 다 알기 힘들다. 건강한 자본주의가 작동하려면 경제 관련 기관들의 전문성과 책임감이 더 높아져야 하고, 제도를 만들고 범죄를 가려내는 정부와 사법 당국이 사기꾼들보다 똑똑하고 매서워져야 한다. 미국처럼 처벌도 더 무겁게 해야 하고, 범죄 수익 몰수도 더 집요하고 신속해야 한다. 뉴욕 사업가 숄람 와이스는 보험사를 상대로 한 5000억원대 사기 혐의로 징역 845년형을 선고받았다. 미국 같으면 100년형도 더 나왔을 범죄들이 우리나라는 기껏 길어야 15년, 25년형이다. 몇 년 징역 살고 나와 빼돌린 돈으로 떵떵거리고 살 수 있다면 경제범죄는 더 대담해진다. 조폭과 사기꾼이 쉽게 돈 벌고 성공하는 사회에서는 건전한 자본주의를 기대하기 힘들다. 검사 출신 대통령, 법무부 장관, 금융감독원장이 무너진 경제 질서만 제대로 잡아도 많은 게 정상화된다."
2024-09-14,‘오리무중’ 배상윤 행방에…1년 넘게 멈춘 ‘알펜시아 입찰 비리’ 檢 수사,"베트남-캄보디아 일대서 ‘황제도피’이른바 ‘알펜시아 입찰 비리’ 의혹에 대한 검찰 수사가 1년 넘게 사실상 멈춘 것으로 14일 전해졌다. 이 의혹은 2022년 6월KH그룹이 알펜시아 리조트를 인수하는 과정에서 강원도와 공모해 경쟁 입찰인 것처럼 외관을 꾸미고, 실제로는 단독 입찰을 따냈다는 것이다. 배상윤KH그룹 회장은 이때 인수대금 4500억여 원을 마련하면서 계열사가 전환사채를 발행해 입찰 자금을 지원하게 한 혐의도 받고 있다.배상윤KH그룹 회장./KH그룹베트남-캄보디아 국경 오가며 추적 피해검찰 수사에 제동이 걸린 것은 배 회장이 해외로 도피‧잠적했기 때문이다. 본지 취재를 종합하면, 배 회장은 지난 2022년 6월 미국 하와이로 출국한 이후 동남아시아 일대에서 거주지를 옮겨 다니며 도피하고 있는 것으로 알려졌다. 최근엔 베트남과 캄보디아 접경지대에서 국경을 넘나들고 있다고 한다.베트남-캄보디아 국경은 약 1255km에 달해 사법당국의 추적을 피하기 쉬운 것으로 알려져 있다. 검찰은 작년 3월 배 회장의 체포영장을 발부 받았고, 인터폴 적색수배와 여권 무효화 조치도 마친 상태다. 그러나 1년 6개월째 신병 확보에 애를 먹고 있는 것이다.검찰은 이미 이 의혹과 관련해KH그룹 임직원 다수를 조사했다. 작년 7월엔 최문순 전 강원지사도 피의자 신분으로 불러 조사한 상태다.KH강원개발이 알펜시아를 인수할 수 있도록 최 전 지사와KH그룹 측이 계열사인KH리츠를 허위 입찰자로 내세우기로 사전에 공모한 뒤 입찰 정보를 주고받은 것으로 검찰은 보고 있다. 한 법조인은 “공모 관계에 있는 최 전 지사에 대한 조사가 이뤄진 만큼, 배 회장에 대한 조사가 이뤄지면 사건을 처분할 수 있을 것”이라고 했다.최문순 전 강원지사./뉴시스한식 공수‧홀인원 축하…'황제도피’ 논란배 회장이 ‘황제도피’ 생활을 즐긴 것이 알려지면서 논란은 더욱 커졌다. 서울중앙지검 강력범죄수사부는 작년 5월 배 회장의 도피 생활을 도운KH그룹 관계자들에 대해 구속영장을 청구하면서 “(배 회장은) 동남아시아 현지에서 한국 음식을 공수받거나 수행원의 수발을 받으며 호화 리조트, 골프장 등을 드나들었다”고 밝혔다. 또 “횡령한 계열사 자금 수백억원 상당을 카지노 도박으로 탕진했다”고 했다.검찰은 배 회장이 베트남 현지에서 10명 안팎의 수행원을 거느리고 호화 도피를 즐긴 정황도 파악한 것으로 알려졌다. 배 회장은 가족을 베트남으로 불러들여 ‘요트 선상 파티’를 즐기고, 골프장에서 ‘홀인원’을 해 축하 술자리도 가졌다고 한다.법조계 “신병 확보 미루면 안돼”배 회장의 신병이 확보될 경우 답보 상태에 빠진 다른 수사의 실마리도 풀릴 수 있다는 것이 법조계 관측이다. 배 회장은 알펜시아 입찰 비리 의혹 외에도 ‘KH주가조작’ 사건의 피의자로 입건돼 있다.KH그룹이 미국의 한 바이오회사와 함께 암 치료제를 개발한다는 허위 사실을 유포하고, 회사 주가를 띄워 631억원을 챙겼다는 혐의다. 이 사건을 수사 중인 서울남부지검 금융·증권범죄합동수사부(부장 공준혁)는 지난 7월 전KH필룩스 부회장 안모씨를 필리핀에서 체포해 국내로 송환한 뒤 구속 기소했다.해외 도피생활 중 태국에서 체포된 김성태 전 쌍방울그룹 회장이 작년 1월 17일 오전 인천국제공항을 통해 입국하는 모습. /뉴스1차장검사 출신 변호사는 “해외도피한 김성태 전 쌍방울 회장이 우리나라로 송환되면서 ‘쌍방울 불법 대북 송금’ 수사가 급물살을 탄 바 있다”며 “사법 당국이 배 회장의 신병 확보에 주력해야 한다”고 했다. 다른 법조인은 “‘라임 펀드 비리’ 사태 주범 이인광 전 에스모 회장은 프랑스 현지에서 체포될 때까지 4년 5개월동안 도피 생활을 했다”며 “배 회장 소재 파악에 속도를 내야 할 때”라고 했다."
2023-04-26,"검찰, 배상윤 KH그룹 회장 인터폴 적색수배...안진회계법인 압수 수색","강원 평창 알펜시아리조트 입찰비리 의혹을 수사하는 검찰이 수천억원대 횡령·배임 혐의를 받는 배상윤KH그룹 회장에 대해 국제형사경찰기구(인터폴) 적색수배를 내렸다.법조계에 따르면, 서울중앙지검 강력범죄수사부(부장 신준호)는 이달 초 배 회장에 대해 인터폴 적색수배를 내렸다. 적색수배는 체포 영장이 발부된 중범죄 피의자에게 내려지는 국제수배 조치다.배상윤KH그룹 회장. /조선일보DB배 회장은 알펜시아 매입 과정에서 소속 계열사에 담보 제공과 전환사채(CB) 발행 등 자금 지원을 요구해 계열사들에 수천억원대 손해를 끼친 혐의를 받고 있다. 배 회장은 지난해 사업 목적으로 출국해 아직 귀국하지 않고 있다.검찰은 또 이달 초 안진회계법인 소속 회계사들의 사무실, 입찰 관련 전산 서버 등을 관리한 한국자산공사 등을 압수 수색한 것으로 알려졌다.KH그룹 계열사인KH강원개발은 지난해 6월 공개 입찰을 통해 알펜시아를 7115억원에 매입했다. 검찰은 당시KH그룹이 실제로는 단독 입찰하면서 겉으로는 경쟁 입찰인 것처럼 꾸몄다는 입찰 방해 혐의 등을 수사 중이다.KH그룹은 알펜시아 입찰을 앞둔 작년 5월 자본금 1000만원짜리 계열사인KH강원개발과KH리츠를 설립했고 입찰에는 두 회사가 참여했다. 이후KH강원개발이 알펜시아를 낙찰받았다.서울중앙지검 전경. /조선일보DB검찰은 이 의혹과 관련,KH그룹이 경쟁 입찰 과정에서 안진회계법인에 자문을 요청했고 안진이 ‘문제 없다’는 취지의 의견을 회신한 것으로 보고 있다. 안진은 알펜시아 낙찰이 결정되기 전 ‘2개 회사만 입찰에 참여했다’는 정보를KH그룹과 강원도 측에 알리는 등 입찰 과정에 깊이 관여했던 것으로 알려졌다.검찰은 지난해 12월KH그룹 본사 및 관계사, 최문순 전 강원도지사와 강원도청 등을 상대로 대대적인 압수 수색을 벌였다. 이어 최근까지KH필룩스 대표 한모씨,KH일렉트론 대표 배모씨,KH건설 강모씨 등 계열사 임직원들을 소환 조사했다. 최 전 지사와 해외 도피 중인 배상윤KH그룹 회장은 아직 조사를 받지 않았다."
2023-02-22,"검찰, ‘알펜시아 입찰방해’ KH계열사 대표들 소환조사","서울 서초구 서울중앙지방검찰청 건물에 새겨진 로고. 2021.11.1/뉴스1 ⓒNews1 뉴스1강원 평창 알펜시아리조트 입찰비리 의혹을 수사하는 검찰이 최근KH그룹 계열사 대표들을 잇따라 소환조사한 것으로 22일 전해졌다.서울중앙지검 강력범죄수사부(부장 신준호)는 최근 알펜시아 인수와 관련해 입찰방해·배임 혐의를 받는KH필룩스 대표 한모씨 외에 참고인 신분으로KH일렉트론 대표 배모씨,KH건설 대표 강모씨 등을 불러 조사했다. 그에 따라 배임 관련 수사는 해외 도피중인 배상윤 회장 조사만 남아 있다.검찰은 앞서 작년 12월 27일 알펜시아 리조트 입찰방해 혐의로KH그룹 본사 및 관계사, 관계자 주거지와 최문순 전 지사를 상대로 대대적인 압수수색을 벌였다. 지난달에는KH그룹 재무담당 임원이자 연예기획사iHQ대표인 김모씨를 소환 조사했다. 검찰은 당시 김씨를 불러 알펜시아 리조트 입찰방해 혐의는 물론 쌍방울 그룹과의 자금 연계 의혹 등 전반에 대해서도 추궁한 것으로 전해졌다.김성태 전 쌍방울 회장과 ‘경제 공동체’로 불리는 배상윤 회장은 수원지검에서 수사 중인 ‘쌍방울그룹 대북 송금 의혹’의 핵심 인물이기도 하다.KH·쌍방울은 2019년 아태평화교류협회와 업무협약을 맺고 후원을 통해 북한에 외화를 송금했다는 의혹을 받고 있다. 배상윤 회장은 동남아에 체류중이며,KH그룹은 지난달 “(배 회장이) 귀국해 검찰 조사에 협조하겠다는 입장에는 변함이 없다”고 한 바 있다."
2022-06-17,‘한판승의 사나이’ 이원희 현역 복귀...“파리올림픽 금메달 목표”,"2004 아테네 올림픽 금메달‘한판승의 사나이’ 이원희(41) 용인대 교수가 현역으로 복귀한다. 이 교수는 17일 본지와의 통화에서 “올해 초 경기도유도회 소속으로 선수 등록을 했고, 오는 11월 국가 대표 선발전을 목표로 훈련하고 있다”고 밝혔다.‘한판승의 사나이’ 이원희(41) 용인대 교수가 현역으로 복귀한다./뉴시스그는 그 이유에 대해 “코로나 사태와 경제 상황으로 어려움을 겪는 사람들의 이야기를 많이 접했다”며 “올림픽 금메달리스트 출신 교수로서 안정적인 삶을 살고 있었지만, 국민을 향해 할 수 있다는 메시지를 주고 싶은 마음에 선수 복귀를 결심했다”고 말했다.이 교수는 2003년 세계선수권대회와 2004 아테네 올림픽, 2006 도하 아시안게임에서 모두 금메달을 목에 걸며 한국 유도 최초로 그랜드슬램을 달성한 유도계 전설이다. 특히 아테네 올림픽에선 첫판을 제외하고 모두 한판승을 거두며 최고의 기량을 선보였다. 그는 은퇴 후 해설위원을 거쳐 2011년부터 모교 용인대에서 유도경기지도학과 교수를 맡았고 2016 리우 올림픽에서 여자 대표팀 코치를 지냈다.지난해 여름 선수 복귀를 결심한 이 교수는 체중을 감량한 뒤 12월부터 본격적으로 훈련을 소화했다. 당초 지난 3월 순천만국가정원컵 전국 대회를 통해 복귀하려 했으나 코로나 감염으로 출전이 무산됐고, 11월 국가 대표 선발전 출전을 노리고 있다. 그는 최근 한 예능 프로그램에서 마련한 이벤트 경기에서 국가 대표 상비군 김대현(20)을 상대로 밭다리후리기로 한판을 따내며 건재함을 과시했다.이 교수의 목표는 내년 항저우 아시안게임에 출전한 뒤 2024 파리 올림픽 무대에서 금메달을 따내는 것이다. 그가 올림픽에 나서려면 국가 대표 선발전을 통과하고, 세계 랭킹에서 같은 체급(남자 73㎏급) 후배들을 제쳐야 한다. 73㎏급에선 도쿄 올림픽 동메달리스트 안창림(28·KH그룹 필룩스)이 작년 12월 대표팀에서 은퇴한 뒤 현재 강헌철(26·용인시청)과 이은결(21·용인대)이 국가 대표로 활동 중이다. 대한유도회 관계자는 “이 교수의 도전에 후배들이 자극을 받아 더 열심히 한다면 기량 발전에도 도움이 될 것”이라고 했다."
2023-01-14,[만물상] 조폭도 기업화,"김성태 전 쌍방울 회장이 해외 도피 8개월 만에 태국에서 체포돼 송환된다. 민주당 이재명 대표의 변호사비 대납, 대북 송금 등 온갖 비리 의혹의 중심 인물이다. 김성태와 ‘경제 공동체’로 알려진 배상윤KH그룹 회장은 아직 해외 체류 중이다.▶1997년 11월 18일 자 본지 사회면에 ‘채무의 30% 받고 납치 고문, 청부 폭력 조직 대거 적발’ 기사가 보도됐다. 유흥업소 돈벌이가 줄자 조폭들이 채무가 있는 중소기업인 등을 납치해 야구방망이로 폭행하고 물고문하면서 대신 돈을 받아내는 청부 폭력을 벌였다. 여섯 파 26명이 검찰에 검거됐다. ‘신영광파 부두목 배상윤’이 거기 있었다. ‘전주 나이트파’ 출신 김성태는 불법 도박장을 운영하고 불법 대부업을 하다 적발됐다.▶김성태는 2010년 쌍방울을 인수하면서 ‘기업인’으로 변신했다. 그런데 출발부터 불법이었다. 김성태와 배상윤 둘 다 쌍방울 주가조작에 관여했다. 유죄였지만 집행유예로 감옥도 안 갔고 시세 차익도 추징당하지 않았다. 이 허술한 단죄가 날개를 달아줬다. 배상윤은 자본금 1억원짜리 회사를 세우고 몇 단계를 거쳐 무자본 M&A(기업 인수합병)로 코스닥 상장기업 필룩스를 인수했다. 필룩스는 엔지니어 창업자가 40년간 적자 한 번 안 내고 건실하게 일군 조명회사였다. 2세에 물려주지 않고 매물로 내놨는데 기업 사냥꾼에게 넘어간 뒤 전환사채(CB)를 대거 찍어내고 속 빈 강정이 됐다.▶서울 남산의 하얏트호텔은 미국 대통령이 방한 때 묵던 명소다. 이 하얏트가 매물로 나왔고 국내 업체들이 관심을 보였지만 하얏트는 외국계에 매각하기를 원했다. 2019년 12월 하얏트가 홍콩계 사모펀드PAG에 팔렸다는 발표가 났다. 그런데 이듬해 조폭 10여 명이 이 호텔 로비에 쳐들어가 “KH회장은 60억원을 갚으라”고 난동을 부렸다. 최고급 호텔서 일어날 수 없는 변고였다. 알고 보니 하얏트의 실제 인수자가KH배상윤이 주도한 자금이었다. 쌍방울이 인수한 나노스(현SBW생명과학)는 한때 코스닥 시가총액 2위에 올랐다. 나노스가 북한 광물 사업권을 약정받았다는 테마로 주가가 급등했다. 나노스의CB200억원을 인수한 쌍방울측은 1500억원 넘게 번 것으로 알려졌다.▶머니게임엔 공식이 있다. 전주(錢主)가 누구인지 모르는 투자 조합이 여럿 등장한다. 기업을 공동 사냥한 뒤 이익을 나눠 갖는다. 김성태, 배상윤 외에 다른 전주들도 있다. 유상증자와 전환사채(CB) 발행으로 자금을 뽑아내 또 다른 기업 사냥에 나선다. 온갖 테마로 주가를 띄워 차익을 챙긴다. 영화보다 더 영화 같은 일이 벌어지고 있다."
