date,title,content
2024-10-07,LG디스플레이 OLED 패널 ‘美 눈 건강 인증’서 최고등급,"LG디스플레이OLEDTV및 모니터 패널이 아이세이프 일주기 리듬 인증을 받았다. 사진은LG디스플레이 진민규 기술위원(사진 좌측)이 아이세이프 폴 브로일스(PaulBroyles) 디스플레이 인증위원장(HeadofDisplayCertification)에게 인증서를 받고 있는 모습./LG디스플레이 제공LG디스플레이는 6일 “27∼97인치 유기발광다이오드(OLED)TV와 모니터 패널 전 모델이 미국 눈 안전 특화 인증기관 ‘아이세이프’(Eyesafe)의 ‘일주기 리듬 인증’(CircadianCertification)을 최초로 획득했다”고 밝혔다.일반적으로TV나 스마트폰을 오래 시청하면, 24시간을 주기로 밤낮에 따라 나타나는 생체 리듬이 영향을 받는다. 모니터에서 방출되는 유해 블루라이트가 생체 리듬 유지에 핵심 역할을 하는 호르몬 멜라토닌에 영향을 주기 때문이다.LG디스플레이 관계자는 “OLEDTV와 모니터 패널에서 나오는 유해 블루라이트 비율은 업계 최저 수준인 36%였다”며 “눈 건강과 관련해 인체 친화적 디스플레이임을 입증한 것”이라고 말했다."
2024-09-27,"LG디스플레이, 中에 LCD 공장 2조원 매각","한국,LCDTV패널 시장서 철수LG디스플레이가 중국 광저우에 있는 대형LCD(액정표시장치) 공장을 중국 기업CSOT에 2조원에 매각한다. 이로써 한때TV용LCD시장을 주도했던 한국 디스플레이 기업들은LCDTV패널 시장에서 완전히 철수하게 됐다.LG디스플레이는 26일 이사회 승인을 거쳐 중국 광저우 대형LCD공장 지분을 중국TCL그룹의 자회사인CSOT에 양도하는 계약을 체결했다고 밝혔다. 매매 대금은 108억위안(약 2조300억원)이며 처분 예정 일자는 내년 3월 31일이다.LG디스플레이 광저우 공장 매각으로TV에 탑재되는 대형LCD를 생산하는 한국 디스플레이 기업들은 없게 된다. 삼성디스플레이는 2020년 중국 쑤저우 공장을 중국 기업인CSOT에 매각했고, 2022년LCD사업을 완전히 접었다.LG디스플레이는 2022년 국내에서TV용LCD패널 생산을 중단했다. 이번에 중국 공장 매각으로 대형LCD사업에서 완전히 철수한 것이다. 이는 중국 기업들의 저가 공세에 시장에서 한국 기업들의 경쟁력이 떨어졌기 때문이다. 시장조사 업체 옴디아에 따르면 2016년 세계LCDTV패널 시장의 31%를 차지했던 중국이 지난해 67.3%로 두 배 이상으로 늘어나는 동안, 한국은 점유율 37.9%에서 3.4%로 급감했다.LG디스플레이는 지분 매각으로 확보한 자금을 통해OLED(유기발광다이오드) 사업 중심으로 사업 구조를 개선할 계획이다. 주로 프리미엄 제품에 탑재되는OLED는 수익성이 높고, 중국이 따라잡지 못한 분야로 평가된다.LCDTV패널 사업은 철수했지만IT·차량용 중소형LCD사업은 계속한다.LG디스플레이는 “OLED에 더욱 집중해 사업 경쟁력을 높이고 안정적인 수익 기반을 구축하는 데 주력해 나갈 것”이라고 했다."
2024-08-20,"검찰, OLED 기술 중국에 유출한 LG디스플레이 전직 직원 3명 기소","전직LG디스플레이 직원들이 대형OLED(유기발광다이오드) 패널 양산 기술을 중국 경쟁업체에 넘긴 혐의로 재판에 넘겨졌다.서울중앙지검 정보기술범죄수사부(부장 안동건)는 최근 산업기술보호법과 부정경쟁방지 및 영업비밀 보호에 관한 법률 위반 혐의로LG디스플레이 직원 출신 2명을 구속기소하고 1명을 불구속 기소했다고 20일 밝혔다.서울 서초구 서울중앙지검 전경. 2021.5.11/뉴스1 ⓒNews1 박세연 기자A씨 등은 2021~2022년LG디스플레이 중국 광저우 공장의 설계 도면을 스마트폰으로 촬영해 중국 경쟁 업체에 빼돌린 혐의를 받는다. 주범 A씨는 2021년 중국의 대형 디스플레이 업체로 이직하면서 이 같은 범행을 시작했고, 그 후에는LG디스플레이에 근무하던 직원 등과 공모해 대형OLED양산 기술을 유출했다.A씨는LG전자에 입사한 뒤LG디스플레이로 옮겨 20년 이상 근무한 것으로 알려졌다.A씨 등은 국가정보원이 경찰에 관련 첩보를 전달하면서 덜미를 잡혔다. 서울경찰청 산업기술안보수사대는 지난달 A씨를 포함한 전직LG디스플레이 직원 4명을 검찰에 송치했다. 검찰은 그중 1명은 무혐의 처분했다.LG디스플레이 측은 “퇴사자 모니터링 과정에서 정보유출 정황을 확인, 수사기관에 조사를 의뢰했다”며 “보안 관리와 시스템을 지속적으로 강화하고 있으며, 자사의 정보를 유출하려는 시도에 대해서는 형사처벌을 원칙으로 철저히 대응할 것”이라고 밝혔다."
2024-07-25,LG디스플레이 2분기 영업손실  937억원…적자 축소,"LG디스플레이 파주사업장 전경/LG디스플레이디스플레이 시장이 회복되면서LG디스플레이가 시장 전망치를 웃도는 ‘깜짝 실적’을 내놨다.LG디스플레이는 25일 공시를 통해 2분기 영업손실이 937억원으로 잠정 집계됐다고 밝혔다. 적자 폭이 작년 2분기(8815억원 손실)보다 크게 줄었고, 시장 전망치(3288억원 손실)보다도 낮은 수준이었다.매출은 6조7082억원으로 작년 동기 대비 41.6% 증가했고, 순손실은4천708억원으로 적자 폭이 축소됐다. 매출은TV,IT,모바일, 차량용 등 전 제품군에서 출하가 늘어나 전분기 대비 28%, 전년 동기 대비 42% 증가했다.제품별 판매 비중은TV용 패널 24%,IT용 패널(모니터, 노트북PC,태블릿 등) 44%, 모바일용 패널 및 기타 제품 23%, 차량용 패널 9%였다. 특히 유기발광다이오드(OLED) 제품 비중이 전년 동기 대비 10%포인트 확대된 52%를 기록했다.LG디스플레이 관계자는 “OLED중심의 사업 경쟁력 강화 및 고부가가치 제품 비중을 확대하는 사업구조 고도화를 지속적으로 추진한 결과”라며 “앞으로도 운영 효율화를 통해 시장 상황 대응력을 높이겠다”고 밝혔다."
2024-04-25,"LG디스플레이, 1분기 적자 4694억원...전년 동기 比 적자폭 줄여","LG디스플레이 파주사업장 전경. /LG디스플레이작년 4분기 흑자 전환했던LG디스플레이가 올 1분기 다시 적자로 돌아섰다.25일LG디스플레이는 올해 1분기 매출 5조 2530억원, 적자 4694억원을 기록했다고 공시했다. 작년 4분기 7개분기 만에 겨우 흑자 전환에 성공했으나 다시 적자를 낸 것이다. 다만 전년 동기 대비 매출은 19.1% 늘었고, 영업 손실은 57.3% 줄었다.LG디스플레이 관계자는 “계절적 비수기의 영향으로 매출은 직전분기 대비 감소했지만TV및 모니터용 패널 출하량이 확대되고IT용 유기발광다이오드(OLED) 양산이 시작됨에 따라 매출액이 전년 동기 대비 19% 늘었다”고 밝혔다.시장 전망보다도 좋은 실적을 냈다. 에프앤가이드를 종합하면 증권가에선LG디스플레이의 1분기 매출액과 영업손실을 각각 4조 9855억원, 6561억원으로 예상했다. 매출은 시장 전망치보다 3000억원 가량 높았고, 적자폭은 2000억원 가량 적었다.LG디스플레이는TV,IT,모바일, 차량용 등 사업 전 영역에서 고부가가치 제품 비중을 확대해 나가겠다는 계획이다. 김성현LG디스플레이CFO(최고재무책임자)는 “시장과 대외환경의 불확실성과 변동성이 이어지고 있지만OLED중심의 하이엔드 제품 비중을 확대하고 비용 구조를 개선해 사업 경쟁력을 강화해 나갈 것”이라고 말했다.한편LG디스플레이는 이날LG유플러스에 경기 파주시 토지와 건물을 1053억원에 매도한다고 공시했다.LG디스플레이는 “자산 활용성 제고를 위해 유휴자산을 매도한 것”이라고 설명했다."
2024-04-23,"LG디스플레이, 세계 최초 주사율∙해상도 변환 게이밍 OLED 패널 양산","LG디스플레이의 세계 최초 주사율, 해상도 변환 게이밍OLED패널./LG디스플레이LG디스플레이가 세계 최초로 주사율과 해상도를 변환할 수 있는 게이밍OLED패널을 개발해 양산에 들어갔다.LG디스플레이는 31.5인치 게이밍OLED패널 개발을 완료하고 이달부터 양산을 시작했다고 23일 밝혔다. 기존 패널은 주사율을 변환하더라도 해상도는 고정돼 있어 다양한 목적으로 활용하는데 어려움이 있었다. 이번 패널은 사용자가 콘텐츠에 따라 고주사율 모드(FHD∙480Hz)와 고해상도 모드(UHD∙240Hz)를 자유롭게 선택할 수 있다.주사율은 1초당 모니터를 통해 보여주는 이미지의 수이며, 해상도는 화면을 구성하는 픽셀의 수를 의미한다. 주사율이 높을수록 빠르게 전환하는 화면을 부드럽고 선명하게 표시하며, 해상도가 높을수록 영상 및 이미지를 정밀하게 표현한다.사용자가 고주사율 모드를 선택하면 현존OLED모니터 중 가장 높은 480Hz주사율로FPS(1인칭 슈팅 게임)나 레이싱 등 속도감 있는 게임을 끊김 없이 부드럽게 즐길 수 있으며, 고해상도 모드를 선택하면 4KUHD화질을 구현해 실제 눈으로 보는 것처럼 풍부한 자연 그대로의 색과 밝기를 선명하고 입체적으로 감상할 수 있다.LG디스플레이는LG전자를 시작으로 글로벌 게이밍 브랜드에 31.5인치 게이밍OLED패널 공급을 확대한다는 계획이다.LG디스플레이 강원석 대형 상품기획담당(상무)은 “완벽한 블랙, 빠른 응답속도, 초고주사율 등OLED만의 기술 경쟁력을 바탕으로 차별화된 고객가치를 제공해 하이엔드 게이밍 디스플레이 시장의 주도권을 강화해 나갈 것”이라고 말했다."
2024-01-24,"LG디스플레이, 7분기 만에 흑자 전환... 4분기 영업이익 1317억원","LG디스플레이가 지난해 4분기 7분기 만에 영업이익을 흑자 전환했다.LG디스플레이 관계자가 ‘메타 테크놀로지’ 기술을 적용한LG디스플레이의 3세대OLEDTV패널을 살펴보고 있다. /LG디스플레이 제공LG디스플레이는 24일 지난해 4분기 매출 7조3959억원, 영업이익 1317억원을 기록했다고 밝혔다. 매출은 전 분기보다 55% 상승했고, 영업이익은 흑자 전환했다.이번 실적 개선은 지난해 대대적인 경영 효율화 작업을 한 데다 4분기 아이폰 15 시리즈 등IT기기 신제품 출시로 모바일용OLED(유기발광다이오드) 패널과TV,중대형IT제품군의 출하가 늘어난 덕분으로 분석된다.LG디스플레이는 “강도 높은 비용 감축 활동으로 영업이익이 흑자 전환했다”고 했다.LG디스플레이는 경기 침체로IT기기 교체 주기가 길어지며 실적 부진에 시달렸다.IT기기의 주요 부품인 디스플레이 출하량이 함께 줄어들었기 때문이다. 태블릿, 노트북 등에 들어가는 중소형OLED패널에서는 경쟁사인 삼성디스플레이가 시장을 먼저 장악했고,LCD(액정 표시 장치) 사업에서는 중국 업체들의 저가 공세에 밀리고 있다.LG디스플레이의 지난해 전체 누적 매출은 전년보다 18.4% 감소한 21조3308억원, 영업적자는 손실 규모가 20.4% 늘어난 2조5102억원을 기록했다.LG디스플레이는 대형,IT,모바일, 차량용 등OLED사업 모든 영역에서 경쟁력을 강화해 실적을 개선해 나갈 계획이다. 앞서LG디스플레이는 1조3600억원 규모의 유상증자를 추진하며 중소형OLED시설 투자에 재원의 30%를 투입할 것이라고 밝힌 바 있다. 김성현LG디스플레이 최고재무책임자(CFO)는 “불안정한 거시 경제 상황이 장기화되고 있어 올해도 시장의 변동성이 지속되겠지만OLED사업 경쟁력과 미래 성장 기반을 강화해 수익성 확보에 집중할 것”이라고 말했다."
2024-01-16,"LG디스플레이, 7개 분기 만에 흑자 전환","정철동LG디스플레이 대표이사 사장이 8일(현지시간) 미국 라스베이거스에서 열리는 세계 최대 가전·IT전시회'CES2024' 개막에 앞서LG디스플레이 전시장에서 기자들과 간담회를 하고 있다. /LG디스플레이LG디스플레이가 기나긴 적자의 터널을 지나 7개 분기 만에 흑자 전환에 성공했다16일LG디스플레이는 지난해 연간 매출 21조3308억원, 영업손실 2조5102억원을 기록했다고 공시했다.LG디스플레이의 작년 1~3분기 누적 매출이 13조9350억원, 누적 영업손실이 2조6020억원임을 고려하면 4분기에 매출 7조3959억원, 영업이익 1317억원을 기록한 것으로 추정된다.이로써LG디스플레이는 2022년 2분기 이후 7개 분기 만에 흑자로 전환했다. 4분기 흑자 전환은 스마트폰용OLED(유기발광다이오드) 제품 공급량의 본격 확대와 계절적 성수기 효과로TV등 중대형 제품의 수요가 늘어난 게 영향을 미친 것으로 분석된다.이번 공시는 대규모 법인의 경우 연간 매출액 또는 손익구조가 직전사업연도 대비 15% 이상 변동되면 최초 내부 결산 확정 당일에 거래소에 제출해야 한다는 공시 의무에 따른 것이다.LG디스플레이는 오는 24일 컨퍼런스 콜을 통해 작년 4분기 및 연간 결산실적과 세부 현황을 발표할 계획이다."
2024-01-07,"LG디스플레이, CES서 대형 OLED 신기술 대거 공개","LG디스플레이가 세계 최대 가전·IT전시회'CES2024'에서 화질을 대폭 끌어올린 대형 유기발광다이오드(OLED) 신기술과 소프트웨어 중심 자동차(SDV)에 최적화된 차세대 차량용 디스플레이 솔루션을 대거 공개한다. 사진은LG디스플레이 모델이 30인치 투명OLED를 적용한 매장용 콘셉트를 소개하는 모습. /LG디스플레이LG디스플레이가 오는 9~12일(현지 시각) 미국 라스베이거스에서 열리는 세계 최대IT전시회CES(ConsumerElectronicsShow)에서 화질을 대폭 끌어올린 대형OLED(유기발광다이오드) 신기술과 소프트웨어 중심 자동차(SDV)에 최적화된 차세대 차량용 디스플레이 솔루션을 대거 공개한다.7일LG디스플레이는 미국 라스베이거스 컨벤션센터(LVCC) 노스홀과 웨스트홀에서 ‘더 나은 미래’를 주제로 메인 부스와 차량용 디스플레이 전용 부스를 각각 운영한다고 밝혔다.메인 부스에서는 새OLEDTV패널을 공개한다.OLED10년의 기술력을 결집한 신기술 ‘메타 테크놀로지’의 성능을 더욱 향상시켜 화질을 대폭 끌어올렸다. 지난해 처음 선보인 ‘메타 테크놀로지’는 유기물의 빛 방출을 극대화하는 ‘초미세 렌즈’(MLA)와 ‘휘도 강화 알고리즘’을 결합해 현존OLEDTV패널 중 가장 밝은 화면을 구현하는LG디스플레이의 독자 기술이다.또 투명OLED라인업도 강화한다. 77인치, 55인치, 30인치 등 초대형과 중형을 모두 아우르는 풀라인업을 구성한다.LG디스플레이가 세계에서 유일하게 양산하고 있는 투명OLED는 스스로 빛을 내는OLED의 장점을 극대화한 기술이다. 유리창을 대체할 수 있을 만큼 투명도가 높아 활용도가 높다."
2023-12-19,"LG전자, LG디스플레이 유상증자 참여한다...5000억원 출자","서울 여의도LG전자 사옥. /뉴스1LG전자가LG디스플레이의 유상증자에 참여해 약 5000억원을 출자한다.19일LG전자는 전날 열린 이사회를 통해LG디스플레이의 유기발광다이오드(OLED) 사업 경쟁력과 성장 기반 강화를 위한 유상증자에 참여키로 했다고 공시했다. 이번 유상증자가 주주배정 후 실권주 일반공모 방식으로 진행됨에 따라LG전자는 신규 발행주 가운데 배정 물량의 120%에 해당하는 5173만7236주에 대해 청약할 계획이다. 약 5000억원 규모다.LG전자는 “사업의 미래 경쟁력 확보에 필요한 차세대 디스플레이 패널을 안정적으로 공급받기 위한 전략적 결정”이라고 유상증자 참여 배경을 설명했다.앞서LG디스플레이는 전날 투자 자금 확보와 재무구조 안정을 위해 1조3600억원 규모의 유상증자를 단행한다고 밝혔다.LG디스플레이는 지난해 2분기부터 올해 3분기까지 6개 분기 연속 적자를 기록하고 있다. 코로나 호황을 경험했던LG디스플레이는 글로벌 경기 침체가 장기화되며 직격탄을 맞았다.TV,태블릿PC등 전자제품 재고가 쌓이면서 주력 상품인OLED패널 수요가 급감한 탓이다.LG디스플레이는 지난해 2조585억원의 영업손실을 냈고 올해 3분기 누적 기준 적자가 3조6000억원대에 이르고 있다.LG디스플레이는 이번 증자를 통해 확보한 자금을 내년 시장이 회복될 것으로 전망되는OLED사업 분야의 시설투자 및 운영자금으로 활용한다는 계획이다. 실제 업계에 따르면 애플은 내년 아이패드에OLED패널을, 2025년에는 맥북에OLED패널을 적용할 것으로 알려졌다."
