date,title,content
2024-10-29,"LG생활건강 3분기 영업이익 1061억원, 작년보다 17% 감소","LG생활건강의 화장품 브랜드 '더후'./LG생활건강LG생활건강은 올해 3분기 연결 기준 영업이익이 1061억원으로 지난해 동기보다 17.4% 감소한 것으로 잠정 집계됐다고 29일 공시했다. 매출은 1조7136억원으로 1.9% 감소했다.부문별로 보면 3분기 화장품 사업의 경우 매출은 6506억원으로 2.9% 감소했으나 영업이익은 114억원으로 42.8% 증가했다. 면세점 실적이 부진했지만 중국에서 더후 브랜드를 중심으로 온라인 매출이 늘어난 영향이었다. 북미 시장 공략을 위해서는 전용 신제품도 출시하고 있다.LG생활건강 관계자는 “중국을 비롯한 해외 시장에서 인플루언서를 등용한 마케팅과 온라인 광고에 투자한 것이 온라인 매출에 기여했다”고 했다.생활용품 사업의 경우, 3분기 매출과 영업이익은 각각 5626억원과 412억원으로 1.3%, 11.8% 감소했다. 이는 피지오겔과 유시몰 등 주요 프리미엄 브랜드의 성장에도 작년 북미 사업 효율화 부진과 고정비 부담 증가 때문이었다.음료 사업의 3분기 매출은 1.1% 감소한 5004억원, 영업이익은 27.5% 줄어든 535억원으로 각각 집계됐다. 코카-콜라 제로 등 제로 음료와 파워에이드 판매는 호조를 보였지만 내수 경기 부진으로 음료 소비가 둔화하면서 매출이 소폭 감소했다. 영업이익도 원부자재 단가 상승과 음료 시장 내 경쟁 심화로 작년 동기보다 줄었다."
2024-04-25,"LG생활건강, 1분기 영업이익 10분기 만에  ‘반등’","LG생활건강. /LG생활건강실적 부진을 거듭해온LG생활건강이 올 1분기(1~3월) 매출과 영업이익이 동시에 증가했다. 매출은 지난해 1분기 이후 4분기 만에, 영업이익은 2021년 3분기 이후 10분기 만에 증가세로 돌아섰다.LG생활건강은 1분기 매출이 작년 같은 기간보다 2.7% 늘어난 1조7287억원, 영업이익은 3.5% 증가한 1510억원을 기록했다고 25일 밝혔다. 화장품 사업 매출은 5.6% 증가한 7409억원, 영업이익은 3.1% 증가한 631억원을 기록했다. 리뉴얼해 내놓은 주력 제품인 ‘더후’가 국내 온·오프라인 시장과 중국·북미에서 인기를 얻으며 실적 개선을 이끌었다.LG생활건강의 해외 매출 비율은 전체 약 30% 수준이다. 중국이 12%, 북미는 7%, 일본은 5% 정도다. 음료 부문도 성장했다. 매출은 3.6%, 영업이익은 1.0% 증가했다. 코카콜라 같은 주요 브랜드와 제로 슈거 제품 판매가 늘어난 덕분이다."
2024-01-12,"쿠팡, 코카콜라 로켓배송한다... LG생활건강 제품 4년 9개월만에 직거래 재개","쿠팡 배송 기사가 택배 차에 물건을 싣고 있다. /조선DB쿠팡이 약 4년 9개월 만에LG생활건강 제품에 대한 로켓 배송을 재개한다. 이는 2019년 4월 말 납품 중단 이후 처음이다. 쿠팡은LG생활건강에 대해 갑질을 한 것을 인정받아 공정거래위원회로부터 과징금 처분을 받고,LG생활건강 제품에 대한 로켓배송 직거래를 중단했었다.쿠팡은 12일LG생활건강 제품에 대한 ‘로켓배송’ 직거래를 재개한다고 밝혔다. 2019년 4월 말 로켓배송을 통한LG생활건강 제품 판매를 중단한 이후 약 4년 9개월 만의 일이다.LG생활건강 제품들은 2024년 1월 중순부터 쿠팡에 순차적으로 입점할 예정이다. 엘라스틴, 테크 같은 생활용품과 코카콜라 같은 음료를 로켓 배송으로 구매할 수 있게된 것이다. 화장품 브랜드 ‘오휘’를 포함한 제품들은 뷰티 브랜드 전용관인 로켓럭셔리에 입점한다.LG생활건강은 과거 쿠팡이 최저가 경쟁력을 유지하기 위해 경쟁온라인몰의 판매가격 인상을 요구하는 등 납품업자의 경영 활동에 부당하게 관여하고, 판촉행사 비용 전액을 전가했다며 공정위에 신고했다. 쿠팡은 이로 인해 공정위로부터 32억9700만원의 과징금을 부과받았다. 이후 2019년 4월 말 생활용품, 5월 음료에 대한 직매입 계약이 중단됐다.쿠팡은 공정위의 결정에 불복해 행정 소송을 진행 중이다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2023-11-23,LG생활건강 정기 임원인사... 수익성 개선 지원할 CFO 신규 선임,/LG생활건강LG생활건강은 23일 이사회를 열고 2024년도 정기 임원인사를 실시했다고 23일 밝혔다. 전무 승진 3명과 신규 임원 선임 7명을 포함한 총 10명이 대상이다. 지난 2018년부터CFO직을 맡으면서CRO를 겸직해왔던 김홍기 부사장이 물러나고 이명석<사진>LG화학 경영기획담당이 전무로 승진해CFO와CRO직을 담당하게 된다. 1996년LG화학에 입사해 경영기획팀과 미국 생산·연구 법인을 거친 이명석 전무는 기획통으로 꼽히는 인물이다. 올해 1~3분기LG생활건강의 실적이 악화한 가운데 수익성 개선에 중점을 둔 이정애LG생활건강 사장의 사업 방향에 힘을 보태기 위한 인사로 해석된다.■ 전무 승진 : 3명이명석(李明昔)CFO/CRO정철용(鄭哲鏞) 생산총괄권도혁(權渡赫)CDO■ 신규임원 선임 : 7명손남서(孫南書) 화장품연구소장정승아(鄭丞娥) 법무실장전호준(田鎬準) 중국마케팅부문장최남수(崔南守)ESG/대외협력부문장양정익(梁禎益)HDB.TM부문장임철우(任哲雨) 음료영업총괄박한석(朴漢錫)Beauty.CBD총괄
2024-12-16,"LG생건 자회사 코카콜라음료, 영업·물류 직원 대상 첫 희망퇴직","서울 시내 마트에 코카콜라가 진열되어 있다./뉴스1LG생활건강의 자회사인 코카콜라음료가 지난달 영업·물류직 고연령 직원들을 대상으로 희망퇴직을 진행한 것으로 알려졌다. 코카콜라음료의 희망퇴직은 2007년LG생활건강에 인수된 이후 처음이다.16일 식품업계에 따르면 코카콜라음료는 지난달 4일부터 18일까지 1971년 이전 출생한 영업·물류부서 근무 직원을 대상으로 희망퇴직 신청을 접수 받았다. 코카콜라음료는 연령별로 차등을 두고 0.5~2년치 기본 연봉을 퇴직 일시금으로 지급했다. 신청자에게 최대 4학기의 자녀 학자금도 지원하기로 했다.이번 희망퇴직은 음료 판매 채널이 온라인으로 바뀌면서, 오프라인 영업 담당자들과 물류 담당자들에 대한 인원 감축과 경영 효율화를 위한 것으로 분석된다.한편, 코카콜라음료는LG생활건강이 최대 주주로 있는 자회사로, 한국코카콜라로부터 생산된 음료 원액을 완제품으로 유통·판매하고 있다.LG생활건강은 작년 6월 희망퇴직을 한 차례 진행한 바 있다. 아직까지 추가적인 희망퇴직 계획은 없는 것으로 알려졌다."
2023-01-31,LG생활건강 영업이익 반토막... 18년 만에 매출 역신장도,"LG생활건강 광화문 사옥(사진제공=LG생활건강) ⓒNews1LG생활건강의 연간 매출이 18년 만에 마이너스를 기록했다. 영업이익은 45% 감소해 반토막이 났다.LG생활건강은 2022년 매출이 7조1858억원으로 전년 대비 11% 감소했다고 31일 공시했다. 영업이익은 45% 줄어든 7111억원이다.LG생활건강의 매출 신장률이 마이너스를 기록해 역성장한 것은 2004년 이후 18년 만이다.지난 4분기 매출도 11% 감소한 1조8078억원이었고, 영업이익 역시 47% 줄어든 1289억원이었다.LG생활건강은 “중국 사업 환경 악화와 소비 둔화로 면세점과 중국 현지 매출이 부진했다”며 “원자재 가격 상승으로 인한 원가부담으로 영업이익도 감소했다”고 말했다.주력사업인 뷰티(화장품) 사업의 실적이 가장 좋지 않았다. 연간 매출 3조2118억원, 영업이익 3090억원으로 매출은 전년 대비 27.7%, 영업이익은 무려 64.7%나 감소했다."
2024-12-17,국내 코카콜라마저 첫 희망퇴직,"서울 시내 마트에 코카콜라가 진열되어 있다. /뉴스1LG생활건강의 자회사인 코카콜라음료가 지난달 4일부터 보름간 영업·물류직 고연령 직원들을 대상으로 첫 희망퇴직을 접수받았다고 16일 밝혔다. 희망퇴직 대상은 1971년 이전 출생한 직원이다. 사측은 연령별로 차등을 두고 0.5~2년치 기본 연봉을 퇴직 일시금으로 지급할 예정이다.희망퇴직을 신청한 구체적인 인원 규모는 아직 확인되지 않았다. 희망퇴직을 실시한 배경에 대해선 음료의 주요 판매 채널이 오프라인 영업소에서 이커머스 등으로 이동함에 따라, 기존 영업소 담당자들과 물류 직원을 줄이기 위한 것이란 분석이 나온다. 코카콜라음료는LG생활건강이 최대 주주로 있는 자회사로, 한국코카콜라로부터 생산된 음료 원액을 완제품으로 유통·판매하고 있다."
2022-11-24,LG생활건강 키운 차석용 18년만에 용퇴…후임은 그룹 첫 여성 사장 이정애,"2005년부터LG생활건강 경영을 맡아온 차석용(69) 부회장이 18년만에 자리에서 물러난다. 후임으로는 현재 음료 사업부장을 맡고 있는 이정애(59) 부사장이 사장으로 승진했다.LG그룹의 최초의 여성 사장이다.이정애LG생활건강 신임 사장./LG생활건강LG생활건강은 24일 이사회를 열고 이 같은 내용이 포함된 정기 인사를 단행했다고 밝혔다. 2005년부터LG생활건강을 맡은 최장수CEO차 부회장은 후진에 길을 터주기 위해 용퇴를 결심한 것으로 알려졌다. 당초 임기는 2025년 3월까지였다. 차 부회장은 이례적으로 7차례 연임에 성공하며LG생활건강 성장을 이끌어왔고, 작년 코로나19 팬데믹 상황에서도 8조915억원 매출을 올리며 매출과 영업이익이 17년 연속 증가하는 기록을 세웠다.이 신임 사장은 1986년 입사 후 생활용품 분야 마케팅을 시작으로 마케팅 분야에서 주로 일했다. 2011년 생활용품사업부장으로 선임된 이후 차별화된 마케팅으로 생활용품 시장 1등 지위를 확고히 한 성과를 인정받아 2015년 그룹 공채 출신 최초의 여성 부사장이 된 데 이어 이번에 사장으로 승진했다.차석용 부회장은 18년만에CEO용퇴차석용LG생활건강 부회장./조선DB부사장으로 승진한 이후에는 럭셔리 화장품 사업부장을 맡아 글로벌 브랜드를 육성했고, 2019년부터는 음료 사업을 맡아 코카콜라, 씨그램, 몬스터에너지 등 주요 브랜드 매출 확대도 이끌었다.LG생활건강은 “이 신임 사장이 생활용품 사업부장, 럭셔리 화장품 사업부장, 음료 사업부장 등을 두루 지내 전체 사업에 대한 이해도가 높다”고 인사 배경을 설명했다.LG생활건강은 이번 인사에서 일본 법인장을 맡은 오상문 상무를 전무로 승진시켜 뷰티 사업부장으로 보임했다. 하주열 전략부문장은 신규 임원으로 선임됐고,LG경영개발원 권순모 상무는 정도경영부문장으로 이동했다."
2022-04-21,"LG생활건강, 美 화장품 브랜드 ‘크렘샵’ 인수","LG생활건강은 미국 화장품 브랜드 ‘크렘샵(TheCrèmeShop)’의 지분 65%를 1억2000만달러(약 1485억원)에 인수했다고 20일 밝혔다. 차석용LG생활건강 부회장이 지난달 주주총회에서 6번째 연임에 성공한 이후 체결된 첫 인수합병(M&A)이다. 이번 계약에는 크렘샵 잔여 지분 35%에 대해 5년 이후LG생활건강이 추가 매입할 수 있는 콜옵션도 포함됐다.LG생활건강으로서는 지난 2020년 5월 독일 화장품 브랜드 피지오겔의 아시아 및 북미사업권을 1923억원에 인수한 이후 둘째로 큰 규모의 인수합병이다.크렘샵은 미국의 10~20대가 즐겨 찾는 중저가 화장품 브랜드로, 한국계 미국인이 설립했다. 헬로키티, 디즈니 같은 캐릭터 디자인을 입힌 기초·색조 화장품과 뷰티 액세서리 등을 판매하고 있다. 최근엔 네이버 라인프렌즈와 방탄소년단 캐릭터와도 협업한 제품을 내놓았다. 작년 미국에서만 500억원가량의 매출을 낸 것으로 알려졌다. 미국 내에선 편집숍 얼타 뷰티와 약국형 체인점CVS,월마트, 자사 온라인 쇼핑몰 등을 통해 유통되고 있다.LG생활건강 관계자는 “크렘샵은 미국MZ세대의 K뷰티에 대한 관심과 미국 현지 감성을 배합해 만든 신진 브랜드”라면서 “크렘샵 인수를 통해 북미 시장 공략을 가속화하겠다”고 말했다."
2022-05-11,"LG생활건강, 중국 봉쇄에 1분기 ‘어닝 쇼크’","1분기 영업이익 52.6% 하락LG생활건강LG생활건강이 중국 봉쇄로 인한 화장품 사업 부진을 겪으면서 올해 1분기에 어닝 쇼크 수준의 실적 하락을 기록했다.LG생활건강은 올해 1분기 매출이 전년 같은 기간보다 19.2% 줄어든 1조 6450억원, 영업이익은 52.6% 감소한 1756억원을 기록했다고 11일 밝혔다. 매출과 영업이익이 이 정도 폭으로 감소한 건 처음이다.화장품 사업이 중국의 코로나 봉쇄로 직격탄을 맞은 영향이 컸다. 화장품 사업 부문에서의 매출은 6996억원으로 전년 같은 기간보다 39.6%가 줄었다. 영업이익은 72.9%가 내려간 690억원을 기록했다. 중국 실적을 제외하면 1분기 매출과 영업이익 감소 폭은 각각 6.4%, 0.7%였다.생활용품인 에이치디비 사업은 1분기 매출이 5526억원으로 6.1% 증가했다. 엘라스틴, 피지오겔 같은 브랜드가 선전한 덕이다. 반면 영업이익은 원부자재 가격과 물류비 상승으로 16.6% 감소해 552억원이 됐다.음료 사업 매출은 전년 같은 기간보다 9.9% 성장한 3297억원, 영업이익은 2.6% 늘어난 514억원이었다. ‘코카콜라’와 ‘몬스터 에너지’ 등이 매출을 끌어올렸다."
