date,title,content
2024-12-21,"LG엔솔, 올들어 세번째 ESS 조 단위 수주 따내","배터리 제조사LG에너지솔루션이ESS(에너지 저장 장치) 사업에서 올해 세 번째 조(兆) 단위 수주를 따냈다. 전기차·배터리 캐즘(일시적 수요 정체)이라는 보릿고개를 넘기 위해 전기차 배터리 외에도 경쟁력 있는ESS등 사업에서 다각화를 꾸준히 이어간다는 전략이다.LG엔솔은 미국 자회사를 통해 신재생에너지 전문 사모펀드 운용사 ‘엑셀시오 에너지 캐피털’에 2026년부터 7.5GWh(기가와트시) 규모ESS를 공급하는 계약을 체결했다고 20일 밝혔다. 7.5GWh는 약 75만가구(4인 기준) 이상이 하루 동안 사용할 수 있는 전력량에 해당한다.ESS는 발전소에서 만든 전기를 저장했다가 필요할 때 공급하는 시스템으로, 불규칙하게 전기가 생산되는 태양광이나 풍력발전에서 필수 설비다. 북미·유럽 등에서ESS수요가 꾸준해 2028년까지 전력망을 중심으로 연평균 20% 이상 성장이 전망된다.LG엔솔은 이번 계약을 포함해 올해ESS사업에서만 따낸 조 단위 계약이 3건에 달한다. 지난 5월 한화큐셀과 4.8GWh규모, 지난 10월 미국 재생에너지 기업 테라젠과 최대 8GWh공급 계약을 체결했다. 이번까지 총 3건의 계약 수주 금액만 5조원대로 추산된다."
2024-12-26,공학한림원 신입 회원 명단 공개...조주완 LG전자 사장 등 정회원에,"김기남 공학한림원 회장/한국공학한림원국내 공학기술 분야 최고 권위 단체인 한국공학한림원이 26일 2025년도 신입회원 명단을 발표했다. 공학한림원 회원은 기업, 대학, 기관(연구소) 등에서 국가 발전에 기여한 전문가들 중에서 추천을 받아 10개월간의 심사를 거쳐 선정된다.내년도 정회원으로 선정된 인원은 총 48명으로 산업계 23인, 학계 25인이다. 학계에서는 김영오 서울대 공대학장, 장길수 고려대 공대학장 등이 새롭게 선정되었고, 산업계에서는 안현SK하이닉스 개발총괄 사장, 조주완LG전자 대표이사 사장 등이 선정됐다. 이번 신입회원 선임에 따라 공학한림원의 정회원은 288인, 일반회원은 373인이 되었다.일반회원으로는 학계에서 34인, 산업계에서 35인 등 총 69인이 선정됐다. 학계에서는 김경수KAIST대외부총장, 문승욱 전(前) 산업부 장관 등이 포함되었고 산업계에서는 남석우 삼성전자DS부문 사장, 김동명LG에너지솔루션CEO등이 이름을 올렸다.공학한림원은 매년 상반기 후보자 발굴 및 추천 작업을 시작하며, 후보자 추천은 현 정회원만 가능하다. 학문적 업적뿐만 아니라 세계 최초 기술개발 업적, 특허, 인력양성, 산업발전 기여도 등 여러 분야에 걸친 업적 심사가 이루어진다. 회원은 정회원, 일반회원, 원로회원, 외국회원 등으로 구분 된다.공학한림원 김기남 회장은 “2025년 창립 30주년을 앞두고 있는 시점에서 회원 선정에 더욱 신중을 기하고 고심했다”며 “지난 30년을 되돌아보고 앞으로 30년간 한국 공학계를 이끌어 갈 수 있는 인사를 회원으로 모시기 위해 최선을 다했다”고 했다."
2024-12-04,"LG엔솔, 美미시간 합작 공장 매입… 배터리 재조정 본격화","SK온 등은 공장 가동 ‘연기’LG에너지솔루션이 미국에서 건설 중인 배터리 합작 공장을 파트너인 제너럴모터스(GM)로부터 사들인다.GM과의 합작법인인 얼티엄셀즈가 내년 가동을 목표로 미시간주 랜싱에서 짓고 있는 3공장을 매입해 독자 운영하기로 한 것이다. 두 회사 모두 전기차 수요가 얼어붙은 상황에서 ‘윈윈’이라는 평가다.GM은 전기차 속도 조절에 따른 배터리 수요 감소로 생산능력 확대 필요성이 사라졌다. 하지만 일본 도요타 등 다른 자동차 업체의 주문을 소화하기 위해 추가 생산 시설이 필요한LG엔솔 입장에선 신공장 건설 대신 투자비를 아낄 수 있는 결정으로 풀이된다.전기차 캐즘(일시적 수요 정체) 장기화 속 전기차에 부정적인 트럼프 2기 행정부 출범을 앞두고LG엔솔을 포함한 국내 전기차 배터리 업계에서 리밸런싱(재조정)이 본격화하고 있다는 진단이 나온다.SK온과 포스코퓨처엠 등 다른 전기차 배터리·소재 기업들도 보조금 폐지 등 불투명한 전기차의 미래를 감안해 현지 공장 건설을 연기하는 등 속도 조절에 나서고 있다.그래픽=이진영생산능력 재조정 등 속도 조절GM은 2일(현시 시각) “완공이 임박한 조인트벤처(JV) 얼티엄셀즈의 배터리 3공장을 합작 파트너인LG엔솔에 매각하기로 합의했다”고 밝혔다.GM관계자는 로이터 등에 “투자비 회수액은 10억달러(약 1조4000억원)에 달할 것”이라고 말했다.LG엔솔도 3일 “북미 공장의 투자 및 운영 효율화, 가동률 극대화 등을 위해 얼티엄셀즈 3공장 인수를 검토하고 있다”고 확인했다. 매각 작업은 내년 1분기에 마무리될 것으로 보인다.LG엔솔과GM은 얼티엄셀즈를 통해 오하이오주 워렌과 테네시주 스프링힐에 있는 연 40GWh(기가와트시), 50GWh규모 1,2공장은 계속 운영한다.여러 완성차 업체의 주문을 소화해야 하는LG엔솔과 전기차 숨 고르기에 들어간GM의 이해관계가 맞아떨어진 거래라는 관측이 나온다.GM은 지난 10월 기존 전기차 플랫폼 브랜드 ‘얼티엄’을 앞으로 사용하지 않는다고 밝히고, 순수 전기차(BEV) 중심이었던 전기차 전략을 수정해 하이브리드도 확대하기로 했다.한 배터리 업계 관계자는 “합작이 아닌LG엔솔의 단독 공장이 되면GM외 다른 완성차 업체 물량이나 갈수록 수요가 늘어나는ESS(에너지저장장치)용 배터리도 생산할 수 있을 것”이라고 말했다.LG엔솔은 작년 하반기 연 20GWh규모 장기 계약을 맺은 일본 도요타를 비롯해 미국 전기차 업체 리비안, 한화큐셀 미국법인 등에 내년부터 전기차 배터리와ESS용 배터리를 본격적으로 공급할 계획이다.국내 주요 배터리 업체들도 리밸런싱에 한창이다. 앞서SK온은 포드와 합작한 블루오벌SK의 켄터키 2공장이 지난 6월 공사를 일시 중단하는 우여곡절을 겪었고, 가동 일정도 애초 계획했던 2026년보다 뒤로 미뤄졌다. 포스코퓨처엠은 캐나다 퀘벡주에서GM과 함께 추진 중인 양극재 공장 완공 시기를 올 하반기에서 내년 이후로 연기했고, 에코프로비엠도 캐나다에서 추진 중인 양극재 공장에 합작 투자하기로 했던 포드가 최근 철수를 결정하면서 새로운 파트너를 물색 중이다.각형 배터리 개발도 본격화한편,LG엔솔은 이날GM과 ‘각형 배터리 및 핵심 재료 공동 개발을 위한 계약’을 체결했다고 밝히며 각형 배터리 개발을 처음으로 공식화했다. 파우치형에서 원통형으로 확장한 데 이어 외부 충격에 강하고, 구조가 단순한 각형까지 3대 배터리 폼팩터(형태)를 모두 생산하겠다는 것이다. 국내 빅3 배터리 업체 중 삼성SDI는 각형과 원통형,SK온은 파우치형을 주력으로 생산하고 있다. 윤성훈 중앙대 교수는 “고객인 주요 완성차 업체들이 각형과 원통형 배터리 수요를 늘리는 상황을 감안한 결정으로 보인다”고 말했다."
2024-11-10,"LG에너지솔루션, 머스크의 스페이스X 우주선에 배터리 공급","스타십 시험 발사 모습. /스페이스XLG에너지솔루션이 일론 머스크 테슬라 최고경영자(CEO)가 이끄는 우주 기업 ‘스페이스X’우주선에 배터리를 공급한다.10일 업계에 따르면LG에너지솔루션은 스페이스X로부터 우주선에 탑재할 전력 공급용 배터리 납품을 의뢰받았다. 현재 기존 원통형 리튬이온 배터리 제품을 맞춤형으로 개량 중으로, 스페이스X의 우주왕복선 ‘스타십’에 들어갈 것으로 알려졌다.LG에너지솔루션은 “고객사 계약 관련 내용은 확인이 어렵다”고 했다.스타십은 스페이스X가 화성 탐사를 목표로 개발하는 우주선이다. 지난달 다섯 번째 지구궤도 시험비행을 성공적으로 마무리했다. 기존 유인(有人) 우주선의 20배에 달하는 100명을 태울 수 있고, 100t이 넘는 화물을 실을 수 있다. 2026년 미 항공우주국(NASA)의 달 착륙 프로젝트 때 우주 비행사들을 태우고 갈 임무를 맡고 있고, 화성 정착 기지를 건설하겠다는 머스크의 꿈을 이루기 위한 핵심 수단으로 재사용이 가능하도록 설계돼 있다.업계에선 우주선 시장 특성상 배터리 공급 규모가 크진 않겠지만, 우주선에 쓸 수 있을 만큼 높은 품질 기준을 충족한 점에 주목하고 있다. 전기차를 넘어 배터리 공급처를 다변화했다는 의미도 있다.최근LG에너지솔루션은 전기차 시장에서도 고객사를 다양화하고 있다. 지난 7월 르노와 2025년부터 5년간LFP(리튬인산철) 배터리 39GWh계약을, 지난달에는 메르세데스-벤츠와 2028년부터 10년간 배터리 50.9GWh계약을 체결했다. 이달엔 미국 전기차 시장의 신흥 강자 리비안과 8조원대 차세대 배터리 공급 계약을 맺었다."
2024-11-14,"LG엔솔, 美 재생에너지 기업과 대규모 ESS 공급 계약","배터리 제조사LG에너지솔루션의 미국법인LG엔솔 버테크는 미국 재생에너지 기업 테라젠과 대규모 에너지저장장치(ESS) 공급 계약을 맺었다고 14일 밝혔다.ESS는 발전소에서 만든 전기를 저장했다가 필요할 때 공급하는 시스템으로, 불규칙하게 전기를 생산하는 태양광이나 풍력발전에서 필수 설비다. 최근 전기차·배터리 캐즘(일시적 수요 정체)이 이어지자,ESS사업 수주를 통해 사업 포트폴리오 다양화가 꾸준히 이어지고 있다.LG에너지솔루션이 미국ESS시장 공략을 위해 설립한 현지 법인LG에너지솔루션 버테크(Vertech)의ESS장치. /LG에너지솔루션LG엔솔 버테크가 2026년부터 4년간 최대 8GWh(기가와트시) 규모의ESS를 공급한다. 8GWh는 약 80만가구(4인 기준) 이상이 하루 동안 사용할 수 있는 전력량이다.LG엔솔 북미 생산시설에서 고용량 리튬인산철(LFP) 롱셀 ‘JF2 셀’이 적용된 컨테이너형 모듈러 제품으로 생산해 공급할 예정이다. 업계에선 약 2조원 규모 계약으로 추산한다.버테크와 테라젠은 앞서 캘리포니아 지역의 2.2GWh규모 에너지 저장 프로젝트에서 협력한 바 있다. 특히 이번 계약은 2022년 버테크가 출범한 이후 최대 규모의 성과로, 북미에서의 시장 경쟁력을 강화한 데 의미가 있다고 회사 측은 설명했다. 버테크는 2022년 2월 미국ESS시스템통합(SI) 기업NEC에너지솔루션을 인수하며 출범한ESSSI전문 미국법인이다.김형식LG엔솔ESS전지사업부장 상무는 “테라젠과의 협력은 전 세계로ESS사업 역량을 확대해 나가는 중요한 이정표가 될 것”이라며 “양사의 장기적인 파트너십을 바탕으로 현지 생산 능력과 통합 설루션 역량을 더욱 강화해 차별화된 고객가치를 제공해 나갈 것”이라고 말했다."
2024-11-15,LG엔솔 역대 최대 규모 2조원 ESS 미국서 수주,"배터리 제조사LG에너지솔루션이ESS(에너지 저장 장치) 사업에서 역대 최대 규모인 약 2조원 공급계약을 따냈다. 전기차·배터리 캐즘(일시적 수요 정체)을 버티기 위해 전기차 배터리 외에도 경쟁력 있는ESS등 사업에서 다각화를 꾸준히 이어간다는 전략이다.LG엔솔의ESS사업 자회사인LG엔솔 버테크(Vertech)는 미국 재생에너지 기업 테라젠과 8GWh(기가와트시) 규모ESS공급계약을 체결했다고 14일 밝혔다. 8GWh는 약 80만가구(4인 기준) 이상이 하루 동안 사용할 수 있는 전력량에 해당한다.ESS는 발전소에서 만든 전기를 저장했다가 필요할 때 공급하는 시스템으로, 불규칙하게 전기를 생산하는 태양광이나 풍력발전에서 필수 설비다. 북미·유럽 등에서ESS수요가 꾸준하다. 버테크는 2026년부터 4년간 고용량LFP(리튬인산철) 배터리셀이 적용된 제품을 북미 현지에서 생산해 공급한다.LG엔솔은 캐즘 이후 주도권을 잡기 위해 이번 계약을 포함해 올해 조(兆) 단위 계약을 6건 체결했다. 대부분 계약의 공급 시작 시점은 2년 후쯤인데, 캐즘이 끝날 것으로 전망되는 시기다. 지난 8일에는 전기차 신흥 강자인 미국 리비안과 차세대 원통형 배터리 계약을 체결했고, 앞서 미국 포드, 프랑스 르노, 일본 이스즈자동차와도 배터리 공급계약을 체결했다.ESS시장에서도 지난 5월 한화큐셀과 4.8GWh규모 계약을 체결했다."
2024-10-08,LG엔솔 3분기 영업익 전년 대비 38% 감소…美 보조금 빼면 3분기 연속 적자,"배터리 제조사LG에너지솔루션은 연결 기준 올해 3분기 영업이익이 4483억원으로 지난해 같은 기간보다 38.7% 감소한 것으로 잠정 집계됐다고 8일 공시했다. 매출은 6조8778억원으로 지난해 3분기 대비 16.4% 감소했다.김동명LG에너지솔루션 대표이사 사장이 7일 서울 마곡LG사이언스파크에서 열린LG에너지솔루션 첫 비전공유회에서 비전 및 중장기 전략을 발표하고 있다./뉴스1미국 인플레이션감축법(IRA)에 따른 세액 공제(AMPC)를 제외하면 177억원 적자를 기록했다. 직전 2분기 대비해선 소폭 실적이 개선됐다. 전분기 대비 매출과 영업이익이 각각 11.6%, 129.5% 증가했다. 지난 2분기 영업이익은 1953억원,AMPC를 제외하면 2525억원 적자였다.LG에너지솔루션은 “전기차 캐즘(일시적 수요 둔화)에도 고객 및 제품 포트폴리오 강화, 에너지저장장치(ESS) 등 전기차 외 사업 비중 확대, 신사업 강화 등을 통해 시장의 변동에도 견고한 매출 구조를 마련해 나가는 데 집중하겠다”고 밝혔다.한편LG에너지솔루션은 이날 공시를 통해 메르세데스-벤츠 계열사와 50.5GWh(기가와트시) 규모 전기차 배터리 공급계약을 체결했다고 밝혔다.계약기간은 2028년 1월 1일부터 2038년 12월 31일까지이며, 예상 금액은 확정되지 않았지만 업계에선 계약 규모를 감안하면 최소 수조원대 계약으로 전망한다. 특히 이번 수주 물량은 원통형 배터리인 46시리즈 신제품으로 기존 판매하던 제품들보다 가격대가 높은 것으로 전해졌다."
2024-10-16,"LG엔솔, 포드에 13조원대 상용차 배터리 공급","2026년부터 109GWh규모LG에너지솔루션 폴란드 브로츠와프 공장. /LG에너지솔루션배터리 제조사LG에너지솔루션이 미국 완성차 기업 포드와 13조원대 상용차 배터리 공급계약을 체결했다고 15일 밝혔다. 승용차보다 높은 출력으로 긴 거리를 운행하는 상용차용 배터리를 대량 납품하게 돼 제품 경쟁력을 인정받았다는 평가가 나온다. 전기차·배터리 캐즘(일시적 수요 정체) 이후 시장 주도권을 잡기 위한 주요 기업 간 협력이라는 점에서도 의미가 있다.LG엔솔은 이날 포드와 총 109GWh(기가와트시) 규모 전기 상용차 배터리 셀·모듈 장기 공급계약을 체결했다고 밝혔다. 폴란드 브로츠와프LG엔솔 공장에서 생산한 배터리를 포드 차량 모델에 맞춰 2026년부터 5년간 34GWh,2027년부터 6년간 75GWh를 공급하는 내용이다. 전기 상용차 약 100만대에 탑재할 수 있는 규모다.LG엔솔이 공급하는 배터리는 포드의 차세대 전기 상용차 ‘이-트랜짓’에 탑재될 것으로 알려졌다. 업계에선 매출액 기준 약 13조원 이상 규모로 추정한다.트럭, 버스 같은 상용차는 승용 전기차에 비해 배터리 탑재량이 많고, 평균 운행거리가 길어 배터리의 높은 출력과 긴 수명이 핵심 조건이다. 고성능 배터리가 주로 쓰여 배터리 제조사로선 수익성이 높은 고부가 시장이기도 하다. 유럽 시장에서 성장세도 꾸준하다. 글로벌 차(車) 리서치 업체LMC오토모티브에 따르면, 유럽 전기 상용차는 연평균 약 36% 성장해 2030년 유럽 상용차 시장에서 50% 이상 차지할 것으로 전망된다.캐즘으로 사실상 적자가 이어지고 있는 배터리 제조사는 원통형 배터리 신규 모델, 전기 상용차,ESS(에너지 저장 장치) 등 사업 포트폴리오를 넓혀 위기를 극복한다는 계획이다.LG엔솔은 지난 8일 메르세데스-벤츠 계열사와 2028년부터 10년간 50.5GWh전기차 배터리 공급계약을 체결했는데, 차세대 원통형 배터리로 주목받는 46시리즈(지름 46㎜) 공급이 유력하다. 삼성SDI는 지난 7월 미국에서 1조원대ESS공급계약을 체결했다."
2024-10-08,LG엔솔 “배터리 사업 다각화로 매출 두 배”,"“2028년까지 67조원” 비전 선언김동명 사장 새 슬로건 발표도LG에너지솔루션이 7일 서울 강서구 마곡LG사이언스파크에서 임직원을 대상으로 “2028년까지 매출 67조원을 달성해 작년 대비 2배로 늘리겠다”는 목표와 새로운 기업 비전을 발표했다.LG엔솔은 전기차 캐즘(일시적 수요 정체)에 대응하기 위해BMS(배터리 관리 시스템) 같은SW(소프트웨어)와ESS(에너지 저장장치) 등 사업 분야 다각화에 집중한다는 계획이다.이날 김동명 사장은 회사의 새 슬로건 ‘에너지로 세상을 깨우다’()를 발표하며 이 같은 목표를 제시했다. 회사 측은 “배터리 제조를 넘어서 에너지를 저장하고 이동시키는 에너지 순환 생태계 전체에서 사업 기회를 찾겠다는 뜻”이라고 설명했다.LG엔솔이 미래 비전에 다각화 방침을 담은 것은 자동차 기업들이 잇따라 전기차 전환 속도를 늦추는 탓에 캐즘이 앞으로 2~3년 이상 지속할 것이라는 전망을 감안한 것이다.LG엔솔은ESS의 경우 내년 미국에서ESS셀 양산에 들어가는 것을 계기로, 2028년 미국ESS배터리 시장 점유율 1위를 목표로 삼았다. 도심항공교통(UAM), 선박, 로봇 분야에도 투자해 신사업을 발굴할 계획이다. 또BMS같은SW를 개발해 자동차 기업 등 외부에 판매하고 배터리 리스, 렌털 재활용 등 다양한 서비스 사업도 확장하기로 했다. 또 전기차 사업 분야에서는 현재 니켈 비율이 높은 고급 배터리가 주력인데,LFP(리튬인산철) 배터리와 고전압 미드니켈 등 중저가형 시장으로 더 확장할 계획이다."
2024-10-09,LG엔솔·전자 영업이익 급감,"수요 정체·저가 중국산 공세지난 7일 서울 강서구 마곡LG사이언스파크에서 열린LG에너지솔루션 첫 비전공유회에서 김동명LG에너지솔루션 최고경영자(CEO) 사장이 구성원들과 기념 촬영하고 있다. /LG에너지솔루션올 3분기 ‘어닝 쇼크’를 기록한 삼성전자 반도체뿐 아니라 배터리, 철강, 가전 등 다른 주력 산업도 부진이 이어지고 있다. 전기차 캐즘(일시적 수요 정체), 저가 중국산 밀어내기, 급등한 해상 운임 등 여러 요인이 작용한 결과지만, 이를 돌파할 경쟁력 확보는 지지부진한 상황이다.‘K배터리’의 선두 주자 격인 배터리 제조사LG에너지솔루션은 8일 3분기 잠정 실적으로 매출 6조8778억원, 영업이익 4483억원을 공시했다. 전년 동기 대비 매출은 16.4%, 영업이익은 38.7% 감소했다. 3분기 회계 장부에 영업이익으로 반영한 미국IRA(인플레이션 감축법) 보조금을 빼면 177억원 적자다. 올 1분기 316억원, 2분기 2525억원에 이어 사실상 3분기 연속 적자다. 작년 3분기만 해도 이 회사는 분기 기준 최대 영업이익(7312억원)을 냈다. 이런 가운데LG엔솔은 이날 벤츠 계열사에 2028년부터 10년간 수조원대 규모의 원통형 배터리 공급 계약을 체결했다. 고객 포트폴리오 확대와 제품 다변화로 돌파구를 찾으려는 점에서 의미가 있다는 분석이다.삼성SDI,SK온 등 다른 배터리 기업도 캐즘 이후 대비를 위해 허리띠를 졸라매는 상황이다. 삼성SDI는 지난달 비(非)주력 사업인 편광 필름 사업을 약 1조원에 중국 기업에 양도했고, 지난 2분기 분기 최대 적자(4601억원)를 기록한SK온은 최근 대규모 구조 조정에 들어갔다.LG전자는 이날 올해 3분기 매출 22조1769억원, 영업이익 7511억원 잠정 실적을 발표했다. 전년 동기 대비 매출은 10.7% 올랐지만 영업이익은 20.9%나 줄었다. 매출은 역대 3분기 기준 최대치였지만, 해운 운임과 마케팅 비용 증가 등 수익성이 나빠졌다. 주요 철강사도 부동산 경기 회복 지연과 중국산 저가 철강재 유입의 ‘이중고’로 실적 부진이 길어지고 있다."
