date,title,content
2024-07-24,"LG이노텍, 2분기 영업이익 1517억원...전년 대비 726%↑","문혁수LG이노텍 최고경영자(CEO)가 지난 3월 서울 강서구 마곡 본사에서 열린 정기 주주총회 직후 기자간담회에서 발언하고 있다. /뉴스1LG이노텍이 계절적 비수기에도 불구하고 올해 2분기 영업이익 1517억원을 기록했다고 밝혔다. 전년 동기 대비 726% 증가한 수치다.24일LG이노텍은 2분기 매출 4조5553억원, 영업이익 1517억원을 기록했다고 공시했다. 전년동기 대비 각각 16.6%, 726.2% 증가했다. 역대 2분기 실적 기준으로는 가장 높은 매출을 냈다.뜻밖의 호실적은 스마트폰용 고성능 카메라 모듈 사업이 이끈 것으로 나타났다. 사업 부문별로 광학솔루션사업은 통상적 비수기에도 불구하고 고성능 카메라 모듈 공급 확대로 전년 동기 대비 19% 증가한 3조6803억원의 매출을 기록했다.LG이노텍의 주요 고객사인 애플이 중국에서 대거 프로모션을 진행하며 아이폰 판매 실적을 끌어올린 것이 영향을 미친 것으로 분석된다.이밖에 기판 소재 사업도 전년 동기 대비 13% 증가한 3782억원의 매출을 냈다.LG이노텍 관계자는 “스마트폰 수요가 개선되면서 스마트폰용 반도체 기판 공급이 늘었다”고 밝혔다. 전장부품사업도 매출 4967억원으로 전년 동기 대비 2% 증가했다.LG이노텍은 “계절적 비수기에도 불구하고IT수요가 개선되면서 광학솔루션 및 기판소재사업부 매출이 전년 동기 대비 증가했고, 고부가 제품 공급 확대와 적극적인 내부 원가개선 활동에 힘입어 수익성이 개선된 것”이라며 “고부가 제품 중심 사업을 강화해 수익 기반 성장을 꾸준히 이어 나가겠다”고 밝혔다."
2024-04-08,"LG 이노텍, 기상 악화에도 강한 ‘고성능 라이다’ 개발","전방 인식하는 자율 주행 센서눈·안개 때 탐지 거리 3배 늘려/연합뉴스LG이노텍이 기상 악화 상황에서 탐지 거리를 기존 대비 3배 늘린 ‘고성능 라이다(LiDAR)’를 개발했다고 7일 밝혔다.라이다는 레이저 빛을 발사해 돌아오는 시간을 통해 물체의 크기·거리·속도를 측정하고, 물체의 형태를 모니터에 입체 이미지로 구현해 준다. 카메라가 잘 못 하는 거리 측정, 레이더가 잘 못 하는 물체의 형태 인식을 동시에 해주는 고정밀 자율 주행 센서다. 하지만 눈, 안개 같은 상황에서 빛의 산란으로 탐지 거리가 줄어드는 단점이 있다.LG이노텍은 일반적으로 라이다에 사용되던 근적외선 대신 단파장 적외선을 적용해 이런 한계를 극복했다. 단파장 적외선은 근적외선보다 파장이 길어 빛의 산란에 따른 영향을 적게 받는다.LG이노텍은 “고성능 라이다는 최대 250m 떨어진 물체까지 감지할 수 있다”며 “특히 기상 악화 시 탐지 성능이 기존 제품 대비 3배 증가했다”고 했다. 예를 들어,LG이노텍의 고성능 라이다는 가시거리가 2m인 극심한 안개 상황에서 45m 거리에 있는 사람의 움직임을 정확히 감지할 수 있다. 반면 기존 제품은 동일한 상황에서 15m 앞의 움직임만 감지가 가능하다."
2024-04-24,고부가 제품에 집중… LG이노텍 1분기 영업익 전년 대비 21%↑,"문혁수LG이노텍 대표. 지난 3월 21일 서울 강서구LG이노텍 마곡 본사에서 열린 제48회 정기주주총회 후 취재진의 질문에 답하고 있다. /LG이노텍전자기기 부품 업체LG이노텍은 지난 1분기 매출 4조 3336억원, 영업이익 1760억원을 기록했다고 24일 밝혔다. 전년 동기 대비 매출은 1%가량 하락했지만 영업이익은 21.1% 올라 시장 전망치를 웃돌았다.영업이익 개선은 고부가 제품에 집중한 덕이다.LG이노텍 관계자는 “계절적 비수기와 글로벌 경기 침체에 따른IT수요 약세에도 불구하고, 고성능 프리미엄 제품 중심의 공급 및 적극적인 내부 원가개선 활동 등으로 수익성이 개선됐다”고 말했다.부문별로는 광학설루션사업이 3조5142억원의 매출을 기록했다. 스마트폰 수요 약세에도 불구하고 고성능 카메라모듈 공급을 강화해 전년 동기 수준의 매출을 기록했다. 기판소재사업 부문도 칩온필름 등 대형 디스플레이용 부품 공급 확대로 전년 동기 대비 약 1%만 감소한 3282억원의 매출을 냈다. 이밖에 전장부품사업도 전년동기 대비 비슷한 수준인 4912억원의 매출을 기록했다.박지환CFO(전무)는 “디지털 제조공정 혁신을 통해 품질 및 가격 경쟁력을 강화하는 한편, 고부가 제품 중심으로 사업을 전개해 수익 기반 성장을 지속해 나갈 것”이라며 “센싱·통신·조명모듈 등 미래 모빌리티 핵심부품을 비롯해FC-BGA와 같은 고부가 반도체기판을 필두로 지속성장을 위한 사업구조를 빠르게 구축해 나가고 있다”고 말했다."
2024-01-16,"애플 의존도 높은 LG이노텍, 지난해 영업이익 35% 감소","LG이노텍 로고./LG이노텍LG이노텍의 지난해 영업이익이 전년 대비 35% 감소했다. 주요 고객사인 애플의 아이폰 신제품 판매가 부진했기 때문으로 분석된다.LG이노텍은 16일 지난해 매출은 20조6053억원, 영업이익은 8308억원을 기록했다고 밝혔다. 매출은 지난해보다 5.2% 늘어났지만 영업이익은 34.7% 줄었다.LG이노텍의 실적 부진은 주요 고객사인 애플의 수요 부진 때문으로 풀이된다.LG이노텍 전체 매출에서 애플 제품이 차지하는 비중은 지난해 상반기 기준 75.1%에 달한다. 애플은 주요 시장인 중국에서 화웨이·샤오미 등 ‘애국 소비’로 인해 고전하고 있다.LG이노텍은 “글로벌 소비경기 둔화로 전년 대비 이익 감소 때문”이라고 밝혔다."
2024-01-02,"""질적 성장 가속화"" 문혁수 LG이노텍 대표 신년사","문혁수LG이노텍 대표. /LG이노텍“2024년에는 압도적 기술력과 원가경쟁력으로 질적 성장을 가속화합시다.”문혁수LG이노텍 대표가 2일 신년 메시지를 통해 임직원들에게 이같은 핵심 메시지를 전했다. 문 대표는 올해의 경영 방침으로 ‘질적 성장’을 내세우며,LG이노텍이 지속 가능한 성장을 이루기 위한 체질 개선의 필요성을 강조했다.문 대표는 “올해는 ‘GreatLG이노텍’을 만드는 여정의 시작”이라며, 이를 위한 3대 중점 추진 과제를 발표했다. 고객과 함께하는 성장, 수익 기반의 성장, 개인 역량과 직무전문성 강화이다.이 중 ‘고객과 함께하는 성장’은 고객의 성공을LG이노텍의 성과로 연결하는 전략이다. 문 대표는 “고객사가LG이노텍을 대체 불가한 파트너로 인정하도록 만들자”고 임직원들에게 주문했다.‘수익 기반의 성장’은 환경 변화에 흔들리지 않는 사업 체질 개선에 초점을 맞췄다. 문 대표는 “시장 환경이 어렵더라도 사업은 수익을 내며 성장해야 한다”고 말하며, 품질과 가격, 납기 등의 근본 경쟁력 강화를 강조했다. 또한 제품과 원가 경쟁력, 제조 공정 역량 등에서 경쟁사를 압도하는 차별적 경쟁 우위를 갖출 것을 당부했다.마지막으로 문 대표는 ‘개인 역량과 직무전문성 강화’를 통해 임직원들이 각자의 분야에서 최고가 되어 회사와 함께 성장하길 바란다고 전했다. 그는 임직원들에게 차별적 고객가치를 정의하고, 필요한 역량과 직무전문성을 강화하기 위해 주도적으로 노력할 것을 당부했다.문 대표는 신년사를 마무리하며 “할 수 있다는 자신감을 가지고 3대 중점 과제를 추진하여 환경변화에 흔들림 없이 지속 성장하는 ‘GreatLG이노텍’을 함께 만들어 가자”고 말했다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2023-11-24,"LG디플 CEO 정철동, LG이노텍 새 수장은 1970년생 문혁수","그래픽=조선디자인랩 정다운LG디스플레이 신임 최고경영자(CEO)에 정철동LG이노텍 사장이 선임됐다. 정 사장이 자리를 옮긴LG이노텍에서는 문혁수(1970년생) 부사장이LG그룹 첫 1970년대생CEO로 선임됐다. 전날LG에너지솔루션CEO에 전임 권영수 부회장보다 열두 살 적은 김동명(1969년생) 사장이 선임된 데 이어 올해 인사에서 세대 교체 트렌드가 뚜렷하다는 평가가 나온다.LG디스플레이는 23일 정철동 사장을 새CEO로 선임하는 내용을 포함한 정기 임원 인사를 발표했다. 정 사장은 다음 달 1일부터 공식 업무를 시작하며 내년 3월 주총과 이사회를 거쳐 대표이사에 정식 선임된다. 1984년LG반도체 입사 후,LG디스플레이와LG화학,LG이노텍 등LG그룹의 부품·소재 부문 계열사를 두루 거쳤다. 지난 5년간LG이노텍 대표를 지내며 카메라 모듈에서 글로벌 1위를 굳히고, 전장부품·기판소재 등 미래 성장 사업 기반을 강화했다는 평가를 받는다. 앞서LG디스플레이에선 생산기술센터장과 최고생산책임자로서 원천기술 확보와 디스플레이 생산 기반을 안정적으로 구축했다.LG이노텍에선 최고전략책임자(CSO) 역할을 수행해온 문혁수 부사장이CEO로 선임됐다. 문 부사장은 2009년LG이노텍으로 옮겨 광학솔루션 개발실장, 연구소장, 사업부장을 거치며 광학솔루션 사업을 세계 1위로 키우는 데 핵심 역할을 했다는 평가를 받는다. 지난해부터는CSO를 맡아 신사업 발굴과 사업포트폴리오 재편을 주도해 왔다. 이 밖에 김영민LG경영연구원 원장과 김인석LG스포츠 대표도 부사장에서 사장으로 승진했다.▲㈜LG▷부사장 박준성▷전무 이은정▷상무 윤봉국▲LG디스플레이▷부사장 김성현▷전무 석명수▷상무 곽태형 성연우 이경형 이민형 조승현 최낙봉▲LG이노텍▷전무 오세진 유병국 윤석▷상무 김종국 김홍필 박홍근 배석▲LG생활건강▷전무 이명석 정철용 권도혁▷상무 손남서 정승아 전호준 최남수 양정익 임철우 박한석▲LGCNS▷상무 박경훈 신재훈 유기웅 허재호 진경선 최규웅 진요한▲D&O▷상무 오세철▲HS애드▷전무 이상훈▷상무 이석재▲LG경영개발원▷부사장 이홍락"
2023-10-25,"LG이노텍, 영업이익 59% 감소한 1834억원… “4분기 호전될 것”","LG이노텍LG이노텍은 3분기 매출 4조7636억원, 영업이익 1834억원을 기록했다고 25일 밝혔다. 지난해보다 각각 11.6%와 58.8% 감소한 수치다.전자 부품업계는 글로벌 경기 침체와IT수요 약세로 실적 부진이 이어지고 있다.LG이노텍 관계자는 “고객사 최신 모델 부품 공급 확대 시기가 4분기로 조정되면서 지난해보다 실적이 감소했다”며 “스마트폰용 고부가 카메라모듈 공급 비중이 늘었고, 차량조명모듈, 배터리관리시스템(BMS) 등 전기차·자율주행용 부품 중심으로 전장부품 매출이 증가했다”고 말했다.LG이노텍은 애플 아이폰의 주요 부품 공급사다.다만 업계는 4분기에는 실적이 나아질 것으로 기대하고 있다. 이번 3분기 실적은 지난해보다 부진하지만 전분기 대비 매출은 21.9%, 영업이익은 899.1% 증가했다.LG이노텍은 “4분기에는 고객사 신모델 부품 공급이 집중되며 실적이 호전될 수 있을 것”이라고 했다."
2023-11-23,LG이노텍 신임 CEO에 문혁수 부사장,"문혁수LG이노텍 신임CEO/LG이노텍LG이노텍이 23일 이사회를 열고 문혁수 최고전략책임자(CSO,부사장)을 신임 최고경영자(CEO)로 선임하는 정기 임원 인사를 단행했다. 이날 신임CEO선임과 함께 전무 3명, 상무 4명 등 총 7명이 승진했다.▲전무 승진오세진 광학솔루션마케팅담당 유병국 전장부품사업부장 윤석 법무실장▲상무 선임김종국PeopleDevelopment담당 김홍필 전자부품사업담당 박홍근 베트남생산법인장 배석 전/자기Task리더"
2023-04-24,"세계서 가장 얇은 자성 부품 LG이노텍 ‘넥슬림’, 美 최고 권위 발명상",LG이노텍이 출품한 세계에서 가장 얇은 초박형 자성부품 '넥슬림'이 지난 20일(현지시간) 미국 '에디슨 어워즈(EdisonAwards) 2023'에서 상용 기술 분야 동상 수상작으로 선정됐다고 24일 밝혔다. 사진은 '넥슬림'의 주 소재로 사용된 고효율 자성소재 '페라이트(X-2)'./LG이노텍LG이노텍이 세계에서 가장 얇은 초박형 자성 부품 ‘넥슬림’으로 미국 최고 권위 발명상 ‘에디슨 어워즈 2023′에서 상용 기술 분야 동상을 받았다고 24일 밝혔다. 에디슨 어워즈는 발명가 토머스 에디슨을 기리기 위해 1987년부터 개최하는 미국 최고 권위 발명상으로 ‘혁신의 오스카상’이라고 부른다.넥슬림은 두께 7mm로 세계에서 가장 얇은 자성 부품이다.TV용 파워 모듈과 차량용 파워·충전기 등에 장착돼 전압을 바꾸거나 전류 파동으로 발생하는 불필요한 신호를 제거하는 데 사용된다.이 부품은 특히 초슬림·고화질TV시대에 기여한 것으로 평가받는다. ‘대화면·고화질’이란 요건을 충족하면서도 두께 2cm이하 초슬림TV를 만드는 데 필수적 역할을 한 것이다. 넥슬림과 같은 초박형 자성 부품의 등장으로TV용 파워 모듈 두께가 7.2~9.9mm수준으로 얇아졌고 이에 따라 전체 두께도 15~19.9mm에 불과한 초슬림TV가 탄생할 수 있었다고LG이노텍은 밝혔다.
2024-12-18,“뒷좌석도 실시간 확인” 차량용 카메라모듈 개발,"LG이노텍 ‘車센싱 사업’ 2조 육성LG이노텍은 차량 내 운전자와 탑승자의 안전을 확인할 수 있는 고성능 카메라 모듈을 개발했다고 17일 밝혔다.LG이노텍의 ‘고성능 인캐빈(실내용) 카메라 모듈’은 룸미러·보조석 상단 등 다양한 위치에 장착이 가능하다. 높은 해상도로 운전자가 졸음 운전을 하는지, 전방을 주시하는지 감시하고, 보조석과 2열 탑승자의 안전벨트 착용 여부를 확인한다. 이 카메라가 모니터링하는 상황을 차량 시스템이 분석, 이상이 감지되면 경고를 보낸다. 상용화 시기는 2026년으로 예상된다.LG이노텍 제품은 고화소RGB(빨간색·녹색·파란색)-IR(적외선) 겸용 센서를 장착해 가시광선은 물론 적외선 파장까지 감지할 수 있다. 또 기존 대비 5배가량 높은 500만 화소의 선명한 이미지로 정확한 탑승자 모니터링이 가능하다. 시야각을 넓혀 카메라 모듈 1대로 앞좌석은 물론 차량 내부의 2열 좌석까지 볼 수 있다. 모듈 크기는 기존 제품보다 15% 줄였다. 문혁수 대표는 “2030년까지 차량 센싱 설루션 사업 규모를 2조 이상으로 키울 것”이라고 말했다."
