date,title,content
2024-11-22,"10년간 리튬 최대 10만톤… LG화학, 엑손모빌서 공급",LG화학은 세계 최대 석유·에너지 기업인 미국의 엑손모빌과 북미에서 탄산리튬을 공급받는 업무협약을 체결했다고 21일 밝혔다. 2030년부터 10년간 탄산리튬 최대 10만t을 미국 현지에서 조달하는 내용이 협약의 핵심이다.엑손모빌은 미국 아칸소주(州) 리튬 염호에서 생산된 리튬을 약 3시간 거리에 있는LG화학 테네시 공장으로 공급하게 된다.LG화학 테네시 공장은 연간 6만t 생산 능력을 갖춘 미국 최대 규모 양극재 공장으로 지난해 12월 착공했다. 엑손모빌은 지난해 아칸소 염호를 인수해 그해 11월부터 직접리튬추출 기술로 리튬 채굴을 시작했다. 염호에는 전기차 5000만 대분 배터리 생산이 가능한 탄산리튬 400만t이 매장된 것으로 추정된다. 신학철LG화학 부회장은 “세계 최대 석유 회사인 엑손모빌과 리튬 공급망을 구축하게 되었다는 점에서 의미가 크다”며 “LG화학의 핵심 광물 글로벌 공급망 경쟁력을 지속해서 강화해 나갈 것”이라고 했다.
2024-08-27,"해마까지 돌아와...LG화학, 여수 앞바다에 잘피 군락지 복원","LG화학이 잘피를 심기 전 전남 여수 대경도 앞바다(왼쪽)의 상태와 잘피가 자라난 후(오른쪽)의 모습. /LG화학LG화학이 여수 앞바다에 심은 잘피 군락지가 자연에 자리 잡으면서 면적이 넓어지고, 보호종인 해마 같이 사라졌던 종이 돌아오는 등 바다 생태계가 복원되고 있다.잘피는 해양 식물의 일종으로 주로 얕은 바다의 모래나 진흙 바닥에서 자라는 해초다. 바닷속에서 광합성을 통해 영양분을 생산하고 탄소를 흡수한다.LG화학은 지난해부터 사업장이 있는 전남 여수 앞바다 대경도 인근에서 잘피 서식지 복원 사업을 진행한 결과, 군락지 면적이 축구장 4개 크기인 약 2.8㏊ 만큼 넓어졌다고 27일 밝혔다.LG화학은 지난해 10월 1차로 잘피 5만주를 이식해 기존 42.7㏊였던 군락지 면적을 44.7㏊로 넓혔다. 이후 고사하는 개체 없이 자연 군락지와 함께 스스로 면적을 늘려 지난 6월 기준 45.5㏊까지 넓어졌다.늘어난 면적 2.8㏊는 자동차 780대가 매년 배출하는 탄소량 1400t을 흡수할 수 있는 규모다. 잘피 서식 밀도도 지난해 1㎡당 평균 48개체에서 올해 59개체로 늘어 자연 군락지와 유사한 수준으로 성장했다.잘피 군락지에서 발견되는 생물도 크게 늘었다. 작년 말 발견된 생물은 불가사리와 갯지렁이 등 17종이었는데, 올해 6월에는 생태계 복원의 지표로 꼽히는 해양보호생물 해마를 비롯해 56종으로 늘었다.올해도LG화학은 잘피 2만주를 추가 이식할 계획이다. 목표대로 진행되면 2026년까지 잘피 군릭지 면적이 10㏊가량 더 넓어질 전망이다."
2024-07-31,"LG화학, 글로벌 화학기업 4위 올라 韓기업 중 첫 톱5...1위는 獨 바스프","LG화학이 미국화학학회가 발행하는 화학산업 전문지 ‘C&EN’선정하는 글로벌 화학 기업 순위에서 한국 기업 중 최초로 4위에 올랐다. 아시아 기업 중에서는 중국 시노펙(2위)에 이어 둘째로 순위가 높았다.지난해 12월,LG화학 미국 테네시 양극재 공장 착공식에서 신학철(왼쪽에서 여덟째) 부회장 등 주요 인사가 시삽을 하고 있다. /LG화학31일 업계에 따르면 화학산업 전문 매체인 ‘C&EN’이 발표한 올해 50대 화학 기업 순위(2024GlobalTop50)에서LG화학은 지난해(7위)보다 3계단 상승한 4위를 기록했다. 국내 기업이 C&EN이 발표하는 화학기업 순위에서 상위 5위 안에 든 것은 이번이 처음이다.C&EN은 매년 화학 기업 매출과 영업이익, 증감률 등을 종합적으로 분석해 화학 기업 순위를 발표한다. 사업확장, 인수합병 등 실적을 평가한다.올해 1위는 작년에 이어 독일 바스프가 차지했다. 중국 시노펙이 2위, 미국에 본사를 둔 다우케미칼이 3위였다. 지난해 세계 화학 기업은 공급과잉 등 침체기를 겪으며 매출과 수익성이 둔화했는데, 10위권 기업 중 2022년보다 매출이 증가한 기업은LG화학(4위, 6.5%↑), 페트로차이나(5위, 3.4%↑), 영국의 린데(10위, 0.3%↑) 등 3곳에 불과했다.LG화학의 작년 매출은 423억달러(약 59조원)로 2022년 대비 6.5% 증가했다.LG화학의 시가총액은 31일 오전 기준 약 21조7000억원으로 국내 시장에서 15위다.C&EN은LG화학이 이탈리아 이엔아이(ENI)와 차세대 바이오 오일(HVO) 공장을 설립하고CJ제일제당과 바이오 나일론(PA) 사업화,GS칼텍스와 생분해성 3HP(3-하이드록시프로피온산) 상용화를 각각 추진하는 등 친환경 원료 기반의 신사업 확대 전략을 주목했다작년 말 미국 테네시주에 착공한LG화학의 양극재 공장과 제너럴모터스(GM)와 맺은 약 25조원 규모의 양극재 공급 계약 등 배터리 소재 분야의 전략 강화도 높게 평가했다."
2024-06-24,"LG화학 신학철, 韓기업인 최초 하계 다보스포럼 공동의장 맡아",신학철LG화학 부회장이 한국 기업인 최초로 하계 다보스포럼을 이끄는 공동의장에 선정됐다.LG화학은 오는 25일부터 27일까지 중국 다롄에서 열리는 세계경제포럼(WEF·다보스포럼)의 ‘2024 뉴챔피언 연차총회(AnnualMeetingsofNewChampions)’에 신학철 부회장이 참가한다고 24일 밝혔다.신학철LG화학 부회장./뉴스1신 부회장은 이번 행사에서 뵈르게 브렌데WEF총재의 추대를 받아 ‘뉴챔피언 연차총회’의 공동의장 자격으로 참여한다. 한국 기업인이 공동의장에 선정된 것은 이번이 처음이다.WEF는 화학·첨단소재 산업의 발전과 넷제로(Net-Zero) 목표 달성에 아시아 지역의 참여가 중요한 만큼 앞서 한국 기업인 최초로WEF화학·첨단소재산업 협의체 의장에 선출된 신 부회장이 관련 산업계 리더들의 공조를 이끌어 줄 것으로 기대한다며 공동의장 추대 배경을 설명했다.중국을 찾는 신 부회장은 한국 화학 기업 대표로서 중국 리창 총리와 중국 국영 석유회사 시노펙 등 주요 글로벌 리더들과도 만나 글로벌 경제 관련 주요 사항에 대해 논의할 예정으로 알려졌다.
2024-06-25,"신학철 LG화학 부회장, 국내 최초 하계 다보스포럼 공동의장 맡아","신학철LG화학 부회장이 한국인 최초로 다보스포럼의 공동의장에 선정됐다. 신 부회장은 오는 25~27일 중국 다롄에서 열리는 하계 세계경제포럼(WEF)인 ‘2024 뉴챔피언 연차총회’에서 11명의 공동의장 중 한 명으로 참여한다. 세계경제포럼은 해마다 1~2월, 세계 각국 주요 인사들이 스위스 다보스에 모여 세계 경제 발전 방안을 논의해 다보스포럼으로 불린다. 2007년부터는 중국에서 신흥국 중심인 하계 포럼을 열고 있다. 신 부회장은 배터리 소재 차세대 기술에 대한 기조 연설을 진행할 예정이다."
2024-11-21,"LG화학, 美 엑슨모빌과 리튬 최대 10만t 확보…“북미 현지 공급망 확대”","LG화학은 세계 최대 석유·에너지 기업인 미국의 엑슨모빌과 북미에서 탄산리튬을 공급받는 업무협약을 체결했다고 21일 밝혔다. 2030년부터 10년간 탄산리튬 최대 10만t을 미국 현지에서 조달하는 내용이 협약의 핵심이다.신학철(오른쪽)LG화학 부회장과 댄 홀튼(DanHolton) 엑슨모빌 부사장이 업무협약을 체결하고 기념촬영을 하고 있다./LG화학엑슨모빌은 미국 아칸소주(州) 리튬 염호에서 생산된 리튬을 약 3시간 거리에 있는LG화학 테네시 공장으로 공급할 예정이다.LG화학 테네시 공장은 연간 6만t 생산 능력을 갖춘 미국 최대 규모 양극재 공장으로 지난해 12월 착공했다.엑슨모빌은 지난해 아칸소 염호를 인수해 그해 11월부터 직접리튬추출 기술로 리튬 채굴을 시작했다. 염호에는 전기차 5000만대분 배터리 생산이 가능한 탄산리튬 400만t이 매장된 것으로 추정된다.엑슨모빌은 이른바 ‘오일 메이저’ 기업 중 배터리 사업 진출에 가장 적극적인 곳이기도 하다. 전통 석유 사업에 대한 투자는 이어가면서 전기차 시대 전환에 대비해 사업 다각화를 하고 있다.엑슨모빌은 2027년 리튬 상업 생산, 2030년 리튬업계 선두 주자를 목표로 제시했다. 특히 염호에서 리튬을 추출하는 작업은 원유 시추 및 배관 추출, 가공 작업과 비슷해 석유기업의 노하우를 활용할 수 있는 분야로 꼽힌다.댄 암만 엑슨모빌 저탄소솔루션 대표는 “양사 간 협약을 통해 글로벌 리튬 시장을 선도해 나갈 것”이라며 “미국 리튬 산업을 주도하며, 탄소 감축, 일자리 창출, 경제 성장 촉진 등에도 기여해 나가겠다”고 밝혔다.LG화학 신학철 부회장은 “세계 최대 석유회사인 엑슨모빌과 리튬 공급망을 구축하게 되었다는 점에서 의미가 크다”며 “LG화학의 핵심광물 글로벌 공급망 경쟁력을 지속해서 강화해 나갈 것”이라고 말했다."
2024-04-29,"물류비 절감, 신사업 창출... LG화학 고객감동 활동 강화","LG화학이 고객 가치 혁신을 위한 전담 조직을 구성해 ‘고객 감동 경영’을 강화하고 있다.LG화학은 고객이 만족할 때까지 적극적으로 문제 해결에 나서고 있다. 고객이 요청한 사항 이외에도 고객이 느끼지 못하는 불편을 찾아 개선하는CPPM(CustomerPainPointManagement) 활동을 전개해 매월 임직원과 우수사례를 공유하고 있다.LG화학은 고객사를 대상으로 원가절감 및 사업기회 지원 등 활동을 진행하고 있다. 우선 고객이 원하는 제품 개발을 통해 원가 및 탄소저감에 기여하고 있다. 자동차 생산 업체인 A고객사는 최근 에너지 가격 상승으로 페인트 공정에서 발생하는 열 에너지 비용이 증가해 어려움을 겪었다. 페인트 공정의 온도를 낮춰야 했고 접착제·실러의 온도가 180~200도보다 낮은 온도에서 굳어야 했다.LG화학은 고객의 요청에 따라 마케팅·연구소·영업간 협업을 통해 낮은 온도에서도 잘 굳는 접착제·실러를 개발해 페인트 공정에서 발생하는 에너지 비용과 탄소 발생량을 효과적으로 줄일 수 있는 제품을 A사에 제안했다. A사는 “어려운 시기에LG화학의 차별화된 소재 개발로 수익성은 물론 시장 점유율까지 향상될 것으로 기대하고 있다”고 말했다.고객의 물류비 절감으로 원가경쟁력을 확보한 사례도 있다. B고객사는 글로벌 물류 대란으로 물류비가 급격히 상승해 수익성 확보에 어려움이 생겼다.LG화학은 고객사의 물류비를 절감한다면 고객사의 부담을 줄여주고 상생 관계를 더욱 발전시킬 수 있을 것이라 판단했다. 컨테이너 적재 시 제품의 안정성을 위해 운영하던 1단 적재방식을 2단으로 변경해 1회 운송량을 최대 2배로 늘리는 아이디어를 도출했다. 현장 적용을 위해LG화학은 직접 컨테이너의 제품 포장사양 보강과 컨테이너 높이를 고려한 최적의 적재단수를 여러 번의 자체 시뮬레이션을 통해 운송 규격을 확보했다.LG화학의 자체 시뮬레이션 덕분에 고객은 어려움 없이 현장 적용을 할 수 있었고 연간 수억원의 물류비를 절감하고 있다.신학철LG화학 부회장(가운데)이 협력업체를 방문해 공정에 대한 설명을 듣고 있다.고객사가 새로운 제품을 개발하도록 지원하는 활동도 현장에서 큰 환영을 받고 있다. 포장용 필름을 만드는 C고객사는 가전 포장재 시장에 진출하려던 상황에서 관련 사업 경험이 적은 탓에 난항을 겪고 있었다.LG화학은 고객사의 고민을 듣고LG화학이 보유한 노하우와 분석 데이터를 제공했다. 또, 고객사에 세미나와 기술 미팅을 진행하는 것은 물론 현장 제품 테스트에 직접 참가하기도 했다.LG화학이 현장에서 빠르게 개선점에 대한 솔루션을 제공한 결과 C사는 성공적으로 새 제품을 만들 수 있었다.또, 사업 교육 프로그램 지원으로 고객의 영업력과 매출을 향상시킨 사례도 있다. B2B 고객인 해외 로컬 파트너사는 다양한 니즈를 가진 보건의료전문가(HCP) 대상의 영업 활동에 어려움이 있었고 글로벌 브랜딩 전략 가이드와 현지 영업사원 교육의 니즈가 있었다.LG화학은 10년 이상의 국내&해외 사업 노하우와 콘텐츠를 기반의 종합 브랜드&학술 플랫폼을 제공하고 고객사의 영업 역량 강화를 위한 판매 가치 제안 교육 프로그램도 지원했다. 해외 로컬 파트너사는 “차별화된 체계적 교육을 통해 실질적인 영업력 향상에 도움이 되었고 교육과정 구축과 매출 증대에 많이 도움이 됐다”며 “LG화학이 지속가능한 사업을 위한 파트너로 고려하고 존중해주고 있다는 느낌을 받았다”고 했다.전사 임직원 대상 고객가치 대상 운영LG화학은 2021년부터 전사 임직원을 대상으로 고객가치 대상을 신설한 이래 매월 고객을 감동시킨 사례를 발굴, 구성원들과 공유하고 있다. 총상금 약 1억원 규모의 고객가치대상 제도로, 매월 고객을 감동시킨 사례를 모아 월별 포상금(팀 100만 원·개인 50만 원)을 주고, 연말에는 우수 사례 중 대상 1팀에 3000만원, 팀 우수상 2팀에 각 2000만원, 개인 우수상 3명에 각 1000만원의 상금을 수여한다. 2021년부터 6개의 팀과 6명의 개인 참가자가 고객가치 대상 수상자로 선정돼 약 2억원의 상금이 전달됐다. 또 임직원에게 매월 3개의 고객감동 실천사례를 소개해 많은 고객들에게 적용 가능하도록 전파하고 있다."
2024-05-01,LG화학 1분기 영업익 지난해보다 67% 줄어,"석유화학 부문 2분기째 적자LG화학 1분기(1~3월) 영업이익이 작년 같은 기간보다 67% 감소했다. 주력 사업인 석유화학 부문은 불황이 지속하며 2분기 연속 적자를 냈다.LG화학은 1분기 매출이 전년보다 18.7% 감소한 11조6094억원, 영업이익은 67.1% 급락한 2646억원을 기록했다고 30일 발표했다. 순이익은 3417억원으로 48.9% 급감했다. 작년 4분기와 비교하면 매출은 11.6% 감소했지만, 영업이익은 7% 증가했다.석유화학 부문은 매출 4조4552억원, 영업손실 312억원을 기록했다. 다만 비용 절감 효과 등으로 전분기(1170억원)보다 영업손실 규모를 크게 줄였다. 회사 측은 “2분기엔 고수익 제품 신규 라인 양산 가동 등으로 흑자 전환을 전망한다”고 밝혔다. 배터리 소재 사업 등을 하는 첨단 소재 부문은 매출 1조5834억원, 영업이익 1421억원을 기록했다.LG화학은 석유화학 부문 구조조정과 관련해 “확정된 방안은 없지만, 매각보다는 사업 경쟁력 강화를 위해 조인트벤처(JV) 등 다양한 전략적 옵션을 지속적으로 검토 중이다”고 했다. 차동석 최고재무책임자(CFO) 사장은 “올해 투자는 가급적 연초 계획한 4조원을 초과하지 않도록 신중하게 집행해나갈 계획”이라며 “작년 필름 사업과 진단 사업을 매각한 것처럼 비핵심 자산 매각도 지속적으로 추진할 것”이라고 말했다."
2024-04-30,"LG화학, 1분기 영업이익 2646억...전년 동기보다 67% 감소","LG화학이 지난 1분기 연결기준 매출 11조 6094억원, 영업이익 2646억원의 실적을 기록했다고 30일 발표했다. 전년동기 대비 매출과 영업이익이 각각 18.7%, 67.1% 감소했다. 전분기 대비로는 매출은 11.6% 감소했으나, 영업이익이 7.0% 증가했다.사업부문별로 보면 석유화학부문은 매출 4조 4552억원, 영업손실 312억원을 기록했다.LG화학은 “2분기는 고유가, 고금리 장기화 등의 불확실성이 있지만 가전 및 주요 제품의 성수기 진입과 고부가 제품의 신규라인 가동 등에 따른 수익성 개선이 전망된다”고 밝혔다.첨단소재부문은 매출 1조 5834억원, 영업이익 1421억원을 기록했다. 생명과학부문은 매출 2849억원, 영업이익 33억원을 기록했다. 당뇨, 성장호르몬 등 주력 제품의 안정적인 판매로 전년동기 대비 매출은 소폭 상승했지만, 글로벌 임상 과제 수행에 따른 연구개발(R&D) 비용이 증가했다는 설명이다. 에너지솔루션은 매출 6조 1287억원, 영업이익 1573억원을 기록했다. 팜한농은 매출 2457억원, 영업이익 349억원을 기록했다.LG화학 차동석 사장은 “어려운 경영환경 속에서도 회사의 위기관리 능력을 토대로 전분기 대비 개선된 수익성을 달성했다”며 “사업 경쟁력 제고와 운영 최적화 활동 등을 통해 점진적인 실적 개선세를 이어갈 것”이라고 밝혔다.LG화학 로고 /LG화학"
2024-04-15,LG화학 ‘희망퇴직’ 시행… 필름 사업 매각 후속 조치,"LG화학이 중국 기업에 설비를 매각한 정보기술(IT)용 필름 사업 조정을 위해 희망퇴직을 추가로 시행한다.LG화학은 근속 5년 이상 첨단소재사업본부 생산기술직 직원을 대상으로 이달 30일까지 특별 희망퇴직 신청을 받는다고 14일 밝혔다. 앞서LG화학은 수익성이 떨어지는 한계 사업을 정리하고 이차전지 양극재 등 신사업 투자를 확대하기 위해 작년 9월IT필름(편광판 및 편광판 소재) 사업 설비를 약 1조1000억원에 중국 기업에 매각하기로 결정했다. 이후 작년 하반기 해당 사업을 맡은IT소재 사업부 직원들을 다른 사업부로 전환 배치하고 특별 희망퇴직도 진행했다.LG화학 관계자는 “IT필름 소재 매각 이후 추가 인원 조정 차원에서 이뤄지는 희망퇴직”이라고 했다. 근속 5~10년 희망퇴직자에는 기본급 30개월, 10년 이상 직원은 60개월 치가 위로금으로 책정됐다. 학자금도 자녀 수 제한 없이 1인당 중학교 300만원, 고등학교 700만원, 대학교는 4학기 범위에서 학기당 400만원이 지급된다. 회사 측은 “최근 업황 부진이 계속되는 석유화학 부문은 희망퇴직 대상이 아니다”라고 했다."
