date,title,content
2024-12-27,"지방 아파트도, 한국 주식도 손실... “국민만 아프다”","2024년 주요 자산별 성적표 분석美 주식은 2년 연속 20%대 상승[왕개미연구소]올해 자산시장에선 미국 기준 금리 인하 호재로 모든 자산 가격이 뛰는 ‘에브리싱 랠리(everythingrally)’ 현상이 나타났다. 일반적인 경제 이론을 뒤엎고, 안전자산인 금(金)과 위험자산인 가상화폐가 동반 상승하는 독특한 흐름이 이어졌다.전문가들조차도 정확히 앞을 내다보기 어려운 혼돈의 시기에 최고의 재테크 농사를 지은 자산과 최악의 자산은 무엇이었을까. 새해에 부자가 될 기회를 선점하고 싶다면, 올해 시장 판도에서 투자의 힌트를 얻어 전략을 짜야 한다.그래픽=조선디자인랩 한유진✅비트코인, 2년 연속 금메달27일NH투자증권이 주요 17개 자산을 분석한 자료에 따르면, 올해 압도적으로 높은 수익을 올린 자산은 비트코인이었다. 작년에 154% 올랐던 비트코인은 올 상반기에는 지루한 횡보세를 보였다. 하지만 트럼프 대통령 당선인이 ‘가산자산 대통령’을 자처하고 친(親)가상화폐 정책 공약을 내놓으면서 반전의 드라마를 썼다. 비트코인은 올해 136% 급등하면서 수익률 1위를 차지했다.수익률 2위는 42.2%의 성과를 올린KRX금(金)이었다.KRX금은 일반인이 금을 실시간 거래할 수 있는 현물 매매시장이다. 마치 주식처럼 증권사HTS·MTS를 통해 손쉽게 사고 팔 수 있다. 매매 차익은 비과세되며, 금융소득종합과세 대상에서도 제외된다는 것이 장점이다.3위는 미국 주식(S&P500)이었다. 작년에도 24% 넘게 올랐는데, 올해도 26% 넘게 오르면서 작년 성과를 뛰어 넘었다. 대장주인 애플은 인공지능(AI) 붐에 따른 아이폰 교체 수요 기대감 등에 힘입어 연일 사상 최고치를 경신 중이다. 미국 역사상 첫 ‘시가총액 4조달러’(약 5900조원) 문턱에도 바짝 다가섰다.기술주 중심의 나스닥지수는 지난 11일 사상 최고로 2만선을 넘었다./그래픽=박상훈강선우 미래에셋증권 수석매니저는 “지난 10년 간 미국 S&P500지수가 200% 상승하는 동안 한국 코스피지수는 20% 상승하는 데에 그쳤다”면서 “지금까지와 같은 한미(韓美) 증시 성과 차이는 앞으로도 계속될 것”이라고 예상했다. 미국은 생산의 3요소(노동력·기술·자본)에서 전부 우위를 점해 기업 성장을 위한 최적의 환경을 제공하는 곳이기 때문에 증시 상승도 이어진다는 설명이다.강선우 매니저는 “내년에도 ‘미국예외주의’가 지속될 수 있는 만큼, 현재 포트폴리오에서 한국 주식 비중이 높다면 미국으로의 지역 분산을 고려하라”고 권했다.✅올해 최악의 자산은 한국 주식17개 자산 중에서 올해 손실을 본 자산은 3개 뿐이었다. 이 중에서 2개가 한국 관련 자산이었다. 인구가 줄어드는 지방은 신규 공급이 계속되면서 미분양이 쌓이고 있다. 그 결과 올해 서울 아파트가 4.5% 상승한 동안, 지방 아파트 가격은 1.7% 떨어지면서 양극화 현상이 심해졌다.정보현NH투자증권Tax센터 부동산 수석연구원은 “서울 아파트는 지난 3월부터 상승폭을 확대했지만 그 이외 지역은 약세를 이어가면서 격차가 더 벌어지고 있다”면서 “내년에도 입지나 신축·구축 여부에 따라 상승·하락 지역이 상존하는 차별·국지화 장세가 이어질 것”이라고 말했다.그래픽=양인성원유(WTI)도 올해 2% 가량 하락했는데, 중국 등 주요국 경기 부진 우려가 확대되면서 원유 수요에 부정적인 영향을 미쳤다. 내년에도 원유 가격은 약세를 이어갈 전망이다. 26일 대한석유협회와 에너지정보청(EIA) 보고서에 따르면, 중동 지역 분쟁 완화와 더불어 주요 산유국 연대인OPEC+의 감산 가능성이 낮아지면서 유가가 약 10% 하락할 전망이다.올해 전세계 주요 자산 중 가장 나쁜 수익률을 기록한 건 한국 코스피지수였다. 24일까지 8% 하락해 17개 자산 중에서 꼴찌였다. 내수 부진에 계엄 사태 이후 정치 불안이 이어지고 원·달러 환율까지 1500원에 육박하면서 최악의 시절을 보내는 중이다. 이경민 대신증권 연구원은 “국내 정치 리스크가 투자심리 위축과 원화 약세 압력 증폭, 외국인 매도 압박을 잇는 악순환의 고리를 만들고 있다”고 말했다.그래픽=조선디자인랩 한유진주가 하락으로 한국 증시는 역사적 저평가 국면에 진입한 상황이다. 코스피지수의 밸류에이션(실적 대비 주가 수준)이 역대 최저 수준이다(위 그림 참고).27일 미래에셋증권에 따르면, 이달 말 기준 코스피지수의 12개월 선행 주가수익비율(12MFPER)은 7.8배다. 과거 5개년PER평균(10배)에 턱없이 모자란다. 내년 실적 전망을 감안하면, 코스피지수가 저평가됐다는 뜻이다. 반면 미국, 인도, 호주 등의 주요 시장은 12개월 선행PER이 5년 평균보다 높아 투자 심리가 과열된 상태다.하지만 주가수익비율(PER)과 같은 정량적인 수치가 절대적인 기준이 되긴 어렵다는 반박도 있다. 증권업계 관계자 A씨는 “가는 장이 더 가고 빠지는 장은 더 빠진다는 측면에서 보면, 매수 타이밍을 잡는 지표로 밸류에이션은 유효하지 않을 수 있다”고 말했다."
2024-07-25,"우리투자증권, 10년 만에 증권가 귀환","우리종금·포스증권 합병 인가우리투자증권이 10년 만에 증권가로 돌아왔다.금융위원회는 24일 정례 회의를 열고 우리종합금융과 한국포스증권의 합병안을 인가했다. 합병 증권사 명칭을 우리투자증권으로 결정한 우리금융지주는 다음 달 1일 정식 출범한다. 지난 2014년 옛 우리투자증권이NH금융지주에 매각돼NH투자증권에 흡수됐는데, 이번에 다시 만들어지는 것이다.10년 전NH금융지주 회장 자격으로 우리투자증권 인수 작업을 지휘한 임종룡 우리금융지주 회장이 이번에는 우리투자증권의 여의도 증권가 귀환 작업을 주도했다. 우리투자증권의 자기자본은 약 1조1500억원이다. 업계 18위로, 10년 전 매각 당시 우리투자증권의 4분의 1 정도다. 우리투자증권은 향후 투자은행(IB) 부문 확대, 추가 인수 합병(M&A) 등을 통해 10년 내 10위권 초대형IB로 성장하겠다는 목표를 갖고 있다.우리금융은 이번 증권업 진출을 계기로 비은행 사업 다각화에 속도를 낸다는 구상이다. 주요 금융 그룹 간 실적 경쟁에서 우리금융의 은행 중심 사업 구조가 최대 약점으로 지목되고 있기 때문이다."
2024-03-11,NH투자증권 사장에 윤병운 부사장 내정,"윤병운NH투자증권 신임 사장 내정자NH투자증권 사장으로 윤병운NH투자증권 부사장이 내정됐다. 11일NH투자증권 임원후보추천위원회(임추위)와 이사회는 윤 부사장을 사장 후보로 추천했다. 윤 부사장은 오는 27일 열리는 주주총회를 거쳐 공식 선임된다. 1967년생인 윤 부사장은 한국외국어대를 졸업하고 1993년NH투자증권의 전신인LG투자증권에 입사했다. 이후 커버리지(분석) 본부장,IB1사업부 대표(부사장) 등을 거쳤다. 정영채 현NH투자증권 사장과 20년 가까이 호흡을 맞추며NH투자증권을IB강자로 키우는 데 기여했다는 평가가 나온다.정 사장은 지난 4일 자신의 페이스북에 “이번 주총 때까지 역할을 하고 회사를 떠나기로 했다. 한동안 여러 이야기가 있었지만 이제 스스로를 정리할 적기라고 판단했다”고 용퇴 의사를 밝혔다. 그런데 후임 사장을 놓고 농협중앙회와 농협금융지주 간에 갈등이 불거진 것으로 알려졌다. 앞서 임추위는 차기 사장 후보로 윤 부사장 이외에 유찬형 전 농협중앙회 부회장, 사재훈 전 삼성증권 부사장 등 3인을 쇼트리스트로 확정했다. 농협중앙회는 34년 ‘농협맨’ 유찬형 전 부회장을 추천했지만, 농협금융지주는 증권업 경험이 있는 인사를 선임하도록 임추위에 맡겨야 한다며 반대한 것으로 전해졌다. 여기에 금융감독원이 지난 7일 농협금융지주와 계열사에 대한 검사에 착수, 지배구조를 들여다보겠다고 나서기도 했다."
2024-02-02,기업 분석·기관 설문서 만점… NH투자증권이 최우수 증권사,"본지·에프앤가이드 공동 주관‘2023년 리서치 우수 증권사 및 베스트 애널리스트’ 평가1일 오전 서울 여의도 한국거래소 컨퍼런스홀에서 열린 '2023년 리서치 우수 증권사 및 베스트 애널리스트' 시상식에서 수상자들이 기념 촬영을 하고 있다. 앞줄 왼쪽 다섯째부터 오태동NH투자증권 리서치센터장, 정영채NH투자증권 대표, 이철순 에프앤가이드 대표, 홍준호 조선일보 발행인, 서유석 금융투자협회 회장, 김기경 한국거래소 부이사장, 이나예 한국투자증권 커버리지분석부 부장, 김동원KB증권 리서치센터장, 황승택 하나증권 리서치센터장. /고운호 기자조선일보와 금융 정보 업체 에프앤가이드가 공동 주관한 ‘2023년 리서치 우수 증권사 및 베스트 애널리스트’ 평가에서 증권사 총 27곳 가운데NH투자증권이 최우수 증권사에 선정됐다.NH투자증권은 4년 만에 최우수 증권사 타이틀을 다시 거머쥐었다. 우수 증권사에는 하나증권이 선정됐다.또 부문별로 해외 리서치 우수 증권사는KB증권,ESG리서치 우수 증권사는 한국투자증권(2년 연속), 리서치 고객서비스 혁신 증권사는 삼성증권(2년 연속), 디지털 리딩 리서치 우수 증권사는 미래에셋증권이 차지했다.애널리스트 평가에선 투자 전략 부문 7개, 기업 분석 부문 13개 등 20개 부문에서 베스트 애널리스트(1위)와 우수 애널리스트(2~5위)가 선정됐다. 기관투자자 설문 조사를 거쳐 뽑힌 가장 신뢰받는 애널리스트에게 수여하는 특별상은 2년 연속KB증권 김동원 애널리스트에게 돌아갔다.시상식은 1일 서울 여의도 한국거래소에서 열렸다. 국내 최고의 애널리스트를 선정하기 위한 이번 행사는 올해로 24년째다.그래픽=조선디자인랩 한유진4년 만에 다시 정상 오른NH투자증권최우수 증권사의 영예를 안은NH투자증권은 전체 평가 부문 중 가장 높은 배점인 50점이 할당된 기업 분석 부문 우수 애널리스트 보유 평가와 20점이 할당된 기관 설문 평가에서 모두 만점을 받았다. 이에 총점 100점 중 89.5점을 획득, 2위인 하나증권(68.5점)을 큰 차로 앞섰다.전체 순위 3위에 오른KB증권은 투자 전략 부문에서 만점을 받았다. 에프앤가이드는 “이 부문 평가가 기관 투자자들의 설문(100%)으로 이뤄진 점을 감안하면 기관이 투자 전략을 고민할 때KB증권이 가장 신뢰를 받고 있다는 점을 확인할 수 있었다”고 했다.우수 증권사 1~3위에 베스트 애널리스트 몰려평가 결과 27개 증권사 중 9곳만 베스트 애널리스트를 배출했다.KB증권이 6명의 베스트 애널리스트를 배출해 2년 연속 최다 부문 수상을 기록했다. 2위인NH투자증권은 4명을, 신한투자증권과 하나증권은 각각 3명, 2명을 배출했다. 전체 20개 부문 중 11개 부문 베스트 애널리스트가 우수 증권사 톱3(NH투자증권·하나증권·KB증권)에 몰렸다.증권사별 5위권 내 우수 애널리스트 보유 현황을 살펴보면NH투자증권과 하나증권이 각각 14명,KB증권과 메리츠증권이 각각 10명으로 독보적으로 많았다. 이어 신한투자증권과 삼성증권이 각 8명으로 상위권을 형성했다.전체 20개 부문 중 7개 부문의 베스트 애널리스트는 이번이 첫 수상이다. 파생상품·계량분석 유명간(미래에셋증권), 채권·신용분석 김상훈(하나증권), 자산 배분 박석중(신한투자증권), 화학·유틸리티 조현렬(삼성증권), 헬스케어 박병국(NH투자증권), 조선·중공업·기계 이동헌(신한투자증권), 금융 정준섭(NH투자증권) 등이다.기업 분석 부문 평가에선 과거 수상자들이 다시 1위에 오른 경우가 많았다.KB증권 강성진 연구위원이 운송 부문에서 6년 연속 1위를 차지했고,KB증권 김일혁 연구위원은 글로벌투자전략 부문에서 5년 연속 베스트 애널리스트에 선정됐다. 자동차 부문에선 메리츠증권의 김준성 연구위원이, 유통·소비재·음식료 부문에선 키움증권 박상준 연구위원이 나란히 3년 연속 1위에 올랐다. 이코노미스트 부문의 신한투자증권 하건형 연구위원은 2년 연속 베스트 애널리스트에 선정됐다.가장 많은 수의 애널리스트가 평가를 받은 반도체·전기전자·디스플레이 분석 부문에선KB증권 김동원 애널리스트가 1위에 올랐다. 그는 평가 부문·업종을 막론하고 기관 투자자들이 가장 신뢰하는 애널리스트로 꼽기도 했다.중소형 기술주와 코스닥 시장 종목을 주로 분석하는 스몰캡 부문에선 하나증권 스몰캡팀이 1위에 올랐다.2023년 평가 대상 애널리스트는 투자 전략 부문 172명, 기업 분석 부문 304명 등 총 476명으로, 2022년의 453명보다 23명이 늘었다."
2024-12-23,"매출 속이고 공모가 부풀린 파두… 금감원, 검찰에 송치","상장 주관NH투자증권 관계자도서울 강남구 파두 본사 모습. /뉴스1금융감독원은 22일 코스닥에 상장하면서 거래처와 거래 중단 등 불리한 사실을 숨기고 공모가를 부풀린 혐의를 받는 반도체 설계업체 ‘파두’와 상장을 주관한NH투자증권 관계자들에 대해 기소 의견으로 검찰에 송치했다고 밝혔다.금감원에 따르면 파두는 지난해 상장을 준비하며 제출한 증권신고서에 2023년 연간 자체 매출액 추정치를 1202억원이라고 기재했다. 그런데 2022년 말부터 주요 거래처들의 발주가 감소하거나 중단되면서, 매출은 이보다 크게 줄어들 것으로 예상됐다. 그럼에도 파두는 작년 2월 이 같은 전망을 숨기고 상장을 위한 자금을 유치하는 데 성공했다. 또 상장예비심사와 증권신고서 제출 과정에서도 매출 급감에 따른 영향을 반영하지 않은 채 예상 매출액을 기재했다. 이에 지난해 8월, 1조원이 넘는 몸값을 자랑하며 코스닥 시장에 상장하는 데 성공했다.하지만 지난해 11월 공시된 분기 보고서에서 기재된 실제 매출액은 2분기(4~6월)와 3분기(7~9월) 각각 5900만원과 3억2000만원에 그쳤다. 이는 연간 예상 매출액(1202억원)에 견줘보면 크게 미흡한 수치였다.이런 내용이 공시되자 파두 주가는 작년 11월 8일 3만4700원에서 단 4거래일 만에 1만7710원으로 급락했다. 이 과정에서 일부 경영진은 보유한 주식 일부를 팔아 상당한 매매 차익을 올린 것으로 알려졌다.금감원은 상장을 주관한NH투자증권 관계자들도 허위 공모가를 산정하는 과정 등에서 파두와 공모한 혐의가 있다고 판단했다. 금감원 관계자는 “파두와NH투자증권은 시장 신뢰를 떨어뜨리고, 투자자 불신을 야기했다”고 말했다."
2023-11-29,‘라임·옵티머스 사태’ KB·NH증권 대표에 직무정지·문책 경고,"금융위, 펀드 판매사 책임 물어금융 당국이 박정림KB증권 대표와 정영채NH투자증권 대표에게 2019년 라임·옵티머스 사태에 대한 펀드 판매사로서 책임을 물어 29일 중징계를 내렸다. 곧 임기가 끝나는 두 대표는 중징계로 연임이 불가능해졌다.정영채NH투자증권 대표이사 사장(왼쪽)과 박정림KB증권 대표이사 사장. /조선DB금융위원회는 이날 정례회의에서 박 대표와 정 대표에 대해 내부 통제 기준 마련 의무 위반을 이유로 각각 ‘직무 정지(3개월)’ ‘문책 경고’ 처분을 확정했다. 윤경은 전KB증권 대표에겐 직무 정지 3개월에 상당하는 조치를 내렸다. 금융사 임원 제재는 주의, 주의적 경고, 문책 경고, 직무 정지, 해임 권고 등 5단계로 나뉜다. 문책 경고 이상은 중징계에 해당한다. 중징계가 확정되면 연임할 수 없고, 금융권 취업도 3~5년간 제한된다.함께 제재 대상에 오른 양홍석 대신증권 부회장(펀드 사태 당시 사장)은 주의적 경고로 중징계를 면했다. 반면 나재철 전 대신증권 대표는 문책 경고를 받았다. 또 다른 라임 펀드 판매사인 신한투자증권의 김형진·김병철 전 대표도 각각 직무 정지, 주의적 경고 처분을 받았다. 김도진 전 기업은행장은 디스커버리 펀드 판매 문제로 ‘주의적 경고’ 조치가 내려졌다. 금융위는 “신한투자증권과KB증권은 (라임) 펀드의 핵심 투자 구조를 형성하고 관련 거래를 확대하는 과정에 관여해 중한 제재가 필요하다고 판단했다”고 했다.금융감독원에 따르면KB증권과 대신증권, 신한투자증권은 2019년 환매 중단 사태가 빚어진 라임 펀드를 각각 1076억원, 681억원, 3248억원어치 판매했다.NH투자증권은 옵티머스 펀드 판매액(약 5100억원)의 85%에 달하는 4327억원을 취급해 문제가 됐다. 금융감독원은 2020~2021년 박 대표와 정 대표, 양 부회장 등 3명에겐 문책 경고를 냈다. 하지만 이후 금융위 심의에서 박 대표 제재 수위는 한 단계 상향됐고, 양 부회장은 한 단계 낮아졌다. 금융당국 관계자는 “박 대표는 라임 사태 발생 전 문제를 바로잡을 기회가 어느 정도 있었으나 이를 간과한 점이 확인돼 징계 수위가 올라간 것”이라고 했다."
2024-12-22,"금감원, 뻥튀기 상장 논란 ‘파두’ 검찰 송치","금감원 “파두, 매출 급감 예상해놓고 숨겼다”서울 강남구 파두 본사 모습. /뉴스1지난해 기업가치를 부풀려 코스닥에 ‘뻥튀기 상장’을 했다는 의혹을 받고 있는 반도체 설계업체 파두가 검찰에 넘겨졌다.22일 금융감독원은 파두와 파두의IPO(기업공개) 주관증권사인NH투자증권 관련자에 대한 수사 결과를 자본시장법 위반 혐의에 대한 기소 의견으로 지난 20일 검찰에 송치했다고 밝혔다.파두는 지난해 8월 기술특례상장 형식으로 코스닥 시장에 데뷔했다. 파두는 상장 한 달 전인 7월 제출한 증권 신고서에서 연간 예상 매출액은 1203억원이라고 자신했다. 하지만, 3분기 실적 발표 날 파두의 2·3분기 매출액이 도합 4억원도 안 된다는 사실이 밝혀졌다. 실적 발표 후 3일간 주가는 45% 폭락했고, 현재까지도 실적 발표 전 주가 수준을 회복하지 못하고 있다.금감원에 따르면, 파두 경영진들은 2022년 말부터 주요 거래처들의 발주 감소 및 중단으로 매출이 급감할 것이 예상됐지만 이를 숨긴 채 지난해 2월 사전 자금조달을 통해 투자를 유치했다. 심지어 경영진들은 이 과정에서 보유주식 일부를 매도해 개인적 매매차익을 실현한 것으로 드러났다. 특히 파두는 지난해 3~6월 상장예비심사와 증권신고서 제출 과정에서 주요 거래처의 발주 중단에 따른 향후 매출 급감 영향을 반영하지 않은 채 예상 매출액을 산정한 것으로 나타났다.금감원은 이번 사건을 계기로IPO시장의 신뢰 회복을 위해 주관증권사의 책임을 강화하고 증권신고서 공시서식을 개정하는 등 제도 개선에 나선다. 특히 상장 전·후 회계심사를 강화하고 주관증권사의 실사의무를 강화하는 한편, 공모가 산정의 합리화를 추진하기로 했다.금감원 관계자는 “상장을 준비하거나 진행 중인 기업들은 공모가에 직접적 영향을 주는 향후 매출추정에 신중을 기해야 한다”며 “증권신고서 등에 거짓 기재나 허위표시가 있을 경우 자본시장법 위반에 해당할 수 있다”고 했다."
2024-12-16,"검찰, ‘채권 돌려막기’ 증권사 8곳 압수수색","서울 양천구 서울남부지방검찰청./뉴스19개 증권사의 채권형 랩어카운트(랩)·신탁 돌려막기 의혹을 수사 중인 검찰이 이들과 거래한 증권사에 대한 강제 수사에 나섰다.서울남부지검 금융수사과는 16일 오전부터 ‘채권 돌려막기’ 의혹을 받는 9개 증권사와 거래한 증권사 8곳을 압수수색하고 있다고 밝혔다.하나증권,KB증권, 교보증권, 미래에셋증권, 유안타증권, 유진투자증권, 한국투자증권,NH투자증권,SK증권 등 9개 증권사는 지난 2022년 하반기 레고랜드 사태로 자금시장이 경색되자 랩·신탁 환매 과정에서 시장 혼란을 일으킨 혐의를 받는다.지난해 5월 금융감독원(금감원)은 9개 증권사를 대상으로 채권형 랩·신탁 업무 실태에 관한 집중 점검에 착수했고, 증권사들이 특정 고객의 수익률을 보장하고자 다른 고객 계좌로 손실을 돌려막거나 회사 고유자금으로 손실 일부를 보전해 준 사실을 파악했다.랩·신탁은 펀드와 달리 증권사가 고객과 일대일 계약을 통해 자산을 운용하는 금융상품이다. 랩·신탁은 그간 법인 고객이 단기 자금을 운용할 때 자주 찾던 상품이었다. 하지만 지난 2022년 레고랜드 채무 불이행 사태로 지방정부(강원도)마저 약속한 지급 보증을 이행하지 않을 수 있다는 인식이 번지자 채권 시장이 급격하게 얼어붙으며 문제가 생겼다.다수의 법인 고객이 증권사에 랩·신탁 환매를 요청했으나, 장기 채권 등 편입 자산은 시장에서 팔리지 않았다. 이에 증권 업체는 5000억원 규모의 손실을 고객 간 전가하는 등 각종 편법을 저질렀다.앞서 금감원 제재심의위원회는 9개 증권사들에 대한 랩·신탁 제재 결과를 통보했다.KB증권, 하나증권, 미래에셋증권, 유진투자증권, 한국투자증권, 교보증권, 유안타증권은 원안대로 중징계에 해당하는 3~6개월 영업정지 조치를 받았다.고객 보호를 위한 사후 수습 노력에 대한 소명이 일부 참작된NH투자증권과SK증권은 각각 영업정지 3개월에서 1개월로, 영업정지 1개월에서 기관경고로 제재 수위가 감경됐다."
2024-12-20,"대신증권, 10번째 ‘종투사’로 지정될 듯","대신증권이 종합금융투자사(종투사) 지정을 눈앞에 뒀다.금융위원회 증권선물위원회는 지난 18일 제22차 회의에서 대신증권의 종투사 지정 안건을 통과시켰다. 오는 24일 금융위에서 최종 의결하면 모든 절차는 마무리되고, 대신증권은 10번째 종투사로 이름을 올리게 된다.종투사란, 중소기업 창업과 성장을 지원하고 기업의 해외 프로젝트 수행 시 종합적 금융 서비스 제공하기를 목표로 대형 증권사를 투자은행(IB)으로 육성한다는 취지로 마련한 제도다.자본시장법에 따르면 종투사는 3조원 이상의 자기자본 요건을 갖춘 증권사가 금융위에 지정 신청하면, 금융위는 신용 공여 업무 수행에 따른 위험 관리 능력, 내부 통제 기준 등 내용을 검토해 지정 여부를 결정한다.종투사가 되면 신용 공여 한도가 자기자본의 100%에서 200%로 늘어나고, 헤지펀드에 자금을 대출하는 프라임브로커리지 서비스도 할 수 있게 되는 등 영업 여건이 크게 좋아진다.금융 당국의 종투사 지정은 지난 2022년 키움증권 이후 2년 만이다. 현재 종투사는 미래에셋증권, 한국투자증권,NH투자증권, 삼성증권,KB증권, 메리츠증권, 하나증권, 신한투자증권, 키움증권 등 9곳이다."
2023-06-08,다올투자증권 집중 매수 슈퍼개미는 왜 ‘투신’으로 둔갑했을까,"다올투자증권 사옥 전경 /다올투자증권소시에테 제네랄(SG) 증권발 주가 폭락 사태 직후 교사 출신 ‘슈퍼 개미’ 김기수씨와 친인척 등 김씨 측 특별관계자들은 다올투자증권의 주식을 다량 매입했다. 김씨 측의 보유량은 다올투자증권의 발행 주식수의 14%를 넘어, 2대 주주 급이 된 800여만주. 그런데 이 과정에서 주식거래시스템(HTS)상 ‘개인’으로 표기돼야 할 김씨 측의 주식 취득 주체 현황이 ‘투자신탁사(투신)’로 표기되는 이른바 ‘시장교란행위’가 있었다는 뒷말이 나왔다. ‘투신’의 대규모 매수는 시장에서 개인 투자자 매수세를 유인하는 요인으로 작용하기 때문이다. 한국거래소가 이 과정을 들여다보고 있다.지난달 26일 금융감독원은 김씨와 친인척 최모씨, 김씨가 보유한 순수에셋 등 ‘김씨 측 특별관계자’들이 다올투자증권 발행주식의 14.34%인 873만6629주를 보유하고 있다고 공시했다. 김씨 측은SG증권발 차액결제거래(CFD) 대량 매물의 여파로 다올투자증권의 주가가 추락한 지난 4월24일 직후 다올투자증권의 주식을 집중적으로 매수했다.폭락 전 5880원이던 다올투자증권의 주가는 김씨 측이 매수를 시작하기 직전인 4월27일 기준 총 48.6%가 빠지며 3020원을 기록했다. 김씨 측이 집중 매입을 시작하자 주가는 크게 올랐고, 김씨 측이 매입을 종료한 지난달 22일 종가는 폭락 후 총 37%가 오른 4140원을 기록했다.문제는 이 과정에서 발생했다. 김씨와 최씨의 구매 수량은 ‘개인’으로 표기돼야 하는데,HTS상 기관의 한 종류인 ‘투신’으로 표기됐기 때문이었다. 조선닷컴 취재 결과, 지난달 2일~22일 사이 주식시장 개장일 15일 가운데 7일 동안 김씨 측이 금융감독원에 보고한 다올투자증권 주식 매수 수량과HTS상 ‘투신’의 다올투자증권 매수 수량은 정확하게 일치하는 것으로 나타났다.주식 매매 주체 정보는 이른바 개미가 주식을 구매할 때 가장 먼저 보는 정보 가운데 하나다. ‘큰 손’인 기관이나 외국인이 움직이면 이를 따라가는 개인들이 많기 때문이다. 주식 매매 주체는 크게 개인과 외국인, 기관으로 나뉘고, 기관은 금융투자, 투신, 은행, 보험, 연기금 등으로 나뉘어HTS상 표기된다.이 때문에 증권가에서 “개인이 구매하며 기관인 척하는 게 시장교란행위 아니겠느냐”는 뒷말이 나온 것이었다. 자본시장법상 매매성황 오인, 투자매매 유인 등 목적성 있는 시세조종행위와 위계(거짓) 사용 등의 부정거래행위는 불공정 거래 행위로 규정된다.김씨 측은 김씨가 대표로 있는 프레스토투자자문과 매수·매도 일임 계약을 체결하고 다올투자증권 주식을 취득했다. 프레스토투자자문 측은 “우리는NH투자증권 시스템으로 다올투자증권 주식을 매입했다. 우리가 아니라NH투자증권에 물어봐야 할 것”이라고 했다.이에NH투자증권 관계자는 “우리는 보통 회원 혹은 회원사가 주문을 넣으면 이들을 대신해 매입을 진행하지만 일부 대형 회원과 회원사엔DMA(DirectMarketAccess) 방식을 쓸 수 있도록 시스템을 열어준다.DMA방식은 회원사가 직접 시스템에 들어가 주식을 거래하는 방식”이라며 “프레스토투자자문은DMA로 다올투자증권 주식을 매입했는데, 이 과정에서 일부 실수가 있었던 것으로 보인다”고 말했다.NH투자증권에 따르면DMA시스템을 이용하는 회원 혹은 회원사는DMA방식으로 주식을 매입할 때 개인인지 기관인지 외국인인지를 당사자가 직접 시스템에 입력해야 한다. 이 과정에서 프레스토투자자문이 실수로 ‘개인’이 아닌 ‘기관(투자신탁사)’이라고 입력했다는 것이다.이에 대해 한국거래소는 “김씨와 최씨의 다올투자증권 주식 매수 때 개인이 아니라 투신으로 표시된 부분에 대한 민원이 접수된 바 있다”며 “문제가 있었는지 들여다 보는 중”이라고 했다.김씨 측은 이번 대량 매수로 다올투자증권의 발행 주식 14%를 넘어선 수량을 보유하게 됐다. 사실상 2대 주주가 된 것이다. 이는 다올투자증권 최대 주주인 이병철 회장이 특별관계자와 보유한 지분 25.26%와 11%p밖에 차이 나지 않는 보유량이다."
