date,title,content
2024-06-17,"OCI홀딩스, 연세대 사내 MBA  13기 과정 입학식","OCI홀딩스는 지난 14일 연세대학교 신촌캠퍼스 상남경영원에서OCI그룹 임직원 및 교수진, 관계자 등 60여명이 참석한 가운데OCI-YonseiMBA13기 입학식을 개최했다고 17일 밝혔다.OCI그룹의 사내MBA는 2008년 시작해 그동안 578명이 수료한 회사의 차세대 핵심인재 양성 프로그램이다. 사업회사OCI의 김유신 사장이 1기 졸업생이다. 주력사업인 신재생에너지·첨단소재 관련 전공자 등 이공계 출신이 많은 회사 특성상 신임팀장 및 팀장 후보자를 대상으로 이들이 경영학 소양까지 겸비한 융복합 인재로 성장할 수 있도록 서울(연세대)과 대전(카이스트) 두 곳에서 근무지별로 참가할 수 있게 운영하고 있다.이번에는 오는 8월 말까지 재무회계, 인사관리&리더십, B2B마케팅, 전략경영, 기술경영, 코칭, 밸류에이션, 혁신론, 경제학 등의 경영학 수업과 함께 신재생에너지, 반도체, 이차전지 등 협업과 직결되는 특강이 진행될 예정이다. 앞서 지난 3월부터 5월까지 포항·광양·군산 등 지역 사업장의 연구원 및 엔지니어와 연구원 38명이 대전에서 12주간 총 84시간의 카이스트MBA2기 과정을 수료한 바 있다.OCI홀딩스 이우현 회장은 축사를 통해 “OCI그룹은 1959년 동양화학공업으로 창업해 2011년 동양제철화학으로 사명을 변경했고, 지난해 지주회사인 홀딩스를 출범시키는 등 수많은 시행착오를 겪으며 성장하고 진화해왔다”면서 “앞으로도OCI그룹은 회사의 지속가능한 미래성장에 가장 중요한 요소라고 할 수 있는 인적자원에 대한 투자를 멈추지 않을 것”이라고 말했다.OCI그룹은MBA과정 외에도 차세대 리더 후보자들을 위한 리더십 교육은 물론 글로벌 인재 양성을 위한 외국어(영어·중국어·일본어·말레이시아어), 회계 교육 등 다양한 사내 교육 프로그램을 진행하고 있다."
2024-08-15,"백우석 OCI 前 의장, 상반기 보수 247억 받아","오너 1위는 신동빈 롯데 회장신동빈, 백우석올 상반기 국내에서 보수를 가장 많이 받은 오너 기업인은 롯데지주 등 7개 계열사에서 117억8900만원을 받은 신동빈 롯데 회장으로 14일 집계됐다. 박정원 두산 회장(96억1000만원), 박지원 두산 부회장(81억6000만원), 조원태 한진 회장(64억5000만원) 등이 뒤를 이었다. 한편, 계열 분리를 추진 중인 조현상HS효성 부회장은 ㈜효성에서 퇴직금 172억원 등 총 194억9200만원을 받았다.전문경영인 중에는 백우석OCI홀딩스 전 의장이 퇴직금 242억여 원을 포함해 247억8773만원을 받아 기업인 통틀어 1위였다. 1979년 입사해 1990년 임원으로 승진,OCI를 종합화학그룹으로 키운 공로를 인정받았다. 박성욱 전SK하이닉스 부회장은 스톡옵션을 행사한 113억원 등 총 117억8900만원을 받았다. 김승연 한화 회장의 오랜 수행 비서였던 방수명 전 한화솔루션 사장은 퇴직금 58억원 등 71억8100만원을 수령했다. 증권가에선 이종석 유안타증권 리테일전담이사가 44억3700만원을 받아 샐러리맨 신화를 썼다."
2024-08-14,상반기 연봉 1위는? 247억원 받은 백우석 OCI 전 의장,"올 상반기 국내에서 보수를 가장 많이 받은 오너 기업인은 롯데지주 등 7개 계열사에서 117억8900만원을 받은 신동빈 롯데 회장으로 나타났다. 신 회장은 지난해 상반기, 연간 연봉 순위도 1위였다. 14일 주요 기업들이 제출한 반기 보고서를 집계한 결과다.신동빈 롯데그룹 회장.(롯데지주 제공).이어 박정원 두산 회장이 96억1000만원, 박지원 두산 부회장이 81억6000만원을 받아 뒤를 이었다. 두산측은 두산에너빌리티·두산밥캣의 실적 개선이 반영된 결과라고 설명했다.이어 조원태 한진 회장이 64억5000만원을 받았다. 지난해 최대 실적을 낸 대한항공이 507%의 성과급·격려금을 임직원에게 지급한 결과다. 구광모LG회장은 58억3900만원을 받아 뒤를 이었다.이어 구자균LS일렉트릭 회장 57억9300만원, 구자은LS그룹 회장 56억2700만원, 김승연 한화 회장 54억원, 김동관 부회장이 46억원의 보수를 받았다. 이밖에 박문덕 하이트진로 회장은 43억7500만원, 이재현CJ회장은 40억6600만원을 수령했다. 이밖에 정의선 현대차그룹 회장이 37억여원, 최태원SK회장이 30억원을 받았다. 한편, 조현상HS효성 부회장은 계열 분리를 위해 ㈜효성에서 퇴직해, 퇴직금 171억원 등 194억9200만원을 받았다.백우석OCI홀딩스 전 의장전문경영인 중에서는 백우석OCI홀딩스 전 의장이 퇴직금 242억여원을 포함해 247억8773만원을 받아 기업인 통틀어 1위였다. 퇴직금이 삼성전자 회장까지 지내고 퇴직한 김기남 전 회장(130억원)과 권오현 전 회장(93억원)보다 많았다. 백 전 의장은 1979년 입사해 창업주인 고 이회림 명예회장, 2세인 고 이수영 전 회장을 도와OCI를 종합화학그룹으로 성장시킨 공로를 인정 받았다. 1990년부터 34년간 임원으로 재직한 영향도 컸다.박성욱 전SK하이닉스 부회장은 2017년 받은 스톡옵션을 행사한 113억원을 포함해 117억8900만원을 받았다. 그는 지난해에도 스톡옵션 행사로 84억원을 버는 등 179억원을 받았는데, 이번에도 대박을 냈다.김승연 한화 회장의 오랜 수행비서였던 방수명 전 한화솔루션 사장은 퇴직금 58억원을 포함해 71억8100만원을 수령했다. 2009년 임원으로 승진한 방 전 사장은 작년 말까지 ㈜한화 경영지원실장을 맡았고, 2010년에 입사한 김동관 부회장의 경영 수업도 도운 인물이다.이어 김택진 엔씨소프트 창업자의 동생 김택헌 전 수석부사장(CPO)이 올 상반기 퇴직금 30억여원을 포함해 68억원의 보수를 받았다. 이밖에 권영수 전LG에너지솔루션 부회장과 정영채 전NH투자증권 사장이 각각 퇴직금을 포함해 66억여원, 59억여원을 받았다.지난해까지 샐러리맨 신화가 많이 등장했던 카카오에선 올 상반기 눈에 띄는 인물이 없었다. 구속 상태인 김범수 카카오 의장은 7억5000만원, 김창한 크래프톤 대표는 25억9100만원을 받았다.증권가에서는 올해 상반기 증시 활황으로 이사보다 보수를 많이 받는 직원도 등장했다. 이종석 유안타증권 리테일전담이사는 올해 상반기 44억3700만원의 보수를 받았다. 이는 궈밍쩡 기타 비상무이사(19억5000만원)보다 많은 금액이다. 이종석 이사는 주식 위탁 영업에서 상여금으로만 44억원을 받았다.‘스타PB(프라이빗뱅커)’로 꼽히는 강정구 삼성증권 강정구 삼성타운금융센터 영업지점장은 올 상반기 32억9200만 원의 보수를 받았다. 이중 상여금이 32억 5000만원이다. 금리 인하 기대감으로 채권 인기가 높아지면서 유지훈 상상인증권FICC(채권·외환·상품)본부 본부장(26억5300만원), 황인우 현대차증권 채권영업팀 책임매니저(11억3400원) 등도 높은 보수를 받았다.은행권에서는 총 20억 8500만원을 받은 유명순 한국씨티은행장이 주요 금융지주 및 은행권CEO중 가장 많은 보수를 받았다. 5대 금융지주(KB·신한·하나·우리·NH) 중에선 함영주 하나금융지주 회장이 18억2200만원으로 1위였다."
2024-03-28,OCI홀딩스 “한미약품 그룹과 통합 중단”,"이우현OCI홀딩스 회장이 25일 오후 서울 송파구 한미타워에서 열린 한미약품 그룹과OCI그룹 통합 관련 기자간담회에서 발언하고 있다. /뉴스1OCI홀딩스는 28일 한미사이언스 주주총회에서 양사 간 통합에 반대하는 임종윤·종훈 형제 측이 주주제안한 이사진 5명이 선임된 데 대해 “주주분들의 뜻을 겸허히 받아들이며 통합 절차는 중단된다”며 “앞으로 한미약품그룹의 발전을 바라겠다”고 했다.이날 주총에서는 창업주 장·차남인 임종윤·종훈 형제 측이 추천한 이사진 5명의 선임 안건이 모두 통과됐다. 한미사이언스 이사진 9명 가운데 형제 측 인사가 과반을 차지하면서,OCI와의 통합이 사실상 어려워졌다.한미그룹은 경영권을 쥔 창업자의 배우자 송 회장과 딸 임 부회장이 추진해온OCI그룹과의 통합에 대해 장·차남인 임종윤·종훈 형제가 반발하며 경영권 분쟁을 벌여왔다."
2023-12-20,"1.3조원 태양광 폴리실리콘… OCI홀딩스, 美큐빅에 공급","OCI홀딩스의 말레이시아 자회사인OCIM은 미국 태양광 전문 기업 큐빅(CubicPV)과 약 10억달러(약 1조3000억원) 규모 태양광용 폴리실리콘 장기 공급 계약을 체결했다고 19일 밝혔다.OCIM은 말레이시아 친환경 수력발전을 통해 연간 3만5000t 규모 저탄소 태양광용 폴리실리콘을 생산해 2025년부터 2033년까지 10억달러 규모 제품을 큐빅에 공급한다.폴리실리콘은 태양광 패널을 만드는 핵심 소재로 ‘태양광 산업의 쌀’로도 불린다. 전 세계 폴리실리콘 시장의 약 90%를 중국 업체가 점유한 가운데, 최근 미국 정부가 중국산 태양광 제품에 ‘강제노동’ 문제를 제기하며 제재를 본격화면서 비(非) 중국산 폴리실리콘에 대한 수요가 커지고 있다. 이우현OCI홀딩스 회장은 “급변하는 글로벌 정세에 탄력적으로 대응할 수 있도록 회사 차원에서 면밀하고 효율적인 가격과 공급 정책으로 글로벌 태양광용 폴리실리콘 시장 리더십 지위를 더욱 공고히 하겠다”고 했다."
2024-03-28,"한미그룹 경영권 분쟁, 형제 측 승리...OCI와 통합 무산","한미사이언스 임종윤·종훈 형제가 28일 오전 경기 화성시 라비돌 호텔에서 열린 한미그룹 지주사 한미사이언스의 제51기 정기 주주총회가 끝난 후 입장을 밝히고 있다. /연합뉴스한미그룹 지주사인 한미사이언스 정기 주주총회 표 대결에서 임종윤·종훈 형제가 승리했다. 이에 따라OCI그룹과의 통합이 무산됐다. 한미그룹은 경영권을 쥔 창업자의 배우자 송영숙 회장과 딸 임주현 부회장이 추진하는OCI그룹과의 통합에 대해 장·차남인 임종윤·종훈 형제가 반발하며 경영권 분쟁을 벌여왔다.28일 경기 화성시 라비돌호텔 신텍스 컨벤션센터에서 열린 한미사이언스 정기 주주총회에서 진행된 이사 선임을 위한 투표 결과, 송 회장 등 현 이사회 측이 추천한 이사 후보 6명이 모두 선임에 실패했다. 이에 따라 장녀인 임 부회장, 이우현OCI홀딩스 대표 모두 이사회에 진입하지 못했다. 임종윤·종훈 형제를 포함한 형제 측이 주주제안한 이사 후보 5명은 모두 이사회 진입에 성공했다.임주현(오른쪽) 한미사이언스 사장과 이우현OCI홀딩스 지난 25일 오후 서울 송파구 사옥에서OCI그룹 통합 관련 기자회견을 하고 있다./연합뉴스서로 원하는 인사를 이사회에 앉히기 위해 주총에 앞선 지분 경쟁도 치열했다. 당초 모녀 측이 보유한 한미사이언스 지분은 35%, 형제 측이 보유한 지분은 28.4%였다. 최근 12.15% 지분을 갖고 있는 신동국 한양정밀 회장이 형제 측을 지지하면서, 형제 측의 우호 지분율이 40.57%로 높아졌다. 하지만 모녀 측이 국민연금 지지를 받아 42.66% 지분을 확보하며 조금 유리해졌다. 결국 주주총회에서 소액주주들의 지지를 받아 형제 측이 추천한 이사회 5명이 새로 이사회에 입성하게 됐다.주총 결과 한미사이언스 이사진 9명 가운데 통합에 반대하는 형제 측 인사가 5명으로 과반을 차지하면서OCI그룹과의 통합은 무산됐다.OCI홀딩스는 이날 “주주들의 뜻을 겸허히 받아들이며, 통합 절차는 중단된다”고 했다.한편 이날 오전 9시 시작할 예정이었던 주총은 의결권 있는 주식 수를 확인하는 과정이 예상보다 오래 걸리며 개회가 3시간 30분가량 지연됐다."
2024-03-26,"OCI의 말레이시아 자회사, 9300억원 규모 폴리실리콘 태양광社에 장기 공급 계약","태양광 기업OCI홀딩스의 말레이시아 자회사인OCIM은 글로벌 태양광 전문 기업 트리나 솔라(TrinaSolar)와 7억달러(약 9300억원) 규모 태양광용 폴리실리콘 장기 공급계약을 체결했다고 25일 밝혔다. 폴리실리콘은 태양광 패널을 만드는 핵심 소재로 ‘태양광 산업의 쌀’로도 불린다.OCIM은 말레이시아의 친환경 수력발전을 통해 저탄소 태양광용 폴리실리콘을 생산해 2030년까지 베트남에 있는 트리나  솔라 생산 기지로 공급한다. 세계 폴리실리콘 시장 90%를 중국 업체가 점유한 가운데, 미국에 이어 유럽에서도 중국산 태양광 제품 생산 과정에 ‘강제 노동’ 문제가 제기되며 비(非)중국산 폴리실리콘 수요가 커지고 있다.OCI홀딩스는OCIM의 폴리실리콘 생산능력을 기존 3만5000t에서 2027년 5만6600t까지 증설할 계획이다. 이우현OCI홀딩스 회장은 “급격한 국제 정세 변화에 대응하기 위해 효율적인 가격 및 공급 정책 등을 더 면밀하게 점검, 글로벌 태양광용 폴리실리콘 시장 선도 기업 지위를 더욱 공고히 하겠다”고 했다."
2024-03-10,"송영숙 한미그룹 회장 “OCI와 통합, 협상 대상 아냐... 미래 가치 높일 것”","송영숙 한미그룹 회장 /한미그룹정기주주총회 시즌인 3월 국내 제약 업계에서 가장 주목 받고 있는 기업은 한미그룹이다. 지난 1월 소재·에너지 전문기업OCI와 ‘이종 결합’을 선언한 이후 오너 일가가 경영권 분쟁을 겪고 있어서다. 주총을 앞두고 법적 분쟁이 이어지는 등 내홍이 깊어지는 가운데 고 (故)임성기 회장의 아내인 송영숙 한미그룹 회장이 처음으로 언론 앞에 섰다. 송 회장이 언론과의 인터뷰를 가지는 것은 지난 2020년 취임 이후 처음이다.지난 8일 서울 송파구 한미사이언스 본사에서 기자들과 만난 송 회장은 “‘만약 돌아가신 임성기 회장이 이번 결정을 내렸으면 자녀들이 반발을 했을까’하는 생각이 들어 괴로웠다”며 “어떻게 보면 자식들이 나를 단순히 엄마로만 생각했지, 아버지와 함께 한미약품을 50년간 약국에서부터 여기까지 이끌어온 동료로는 생각하지 않았던 것 같다”고 했다. 이어 “자식간의 갈등은 있을 수 있어도 부모자식간에는 갈등이 있어서는 안 된다고 생각한다”며 “(OCI와의 통합 결정은) 협상의 대상이 아니고, 창업주인 고 임성기 회장의 뜻을 이어받고자 하는 것”이라고 강조했다.현재 임성기 전 회장의 장·차남인 임종윤 한미약품 미래전략 사장과 임종훈 한미약품 그룹지원 사장은 어머니인 송 회장과 누이인 임주현 한미약품 사장이 추진한OCI홀딩스와의 합병을 반대하고 있다. 두 형제 측은 한미사이언스가OCI홀딩스와의 통합을 위해 실시하는 제3자배정 유증을 금지해달라는 내용의 신주발행금지 가처분 등을 신청하며 법정 공방을 벌이고 있다. 두 형제측이OCI와의 통합에 대해 계약 이전에 알지 못했으며, 이 외의 다른 방안을 사전에 논의하지 못했다고 밝힌 데 대해 송 회장은 “한미사이언스는 상장사다. 아들이라고 하더라도 이사회 멤버가 아닌 이상 미리 알릴 수 없다”며 “발표 후 차남에게는 설명을 했지만 상황이 급박하게 진행되면서 장남에게는 그렇게 할 수 없었다”고 했다.두 형제측은 지난 1월OCI와의 통합 결정 당시 양측이 경영권 분쟁 중이었기 때문에 자신들을 배제한 채 이뤄진 통합 결정은 유효하지 않다고 주장한다. 이에 대해 송 회장은 “지난 10월에도 가족 행사가 있었고, 이후에도 두 아들들과 지속적으로 연락하고 논의하는 등 경영권 분쟁이 있었다고 볼 만한 상황이 전혀 없었다”고 주장했다.이날 송 회장은 ‘자격’을 여러 번 언급했다. 그는 “결혼 후 같이 한미 약품을 일으키고, 지금 한미사이언스 본사가 있는 이 자리도 땅을 볼 때부터 전 회장님과 동행했다”며 “모든 중요한 자리에 동행했기에 내 별명이 ‘송실장’ 이었다. 내가 이 자리에 있을 자격이 없는 사람이 절대 아니다”라고 했다. 최근 내홍이 깊어지면서 임종윤 사장 측이 “선대 고 (故)임성기 회장 생전에는 경영에 일절 관여 없이 미술관 운영에만 몰두하시던 분께서 갑자기 경영 전면에 나서 이사회를 장악했다”고 주장한 것에 반박한 것이다.송 회장은 지금까지의 결정에 가족들의 합의가 있었다고 강조했다. 그는 “임 회장께서 돌아가신 후 둘째 아들이 ‘어머니께서 회장 자리에 오르시라’고 가족들과 친인척들이 있는 자리에서 최초로 제안했고, 가족과 한미 경영진 모두 찬성해서 그렇게 했다”며 “또 상속세 문제로 고민할 때 첫째 아들이 ‘펀드에 지분을 넘기는 것은 회사를 파는 것이고 한미의 정체성이 사라지는 것이니 절대 안 된다’고 여러 차례 조언했고, 그래서 한미를 지킬 수 있는 최선의 방안을 찾은 것이OCI와의 대등한 통합”이라고 했다.그는 “OCI와의 통합은 신약개발을 위한 많은 도전들을 더욱 가속화할 수 있는 촉매제가 될 것”이라며 “서로를 지키면서 더 큰 발전을 위해 나아갈 수 있는 ‘오픈이노베이션’이고, 이종 산업 기업 간의 결합이어서 오히려 리스크가 훨씬 적다”고 했다.두 형제 측이 본인들을 포함해 이사회 과반 구성인 6인을 상정해달라는 주주제안을 신청하면서 이달 말 주총에서는 표 대결이 불가피할 전망이다. 양측의 지분율이 비슷해 한미사이언스 지분의 약 12%를 보유하고 있는 신동국 한양정밀 회장이 캐스팅보트로 지목되고 있다. 신 회장은 고 임성기 회장의 고교 후배로 알려져 있다. 송 회장은 “신 회장님도 (OCI와의 통합 결정이) 한미의 미래 가치를 더욱 높일 수 있는 최선의 방법이었다는 점을 잘 알고 계실 것”이라며 “사흘 전에도 만날 만큼 교류가 잦고, 공감대를 갖고 있다”며 표 대결 승리를 자신했다.개인주주들이 불안감을 표시하는데 대해 송 회장은 “한미는 창업주 가족의 이익만을 위해 존재하는 회사가 아니다”며 “한국을 대표하는 제약바이오 기업이 되어야 한다는 주주들의 열망을 잘 알고 있다. 지금까지 그래오셨던 것 처럼 ‘한미의 길’을 믿어 달라”고 했다."
2023-10-24,"[기업 브리핑] OCI홀딩스, 장학기금 10억원 기부",OCI홀딩스는 지역 우수인재 육성 및 소외계층 학생 지원을 위해 인천인재평생교육진흥원에 장학기금 10억원을 기부했다고 23일 밝혔다.
2023-04-25,"이우현 OCI 부회장, OCI홀딩스 회장 선임","지주회사 체제로 전환하는 석유화학 기업OCI의 지주사 회장으로 이우현OCI부회장이 선임됐다.OCI는 25일 이사회를 열고, 이 부회장을 다음달 2일 출범하는 지주사OCI홀딩스의 회장으로 선임하는 안건을 의결했다고 밝혔다. 이에 따라 이 회장은 2018년 공정거래위원회로부터OCI의 동일인(총수)으로 지정된 지 5년 만에 공식 회장 직함을 달게 됐다. 2005년 동양제철화학(현OCI) 전무로 입사한 지 18년 만이다.이우현OCI대표이사 부회장 /OCIOCI는 “이 회장의 취임과 연내OCI홀딩스 지주회사 전환을 통해 사업 특성에 맞는 최적의 투자 전략과 새로운 성장기반을 적극적으로 마련하고, 파격적이고 유연한 인사 시스템 도입 등을 통해 그룹 전체의 가치를 진작시킬 것”이라고 했다. 이 회장은 “OCI는 현재 창사 이래 가장 큰 변화와 도전을 앞두고 있다”며 “현실에 안주하지 않고 지속가능한 발전을 추구하는 기업을 만들 것이며, 막중한 책임감을 가지고 더 큰 도약을 향한 여정에 앞장 설 것”이라고 했다.이 부회장과 함께 현재OCI대표를 맡고 있는 백우석 회장은OCI홀딩스 이사회 의장을 맡게 된다. 새로 영입된 서진석 전EY한영 대표가OCI홀딩스CEO를 맡아 회사 운영을 총괄한다. 한편 화학 사업을 맡아 분리되는 신설 법인OCI에서는 김택중 현OCI대표이사 사장이 부회장으로 승진하고, 김유신OCI부사장이 사장으로 승진해 두 사람이 함께 대표이사를 맡게 된다.OCI는 지난해 11월 이사회에서 주력 사업인 화학 부문을 인적분할해 신설법인으로 설립하는 안건을 의결했고, 지난달 정기 주주총회에서 이를 확정했다. 이에 따라OCI는 존속 법인OCI홀딩스와 신설 법인OCI로 분리된다.OCI홀딩스는OCI의 기존 사업 중 태양광용 폴리실리콘 사업을 수행하며 지주회사로서 자회사 성장 전략과 투자 계획을 수립·실행하는 역할을 맡는다. 신설 법인OCI는 기존 사명을 그대로 사용하며 반도체와 배터리 소재 등 첨단 화학 소재 사업을 맡는다."
