date,title,content
2024-12-30,"As Tving and Wavve plan merger, Netflix ups the ante in South Korea","NetflixpartnerswithSBS,NaverinbidtodominateKoreanstreamingmarketNetflixisdeepeningitsfootholdinSouthKoreathroughpartnershipswithlocalbroadcastersandplatforms,intensifyingcompetitionasdomesticstreaminggiantsTvingandWavvepreparetomergenextyear.TheglobalstreamingleaderrecentlysignedastrategicpartnershipwithSBS,amajorSouthKoreanbroadcaster,toofferarangeofpopularcontent,includingdramas,varietyshows,andeducationalprograms.BeginninginJanuary,NetflixwillstreamhitSBStitlessuchas“RunningMan,” “UnansweredQuestions,”and“ThePenthouse:WarinLife.”SelectnewSBSdramasslatedforreleaseinthesecondhalfof2025willalsodebutgloballyonNetflix.Industryexpertsseethepartnershipasawin-win:SBSgainsglobalexposureforitscontent,whileNetflixsecuresabroaderlibrarytobolsteritsappealagainstlocalrivals.ThedealisalsoexpectedtoboostSBS’sdramaproduction,withannualoutputprojectedtorisefromfewerthan10seriestoatleast13startingnextyear,aidedbyNetflix’sinvestment.Inanothermajormove,Netflixbeganofferingitsad-supportedStandardplanforfreetoNaverPlusmembershipsubscribersinlateNovember.ThisfollowstheannouncementthatNaverwillenditsmembershippartnershipwithTvingonMarch1,optinginsteadtoalignwithNetflix.Atouristphotographsalargemodelof""Young-hee,"" acharacterfromNetflix's""SquidGame""series,atGwanghwamunSquareinSeoul./News1AnalystssuggestthatNetflixisleveragingthesepartnershipstolowerentrybarriersandincreaseitsappealtoKoreanusers.“NetflixisreducingcoststhroughitscollaborationwithNaverwhileaddingeverydayappealthroughterrestrialTVcontent,”saidLeeSung-min,aprofessoratKoreaNationalOpenUniversity’sDepartmentofMediaArts&Sciences.“ThisstrategypositionsNetflixtoevolvefromaplatformforblockbusterhitstoaserviceintegraltoeverydayviewing,similartoYouTube.”ThisapproachmirrorsmovesbyDisney+,whichrecentlypartneredwithMBCtobroadcastitsoriginalhitseries“Moving”onSouthKoreanterrestrialTV.TheallianceswithNetflixandDisney+posechallengesforWavve,adomesticstreamingservicepartlyownedbySouthKorea’sthreemajorterrestrialbroadcasters—SBS,KBS,andMBC.Wavve,whichhasmaintainedasteadymonthlyactiveuser(MAU)baseofaround4millionbydistributinglocalTVcontent,facesgrowingpressureasitsparentbroadcastersexpandpartnershipswithglobalplatforms.TheupcomingmergerofTvingandWavve,expectedtocreateSouthKorea’slargestdomesticstreamingservice,willbecloselywatched.Tvinghasbeenrampingupitsofferings,includingbaseballbroadcastsandmobile-optimizedshortvideos,tocompetewithNetflix.Themergerisexpectedtostabilizeaccesstoterrestrialcontentforthecombinedentity.However,industryexpertscautionagainstoverestimatingthemerger’simpact.“Combiningtwoplatformsdoesn’tguaranteeadoublingofusers,”saidamediaindustryexpert,speakingonconditionofanonymity.“Contentproviderswillincreasinglyweighscalability,suchasglobaldistribution,whenchoosingpartnerships,settingthestageforintensecompetitionnextyear.”NetflixremainsthedominantplayerinSouthKorea,with11.6millionMAUsasofNovember,accordingtodatafromIGAWorks’MobileIndex.Tvingfollowswith7.3million,whileCoupangPlayhas6.3millionandWavvetrailsat4.25million.Disney+hasaround2.6millionMAUs."
2024-12-02,"“이혼 후 가방 팔아 생활비 마련” 명세빈, 생활고 고백","배우 명세빈. /명세빈 인스타그램배우 명세빈(49)이 이혼 후 생활고를 겪었던 사실을 공개했다.2일SBS플러스 예능프로그램 ‘솔로라서’ 예고 영상 등에 따르면 명세빈은 최근 강원도 양양으로 나 홀로 첫 일탈 여행을 떠났다.명세빈은 “일탈이 너무 해보고 싶었다”며 “동해 바다를 좋아해 첫 일탈 장소로 양양을 택했다”고 했다.명세빈은 마침 근처를 방문 중이던 배우 강래연과 함께 캠핑을 하며 과거 힘들었던 시절을 떠올렸다.명세빈은 “30대에 이혼한 뒤, 한참 동안 일이 없었다”며 “모든 사람한테는 각자만의 빛이 있는데 (이혼으로) 그게 깨진 느낌이었다”라고 이혼 후 심경을 처음으로 털어놨다.스튜디오에서 이를 지켜보던 배우 채림은 “방송가 사람들이 오픈마인드로 일할 것 같은데, 막상 현실에선 굉장히 보수적이다”라며 “이렇게 (명세빈처럼) 한 번 갔다 오신 분들도 그런 생각을 하시니, 저 같은 사람은···”이라고 말했다. 채림은 두 번의 이혼을 겪었다.명세빈은 강래연에게 “솔직히 (일이 없으니까) 돈도 없었다. 그래서 (가지고 있던) 가방도 팔아봤다”라고 했다.진행자 황정음도 “저도 며칠 전에 중고 시장에서 모자를 팔았다. 직접 나갔더니 (상대방이) 많이 당황하시더라”고 말했다.한편 명세빈은 2007년 8월 결혼했으나, 5개월여 만인 2008년 1월 이혼한 바 있다."
2024-12-28,"“송민호, 전화 업무도 빠지고, 얼굴 거의 못 봐”...동료 증언 나와","그룹 위너 송민호./뉴스1사회복무요원으로 부실하게 근무했다는 의혹에 휩싸인 그룹 위너 멤버 송민호(32)에 대한 증언이 나왔다.27일 방송된SBSTV시사 교양물 ‘궁금한 이야기Y’에서 제작진은 송민호 부실 복무 의혹과 관련해 그와 가까이서 근무했다는 제보자 A씨를 만났다.A씨는 “시설 관리공단에 있는 주차 관리부다. 2022년 11월부터 노상 주차팀에서 근무를 했었고, 송민호가 노상 거주자 주차팀에 (작년) 3월에 들어온 것으로 알고 있다”고 말했다.이어 “전화를 받으면 ‘노상 주차팀 누구누구입니다’ 이렇게 하고 ‘무엇을 도와드릴까요?’이렇게 얘기해 줘야 하는데, 자기 이름이 드러난다고 전화 업무는 빠지고 민원인들 직접 오시는 건 얼굴 알아본다고 빠졌다. 우체국 가는 업무도 처음 한 번 빼고는 안 갔다”고 주장했다. 그러면서 “(송민호가) 처음엔 잘 나왔다. 나중엔 일주일에 두세 번 나왔다. 심할 땐 한 달에 두세 번 본 정도”라고 했다.송민호는 이후 주민편익시설로 근무지를 옮겼다. 송민호가 옮긴 근무지인 주민편익시설 관계자 B씨도 “송민호를 10개월 동안 두 번인가 세 번밖에 못 봤다”고 말했다.B씨는 “연가, 병가가 무슨 무한으로 쓸 수 있는 것도 아닌데 말이 안 된다. 본사에 있을 때는 잘 나왔다고 한다. 거기는 눈이 200명 되는데 여기는 눈이 적다. 직원들이 다 해봐야 13명이다. 병무청이 두발 단속 사진을 찍기 위해 방문했을 때도 자리에 없었을 거다. 편의를 제공해 주지 않았을까 싶다”라고 주장했다.송민호의 편의를 봐준 것으로 의심받고 있는 송민호의 근태 담당자는 제작진에게 “제가 얘기를 잘못하면 민호에게 불리하게 적용할 수 있는 부분들이 있다. 나중에 기회가 되면 얘기를 할 기회를 갖도록 하겠다”라고 했다.한편, 서울 마포경찰서는 27일 송민호의 근무지였던 마포구 마포주민편익시설을 압수수색했다고 밝혔다. 경찰은 이날 송민호 근무지의 방범 카메라(CCTV) 등을 확보한 것으로 알려졌다. 병무청은 지난 26일 송민호를 병역법 위반(복무이탈 등) 혐의로 조사해달라고 경찰에 수사를 의뢰했다.송민호는 작년 3월 사회복무요원으로 근무를 시작해 지난 23일 마쳤다. 하지만 지난 17일 그가 제대로 근무하지 않은 것으로 의심된다는 내용의 보도가 나오면서 부실 근무 논란이 불거졌다.송민호 측은 “아티스트 복무와 관련한 자세한 내용은 확인드리기 어렵다”며 “다만 병가와 휴가는 규정에 맞춰 사용한 것이며, 사유는 복무 전부터 받던 치료의 연장이었다”고 밝혔다."
2024-12-09,천정명 “16년 함께한 매니저가 사문서위조 사기… 은퇴까지 생각”,"배우 천정명이 25일 서울 영등포구 타임스퀘어에서 열린 영화 '더 문'VIP시사회에 참석하고 있다. /뉴스1배우 천정명이 16년간 함께 일한 매니저로부터 사기 피해를 당한 사연을 털어놨다.천정명은 8일 방영된SBS‘미운 우리 새끼’에서 ‘왜 요즘 작품 활동을 안 하냐’는 출연진 질문에 “안 좋은 일이 있었다”며 사기 피해를 겪었다고 고백했다.천정명은 “16년 동안 함께 일했던 매니저가 사문서위조 사기를 쳤다”고 했다. 이어 “매니저와 너무 가깝다 보니 믿었다”며 “부모님도 매니저를 막내아들처럼 좋아했는데 부모님에게도 사기를 쳤다”고 했다.이 사건으로 천정명은 충격을 받아 은퇴까지 생각했다고 한다. 천정명은 “그걸 해결하다 보니 너무 지치고 힘들어서 은퇴까지 생각했다”면서 “정신적으로 너무 힘들었다”고 했다. 이어 “당시 매니저에게 사기를 당한 피해자들이 소속사 사무실로 찾아와 아수라장이 됐던 현장이 아직도 생생하다”며 “상상을 초월할 정도로 너무 큰 액수를 사기당했다”고 했다. 그러면서 “가만히 앉아 있었는데 살이 쭉쭉 빠지더라”라고 했다.실제로 천정명은 2019년 영화 ‘얼굴없는 보스’를 마지막으로 작품 활동을 멈췄다. 천정명은 이번 방송에서 5년간 공백의 사유가 사기 피해 때문에었다고 밝힌 것이다. 천정명은 2000년SBS‘오픈드라마 남과 여’로 데뷔한 뒤 드라마 ‘설렘주의보’ ‘목숨 건 연애’ ‘여우주의보’ 등에 출연하며 큰 인기를 끌었던 바 있다.천정명은 다시 활동을 재개하기로 결심한 이유에 대해서는 “내가 힘들어하니까 부모님도 힘들어하셨다”며 “정신을 차리고 이러면 안 되겠다 싶어서 다시 마음을 잡고 활동을 결심했다”고 했다.한편 최근 유명인이 가까운 지인으로부터 사기 피해를 당했다고 고백하는 사례가 이어지고 있다. 성악가 김동규는 지난달 30일 오래된 지인으로부터 약 100억원 규모의 사기를 당했다고 밝혔다. 김동규는 당시를 회상하며 “이후로는 누가 돈을 빌려달라고 하면 그냥 주지 빌려주지는 않는다”고 했다.이종격투기 선수 추성훈은 작년 7월 한 방송에서 “형, 동생으로 알고 지낸 십년지기 형이 데뷔 이후 6년 동안 모든 돈을 다 가져갔다”며 “6년 정도 모았으니, 어머니에게 집 한 채 사드려야지 하는 마음에 통장을 확인했는데 통장에 20만 원밖에 없더라”라고 했다. 같은 방송에서 가수 김종민과 은지원 역시 오래 알고 지내던 지인으로부터 사기를 당했다고 털어놨다."
2024-12-25,"이준석, ‘韓대행 탄핵’ 민주당에 “궁예식 예방적 탄핵은 안 돼”","이준석 개혁신당 의원이 지난 4일 국회에서 우원식 국회의장과 회동하며 발언하고 있다. /뉴스1이준석 개혁신당 의원은 25일 더불어민주당이 한덕수 대통령 권한대행 국무총리 탄핵소추를 당론으로 추진하기로 한 데 대해 “궁예식 예방적 탄핵은 안 된다”고 비판했다.이 의원은 이날 오전SBS라디오 ‘김태현의 정치쇼’에 출연해 “민주당이 탄핵을 많이 걸어서, (여기에 동참할지를 정하는 데) 저 나름대로 원칙을 세웠다”며 이같이 말했다.민주당은 지난 24일 한 권한대행에 대한 탄핵소추를 당론으로 채택했다. 한 권한대행이 민주당이 내놓은 시한인 24일까지 내란·김건희 특검법안을 공포하지 않았고, 내란 상설특검 후보자 추천 의뢰를 하지 않았으며, 헌법재판관 임명에도 미온적이라는 이유다. 한 권한대행이 내란·김건희 특검법을 법률로 공포하거나 재의 요구권(거부권) 행사를 통해 국회로 되돌려보내야 하는 법적 시한은 다음 달 1일이다.이에 대해 이 의원은 “(민주당의 한 권한대행 탄핵 논리는) 상설특검을 임명하는 절차가 지연되고 있다. 원래는 (후보자 추천 의뢰를) 즉시 하라고 돼 있는데 그걸 안 하고 있다. 31일까지 시간 끌다가 (내란·김건희) 특검도 안 할 것 같다. 헌법재판관 임명 안 할 것 같다는 것인데, ‘할 것 같다’는 것 때문에 (탄핵소추) 하는 것은 이상하다”고 지적했다.이 의원은 “예를 들어서, (한 권한대행을 탄핵소추하고 나서) 헌법재판소에 가서 (헌법재판관들이) ‘왜 탄핵했어?’그랬더니만 ‘이 사람이 31일까지 시간 끌다가 안 할 것 같아서 26일에 탄핵했어’ 이러면 말이 안 되는 것”이라고 했다. 이 의원은 이런 탄핵소추는 “궁예가 ‘너는 마구니일 것 같으니까 내가 너의 머리를 깨겠다’고 하는 것이 말이 안 되는 것(과 마찬가지로 타당하지 않다)”이라고 지적했다.민주당은 지난 24일 한 권한대행에 대한 탄핵소추안을 발의하겠다고 발표하고 2시간 만에 “26일까지 지켜보겠다”며 입장을 바꿨다. 이에 대해서도 이 의원은 “그 기준은 누가 만들었느냐”고 따졌다. 이 의원은 “그것(시한)을 공론의 장에서 만들면 개혁신당은 탄핵에 동참할 수 있는데, 민주당이 그런 논의를 잘 안 하려고 한다”며 “(한 권한대행 탄핵소추는) 151석만 있으면 되는 거니까 자기들이 하겠다는 생각인 것 같다”고 했다.이 의원은 다만 한 권한대행이 내란·김건희 특검법안에 대해 거부권을 행사하면 개혁신당도 한 권한대행 탄핵소추에 동참할 수 있다고 했다.이 의원은 민주당에서 국무위원들을 추가로 탄핵소추해 국무회의가 열리지 못하게 하고, 대통령 권한대행이 민주당이 국회에서 통과시킨 법안들에 대해 거부권을 행사하지 못하게 하자는 구상이 나온 데 대해선 “저도 거부권 쓰는 것을 항상 비판해왔지만, 거부권을 못 쓰게 하는 것이 대한민국 정치의 다가 아니다”라고 비판했다. 이 의원은 “만약 내각이 마비돼버리면, 대선 치를 때까지 최소 4달 정도 시간 동안 대한민국은 말 그대로 국무회의도 못 여는 나라가 되는 것”이라고 했다."
2024-12-31,김병현 “형이 더 잘해주지 못해 미안”… KIA 타이거즈 지인 추모,"프로 야구선수 출신 방송인 김병현, 그가 인스타그램에 올린 흰 국화꽃 사진. /뉴스1, 인스타그램프로 야구선수 출신 방송인 김병현이 제주항공 여객기 참사로 세상을 떠난 지인을 추모했다.김병현은 30일 자신의 인스타그램에 흰 국화꽃 사진과 함께 추모글을 게재했다. 그는 “누군가의 엄마, 아빠, 누군가의 아들 딸, 누군가의 형, 동생, 누나, 오빠. 마음이 많이 아프다. 유가족 여러분, 삼가 고인의 명복을 빕니다”라고 적었다.그는 희생자 중 한 명인 기아타이거즈 소속 직원 A(43)씨를 언급하며 “미국에 있으면서 인스타그램으로 태국에서 가족들과 좋은 시간을 보내고 있는(있던) A팀장님, 제수씨, 그리고 3살 조카의 사진을 보며 ‘좋아요’ 하트를 계속 누르고 있었다”라고 했다.이어 “‘오랜만에 외국에 나와서 좋다’라는 문구와 사진, 애처가인 A씨 모습에 웃음이 나오기도 했다”라며 “미인 제수씨를 얻고 너무 좋아하던 순박한 A씨의 모습도 떠오른다”라고 했다.김병현은 “형이 더 잘해주지 못해서 미안하고, 이제는 야구 그만 보고 사랑하는 와이프랑 토끼 같은 자식이랑 그곳에서 부디 행복하기를 바란다. 삼가 고인의 명복을 빕니다”라며 추모했다.30일 오후 전남 무안종합 스포츠파크에 마련된 제주항공 7C2216편 희생자 합동 분향소에서 방문객이 고인을 추모하고 있다. / 장련성 기자A씨는 아내 B(37)씨, 세 살배기 아들과 함께 첫 해외여행을 떠났다가 돌아오는 길에 사고를 당한 것으로 알려졌다.고인이 된 A씨는 여행지에서 가족들과 함께 찍은 사진을 자신의 인스타그램에 올리며 “하루를 가득 채운 일정에 피곤했지만 재밌게 놀아준 아들 덕분에 행복하다”는 글을 남겼던 것으로 전해졌다. 이 글에는 지인들과 야구팬들의 추모 글들이 이어지고 있다.야구 캐스터인 정우영SBS스포츠 아나운서도 사고 당일 A씨를 추모했다. 정 아나운서는 “일을 똑부러지게 잘해서 우리 회사 야구중계팀 모두가 좋아했다. 저도 물론 그중 하나였다”라며 “오래 전 함께했던 술자리에서 소개팅 약속도 했다. 좋은 사람에게 소개해주고, 또 좋은 사람을 소개해주고 싶을만큼 괜찮은 사람이라 생각했던 것”이라고 했다.그는 “끝까지 기적의 생환 소식을 기다렸지만 구조자 제외 전원 사망 소식과 함께 마지막 희망마저 사라졌다. 결국 그는 돌아오지 못했다. 그의 가족까지도”라고 했다. 그러면서 “그와 그의 남겨진 가족들, 그리고 타이거즈를 위로한다”라며 “광주와 무안, 슬픔에 빠진 우리 대한민국을 위로하고 싶다. 또 슬픈 제 자신 또한”이라고 덧붙였다."
2024-12-05,채림 “이혼 후 생활고…아이 위해 투잡” 고백,"배우 채림. /SBS플러스·E채널배우 명세빈과 채림이 이혼 후 생활고를 겪었다고 털어놨다,3일 방송된SBS플러스, E채널 ‘솔로라서’에서는 배우 명세빈이 강원도 양양으로 첫 일탈 여행을 떠난 모습이 공개됐다.명세빈은 “30대 때 이혼을 하고 일하는 데 있어서는 이혼이 그다지 문제가 되지 않을 줄 알았다”라며 “방송국에서 어떤 캐릭터가 들어왔을 때 ‘이혼하지 않았냐’고 하는 걸 들었다. 그러고 나서 한참 일이 없었다”고 말했다. 이어 “시간이 지나서 일을 하려고 했을 때에는, 순수한 이미지의 배우였는데 이혼을 했다는 게 그 이미지가 깨진 느낌이었다”라고 했다. 그는 “솔직히 (일이 없으니까) 돈도 없었다. 그래서 (가지고 있던) 가방도 팔아봤다”라고도 말했다.패널인 채림은 명세빈의 고민에 공감했다. 그는 “방송 쪽 일이 오픈마인드로 일을 하지 않을까 싶지만 막상 현실은 굉장히 보수적”이라고 말했다. 그러면서 “이렇게 한 번 갔다 오신 분들도 그런 생각을 하시니”라며 자신은 두 차례 이혼한 점을 간접적으로 언급했다.채림은 “‘할리우드 배우들은 괜찮은데 왜 우리나라에선 이래야 하나’ 싶었는데 그건 나만의 생각이었던 것 같다”라며 “보는 사람들의 시선이 중요한 직업이니까”라고 말했다. 그는 “저는 어려서부터 일을 해서 지금까지 다른 사람의 돈으로 생활해 본 적이 없다”라며 “그런데 아이 때문에 경제적(문제)으로 겁이 나더라”라고 털어놨다. 이어 “‘벌면 되지’라는 생각이었는데, 그때 고정 수입의 필요성을 느꼈다”라며 “그래서 다른 일을 했었다”라고 덧붙였다.한편 명세빈은 2007년 8월 결혼했다가 5개월여 만인 2008년 1월 이혼했다.채림은 중국 국적의 육상선수 출신 배우 가오쯔치와 중국CCTV드라마 ‘이씨가문’을 통해 만나 2014년 결혼해 2017년 12월 아들 민우군을 품에 안았다. 채림은 2020년 이혼한 뒤 아들과 한국에 거주하고 있다."
2024-12-16,"전소민, 런닝맨 하차 후 카페 알바 “계약 조건은 마스크 안 쓰기”","전소민./ 유튜브배우 전소민이 예능프로그램 ‘런닝맨’에서 하차한 이후 카페 아르바이트를 했다고 밝혔다.전소민은 지난 13일 공개된 지석진 유튜브 채널 ‘지편한세상’에 출연해 이런 사연을 밝혔다.영상에서 전소민은SBS‘런닝맨’에 함께 출연했던 지석진과 만났다. 지석진은 “소민이가 런닝맨에서 나가고 거의 처음 보는 것”이라며 “얘가 (나가겠단) 의사를 표현했고 잡아봤지만 안 잡히더라. 나 뿐만 아니라 다들 잡았다”고 했다.전소민은 ‘런닝맨’ 하차 이후 삶에 대해 “생각보다 촬영을 금방 시작했다”며 “(런닝맨) 끝나고 3~4개월 지나서 영화 촬영하고 단막 2편 찍고 ‘오늘도 지송합니다’를 하게 된 건데 너무 걱정했다”고 회상했다.이어 “미래가 보이지 않으니까. 예정된 일이 없으니까. 내가 또 이사를 무리해서 왔다. 그러고선 ‘런닝맨’을 졸업하게 되니까 ‘업계가 어려운데 어떻게 내가 살아 나가야 하나’ 했다. 아는 오빠 카페에서 아르바이트를 했다”고 털어놨다.이에 지석진은 “그 얘기 듣고 깜짝 놀랐다. 상암동에서 알바했다더라”라고 거들었다.전소민은 “채널A 건물이었다. (손님들이) 다들 오면 카메라를 찾으면서 ‘카페 체험하는 거냐’고 물었다”며 “계약 조건이 모자 안 쓰고, 마스크 안 쓰는 거였다. 그래야 매출이 올라간다고”라고 했다.그러면서 “29살에 카페 아르바이트를 오래한 적이 있었는데 그때 생각도 나고 다시 옛날 꿈꾸던 시절로 돌아간 것 같은 에너지를 얻었다”고 했다."
2024-12-30,"우승 후 짬 내서 간 여행… KIA 타이거즈 직원, 아내·3살 아들과 참변","정우영 아나 “기적 기다렸지만” 추모제주항공여객기참사 발생 이틀째인 30일 전남 무안 스포츠파크에 차려진 합동 분향소에서 한 시민이 조문하며 눈물을 흘리고 있다. /뉴시스29일 전남 무안국제공항에서 발생한 제주항공 여객기 사고 희생자 중 올해 한국시리즈를 우승한 프로야구팀KIA타이거즈 소속 직원이 포함된 것으로 파악됐다. 함께 탄 고인의 세 살배기 아들은 최연소 희생자로 알려져 안타까움을 더하고 있다.30일 국토교통부 등에 따르면 사고가 난 제주항공 7C2216편 여객기 탑승객 명단에는KIA타이거즈 홍보팀 직원 A(40대)씨와 그의 아내, 세 살배기 아들이 포함됐다. 이들 가족은 팀의 12번째 우승 후 바쁜 일정을 소화하다 짬을 내 여행을 다녀오던 길이었으며, 예정보다 하루 일찍 귀국길에 올랐다가 사고를 당한 것으로 전해졌다.온라인상에는 고인이 사고 직전 개인 인스타그램 계정에 올린 글과 사진이 공개되며 먹먹함을 안기고 있다. 여행지였던 태국 방콕에서의 추억을 남긴 게시물로, 고인은 “하루를 가득 채운 일정에 피곤했지만 재밌게 놀아준 아들 덕분에 행복하다”는 글을 썼다. 비보를 접한 지인들과 야구팬들은 이 게시물에 추모 댓글을 달고 있다.정우영SBS스포츠 아나운서가 A씨를 추모하며 올린 글. /인스타그램베테랑 야구 캐스터인 정우영SBS스포츠 아나운서도 사고 당일 A씨를 애도하는 글을 남겼다. 그는 “일을 똑 부러지게 잘해서 우리 회사 야구 중계팀 모두가 좋아했다”며 “끝까지 기적의 생환 소식을 기다렸지만 구조자 제외 전원 사망 소식과 함께 마지막 희망마저 사라졌다”고 썼다.이어 “결국 그는 돌아오지 못했다. 그의 가족까지도. 그와 그의 남겨진 가족분들, 그리고 타이거즈를 위로 한다”며 “광주와 무안, 슬픔에 빠진 우리 대한민국을 위로하고 싶다”고 덧붙였다.한편 정부는 사망자 신원을 확인하는 등 이틀째 사고 수습을 이어가고 있다. 이날 오전 기준 숨진 179명 중 141명의 신원이 확인된 상태다. 수습한 유해는 무안공항 격납고 등에 임시 안치된 상황이며, 신원확인과 검경 등 수사기관의 검시 등의 절차가 마무리된 뒤 유가족에게 인도될 예정이다."
2024-12-10,"배우 사강 “사별한 남편, 박진영·god 댄서…배윤정과도 지인”","배우 사강. /인스타그램배우 사강(47·홍유진)이 지난 1월 사별한 남편이 과거 그룹god,가수 박진영의 백댄서였다는 사실을 공개했다.사강은 10일 방송된SBSPLUS·E채널 예능 프로그램 ‘솔로라서’에서 안무가 배윤정을 찾아가 안무를 배웠다.사강은 남편 없이 맞이하는 자녀의 첫 생일이라며 “생일 때마다 춤 담당이 남편이었다. 원래 흥이 많은 집안이고 남편이 춤을 잘 췄다”고 회상했다.이어 “원래 보기만 하는 입장이었는데, 오늘 남편 대신 내가 나섰다”고 안무를 배우려 하는 이유를 밝혔다.사강은 배윤정과의 인연에 대해서는 “남편의 동료 댄서였다”며 “남편을 통해 알았다. 남편이 생전god와 박진영의 댄서로 활동했다”고 말했다.배윤정은 사강의 남편에 대해 “잘 놀고 잘생긴 걸로 유명했다, 당시엔 가수보다 인기 많은 댄서도 많았다”고 했다. 사강은 “남편이 팬클럽도 있었다고 자랑했다”고 맞장구쳤다.한편 사강은 지난 2007년 3살 연상의 회사원과 결혼했으나 지난 1월 사별했다. 남편의 구체적인 사인은 알려지지 않았다. 사강은 과거 육아 예능프로그램 등에 남편과 동반 출연해 화목한 모습을 보여줬었기 때문에 안타까움을 더했다.사강은 1996년KBS‘머나먼 나라’를 통해 데뷔했으며MBC‘인어아가씨’,SBS‘꽃보다 여자’,MBC‘소울메이트’,MBC‘발칙한 여자들’,MBC‘신 현모양처’,tvN‘사이코메트리 그녀석’,JTBC‘우아한 친구들’ 등 다수의 드라마에 출연했다."
