date,title,content
2023-12-16,[경제계 인사] SGC에너지 외,▲SGC에너지▷부회장 박준영▲SGC이테크건설▷부회장 안찬규 ▷사장 이창모
2023-07-06,"계열사 일감 몰아준 OCI그룹 내 SGC… 공정위, 과징금 110억원 부과","한기정 공정거래위원장이 6일 정부세종청사에서 기업집단OCI소속 군장에너지가 계열사인 삼광글라스를 부당하게 지원하고, 특수관계인에게 부당한 이익을 제공한 행위에 대해 시정명령과 과징금 총 110억 원(잠정)을 부과하기로 결정했다고 밝히고 있다. /뉴시스OCI그룹에 속한SGC계열사 3곳이 부당한 방식으로 서로 사업 일감을 몰아줘 6일 공정거래위원회로부터 110억2000만원 과징금을 부과받았다.OCI그룹은 총수인 이우현OCI홀딩스 회장과 그의 삼촌들인 이복영SGC에너지 회장, 이화영 유니드 회장 등 3인이 지배하는 체제다. 이번에 문제가 된 건 이복영 회장이 지배하는 회사들이다.2016년 밀폐용기를 생산하는 삼광글라스(현SGC솔루션)의 주력 사업이 휘청이면서 재무 상태가 악화한 것이 발단이었다. 3개 회사 중 대표 격인 이테크건설(현SCG이테크건설)은 군장에너지(현SGC에너지)에 유연탄을 공급하는 사업을 삼광글라스에 몰아주는 식으로 경영 위기를 넘기려 했다.공정위는 이들 계열사가 2017년 5월부터 2020년 8월까지 총 15번의 유연탄 경쟁입찰을 진행하면서 삼광글라스가 13번이나 낙찰될 수 있도록 꼼수를 썼다고 봤다. 삼광글라스는 두 계열사의 권고에 따라 자신이 공급하는 유연탄 발열량을 임의로 높여 낙찰 가능성을 높였다. 발열량이 좋은 유연탄으로 보이게끔 꾸민 것이다. 영업 비밀에 해당하는 입찰 자료도 넘겨받았다. 이테크건설은 석탄 트레이딩 전문가를 채용해 삼광글라스의 입찰 전략 수립에 도움을 줬고, 안정적으로 유연탄을 공급받을 수 있도록 러시아 광산 업체와 공급MOU(양해각서) 체결을 도왔다.그 결과 삼광글라스는 군장에너지 전체 입찰 물량의 46%(180만톤), 금액 규모로 따지면 약 1778억원 상당의 유연탄을 공급할 수 있었다. 공정위는 이 과정에서 삼광글라스가 64억원의 영업이익을 얻었고, 이복영 회장 등 삼광글라스의 특수관계인이 22억원의 부당이득 얻었다고 판단했다.단, 검찰 고발은 하지 않았다. 한기정 공정거래위원장은 “편법적인 경영 승계를 위한 부당 지원이 아닌 삼광글라스의 유동성 위기를 해소하기 위한 것이었고, 부당이득에 비해 과징금이 크게 부과된 점 등을 고려한 조치”라고 했다.SGC에너지 측은 “공정거래위원회 결정과 관련해 조사 과정에서 충분히 소명했지만, 의견이 받아들여지지 않은 점에 대해 안타깝게 생각한다”고 했다. 부당한 방식의 일감 몰아주기가 아니었다는 취지다."
2024-05-21,영업이익 무려 430배… 올해 1분기 실적 깜짝 우등생 기업은?,"1분기 실적 분석·2분기 전망그래픽=조선디자인랩·Midjourney올해 1분기(1~3월) 실적 발표 시즌이 마무리되는 가운데, 유가증권시장(코스피) 상장사들의 올해 1분기 매출, 영업이익, 순이익이 모두 지난해보다 증가한 것으로 나타났다.증권가에선 “실적을 이기는 지표는 없다”는 말이 있다. 지난 1분기 실적이 가장 좋았던 우등생은 누구일까? 오는 2분기 컨센서스(증권사 전망치 평균)를 통해 예측한 예비 우등생들은 누구일까? 올 상반기 코스피를 책임진, 그리고 책임질 기업들을 분석했다.그래픽=양진경1분기 우등생은 삼성전자… 깜짝 증가는 화승20일 한국거래소와 한국상장회사협의회에 따르면, 유가증권시장 12월 결산 700사 중 분석이 가능한 622사 가운데 올해 1분기 영업이익이 가장 높았던 기업은 삼성전자였다. 삼성전자의 영업이익은 전년 동기 대비 932% 증가해 6조6060억원을 기록했다. 지난해 수요 감소로 부진했던 반도체가 턴어라운드했기 때문이다.SK하이닉스도 반도체 훈풍에 힘입어 적자에서 흑자로 전환하며 영업이익이 2조8860억원으로 4위를 기록했다. 영업이익 2위는 3조5574억원을 기록한 현대차가 차지했지만, 아산공장 셧다운 등의 영향으로 전년 동기 대비 2.3% 감소했다. 반면, 기아 영업이익은 3조4257억원으로 전년 동기 대비 19% 증가해 3위에 올랐다.한편 영업이익 증가율만 보면 의외의 이름들이 나왔다. 영업이익 증가율 1위는 ‘화승인더스트리’였다. 1분기 영업이익이 120억원이었지만, 전년 동기 대비로는 4만2757%(약 430배) 증가했다. 박현진 신한투자증권 연구위원은 “아디다스 등을 고객으로 둔 신발 주문자상표부착생산(OEM) 기업인 자회사 화승엔터프라이즈가 지난해 공급 과잉을 조정하고 올해 높은 실적을 나타내면서 화승인더스트리 실적도 함께 급증했다”고 말했다.2위는CJ씨푸드였다. 전 세계적인 김 열풍으로, 김 수출이 급격히 늘어나며 전년 동기 대비 1만131% 증가해 13억3300만원의 영업이익을 기록했다. 3위는 이화산업으로 전년 동기 대비 5400% 증가한 8억8200만원을 기록했다. 이화산업은 식품 첨가물 및 섬유 염색 등을 다루는 화학 기업으로 경기 회복으로 이익이 증가했다.4위는NICE로 전년 동기 대비 4981% 증가한 256억원을 기록했다. 5위는 하이스틸로 전년 동기 대비 2100% 증가한 1억1100만원이었다. 해외 수출 물량이 증가한 것이 영향을 줬다.2분기 예비 우등생은 ‘아모레퍼시픽’그렇다면 증권사들이 예측한 2분기 예비 우등생은 누구일까?본지와 에프앤가이드가 증권사 3곳 이상의 컨센서스를 바탕으로 분석한 결과, 1위는 아모레퍼시픽이 차지했다. 2분기 영업이익이 전년 동기 대비 1369% 증가한 867억원을 기록할 것으로 추정됐다. 박은정 하나증권 연구원은 “중국에서의 손익 안정화와 내수 시장의 성장 전환, 북미·유럽에서의 고성장 등이 실적을 견인할 것으로 보인다”고 말했다.2위는SGC에너지였다. 전년 동기 대비 1293% 증가하며 418억원의 영업이익을 낼 것으로 추정된다. 박광래 신한투자증권 연구위원은 “유연탄 등 주요 원자재 가격의 안정화가 수익성 개선으로 이어질 전망”이라며 “플랜트 부문에서는 사우디아라비아와 말레이시아 등 해외 수주에 집중하면서 매출과 이익이 반등할 가능성이 높다”고 말했다.3위는S-Oil(에쓰오일)이었다. 전년 동기 대비 1152% 증가하며 4557억원을 기록할 것으로 보인다. 이진호 미래에셋증권 연구원은 “2분기에 정제 마진이 소폭 개선되고 원화 환율이 떨어져 이익이 늘어날 것으로 기대된다”고 했다.4위는 삼성전자였다. 전년 동기 대비 1124% 증가하며 8조1818억원의 영업이익을 거둘 것으로 추정된다. 김석환 미래에셋증권 연구원은 “반도체에 대한 실적 눈높이가 여전히 높은 상황”이라고 말했다.5위는HDC현대산업개발로, 전년 동기 대비 923% 증가하며 583억원을 기록할 것으로 보인다. 조정현IBK투자증권 연구원은 “매출과 영업이익이 모두 코로나 사태 이전 수준으로 회복하며 바닥권에서 회복하는 모습을 보여주고 있다”며 “특히 오는 9월 착공할 예정인 광운대 역세권 개발 사업으로 도약할 가능성이 높다”고 말했다."
2024-03-22,‘건설’ 버리고 ‘E&A’ ‘이앤씨’... 건설사들은 왜 간판 바꿔달까,"삼성엔지니어링, ‘삼성E&A’로 사명 변경부동산 침체에 에너지, 친환경 등 신사업 개척 ‘사활’최근 건설사들이 사명을 변경하는 추세가 이어지고 있다. 부동산 경기 침체 지속으로 수익성이 떨어지는 주택 사업에서 탈피해 에너지, 친환경 등 신사업 분야에서 새로운 성장 동력을 확보하겠다는 움직임으로 해석된다.삼성E&A 사옥 전경삼성엔지니어링은 지난 21일 정기 주주총회를 열고 ‘삼성E&A’로 사명을 변경했다. E는 ‘Engineers’로 회사의 주축 기술인 엔지니어링(Engineering)은 물론, 에너지(Energy)와 환경(Environment) 비즈니스로 사업 영역을 확장하겠다는 것을 의미한다. 또 지속가능한 내일을 위한 지구 환경(Earth)과 생태계(Eco)를 만들어 갈 조력자(Enabler)를 뜻한다. A는 ‘AHEAD’로, 차별화된 혁신으로 미래를 개척하겠다는 의지를 담았다. 이날 주총에서 남궁 홍 삼성E&A 사장은 “삼성E&A는 새로운 사명과 함께 혁신을 더욱 단단히 하고, 에너지 전환 시대의 변화를 선도해 미래 준비에 집중하겠다”고 밝혔다.SGC이테크건설도 지난 20일 ‘SGCE&C’로 사명을 변경했다. 신규 사명인 ‘E&C’는 ‘Engineering(엔지니어링)’과 ‘Construction(건설)’의 앞 글자를 딴 것으로, ‘EPC(설계·조달·시공) 경쟁력을 기반으로 한 글로벌 기업 도약’이라는 포부를 담았다. 이우성SGCE&C 대표는 “올해는 신규 사명과 함께 해외사업 영역을 확대하며 글로벌EPC선도 기업의 입지를 공고히 하겠다”고 말했다.앞서 포스코건설은 ‘포스코이앤씨’로, 대림산업은 ‘DL이앤씨’로,SK건설은 ‘SK에코플랜트’로 사명을 변경했다. 가장 먼저 사명을 바꾼 곳은DL이앤씨(2021년 1월 4일). 탄소 포집·저장·활용(CCUS) 분야를 친환경 신사업으로 추진하겠다며 1947년부터 이어 온 ‘대림산업’ 이름을 교체했다.2021년 5월에는SK에코플랜트가 ‘ESG(환경·사회·지배구조)를 선도하는 친환경 기업으로 도약하겠다’며 1998년부터 사용하던 ‘SK건설’ 이름을 바꿨다. 포스코이앤씨도 2023년 3월 정기 주총에서 회사 이름을 기존 ‘포스코 건설’에서 바꿨다.이들 건설사는 사명 변경 이후 신사업 비중을 높이고 있다.DL이앤씨는CCUS와SMR(소형 모듈 원전),SK에코플랜트는 그린수소, 연료전지, 태양광 등으로 사업 영역을 확장했다. 포스코이앤씨는 수소, 해상 풍력,SMR등으로 사업분야를 넓혔다."
2023-10-27,"[Biz & Now] SGC에너지, 3분기 매출 8005억…영업익 27% 증가","SGC에너지는 올 3분기 매출 8005억원, 영업이익 595억원을 달성했다고 26일 공시했다. 매출은 전년 동기 대비 13%, 영업이익은 27% 증가했다. 지난 상반기에 발전부문 가동률이 증가했고, 전력도매가격 상한제 연료비 보전금이 반영되면서 실적이 개선됐다. 이우성SGC에너지 대표는 “다음 달 완공 예정인 탄소포집시설, 플랜트 중심의 신규 수주 등 전 사업 부문에서 적극적으로 영업 활동을 펼치며 수익성 개선을 위해 노력할 것”이라고 말했다."
2023-12-06,"[Biz & Now] SGC에너지, 군산 발전소서 액화탄산 첫 출하","SGC에너지는 전북 군산 열병합발전소에서 발전 과정에서 생기는 이산화탄소를 모아 만든 액화탄산을 첫 출하했다고 5일 밝혔다. 이곳에서 하루 최대 300t의 이산화탄소를 포집, 순도 99.9% 이상의 액화탄산을 생산할 예정이다. 민간 발전사 중 액화탄산을 상품화한 첫 번째 사례다."
2022-11-28,"OCI 3세 이우성 부사장, SGC에너지·이테크건설 대표 선임","이우성SGC에너지 및SGC이테크건설 대표이사 사장. 사진SGC에너지OCI그룹의 방계인SGC그룹이 3세 경영을 본격화했다.28일SGC에너지와SGC이테크건설은 각각 이사회를 열고 이우성 부사장을 각사의 대표이사 사장으로 선임했다고 밝혔다. 이 신임 대표는 이복영SGC에너지 회장의 장남이자 고(故) 이회림OCI그룹 회장의 손자이다. 이로써SGC에너지는 박준영 사장과,SGC이테크건설은 안찬규 사장과 이 신임 대표의 각자대표 체제로 운영된다.회사 측은 “급변하는 국내·외 경영 환경 속에서 책임경영을 강화하고 지속가능 경영체제를 확립을 위해서”라고 인사 배경을 설명했다.SGC는OCI그룹 소속으로 2020년 11월 군장에너지(현SGC에너지), 이테크건설(현SGC이테크건설), 삼광글라스(현SGC솔루션)으로 분할·합병해 출범했다.SGC에너지는 사업형 지주회사로 신재생에너지 기반 친환경 종합 에너지 사업을 영위한다. 올 3분기 누적 매출 1조9973억원, 영업이익 1422억원을 기록했다."
2022-11-29,SGC에너지·이테크건설 대표 이우성,"이우성SGC에너지와SGC이테크건설은 28일 이사회를 열고 이우성(사진) 부사장을 각각 대표이사 사장으로 선임했다고 밝혔다. 이 신임 대표는 이복영SGC에너지 회장의 장남이다. 이로써SGC에너지는 박준영 사장과,SGC이테크건설은 안찬규 사장과 이 신임 대표의 각자대표 체제로 운영된다.◆신동아건설 ▶상무보 이상두 장용준 한승환"
2022-07-14,"산림조합중앙회·SGC에너지, 산림바이오매스 자원화 맞손","산림조합중앙회는 13일 서울 송파구 중앙회 회의실에서SGC에너지와 미이용 산림바이오매스 산업 활성화를 위한 업무협약을 체결했다.이번 협약을 통해 산림조합중앙회는 미이용 산림바이오매스 자원화를 활성화하고,SGC에너지는 미이용 산림바이오매스를 이용해 신재생에너지 공급을 확대할 방침이다.미이용 산림바이오매스는 벌채 후 버려지는 잔가지 등 산림부산물을 목재칩, 목재펠릿 등으로 가공한 자원이다.산림조합중앙회는SGC에너지 군산 발전소에 미이용 산림바이오매스 목재칩 공급을 확대하고, 버려지던 산림부산물을 수집·이용하면서 발생하는 이익을 임업인을 위한 혜택에 사용할 계획이다.최준석 산림조합중앙회 사업대표이사는 “이번 업무협약을 통해 양기관은 미이용 산림바이오매스 산업 활성화와 임업인 소득 증진에 기여할 수 있는 협조체계를 구축하겠다”고 말했다."
2023-12-18,SGC그룹 임원 인사...박준영·안찬규 첫 부회장 탄생,"SGC그룹 로고SGC그룹은 박준영SGC에너지 사장과 안찬규SGC이테크건설 사장을 각각 부회장으로 선임하는 임원 인사 및 조직 개편을 시행했다고 18일 밝혔다. 삼광글라스·군장에너지·이테크건설 분할 합병 뒤 첫 부회장 선임이다.SGC이테크건설은 이창모 사장을 신임 대표이사로 내정했다.박준영SGC에너지 부회장. 사진SGC그룹SGC그룹의 사업형 지주사인SGC에너지 사업부문 대표이사를 맡고 있는 박준영 사장은 폴리실리콘 생산, 열병합발전소 및 이산화탄소 포집사업 등 친환경 에너지 분야에서 성과를 인정받아 부회장으로 승진했다. 그는OCI군산공장장(부사장)과SGC에너지 대표이사 등을 지냈다.SGC이테크건설 역시 불확실한 경영 환경에 대응하기 위해 14일 조직 개편과 임원 인사를 발표했다. 이창모 신임 대표이사 내정자는 재무·인사·법무 등 핵심 부서를 두루 거친 뒤SGC이테크건설 부사장을 지냈다.이창모SGC이테크건설 대표이사 내정자. 사진SGC그룹이 내정자는 내년 정기주주총회 승인을 받은 후 이사회에서 대표이사로 선임될 예정이며, 사업부문 총괄 역할을 맡게 됐다. 경영전략부문은 기존과 같이 이우성 대표이사가 맡는다.SGC이테크건설에서 기존 사업부문 대표이사를 맡았던 안찬규 사장은 부회장으로 선임됐다. 해외 사업을 총괄하며SGC이테크건설의 글로벌 시장 진출을 총괄한다.SGC이테크건설은 최근 베트남·말레이시아 등 동남아 시장 진출에 나섰다.안찬규SGC이테크건설 부회장. 사진SGC그룹안 부회장은 대우건설과 두산건설·한화건설을 거쳐 2014년SGC이테크건설에 입사, 플랜트사업본부 부사장과 대표이사를 거쳤다. 중동·동남아 지역 등 해외 시장 수주 경험이 풍부해 건설 ‘해외통’으로 꼽힌다.SGC이테크건설 측은 “이번 인사 및 조직 개편을 통해 플랜트 설계·구매·시공(EPC) 분야를 중심으로 해외 시장 수주를 확대해 경쟁력을 강화할 방침”이라 밝혔다. 다음은 승진 임원 명단.◆SGC에너지 ▶상무보 이종훈 ◆SGC이테크건설 ▶상무보 한강희 양승찬 강성수 이태호"
