date,title,content
2024-12-24,"SK바사, 사노피와 폐렴백신 공동 개발","5300억원 규모 확장계약 체결SK바이오사이언스가 프랑스 기반의 글로벌 바이오 제약사 사노피와 차세대 폐렴구균 백신을 공동 개발하는 계약을 체결하고, 선급금으로 5000만유로(약 760억원)를 받는다. 전체 계약 규모는 신약 개발에 성공할 경우의 단계별 기술료(마일스톤)를 포함해 최대 3억5000만유로(약 5300억원)에 이른다.SK바이오사이언스는 사노피와 차세대 폐렴구균 단백접합 백신을 공동 개발하는 계약을 맺었다고 23일 밝혔다. 폐렴구균 단백접합 백신은 폐렴의 주요 원인인 폐렴구균을 싸는 다당질에 특정 단백질을 결합해 만든 백신이다. 이번 계약은 두 회사가 공동으로 개발 중인 폐렴구균 단백접합 백신 후보 물질 ‘GBP410′에 대한 협력 범위를 확대해 차세대 폐렴구균 백신을 추가로 개발한다는 내용이다. 앞서 양사는 이달 ‘GBP410’의 글로벌 임상 3상에 착수해 첫 대상자 투약을 시작했다고 밝혔다.계약 규모는 선급금과 마일스톤을 포함해 최대 3억5000만유로다. 백신 연구개발(R&D) 비용은 양사가 동일하게 분담하고, 상업화 관련 비용은 사노피가 부담한다. 상업화 이후에는SK바이오사이언스는 한국 판매를, 사노피는 글로벌 판매를 맡는다.단백접합 방식의 폐렴구균 백신은 기존 백신보다 예방 효과가 뛰어난 것으로 알려져 있다. 의약품 통계 기관 이밸류에이트 파마에 따르면, 폐렴구균 백신 시장은 2028년 14조2000억원까지 성장할 전망이다."
2023-11-22,"SK바이오사이언스, 힐레만 연구소와 ‘2세대 에볼라 백신’ 개발 나선다","SK바이오사이언스가 국제 비영리 연구기관인 힐레만 연구소와 '2세대 자이르 에볼라 바이러스 백신의 공동개발을 위한 업무협약'을 체결했다. 사진은 지난해 10월 '신규 백신 및 플랫폼 공동 연구개발을 위한 업무협약' 체결식에 참석한 힐레만 연구소 라만 라오(RamanRao,왼쪽)CEO와 안재용SK바이오사이언스 사장의 모습./SK바이오사이언스 제공SK바이오사이언스가 국제 비영리 연구기관 ‘힐레만 연구소’와 2세대 자이르 에볼라 바이러스 백신 공동 개발을 위해 업무협약(MOU)를 체결했다고 22일 밝혔다. 힐레만 연구소는 글로벌 제약사MSD와 세계 최대 규모의 의료 연구 지원재단인 영국 웨컴트러스트가 합작 투자해 2009년 설립한 연구기관이다.현재 상용화된 에볼라 백신은MSD가 개발한 ‘에르베보’와 존슨앤존슨의 ‘제브데노’가 있다. 아프리카 등 일부 지역에 국한해 발생하던 에볼라 바이러스가 지난 2014년 서아프리카를 넘어 전 세계로 확산되는 대유행을 겪은 뒤 글로벌 제약사들이 차세대 에볼라 백신 개발에 뛰어 들었다. 이를 계기로 힐레만 연구소도MSD와 함께 2세대 에볼라 백신 후보물질을 발굴했다.SK바이오사이언스는 이번MOU를 통해 백신 생산 공정, 생산 효율성, 열 안정성 측면에서 개선된 2세대 에르베보 개발을 위해 협력한다. 양사는 해당 백신 개발 이후 가격 경쟁력을 확보해 중저소득 국가에 백신을 공급할 계획이다. 백신이 상업화되면SK바이오사이언스는 자체 백신공장인 안동L하우스에서 글로벌로 공급될 2세대 에볼라 백신을 위탁 생산할 예정이다.또한SK바이오사이언스는 2세대 에볼라 백신 공동 개발을 통해 바이러스벡터(rVSV) 기반의 신규 플랫폼 기반 기술 및 노하우를 확보하고 향후 다양한 감염병에 대한 백신 개발을 위해 힐레만 연구소와 협력해나갈 예정이다.안재용SK바이오사이언스 사장은 “에볼라와 같이 치명률이 높은 질병을 유발하는 바이러스를 예방할 백신을 만드는 것은 인류의 생존권을 수호하기 위한 필수 과제”라며 “이번 프로젝트를 성공적으로 완수해 질환 극복에 기여하고 글로벌 기업 및 기관들과의 협력 또한 확장해 세계적인 기업으로 성장해 가겠다”고 했다."
2023-04-12,"SK바이오사이언스, L하우스 비전 선포식… “글로벌 바이오 허브 도약”","SK바이오사이언스가 11일 백신 생산공장인 안동 L하우스에서비전 선포식을 연 모습./SK바이오사이언스SK바이오사이언스가 백신 생산공장인 안동 L하우스에서 비전 선포식을 열고 ‘글로벌 바이오 허브’로 도약할 것이라고 밝혔다.SK바이오사이언스는 지난 11일 L하우스에서 안재용SK바이오사이언스 사장, 김훈 글로벌 R&BD대표, 이상균 L하우스 공장장(부사장) 등 임원진과 L 하우스 구성원 450여명이 참석한 가운데 ‘L하우스 비전 선포식’을 개최했다고 12일 밝혔다. 이날 선포식은 코로나 팬데믹 기간 L하우스가 달성한 성과와 주요 마일스톤을 함께 돌아보고, 엔데믹 시대로 전환하는 시점에서 향후 미래 전략 및 목표를 공유하는 시간으로 구성됐다고 회사 측은 설명했다. 2012년 경북 안동에 설립된 L하우스는 세포배양, 세균배양, 유전자재조합, 단백접합백신 등 백신 생산을 위한 선진적 기반기술과 생산설비를 보유한 백신 제조 공장이다.SK바이오사이언스는 엔데믹 시대 글로벌 기업으로 성장하기 위한 구체적인 실천과제와 실행방안으로 구성된 ‘SKBS3.0′ 미래전략과 ‘디지털 수립방안’을 공유하고, ‘GlobalInnovativePartnerofVaccineandBiotech’이라는 하나의 목표(OneGoal) 달성을 위해 L하우스 구성원들이 앞으로도 하나의 팀(OneTeam)으로서 힘을 합쳐 나가겠다고 밝혔다. 이를 위해 미국 식품의약국(FDA)의cGMP(CurrentGoodManufacturingPractice) 획득을 L하우스의 핵심과제로 선정하고 이를 통해 세계 최고 수준의 생산 역량을 확보하겠다는 구상이다.안재용SK바이오사이언스 사장은 “오늘 비전 선포식은 ‘OneTeam’문화를 통해 L하우스 구성원들이 힘을 모아 ‘OneGoal’을 달성하겠다는 의지를 공표하는 자리”라며 “다양한 백신 포트폴리오 확보와 지속 가능한 성장을 추진해 인류 보건 증진에 기여하는 글로벌 백신·바이오 전문회사로 거듭나겠다”고 말했다."
2023-12-13,"SK바이오, 오미크론 백신 공급","SK바이오사이언스는 미국 제약사 노바백스가 개발한 코로나19 오미크론 하위 변이(XBB.1.5) 대응 백신을 공급하기 시작했다고 12일 밝혔다. 접종은 오는 18일부터 전국 위탁 의료 기관과 보건소 등에서 받을 수 있다. 코로나19 예방 접종 사이트(ncvr.kdca.go.kr)에서 예약할 수 있고, 12세 이상 전 연령에게 무료 접종이 시행된다.노바백스 백신은 미국과 유럽에서 활용되는XBB.1.5 변이 대응 백신 가운데 유일한 비(非)메신저리보핵산(mRNA) 백신이다. 바이러스를 제거하는 항체 생성을 유도하기 위해 유전자 재조합 기술로 만든 항원 단백질을 직접 체내에 주입해 코로나19 감염을 예방하는 방식이다."
2023-02-08,SK바이오사이언스 지난해 영업이익 75% 줄어,"코로나 백신 위탁생산 매출 감소 영향SK바이오사이언스 안동 백신공장 '엘하우스'/뉴스1SK바이오사이언스가 연결 기준 지난해 영업이익이 1150억 원으로 전년보다 75.7% 줄어든 것으로 잠정 집계됐다고 8일 공시했다. 같은 기간 매출은 4567억 원으로 전년 대비 50.8% 감소했고, 순이익은 1225억 원으로 전년 대비 65.5% 줄었다.코로나 팬데믹 여파가 줄어들면서 백신 위탁생산 매출이 큰 폭으로 감소했기 때문으로 분석된다.한편SK바이오사이언스는 이날 열린 이사회에서 송도 글로벌 연구·공정개발(R&PD)센터 설립을 의결하고, 총사업비 3257억원을 투자하기로 했다고 밝혔다. 앞서 2021년 인천경제자유구역청과 송도 7공구 3만400㎡ 토지매매 계약을 체결한SK바이오사이언스는 2025년 상반기에 R&PD센터를 완공하고, 경기도 판교에 있는 본사와 연구소를 송도로 이전한다는 계획이다."
2023-08-15,"안재용 SK바사 대표, 상반기 제약바이오 업계 보수 1위","안재용SK바이오사이언스 사장(SK바이오사이언스 제공)안재용SK바이오사이언스 대표이사가 올해 상반기 제약·바이오 업계에서 현직 임원 중 가장 많은 보수를 받은 것으로 나타났다. 안 대표는 지난해에도 업계 ‘연봉킹’ 자리에 올랐다.15일 국내 제약·바이오업계 반기보고서를 종합해보면 안 대표는 올해 상반기 36억 5000만원의 보수를 받아 업계에서 가장 많은 금액을 기록했다. 안 대표는 급여 3억 5000만원과 상여금 33억원을 지급받았다. 상여금은 지난해 성과에 대한 경영성과급 3억원과 과거 3개년 경영 성과에 대한 특별 보상금 30억원 등이다.안 대표는 지난해에도 약 72억원의 보수를 받아 업계에서 가장 많은 금액을 기록했다.같은 회사의 김훈 글로벌 R&BD대표도 올해 상반기 총 36억원의 보수를 받은 것으로 나타났다. 급여 3억원과 상여 33억원으로 안 대표와 비슷한 수준이다.회사는 보고서를 통해 매출액, 영업이익, 세전이익, 당기순이익 등으로 구성된 계량지표와 리더십, 전문성, 기타 회사 기여도로 구성된 비계량지표를 종합적으로 평가해 경영성과급을 지급했다고 밝혔다. 성과급의 규모는 연봉의 200% 내에서 결정된다.한편 올 상반기 역대 상반기 기준 최대 실적을 달성한 삼성바이오로직스의 존림 대표는 10억 3800만원의 보수를 받았다. 급여 약 8억5000만원, 상여 8000만원, 복리후생금 약 1억원 등이다. 10억원대의 보수를 받았다.또 이장한 종근당홀딩스 회장의 상반기 보수는 약 8억9000만원, 김영진 한독 회장의 보수는 6억4000만원, 삼진제약 최승주·조의환 회장의 보수는 각각 5억 8000만원을 기록했다."
2022-05-12,"SK바이오사이언스, 장티푸스 백신 수출용 품목허가 획득","SK바이오사이언스 안동 공장./SK바사SK바이오사이언스는 국제백신연구소(IVI)와 공동 개발한 장티푸스백신 ‘스카이타이포이드 멀티주(스카이타이포이드)’의 수출용 품목허가를 국내 식품의약품안전처로부터 획득했다고 12일 밝혔다. 이로써SK바이오사이언스는 3가 세포배양 독감백신, 4가 세포배양 독감백신, 대상포진 백신, 수두 백신, 폐렴구균 접합백신에 이어 여섯 번째 자체 백신을 확보하게 됐다.스카이타이포이드는 2013년부터SK바이오사이언스와IVI가 개발한 장티푸스백신이다. 연구개발 초기 단계부터 빌&멜린다게이츠재단이 연구비를 지원했고SK바이오사이언스가 연구개발·생산·인허가를,IVI는 글로벌 임상을 담당했다.SK바이오사이언스는 “스카이타이포이드는 1회 접종으로도 우수한 면역원성과 장기적 예방 효과를 기대할 수 있을 것”이라며 “생후 6개월~만 2세의 영유아에게도 접종 가능하다”고 밝혔다.SK바이오사이언스는IVI와 협업해WHOPQ(사전적격심사) 인증을 획득하고, 이르면 내년 스카이타이포이드를 글로벌로 본격 공급한다는 목표다."
2023-04-29,"SK바이오, 5년간 2.4조원 ‘공격적 투자’","지난 5년 투자금액의 5배SK바이오사이언스가 앞으로 5년간 백신·바이오 분야에 2조4000억원을 투자한다. 코로나가 잦아들며 실적이 부진한 상황에서 공격적인 투자로 성장을 이끌어나가겠다는 구상이다.SK바이오사이언스 안재용 사장은 28일 기자간담회를 갖고 이 같은 미래 성장 전략을 발표했다. 안 사장은 “1조2000억원은 연구·개발(R&D) 비용이고 나머지는 설비와 지분에 투자할 것”이라며 “당장 마이너스라도 미래를 위해 공격적인 투자를 택했다”고 말했다. 지난 5년간 투자 금액의 약 5배에 달하는 수치다.SK바이오사이언스는 해외시장 경쟁력 확보를 위해 현지 공장 구축에 나선다. ‘글로컬라이제이션(Glocalization)’ 프로젝트를 통해 회사의 백신 개발·제조·생산 역량을 해외 정부와 파트너사에 이전, 각 지역에 생산 인프라를 구축할 계획이다. 해외 정부와 조인트벤처를 만들어 최대 주주는 해외 정부가,SK바이오사이언스는 30~40% 정도 지분을 가지며 기술을 이전하는 모델이다. 이를 통해 대륙별로 백신 공장을 갖추는 것이 목표다. 현재 중동과 아프리카, 동남아, 라틴아메리카를 검토하고 있다. 안 사장은 “올해 안으로 1~2곳은 계약을 체결할 수 있을 것으로 보인다”고 말했다.위탁개발생산(CDMO) 사업도 확대한다. 코로나 기간 아스트라제네카, 노바백스 백신을 위탁 생산했던SK바이오사이언스는 현재 다수 기업과 위탁생산 계약을 논의 중이다.SK바이오사이언스는 “이르면 상반기 내 글로벌 제약사와 계약이 체결될 것으로 예상된다”고 했다. 국내 안동 공장 증설을 통해 백신 위탁생산을 강화하고, 미국 내 세포·유전자치료제CDMO기업 인수·합병(M&A)도 검토한다. 안 사장은 “올해 안으로 최소 한 건의 M&A가 있을 것”이라고 말했다. 이달 착공에 들어간 ‘송도 글로벌 R&PD센터’는 2025년 완공된다.이밖에SK바이오사이언스는mRNA백신을 연구하고, 5종의 차세대 백신을 개발할 계획이다.SK바이오사이언스가 개발한 코로나 백신 ‘스카이코비원’은 조만간 영국과 세계보건기구(WHO) 허가를 받을 것으로 예상된다."
2022-01-12,노바백스 백신 허가… SK바이오사이언스가 생산,"식약처, 노바백스 코로나19 백신 허가(청주=연합뉴스) 천경환 기자 = 김강립 식품의약품안전처장이 12일 오후 충북 청주시 식약처 회의실에서 브리핑을 열고 노바백스 신종 코로나바이러스 감염증(코로나19) 백신을 허가하겠다고 발표하고 있다. 2022.1.12kw@yna.co.kr/2022-01-12 13:20:14/<저작권자 ⓒ 1980-2022 ㈜연합뉴스. 무단 전재 재배포 금지.>식품의약품안전처는 12일SK바이오사이언스가 제조 판매 품목 허가를 신청한 코로나 백신 ‘뉴백소비드프리필드시린지’에 대해 임상시험 최종 결과 보고서 등을 제출하는 조건으로 품목허가를 결정했다.‘뉴백소비드프리필드시린지’는 미국 노바백스사가 개발하고, 국내SK바이오사이언스에서 원액부터 완제까지 제조하는 유전자 재조합 코로나 백신이다.유전자 재조합 백신은 재조합 기술을 이용해 만든 항원 단백질을 직접 주입해 체내 항체 생성을 유도하는 방식으로, B형 간염과 자궁경부암 백신 등 제조에 사용되고 있다."
2023-06-19,"SK바사 ‘스카이코비원’, WHO 긴급사용목록 등재","SK바이오사이언스의 코로나 백신 ‘스카이코비원’이 세계보건기구(WHO) 긴급사용목록에 등재됐다./SK바이오사이언스 제공SK바이오사이언스의 코로나 백신 ‘스카이코비원’이 세계보건기구(WHO) 긴급사용목록에 등재됐다.SK바이오사이언스는 자체 개발한 코로나 백신 ‘스카이코비원’이WHO긴급사용목록에 등재됐다고 19일 밝혔다. 스카이코비원은SK바이오사이언스가 미 워싱턴대 약학대 항원디자인연구소(IPD)와 공동 개발한 코로나 백신이다. 단백질 입체구조를 빠르고 정확하게 해독하는 워싱턴대 단백질 구조 예측 분석 프로그램 ‘로제타’를 활용해 만든 세계 최초의 백신이기도 하다.독감 백신 등으로 활용되는 스카이코비원은 안정성이 입증된 합성항원 방식으로 개발돼 2~8도의 냉장 보관과 유통이 가능한 게 특징이다. 기존mRNA방식의 백신은 초저온 설비가 필요했기 때문에 팬데믹 기간 중저개발국은 코로나 백신을 충분히 공급받지 못했는데, 스카이코비원은 이러한 백신 공급 불균형 문제를 해소할 수 있다는 장점을 가진 것이다.스카이코비원은 지난달 이미 미 식품의약국(FDA), 유럽의약품청(EMA) 등과 함께 의약품 승인에 까다로운 영국 의약품규제청(MHRA)에서 18세 이상 성인에 대한 기초 접종용으로 정식 품목 허가 승인을 받았다. 대한민국에서 개발된 백신 중 영국서 정식 품목 허가를 받은 백신은 스카이코비원이 최초다.안재용SK바이오사이언스 사장은 “우수한 임상 데이터를 기반으로 글로벌 규제기관과 적극적인 소통에 나선 결과, 우리 백신을 영국 허가에 이어WHO긴급사용승인에도 등재할 수 있었다”며 “언제든 다시 올 수 있는 감염병 대유행에 대비해 대한민국이 백신 주권을 선제적으로 확보하도록 추가적인 백신 개발에 최선을 다할 것”이라고 말했다.SK바이오사이언스는 현재 전염병대비혁신연합(CEPI)의 지원 하에 ‘사베코바이러스(Sarbecovirus)’를 표적으로 한 코로나 범용 백신 개발에 속도를 내고 있다. 최근에는CEPI와 빌앤멜린다게이츠재단의 지원을 바탕으로 코로나 바이러스를 활용한mRNA플랫폼의 전임상 연구를 진행하며 포트폴리오를 확대해가고 있다."
