date,title,content
2024-06-05,"SK오션플랜트, 3900억원 규모 해상풍력 구조물 공급","풍력발전용 하부 구조물을 전문적으로 생산하는SK오션플랜트가 대만 해상 풍력 단지에 2억8550만달러(약 3900억원) 규모의 시설물 공급계약을 따냈다.SK오션플랜트는 4일 세계 최대 그린 에너지 투자 운용사인 코펜하겐 인프라스트럭처 파트너스(CIP)와 대만 ‘펭미아오1′ 프로젝트에 해상 풍력 하부 구조물(재킷)을 공급하는 계약을 체결했다고 밝혔다. 대만 타이중에서 35㎞쯤 떨어진 바다에 500㎿(메가와트)급 풍력발전단지를 개발하는 사업으로, 내년 착공 후 2027년 가동에 들어갈 계획이다.SK오션플랜트는CIP가 대만에서 개발하는 해상 풍력 사업 세 곳에 모두 참여하게 됐다.대만 정부는 2026년부터 2035년까지 5단계에 걸쳐 총 15GW(기가와트) 규모의 해상 풍력발전 단지를 건설하는 ‘라운드3′ 사업을 추진 중이다. 펭미아오1은 라운드3 사업의 첫 프로젝트다.SK오션플랜트 관계자는 “발주가 이어질 다른 라운드3 프로젝트에서 추가 수주를 기대한다”고 했다."
2023-02-02,삼강엠앤티 사명 변경… ‘SK오션플랜트’ 됐다,"SK그룹 계열의 해상 풍력 구조물 전문업체인 삼강엠앤티가 사명을SK오션플랜트(SKoceanplant)로 바꾸고, 사업 영역을 부유식 해상풍력과 해상변전소 등으로 확대한다고 1일 밝혔다. 오션플랜트는 ‘바다’를 의미하는 ‘오션(ocean)’에 ‘심는다’는 의미의 ‘플랜트(plant)’를 합성한 용어다.SK오션플랜트는 해상 풍력 발전기를 해저 바닥에 고정시키는 하부 구조물 생산을 주력으로 해왔다. 2021년SK그룹이 인수해 건설 계열사인SK에코플랜트의 자회사로 편입됐다.SK오션플랜트는 앞으로 해상 풍력 발전기를 바다 위에 띄우는 부유식 설비와 해상에서 생산한 전기를 육상으로 보내는 데 필요한 해상 변전소 등 해상 풍력 전반으로까지 사업 영역을 넓힌다는 계획이다. 기업 가치 제고를 위해 코스닥에서 유가증권 시장(코스피)으로 이전 상장도 추진한다. 회사 측은 “모회사인SK에코플랜트와 함께 친환경 에너지 분야에서 성과를 낼 것”이라고 밝혔다."
2024-02-08,"SK어스온, 페루 LNG광구 지분 약 3400억원에 매각","2010년 열린 페루LNG생산플랜트 준공식에 최태원 회장(맨 오른쪽), 알란 가르시아 당시 페루 대통령(오른쪽에서 세 번째) 등이 참석해 박수를 치고 있다./SK이노베이션SK가 페루 액화천연가스(LNG) 생산플랜트 지분을 매각했다.SK이노베이션의 자원개발 자회사인SK어스온은 7일 미국 미드오션 에너지에 페루LNG지분 20%를 2억 5650만 달러(약 3400억 원)에 매각하는 계약을 체결했다고 발표했다. 페루LNG는 2010년부터 생산을 시작한LNG생산플랜트를 보유한 회사다. 헌트오일·셸·마루베니 등 글로벌 에너지 기업들이 지분을 보유하고 있다.미드오션 에너지는 미국 사모펀드EIG가LNG사업 확대를 목적으로 2022년에 설립한 회사다. 최근에는 일본 도쿄가스의 호주LNG자산 지분을 인수하며 사업을 확대하고 있다.SK어스온은 매각으로 확보한 자금을 석유개발과 미래 성장 사업에 투자할 계획이다. 명성SK어스온 사장은 “페루LNG의 성공적인 매각으로 미래 성장 사업이 한층 탄력을 받을 것”이라고 말했다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2023-10-04,코스닥 시총 10위권 4곳이 코스피로 옮겨간다,"여전한 코스닥 디스카운트지난달 20일 코스닥 시가총액 7위 바이오 기업HLB가 유가증권시장(코스피)으로 이전 상장을 추진한다고 밝혔다. 앞서 8월 코스피 이전을 결정한 코스닥 시총 4위 포스코DX와 엘앤에프(시가총액 5위), 그리고 코스피 상장사 셀트리온과 합병을 추진하는 셀트리온헬스케어(시총 3위)까지 포함하면 코스닥 시가총액 톱 10 기업 중 4곳이 한꺼번에 코스피로 짐을 싸는 것이다. 이들은 코스닥 전체 시가총액의 7%(28조원)가량을 차지한다.선두 기업들이 줄줄이 떠난다는 소식에 코스닥 시장은 기운이 빠진 모양새다. 자칫 ‘코스닥은 코스피의 2부 리그’라는 부정적 이미지가 악화되는 것 아니냐는 우려도 나온다.그래픽=양진경◇20년 만 탈(脫)코스닥 최다 될까코스닥에서 몸집을 키운 알짜 기업들의 코스피 이전은 해마다 반복된다. 대표적으로 과거NHN(2008년), 카카오(2017년), 셀트리온(2018년) 등이 코스피로 이동했다. 올 들어선SK오션플랜트(옛 삼강엠앤티)·비에이치·NICE평가정보 등 3곳이 코스피로 무대를 옮겼다. 현재 코스피로 이전을 추진 중인 포스코DX,엘앤에프,HLB까지 연내에 옮겨 가면 2003년(6건) 이후 연간 최다 이탈 기록이 된다.우량 기업들이 코스닥을 떠나려는 가장 큰 이유 중 하나는 기업 이미지 개선이다. 코스닥 상장사에 대한 저평가를 뜻하는 이른바 ‘코스닥 디스카운트’에서 벗어나려는 것이다. 규모가 작은 코스닥 기업의 경우 주가조작 시도에 취약한 데다 임직원들의 횡령·배임 사고 등도 잦다. 실제 한국거래소에 따르면, 지난해 국내 증시의 불공정거래 혐의 사건의 74%가 코스닥에서 발생했다. 이런 이유로 코스닥 기업엔 아예 투자하지 않는 기관 투자자도 있다. 올해 코스닥의 외국인 투자자 비율은 8.6%에 불과하다.그래픽=양진경코스피는 경영 성과나 공시·내부 통제 등 상장 심사가 코스닥보다 훨씬 까다롭다. 그래서 코스피에 진입하면 대외 신뢰도가 높아지는 효과를 볼 수 있다는 것이다. 코스피200 등 주요 지수에 편입될 경우 대형 기관 투자자와 외국인 자금이 유입되기도 한다.공매도 리스크도 탈코스닥을 부추기는 원인 중 하나로 지목된다. 현재 공매도는 코스피200과 코스닥150 구성 종목에만 허용된다. 코스닥에선 덩치가 커 공매도 공세를 받지만 코스피로 이전했을 때 시가총액 200위 안에 들지 않는다면 공매도 공세를 피할 수 있다. 코스피 이전을 추진 중인 엘앤에프는 시가총액 대비 공매도 잔액 비율이 7.2%로 코스닥에서 셋째로 높고,HLB도 다섯째(6.7%)나 된다.◇코스피 이전, 장밋빛만은 아냐코스피 이전 상장이 대체로 주가에 긍정적이지만, 반드시 그런 건 아니다. 2021년 이후 코스피로 이사한 기업 6곳(엠씨넥스,PI첨단소재,LX세미콘,SK오션플랜트, 비에이치,NICE평가정보)은 모두 코스피 이전 상장 첫날보다 현재 주가가 하락했다. 코스피 이전 소식이 ‘반짝’ 호재가 될 수 있지만 결국 기업의 펀더멘털(기초 체력)이 중요한 것이다.예컨대 포스코DX는 8월 23일 코스피 이전 상장 계획을 공시한 후 한 달 만에 주가가 37.9% 뛴 반면, 실적 악화에 시달리는 엘앤에프는 8월 28일 이전 상장 추진을 공식화한 후 한 달 새 주가가 27% 하락했다.그래픽=양진경◇코스닥 저평가 해소가 과제일각에선 코스피 이전 상장 요건을 더욱 까다롭게 하거나 코스닥 기업에 법인세 인하 등 인센티브를 제공해서라도 대형주 이탈을 막아야 한다는 목소리가 나온다. 그러나 전문가들은 근본 해결책은 아니라고 지적한다. 황세운 자본시장연구원 선임연구위원은 “남은 코스닥 기업들의 서운한 마음은 알겠으나 코스피 이전 여부는 기업의 선택권”이라고 했다.이부연 한국거래소 코스닥시장본부 본부장보도 “코스닥 시장 자체의 매력도를 높여 기업들에 잔류 유인을 제공하는 게 우선”이라며 “시간은 걸리겠지만 코스닥 시장의 체질을 개선하려는 노력들을 계속하고 있다”고 했다.한국거래소는 작년 11월 코스닥 우수 상장사 51곳을 선별한 ‘코스닥 글로벌 세그먼트’를 출범시켜 편입 기업 위상 높이기에 나섰다. 이 기업들 주가를 추종하는 ‘코스닥 글로벌 지수’가 만들어졌고, 매년 홍콩과 싱가포르에서 외국인 투자자들을 대상으로 투자 설명회(IR)도 개최한다."
2023-07-17,"0.1점 차로 갈렸다… 해군 호위함 업체 선정에 밀덕들 논쟁, 왜","김동관 한화그룹 부회장이 6월 7일 열린 국제해양방위산업전(MADEX) 한화오션 부스를 방문해 함정 관련 설명을 듣고 있다. /한화그룹 제공한화오션(옛 대우조선해양)이 경쟁업체인HD현대중공업을 누르고 해군 차기 호위함 건조 사업의 우선협상대상자가 되자 이른바 ‘밀덕(밀리터리 덕후)’ 사이에서는 설왕설래가 이어지고 있다. 일각에서는 “두 업체 간 선의의 경쟁은 나라에 도움 된다”며 환영하는 반면, “목숨이 달린 전투함정을 만드는데 패널티로 결과가 갈린 건 이해되지 않는다”는 의견도 나왔다.14일 방위사업청은 해군 차기 호위함으로 불리는 울산급 배치3(Batch-Ⅲ) 5~6번함의 우선협상자로 한화오션을 선정했다. 대우조선해양이 한화그룹으로 흡수돼 한화오션으로 탈바꿈한 후 처음으로 치러진 군함 수주전에서 유리한 고지에 서게 된 것이다.한화오션은 100점 만점에 최종점수 91.8855점을 받았다. 군함 시장 라이벌인HD현대중공업은 91.7433점을 받아 0.1422점 차이로 결과가 달라졌다.HD현대중공업은 기술능력평가에서는 1점 가량 앞섰지만, 불공정 행위 이력에 따른 감점(-1.8점)으로 최종 점수에서는 한화오션이 0.1점 차이로 앞서게 됐다.울산급 배치3 사업은 최첨단 3300톤(t)급 해군 호위함 6척을 도입하는 최신예 호위함 건조사업이다. 이들 호위함은 해역함대 주력함으로 활약할 예정이며 필요시 기동부대 증원 전력으로도 운용된다.앞서 1번함은HD현대중공업이 건조했다. 2~4번함은 대형 군함을 만들어본 적 없는SK오션플랜트(옛 삼강M&T)가 수주했다. 경쟁사 대비 150억원 가량 낮은 저가 투찰 전략이 통했기 때문이다. 이후 전문가들은 국가 방위에 중요한 전력인 함정 건조 업체를 가격 위주로 선정하는 것이 맞느냐는 문제를 제기했고, 방사청은 기술 경쟁 방식으로 선정 방식을 전환했다.지난 4월 진수한 3600톤급 해군 신형 호위함 1번함인 '충남함'./HD현대중공업 제공이렇게 시작된 마지막 건조 물량인 5~6번함은 기술 경쟁 방식이 적용된 첫 사례였다. 100점 만점에 기술 점수가 80점, 가격 점수가 20점으로 구성됐다.SK오션플랜트는 입찰을 포기했고, 중‧대형 전투함정 시장 라이벌인 한화오션과HD현대중공업의 양강 구도가 형성됐다.가격 점수는 양사 모두 20점 만점을 획득했다. 한화오션은 기술능력평가 80점 만점에서 71.4158점을,HD현대중공업은 72.3893점을 획득해HD현대중공업이 0.9735점 앞섰다. 가장 중요한 평가 항목이었던 기술력만 놓고 보자면HD현대중공업이 높은 평가를 받은 것이다. 여기에 추가 가점 항목인 ‘중소‧중견기업과의 협력 지수’에서도 한화오션은 0.4697점을,HD현대중공업은 1.1540점을 받았다.승부를 가른 결정타는 ‘불공정행위 이력 감점’ 분야였다.HD현대중공업은 2025년까지 무기체계 제안서 평가에서 ‘감점 1.8점’을 적용받고 있다.HD현대중공업 관계자들이 2020년 차세대 한국형 구축함(KDDX) 기본설계 사업자 선정 과정에서 설계도면 등 군사기밀을 촬영해 사내 공유한 혐의로 무더기 유죄 판결을 받은 데 따른 페널티다.당시 재판부는 피고인들이 함정 사업 관련 해군본부를 방문했다가 ‘특수침투정 개념 설계도와 ‘KDDX(한국형 차기 구축함) 개념설계 1차 설계 검토 자료’,‘장보고-IIIBatch-Il(잠수함) 개념설계 중간 추진현황’ 등을 불법 촬영하고 이를 회사 내부 서버에 올려 군사기밀을 탐지·수집 및 누설했다고 판단했다. 이들이 탈취한 내용은 모두 한화오션(옛 대우조선해양)의 기술이다. 이 사건으로HD현대중공업 특수선사업부 소속 9명이 군사기밀보호법 위반 혐의로 기소돼 8명은 형이 확정됐고 1명은 항소심이 7월로 예정되어 있다.한화오션의 전신 대우조선해양은 2010년대까지는 대형 수상함 시장 강자였으나 경영 악화 장기화로 투자 여력이 없어 수주 경쟁에서HD현대중공업에 뒤쳐졌다. 한화오션은 2018년 이후 중‧대형 수상함 건조 수주가 전무한 반면,HD현대중공업은 8100톤(t)급 차세대 이지스 구축함(정조대왕급) 3대를 싹쓸이했다. 한화오션은 잠수함 분야 핵심기술을 보유하고 있다는 장점을 앞세워 잠수함 분야에서는 여전히 강세를 보이고 있다.제2연평해전 승전 21주년을 앞두고 지난 6월 27일부터 서해에서 열린 해상기동훈련에 참가한 서울함(호위함,FFG)이 함포를 이용해 대공사격을 하고 있다. /해군 제공이에 네티즌들은 국가 핵심 방위를 담당하는 함정은 기술력을 가진 회사가 건조하는 것이 맞다는 의견과 한 회사의 독점보다는 라이벌을 남겨둬 시장 경쟁을 통해 기술 발전을 해야 한다는 반응으로 나뉘었다.군입대를 앞둔 아들을 두고 있다는 네티즌은 “기술력이 뛰어난 것으로 평가된 조선소가 전투함정을 건조해서 자식 같은 군인들에게 이기라고 해야 하는 것 아니냐”며 “죽고 사는 게 달린 전투함을 만드는데 기술력을 제외하고 다른 기준이 있다는 게 이해되지 않는다. 아들 해군 보내지 말아야 겠다”고 했다. 또 다른 네티즌은 “이겼지만 이긴 게 아니고, 졌지만 진 게 아닌 웃픈(웃으면서 슬픈) 현실”이라며 “감점이 1.8점인데 최종 점수 차이가 0.14점이면 기술력은HD가 압도했단 건데 기술력 있는 업체한테 주는 게 맞지 않냐”고 했다.반면 한화오션의 수주를 반기는 이들은 당장은 기술 점수가 차이나더라도 두 회사가 서로 경쟁하는 시장 분위기는 옳다고 했다. 네티즌들은 “상대편 회사 기술이 사장(死藏)되지 않도록 적절히 번갈아 수주하도록 해야 한다” “삼성과LG의 가전제품 사업처럼 서로 경쟁하고 협업하기도 해야 발전한다. 서로 견제하며 세계 탑3 전함제조사로 나아가길 바란다”고 했다. 한편에서는 “대우조선해양일 땐 마냥 망해가는 기업 느낌이었다가 오너 바뀌고 사명 바뀐 게 크다”는 반응을 보이기도 했다.업계에서도 이번 수주 결과에 대한 반응은 엇갈린다. 일각에선 “HD현대중공업이 기술점수에서 압도하고도 감점 때문에 0.1점 차로 패한 것은 군 입장에서도 아쉬운 일”이라는 평가가 나오지만, 반대 쪽에선 “1.8점 감점은 경쟁 상대인 한화오션 기술을 탈취한 데 따른 것으로 자업자득”이란 평가가 나온다."
2023-05-31,“건설 벗어나 그린 수소 집중… 친환경·에너지 기업 탈바꿈”,"SK에코플랜트 이왕재 부문 대표지난 26일 서울 수송동SK에코플랜트 본사에서 이왕재SK에코플랜트 에코에너지BU대표가 회사의 사업모델 전환 방향과 전략에 대해 설명하고 있다. /SK에코플랜트“2030년 세계 최고의 그린 수소 프로바이더(공급자)가 되는 것이 목표입니다.” 지난 26일 만난SK에코플랜트의 이왕재 에코에너지BU(사업 부문) 대표는 “SK에코플랜트는 바람으로 생산한 전기로 물을 분해해 탄소 배출 없는 그린 수소를 생산하고, 이를 안전한 암모니아 형태로 바꿔 운반하는 그린 수소 밸류체인 전반을 완성해 나가고 있다”며 이렇게 말했다.수소는 생산 과정에 따라 크게 그레이 수소와 블루 수소, 그린 수소로 나눌 수 있다. 메탄과 고온·고압의 수증기를 화학반응시켜서 얻는 그레이 수소는 비용이 저렴하지만 탄소를 배출하는 단점이 있다. 블루 수소는 탄소 포집 기술 등을 활용해 탄소 배출을 줄인 것이다. 그린 수소는 신재생에너지로 물을 분해해 얻는 수소로 생산 과정에 탄소 배출이 전혀 없다.SK에코플랜트가 집중하는 것이 바로 이 그린 수소다.SK에코플랜트는 2021년SK건설에서 사명을 바꾼 뒤 환경·에너지 기업으로 사업 모델을 바꾸고 있다. 올해 1분기SK에코플랜트 매출 가운데 환경·에너지 사업 비율은 36.7%로 2021년(13.9%)의 3배 가까이로 늘었다. 이BU대표는 2018년부터 신재생에너지 프로그램 담당 임원, 연료전지사업그룹장, 수소사업추진단장 등을 거치며SK에코플랜트의 친환경 에너지 사업을 이끌어왔다. 그는 “SK에코플랜트가 기존에 갖고 있던EPC(설계·투자·시공) 역량을 기반으로 공격적인 투자를 통해 사업 모델 혁신을 단기간에 성공할 수 있었다”고 했다.SK에코플랜트는 2021년 해상 풍력 하부 구조물 전문 기업인SK오션플랜트(옛 삼강엠앤티)를 3400억원에 인수했다. 또 2018년부터 협력 관계를 이어온 세계 1위 수소 연료 전지 기업인 미국 블룸에너지에 7000억원을 투자해 최대 주주에 올라섰다. 블룸에너지 투자를 초기부터 주도한 이BU대표는 “단순히 연료 전지를 외국에서 수입해 판매하는 게 아니라, 우수한 선진 기술의 국산화를 위해 과감한 지분 투자를 결정했다”고 했다.그린 수소 생산을 위한 기술력을 확보한SK에코플랜트는 최근 6조원 규모의 글로벌 초대형 그린 수소 상용화 프로젝트인 ‘뉴지오호닉 프로젝트’에 주축 회사로 참여하는 결실을 냈다. 이 사업은 캐나다 최동단 뉴펀들랜드섬에서 풍력발전을 기반으로 탄소 배출 없이 그린 수소를 생산하고, 이를 유럽으로 수출하는 것이다.SK에코플랜트가 참여하는 1단계 사업에선 1GW의 육상 풍력 발전 단지와 600㎿의 수전해기를 구축하고, 여기에서 생산한 연간 6만여t의 그린수소를 운반하는 데 쓰일 36만t의 그린 암모니아 생산 시설을 건설한다. 이BU대표는 “SK에코플랜트는 이번 프로젝트에서 기본 설계와 수전해기 공급·설치, 그린 암모니아 플랜트EPC를 담당할 뿐만 아니라 개발비 투자를 통해 프로젝트 지분 20%를 확보해 상용화 이후 수익까지 배분받을 예정”이라고 했다.뉴지오호닉 프로젝트는 2025년 그린 수소 생산, 2026년 그린 암모니아 생산을 목표로 하고 있다. 이BU대표는 “목표대로 프로젝트가 진행된다면SK에코플랜트가 그린 수소 산업의 ‘퍼스트 무버(선도자)’가 될 수 있다”며 “글로벌 그린 수소 시장의 핵심 플레이어로서 한국의 에너지 안보를 강화하는 데 기여하겠다”고 했다."
2023-02-08,바람 탄 국내 풍력발전… 규모 커지고 글로벌 협력 늘린다,"재생에너지 비율 확대로 업계 탄력… 정부선 “2036년까지 20배 키울것”두산에너빌리티(옛 두산중공업)는 지난 2일(현지 시각) 독일 함부르크에서 글로벌 해상풍력 1위 기업인 ‘지멘스 가메사(GimenseGamesa)’와 해상풍력 분야 기술 협력을 강화한다는 내용의 기본합의서를 체결했다. 2005년 풍력사업 시작 후 국내 해상풍력 최다 공급 실적을 가진 두산에너빌리티는 글로벌 해상풍력 시장 점유율 1위인 지멘스 가메사와 해상풍력 조립·시공·유지·보수 등 다양한 분야에서 기술 협력을 늘려간다는 계획이다.사진=두산에너빌리티재생에너지 중 상대적으로 비중이 작았던 풍력 발전이 최근 글로벌 기업의 국내 투자, 정부의 재생에너지 발전 비중 확대(2021년 7.1%→2036년 28.9%) 바람을 타고 사업이 탄력을 받고 있다. 새해 들어 업계에 호재가 이어지면서 풍력 산업 외에 철강 등 연관 산업도 새로운 시장을 선점하기 위해 사업을 확대하고 있다.정부, 2036년까지 풍력 20배 확대HD현대의 계열사인 현대일렉트릭은 세계에서 가장 큰 15MW(메가와트)급 풍력 터빈 제조 기술을 보유한 미국의GE리뉴어블에너지와 협력을 강화하고 있다. 작년 12월 파트너십을 맺고 풍력 터빈의 핵심 부품인 ‘나셀’과 발전기의 국내 생산을 맡기로 했다. 두 회사는 앞으로 조인트벤처(JV) 설립도 추진한다. 지난 1월 ‘CES2023′에선 현대중공업도 추가MOU를 맺고 협력 분야를 그린 수소,ESS(에너지저장장치) 분야까지 확대했다. 바닷물을 분해해 수소를 생산하는 ‘그린 수소’ 사업에서도GE의 해상풍력으로 만든 전력을 활용하는 게 목표다.SK그룹 계열 해상풍력 구조물 업체인 삼강엠앤티도 지난 1일 사명을SK오션플랜트로 바꾸고, 사업 영역을 부유식 해상풍력과 해상변전소 등으로 확대한다고 밝혔다.풍력 터빈 분야 세계 1위 덴마크 베스타스는 지난달 산업통상자원부에 3억 달러 투자를 신고하고, 아시아·태평양 지역본부의 한국 이전을 검토하고 있다. 베스타스는 울산과 전남 두 곳을 생산공장 유력 후보로 검토하는 것으로 알려졌다. 울산은 공장 유치를 위해 폐공장 부지를 무상으로 제공하겠다는 조건도 제시한 것으로 전해졌다.정부 정책도 업계에 긍정적이다. 지난 1월 발표한 ‘제10차 전력수급기본계획’에서 정부는 2021년 7.1%인 풍력발전 등 재생에너지 비중을 2036년 28.9%까지 확대하기로 했다. 이를 위해 현재 1.8GW규모인 풍력발전 설비를 2036년까지 20배 늘어난 34GW수준까지 늘린다는 계획이다. 목표를 달성하기 위해선 풍력발전 설비를 매년 현재 연간 설치 규모보다 10배 넘게 늘려야 하고, 2030년까지는 매년 2.2GW(국내 원전 약 2기 설비 용량) 규모의 신규 설비가 필요하다.철강업체들도 새 시장 공략국내 철강업계도 풍력발전 분야에서 새로운 수요를 발굴하고 있다. 선박 건조에 쓰였던 후판 등 각종 철강재가 풍력발전 타워 및 하부구조물에도 쓰이면서 관련 수요가 꾸준히 증가하기 때문이다.포스코는 거친 환경을 견딜 수 있도록 강도와 내구성을 강화한 풍력발전기용 ‘그린어블 윈드’ 후판을 생산해 오스테드, 베스타스 등 글로벌 기업에 공급하고 있다. 작년에는 에너지전문인증기관으로부터 글로벌 철강사 최초로 ‘신재생 에너지용 후판’ 생산 공장 인증도 획득했다. 유럽·대만·인도·터키 등에 해상풍력용 후판을 공급하는 현대제철은 앞으로 해상풍력을 비롯한 에너지 강재 수요가 폭발적으로 성장할 것으로 판단하고 전담 대응팀을 신설해 운영 중이다."
2023-01-30,[부동산 100자 정보] ‘두산위브더제니스 오션시티’ 3월 분양 외,"‘두산위브더제니스 오션시티’ 3월 분양두산건설은 부산 남구 우암동 129번지 일원에서 우암2구역 재개발 사업을 통해 건설되는 ‘두산위브더제니스 오션시티’를 3월 분양할 계획이다. 지하 5층~지상 최고 34층, 29개 동, 전용면적 59~84㎡ 3048가구 규모다. 조합원 분양 물량을 제외한 2033가구가 일반 청약 수요자들에게 분양된다.‘강동역SK리더스뷰’ 오피스텔 분양SK에코플랜트는 서울 강동구 길동 415-9번지 일원 옛KT강동지사 부지에 건설하는 오피스텔 ‘강동역SK리더스뷰’를 2월 분양한다. 지하 6층~지상 20층, 3개 동, 전용 84~99㎡ 378실 규모다. 지하철 5호선 강동역, 길동역과 5·8호선 환승역인 천호역이 가까워 서울 주요 지역으로 편리하게 이동할 수 있다."
2024-01-15,"국민연금, 포스코홀딩스 빼고 대신 ‘이 종목’ 주워 담았다","삼성전기 지분율 1.82%포인트 늘려지난 5일 서울 중구 국민연금 종로중구지사의 모습. /뉴스1국민연금이 작년 말 포스코홀딩스와 카카오 보유 지분을 줄인 반면 삼성전기 등을 사들였다.15일 금융정보업체 에프앤가이드에 따르면 지난해 4분기 국민연금은 포스코홀딩스 지분율을 6.71%로 작년 3분기 말(7.72%)보다 1.01%포인트 줄였다. 그 사이 포스코홀딩스 주가는 15% 이상 떨어지면서 보유 주식 평가액도 9362억원 줄어든 2조5588억원이 됐다.같은 기간 국민연금은 카카오 지분은 6.38%에서 5.41%로 축소했다. 그러나 그동안 카카오 주가가 35% 오르면서 보유 주식 평가액은 1조4253억원으로 1798억원 늘었다.국민연금이 포스코홀딩스와 카카오를 팔고 사들인 종목은 무엇일까. 지난해 4분기 국민연금은 삼성전기 지분을 8.8%에서 10.62%로 1.82%포인트 늘렸다. 삼성전기 주가는 그사이 7.5% 올랐다. 보유 주식 평가액은 1조1729억원으로 2694억원 늘었다.포스코홀딩스CI.이밖에 국민연금은 지난해 4분기 중 제이엘케이, 기가비스, 우신시스템, 원텍,SK오션플랜트, 와이솔, 한화오션, 코미코, 하이트진로,SK디스커버리, 롯데웰푸드 등 11개사를 5% 이상 대량 지분 보유 종목에 신규로 편입했다.기존 대량 보유 종목인 씨앤씨인터내셔널,HK이노엔, 이수페타시스, 한올바이오파마, 대한유화, 비에이치, 클리오, 동국제강, 코스메카코리아, 진시스템, 롯데쇼핑, 세아제강지주, 신세계인터내셔날의 보유 지분을 2~3%포인트 이상 늘렸다.한편 국민연금이 보유한 국내 상장사 지분 가치는 연말 주가 상승에 힘입어 130조원 이상으로 불어났다. 국민연금이 5% 이상 지분을 보유해 공시 대상인 국내 상장사는 지난 10일 기준 283개사로 보유 주식 평가액은 총 133조8349억원으로 집계됐다.지난해 3분기 말 282개사, 129조6747억원과 비교해 종목 수는 비슷했다. 하지만 평가액은 4조1601억원(3.21%) 증가했다. 지난해 고금리 장기화 우려 속에 약세를 보이던 증시가 11월부터는 반등했기 때문이다.국민연금 보유 종목 중 주식 평가액 1조원 이상은 삼성전자(평가액 33조7557억원·지분율 7.68%)를 비롯해SK하이닉스(7조6794억원·7.90%),LG에너지솔루션(5조5550억원·5.78%),NAVER(3조5천23억원·9.34%), 현대차(3조1048억원·7.86%), 삼성바이오로직스(2조9740억원·5.60%), 기아(2조6103억원·7.17%) 등 21개사다. 이들 종목은 국민연금의 전체 보유 주식 평가액에서 약 62%를 차지한다."
2024-01-30,트럼프 돌풍에 국내 신재생 에너지주 휘청,"재선 땐IRA백지화할 우려에일각선 “폐지 절차 까다로워 풍력 종목에 영향 적을 것”도널드 트럼프 미국 전(前) 대통령이 대선 경선에서 돌풍을 일으키면서 최근 국내 증시에서 풍력주 등 신재생 에너지 종목이 약세를 보이고 있다. 트럼프 전 대통령이 재선에 성공하면, 현 바이든 정부의 대표 친환경 정책인 인플레이션감축법(IRA)을 백지화할 수 있다는 우려 때문이다.29일 한국거래소에 따르면 풍력발전기용 베어링을 수출하는 씨에스베어링과 풍력발전기를 세우는 역할을 하는 타워 제조사 씨에스윈드는 미국 공화당 첫 대선 경선 소식이 전해진 지난 16일 대비 이날 주가가 각각 7.4%, 13% 떨어졌다. 풍력 발전 사업을 하고 있는 한화솔루션과SK오션플랜트는 같은 기간 주가가 각각 14%, 15% 빠졌다. 트럼프 전 대통령은 15일 아이오와 코커스(당원대회)에 이어 지난 23일 뉴햄프셔 프라이머리(예비선거)에서 이기면서 대선 후보 가능성이 높아졌고, 더 나아가 대선도 유리하다는 여론 조사 결과가 잇따르고 있다.그러나 증권가에선 트럼프 전 대통령이 당선돼도IRA를 없애기는 어려워 풍력 종목에 미치는 영향이 적을 것으로 보는 견해가 있다. 명지운 신한투자증권 연구원은 “IRA를 폐지하는 절차가 까다로울 뿐더러 폐지한다 해도 미국 내 일자리가 줄어들어 지지율에 악영향을 끼칠 수 있다”며 “또 트럼프 전 대통령 임기 때인 2020년 풍력 발전 설치량이 역대 최고로 급성장하는 등 오히려 성장하기도 했다”고 분석했다.올해 미국 연방준비제도가 금리 인하를 예고한 만큼, 금리 방향성도 성장주인 신재생 에너지 종목에 유리하게 작용할 수 있다. 성장주는 금리가 낮을수록 가치 평가가 높아지는 경향이 있다."
