date,title,content
2024-12-05,"대외 불확실성 대응… SK, ‘미국·중국통’에 힘실어 [명단]","SK그룹 인사SK그룹이 5일 정기 임원 인사와 조직개편을 단행했다. 주요CEO(최고경영자)를 유임하며 ‘안정 속 변화’를 꾀했다. 사장 승진은 2명으로 작년(6명)보다 줄었고, 부회장 승진도 없었다. 신규 임원 선임은 75명이었다. 2023년도 신규 선임(145명)의 반 토막 수준으로, 전년(82명)에 이어 임원 감축, 비주력 계열사 매각 등을 동반한 그룹의 대대적인 ‘리밸런싱(조직개편)’ 기조를 이어갔다.SK는 연중 수시 인사로 이미 5명의CEO를 교체한 상태다.이번 인사는 대외 불확실성 확대에 발맞춰 미국, 중국 등 글로벌 대관(對官) 라인에 힘을 실은 것이 특징이다.SK는 부회장단을 축소하면서도, 기존에 그룹의 중국과 미국 사업을 각각 총괄했던 서진우 부회장과 유정준 부회장을 유임시키며 글로벌 시장 대응에 힘을 실었다. 또 그룹의 북미(北美) 대관 총괄에 미국 무역대표부(USTR) 비서실장 출신인 폴 딜레이니 부사장을 선임했다.SK이노베이션은 미국 에너지부(DOE) 산하 연구기관 출신의 김필석 박사를 최고기술책임자(CTO) 겸 환경과학기술원장으로 영입했다.이와 함께 그룹 계열사 전반의 국내 대관 담당 임원들을 대거 교체한 것도 주목받았다. 올해 그룹 및 최태원 회장 등과 관련한 일련의 사태 대응에 대한 책임을 대관 조직에 물은 것으로 해석됐다.손현호 디스커버리 대표사장 승진은 2명으로 최소화했다.SK디스커버리 대표이사 사장에 ‘재무통’인 손현호SK수펙스추구협의회 전략지원팀장(부사장)이 승진, 발령됐다.SK하이닉스에서도 낸드플래시 전문가인 안현 부사장이 사장 승진과 함께 ‘개발총괄’로 선임됐다. 신규 임원(75명) 승진 규모도 줄인 가운데 3분의 2는 사업, 연구개발(R&D), 생산 등 현장과 기술 분야에 특화된 인물로 채웠다고SK는 설명했다.안현 하이닉스 사장SK는 이번 인사에서SK하이닉스 미래기술연구원 R&D 실장을 지낸 피승호 부사장을SK온 제조총괄로 선임한 것을 비롯해SK실트론,SK㈜ C&C 등에도SK하이닉스 출신 인사를 전면 배치했다. 삼성이 1등 경쟁력 확산을 이유로 삼성전자 출신을 계열사에 전면 배치하는 것과 비슷한 행보다.그룹 지주사의 재무를 총괄하는 ‘핵심 보직’인SK㈜ 재무부문장에SK케미칼의 김기동 경영지원본부장(부사장)이 선임된 것도 주목된다. 최태원 회장이 총괄하는SK㈜ 계열사의CFO가 주로 가던 자리에, 최창원SK수펙스추구협의회 의장이 총괄하는SK디스커버리 계열사 임원이 선임되며 최 의장 라인이 보강됐다는 평가가 나온다.인공지능(AI)을 전면으로 내세운 조직개편도 단행했다.SK㈜는CEO직속으로 ‘AI혁신담당’ 조직을 만들었고, 그룹 차원의AIR&D센터도 신설한다. 최태원 회장의 장녀 최윤정SK바이오팜 사업개발본부장은SK㈜에 신설된 ‘성장 지원’ 담당을 겸직하며, 미래 성장 동력 발굴에 나선다. 이번 인사에서 조대식, 김준, 박정호 부회장은 고문으로 물러났다.▲SK이노베이션▷부사장 강귀은 조상현 이상윤 ▲SK이노베이션 E&S▷부사장 오승용 허규범 ▲SK에너지▷부사장 한희민 최민석 송성호 신지선 ▲SK온▷부사장 박세훈 정회선 ▲SK온 트레이딩인터내셔널▷부사장 장용수 ▲SK엔무브▷부사장 김세호 ▲SK아이이테크놀로지▷부사장 김준형 김기범 ▲SK인천석유화학▷부사장 윤영호 ▲SK어스온▷부사장 노정용 ▲SK엔텀▷부사장 양성훈 ▲SK하이닉스▷부사장 강춘호 권로미 권성무 김남호 김성래 김성순 김재범 김정우 김창현 김태환 류도희 박원성 박현수 손승형 손영우 심재성 엄강용 엄재광 이두복 이상훈 이송만 이승호 이승환 이정숙 장태수 정춘석 주석진 최상균 최준용 최진택 한권환 황경호 황정태 ▲SK텔레콤▷부사장 강은경 류탁기 조정민 ▲SK에코플랜트▷부사장 김경수 배상빈 이주한 ▲SK실트론▷부사장 맹운영 신동화 위상국 한기윤 ▲SK네트웍스▷부사장 김범 ▲SK스퀘어▷부사장 최수진 정진명 ▲SKC&C▷부사장 오은석 이현준 안상만 허민회 박종훈 김민환 고재웅 ▲SK㈜머티리얼즈▷부사장 김화랑 안성일 ▲SK트리켐▷부사장 박경택 ▲SK머티리얼즈 퍼포먼스▷부사장 이병하 이근수 ▲SK바이오팜▷부사장 조형래 ▲SK디스커버리▷부사장 진효남 ▲SK플라즈마▷부사장 허지호 ▲SK케미칼▷부사장 윤원재 ▲SK가스▷부사장 고우상 ▲SKC▷부사장 우용하 ▲SK이터닉스▷부사장 박기석 ▲mySUNI▷부사장 은현지"
2024-12-05,"SK그룹 인사...’조직 슬림화' 속 美 대관, AI에 힘실어","서울 서린동SK사옥 전경. / 뉴스1SK그룹이 5일 추가 임원 인사와 조직 개편을 단행했다. 주요 계열사CEO(최고경영자)들은 유임한 가운데SK디스커버리CEO를 교체했다. 사장 승진자는 2명으로, 부회장 승진은 없었다. 신규 임원 규모도 75명으로 작년(82명) 대비 소폭 줄었다. 임원 감축, 비주력 계열사 매각 등 대대적인 ‘리밸런싱’(조직개편)에 착수한 그룹 분위기가 반영된 인사로 해석된다.SK그룹은 이날 각 계열사 이사회를 통해 이 같은 내용의 임원 인사와 조직개편을 확정했다고 밝혔다.SK디스커버리 신임 대표이사 사장에는 ‘재무통’인 손현호SK수펙스추구협의회 전략지원팀장(부사장)이 승진, 발령됐다. 안현SK하이닉스N-S커미티 담당도 사장 승진과 함께SK하이닉스 개발총괄(CDO)을 맡는다.SK측은 “고대역폭 메모리(HBM) 시장 리더십을 공고화하고 D램과 낸드 기술경쟁력 강화를 진두지휘할 것”이라고 설명했다.인사 폭이 상대적으로 작은 것에 대해,SK는 “이미 연중 수시 인사를 통해 5명의CEO를 교체한 상황”이라며 “앞으로도 경영 환경 변화에 발 빠르게 대응하기 위한 수시 인사 체계를 구축해 안정적인 변화를 꾀한다는 방침”이라고 했다. 신규 임원은 총 75명으로, 이 가운데 3분의 2는 사업, 연구개발(R&D), 생산 등 현장과 기술 분야에 특화된 인물이라고SK그룹은 설명했다.SK그룹은SK하이닉스 출신 인사를 계열사에 대거 배치하며 ‘일류DNA’확산에 나선다고 밝혔다. 작년말SK온CEO에 이석희 사장을 선임한데 이어 이번에는SK하이닉스 미래기술연구원 R&D 실장 등을 담당했던 피승호SK실트론 제조·개발본부장을SK온 제조총괄로 선임했다. 또SK실트론과SK㈜ C&C 등에도SK하이닉스 출신 임원들을 전환 배치한다.또 ‘트럼프 2기’ 출범 등 대내외 불확실성이 커짐에 따라 미국·중국 등 대관 라인을 강화했다.SK이노베이션은 미국 에너지부(DOE) 산하 연구기관에서 기후변화, 신재생 에너지 등 관련 프로젝트를 이끌었던 김필석 박사를 최고기술책임자(CTO) 겸 환경과학기술원장으로 영입했다. 또 미 무역대표부 비서실장 출신인 폴 딜레이니 부사장을 그룹 북미(北美) 대관 총괄로 선임했다.인공지능(AI)을 전면으로 내세운 조직개편도 단행했다.SK㈜는CEO직속으로 ‘AI혁신담당’ 조직을 신설했고, 그룹 차원의AIR&D센터도SK텔레콤 주도로 신설한다.SK수펙스추구협의회는 전략/Global위원회 산하에 있는AI/DTTF(태스크포스)를 확대 운영하기로 했다. 이번 인사에서 최태원 회장의 장녀 최윤정SK바이오팜 사업개발본부장은 지주사SK㈜에 신설된 ‘성장 지원’ 담당을 겸직하게 됐다.AI를 비롯한 미래 성장 동력 발굴을 위한 조직이다.SK그룹 관계자는 “이번 인사는 기술, 현장, 글로벌을 강조한 것이 특징”이라며 “연중 한발 앞선 수시 인사를 통해 빠른 조직 안정과 실행 중심의 기업문화 정착을 가속화할 것”이라고 했다."
2024-08-27,"SK이노베이션, SK E&S 합병안 주총 통과... 자산 100조원대 에너지기업 탄생","박상규SK이노베이션 대표가 27일 임시 주총에서 발언하고 있다.SK이노베이션과SKE&S의 합병안이 임시 주주총회에서 압도적인 찬성으로 통과됐다. 자산 100조원, 매출 88조원의 초대형 에너지기업이 출범하게 됐다.SK이노베이션은 27일 서울 종로구SK서린빌딩에서 합병계약 체결 승인을 위한 임시주주총회를 개최한 결과, 참석주주 85.75%의 찬성률로 합병안이 통과됐다고 밝혔다.합병건은 주주총회 특별 결의 사항으로 참석 주주 3분의 2 이상, 발행 주식수 3분의 1 이상이 찬성하면 승인된다. 이를 넘어서는 대다수 주주들이 이번 합병안에 찬성한 것이다. 특히 세계 최대의 의결권 자문기관인ISS와 글래스루이스가 이번 합병안 찬성을 권고함에 따라 참석한 외국인 주주들의 95%가 이번 합병안에 찬성했다.임시주총에서 합병이 승인됨에 따라 합병법인은 오는 11월1일 공식 출범한다.앞서SK이노베이션과SKE&S는 지난달 17일 각각 이사회를 열고, 양사간 합병 안건을 의결했다. 불확실한 대내외 환경에 선제적으로 대응하고, 미래 에너지 사업에서의 확고한 성장 기반을 만들어가기 위해서다. 지난해 사업보고서 기준,SK이노베이션은 1조9039억원의 영업이익을SKE&S는 1조3317억원의 영업이익을 냈다.합병법인이 출범하면 자산 100조원, 매출 88조원의 아시아태평양지역 최대 규모의 민간 에너지 기업이 탄생하게 된다.SK이노베이션의 석유사업과 배터리사업에 더해SKE&S의 액화천연가스(LNG), 재생에너지 사업 등이 결합돼 에너지 포트폴리오의 경쟁력이 강화될 것으로 전망된다. 회사측은 “장기적으로 글로벌 에너지 시장의 요구에 대응한 에너지 솔루션 패키지를 제공하는 회사로 성장시키겠다”고 밝혔다.이번 합병으로 안정적인 재무 및 손익 구조도 구축된다.LNG,전력과 같은 안정적인 수익을 창출하는SKE&S와의 합병을 통해 회사 수익의 안정성이 높아지고, 큰 폭으로 상승된 합병회사의 수익력을 바탕으로 재무건전성이 강화될 전망이다.SK이노베이션은 합병으로 인한 시너지 효과로 2030년 기준 상각 전 영업이익(EBITDA) 2조2000억원 이상을 예상하고 있다. 전체EBITDA는 20조원 달성이 목표다.박상규SK이노베이션 사장은 “회사의 장기적인 안정과 성장의 토대가 될 이번 합병이 순조롭게 마무리될 수 있도록 최선의 노력을 할 예정”이라며 “더불어 합병 완료 이후 다양한 주주친화 정책을 적극 검토해 실행해 나가겠다”고 말했다."
2024-08-28,SK이노베이션·E&S 합병안 주총에서 통과,"자산 100조원 에너지 기업 출범SK이노베이션과SKE&S의 합병안이 27일 양 사 주주총회를 통과했다. 지난달 17일 양 사 이사회가 합병을 의결한 지 한 달 만이다. 이로써 자산 100조원, 매출 88조원의 아시아·태평양 지역 최대 에너지 기업이 출범하게 됐다.SK이노베이션은 이날 서울 종로구SK서린빌딩에서 열린 임시 주총에서 참석 주주 85.75%가 합병에 찬성했다고 밝혔다. 합병은 주총 참석 주주 3분의 2, 발행 주식 수 3분의 1 이상이 찬성해야 한다.SK이노베이션 주주는SK㈜ 36.2%, 개인 32.1%, 외국인 19.1%, 국내 기관 11.2%(국민연금 6.2% 포함)로 구성돼있다. 국민연금은 앞서 “합병 비율(1대1.19)이 일반 주주에게 불리하다”며 반대 의견을 밝혔지만, 이날 외국인 주주들은 95%가 합병안에 찬성했다. 아직 반대·기권한 주주들의 주식매수청구(주매청) 절차가 남아있지만, 합병에 큰 영향을 미치진 않을 것이란 분석이다. 현 주가가 주매청 가격(11만1943원)보다 크게 낮지 않은데다, 국민연금이 아시아 최대 에너지기업 지분을 모두 매각할 가능성은 낮아 회사가 준비한 8000억원으로 대응 가능하다는 것이다.SK㈜가 지분을 90% 보유한SKE&S도 이날 주주들이 합병안을 승인하면서 합병 법인은 오는 11월 1일 공식 출범할 예정이다."
2024-07-19,"“SK이노베이션·E&S 통합, 안정적 에너지 사업구조 구축”","박상규·추형욱 사장 기자 간담회18일 서울 종로구SK서린빌딩에서 진행된SK이노베이션과SKE&S의 합병 관련 기자 간담회장에 박상규(오른쪽)SK이노베이션 사장과 추형욱SKE&S 사장이 입장하는 모습. /연합뉴스“두 회사 간 합병은 에너지 산업의 밸류체인 전반을 아우르는 안정적 사업 구조를 구축하는 시너지 효과를 낼 겁니다.”SK이노베이션과SKE&S가 지난 17일 이사회에서 합병안을 의결하며 자산 규모 106조원에 달하는 아시아·태평양지역 최대 규모의 민간 에너지 기업을 만들기로 한 가운데, 18일 양사는 합병 목적과 앞으로 계획을 설명하기 위한 기자 간담회를 열었다.박상규SK이노베이션 사장은SKE&S와의 합병 의미에 대해 “안정적이고 미래 성장성이 높은 신에너지, 전기 등 분야가 보완됐다는 것”이라고 밝혔다. 함께 간담회에 참석한 추형욱SKE&S 사장은 “SKE&S가SK이노베이션이라는 우산 안에서 새 기회를 모색하고 시너지를 낼 것으로 기대한다”고 했다.SK이노베이션의 정유·화학·배터리 사업이LNG·발전·수소 사업을 하는SKE&S와 시너지를 내며 에너지 산업의 밸류체인 전반을 아우를 것이란 설명이었다.박 사장은 “석유화학 사업은 장기적으로 성장하기 쉽지 않은 분야로 그동안 소재, 배터리 분야에 많은 투자를 했지만 현재 캐즘에 빠진 상황”이라며 “SKE&S가 가진 전기 관련 역량과SK이노베이션이 가진 연구개발(R&D) 역량을 합하면 글로벌 마켓에서 큰 플레이어로 성장할 수 있겠다는 확신이 들었다”고 했다.다음 달 27일 양사 주주총회에서 합병안이 최종 승인되면 오는 11월 1일 합병 법인이 공식 출범하게 된다. 합병 이후SKE&S의 분할 상장 가능성에 대해 박 사장은 “전혀 계획이 없다”고 일축했다."
2024-07-13,SK이노베이션·E&S 17일 합병 이사회,"자산 100조 에너지기업 탄생사진은SK이노베이션이 입주해있는 서울 종로구 서린동SK본사 모습. /뉴스1SK그룹이 17일SK이노베이션과SKE&S를 합병하는 방안을 이사회 논의를 거쳐 의결한다. 합병을 통해 자산 규모 100조원이 넘는 초대형 에너지 기업이 탄생하게 된다.양사 합병과 그에 따른 재무 구조 개선 작업도 속도를 낼 전망이다.SK이노베이션은 12일 “17일 이사회를 열어 합병 방안에 대해 논의를 진행할 예정”이라고 공시했다.SKE&S도 같은 날 이사회를 연다. 두 회사 모두SK그룹 지주사인SK㈜가 최대 주주여서 이사회에서 합병안이 무난히 의결될 것으로 보인다.SK그룹은 정유·화학 등 화석연료 기반의SK이노베이션과LNG(액화천연가스)·수소·재생에너지가 주력인SKE&S를 합병해 시너지를 내겠다는 것이다. 특히SK이노베이션의 재무 구조를 개선해 전기차 캐즘(일시적 수요 정체)으로 어려움을 겪는 배터리 전문 자회사SK온의 자금난을 해결하고, 향후 투자에 나설 것으로 알려졌다.SK온과SKE&S의 자회사끼리 추가 합병 가능성도 제기된다. 2021년 10월 출범한SK온은 올해 1분기까지 10분기 연속 적자 상태다."
2024-08-01,"SK이노베이션, 2분기 영업손실 458억…""고정비 부담 여파""","SK이노베이션이 입주해있는 서울 종로구 서린동SK본사 모습/뉴스1SK이노베이션이 2분기 연결 기준 매출액 18조7991억원, 영업손실 458억원을 기록했다고 1일 밝혔다. 석유사업의 정제마진 약세와 배터리사업 가동률 하락에 따른 고정비 부담이 커졌기 때문으로 분석된다.SK이노는 이날 개최한 2024년 2분기 실적발표에서 2024년 상반기 매출액 37조 6542억원, 영업이익 5789억원을 기록했다고 밝혔다. 지난해 같은 기간 대비 매출액은 2159억원 감소했지만 영업이익은 3107억원 증가했다.2분기는 매출액 18조 7991억원, 영업손실 458억원을 기록했다. 전 분기 대비 매출액은 560억원, 영업이익은 6705억원 감소했다. 전년 동기 대비로는 매출액은 719억원, 영업이익은 610억원 증가했다.구체적으로 석유사업은 고금리 장기화 우려 등 비우호적 거시 경제 환경과 중국 경기회복 지연 영향 등으로 정제마진이 하락하며 전 분기 대비 4469억원 감소한 1442억원의 영업이익을 기록했다. 배터리사업은 미국 지역 판매량이 회복되고 있지만 공장 가동률이 하락하고 헝가리 신규 공장 가동이 시작되면서 초기 비용이 늘어 영업손실 4601억원을 나타냈다.SK이노는 “견조한 석유개발사업 광구 생산 실적에도 불구하고, 석유사업의 정제마진 약세 및 배터리사업 가동률 하락에 따른 고정비 부담으로 2분기 영업이익이 감소했다”며 “하반기에는 정제마진이 회복세를 보이고, 배터리사업 역시 전기차 신차 라인업 확대로 전방 수요 증가가 예상돼 실적이 개선될 것으로 전망된다”고 설명했다."
2024-06-20,[단독] SK이노베이션·E&S 합병… 100조 에너지 기업 나온다,"합병하는SK이노베이션과SkE&S.SK그룹의 에너지 계열사인SK이노베이션과SKE&S가 합병해 자산 100조원이 넘는 초대형 에너지 전문 기업으로 재탄생한다. 106조원에 달하는 합병 회사의 자산총액은 한화그룹에 이어 재계 순위 8위에 해당하는 규모다.19일 재계에 따르면SK그룹은 오는 28~29일 그룹 경영진과 주요 계열사 최고경영자(CEO) 등이 참석하는 경영전략회의에서 두 회사의 합병 계획을 최종 승인할 예정이다. 이어 양사는 다음 달 중순 각각 이사회와 임시주총을 소집해 합병을 결의하고, 후속 절차를 진행할 것으로 알려졌다.SK이노베이션과SKE&S는SK그룹 지주사인SK㈜가 각각 36.2%, 90%를 보유한 중간지주사다.유공으로 출발한SK이노베이션은 정유·석유화학·윤활유 등 석유를 기반으로 한 국내 최대 민간 에너지 기업이다. 자회사SK에너지 등을 중심으로 지난해 매출 77조원, 영업이익 1조9000억원을 기록했다.SKE&S는LNG(액화천연가스) 발전을 비롯해 태양광·풍력·수소 등에서 지난해 매출 11조원, 영업이익 1조3000억원을 거뒀다. 이번 합병으로 석유·가스 등 화석연료에서 신재생에너지까지 아우르는 초대형 에너지 기업이 탄생하게 됐다.양사의 자회사 간 합병도 추가로 이뤄질 것으로 알려졌다.SK이노베이션의 전기차 배터리 전문 자회사인SK온에SKE&S의 발전 자회사와LNG판매사업을 붙이는 방안이 거론된다.SK그룹이 주력인SK이노베이션과 알짜 계열사로 꼽히는SKE&S를 합병하기로 한 데에는 에너지 전문기업의 대형화라는 시너지 효과 외에 차세대 먹거리인 배터리 기업SK온의 재무구조 부실이 주요 이유로 꼽힌다. 그룹의 미래 성장동력인SK온이 올 1분기 4000억원대 적자를 기록하며 설립 후 10분기 연속 적자에서 벗어나지 못하자 그룹의 에너지 사업을 통합해 돌파구 찾기에 나섰다는 것이다.그래픽=양진경◇대규모 투자 필요한 배터리 사업…자금난 봉착SK그룹은 2021년 10월SK이노베이션의 배터리 부문을 떼어내 배터리 전문 자회사인SK온을 설립했다. 미래 차세대 성장동력이 될 전기차 배터리 시장을 선점하고, 대규모 투자를 뒷받침하기 위한 결정이었다. 하지만 실적 회복이 늦어지는 가운데 ‘전기차 캐즘(일시적 수요 정체)’까지 겹치면서 외부 투자 유치와 차입을 통한 자금 확보에도 빨간불이 켜졌고, 계열사 간 합병이라는 초강수를 내렸다는 분석이 나온다.SK온은 지난해 연간 적자가 7481억원을 나타낸 데 이어 올 1분기에도 적자가 4732억원에 달했다. 적자가 쌓이는 중에도 투자를 포기할 수 없다 보니 빚은 늘었고, 1분기 기준 순차입금은 15조원을 웃돈다. 최근 3년간 20조원 이상을 설비투자에 쏟아부었지만, 올해만 추가로 7조원 넘게 필요할 전망이다.SKE&S가 지주사의 자금줄 역할을 하는 알짜 계열사라는 점이 합병에 걸림돌로 꼽혔지만, 더이상SK온을 이대로 둘 수 없다는 판단이 깜짝 합병으로 이어졌다는 풀이가 나온다.◇기존 주주 반발은 변수…후속 합병 이어질 듯상장사인SK이노베이션의 주가순자산비율(PBR)이 0.44배로, 유가증권시장 평균(0.9배)에 크게 못 미치는 저평가 상태라는 점은 변수로 꼽힌다. 해마다 조(兆) 단위 이익을 내는SKE&S와 합병하며SK이노베이션 주주들의 지분율이 크게 낮아질 경우 소액주주들의 반발이 있을 수 있다는 것이다. 다만 중장기적으로 알짜 회사인SKE&S와 합병을 통해 회사 가치가 커질 가능성이 큰 데다 두 회사 모두SK㈜가 대주주라는 점에서 합병이 가능할 것이란 관측이 많다.SK그룹은 우선 중간지주사인SK이노베이션과SKE&S의 합병을 추진한 뒤, 곧이어SK온에SKE&S의 자회사인 나래에너지서비스 등 발전회사와LNG중개·판매업체인 프리즘에너지 등을 합병할 것으로 알려졌다.SK이노베이션의 재무구조를 개선함으로써 자금 확보에 숨통을 트이게 함과 동시에SK온이 혼자서도 흑자를 내는 구조를 만들어 기업공개(IPO)까지 노린다는 전략으로 풀이된다.SK그룹은 앞서SK온과 윤활유 자회사인SK엔무브, 석유제품 수출·중개 업체인SK트레이딩인터내셔널 등SK이노베이션 자회사 간 합병도 검토했으나 재무구조 개선 효과가 작은 데다,SK엔무브의 기존 재무적 투자자(FI)가 지나치게 비싼 값을 부르자SKE&S와 합병으로 방향을 튼 것으로 알려졌다.업계 관계자는 “최근 인사에서 자리를 옮긴 최재원SK이노베이션 수석부회장과 유정준SK온 부회장 모두SKE&S 대표이사를 지낸 경영자들”이라며 “최재원SK이노베이션 수석부회장이 전체 그림을 보는 가운데, 유정준SK온 부회장이 합병과 통합을 주도할 것으로 보인다”고 말했다."
2024-03-19,"S&P글로벌, SK이노베이션 신용등급 ‘BBB-’→'BB+’ 하향 조정","“전기차 수요 둔화와 대규모 설비투자로 사업 부담 커”글로벌 신용평가사 S&P글로벌이SK이노베이션과SK지오센트릭의 신용도를 강등했다. 전기차 배터리 수요가 둔화되면서 배터리 시장이 위축되고 있는 와중에 대규모 설비투자(CAPEX) 부담을 지고 있다는 분석이다.S&P는SK이노베이션의 신용등급을 ‘BBB-’에서 ‘BB+’로 하향 조정한다고 19일 밝혔다. 2020년 11월 ‘BBB’에서 ‘BBB-’로 신용등급이 떨어진 데 이어 투기 등급인 ‘BB+’까지 강등됐다. 등급전망은 ‘안정적’을 유지했다.S&P글로벌은 “SK이노의 차입 부담이 예상보다 더 크고 오래 지속될 수 있을 것”이라며 “최근 전기차 배터리 수요 둔화와 예상을 넘어서는 올해 설비투자 규모를 고려할 때SK이노의 상각 전 영업이익(EBITDA) 대비 조정 차입금 비율은 내년 말까지 4배 이하로 개선되기는 힘들어 보인다”고 분석했다.재무 부담 확대에 대한 우려도 여전히 크다. S&P는 “SK이노의 재무 위험도를 ‘상당한(significant)’ 수준에서 ‘공격적(aggressive)’ 수준으로 조정했다”고 말했다.S&P글로벌은SK이노의 자회사인SK지오센트릭도SK이노의 신용도 하락을 반영해 신용등급을 ‘BBB-’에서 투기 등급인 ‘BB+’로 내렸다.SK이노는 이에 대해 “배터리 사업 투자로 인한 재무적 부담 및 최근 동 사업 시황 악화 영향으로 신용등급이 하락했으나, 미래 성장 사업인 배터리 사업은 특성상 사업초기 대규모 투자가 수반되고 있으며 그에 따른 일시적인 상황으로 볼 수 있다”며 “빠른 시일내에 신용등급을 회복할 수 있도록 재무구조 관리를 지속해 나갈 계획”이라고 했다. 이어 “SK이노의 경우 지난해 견조한 이익 창출과 유상증자에 따른 자본 증가 영향을 받아 부채비율이 하락하는 등 재무 건전성을 유지하고 있다”며 “SK온 역시 올 하반기부터는 수익성이 개선될 것으로 예정된다”고 했다."
2023-12-07,"SK이노베이션, 총괄사장에 박상규 사장 선임","SK에너지,SK온 등 주요자회사도 교체(왼쪽부터)박상규SK이노베이션 총괄 사장, 오종훈SK에너지 사장, 이석희SK온 사장./SK이노베이션 제공SK이노베이션이 7일 박상규SK엔무브 사장을 신임 총괄사장으로 선임하고, 주요 자회사 사장을 모두 교체하는 경영진·임원 인사를 시행했다.신임 박 총괄사장은 1987년SK이노베이션 전신인 유공에 입사해SK에너지 소매전략팀장,SK㈜ 투자회사관리실 임원,SK㈜ 리테일마케팅사업부장,SK네트웍스 호텔총괄 등 주요 부서를 거쳤으며, 2017년부터 작년까지SK네트웍스 사장, 올해SK엔무브 사장을 역임했다.SK에너지 신임 사장에는 오종훈SK에너지 P&M(Platform&Marketing)CIC(CompanyInCompany) 대표가 선임됐으며,SK온 사장은 이석희 전SK하이닉스 대표이사 사장이 신규 선임됐다. 오 사장은SK에너지BM혁신본부장 등을 거쳤으며, 이 사장은 인텔,KAIST전기 및 전자공학과 교수를 거쳐SK하이닉스DRAM개발부문장, 사업총괄(COO) 등을 지냈다.SK엔무브 신임 사장에는 김원기SK엔무브Green성장본부장이 발탁됐으며,SK트레이딩인터내셔널 신임 사장에는 장호준SK에너지Solution&Platform추진단장이 내정됐다.SK인천석유화학 신임 사장에는 노상구SK에너지 전략운영본부장이 선임됐다.SK이노베이션 관계자는 “이번 조직개편을 통해SK이노베이션은 중간지주회사로서 정예화된 조직을 구성, 매니지먼트 기능을 강화할 계획”이라며 “이를 위해 전략, 성과, 재무 등 주요 경영관리 기능을 통합한 전략ㆍ재무 부문을 만들고 전문성을 높인다”고 말했다."
