date,title,content
2024-12-26,"대법, ‘가습기 살균제 사건’ SK케미칼·애경 유죄 원심 파기","가습기 살균제 사건으로 기소된SK케미칼과 애경산업 전 대표에게 금고형을 선고한 하급심 판결이 대법원에서 뒤집혔다.지난 1월 11일 오후 서울 서초구 서울고등법원 앞에서 가습기살균제 피해자와 시민사회단체 관계자들이 가습기살균제SK·애경 등 항소심 선고공판을 마치고 기자회견을 하고 있다. /뉴스1대법원 1부(주심 서경환 대법관)는 26일 업무상 과실치사 등 혐의로 기소된 홍지호 전SK케미칼 대표와 안용찬 전 애경산업 대표에게 각각 금고 4년을 선고한 원심 판결을 깨고 사건을 서울고법으로 돌려보냈다.이들은 2002~2011년 인체 유해 물질인 클로로메틸아이소티아졸리논(CMIT)·메틸아이소티아졸리논(MIT)이 첨가된 가습기 살균제 ‘가습기 메이트’ 등을 제조·판매한 혐의로 2019년 7월 기소됐다. 이들이 판매한 가습기 살균제 사용자 중 98명이 폐 질환과 천식 등을 앓았고, 그중 12명이 숨졌다.1심은 피고인 전부에게 무죄를 선고했다.CMIT·MIT가 폐 질환과 천식을 유발한다는 사실이 입증됐다고 보기 어렵다고 봤다. 1심은 “가습기 살균제의 위험성을 확인하기 위해 동물 실험과 역학 조사 등이 이뤄졌으나 폐 질환과 천식에 영향을 줬다는 결론을 도출하기에는 부족하다”고 했다.그러나 2심은 이를 뒤집고 홍 전 대표와 안 전 대표에게 각각 금고 4년을 선고했다. 피고인들의 업무상 과실에 따라 피해가 발생했다는 인과성을 인정한 것이다.2심은 “CMIT·MIT성분과 폐 질환, 천식과의 일반적 인과관계를 뒷받침하는 과학적 연구들이 존재한다”면서 “제품 출시 전 안전성 검사를 수행했어야 함에도 이를 이행하지 않았을 뿐 아니라 제품 출시 후 요구되는 관찰 의무를 이행하지 않아 그 피해를 확대했다”고 설명했다.대법원은 원심 판결을 다시 한번 뒤집었다. 대법원은 “이 사건 피고인들이 관련 사건 피고인들과 서로 상대방의 가습기살균제의 개발 출시를 인식하였다거나 그에 관해 서로 의사를 전했음을 인정할 사정도 발견할 수 없다”고 밝혔다."
2024-12-05,"대외 불확실성 대응… SK, ‘미국·중국통’에 힘실어 [명단]","SK그룹 인사SK그룹이 5일 정기 임원 인사와 조직개편을 단행했다. 주요CEO(최고경영자)를 유임하며 ‘안정 속 변화’를 꾀했다. 사장 승진은 2명으로 작년(6명)보다 줄었고, 부회장 승진도 없었다. 신규 임원 선임은 75명이었다. 2023년도 신규 선임(145명)의 반 토막 수준으로, 전년(82명)에 이어 임원 감축, 비주력 계열사 매각 등을 동반한 그룹의 대대적인 ‘리밸런싱(조직개편)’ 기조를 이어갔다.SK는 연중 수시 인사로 이미 5명의CEO를 교체한 상태다.이번 인사는 대외 불확실성 확대에 발맞춰 미국, 중국 등 글로벌 대관(對官) 라인에 힘을 실은 것이 특징이다.SK는 부회장단을 축소하면서도, 기존에 그룹의 중국과 미국 사업을 각각 총괄했던 서진우 부회장과 유정준 부회장을 유임시키며 글로벌 시장 대응에 힘을 실었다. 또 그룹의 북미(北美) 대관 총괄에 미국 무역대표부(USTR) 비서실장 출신인 폴 딜레이니 부사장을 선임했다.SK이노베이션은 미국 에너지부(DOE) 산하 연구기관 출신의 김필석 박사를 최고기술책임자(CTO) 겸 환경과학기술원장으로 영입했다.이와 함께 그룹 계열사 전반의 국내 대관 담당 임원들을 대거 교체한 것도 주목받았다. 올해 그룹 및 최태원 회장 등과 관련한 일련의 사태 대응에 대한 책임을 대관 조직에 물은 것으로 해석됐다.손현호 디스커버리 대표사장 승진은 2명으로 최소화했다.SK디스커버리 대표이사 사장에 ‘재무통’인 손현호SK수펙스추구협의회 전략지원팀장(부사장)이 승진, 발령됐다.SK하이닉스에서도 낸드플래시 전문가인 안현 부사장이 사장 승진과 함께 ‘개발총괄’로 선임됐다. 신규 임원(75명) 승진 규모도 줄인 가운데 3분의 2는 사업, 연구개발(R&D), 생산 등 현장과 기술 분야에 특화된 인물로 채웠다고SK는 설명했다.안현 하이닉스 사장SK는 이번 인사에서SK하이닉스 미래기술연구원 R&D 실장을 지낸 피승호 부사장을SK온 제조총괄로 선임한 것을 비롯해SK실트론,SK㈜ C&C 등에도SK하이닉스 출신 인사를 전면 배치했다. 삼성이 1등 경쟁력 확산을 이유로 삼성전자 출신을 계열사에 전면 배치하는 것과 비슷한 행보다.그룹 지주사의 재무를 총괄하는 ‘핵심 보직’인SK㈜ 재무부문장에SK케미칼의 김기동 경영지원본부장(부사장)이 선임된 것도 주목된다. 최태원 회장이 총괄하는SK㈜ 계열사의CFO가 주로 가던 자리에, 최창원SK수펙스추구협의회 의장이 총괄하는SK디스커버리 계열사 임원이 선임되며 최 의장 라인이 보강됐다는 평가가 나온다.인공지능(AI)을 전면으로 내세운 조직개편도 단행했다.SK㈜는CEO직속으로 ‘AI혁신담당’ 조직을 만들었고, 그룹 차원의AIR&D센터도 신설한다. 최태원 회장의 장녀 최윤정SK바이오팜 사업개발본부장은SK㈜에 신설된 ‘성장 지원’ 담당을 겸직하며, 미래 성장 동력 발굴에 나선다. 이번 인사에서 조대식, 김준, 박정호 부회장은 고문으로 물러났다.▲SK이노베이션▷부사장 강귀은 조상현 이상윤 ▲SK이노베이션 E&S▷부사장 오승용 허규범 ▲SK에너지▷부사장 한희민 최민석 송성호 신지선 ▲SK온▷부사장 박세훈 정회선 ▲SK온 트레이딩인터내셔널▷부사장 장용수 ▲SK엔무브▷부사장 김세호 ▲SK아이이테크놀로지▷부사장 김준형 김기범 ▲SK인천석유화학▷부사장 윤영호 ▲SK어스온▷부사장 노정용 ▲SK엔텀▷부사장 양성훈 ▲SK하이닉스▷부사장 강춘호 권로미 권성무 김남호 김성래 김성순 김재범 김정우 김창현 김태환 류도희 박원성 박현수 손승형 손영우 심재성 엄강용 엄재광 이두복 이상훈 이송만 이승호 이승환 이정숙 장태수 정춘석 주석진 최상균 최준용 최진택 한권환 황경호 황정태 ▲SK텔레콤▷부사장 강은경 류탁기 조정민 ▲SK에코플랜트▷부사장 김경수 배상빈 이주한 ▲SK실트론▷부사장 맹운영 신동화 위상국 한기윤 ▲SK네트웍스▷부사장 김범 ▲SK스퀘어▷부사장 최수진 정진명 ▲SKC&C▷부사장 오은석 이현준 안상만 허민회 박종훈 김민환 고재웅 ▲SK㈜머티리얼즈▷부사장 김화랑 안성일 ▲SK트리켐▷부사장 박경택 ▲SK머티리얼즈 퍼포먼스▷부사장 이병하 이근수 ▲SK바이오팜▷부사장 조형래 ▲SK디스커버리▷부사장 진효남 ▲SK플라즈마▷부사장 허지호 ▲SK케미칼▷부사장 윤원재 ▲SK가스▷부사장 고우상 ▲SKC▷부사장 우용하 ▲SK이터닉스▷부사장 박기석 ▲mySUNI▷부사장 은현지"
2024-08-28,폐현수막 첫 재활용 프로젝트 SK케미칼·군산시 등 협약체결,"SK케미칼이 버려진 현수막을 새 현수막으로 재사용하는 생태계 구축을 위해 전북 군산시, 친환경 제품 제조사 리벨롭과 27일 업무협약을 체결했다. 군산시가 관내에서 현수막을 수거하면,SK케미칼이 재활용 페트(PET)로 만들고, 리벨롭은 이 소재로 현수막 원단 등 다양한 제품을 생산하는 프로젝트다. 특히 화학적 재활용 기술로 폐현수막을 섬유로 재탄생시키는 프로젝트는 국내 처음이다.현수막은 폐기 처리가 쉽지 않아 사회적 문제로 지적돼왔다. 매립하면 분해가 잘 되지 않고, 소각하면 다량의 온실가스와 발암 물질이 배출된다. 천도 문제지만 인쇄된 잉크를 태우는 과정에서 중금속이 배출돼 재활용‧소각 전문 업체들도 현수막 받기를 꺼렸다. 환경부에 따르면, 지난해 발생한 폐현수막 규모는 6130t으로 이 가운데 재활용되는 것은 29.6%에 불과했다.SK케미칼은 해중합 기술을 활용해 폐현수막을 순수한 원료 상태로 되돌려 플라스틱으로 만들 계획이다. 플라스틱을 단순히 녹여서 새 제품을 만드는 물리적 재활용 방식에 비해, 반복적인 재활용이 가능하다."
2024-12-27,"‘가습기 살균제’ 유죄 판결, 대법서 뒤집혔다","대법, 일부 무죄로 사건 돌려보내인체에 해로운 가습기 살균제를 제조‧판매해 사망 12명을 포함해 98명의 사상자를 낸 혐의로 2심에서 유죄가 선고된SK케미칼과 애경산업 전직 대표들의 과실치사 등 사건이 26일 대법원에서 뒤집혔다.이날 대법원 1부(주심 서경환 대법관)는 업무상 과실치사 등의 혐의를 받는 홍지호 전SK케미칼 대표와 안용찬 전 애경산업 대표에게 각각 금고 4년을 선고한 원심을 파기하고 사건을 서울고법으로 돌려보냈다.이들은 2002년부터 2011년까지 인체 유해 물질인 클로로메틸아이소티아졸리논(CMIT)과 메틸아이소티아졸리논(MIT)이 첨가된 가습기 살균제 ‘가습기 메이트’를 제조‧판매한 혐의로 2019년 5~6월 재판에 넘겨졌다.검찰은 가습기 메이트 사용자 98명이 폐 질환과 천식 등을 앓았고, 이 중 12명이 숨졌다고 밝혔다. 98명 중 94명은 또 다른 유해성 물질인 폴리헥사메틸렌구아니딘(PHMG)‧염화에톡시에틸구아니딘(PGH)이 들어간 옥시레킷벤키저(옥시) 등 다른 가습기 살균제도 사용한 ‘복합 사용 피해자’였다.검찰은 홍 전 대표와 안 전 대표 등 회사 임직원이 신현우 전 옥시 대표 등과 공범 관계라고 봤다. 신 전 대표는 2018년 1월 징역 6년(업무상 과실치사 등)이 확정됐다.2021년 1월 1심은 홍 전 대표와 안 전 대표에게 무죄를 선고했다.CMIT나MIT가 피해자들의 질병이나 사망을 유발했다고 보기 어렵다고 봤다. 반면 2심은 홍·안 전 대표가 신 전 대표와 공모했다는 검찰 측 주장을 받아들여 지난 1월 두 사람에게 유죄를 선고했다. 복합 사용자들이CMIT·MIT로 피해를 봤다고 볼 수 있고, 이들이 옥시 제품(PHMG·PGH)을 더 많이 사용했더라도 인과 관계는 달라지지 않는다고 봤다.그러나 대법원은 신 전 대표와 홍·안 전 대표의 공모 관계를 인정하지 않았다. 재판부는 “서로 상대방 제품의 개발과 출시를 (미리) 인식했거나 (알았거나) 연락했다고 볼 수 없고, 주원료 등이 전혀 다른 두 제품이 상대방 제품을 활용 또는 응용해 만들어졌다고 보기도 어렵다”고 했다.이에 따라 파기환송심은 대법원 선고 취지에 따라 복합 사용자들이 정확히 어떤 제품이나 유해물질 때문에 피해를 봤는지 따져볼 것으로 보인다.가습기 살균제 사태는 2011년 4월 첫 사망자가 발생하며 불거졌다. 검찰은 1차 수사로 2016년 신 전 대표 등을 구속 기소했고, 3년 뒤 2차 수사로 홍 전 대표와 안 전 대표 등을 재판에 넘겼다. 이날 대법원 파기환송으로 가습기 살균제 사태 형사 재판은 빨라야 내년쯤 확정될 것으로 보인다.가습기 살균제 제조사의 민사상 책임과 국가의 배상 책임을 인정한 법원 판단은 앞서 내려졌다. 대법원은 작년 11월 옥시 등 가습기 살균제 제조·판매사가 피해자에게 위자료 500만원을 지급하라고 판결했고, 올 6월엔 국가가 가습기 살균제 피해자들에게 각각 300만~500만원을 지급하라고 판결했다."
2024-12-24,"‘세계 3위 경쟁력’ 한국, 매출 1조원 신약에 도전","25년 만에 모두 38종 개발지난 12일 비마약성 진통제 ‘어나프라주’가 식품의약품안전처 허가를 받으면서 국내 38호 신약이 등장했다. 이로써 1999년SK케미칼의 1호 국산 신약 ‘선플라주’가 탄생한 뒤 25년 동안 국산 신약이 총 38종 나왔다.국산 신약은 국내에서 신물질 발굴에서 임상시험까지 연구·개발(R&D)이 이뤄진 신약을 말한다. 올해는 어나프라주와 자큐보정이 국산 신약 허가를 받았고, 앞서 31호 신약으로 허가받은 유한양행의 폐암 치료제 렉라자는 지난 8월 미 식품의약국(FDA) 허가를 받아 화제가 됐다.내년 첫 신약 후보는올해는 국산 신약 2종이 나왔다. 지난 4월 식약처는 제일약품의 신약 자회사 온코닉테라퓨틱스가 개발한 위식도 역류 질환 치료제 ‘자큐보정’을 품목 허가했다. 37호 신약이다. 자큐보는 ‘3세대 위장약’으로도 불리는 ‘칼륨 경쟁적 위산 분비 억제제(P-CAB)’다. 칼륨의 작용을 방해해 위산 분비를 막는 방식이다. 기존 치료제 대비 약효가 길고 편의성이 좋아 시장점유율이 빠르게 늘고 있다. 앞서HK이노엔의 케이캡정(30호), 펙수클루정(34호)도P-CAB으로 신약 허가를 받았다. 이처럼 제3세대 위장약을 출시한 제약사들은 시장점유율을 두고 경쟁하는 한편,P-CAB시장을 빠르게 키워나갈 전망이다.지난 12일 38호 신약으로 식약처 허가를 받은 비보존제약의 ‘어나프라주(성분명 오피란제린)’는 수술 후 중등도 이상의 급성 통증 조절을 위해 사용하는 주사제다. 기존 마약성 또는 비스테로이드성 소염 진통제와는 다른 기전을 가진 새로운 치료제다. 기존에 중증도 이상 통증에 사용할 수 있는 약은 마약성 진통제(오피오이드 계열)뿐이었다. 펜타닐 등 오피오이드 계열 진통제는 강한 중독성으로 인해 오남용과 불법 유통 등 사례가 늘면서 미국에서는 심각한 사회문제를 초래했다. 비보존제약은 “신약 ‘어나프라주’가 진통제 대비 부작용이 낮고 중독 위험이 없으면서 빠른 진통 효과를 보인다”고 설명했다.그래픽=이진영내년을 기대하는 39호 신약 후보로는 동아에스티의 과민성 방광 치료제DA-8010과 임상 3상 진행 중인LG화학의 통풍 치료 신약 티굴릭소스타트가 꼽힌다.DA-8010은 지난 5월 국내 임상 3상을 마무리했지만 통계적 유의성을 확보하지는 못했다. 동아에스티는 개발 중단을 확정하지는 않고 추가적인 평가 후 개발 방향을 결정한다는 계획이다.LG화학의 티굴릭소스타트는 임상 3상 2건 중 1건을 성공했고, 나머지 1건의 임상시험을 진행 중이다. 통풍 원인인 요산을 생성하는 효소 ‘잔틴 옥시다제’의 발현을 억제하는 약물이다.올라간 경쟁력, 절차도 개선업계에선 국내 기업들의 신약 경쟁력이 일정 수준까지 올라온 것으로 본다. 국가임상시험지원재단이 제약 정보 기업 사이트라인(Citeline) 통계를 인용한 결과를 보면, 국내 제약·바이오 기업은 미국(1만1200개), 중국(6098개)에 이어 셋째로 많은 3233개의 파이프 라인(R&D 중인 신약 개발 프로젝트)을 보유하고 있다. 지난해 파이프 라인은 2917개로 미국·중국·영국에 이은 4위였는데, 1년 만에 파이프 라인을 약 11% 늘리며 한 계단 올라선 것이다. 지난해 국내 제약사의 R&D 비용은 약 3조2000억원으로 1년 사이 약 32％ 증가하기도 했다.신약 R&D가 늘면서 신약 허가 기간도 대폭 짧아질 전망이다. 식약처는 내년 신약 품목 허가 수수료를 현재 883만원에서 4억1000만원으로 현실화하는 대신, 심사 인력을 늘리고 절차를 효율화해 신약 허가에 걸리는 기간을 420일에서 295일로 줄이겠다고 밝혔다. 제약 업계 관계자는 “국내에서도 렉라자를 포함해 글로벌 시장에서 두각을 나타낼 수 있는 신약들이 등장하고 있다”며 “기업 투자와 함께 정부 차원의 R&D 지원, 규제 개선 등이 동반된다면 1조원 이상 매출을 내는 국산 ‘블록버스터’ 신약도 꿈이 아닐 것”이라고 했다."
2023-11-06,"SK케미칼, 3분기 영업이익 834억원…“제약사업 선방”","SK케미칼이 3분기 실적을 발표했다. 사진은SK케미칼의 코폴리에스터 화장품 용기./SK케미칼 제공SK케미칼이 3분기 별도기준 영업이익 239억 원으로 전분기 대비 21.3% 증가한 실적을 기록했다고 6일 공시했다. 매출액은 3.5% 감소한 2983억 원으로 집계됐다.SK케미칼은 그린케미칼 사업 부문의 3분기 매출이 1990억 원으로 전분기 대비 6% 감소했으며, 영업이익은 174억 원으로 전분기 대비 43.5% 감소했다고 밝혔다. 글로벌 수요 부진으로 인한 판매량 감소와 약 두 달 간 진행된 울산공장 정기보수 공사 비용으로 인해 영업이익이 감소했기 때문이다.라이프 사이언스 부문의 제약 사업 3분기 매출은 978억 원, 영업이익은 115억 원을 기록했다. 기존 제품인 천연물 골관절염 치료제와 포트폴리오 확대를 위해 도입한 제품의 판매 증가로 매출과 영업 이익은 전분기 대비 각각 13.3%, 127.2% 증가했다.김기동SK케미칼 경영지원본부장은 “4분기에도 고유가가 예상되는 가운데 사업 환경의 불확실성이 높지만, 고부가제품 중심의 포트폴리오를 기반으로 실적을 개선하고 제약 사업의 안정적인 판매로 견조세를 이어 나갈 것”이라고 했다."
2024-05-28,‘가습기 살균제 허위 광고’ SK디스커버리 법인 등 기소,"독성 물질을 함유한 가습기살균제를 인체에 무해하다고 거짓·과장 광고한 혐의를 받는 홍지호 전SK케미칼(현SK디스커버리) 대표와SK디스커버리 법인이 28일 기소됐다.서울중앙지검 형사2부(부장 손정현)는 이날 홍 전 대표와SK디스커버리를 표시광고법 위반 혐의로 기소했다고 밝혔다.홍지호 전SK케미칼 대표. /조선일보DBSK케미칼은 지난 2002~2005년 애경과 공동으로 개발한 ‘홈크리닉 가습기메이트’를 판매하면서 두 차례에 걸쳐 주원료인CMIT/MIT성분이 마치 인체에 무해하고 영국의 흡입독성시험 전문기관으로부터 저독성을 인정받은 것처럼 애경에 허위 자료를 제공해 거짓·과장 광고에 가담한 혐의를 받는다.CMIT/MIT성분은 폐질환을 일으키거나 악화시킬 수 있고, 실제로 가습기메이트를 사용한 여러 소비자가 폐 질환 등으로 고통을 겪었다.검찰은 지난 2022년 10월 공정거래위원회의 고발을 토대로 사건 수사에 착수해 애경산업과 안용찬 전 대표이사를 먼저 불구속 기소했다. 애경산업이 기소되면서SK디스커버리에 대한 공소 시효는 정지됐다.한편 홍 전 대표와 안 전 대표는 인체에 유해한 가습기 살균제를 판매한 혐의로 먼저 기소돼 지난 1월 2심에서 각각 금고 4년형을 선고받았다. 함께 기소된 관계사 직원들도 전원 유죄를 선고받았다. 이 사건은 현재 상고심이 진행 중이다.검찰은 “이 사건은 제품의 안전성이 검증되지 않았음에도 홍보 효과를 부각시킬 목적으로 인터넷 기사 형식을 빌려 잘못된 정보를 제공함으로써 소비자들의 생명·신체를 위해에 노출시킨 중대한 사안”이라면서 “가습기 살균제 피해자들의 아픔에 깊이 공감하며, 공소 유지에 최선을 다하겠다”고 했다."
2024-06-01,상속 지분·경영권 최태원에 양보했던 SK家 형제들 ‘난감’,"26년前 힘 모아 경영권 지켜최태원SK회장, 최재원SK수석부회장, 최창원SK수펙스추구협의회 의장. /조선일보DB지난 30일 서울고법이 최태원SK회장과 노소영 나비관장에 65대35의 재산 분할 판결을 내리면서,SK그룹 경영권을 지키기 위해 26년 전 최태원 회장에게 경영권을 양보했던 최창원SK수펙스추구협의회 의장, 상속 지분을 포기했던 최재원SK수석부회장 등 그의 형제들이 난감한 상황에 놓였다. 지분 구조가 취약했던SK그룹 경영을 안정화하기 위해 최태원 회장에게 지분과 경영권을 몰아줬는데, 이번 재산 분할 판결로 그룹 경영권이 흔들릴 수 있기 때문이다.1998년SK그룹은 고 최종현SK회장이 유언 없이 갑작스럽게 작고하자 경영권 분쟁에 휩싸일 상황에 놓였다. 이에SK창업주인 고 최종건 회장의 아들들(최윤원·최신원·최창원)과 최종현 회장의 아들들(최태원·최재원)이 가족회의를 열었다. 최종건 창업주의 장남인 고 최윤원SK케미칼 회장이 “태원이가 우리 중에 제일 뛰어나니 밀어주자”고 했고, 만장일치로 최 회장이 후계자가 됐다. 이어 최태원의 동생인 최재원 수석부회장과 최기원SK행복나눔재단 이사장이SK주요 지분 상속을 포기했고, 그 덕분에 최 회장은 당시 지주사 역할을 하던SK상사 지분 2.85%를 모두 상속받아 대주주 및 회장에 오를 수 있었다. 이후 최 회장은 지분을 매입하거나 인수·합병을 활용하는 방식으로 2015년SK㈜ 지분을 23.4%를 보유하게 됐다. 재계 관계자는 “형제 경영으로 성장한SK가문은 경영권은 내 것이 아니라 가족 전체의 것이라는 생각이 강하다”며 “이번 판결로 경영권이 위협받는 상황이 걱정스러울 것”이라고 말했다.2018년 최 회장은 “SK가 지금의 모습으로 있게 해준 가족들에게 감사하다”면서 1조원 상당의SK㈜ 주식 5.11%를 친족 23명에게 나눠줬다. 하지만 2심 재판부는 이 주식들이 노 관장과의 공동 재산이라며 재산분할 대상에 포함시켰다. 이에 따라 최 회장은 이미 가족에게 증여한SK지분에 대해서도 자신이 추가로 돈을 들여 노 관장에게 35% 상당을 나눠줘야 할 상황이다. 재계 관계자는 “경영권 안정을 위해 자신의 권리를 양보한 최 회장 형제들 입장에선 당혹스러운 상황”이라고 했다."
2024-05-31,최회장 실트론株 최대 1兆 평가... SK㈜ 주식 매각은 최후의 보루,"서울 종로구SK그룹 본사 빌딩의 모습. /뉴스130일 오후 2시 시작한 최태원SK그룹 회장과 노소영 아트센터 나비 관장의 이혼 소송 2심 재판. 최종 선고 결과를 낭독하기 전 판사가 “SK주식도 재산 분할 대상”이라고 밝히자,SK그룹 지주회사SK㈜의 주가가 급등하기 시작했다. 이전까지 잠잠했던 주가는 장 마감(오후 3시 30분)까지 약 1시간 사이 9.26% 급등해 15만8100원을 기록했다. 이날 법원이 1조3808억원이라는 천문학적 금액을 재산 분할하라고 판결하면서, 재계 2위 대기업SK그룹의 경영권 분쟁 가능성이 대두됐기 때문이다.노 관장은 2심 재판에서 ‘2조원 현금 재산 분할’을 주장했는데, 상당 부분이 인정됐다. 이 판결이 확정될 경우 최 회장은 보유한SK㈜ 주식까지 팔아야 할 가능성이 크다. 계열사 219개를 보유한SK그룹은 지주회사인SK㈜와SK디스커버리가 중간지주회사 또는 핵심 자회사를 통해 나머지 계열사를 지배하는 수직 구조 형태다.SK텔레콤,SK이노베이션,SK스퀘어 등 다수 핵심 계열사의 최대주주인SK㈜가 지배 구조의 핵심이다. 최 회장이 17.73%(약 2조원)로 최대 주주다.그래픽=김성규앞서 노 관장이 ‘주식 분할’이 아니라 ‘현금 분할’을 요구했기 때문에 원칙은 1조3808억원 현금 지급이다. 양측 합의에 따라 주식 현물 양도를 논의할 가능성도 일부 남아 있지만, 최 회장은 약 1조원 현금화 방안을 마련해야 한다. 최 회장 개인 자산의 대부분을 차지하는SK㈜ 지분 17.73%는 이날 종가 기준 약 2조514억원이다.SK케미칼(3.21%),SK디스커버리(3.11%) 등 지분도 일부 보유하고 있지만, 약 40억원대로 크지 않다. 작년 기준SK그룹에서 급여와 배당으로 받은 600억원대 현금,SK㈜ 주식담보대출도 활용하겠지만 1조원 마련은 쉽지 않다는 평가다.경영권의 핵심인SK㈜ 주식 매각은 최후의 보루라는 평가다. 우선 최 회장이 2017년 약 2600억원에 취득한 비상장사SK실트론 주식 29.4% 매각이 유력하다.SK실트론은 국내 유일 웨이퍼(반도체 원판) 기업으로 과점 시장인 글로벌 시장에서 4~5위권을 유지하고 삼성전자,SK하이닉스 등 대형 고객사와 안정적인 공급 계약을 이어 가면서 시장 가치가 대폭 상승한 것으로 평가받는다. 재계 관계자는 “최 회장이 보유한SK실트론 비상장 주식이 최대 1조원 정도로 평가받을 경우, 이를 활용해SK㈜ 지분은 지키면서 자금을 조달할 수도 있다”고 했다. 다만 급매로 내놓을 경우 제 값을 받기 어려울 수 있다는 시각도 있다.SK실트론 매각 등의 재원 조달이 불발되고 만약 1조원을SK㈜ 주식으로만 마련해야 한다면 30일 종가 기준 최 회장이 보유한 주식 중 약 67%를 팔아야 한다. 최 회장의 지분율은 17%대에서 6%대까지 떨어질 수 있다.SK그룹은 최 회장과 특수관계인 지분 합계 약 25%로 경영권을 유지해 왔는데 핵심인 최 회장 지분율이 낮아질수록 경영권은 취약해진다. 현금 1조원을 받은 노 관장이SK㈜ 주식 매입을 통해 경영권 다툼에 뛰어들 수 있고, 헤지펀드 등 제3자가 취약해진SK그룹 경영권을 타깃으로 뛰어들 수도 있기 때문이다. 과거 2003년 소버린 자산운용이SK㈜ 주식을 대량 매입하고 지분율을 14.99%까지 늘려 최대 주주에 오른 뒤, 최 회장의 사퇴를 요구했던 적이 있다.하지만 이날 제기된 경영권 우려가 과도하다는 지적도 만만치 않다. 증권가에서는 “최 회장이SK㈜ 지분 일부를 매각하더라도 여동생인 최기원SK행복나눔재단 이사장도 지분을 약 6% 보유하고 있고,SK그룹의 위상을 감안하면 우호 지분 추가도 가능할 것”이라며 “경영권 분쟁이 일어날 확률은 낮다”고 했다.SK㈜가 보유한 자사주(약 25%)를 활용해 경영권 방어에 나설 수도 있다. 보유한 자사주를 외부에 매각하거나 주식 교환을 통해 의결권을 부활시켜 백기사를 확보할 수 있다.SK그룹은 2003년 소버린 분쟁 때도 보유 중인 자사주 약 4.5%를 하나은행 등 채권은행에 매각해 우군으로 확보했었다."
2024-05-30,최태원 SK 보유 지분 가치 2조원... 판결 확정 땐 얼마나 팔아야하나,"최태원SK그룹 회장과 노소영 아트센터 나비 관장 /뉴스1서울고법 가사2부(재판장 김시철)이 최태원SK회장과 노소영 나비 관장의 이혼 소송에서 1조3800억원의 재산 분할과 20억원의 위자료 지급을 판결하면서, 이 판결이 대법원에서 확정될 경우 최태원 회장이 보유 지분을 매각할 수 밖에 없을 것이라는 전망이 나오고 있다.재판부는 두 사람의 재산을 약 4조원으로 보고 65대 35로 재산분할을 하라고 판결했다. 재계에 따르면, 최 회장이 주식 외에 다른 형태로 보유한 현금성 자산은 2000억여원으로 알려졌다. 나머지는 대부분 주식으로 보유하고 있다는 얘기다. 1조3000억원 상당의 현금을 마련하려면 주식 매각이 불가피하다.최 회장은SK그룹사 중 지주사인SK㈜ 지분 17.73%와 비상장사인SK실트론 주식 29.4%를 보유하고 있다. 이 외에도SK케미칼 우선주(3.21%),SK디스커버리 우선주(3.11%) 등 지분을 일부 갖고 있다.최태원 회장이 현재 보유한SK㈜ 지분은 17.73%로 현재 2조670억원 상당의 가치를 갖고 있다. 최 회장은 만약 판결이 확정되더라도, 경영권을 최대한 지키기 위해SK㈜ 지분 매각은 최소화하기 위해 노력할 것으로 보인다.이때문에 비상장주식인SK실트론 지분 29.4%를 매각해 최대한 현금을 마련할 것으로 추정된다.2017년 최태원 회장은SK가LG로부터 실트론을 인수할 당시 29.4% 지분 인수에 참여했다. 인수 당시 지분 가치는 2600억원 정도였으나, 현재 가치는 2~3배 이상 됐을 것으로 추정된다.그러나 비상장 주식인데다가 최 회장이 실트론 주식을 급하게 매각하려 할 경우, 제 값을 못 받을 수도 있다. 또 양도소득세도 내야할 것으로 보인다.재계에선 최 회장이SK실트론 주식을 매각한 뒤에도 모자란 금액은SK㈜ 보유지분 주식 담보대출을 일으켜 충당할 것으로 전망한다. 재계 관계자는 “최태원 회장은 특수관계인 지분을 다 합해도 25%이고, 이 지분이 모두 우호지분이라고 볼 수도 없다”며 “경영권을 지키기 위해 지주사 지분 매각은 최소화하려 할 것”이라고 말했다."
