date,title,content
2024-12-19,"“美, SK하이닉스와 6600억원 규모 보조금 최종계약”","경기 이천시SK하이닉스 본사. /뉴스1미국 정부가SK하이닉스에 최대 4억5800만달러(약 6600억원)의 보조금과 5억달러(약 7200억원)의 대출을 제공하는 반도체 지원을 최종 확정했다. 직접 보조금과 대출 지원을 합치면 총 9억5800만달러(약 1조3800억원) 규모다. 보조금은SK하이닉스가 미국 인디애나주에 반도체 패키징(조립) 공장을 세우는 데 사용될 예정이다.19일 블룸버그통신에 따르면, 미국 상무부는SK하이닉스에 대해 지원하는 반도체 보조금을 최종 확정했다. 이는 미국 정부가 자국 내에 반도체 생산시설을 짓는 기업에 보조금을 지원하는 이른바 ‘칩스법(반도체 지원법)’에 따른 것이다.SK하이닉스에 대한 최종 지원 금액은 지난 8월 예비거래각서(PMT)의 4억5000만달러보다 800만달러 늘어났다.SK하이닉스는 38억7000만달러를 투자해 인디애나주에 반도체 패키징 생산기지를 건설할 계획이다. 이곳에는 고대역폭메모리(HBM)를 비롯해 차세대AI반도체 조립 라인이 포함될 것으로 알려졌다.SK하이닉스는 “미국 연방정부와 인디애나 주정부 등 미국 내 파트너들과 협력해AI반도체 공급망 활성화에 기여할 수 있을 것으로 기대한다”고 밝혔다.바이든 행정부는 다음 달 트럼프 행정부 2기 출범을 앞두고 주요 반도체 기업들에 대한 지원을 서두르고 있다. 앞서 인텔(78억6500만달러)과TSMC(66억달러), 마이크론(61억6500만달러) 등 주요 기업들의 반도체 보조금이 최종 확정됐다. 이번에SK하이닉스에 대한 보조금도 확정돼, 보조금 지원 대상 주요 반도체 기업들 중에선 삼성전자만 남아 있다. 미국 텍사스주 테일러에 440억달러를 투자하는 삼성전자는 미국 정부로부터 64억달러의 보조금을 받는 예비거래각서를 체결했고, 미국 정부와 막바지 협의 중인 것으로 알려졌다."
2024-12-19,"中, 첨단 D램도 양산… 삼성·하이닉스 턱밑 추격","CXMT,DDR5 독자 생산 성공중국 글로웨이(왼쪽)와 킹뱅크의DDR5 램중국 최대 메모리 반도체 제조사CXMT(창신메모리)가 한국 기업들의 최신 주력 제품인 첨단 D램 ‘DDR5’ 양산에 돌입한 것으로 18일 확인됐다. 그동안 기술 격차 때문에 구형 D램만 생산하던CXMT가 인공지능(AI) 서버,AIPC에 들어가는 첨단 D램까지 양산에 성공한 것이다. 이전 세대인DDR4 D램에서 중국이 한국을 따라잡는 데 걸린 시간은 6년이었다. 하지만DDR5에선 한국이 출시한 지 4년 만에 독자 생산에 돌입했다. 한국 반도체 주력인 메모리에서도 중국의 추격 속도가 그만큼 빨라지고 있는 것이다. 이에 따라 구형 반도체에서 중국에 따라잡힌 삼성전자와SK하이닉스의 대응 전략도 수정이 불가피해졌다는 분석이다. 반도체 업계 관계자는 “CXMT가 구형 D램에 이어 첨단 D램까지 저가 물량 공세에 나선다면 삼성전자와SK하이닉스에는 큰 위협이 될 것”이라며 “당장 중국 시장에서 국내 업체의 타격은 불가피하다”고 했다.그래픽=양인성중국, 첨단 D램도 자체 생산반도체 업계에 따르면, 지난 17일 중국 저장 장치 제조사 킹뱅크와 글로웨이는 일제히 32GB(기가바이트) 용량의DDR5 D램을 출시했다. 이 두 회사는 메모리 업체에서 D램을 구매해,PC나 서버에 꽂을 수 있도록 패키징(조립)을 한다. 두 업체는 자체 광고에 “중국산 칩, 막을 수 없는 기세”라는 문구를 넣어 ‘중국산DDR5 칩을 넣은 D램’이라는 점을 밝혔다.두 제조사는 D램 칩 제조사를 공개하지 않았지만, 온라인에 올라온 상품 설명서를 보면 칩 제조사로CXMT가 적시돼 있다. 반도체 업계 관계자는 “CXMT가 최근DDR5 생산을 시작했다며 고객사를 접촉 중인 것으로 안다”며 “스스로 밝힌 수율(양품 비율)은 80% 전후”라고 했다. 국내 업체들의 수율이 80~90%인 것을 감안하면, 양산 공정 기술도 상당한 수준으로 올라온 것이다.DDR5 D램은 2020년SK하이닉스가 처음 출시했다. 이전 세대(DDR4)보다 데이터 용량은 4배, 데이터 처리 속도는 2배 빠른 것이 특징이다. 데스크톱PC와 대형 서버 컴퓨터에 주로 쓰이는데, 고대역폭 메모리(HBM)와 함께AI시대 대표 고부가 가치 메모리로 꼽힌다.다만CXMT의DDR5 성능이 아직은 삼성전자·SK하이닉스 제품보다는 다소 떨어진다는 분석이 나온다. 국내 업체들은 극자외선(EUV) 노광 장비를 D램 제조에 쓰면서 더욱 미세하게 회로를 그려 전력 소모를 줄이고, 저장 용량을 늘려왔다. 하지만 현재 중국 기업들은 미국 제재로EUV노광 장비를 수입할 수 없다. 반도체 업계 관계자는 “CXMT는DDR5를 구형 장비를 활용해 생산하는 것으로 추정된다”며 “아직 대량으로 양산하는 단계는 아닐 것”이라고 했다.그래픽=양인성“중국 시장 잃을 가능성도”메모리 반도체는 여전히 한국이 압도적 점유율을 갖고 있지만, 중국의 도전으로 입지가 흔들릴 가능성이 높다. 지난 3분기 기준 글로벌 D램 시장점유율은 삼성전자 41.1%,SK하이닉스 34.4%, 마이크론 22.2% 순이다.CXMT가DDR5 대량생산에 본격 나선다면, 중국 내AI서버와PC시장은 급격하게 한국산 메모리가 아닌 자국 메모리로 대체될 가능성이 높다. 삼성전자와SK하이닉스는 중국의 ‘밀어내기’로 구형 반도체 가격이 하락하면서 타격을 받았다. 첨단 제품에서마저 중국의 가격 공세에 밀리면 수익성은 더 악화할 수밖에 없다. 국내 반도체 업체 관계자는 “아직 중국 시장에서 점유율 하락이 현실화되지는 않았지만, 상황을 예의 주시하고 있다”고 했다.일각에서는 미국의 전방위적인 제재를 받는 중국이 자국의 기술 굴기를 과시하기 위해 서둘러DDR5 양산을 공개한 것이라는 분석도 있다. 실제로CXMT의 D램 생산량 기준 글로벌 점유율은 12%(트렌드포스)에 달하지만, 정작 매출 기준 점유율은 잡히지 않는다. 생산을 해도 실제 판매는 매우 부진하다는 의미다. 전병서 중국경제금융연구소장은 “중국 업체들이 정보를 투명하게 공개하지 않는다는 것을 감안할 필요는 있다”고 말했다.☞DDR5DDR(DoubleDataRate)은 데이터를 읽고 쓰는 데 특화된 D램의 일종으로 뒤에 붙는 숫자가 높을수록 최신 세대를 뜻한다. 최신인DDR5는 삼성전자·SK하이닉스의 주력 제품으로 주로PC와 서버용 컴퓨터에 탑재된다."
2024-12-10,SK하이닉스 HBM 주역들 ‘반도체 기술상’ 휩쓸어,"기술력의 하이닉스 이끌어올해 국내 반도체 산업의 성과 중 하나는SK하이닉스가 만드는 인공지능(AI) 반도체 ‘고대역폭메모리(HBM)’다. 전 세계AI용 데이터센터에는 미국 엔비디아의AI가속기(AI모델의 연산을 빠르게 하는 반도체)가 90% 이상 들어간다. 이AI가속기의 필수품인HBM을 사실상SK하이닉스가 독점 공급하고 있다.SK하이닉스의HBM기술 개발 주역들이 올해 반도체 관련 상을 휩쓸고 있다.SK하이닉스의HBM설계 담당 박명재 부사장은 11일 반도체공학회가 주최하는 해동반도체공학상을 받는다. 고(故) 김정식 대덕전자 회장의 유지에 따라 제정된 것으로, 2021년부터 반도체 산업에 공을 세운 사람을 뽑아 시상하는 국내 최고 권위 반도체 상이다.HBM개발자가 이 상을 탄 것은 처음이다. 박 부사장뿐 아니라HBM미세 기술과 상용화에 기여한 이들이 국제적 권위의 상과 산업훈장을 잇따라 받았다. 단일 기업에서 이처럼 대거 수상자를 배출한 것은 이례적이다.그래픽=양인성입사 8년 만에 속도 빠른HBM3 개발 성공HBM시장은 최근 2년간 급성장했지만, 처음부터 주목받은 반도체는 아니다.SK하이닉스는 2013년 세계에서 처음으로HBM(1세대)을 개발했고, 2년 뒤 삼성전자가 2세대HBM(HBM2)을 내놨다. 그로부터 4년 뒤인 2019년SK하이닉스가 3세대HBM(HBM2E) 개발에 성공했다. 하지만 당시만 해도 필요 이상으로 속도가 빠르고 용량이 크다 보니, 기술 개발 속도에 비해 시장이 따라오지 않았다. 2010년대 업계에서HBM관련 조직은 ‘오지(奧地)’로 부르며 기피 대상이었다.박명재 부사장은 사내 뉴스룸 인터뷰에서 “2010년대 중·후반까지만 해도 시장 성장이 예상보다 더뎌, 비관론이 쏟아졌다”며 “하지만 최고의 제품만 개발하면 시장은 자연스럽게 생긴다는 확신으로 밀고 나갔다”고 밝혔다. 박 부사장은 2021년 4세대HBM(HBM3) 처리 속도를 획기적으로 높인 기술을 개발했다. 이전 세대와 비교해 처리 속도가 78% 빨라지면서HBM의 성능을 질적으로 완전히 변화시켰다는 평가를 받았다.2022년HBM3 양산을 시작하자 생성형AI가 기술업계 판도를 흔들기 시작했다.HBM의 위상이 180도 달라진 것이다. 박 부사장은 “HBM3 주도권 경쟁이 치열해질 것으로 예상했지만 결과는 예상 밖이었다”고 했다.HBM시장 성장성을 간과했던 경쟁사들의 기술력이 생각만큼 높지 않았다는 것이다. 박 부사장은 “공격적인 기술 개발과 투자를 계속해 온SK하이닉스가 1위 굳히기에 성공한 것”이라고 했다.한국인 첫IEEE전자제조기술상성인 손톱만 한 크기의HBM은 우수한 개발자 1~2명의 힘으로 만들어지지 않는다. 메모리 반도체 여러 개를 수직으로 쌓고, 데이터가 원활히 전달되게 해야 한다. 고질적인 발열 문제를 해결하는 것도 난제다. 성능을 높이려고 더 많은 메모리를 쌓다 보면, 휘어지는 문제도 있다. 설계부터 생산 공정까지 다양한 기술을 조화롭게 접목하는 것이 중요한 이유다.이강욱 패키지 담당 부사장은 2019년 3세대HBM부터 ‘매스리플로우-몰디드언더필(MR-MUF)’이라는 패키징(조립) 핵심 기술을 적용해 휘어짐 문제를 해결했다. 2세대HBM에서 경쟁사에 밀리다 보니, 이를 따라잡기 위해 고심 끝에 공정 과정을 완전히 바꾸기로 한 것이다. 이 기술은 쌓아 올린 칩 사이에 보호재를 넣은 후 전체를 한 번에 굳히는 공정이다.기존 방식보다 열 방출이 36% 줄고, 생산성은 3배 이상 향상됐다. 이 공로로 이강욱 부사장은 지난 5월 세계 최대 공학 학술 단체인 전기전자공학자협회(IEEE)에서 전자제조기술상을 받았다. 1996년부터 전자·반도체 패키징 분야에서 탁월한 업적을 이룬 사람에게 수여하는 이 상을 한국인이 받은 건 이번이 처음이다.HBM의 또 다른 핵심 기술인 실리콘관통전극(TSV)을 개발한 김춘환 부사장은 최근 산업통상자원부가 주관하는 은탑산업훈장을 받았다.TSV는 칩에 미세한 구멍을 뚫어 메모리를 서로 연결하며 쌓는 기술이다. 하나의HBM에도 많은 칩이 탑재되는데, 칩 하나하나에 나노미터 수준의 구멍 수천 개를 뚫고, 각 구멍을 선으로 모두 연결해 데이터가 오갈 수 있게 해야 한다.김 부사장은TSV개발 초기였던 2008년 당시를 회상하며 “고도의 정밀성과 미세한 제어가 필요하다 보니 난도가 높았다”며 “무엇보다 생산 비용은 많이 들어가는데, 시장 수요가 적어 수익성 확보가 어려웠다는 점도 부담이었다”고 밝혔다.반도체를 제품 형태로 패키징하고 고객 요구에 맞게 테스트하는 조직을 맡고 있는 최우진 부사장은 동탑산업훈장을 받았다. 최 부사장은 2020년 4세대HBM의 열 방출 설루션 개발에 성공해 제품 성능 향상에 기여한 공로를 인정받았다. 빅테크 고객사 확보 등HBM시장 확대에 기여한 이상락 부사장은 금탑산업훈장을 수상했다."
2024-12-12,올해 취업·이직시장에서 위상 엇갈린 삼성전자·SK하이닉스,"/진학사 채용 플랫폼 캐치진학사 채용 플랫폼 기업 캐치가 취업준비생과 직장인들이 꼽은 올해의 기업 순위를 12일 발표했다. 올해 캐치 내 ‘기업개요’ 페이지 조회 수가 가장 높았던 50개 기업을 대상으로 총 3460명이 투표한 결과다.취준생과 직장인들은 입사 또는 이직을 한다면 가장 가고 싶은 기업으로 반도체 설계·제조기업 ‘SK하이닉스’를 꼽았다.SK하이닉스는 작년 순위에선 4위를 기록했다. 올해 순위 상승은 인공지능(AI) 시대SK하이닉스의 약진을 반영한다.SK하이닉스는AI반도체 필수 부품인 고대역폭메모리(HBM) 시장을 선점하며 세계AI반도체 시장을 장악한 엔비디아를 핵심 고객사로 두고 있다.2위는 작년 1위였던 국내 대표 인터넷 기업 ‘네이버’가 차지했다. 3위는 신흥 강자 ‘CJ올리브영’이 차지했다. 이와 함께LG전자(4위)와 현대자동차(5위),LG에너지솔루션(7위),CJ제일제당(8위), 카카오(9위), 포스코(10위) 등이 상위권에 이름을 올렸다.눈에 띄는 순위 변화를 보인 기업은 삼성전자다. 작년 2위였던 삼성전자는 올해 6위로 순위가 하락했다. 주력 사업인 반도체 부문이 난항을 겪고 있고 지난 3분기 실적도 어닝 쇼크(시장 예상보다 낮은 실적)를 기록하는 등 위기설이 불거지자 취업시장에서도 위상이 떨어진 것으로 풀이된다.이밖에SK하이닉스는 내년에 더욱 성장할 것으로 기대되는 기업으로도 1위를 달성했다. ‘현대자동차’와 ‘LG에너지솔루션’은 각각 2위와 3위를 차지했다. 삼성전자와 네이버,LG전자, 기아 등이 그 뒤를 이었다."
2024-12-05,SK하이닉스 정기 임원 인사,"SK하이닉스가 2025년 조직개편과 임원인사를 단행했다.SK하이닉스는 이날 “D램과 낸드, 솔루션 등 모든 메모리 제품의 개발 역량을 결집한 ‘개발 총괄’을 신설해, 차세대AI메모리 등 미래 제품 개발을 위한 전사 시너지를 극대화해 나가기로 했다”고 밝혔다. 이 자리에는N-SCommittee안현 담당이 사장으로 승진해 선임됐다. 안 사장은 미래기술연구원과 경영전략, 솔루션 개발 등 핵심 보직을 거쳤고, 올해 주주총회에서 사내이사에 선임돼 회사의 기술과 전략 관련 주요 의사결정에 참여해왔다. 안 사장은 고대역폭메모리(HBM) 시장 리더십을 공고히 하고, D램과 낸드 기술경쟁력 강화를 진두지휘하는 역할을 맡는다.안현SK하이닉스 사장. /SK하이닉스이번 인사에선 신규 임원 33명을 발탁해 과감한 세대교체를 단행했다. 이 중 약 70%는 차세대 반도체 개발과 같은 기술 분야에서 선임해 기술회사의 근원적 경쟁력 확보에 주력했다. 특히 고대역폭메모리(HBM), D램 등 주요 제품 경쟁력을 강화하는데 탁월한 성과를 낸 조직에서 다수의 신규 임원을 선임해 성과에 기반한 인사를 명확히 했다. 이하 승진 및 신규 인원 명단.▲SK하이닉스 ▷사장 안현▷부사장 강춘호 권로미 권성무 김남호 김성래 김성순 김재범 김정우 김창현 김태환 류도희 박원성 박현수 손승형 손영우 심재성 엄강용 엄재광 이두복이상훈 이송만 이승호 이승환 이정숙 장태수 정춘석 주석진 최상균 최준용 최진택 한권환 황경호 황정태 ▷연구위원 곽상현 선준협"
2024-11-27,"SK하이닉스, 배당 1200원에서 1500원으로","SK하이닉스가 고정 배당금을 주당 1200원에서 1500원으로 상향한다. 이 배당 정책은 내년부터 2027년까지 3년간 적용된다. 재원은 3년간 발생하는 잉여현금흐름의 50%다.경기도 이천시SK하이닉스 본사 모습. /연합뉴스또한 연간 투자 규모를 매출액 대비 30%대 중반 수준으로 구체화하는 ‘설비투자 원칙’도 세웠다.SK하이닉스는 27일 이와 같은 새 주주환원 정책과 기업가치 제고(밸류업) 계획을 발표했다. 회사는 “회사 성장세에 걸맞는 주주환원과 안정적인 재무구조 확보를 동시에 추진한다”며 “주주와 함께 장기 성장을 이어갈 것”이라고 했다.SK하이닉스는 3년마다 주주환원 정책을 새로 발표해왔다. 2022년에는 고정 배당금을 1000원에서 1200원으로 상향한 바 있다. 당시에는 20% 상승했는데, 이번 새로운 3개년 계획은 주당 고정 배당금이 1200원에서 1500원으로 올라 25% 인상됐다.앞으로SK하이닉스의 총 현금 배당액은 연간 1조원 규모로 확대된다. 고대역폭메모리(HBM) 등 고부가가치 메모리 매출 호조로 호실적을 이어오는 가운데, 지금까지 기다려준 주주들을 위해 환원 정책을 확대하겠다는 것이다.변동성이 큰 메모리 반도체 시장이지만,SK하이닉스는 재무 건전성도 확보해 주주환원에 차질이 없도록 한다는 계획이다. 이를 위해 순현금(현금성 자산에서 차입금을 제외한 것)과 적정현금 확보라는 구체적인 건전성 목표를 설정했다.아울러 회사는 3년간의 주주환원 정책이 마무리되는 2027년까지 이 목표를 달성하면, 재무 건전성을 유지하는 범위 내에서 추가 환원을 진행할 계획이다. 또, 경영실적 호조로 유의미하게 잉여현금흐름이 높아진다면, 회사는 정책 만료 이전에라도 조기환원을 검토하기로 했다.또한 설비투자 원칙을 세운 것에 대해서 회사는 “미래 불확실성을 줄이고, 시장 변화에 맞춰 신속한 의사결정을 가능하게 해 안정적인 현금흐름을 창출하는 데 도움을 줄 것”이라고 했다.SK하이닉스 김우현 부사장(CFO)은 “다운턴을 슬기롭게 이겨내고 올해는 2018년 초호황기를 뛰어넘는 사상 최대 실적 달성이 기대되는 가운데 당사 기업가치가 큰 폭으로 상승했다”며 “이러한 시점에 맞춰 회사의 성장세에 걸맞은 주주환원과 함께 안정적인 재무구조를 지켜가기 위한 정책을 실행하여 주주 여러분과 함께 회사의 장기적인 성장을 도모하고자 한다”고 했다."
2024-11-21,"SK하이닉스, 세계 최고층 321단 낸드 양산...세계 최초","SK하이닉스가 21일 양산에 돌입한 세계 최고층 321단 낸드 신제품. /SK하이닉스SK하이닉스가 세계 최고층인 321단 낸드 플래시 양산에 돌입했다. 낸드 플래시는 스마트폰·PC같은 전자기기와 서버에 탑재되는 데이터 저장용 메모리 반도체다. 최근 인공지능(AI) 시장 확대로 고집적·고용량 메모리 수요가 커지면서, 칩을 수직으로 쌓아 올려 성능과 용량을 높이는 적층(積層) 기술이 중요하다.SK하이닉스는 21일 321단 1Tb(테라비트) ‘4D 낸드 플래시’를 양산하기 시작했다고 밝혔다. 작년 6월 238단 4D 낸드 플래시 양산을 시작한 데 이어 차세대 제품인 300단 이상 낸드도 세계 최초로 양산에 성공한 것이다. 이번 신제품은 기존 세대 대비 데이터 전송 속도는 12%, 읽기 성능은 13% 향상됐다. 데이터 읽기 전력 효율도 10% 이상 높아졌다는 게SK하이닉스 설명이다.SK하이닉스는 내년 상반기부터 321단 제품을 고객사에 공급할 계획이다.낸드 플래시 적층 경쟁은 심화되고 있다.SK하이닉스에 앞서 삼성전자는 작년 4월 290단급의 9세대 V낸드 양산에 성공했다. 미국 마이크론이 7월 발표한 고객용SSD에는 276단 9세대 3D 낸드가 들어가는 것으로 알려졌다. 업계에서는 내년 삼성전자를 비롯한SK하이닉스와 마이크론 모두 400단대 낸드를 출시할 것으로 본다."
2024-11-07,SK하이닉스 반도체 기술 4000여장 빼돌린 전 중국인 직원…징역 1년 6월,"경기 이천시SK하이닉스 본사의 모습. /뉴스1SK하이닉스에서 근무하던 중 반도체 불량률을 낮추는 핵심 기술을 빼돌린 혐의를 받는 전 중국인 직원이 1심에서 징역형을 선고받았다.수원지법 여주지원 형사1부(재판장 임대호)는 7일 산업기술의 유출방지 및 보호에 관한 법률 위반 등 혐의로 기소된SK하이닉스 전 직원 A씨(36·여)에게 징역 1년 6월과 벌금 2000만원을 선고했다.A씨는 2013년SK하이닉스에 입사해 반도체 설계상의 불량을 분석하는 부서에서 일하다가 2020년부터 2022년까지 중국 현지 법인의 기업 간 거래 고객 상담 팀장급 직원으로 근무했다. 그는 2022년 6월쯤 국내로 복귀한 후 곧바로 더 높은 연봉을 받고 중국 화웨이로 이직했다.수사 당국에 따르면, A씨는 퇴사 직전 핵심 반도체 공정 문제 해결책과 관련한 자료가 담긴 A4용지 4000여장 분량을 출력한 것으로 조사됐다.SK하이닉스는 보안상USB등의 저장매체 사용을 금지하고 있고, 출력물의 내용, 인쇄자, 사용처 등을 상세하게 기록해 관리하고 있다. 그러나 A씨의 경우 문서를 출력한 기록만 남아있을 뿐, 이를 어디에 사용했는지에 대한 기록은 없는 것으로 파악됐다. A씨는 수사 과정에서 ‘기술유출 목적이 아니었다’며 이 같은 혐의를 모두 부인했다.이날 재판부는 “피고인이 하이닉스에서 퇴사 직전 문서로 출력한 반도체 기술은 2022년 지정된 국가 핵심기술”이라며 “피고인은 공부와 업무 인수인계 목적으로 출력했다고 주장하나 수사기록 등으로 볼 때 납득되지 않아 공소사실 혐의 모두 유죄로 판단했다”고 밝혔다.재판부는 “퇴사 직전 보안이 허술한 중국 상해지사에서 4일간 A4용지 관련 기술자료를 문서로 4000여장 출력한 것은 이례적이고, 퇴근하면서 하루 300여장씩 백팩과 쇼핑백에 담아 들고 나갔을 것으로 합리적으로 의심할 수 있다”며 “이런 의심은 모두 정당한 것으로 판단된다”고 했다.재판부는 A씨의 자료 유출 목적에 대해 “피고인이 하이닉스 퇴직 후 중국 화웨이에 취업한 점으로 미뤄 자신의 가치를 인정받으려고 유출한 것으로 합리적 추론을 할 수 있다”면서도 “피고인이 유출한 기술을 활용했는지 불분명하고 피해사의 피해가 밝혀지지 않은 점 등을 고려해 양형했다”고 했다."
2024-10-24,"SK하이닉스 ""5세대 HBM 수요 예상보다 크다...수요 둔화 전망은 시기상조""","올해 3분기 역대 최대 실적을 낸SK하이닉스가 내년도 5세대 고대역폭메모리(HBM3E) 수요가 예상보다 빠르게 늘고 있으며, 수요 둔화 전망은 시기상조라고 밝혔다. 또한 중국 메모리 제조사들이 레거시(구형) D램 점유율을 높여 나가고 있는 것에는, 선택과 집중을 통해 고부가가치 첨단 메모리 비중을 더 늘려나간다는 방침을 밝혔다.23일 서울 강남구 코엑스에서 열린 ‘제26회 반도체대전(SEDEX)’에SK하이닉스의 '5세대 고대역폭메모리(HBM3E)'가 진열돼 있다. /뉴스1SK하이닉스는 24일 오전 실적 발표 컨퍼런스콜을 통해 “당초 계획보다 증가된 수요를 모두 대응하기에 당사의 생산 능력에 한계가 있는 것도 사실”이라면서도 “특히HBM3E 제품에 대한 고객 수요가 예상보다 빠르게 증가하고 있다”고 했다.HBM수요에 대응하기 위해 기존 레거시 D램 공정을 첨단 공정으로 전환하는 속도도 높인다.SK하이닉스 “HBM3와DDR4 등에서 활용되었던 레거시 테크를 선단 공정으로 전환해서 수요가 둔화되는 제품의 생산은 줄이고HBM3E 생산 확대하는 데에 집중하겠다”고 설명했다.일각에서 제기되고 있는HBM공급과잉 우려도 일축했다.SK하이닉스는 “AI기술이 컴퓨팅 시간을 더 쓰는 방향으로 발전하고 있어 앞으로 컴퓨팅 파워 요구량과 계산 지원 능력이 더 필요한 상황”이라며 “AI반도체,HBM수요 둔화 전망은 시기상조”라고 했다."
2024-10-24,"SK하이닉스, 3분기 영업익 7조300억원... 역대 최대 실적 경신","SK하이닉스는 지난 3분기 매출 17조5731억원, 영업이익 7조300억원을 올렸다고 24일 밝혔다. 매출은 전년 같은 기간 대비 93.9% 올랐으며, 영업이익은 흑자전환했다.SK하이닉스 이천 캠퍼스. /SK하이닉스실적은 대체로 시장 예상치에 부합했다. 금융정보업체 에프앤가이드에 따르면SK하이닉스의 실적 컨센서스(평균 전망치)는 매출 18조370억원, 영업이익 6조7628억원이었다. 매출은 컨센서스를 소폭 하회했으나, 영업이익이 예상치보다 늘었다.매출은 지난 2분기 16조4233억원으로 역대 최대치를 올린지 한 분기만에 기록을 갈아치웠다. 영업이익 종전 최대 실적은 반도체 최대 호황기였던 2018년 3분기에 기록한 6조4724억원이었다.고부가가치AI메모리가 최대 실적 견인SK하이닉스의 사상 최대 실적, 특히 시장 예상치를 뛰어넘는 7조원대 영업이익은AI메모리가 견인한 것으로 나타났다.HBM,eSSD등 고부가가치 제품 중심으로 판매가 늘며 D램과 낸드(저장장치용 메모리 반도체) 모두 평균판매단가가 전 분기 대비 10% 이상 올라 사상 최대 영업이익을 거두게 된 것이다.현재SK하이닉스는 엔비디아에 5세대HBM(HBM3E)를 사실상 독점 공급하고 있고, 자회사 솔리다임을 통해 고용량eSSD를 생산하고 있다.회사는 “데이터센터 고객 중심으로AI메모리 수요 강세가 지속됐고, 이에 맞춰HBM,eSSD등 고부가가치 메모리 제품 판매를 확대해 창사 이래 최대 매출을 달성했다”며 “특히HBM매출은 전 분기 대비 70% 이상, 전년 동기 대비 330% 이상 증가하는 탁월한 성장세를 보였다”고 했다.D램서HBM생산 비중도 높인다는 계획이다. 3분기 전체 D램 매출의 30%에 달했던HBM매출 비중이 4분기에는 40%에 이를 것으로 회사는 전망했다.기술 리더십 상당기간 이어질 듯SK하이닉스는AI메모리 분야 시장 선두를 굳혀나간다는 전략이다.HBM공급 경쟁에서도 경쟁사들의 양산이 늦어지면서SK하이닉스의 우위가 1년 이상 계속될 것이라는 전망이 나온다.SK하이닉스는 “기존HBM3에서HBM3E 8단 제품으로의 빠른 전환을 지속하고 있으며, 지난달 양산에 들어간HBM3E 12단 제품의 공급도 예정대로 4분기에 시작할 계획”이라고 했다."
