date,title,content
2024-12-01,"SPC삼립, 황종현·김범수 공동대표 체제 전환 “글로벌 집중”","SPC그룹이 1일 정기 임원 인사를 발표했다.SPC그룹은 “올해 인사 키워드는 ‘변화와 혁신∙현장중심∙글로벌 사업 강화’“라고 밝혔다.SPC삼립은 공동 대표이사 체제로 전환하기로 했다. 김범수 전무가 부사장으로 승진해 기존 황종현 사장과 함께 공동 대표이사를 맡게 됐다. 황 사장은 M&A와 글로벌 사업 등 중장기 사업전략 및 대외 업무를 총괄하고, 김범수 신임 대표는 사업 운영과 내부 관리 업무를 맡을 예정이다. 대외 업무와 내부 관리 업무를 두 대표가 나눠 맡으며 글로벌 사업에 더 집중하겠다는 취지로 해석된다.SPC그룹 본사 전경. /뉴스1SPC삼립은 최근 일본 소매점 ‘돈키호테’와 미국 코스트코 등에 자사 제품을 입점시키며 해외 진출에 박차를 가하고 있다.파리크라상에서는 기존 김성한 대표이사 전무를 부사장으로 승진 발령했다.SPC그룹은 현장 중심의 경영을 강화하고 안전한 사업장을 구축하기 위해 각 생산센터장을 승진 발령했다. 또 해외 법인에 임원들을 신규 선임해 글로벌 사업에 더 힘을 실었다.아래는SPC그룹 인사 명단.▲SPC삼립▷부사장 김범수▷전무 정구중▷상무 김재섭 최재규▷상무보 이임호 이호성 오동열 김병헌▲샤니▷상무보 나상우 조성훈▲파리크라상▷부사장 김성한▷상무 이용석▷상무보 김학재 김종휘 박세용 문태환 김보미▲비알코리아▷부사장 김진호▷상무 김경우 오희섭▷상무보 장희조 심수연 윤문건 최선욱▲SPCGFS▷상무 이건열▷상무보 김영식 김대원▲Secta9ine▷상무 김보람▷상무보 김형석▲SPCPACK▷상무 양희완▷상무보 안덕준▲빅바이트컴퍼니▷상무보 정세인▲SPC▷상무 백승훈 송효근 손대호▷상무보 황만영 김한바다 서일원"
2024-12-02,[경제계 인사] SPC삼립 공동대표 김범수 외,SPC그룹은 1일 정기 임원인사에서 김범수SPC삼립 전무가 부사장으로 승진해 황종현 사장과 공동 대표이사를 맡는다고 밝혔다. 김성한 파리크라상 대표이사도 부사장으로 승진했다.▲SPC삼립▷전무 정구중▷상무 김재섭 최재규 ▲파리크라상▷상무 이용석 ▲비알코리아▷부사장 김진호▷상무 김경우 오희섭 ▲SPCGFS▷상무 이건열 ▲섹타나인▷상무 김보람 ▲SPC팩▷상무 양희완 ▲SPC▷상무 백승훈 송효근 손대호▲대보건설▷전무 정재수▷상무 안현후 강정수 ▲대보유통▷상무 한제영 ▲서원레저▷상무 정석천▲금호건설▷전무 양기승▷상무 고중길 김찬식 김태우 용현철 이경만 이현수 ▲금호익스프레스▷상무 홍대영 ▲KG▷상무 윤영돈▲태영건설▷상무 박상준
2024-12-12,SPC 허영인 회장 ‘주식 저가 매각’ 대법서 무죄,"허영인SPC그룹 회장./뉴스1대법원은 12일 증여세를 회피하려는 목적으로 계열사 주식을 저가에 팔도록 지시한 혐의로 기소된 허영인SPC그룹 회장에 대해 무죄를 확정했다. 2020년 계열사 부당 지원 의혹으로 회사가 공정거래위원회에서 받은 과징금 647억원이 지난 6월 대법원 판결로 취소된 데 이어, 관련 형사 사건에서도 무죄가 확정된 것이다.대법원 2부(주심 박영재 대법관)는 이날 배임 혐의로 기소된 허 회장에게 무죄를 선고한 원심을 확정했다. 함께 기소된 조상호 전SPC그룹 총괄사장, 황재복 전SPC대표도 무죄가 확정됐다.허 회장 등은 2012년 12월SPC그룹 계열사인 샤니와 파리크라상이 보유한 밀가루 생산회사 밀다원 주식을 2008년 취득한 3038원, 검찰이 판단한 적정 가액 1595원보다 낮은 255원에 또 다른 계열사인 삼립에 넘긴 혐의로 기소됐다. 검찰은 허 회장이 그해 1월 도입된 계열사 내 ‘일감 몰아주기’ 관련 증여세 약 7억원을 회피하려고 주식을 저가에 양도했다고 봤다. 일감 몰아주기 증여세는 자녀 등이 주주로 있는 회사에 일감을 몰아줘 얻는 이익에 부과하는 증여세다.그러나 1·2심은 “주식 가액의 평가 방법이 위법하다고 판단하기 어렵고, 피고인들이 배임 행위에 고의적으로 가담했다고 볼 수도 없다”며 무죄를 선고했다. 대법원도 “원심 무죄 판단에 법리를 오해한 잘못이 없다”고 밝혔다.허 회장을 변호한 성창호 법무법인 광장 변호사는 “밀다원 주식 양도는 적법한 것이었고 부정한 목적이 없었으며, 회사 지배 구조를 개선해 회사에 이익이 되도록 하려는 조치였다는 점이 최종 확인됐다”고 말했다."
2024-12-12,"‘주식 헐값 매각’ 혐의 SPC 허영인 회장, 대법서 무죄 확정","샤니‧파리크라상 등 계열사 주식을 다른 계열사인 삼립에 저가에 팔도록 지시한 혐의로 기소된 허영인SPC그룹 회장이 12일 대법원에서 무죄를 확정받았다. 2020년 계열사 부당 지원 의혹으로 공정거래위원회에서 받은 과징금 647억원이 취소된데 이어, 관련 형사 사건에서도 무죄가 확정된 것이다.대법원 2부(주심 박영재 대법관)는 이날 배임 혐의로 기소된 허영인SPC그룹 회장에게 무죄를 선고한 원심 판결을 확정했다. 함께 기소된 조상호 전SPC그룹 총괄사장, 황재복 전SPC대표에게도 모두 무죄를 선고했다.허 회장 등은 2012년 12월 샤니와 파리크라상이 보유한 밀가루 생산 계열사인 밀다원 주식을 취득가(2008년 3038원)나 적정 가액(1595원)보다 낮은 255원에 삼립에 넘긴 혐의로 기소됐다. 검찰은 허 회장이 그해 1월 도입된 계열사 내 ‘일감 몰아주기’ 관련 약 7억원의 증여세를 회피하기 위해 주식을 저가에 양도했다고 봤다. 일감 몰아주기 증여세는 자녀 등이 주주로 있는 회사에 일감을 몰아줘 얻는 이익에 부과하는 증여세다.그러나 1, 2심은 “주식 가액의 평가 방법이 위법하다고 판단하기 어렵고, 피고인들이 배임 행위에 고의적으로 가담했다고 볼 수도 없다”며 무죄를 선고했다.대법원도 “원심 무죄 판단에 자유심증주의의 한계를 벗어나거나 배임죄 성립에 관한 법리를 오해한 잘못이 없다”고 밝혔다.SPC측을 변호한 성창호 법무법인 광장 변호사는 “밀다원 주식 양도는 적법한 것이었고 부정한 목적이 전혀 없었으며, 회사 지배 구조를 개선하여 회사에 이익이 되도록 하기 위한 조치였다는 점이 최종 확인됐다”며 “현명한 판단을 내려주신 사법부에 감사한다”고 했다.한편, 대법원은 지난 6월SPC그룹 계열사 5곳이 공정위를 상대로 낸 과징금 등 취소 소송에서도 일부 승소 판결을 내렸다. 공정위가 2020년 7월 “2011~2019년SPC그룹 계열사들이 또 다른 계열사인 삼립을 부당 지원했다”며 내린 과징금과 시정 명령이 잘못됐다는 취지다. 이에 따라SPC과징금 647억원 전액과 시정 명령 대부분이 취소됐다."
2024-08-22,"SPC삼립, 'K-디저트' 호빵·약과 앞세워 해외 수출 늘린다","SPC삼립이 대표 제품인 삼립호빵, 찜케익 등을 앞세워 미국∙일본 시장을 중심으로 해외 진출 확대에 나선다. 수출 확대를 통해 올해 해외 매출을 전년 대비 30% 이상 늘리겠다는 목표다.SPC삼립의 디저트 대표 제품인 찜케이크와 생크림빵 제품 사진.SPC삼립은 이들 제품을 앞세워 해외 시장 진출에 박차를 가하겠다는 목표다. /SPC삼립현재 삼립호빵은 세계 25국에 수출되고 있는데, 올해는 미국 시장 수출 확대에 역량을 집중한다.SPC삼립에 따르면 올해 상반기 삼립호빵의 미국 시장 매출은 전년 동기 대비 126% 올랐다. 미국의 주요 마트를 중심으로 삼립호빵이 개발한 미니 찜기 ‘호찜이’와 호빵을 패키지로 구성해 판매하는 등 다양한 마케팅 활동이 현지 시장에서 좋은 반응을 얻었다. 지난 6월 미국 현지에서 출시한 생크림빵도 출시 한 달만에 약 20만개를 판매했다.일본 시장에서는 약과를 주요 제품으로 내세우고 있다. 지난 15일부터 일본의 대형 잡화 유통업체 돈키호테 620개 전 지점에서 삼립약과 판매를 시작했다. 일본에서는 약과 특유의 식감과 단맛이 차와 잘 어울리는 디저트로 인식돼 인기를 끌고 있다. 이외 찜케이크도 미국을 비롯해 베트남·필리핀·중동 등에서 인기를 끌며 올 상반기 수출량이 급증해, 신규 라인을 증설하고 있다.삼립 관계자는 “국내에서 사랑 받고 있는 삼립호빵, 생크림빵 등이K-디저트 대표 주자로 인식돼 글로벌 시장에서도 큰 호응을 얻고 있다”라며 “수출 확대를 통해 올해 해외 매출이 전년 대비 30% 이상 성장할 것으로 기대한다”고 했다."
2024-05-13,환갑 맞은 삼립 크림빵… ‘MZ 성지’ 성수에 팝업스토어 열었다,"SPC삼립 ‘크림 아뜰리에’ 인기SPC삼립이 ‘정통크림빵’ 출시 60주년을 기념해 운영하는 서울 성수동 팝업 스토어 ‘크림 아뜰리에’ 앞에는 평일에도 수십 명씩 대기 줄이 늘어서 있다. 다양한 맛의 크림을 시식하고 정통크림빵 굿즈도 구매하기 위해 20~30대 방문객들이 2~3시간씩 기다리는 것이다.SPC삼립은 오는 15일까지 이 팝업 스토어를 운영한다고 12일 밝혔다. 정통크림빵의 핵심인 크림을 활용해 방문객에게 다양한 경험을 제공하고 정통크림빵의 브랜드 가치를 제고한다는 목표다. 방문객은 현장 예약을 통해 팝업 스토어에 입장할 수 있다.지난 6일 서울 성동구 성수동 삼립 정통크림빵 60주년 팝업스토어 '크림 아뜰리에' 입구에서 방문객들이 줄지어 입장을 기다리고 있다. /SPC삼립이 팝업 스토어는 분홍색 호텔 콘셉트로 꾸며져 있다. 호텔 안내 데스크처럼 꾸민 입구로 들어서면 안내 직원이 크림빵의 역사를 담은 초대장을 나눠준다. 내부는 크림의 역사를 보여주는 ‘히스토리존’과 크림을 직접 맛볼 수 있는 ‘레시피존’,크림빵 관련 기념품을 살 수 있는 ‘굿즈존’ 등으로 구성돼 있다. 가장 인기 있는 공간은 ‘레시피존’이다. 기존 크림빵은 한 가지 종류뿐이지만, 이곳에선 인공지능(AI)이 추천한 맛인 마라와 고수, 트러플 블루치즈뿐 아니라 튀밥·녹차, 오렌지필·초코, 봄 시즌 원료를 활용한 벚꽃·복숭아 등 9가지 맛의 크림을 맛볼 수 있다. 방문객은 이 중 3가지 크림을 선택해 시식한 뒤 가장 마음에 드는 크림에 투표하고 있다.SPC삼립은 “가장 큰 인기를 얻은 크림을 활용해 오는 6월 새로운 크림빵 제품을 출시할 예정”이라고 했다.정통크림빵은SPC삼립이 국내 제빵업계 최초로 비닐 포장 기술을 도입했다. 1964년 출시 이후 지금까지 총 19억개가 팔렸다. 2013년 3월부터 2022년 말까지 약 10년간 국내 크림빵 부문에서 가장 많이 팔려KRI한국기록원과 미국 세계기록위원회(WRC)에서 ‘단일 브랜드 최다 판매 크림빵’ 공식 인증을 받기도 했다.SPC삼립 관계자는 “앞으로도 정통크림빵의 정체성을 살리면서도 전 세대를 아우를 수 있는 마케팅 활동을 펼칠 것”이라고 했다."
2023-11-10,"[기업 브리핑] SPC삼립, H마트와 파트너십 체결 외","SPC삼립, H마트와 파트너십 체결SPC삼립이 미국 최대 아시아 식품 유통 채널인 H마트와 파트너십을 체결했다고 9일 밝혔다. 이르면 내년 상반기부터 H마트와 베이커리 제품을 공동 기획해 판매하고, H마트의 글로벌 유통 채널을 통해 상품을 공급한다는 계획이다.김종필LG전자 전무에 동탑산업훈장산업통상자원부는 9일 ‘2023 제품안전의 날’ 행사를 열고 김종필LG전자 전무에게 동탑산업훈장을 수여했다.벤츠,GLE쿠페 플러그인 하이브리드 출시벤츠가 준대형SUVGLE쿠페의 플러그인 하이브리드 모델인 ‘더 뉴GLE400e 4MATIC쿠페’를 출시했다고 9일 밝혔다. 가격은 1억3200만원."
2024-05-29,SPC ‘사회공헌 활동 공로’ 인정… 대한적십자사 회원유공장 받아,"SPC그룹은 사회공헌 활동을 펼친 공로를 인정받아 대한적십자사에서 회원 유공장을 받았다고 28일 밝혔다. 회원 유공장은 은장부터 최고 명예 대장까지 6단계로 나뉘는데,SPC삼립과 비알코리아는 명예 대장, 파리크라상은 최고 명예장,SPC는 명예장,SPCGFS와 섹타나인은 금장을 각각 받았다.SPC그룹은 산불, 태풍, 지진 등 재해 및 재난이 발생했을 때 빵과 생수 80만개를 전달하는 등 긴급 구호 활동을 펼쳐왔다. 또한 고객 12만명과 함께 튀르키예 지진 피해 복구, 취약 청소년과 독립운동가 후손 지원 활동 등을 해왔다."
2023-05-04,"[기업 브리핑] SPC삼립, 소아암·난치병 환아에 1억 기부 외","SPC삼립, 소아암·난치병 환아에 1억 기부SPC삼립이 ‘해피드림 캠페인’을 통해 모은 수익금 1억원을 한국백혈병어린이재단에 전달했다고 3일 밝혔다. 이 캠페인은 포켓몬빵 판매 수익 중 일부를 소아암 및 희소난치병 어린이 치료비로 기부하는 사회 공헌 활동의 일환이다.BBQ’갈릭치킨’ 3종 새로 출시치킨 프랜차이즈 업체 제너시스BBQ가 마늘을 활용한 신메뉴 ‘갈릭치킨’ 3종을 새로 출시했다. 황금 올리브유로 튀긴 뒤 갈릭 파우더를 뿌린 ‘바삭갈릭’,특제 허니소이 소스로 감칠맛을 낸 ‘단짠갈릭’,허니소이 소스 양념을 바르고 튀긴 마늘을 더한 ‘착착갈릭’ 세 가지다.LGCNS,마이크로소프트와 보안 협업LGCNS는 마이크로소프트(MS)와 함께 생성형 인공지능(AI), 클라우드 등 보안 사업 강화를 위한 다각적인 협업을 추진한다고 3일 밝혔다.LGCNS는MS로부터 ‘고객 맞춤형 보안 서비스’ 파트너 자격도 획득했다."
2024-01-31,"법원, ‘계열사 부당지원’ SPC그룹 647억 과징금 부과 “부당”","서울고법, 과징금 전액 및 시정명령 취소2015년 이전 거래에 대해서만 재산정 하라SPC로고. (사진=SPC제공)SPC그룹이 계열사를 부당하게 지원했다는 이유로 공정거래위원회(공정위)로부터 부과받은 과징금 및 시정명령을 취소해야 한다는 법원 판단이 나왔다.서울고법 행정 6-2부(부장판사 홍성욱·황의동·위광하)는 31일SPC가 공정위를 상대로 낸 과징금 및 취소소송 취소소송 선고기일에서 과징금 647억원 및 시정명령을 취소하고 일부 밀가루 거래에 대해 과징금을 재산정하라고 판결했다.공정위는 2020년 7월 파리크라상,SPL,BR코리아 등SPC그룹 계열사들이SPC삼립에 부당이익을 몰아줬다며 부당지원행위를 금지하라는 시정명령과 과징금 647억원을 부과했다. 이들 계열사들이 원재료와 밀다원이나 에그팜 등 다른 8개 계열사들이 생산한 제빵 원재료와 완제품을 별다른 역할이 없는SPC삼립을 통해 구매함으로써SPC삼립에 총 381억원을 지급하는 방식으로 부당지원했다는 것이다. 공정위는 이들SPC계열사들이 지배력 유지와 경영권 승계를 위해 2세들이 보유한 삼립의 주식 가치를 높이려고 삼립에 이익을 몰아줬다고 봤다.그러나 법원은 파리크라상 등 계열사와 삼립 간의 거래 중 2015년 이전의 밀가루 거래에 대해서만 부당지원 성격을 인정하고 나머지 거래에 대해서는 인정하지 않았다. 그에 따라 공정위가 부과한 과징금 전부를 취소하라고 하면서 2015년 이전의 밀가루 거래에 대해서 과징금을 재산정하라고 판결했다.법원은 또한 공정위가 부과한 6개의 시정명령 중 밀가루 구매행위를 제외한 나머지 부분에 대한 시정명령을 취소하라고 판결했다. 취소된 시정명령에는 파리크라상 등이 보유하던 밀다원 주식을 삼립에 부당하게 낮은 가격에 매각해 이익을 준 부분, 계열사 상표권을 무상으로 삼립에 사용해 과다한 이익을 준 부분 등이 포함됐다.공정위 처분에 대한 판결은 서울고법이 전속관할로 1심을, 대법원이 2심을 맡아 운영된다. 재판부는 원래 2022년 6월 변론을 종결하고 판결을 선고할 예정이었지만 변론을 재개해 다시 재판을 열었다. 작년 4월에도 변론을 종결하고 판결을 선고하려다 미뤄졌고 이번에야 선고하게 됐다."
