date,title,content
2024-12-07,Acting defense minister leads military meeting during impeachment vote,"ActingDefenseMinisterKimSun-howalksafterabriefingonthesecondmartiallawcontroversyattheMinistryofNationalDefenseinYongsan,Seoul,onDec.6, 2024./News1OnDec.7,whiletheNationalAssemblyvotedontheimpeachmentmotionagainstPresidentYoonSuk-yeol,DeputyMinisterofNationalDefenseKimSun-hoheldameetingwithkeymilitarycommanders.DuringavideoconferencewithseniorofficialsfromtheMinistryofNationalDefenseandtheJointChiefsofStaff,Kimstressedtheimportanceofmaintainingstrongreadinesstoensurenationalsecurity.Heurgedcommanderstostayfocusedontheirdutiesandbolsterpreparednesstogainpublictrustamidongoingdomesticandinternationalsecurityconcerns.Kim,whohasservedasactingdefenseministersincetheresignationofformerMinisterKimYong-hyunonDec.5,assumedtheroleafterKimresignedduetohisinvolvementinenforcingtheemergencymartiallawdeclaredbyPresidentYoononNov.3.AdefenseofficialexplainedthatKim’sleadershipinthemeetingaimedtoassessthemilitary’sreadiness,particularlyinresponsetoNorthKorea.ThiswasthefirstmeetingKimchairedasactingdefenseminister.TheprevioussuchmeetingoccurredonNov.3,whenKimYong-hyunappointedParkAn-suasmartiallawcommander.MilitarysourcessaidKimexpressedregretduringthemeeting,stating,“Iamsorry.Itakefullresponsibility.”"
2024-12-30,[사이언스카페] 태양에 한발 더 다가간 인류,"NASA탐사선 태양 최근접 비행미 항공우주국(NASA)의 태양 탐사선 ‘파커’가 인류 역사상 태양에 가장 가까이 비행했다. 인류가 태양의 비밀에 한 발짝 다가가게 됐다는 평가가 나온다.미 항공우주국(NASA)의 태양 탐사선 '파커'가 태양 외곽 대기층 '코로나'에 접근하는 상상도. /미 항공우주국(NASA)NASA는 “지난 24일 파커가 태양 표면에서 611만5507㎞ 떨어진 지점을 비행했다”고 27일 밝혔다. 24일 지상 관제팀과 통신이 두절됐지만, 26일 자정 직전 태양 최근접 비행을 마치고 정상적으로 작동하고 있다는 신호를NASA로 보냈다. 파커가 근접한 611만5507㎞는 지구와 태양 사이의 거리(약 1억5000만㎞)의 4%다. 태양과 지구 사이를 1m라고 가정하면, 이번에 태양과 거리는 4㎝에 불과했다. 기존 태양에 가장 가까이 간 기록은 726만㎞였다. 근접 당시 파커가 기록한 속도는 시속 69만2018㎞로, 지금까지 인간이 만든 물체 중 가장 빨랐다. 런던에서 뉴욕까지 30초 안에 주파하는 속도다.태양 탐사선 파커는NASA의 ‘태양에 닿기(TouchtheSun)’ 임무를 위해 개발됐다. 태양 바깥층을 이루는 플라스마 대기층인 ‘코로나’의 비밀을 풀기 위한 센서와 카메라 등을 탑재하고 있다. 코로나는 태양 표면의 온도(약 6000도)를 훨씬 넘어서 수백만 도까지 가열되는데, 아직 이 현상은 과학계의 수수께끼로 남아 있다. 코로나는 태양 대기층에서 방출되는 입자들의 흐름인 ‘태양풍’의 근원지로도 꼽힌다. 니키 폭스NASA과학임무국 부국장은 “태양을 가까이서 연구하면 태양이 태양계에 미치는 영향을 더 잘 이해하고 우주 전역에 있는 항성의 작동 원리를 파악할 수 있을 것”이라고 했다.파커 탐사선은 길이 3m,무게 약 685㎏에 극한의 열을 견딜 수 있게 설계됐다. 11.4㎝ 두께의 강화 탄소 섬유 소재 방열판으로 최대 1370도의 온도를 견딜 수 있다. 탐사선의 이름은 태양풍의 존재를 밝힌 우주물리학자 유진 파커 박사의 이름에서 땄다. 2018년 발사 후 수차례 태양 근접 기록을 경신해 왔다. 파커 탐사선은 오는 2025년 1월 1일에 추가적인 데이터를 보내올 예정이다."
2024-11-14,HD Hyundai promotes Chung Ki-sun to Senior Vice Chairman amid executive reshuffle,"HDHyundaipromotedChungKi-suntoseniorvicechairmanandappointednewCEOsforthreemajoraffiliatesinaleadershipshake-upaimedatnavigatinganevolvingglobalbusinessenvironment./News1HDHyundaiannouncedonNov.14thatChungKi-sunhasbeenpromotedtoseniorvicechairmanaspartofarecentleadershipreshuffle.ThecompanyalsoappointednewCEOsforthreeofitsmajoraffiliates.Chung,thegrandsonofHyundaiGroup’slatefounderChungJu-yungandtheeldestsonofAsanFoundationHonoraryChairmanChungMong-joon,hasbeenleadingHDHyundaialongsideChairmanKwonOh-gap.AfterbeingpromotedtovicechairmanlastNovember,Chunghasnowascendedtotheroleofseniorvicechairman,markinganothersignificantstepinhisleadershipwithinthecompany.ThereshufflealsoelevatedChoSeok,currentlythepresidentofHDHyundaiElectric,tovicechairman.Amongotherkeyappointments,KimJae-eul,vicepresidentandheadofshipbuildingatHDHyundaiHeavyIndustries,hasbeennamedthenewpresidentofHDHyundaiSamhoHeavyIndustries.SongMyung-jun,vicepresidentandheadfinancialsupportatHDHyundai,hasbeenappointedpresidentofHDHyundaiOilbankandwillserveasco-CEOalongsideVicePresidentJeongIm-joo,whoheadssafetyandproduction.Additionally,KimYoung-ki,vicepresident,hasbeenpromotedtopresidentofHDHyundaiElectric.“Theseexecutiveappointmentsweremadetoproactivelyaddresstherapidlyshiftingbusinesslandscape,includingchangesintheglobaleconomyfollowingtheU.S.election,theongoingwarinUkraine,andfluctuationsinoilpricesandexchangerates,”anHDHyundaispokespersonstated.ThenominatedCEOsareexpectedtobeofficiallyappointedfollowingapprovalatupcomingshareholdermeetingsandboardsessions.Furtherexecutiveappointmentsareexpectedtobeannouncedsoonasthecompanycontinuesitsrestructuring."
2024-12-28,"1370도 견디는 NASA 탐사선, 태양 611만㎞ 최근접 통과 ‘새 역사’","미국 항공우주국(NASA)이 공개한 태양 탐사선 '파커 솔라 프로브' 의 태양 근접 비행 상상도. /NASA및 존스홉킨스대 응용물리학연구소(APL) 제공미국 항공우주국(NASA)의 태양 탐사선 ‘파커 솔라 프로브’(파커)가 인류 역사상 태양 가장 가까이에 접근하며 새 역사를 썼다.27일NASA는 인류 최초의 태양 탐사선 파커가 태양 대기의 가장 바깥 영역인 코로나(corona)를 뚫고 태양을 역대 최근접 거리에서 비행하는 데 성공했다고 밝혔다. 비행 당시 탐사선은 태양 표면에서 불과 380만 마일(약 611만5507km)이었으며 비행 속도는 시속 43만 마일(69만km)였다. 런던에서 뉴욕까지 30초도 채 걸리지 않는 속도다.파커의 태양 최근접 비행은 크리스마스 이브였던 지난 24일 오전 6시 53분 이뤄졌다. 하지만 당시 통신이 끊겨 성공 여부를 확인할 수 없었다.NASA는 “미국 동부 시각 기준으로 26일 자정 직전 파커가 지상 관제팀에 비행 신호를 보냈다”며 “이로써 태양 탐사선이 코로나를 안전하게 통과해 현재 정상적으로 작동하고 있는 것을 확인했다”고 밝혔다.니키 폭스NASA과학 임무국 부국장은 “태양에 이렇게 가까이 접근해 비행하는 것은 인류의 태양 탐사에 있어 역사적 순간”이라며 “태양을 가까이서 연구함으로써 태양이 태양계 전체, 그리고 우리가 매일 사용하는 지구 및 우주 기술에 미치는 영향을 더 잘 이해할 수 있을 것”이라고 말했다.파커 솔라 프로브가 태양 대기 가장 바깥 영역인 코로나에 진입하려는 모습 상상도. /NASA파커 탐사선은NASA의 이른바 ‘태양 접촉(TouchtheSun)’ 프로젝트를 위해 개발됐다. 연료 130kg을 포함해 무게는 약 685kg에 달한다. 본체 길이는 3m,지름은 1m다. 태양의 중력을 버텨내기 위해 역대 우주선 중 최고 속도를 낼 수 있게 만들어졌다. 파커의 가장 중요한 특징은 극한의 열을 견딜 수 있는 능력이다. 파커는 태양 대기의 극한 환경에서도 견딜 수 있도록 두께 11.5cm의 방열판을 갖추고 있다. 이 방열판 덕에 파커는 섭씨 약 1370도까지 견딜 수 있다.2018년 처음 발사된 파커 탐사선이 태양 근접 비행을 한 건 이번이 22번째다. 2021년 4월 처음 코로나 상층부 통과에 성공했고 작년 9월과 올해 3월 태양 표면으로부터 약 726만km지점까지 도달했다.파커 탐사선의 핵심적인 임무는 태양 외부 대기인 ‘코로나’의 온도가 올라가는 이유와 태양풍의 발생 원인을 찾는 것이다. 특히 태양 대기 가장자리인 코로나는 온도가 수백만도까지 가열돼 태양 표면 6000도보다 온도가 훨씬 높다. 이같은 현상은 아직 전문학자들도 풀지 못한 수수께끼다.나사는 파커가 이번 비행에서 태양에 대한 기존 지식을 뒤흔들 수 있는 관측 데이터를 수집했을 것으로 기대하고 있다.NASA의 태양물리학 부문 책임자인 조 웨스트레이크는 “이 데이터는 인류가 전혀 경험하지 못한 장소에 대한 신선한 정보를 제공할 것“이라고 말했다. 파커의 다음 태양 근접 비행은 내년 3월 22일과 6월 19일에 예정돼 있다."
2024-09-22,"Chung Eui-sun visits Czech plant, vows to strengthen Hyundai’s European EV strategy","HyundaiMotorGroupChairmanChungEui-suninspectstheproductionlinewithlocalemployeesduringavisittotheHyundaiMotorManufacturingCzech(HMMC)plantinNošovice,CzechRepublic,onSept.19, 2024./HyundaiMotorGroupHyundaiMotorGroupChairmanChungEui-sunreaffirmedthecompany’scommitmenttotheEuropeanmarket,despitetheslowingdemandforelectricvehicles,duringarecentvisittoHyundaiMotorManufacturingCzech(HMMC).OnSept.22,HyundaiMotorGroupannouncedthatChungvisitedtheHMMCplantinNošovice,CzechRepublic,onSept.19toinspectitsproductionlines.Theplant,whichopenedinNovember2008,playsakeyroleinmeetingEurope’shighdemandforeco-friendlyvehicles.FromJanuarytoJulythisyear,38.3%ofthevehiclesproducedattheplantwereeco-friendlymodels,thehighestproportionamongHyundai’smajorfactories,includingthoseinSouthKorea(30.4%)andtheU.S.(9%).ChungemphasizedtheCzechplant’ssignificance,stating,“Thisfactoryisacrucialhubforfutureinvestmentsineco-friendlymobilityvisionandtechnology.Despiteglobalmarketuncertainties,itcontinuestoplayapivotalroleinHyundaiMotorGroup’ssustainedsuccess.”Heacknowledgedthechallengesposedbyshiftsintheelectricvehiclemarketbutstressedtheneedto“reinforceourunwaveringeffortstowardinnovationandsustainablegrowth.”Chung’svisithighlightsHyundai’sintenttostrengthenitspositionintheEuropeanmarket,whichisadvancingtowardelectrificationfasterthananyotherregion,despitetheEVdemandslowdown.HyundaiMotorGroupplanstolaunchnewelectricmodelsinEuropelaterthisyear,includingHyundai’sCasperElectricandKia’sEV3.Hyundaiisalsoenhancingitslocalinfrastructure.Kia’sAutolandSlovakia,anotherkeyEuropeanplant,ispreparingtobeginlocalEVproductioninthesecondhalfofnextyear.Additionally,HyundaiisexpandingitsR&DcapabilitiesattheEuropeanTechnicalCenter(HMETC)."
2024-12-26,"코스맥스그룹, 2025년 정기 임원 인사... 연구조직 세분화","코스맥스그룹이 26일 정기 임원 인사를 단행했다. 코스맥스그룹 측은 ‘미래 경쟁력 확보’를 인사 핵심으로 내세우고 연구 조직을 대대적으로 개편했다.코스맥스CI/코스맥스이번 인사에서 이상인 코스맥스광저우 총경리(사장)가 코스맥스차이나 총경리로, 양치연 코스맥스차이나 마케팅 부문장(부사장)이 코스맥스광저우 총경리로 이동했다. 이상인 사장은 2017년부터 코스맥스광저우 총경리를 맡으며 ‘퍼펙트다이어리’ 등 중국 내 대형 브랜드와 거래를 성사시켜 법인 안정화에 기여했다는 평을 받고 있다. 양치연 부사장은 코로나 시기였던 2021년 코스맥스차이나 역대 최대 매출 달성에 기여하는 등 코스맥스 중국사업 확대에 일조했다. 코스맥스그룹 측은 “각 신임 총경리들이 기존 법인에서 성공 경험을 토대로 중국 화장품 시장에서 새로운 도약을 위한 기회를 발굴해 줄 것으로 기대한다”고 밝혔다.코스맥스그룹은 대표급 전보와 함께 ‘미래 경쟁력 강화’와 ‘다양성·역동성 확대’에 중점을 둔 임원 승진자 명단 28명을 공개했다.김남중 코스맥스 마케팅부문장(전무)과 김승민 코스맥스차이나 경영관리부문장(전무)이 부사장으로 승진했다. 김남중 부사장은 이번 승진과 함께 건강기능식품 관계사인 코스맥스엔비티 대표에 내정됐다.연구·혁신(Research&Innovation) 부문에선 10명의 승진자가 나왔다. 대표적으로 크림 제형 개발을 주도해 온 지진구 코스맥스CL랩장과 강병하 코스맥스차이나 제형연구소장이 펠로우1(Fellow1·상무급)으로 승진했다.코스맥스그룹은 이번 인사와 함께 핵심 연구 조직인 코스맥스 R&I센터를 대대적으로 개편했다. 제형별로 합쳐져 있던 조직을 세분화하고, 기존 18개 랩을 23개로 확대했다. 마스크시트와 팩 제형 강화를 위한PM랩과 친환경 포장재 전문성 강화를 위한PS랩을 각각 신설하고, 자외선차단제 혁신을 위한SC(SunCare)랩을 독립·확대했다.코스맥스그룹 측은 “세계적인 초격차 연구기술 경쟁력을 확보하고 세계 최고 수준의 기술 개발을 주도해 변화하는 고객 요구에 신속하게 대응하겠다”고 밝혔다.아래는 코스맥스그룹 임원 인사 명단.<코스맥스비티아이>◇ 전무 승진 ▲이진일◇ 상무보 승진 ▲김상준 ▲서미숙◇Fellow2(상무보급) 승진 ▲윤석균<코스맥스>◇ 부사장 승진 ▲김남중◇ 전무 승진 ▲박진호◇ 상무 승진 ▲신병모◇ 상무보 승진 ▲남중현 ▲여연화 ▲박미주◇Fellow1(상무급) 승진 ▲지진구◇Fellow2(상무보급) 승진 ▲김성용 ▲김정겸 ▲문선영 ▲여현주 ▲우수연<코스맥스차이나>◇ 사장 전보 및 총경리 선임 ▲이상인◇ 부사장 승진 ▲김승민◇Fellow1(상무급) 승진 ▲강병하<코스맥스광저우>◇ 부사장 전보 및 총경리 선임 ▲양치연<코스맥스타일랜드>◇ 상무 승진 ▲강민구<코스맥스엔비티>◇ 상무 승진 ▲박종철◇ 상무보 승진 ▲김도형 ▲김혜진 ▲문기화<코스맥스바이오>◇ 상무보 승진 ▲김재환 ▲박일서<코스맥스파마>◇ 상무보 승진 ▲박명훈<코스맥스네오>◇ 상무 승진 ▲박인성<코스맥스아이큐어>◇ 상무보 승진 ▲차지훈"
2024-12-26,Seoul aims to host 2036 Olympics with a budget-friendly approach,"Seoulhasunveiledanambitiousbidtohostthe2036Olympics,promisingacost-effectiveGamesthatwillshowcaseSouthKorea’siconiclandmarksandexistingsportsinfrastructurewhilecollaboratingwithneighboringregions./SeoulMetropolitanGovernmentSouthKorea’scapital,Seoul,unveileditsbidonDec.25tohostthe2036Olympics,showcasingaplantostageeventsaticoniclocationsacrossthecityandbeyond.MayorOhSe-hoonfirstexpressedinterestinhostingtheGamesin2022,andnow,adetailedblueprinthasbeenmadepublic.Thecity’sproposalemphasizesan“economicOlympics,”aimingtominimizecostsbyutilizingexistingsportsfacilitiesandsharingeventswithotherregions,includingBusan,Incheon,GyeonggiProvince,andGangwonProvince.AfeasibilitystudycommissionedbythecityandconductedbytheKoreaInstituteofSportsScienceestimatedtotalcostsat5.08trillionwon($3.46billion),roughly40%ofthe$9.36billionspentonthe2024ParisOlympics.“Wewillutilize100%ofcurrentfacilitieswithoutconstructingnewones,” acityofficialsaid.TheopeningandclosingceremoniesareslatedforJamsilOlympicStadium,thevenueforthe1988SeoulOlympics,whichisundergoingaremodelingprojectsetforcompletionin2026.Nearby,theJamsilSportsandMICEComplex,currentlyunderdevelopmentbyHanwhaConsortium,willhosteventslikebasketball,wrestling,andjudo.Thecomplex,expectedtobecompletedby2032,willfeatureadomebaseballstadium,hotels,andotheramenities.ArcherywilltakeplaceinGwanghwamunSquare,aprominentculturalandhistoricalsite,withiconiclandmarkssuchasthestatueofAdmiralYiSun-sinservingasadramaticbackdrop.“Thesightofourathletesshootingarrowsagainstthissettingwillbebroadcastglobally,”theofficialnoted.ThetriathlonisplannedforBanpoHangangPark,wherethecitypreviouslyheldacitizentriathlon.ASeoulofficialemphasizedthecleanwateroftheHanRivercomparedtotheSeineinParis,whichhostedswimmingeventsduringthe2024Games.Additionally,YeouidoHangangParkwillhostbeachvolleyball,whileYeouidoParkwillstageskateboardingandbreaking(breakdancing),bothpopularamongyoungeraudiences.OthersportsvenuesincludeJangchungArenaforvolleyball,theOlympicGymnasticsArenaforgymnastics,andSeoulWorldCupStadiumforsoccer.Of38totalvenues,14willutilizefacilitiesinotherprovinces,suchassurfinginYangyang,GangwonProvince;golfatJackNicklausGolfClubKoreainIncheon;badmintonandtabletennisatKINTEXinGoyang,GyeonggiProvince;andsailingatSuyeongBayYachtCenterinBusan.Seouliscompetingagainstseveralothercountries,includingIndia,Qatar,Indonesia,Egypt,Türkiye,andSouthAfrica,forthe2036Games.AnalystsviewIndia,withitsmassivepopulation,andQatar,aimingtobethefirstMiddleEasternOlympichost,asstrongcontenders.However,S.Korea’sextensiveexperienceinhostingmajorsportingeventsbolstersitsbid.TheInternationalOlympicCommittee(IOC)isexpectedtodecidethehostcityafter2026.MayorOhexpressedoptimism,highlightingthetransformativeimpactofthe1988Olympics.“The1988SeoulOlympicspropelledSouthKoreaontotheglobalstage.Hostingthe2036Gameswillserveasanewdrivingforceforourcountry’sgrowth,”hesaid.WhileproponentscitetheOlympicsasawaytoboosturbancompetitiveness,criticsremainskepticalaboutpotentialcosts.TheMoriMemorialFoundationinJapannotedthatcitieslikeTokyoandParissawsignificantincreasesinglobalcompetitivenessafterhostingtheGames.Seoulrecentlyclimbedtosixthplaceinthefoundation’sglobalcityrankings,trailingonlycitieslikeTokyo,Paris,andLondon."
2024-12-27,Small firms caught off guard as South Korea ends 52-hour workweek exemption,"TheKoreaFederationofSmallandMediumBusiness(KBIZ)officeinSeoul./KBIZSouthKorea’sMinistryofEmploymentandLaborannouncedonDec.26thatthelawrestrictingtheworkweektoamaximumof52hourswillapplytosmallandmedium-sizedenterprises(SMEs)withfewerthan30employeesstartingJan.1nextyear.Forthepasttwoyears,SMEswithfewerthan30employeeshavebeenexemptfromthe52-hourworkweekpolicyunderagraceperiod,calculatingweeklyworkinghoursupto60perweek.Thegovernment’sabruptnoticethatthisgraceperiodwillendbytheendoftheyearconfusedsmallbusinessowners,whoclaimthatthey“didn’tseeitcoming.”SomeSMEshaveexpressedfrustration,criticizingthegovernmentforannouncingsuchasignificantpolicychangelessthantendaysbeforeimplementation,leavingthemnotimetoprepare.“Mostsmallbusinesseswithfewerthan30employeesassumethe52-hourworkweekdoesnotapplytothemduetoalackofenforcementandpenalties,”saidChooMoon-gab,headoftheEconomicPolicyDepartmentattheKoreaFederationofSmallandMediumBusiness(KBIZ).Inmanysmallbusinesses,workersareoftenpaidminimumwageandrelyonovertimehoursandspecialshiftstoincreasetheirearnings.Criticsarguethatthevoicesoftheseworkersareusuallydrownedoutbythedemandsoflaborunionsatlargeconglomerates.TheSMEcommunitywarnsthatenforcingablanket52-hourworkweekwillworsenexistingchallenges,particularlyforbusinessesthatrelyonforeignlabor.Forcompanieswhereforeignworkersmakeupasignificantportionoftheworkforce,areducedworkweekwouldleadtoadropinincomefortheseworkers,potentiallyexacerbatingthesector’slaborshortageproblem.“Anemployeethatworks60hoursearns3.3millionwon($2,300)permonth,butifthehoursarecappedat52,theemployee’ssalarydecreasesto2.8millionwon,”saidoneSMEemployer.“Foreignworkers,whoprioritizepayoverwork-lifebalance,maystartleavingorevenbecomeillegalimmigrantsinpursuitofhigherpay.”Somefearthatmorecompanieswillrestructureorsplitintosmallerentitieswithfewerthanfiveemployeestoexploitexemptionsfromthe52-hourregulation.“Companieswithworkweeksexceeding52hoursareusuallystartupswithstronginnovationandgrowthpotential,”saidNohMin-sun,aresearcherattheKoreaSmallBusinessInstitute.“This52-hourworkweekpolicycoulddealablowtothesecompetitivestartups.”"
2024-12-20,Seoul lights up with dazzling winter light show at DDP,"""ToYourDailyLife”byTikitakabooboo.CreatedbyTikitakabooboo,amarriedcoupleandYouTuberswith1.27millionfollowers,theartworkdepictsthemenjoyingtheirsimpledailyliveswhiledreamingofjoiningachoirwithmanymembers./ChoIn-wonAstheyearwindsdowninasombertone,eventsthatilluminatetheseasonofferaglimmerofhope.EchoingHannahArendt’swords,“Eveninthedarkestoftimeswehavetherighttoexpectsomeillumination,”Seoulisonceagainhostingitssignaturewinterlightfestival.OnDec.19at7p.m.,theSeoulLightDDP2024WinterkickedoffatDongdaemunDesignPlaza(DDP),featuringadazzlinglightshoworganizedbytheSeoulMetropolitanGovernmentandtheSeoulDesignFoundation.Sinceitsinceptionin2019,theSeoulLightDDPeventwasheldonceayearuntil2021.Startingin2022,itexpandedtotwiceayear,withbothautumnandwintereditions.Thefestivalhasbecomeapopularattraction,drawingover500,000visitorsannuallysincetheendoftheCOVID-19pandemic.Lastwinteralone,morethan630,000peopleattended.ThehighlightoftheeventisthelightshowprojectedontotheDDP’smassivecurvedfaçade,measuring29metershighand222meterswide.Using26high-poweredprojectors,thevisualsareaccompaniedbymusicfrom50speakers,creatinganimmersiveexperience.Accordingtoeventorganizers,unlikeothermediafaçadesinSeoul,suchasthoseatGwanghwamun,LotteWorldTower,orShinsegaeDepartmentStore,theDDP’slightshowleveragesitsuniquecurvedarchitectureforadistinctivedisplay.Thisyear’stheme,Cheers!,featuresfivesub-themes,eachbroughttolifebyrenownedartists,graphicdesigners,andcreators.Worksinclude:ToYourDailyLifebyTikitakaboobooToYourDreamsbyKimSun-wooToYourChangesbyJogumanStudioToYourSmilesbyJeBaakToYourRelationshipsbyJeanJullienTheartworkfeaturesvibrantcolorsandapproachablecharacters,captivatingaudiences.Despitethefreezingtemperatures,spectatorseagerlycapturedtheopeningshowontheirphones,snappingvideosandselfiesagainstthevividbackdrop.""ToYourDreams”byKimSun-woo.Theartworkvisualizesthestoryofadodothatregainsflight,soaringintotheskyfromtheforestwhileholdingashootingstar./ChoIn-won""ToYourChanges”byJogumanStudio.TheartworkportraysaBrachiosaurustrappedinglass,movingforwardtowardanewbeginningwhileleavingthepastbehind./ChoIn-won""ToYourSmiles”byJeBaak.Presentedasaclaymation,theartworkusesvibrantcolorsandearthytexturestoconveyamysticalsmilethattransformsitssurroundings./ChoIn-wonChoIn-wonThefestivalrunsthroughDec.31,withsixlightshowsdailyfrom7p.m.to9:30p.m.at30-minuteintervals.Admissionisfree,andaspecialcountdowneventwillmarkthearrivaloftheNewYearonthefinalnight.ChoIn-wonChoIn-wonChoIn-wonChoIn-won"
2024-12-14,"Han Duck-soo steps in as South Korea’s acting president, vows stability","SouthKorea’sPrimeMinistertakeshelmafterPresidentYoon’simpeachment,ordersmilitaryonhighalertSouthKorea'sPrimeMinisterHanDuck-soo,nowactingpresident,enterstheGovernmentComplexSeoulinJongnoDistrict,Seoul,onDec.14,afterNationalAssemblyapprovedtheimpeachmentmotionagainstPresidentYoonSuk-yeol./News1SouthKorea’sPrimeMinisterHanDuck-soobeganhisdutiesasactingpresidentonDec.14afterPresidentYoonSuk-yeol’simpeachment.Thismarksthethirdtimeinthenation’shistorythataprimeministerhastakenonpresidentialdutiesduetoimpeachment.PrimeMinisterHanexpresseddeepconcernoverthesituation,statingthathis“heartisveryheavy”andpledgedto“devoteallmyenergyandeffortstoensuringstability.”Han,75,isaveterantechnocratwhohasservedinleadershippositionsformorethanthreedecadesunderfivedifferentpresidents,bothconservativeandliberal.UnderKorea’sConstitution,theprimeministerassumestheroleofactingpresidentifthepresidentisimpeached.PresidentYoon’spresidentialdutiesareonlysuspendeduntiltheConstitutionalCourtdeliversitsverdictontheimpeachmentmotion.Ifthecourtupholdstheimpeachment,Yoonwillberemovedfromoffice,andtheprimeministerwillcontinuetoactaspresidentuntilanewpresidentiselectedwithin60days.UnliketheUnitedStates,wherethevicepresidentautomaticallysucceedsthepresidentintheeventofavacancy,SouthKoreadoesnothavesuchasuccessionsystem.PrimeMinisterHanissuedanurgentdirectivetostrengthenthemilitary’sstateofalertafterlawmakerspassedtheimpeachmentmotionagainstPresidentYoon.Hestressedtheneedtopreventpublicuneaseandensurenationalsecurity.“Thegovernmentmustdoeverythinginitspowertomaintainstability,”hetoldofficialsacrossallministries.HaninstructedDeputyDefenseMinisterKimSun-ho,whoistemporarilyleadingtheDefenseMinistry,to“increasethemilitary’sreadiness”toensurethesafetyofthepeoplebypreventinganygapsinnationalsecurity.”KimMyung-soo,chairmanoftheJointChiefsofStaff,wastaskedwith“reinforcingvigilance”againstpotentialNorthKoreanprovocations.Hanurgedhimtomaintaina “firmdefenseposture”basedontheU.S.-ROKalliancetodeteranymiscalculationsbyPyongyang."
