date,title,content
2024-09-27,돈 풀겠다는 中… 화장품·식품·전선株 수혜 볼듯,"경기 부양책 잇따라 발표일러스트=조선디자인랩·Midjourney최근 중국이 유동성(돈) 공급, 대규모 소비 바우처 발행 등 경기 부양책을 잇달아 발표하면서, 국내 투자자들도 중국 경기 부양책의 수혜주를 찾는 데 분주하다. 중국 증시도 뜨겁다. 26일 중국 증시 대표 지수인CSI300은 4% 넘게 상승했고, 홍콩Ｈ지수도 7000을 넘기며 연중 최고치를 기록했다. 증권가에서는 대중 수출 비중이 높은 화장품과 식품, 수요가 늘어 가격 상승이 예상되는 구리·철강 등 원자재 관련 종목들이 수혜를 입을 것이라는 전망이 나온다. 다만 일각에선 “일부 종목은 기업 체질 개선이 동반되지 않는다면 주가 상승이 오래가지 않을 수도 있다”는 의견도 나온다.그래픽=양진경돈 푸는 中, 수혜주를 찾아라중국은 지난 24일 시중 유동성 공급 등 대규모 경기 부양책을 공개했다. 판궁성 중국인민은행 총재는 “조만간 지급 준비율을 0.5%포인트 낮춰 금융 시장에 유동성 1조위안(약 189조4000억원)을 제공할 것”이라고 했다. 지급준비율이란 은행의 예금 중 중앙은행에 맡겨야 하는 돈의 비율로, 이를 내리면 시중에 돈이 더 풀리는 효과가 있다. 중국 지방 정부도 연이어 경기 부양책을 내놨다. 상하이시는 25일 외식, 숙박, 영화 등 4개 분야에서 사용할 수 있는 5억위안(약 950억원)의 소비 쿠폰을 배포하기로 했다.이 같은 중국의 부양책은 일차적으로 중국 수출 비중이 큰 K뷰티, K푸드 업종의 실적에 도움이 될 것이란 전망이 나온다. 26일 한국거래소에 따르면, 국내 대표적인 화장품주인 아모레퍼시픽 주가는 중국의 경기부양책 발표 하루 뒤인 25일 9.04% 상승하면서 올 들어 최고 상승률을 보였다. 아모레퍼시픽 주가는 최근 한 달간(26일 기준) 21%가량 상승했다.이외에도 화장품 업종인 코스맥스와LG생활건강도 최근 한 달간 주가가 각각 9.1%, 8.1%쯤 상승하며 화장품 업종이 고른 강세를 보였다. 박현진 신한투자증권 연구원은 “코스맥스는 중국 사업 의존도가 전체 이익 대비 45% 이상으로 높은 수준”이라며 “중국 로컬 시장 내 소비력이 개선된다면 화장품 수요도 자연히 회복될 것으로 예상된다”고 했다.‘불닭볶음면’의 수출 호조로 성장하고 있는 삼양식품도 향후 중국 수출 물량이 늘어나면서 실적이 좋아질 것이란 전망이 나온다. 대신증권은 올해 3분기(7~9월) 삼양식품의 매출을 4269억원으로 전망했는데, 이는 전년 대비 27.3% 증가한 수치다. 삼양식품 주가는 26일 5.59% 상승했다.전선·철강 등도 수혜 예상중국 경기 활성화로 산업 전반에 소재로 사용되는 구리의 가격 상승도 예측되면서 ‘전선주’도 수혜 종목이 될 것이라는 분석이 나온다. 전선업체들은 구리 등 원자재 가격을 판매가에 반영하기 때문에 구리 가격 상승은 전선업체 매출 상승을 부르기 때문이다. 26일 대한전선과 가온전선은 2.82%, 3.94%씩 상승했다.현대제철·포스코홀딩스 등 철강업 종목도 중국 경기부양책 수혜주가 될 가능성이 있다. 박현욱 현대차증권 연구원은 “현재 중국 철강 수요 부진은 2015년과 비슷하다”며 “중국 경기가 회복되면 부진했던 수요 개선 등으로 철강업 실적이 반등할 수 있다”고 했다.“기업 체질 개선되는지 봐야”그러나 전문가들은 “이들 종목 투자를 고려할 때 단순히 중국 경기 이슈만 참고 삼아서는 안 된다”고 조언한다. 정지윤NH투자증권 연구원은LG생활건강에 대해 “3분기 중국 매출 회복은 지속되고 있으나, 글로벌 마케팅 지출 확대로 이익 레버리지를 기대하기는 제한적”이라고 했다. 특히 화장품 종목의 경우 브랜드 리뉴얼이나 판매 채널 구조조정 등 기업 체질 개선이 동반되지 않으면 주가 상승이 오래가지 않을 수 있다는 의견도 있다.이번 부양책이 중국 증시의 구조적 상승까지 이끌기는 어려울 수도 있다는 시각도 나온다. 이동연 한국투자증권 연구원은 “중국 경기 개선 속도는 여전히 더뎌 10월 중순에 9월 실물 지표가 발표되는 시점에 투자 심리가 다시 약해질 수 있다”고 했다. 향후 지표에 따라 중국발 국내 종목 주가 상승세에도 제동이 걸릴 가능성이 있다는 것이다."
2023-11-21,구동휘 LS일렉 부사장 LS MnM으로 이동해 상장 추진한다,"LS그룹 2024 임원 인사LS그룹이 2024 임원 인사를 21일 단행했다. 글로벌 경제 불황이 이어지는 가운데 대부분 계열사CEO(최고경영자)가 유임됐다. 사장·부사장 승진자도 각각 2·3명씩 나왔다.LS그룹 3세 중 구자열 회장의 아들 구동휘LS일렉트릭 비전경영총괄 대표(부사장)가 소재 전문 기업인LSMnM(옛LS니꼬동제련)의COO(최고운영책임자)로 이동하며 기업공개(IPO)를 준비한다.LS그룹 관계자는 “이번 인사의 키워드는 조직 안정과 신상필벌의 원칙을 적용한 성과주의”라며 “글로벌 경기 침체를 고려해 외형과 조직 변화를 최소화하면서도 각 회사별로 글로벌 사업 등 비즈니스 성장에 기여한 분야는 승진 및 조직을 강화했다”고 말했다.구동휘LS일렉트릭 부사장./LS일렉트릭이번 인사의 가장 큰 축은LSMnM의 조직 개편을 단행한 것이다. 최근 이차전지 소재 사업에 본격 진출한LS는 이 사업에 대한 실행력을 강화하기 위해LSMnM에COO와 경영관리 본부를 신설한다.LS그룹 3세 중 구동휘LS일렉트릭 부사장이LSMnMCOO로 이동한다. 지주사인 ㈜LS의 심현석CFO(전무)가 부사장으로 승진하며LSMnM경영관리 본부장을 맡는다.구 부사장은 ㈜LS,E1,LS일렉트릭 등을 거치며LS그룹의 미래 성장 사업을 두루 경험해왔다. 심 전무는 기획 및 재무 분야에서 운영 관리 능력을 인정받은 인물이다. 이들은 향후LSMnM의 소재 사업 추진을 가속화하면서 상장을 추진한다.2024LS그룹 정기 인사에서 사장으로 승진하는 오재석LS일렉트릭 전력CIC부사장(왼쪽)과 신재호LS엠트론 대표이사 부사장. /LS이밖에 사장·부사장·전무 승진자도 고루 나왔다. 먼저 오재석LS일렉트릭 전력CIC부사장이 사장으로, 신재호LS엠트론 대표이사 부사장이 사장으로 각각 승진했다. 오 부사장은LS일렉트릭의 주력인 국내 전력 사업을 총괄하면서 해외 사업도 적극 지원해 글로벌 역대 최대 실적을 달성하는데 기여했다는 평가를 받는다. 신 대표는 주력인 트랙터 사업의 북미 투자를 강화해 성장세 유지를 이끌었다는 점을 인정받았다.이밖에 부사장 승진자는 심현석(LSMnM), 정현(가온전선), 최창희(슈페리어 에식스) 등 3명, 전무 승진자는 김우태(LS전선), 채대석, 이상준(이상LS일렉트릭), 박명호(LS엠트론), 김명균(가온전선) 등 5명이다.LS관계자는 “이번 임원 인사를 통해LS그룹은 경제 위기 속에서도 위기를 기회로 삼아 그룹의 미래 성장을 독려할 것”이라며 “특히 배∙전∙반(배터리∙전기차∙반도체) 관련 사업 분야를 강화함으로써 탄소 배출이 없는 전력 시대를 이끌어나갈 계획”이라고 밝혔다.[인사 명단 ][㈜LS]◇ 상무 승진▲ 강동준 세무부문장◇ 신규 이사 선임▲ 박재영 법무부문장(전문위원) ▲ 최원규 경영기획부문장[LS전선]◇ 전무 승진▲ 김우태 배전사업본부장◇ 상무 승진▲ 김원배 해저생산부문장 ▲ 이상돈 유럽/중동지역본부장 ▲ 차금환 생산기술센터장(연구위원) ▲ 김진용 구매부문장◇ 신규 선임▲ 변정일LSCUS법인장 ▲ 손태원Busduct영업부문장 ▲ 백승엽 지중생산부문장[LS일렉트릭]◇ 사장 승진▲ 오재석 전력CICCOO◇ 전무 승진▲ 채대석 비전경영부문장(CVO) ▲ 이상준 자동화CICCOO◇ 상무 승진▲ 이상열 전력CICSE사업부장 ▲ 김순우 비전경영부문(CVO) 비전전략/기획실장CSO▲ 구병수 자동화CIC자동화Device사업부장◇ 신규 이사 선임▲ 김희중 전력CIC연구개발본부 전력전자연구단장(연구위원) ▲ 허승재 전력CIC전력그리드사업부 전력시스템영업실장 ▲ 선규근 자동화CIC자동화경영지원부문장 ▲ 이정용 글로벌CICEMEA사업부장 ▲ 정호찬 글로벌CIC글로벌시스템사업부장 ▲ 구소희 비전경영부문(CVO)DXLab장(연구위원)◇ 외부영입▲ 최해운 이사ESG총괄 법무부문장(전문위원)[LSMnM]◇ 이동(전입)▲ 구동휘 부사장◇ 부사장 승진▲ 심현석 경영관리본부장 겸)재경부문장◇ 상무 승진▲ 한동훈 지원부문장CHO[LS엠트론]◇ 사장 승진▲ 신재호 대표이사CEO◇ 전무 승진▲ 박명호 지원본부장CHO[E1]◇ 신규 이사 선임▲ 전진만 대외협력실장[예스코]◇CEO선임▲ 김환 상무◇ 신규 이사 선임▲ 김은일 기획재경부문장CFO▲ 이창우 경영지원부문장CHO◇ 이동(전입)▲ 방혁준 이사[LSE-Link]◇ 상무 승진▲ 김대근 대표이사CEO[LS글로벌]◇ 신규 이사 선임▲ 김형민 대표이사CEO[가온전선]◇ 부사장 승진▲ 정현 대표이사CEO◇ 전무 승진▲ 김명균 재경부문장CFO◇ 신규 이사 선임▲ 김근식 전력생산부문장◇ 이동(전입)▲ 정창원 이사[LS마린솔루션]◇ 신규 이사 선임▲ 이근창 프로젝트수행부문장 ▲ 구영헌 경영기획부문장[LS메탈]◇ 상무 승진▲ 장재완STS사업부장[LSITC]◇ 신규 이사 선임▲ 김준현 디지털인프라사업부장[GRM]◇CEO선임▲ 김성직 이사[토리컴]◇CEO선임▲ 홍형기 상무[슈페리어 에식스]◇ 부사장 승진▲ 최창희 대표이사CEO"
2023-11-22,"구자열 아들 구동휘, LS MnM 운영 맡는다","LS그룹 인사, 부사장 3명 승진LS그룹이 2024 임원 인사를 21일 단행했다.LS그룹 3세 가운데 구자열 회장의 아들 구동휘LS일렉트릭 비전경영총괄 대표(부사장)이 소재 전문 기업인LSMnM(옛LS니꼬동제련)의COO(최고운영책임자)로 이동했다. 최근 이차전지 소재 사업에 본격 진출한LS는 이 사업을 집중 육성하기 위해LSMnM에COO와 경영관리 본부를 신설하기로 했다.LSMnMCOO를 맡게 되는 구 부사장은 ㈜LS,E1,LS일렉트릭 등을 거치며LS그룹의 미래 성장 사업을 두루 경험해왔다. 지주사인 ㈜LS의 심현석CFO(전무)가 부사장으로 승진하며LSMnM경영관리 본부장직을 수행한다. 이들은 향후LSMnM의 소재 사업 추진을 가속화하면서 상장을 추진한다.오재석LS일렉트릭 전력CIC부사장이 사장으로, 신재호LS엠트론 대표이사 부사장이 사장으로 각각 승진했다. 부사장 승진자는 심현석(LSMnM), 정현(가온전선), 최창희(슈페리어 에식스) 등 3명, 전무 승진자는 김우태(LS전선), 채대석, 이상준(이상LS일렉트릭), 박명호(LS엠트론), 김명균(가온전선) 등 5명이다."
2024-11-27,LS그룹 ‘안정형 인사’… CEO 대부분 유임,"“내년 글로벌 경기 침체에 대응”LS그룹이 26일 이사회를 열고 임원 인사를 했다. 주력 계열사 최고경영자(CEO)가 대부분 유임됐다.LS그룹 관계자는 “내년 글로벌 경기 침체 가능성을 고려해 조직 변화를 최소화했다”고 말했다.LS그룹 3세들은 승진하거나 주요 보직을 맡았다. 고(故) 구자명LS니꼬동제련(현LSMnM) 회장의 장남인 구본혁(47) 예스코홀딩스 대표이사(사장)가 부회장으로 승진한다. 예스코홀딩스는 도시가스 사업이 주력인 예스코의 지주사이다.구자열 회장의 아들 구동휘(42)LSMnM최고운영책임자(COO)는CEO를 맡는다. 부사장 직위는 그대로 유지하며, 그룹의 핵심 신사업인 배터리 소재 분야를 주도적으로 이끌 예정이다. 회사는 2027년까지 기업공개(IPO)를 추진할 예정이다. 구자철 예스코홀딩스 이사회 의장의 장남 구본권(40)LSMnM전무는 부사장으로 승진했다.이 밖에LS마린솔루션과 자회사LS빌드윈은 김병옥LS전선 상무가LS이모빌리티솔루션은 박찬성LS엠트론 전무가 신임CEO로 각각 선임돼 해상·육상 케이블 시공 사업 확장을 이끌게 된다. 이상호LS전선 최고재무책임자(CFO) 전무는 부사장으로 승진했다.▲㈜LS▷상무 이태호 박진호 팽수만▲LS전선▷부사장 이상호 ▷상무 강병윤 김진구 박승기▲LS일렉트릭▷상무 조주현▲LSMnM▷부사장 구본권▷상무 장원경▲LS엠트론▷상무 최영철▲예스코홀딩스▷부회장 구본혁▷전무 최세영▲예스코▷전무 김환▲가온전선▷상무 박종구"
2022-11-23,[경제계 인사] 한국기계설비단체총연합회 회장에 강성희 외,한국기계설비단체총연합회 회장에 강성희강성희 캐리어에어컨 회장이 기계 설비 관련 국내 최대 단체인 한국기계설비단체총연합회 차기 회장으로 추대됐다. 2024년 취임해 임기는 2년이다.▲㈜LS▷상무 홍석창▲LS전선▷전무 안진수▷상무 장동욱▲LS일렉트릭▷부사장 김동현▷전무 안길영▷상무 박우범 서장철 어영국 윤원호▲LSMnM▷상무 유성환▲LS엠트론▷상무 이상민▲가온전선▷CEO정현▲E1▷부사장 한상훈▷전무 김수근▲예스코홀딩스▷상무 이정철▲LS글로벌▷CEO김형민▲LS전선아시아▷CEO김승환▲G&P▷CEO양영훈▲LSEVKorea▷CEO최숙아▲LSEVC▷CEO홍영호▲GRM▷전무 정경수
2024-11-26,위기 속 안정 LS그룹 인사...구자은 ‘양손잡이 경영’에 속도,"구자은LS그룹 회장이 지난 9월 27일 경기 안양시LS타워에서 열린'LS퓨처 데이(FutureDay)'에서 격려사를 하고 있다. 사진LS그룹LS그룹이 내년도 불확실한 경영환경에 대비하기 위해 승진 규모 최소화와 조직 안정에 방점을 둔 임원인사를 실시했다.LS그룹은 26일 이사회를 열고 최고경영자(CEO) 대부분을 유임시키는 내용을 포함한 2025년도 임원인사를 실시했다.LS그룹은 “올해에 이어 내년에도 전 세계 경영환경 불확실성이 더욱 고조될 것으로 보고, 승진 인사를 최근 3년 내 최소 규모로 내고 조직을 안정적으로 운영키로 결정했다”고 밝혔다.전체적으로 안정에 초점을 뒀지만, 오너가 3세에는 힘을 실어줬다. 구본혁 예스코홀딩스 대표이사가 부회장으로 승진했다. 고(故) 구자명 전LS니꼬동제련 회장의 아들인 대표는 일반 지주회사였던 예스코홀딩스를 투자형 지주회사로 성공적으로 전환했다. 향후 부회장으로서 2030년까지 자산운용규모 1조원, 기업가치 1조원 달성이라는 중장기 목표를 추진할 계획이다.LSMnM은 구동휘 최고운영책임자(COO)·부사장을CEO로 선임했다. 2차전지 양극재의 핵심 소재를 생산할 전기차 배터리 소재(EVBM) 프로젝트에 힘을 싣기 위해서다.LSMnM은 새만금에 1조1600억원을 투입하고, 온산에 6700억원을 투자해 전기차 배터리 소재 공장을 짓고 있다. 구자열LS이사회 의장의 장남인 구 부사장은 그룹 ‘비전 2030’의 핵심 신사업인 배·전·반(배터리·전기차·반도체) 중 배터리 소재 분야를 주도적으로 이끌 예정이다. 구자철 예스코홀딩스 이사회 의장의 외아들 구본권LSMnM전무는 부사장으로 승진했다.LS마린솔루션과 자회사LS빌드윈은 해상~육상 케이블까지 시공 사업 확장과 글로벌 경쟁력을 강화하기 위해 김병옥LS전선 상무를,EV릴레이 등을 생산하는LS이모빌리티솔루션은 북미 등 글로벌 전기차 시장 공략을 주도하기 위해 박찬성LS엠트론 전무를 신규CEO로 각각 선임했다. 그외 주력 계열사CEO들은 대부분 유임됐다.조직개편 측면에서는 R&D 총괄 조직이 신설되는 등 R&D 역량을 강화했다. 미래 성장을 이끌 사업가를 육성하고, 그룹의 근간인 제조 경쟁력을 강화하기 위함이라고 회사는 설명했다.LS관계자는 “장기 저성장 국면과 변동성이 큰 경영 환경 속에서도 위기를 기회로 삼아, 구자은 회장이 추진 중인 기존의 주력 사업을 강화하고 신사업 분야에 과감히 도전하는 ‘양손잡이 경영’을 더욱 가속화 할 계획”이라고 밝혔다. 인사는 1월 1일 자로 시행된다.다음은 승진·영입·전배 명단◆㈜LS▶상무 이태호 팽수만 박진호 ▶이사 엄기성◆LS전선 ▶부사장 이상호 ▶상무 김진구 강병윤 박승기◆LS일렉트릭 ▶상무 조주현 ▶이사 김동영 박진영 박우진◆LSMnM▶CEO구동휘 ▶부사장 구본권 ▶상무 장원경 ▶이사 곽성석◆LS엠트론 ▶상무 최영철◆E1 ▶이사 조병욱◆예스코홀딩스 ▶부회장 구본혁 ▶전무 최세용 ▶이사 이창우◆예스코 ▶전무 김환◆가온전선 ▶상무 박종구◆LS마린솔루션·LS빌드윈 ▶상무 김병옥◆LS에코에너지 ▶상무 장동욱◆LS이모빌리티솔루션 ▶전무 박찬성◆슈페리어 에시스 ▶이사 김운용"
2023-11-22,"[Biz & Now] LS그룹 3세 구동휘, LS MnM으로 옮겨 IPO 이끈다",구동휘LS그룹은 21일 오너가 3세 구동휘(사진)LS일렉트릭 부사장을LSMnM최고운영책임자(COO)로 선임하는 등 2024년 정기 임원 인사를 발표했다. 구 신임COO는 구자열LS그룹 이사회 의장(한국무역협회장)의 장남이다. 회사 측은 “2차전지 소재 사업에 대한 실행력을 강화하고LSMnM의 성공적인 기업공개(IPO)를 실현할 계획”이라고 설명했다.◆LS전선 ▶전무 김우태 ◆LS일렉트릭 ▶사장 오재석 ▶전무 채대석 이상준 ◆LSMnM▶부사장 구동휘 심현석 ◆LS엠트론 ▶사장 신재호 ▶전무 박명호 ◆예스코 ▶대표이사 김환 ◆LSE-Link▶대표이사 상무 김대근 ◆LS글로벌 ▶대표이사 김형민 ◆가온전선 ▶대표이사 부사장 정현 ▶전무 김명균 ◆GRM▶대표이사 김성직 ◆토리컴 ▶대표이사 상무 홍형기 ◆슈페리어 에식스 ▶대표이사 부사장 최창희
2023-11-21,"LS그룹 인사…오너가 3세 구동휘, LS MnM으로 옮겨 IPO 이끈다","LS그룹LS그룹은 21일 오너가 3세 구동휘LS일렉트릭 부사장을LSMnM최고운영책임자(COO)로 선임하는 등 2024년 정기 임원 인사를 발표했다. 오재석LS일렉트릭 부사장과 신재호LS엠트론 대표가 각각 사장으로 승진했다. 구자은 회장 취임 이후 두 번째 인사다.LS는 이날 오전 이사회를 열고 신상필벌과 성과주의 원칙을 적용해 이런 내용의 임원 인사를 확정했다고 밝혔다. 이어 내년에도 전 세계적으로 고금리·고유가·저성장 국면이 이어질 것으로 보고 주요 계열사 최고경영자(CEO)를 대부분 유임시켜 경영 안정에 방점을 찍었다고 설명했다.이번 인사에서 오재석LS일렉트릭 전력CIC부사장과LS엠트론 신재호 대표이사 부사장은 사장으로 각각 승진했다. 오 부사장은 국내 전력 사업을 총괄하면서 해외 사업을 적극 지원해 글로벌 역대 최대 실적을 달성하는 데 기여했다는 평가다. 신 대표는 트랙터 및 사출 사업의 북미 투자를 통해 성장세 유지를 이끌고, 정보기술(IT) 인프라 투자 등 장기적인 성장기반 구축을 인정받았다.구동휘LS일렉트릭 부사장. 사진LS그룹구동휘LS일렉트릭 비전경영총괄 대표이사 부사장은LSMnM의COO로 자리를 옮긴다. 구 신임COO는 1982년생으로 구자열LS그룹 이사회 의장(한국무역협회장)의 장남이다. 지난 2013년LS산전(현LS일렉트릭) 차장으로 입사해 2021년 E1COO,지난해LS일렉트릭 부사장 등을 지냈다. 심현석 ㈜LS전무는 부사장으로 승진,LSMnM경영관리본부장으로 이동한다.LS그룹 관계자는 이번 인사에 대해 “장기 성장 전략인 ‘비전 2030’ 달성을 위해 2차전지소재 사업에 대한 실행력을 강화하기 위한 조치”라며 “LSMnM의 소재 사업 추진을 가속하고 성공적인 기업공개(IPO)를 실현할 계획”이라고 설명했다.이 밖에도LS는 계열사별로 글로벌 사업과 디지털 전환 역량 강화를 위해 임원 확대 및 조직 신설, 신규 임원 선임 등을 실시했다. 다음은 승진 및 신규 선임 임원 명단.◆㈜LS▶상무 강동준 ▶이사 박재영 최원규 ◆LS전선 ▶전무 김우태 ▶상무 김원배 이상돈 차금환 김진용 ▶법인장·부문장 변정일 손태원 백승엽 ◆LS일렉트릭 ▶사장 오재석 ▶전무 채대석 이상준 ▶상무 이상열 김순우 구병수 ▶이사 김희중 허승재 선규근 이정용 정호찬 구소희 최해운 ◆LSMnM▶부사장 구동휘 심현석 ▶상무 한동훈 ◆LS엠트론 ▶사장 신재호 ▶전무 박명호 ◆E1 ▶이사 전진만 ◆예스코 ▶CEO김환 ▶이사 김은일 이창우 ◆LSE-Link▶대표이사 상무 김대근 ◆LS글로벌 ▶대표이사 김형민 ◆가온전선 ▶대표이사 부사장 정현 ▶전무 김명균 ▶이사 김근식 ◆LS마린솔루션 ▶이사 이근창 구영헌 ◆LS메탈 ▶상무 장재완 ◆LSITC▶이사 김준현 ◆GRM▶대표이사 김성직 ◆토리컴 ▶대표이사 상무 홍형기 ◆슈페리어 에식스 ▶대표이사 부사장 최창희"
2022-11-23,[Biz & Now] LS그룹 오너 3세 구본규·구동휘 승진,"LS그룹은 22일 오너가 3세인 구본규LS전선 대표이사 부사장과 구동휘LS일렉트릭 비전경영총괄(전무)을 각각 사장, 부사장으로 선임하는 등 임원 인사를 발표했다. 다음은 승진·영입 임원 명단.◆㈜LS▶부회장 명노현 ▶사장 안원형 ▶상무 홍석창 ◆LS전선 ▶사장 구본규 ▶상무 장동욱 ▶전무 안진수 ◆LS일렉트릭 ▶부사장 구동휘 김동현 ▶전무 안길영 ▶상무 박우범 서장철 어영국 윤원호 이상범 ◆LSMnM▶부회장 도석구 ▶상무 유성환 ◆LS엠트론 ▶상무 이상민 ◆가온전선 ▶최고경영자(CEO) 정현 ◆E1 ▶부사장 한상훈 ▶전무 김수근 ◆예스코홀딩스 ▶상무 이정철 ◆LS글로벌 ▶CEO김형민 ◆LS전선 아시아 ▶CEO김승환 ◆G&P ▶CEO양영훈 ◆LSEV코리아 ▶CEO최숙아 ◆LSEVC▶CEO홍영호 ◆GRM▶전무 정경수"
2022-11-22,"LS그룹, 구자은號 첫 임원 임사…‘3세’ 구본규·구동휘 승진","LS그룹이 구자은 회장 취임 후 처음으로 임원 인사를 발표했다. 오너가 3세인 구본규LS전선 대표이사 부사장(구자엽LS전선 회장 장남)은 사장으로, 구동휘LS일렉트릭 비전경영총괄(전무·구자열 ㈜LS의장 장남)은 부사장으로 각각 승진했다.명노현 ㈜LS부회장(왼쪽), 도석구LSMnM부회장. 사진LS그룹구본규LS전선 사장(왼쪽), 안원형 ㈜LS사장. 사진LS그룹22일LS그룹은 이사회를 열고 이 같은 승진 인사를 확정했다고 밝혔다. 그룹 측은 글로벌 경기 침체를 고려해 ‘조직 안정’에 역점을 두고 외형과 조직 변화를 최소화했으며, ‘성과주의’도 함께 고려했다고 인사 배경을 설명했다.구동휘LS일렉트릭 부사장. 사진LS그룹명노현 ㈜LS대표이사 사장과 도석구LSMnM대표이사 사장은 각각 부회장으로 승진했다. 안원형 ㈜LS경영지원본부장(부사장)은 사장으로 승진했다.LS그룹은 경제 위기 속 성장 흐름을 독려하기 위해 전기화 시대(Electrification)를 과감히 이끌어 갈 기술·디지털·글로벌 등 다양한 내외부 전문가를 영입·승진시켜 그룹의 미래 성장을 준비한다는 방침이다. 다음은 승진·전배·영입 임원 명단.◆㈜LS▶부회장 명노현 ▶사장 안원형 ▶상무 홍석창◆LS전선 ▶사장 구본규 ▶상무 장동욱 ▶전무 안진수◆LS일렉트릭 ▶부사장 구동휘 김동현 ▶전무 안길영 ▶상무 박우범 서장철 어영국 윤원호 이상범 ▶이사 조주현◆LSMnM▶부회장 도석구 ▶상무 유성환 ▶이사 김대호 김동환 김성직◆LS엠트론 ▶상무 이상민 ▶이사 정년기 고완◆가온전선 ▶최고경영자(CEO) 정현 ▶이사 염주호◆E1 ▶부사장 한상훈 ▶전무 김수근◆예스코홀딩스 ▶상무 이정철◆LS글로벌 ▶CEO김형민◆LS전선 아시아 ▶CEO김승환◆G&P ▶CEO양영훈◆LSEV코리아 ▶CEO최숙아◆LSEVC▶CEO홍영호◆GRM▶전무 정경수◆토리컴 ▶이사 허기수"
