date,title,content
2024-12-26,"“강원랜드, 단속 요원입니다”… 성인PC방 불법 환전 협박범 붙잡혀","경찰 로고. /조선일보DB성인PC방의 불법 환전행위를 몰래 촬영한 뒤 업주를 협박해 금품을 뜯어낸 일당이 경찰에 붙잡혔다.강원경찰청 형사기동대는 공동공갈 혐의로 60대 A씨를 검찰에 구속 송치하고, 공범인 50대 B씨를 불구속 송치했다고 26일 밝혔다.A씨 등은 지난 3월부터 6월까지 강원 강릉과 원주지역의 성인PC방을 돌아다니며 불법 환전행위를 몰래 촬영한 뒤 이를 신고하겠다며 성인PC방 업주 4명을 협박해 이들로부터 830만원을 가로챈 혐의다.또 이들은 같은 수법으로 다른 성인PC방 업주 5명에게 1250만원을 뜯어내려다 미수에 그치기도 했다.이들은 강원랜드 또는 사행산업통합감독위원회에 불법 게임장을 신고하며 포상금이 지급된다는 사실을 알고 이 같은 범행을 저질렀다.특히 이들은 범행 과정에서 강원랜드 소속 단속 요원 행세를 하며 성인PC방 업주들을 협박했고, 업주가 돈을 주면 더는 신고하지 않겠다는 확인서를 써주고 나서 동영상을 지워줬다. 이에 응하지 않은 업주에 대해선 실제로 강원랜드에 신고해 포상금을 타내기도 했다.경찰 관계자는 “앞으로도 파파라치의 금품 갈취 등 불법행위에 대해 집중 단속을 벌여 나갈 계획”이라고 말했다."
2024-10-17,"[단독] 강원랜드 슬롯머신 수출 사업, 143억 쓰고 정작 수출은 12억원 불과","강원랜드가 2017년부터 신규 사업으로 추진해온 ‘슬롯머신 해외 수출’ 사업이 투입한 예산에 비해 성과가 미비한 것으로 나타났다. 지난달까지 슬롯머신 제조·판촉에만 140억원을 넘게 썼지만, 실제 수출액은 약 12억원에 그쳤다. 해외 대기업들이 장악하고 있는 슬롯머신 시장에 안일하게 뛰어든 결과라는 지적이 나온다.16일 국민의힘 강승규 의원실에 따르면 강원랜드는 자체 개발한 슬롯머신 ‘KL사베리’를 올 8월까지 필리핀 카지노에 총 62대 수출했다. 이렇게 벌어들인 금액은 총 12억5800만원으로, 슬롯머신 1대당 약 2000만원 꼴이다. 앞서 강원랜드는 슬롯머신 필리핀 수출 소식을 알리며 “국제시장에서 강원랜드 슬롯머신이 인정받았다는 뜻”이라고 했다.하지만 사업 내역을 뜯어보면 내실이 없다는 지적이 나온다. 강원랜드가 이 사업 시작 후 지난달까지 슬롯머신 개발·제조와 판촉 등에 들인 돈만 143억원에 달하기 때문이다. 2021년부터 미국 라스베이거스, 싱가포르 등 해외에서 열린 게임 전시회에 참가해 슬롯머신을 홍보했지만, 필리핀 외에는 수출 계약을 성사하지 못했다. 2022년 4월에는 이삼걸 당시 강원랜드 대표가 슬롯머신 홍보 명목으로 영국·오스트리아·슬로베니아 출장을 다녀왔지만 이 역시 성과가 없었다. 이 출장에 들어간 비용만 8600만원이다.향후에도 수익을 낼 가능성이 높지 않다는 분석도 나온다. 글로벌 슬롯머신 시장은 미국IGT와 라이트&원더, 호주 아리스토크랫 등 해외 대기업 3사가 점유율 80% 이상을 장악하고 있다. 카지노 업계 관계자는 “카지노 이용 고객들은 본인이 선호하는 슬롯머신을 계속 즐기는 경향이 있기 때문에, 슬롯머신 시장에 뛰어든 신규 사업자가 점유율을 넓히기는 쉽지 않다”고 했다."
2024-09-05,"카지노株, 규제 완화로 상승... 강원랜드 8% 급등","강원랜드 카지노 내부. /조선일보DB정부 규제 완화로 매출 확대 기대감이 커지면서 5일 카지노 관련 주(株)가 상승 마감했다.이날 강원랜드는 전날 대비 7.9% 상승한 1만7730원에 마감했다. 개장하자마자 외국인과 기관의 쌍끌이 매수로 장중 한때 1만8610원까지 치솟으며 52주 신고가를 쓰기도 했다. 강원랜드의 주가 강세에 힘입어 그랜드코리아레저(GKL)와 파라다이스도 이날 각각 4.4%, 3.7% 오르며 장을 마쳤다.이날 개장 전 강원랜드는 전날 문화체육관광부에서 카지노업 변경 허가를 통보받았다고 공시했다. 공시에 따르면, 외국인 전용존 이용 대상은 시민권자에서 영주권자까지 확대되고, 외국인 전용존 베팅 한도도 30만원에서 3억원까지 늘어난다. 다른 카지노에도 이 같은 규제 완화가 적용될 것이라는 기대감에 카지노 관련주에 매수세가 몰렸다.김현용 현대차증권 연구원은 “국내 카지노 업종은 경쟁 격화 우려에도 업황이 개선되면서 두 자릿수 드롭액(칩 구매 총액) 성장을 이어가고 있다”면서 “일본과 중국의VIP고객들이 돌아오면서 코로나 이전 지표를 초과 달성 중”이라고 말했다."
2024-07-04,“돈 잃어서 홧김에”… 강원랜드 호텔방에 불지른 중국인,"4일 오전 화재가 발생한 강원 정선군 강원랜드 호텔 14층 객실 내 침대와 벽면이 불에 타 그을려 있다. /강원소방본부강원랜드에서 카지노로 돈을 잃자 홧김에 묵던 호텔에 불을 지르고 달아난 중국인 남성이 경찰에 붙잡혔다.4일 정선경찰서는 현주건조물 방화 혐의로 50대 중국인 A씨를 체포해 조사 중이다.A씨는 이날 오전 2시 31분쯤 정선군 사북읍 사북리 강원랜드 호텔 14층 객실에 불을 지른 혐의를 받는다.불은 객실 내 스프링클러가 작동하면서 10여 분 만에 진화됐다. 그러나 남녀 투숙객 등 6명이 연기를 흡입, 현장에 출동한 소방 당국으로부터 산소 치료를 받았다. 다만 병원에 이송될 정도로 큰 부상을 입지는 않았다. 객실 내부가 불에 타면서 300만원 상당 재산 피해도 발생했다.경찰은 방화가 의심된다고 판단, 주변 방범카메라 영상 분석 등을 통해 A씨를 추적해, 인근 숙박업소에서 오전 7시 40분쯤 붙잡았다.A씨는 인근 주유소에서 휘발유를 산 뒤 자신이 묵던 방에서 라이터를 이용해 불을 지른 것으로 조사됐다.A씨는 강원랜드 카지노에서 돈을 잃고 홧김이 범행을 저질렀다고 경찰에 진술했다. 경찰은 A씨를 상대로 현재 정확한 사건 경위를 조사하고 있다."
2024-04-02,"게임장 신축하고 산림 관광 강화...강원랜드, ‘글로벌 복합 리조트’ 청사진","강원랜드 전경. / 뉴시스강원랜드가 글로벌 복합 리조트로의 도약을 선언하고 나섰다.강원랜드는 2일 하이원 그랜드 호텔에서 ‘K-HIT프로젝트 1.0′ 발표회를 갖고 글로벌 복합 리조트 도약을 위한 청사진을 공개했다.이 사업의 핵심은 오는 2032년까지 2조 5000억원을 투입해 카지노의 경쟁력을 높이고 웰니스 센터와 빌리지, 명품 숲길, 스카이 브릿지 등을 조성하는 것이다.강원랜드는 카지노 경쟁력 강화를 위해 카지노 게임장 신축과 규제 완화 계획을 내놓았다. 우선 기존 카지노 게임장(1만5485㎡)의 3배 크기인 5만1678㎡ 규모의 카지노 게임장을 새롭게 조성할 방침이다. 게임 기구 수 확대 등 규제도 완화해 나갈 계획이다.또 외국인 카지노 고객 유치를 위해 베팅 한도를 국내 외국인 카지노 수준으로 재조정하고, 헬기 등 교통편도 제공키로 했다.강원랜드가 지닌 천혜의 산림자원을 활용한 웰니스 산림 관광도 강화키로 했다. 이를 위해 웰니스 센터와 빌리지, 명품 숲길을 조성할 방침이다. 탄광 문화유산과 연계한 관광 상품도 개발, 국내외 리조트와 차별화된 복합 리조트를 만들 계획이다. 상설공연장, 쇼핑 스트리트,K-컬쳐센터 등으로 꾸며진 4계절 복합문화공간도 조성되며, 마운틴 콘도와 그랜드 호텔을 잇는 총 길이 600m의 스카이 브릿지도 놓인다.강원랜드는 이 사업을 통해 연간 방문객이 680만명에서 1200만명으로 늘어나는 한편, 3400명의 일자리가 새롭게 창출될 것으로 기대하고 있다.최철규 강원랜드 대표이사 직무대행은 “제2의 창업 수준의 집중 투자를 통해 글로벌 시장에서 경쟁할 수 있는 복합 리조트를 만들겠다”면서 “폐광 지역 경제 활성화는 물론 국내 관광산업을 선도할 수 있도록 회사의 모든 역량을 집중하겠다”고 말했다."
2024-04-08,[기업 브리핑] 강원랜드 역대 최대 규모인 200명 신입 채용,"강원랜드가 올해 상반기 기관 창립 이래 최대 수준인 200명의 신입 사원을 채용한다고 7일 밝혔다. 카지노 딜러 190명, 사무행정 10명으로, 채용형 인턴으로 선발한다. 22일까지 신청을 받는다."
2023-07-05,"바닥에 떨구고 집 가져가고… 강원랜드, 20년 굴린 칩 90만개 전량 교체","2024년까지 새 칩 63만개 도입강원랜드 카지노 객장 사진 /강원랜드국내 유일의 내국인 카지노 강원랜드가 예산 57억원을 투입해 카지노 칩을 전량 교체한다.강원랜드는 2024년까지 57억원을 들여 칩 63만1200개를 새로 제작할 계획이라고 5일 밝혔다. 칩은 카지노에서 현금 대신 사용하는 게임 머니를 말한다.그동안 강원랜드 카지노에서 발행한 칩은 110만6000여개다. 금액별 1000원권, 5000원권, 1만원권, 10만원권, 100만원권으로 구성돼 있다. 이 가운데 훼손되거나 오염된 칩 등을 제외하고 현재 91만여개가 강원랜드 카지노에서 유통되고 있다. 강원랜드는 기존 91만여개의 칩을 금액별로 폐기하면서, 순차적으로 새로운 칩을 도입해 운영할 계획이다. 기존보다 칩이 약 30만개 줄어들지만 강원랜드는 카지노 운영에는 문제가 없을 것으로 보고 있다.칩을 전량 교체하는 배경으로는 위생 문제가 꼽힌다. 강원랜드는 2003년 메인카지노 개장 이후 고액권 위주로 칩을 두 차례 교체했으나, 저액권의 경우 20년간 그대로 사용해오고 있다. 연간 이용객이 300만명에 달하는 상황에서, 해당 칩들은 오랜 시간 불특정 다수의 손길을 거쳐왔다. 고객들이 칩을 바닥에 떨어뜨리는 일도 많아 위생에 대한 불만이 일부 있었다는 게 강원랜드 측 설명이다.게임을 마치고 난 뒤에도 다음번 게임을 위해 숙소로 칩을 가져가는 이들도 많았는데, 지난 3년간 코로나 사태를 겪으면서 칩을 매개로 각종 바이러스에 노출될 위험이 크다는 판단도 있었다.강원랜드는 새로운 칩에RFID(전자이용 근거리 정보인식 기술)와EM(전자기장) 등 한국조폐공사가 보유한 첨단 위변조 방지 기술을 장착할 예정이다. 다만 위조 가능성이 거의 없는 1000원권은 적용 대상에서 제외했다.강원랜드 관계자는 조선닷컴에 “새로운 칩에 보안 기술을 적용하면 위조 칩 진위 확인에 걸리는 시간이 줄어들고 청결도 개선될 것으로 기대된다”며 “칩 전면 교체 이후 과거 칩을 들고오는 고객에게는 새로운 칩으로 교환하거나 돈으로 환전하라고 안내할 것”이라고 말했다.강원랜드의 칩 교체는 2003년 메인 카지노 개장 이후 세 번째다. 2008년 100만원권 위조 칩 사건으로, 2010년에는 카지노 영업 방식 변경으로 각각 교체한 바 있다. 두 번의 칩 교체는 10만원권과 100만원권만 해당됐다."
2023-04-06,"음식물 쓰레기를 곤충 먹이로… 강원랜드, 친환경 녹색 성장 이끈다","강원랜드에 녹색 바람이 불고 있다. 리조트 내 일회용품의 사용량을 감축하고, 음식물쓰레기의 자원 선순환 시스템을 구축하는 등 녹색 성장 실현에 앞장서고 있다. 기후변화 대응을 위한 공기업으로서의 모범 사례다.강원랜드가 리조트 내 일회용품의 사용량 감축과 음식물쓰레기의 자원 선순환 시스템을 구축하는 등 기후변화 대응에 앞장서고 있다. 사진은 강원랜드 전경./강원랜드지난 1998년 강원 정선군 사북읍에 문을 연 강원랜드는 석탄산업의 사양화로 낙후된 폐광지역의 경제를 살리기 위해 설립됐다. 호텔과 카지노, 스키장, 골프장 등 복합리조트를 운영하며 지역 인재 채용 등 폐광지역 경제를 살리기 위해 앞장섰다. 강원랜드는 이에 그치지 않고 친환경 자원 순환 시스템을 구축, 에너지·기후변화 분야 대응 사업도 적극적으로 펼치고 있다.◇환경정화 곤충으로 음식물쓰레기 처리강원랜드는 지난 2020년 국내 리조트업계 최초로 음식물쓰레기를 친환경 공법으로 처리하는 자원 선순환 시스템을 구축했다. 리조트 내에서 발생하는 음식물쓰레기를 ‘동애등에’ 유충의 먹이로 활용하는 것이다. 이를 통해 연간 2억원에 달하는 692t의 음식물 쓰레기를 처리한다. 음식물 처리에 사용된 동애등에 유충은 반려견의 기능성 간식으로 재탄생된다. 강원랜드는 지난해 반려견의 면역 증진에 도움을 주는 기능성 간식 ‘하이하우 펫푸드’를 출시했으며, 곤충 소재를 활용한 다양한 제품도 개발 중이다.동애등에를 활용해 음식물쓰레기를 처리하는 모습. / 강원랜드음식물 처리과정에서 나온 부산물은 친환경 퇴비로 이용된다. 이 퇴비를 활용해 친환경 채소를 생산, 리조트의 음식재료로 활용하고 있다.강원랜드 관계자는 “한국광해광업공단이 주관한 강원혁신도시 혁신 우수사례 경진대회에서 음식물쓰레기 자원 선순환 사업이 최우수상을 받으며 사업 모델의 확산 가능성을 확인했다”면서 “상용화 추진 기반을 마련한 만큼 올해 상용화 설비 개선에 주력할 예정”이라고 말했다.◇'플라스틱 제로’ 그린리조트 조성강원랜드는 지난해부터 환경부의 ‘일회용품 사용 줄이기 적용 범위 지침’에 따라 일회용품 사용량 감축 운동을 벌이고 있다. 리조트 내 욕실용품과 포장용기 등 일회용품 사용량이 가장 많은 품목 70개를 선정, 2025년까지 친환경 제품으로 전환할 예정이다. 하이원 그랜드호텔 객실에 비치된 비누 등 고체 욕실용품을 비건 인증을 받은 친환경 용품으로 전면 교체하는 등 현재까지 37개의 품목이 친환경 제품으로 대체됐다. 친환경 제품 대체로 연간 273만개의 일회용품 감축 효과를 불러왔다.친환경 고체 어메니티 / 강원랜드폐 침구류도 재활용해 반려동물 매트와 장난감으로 재생산했다. 재생산된 펫용품은 반려동물 동반객실에 배치돼 고객 만족도 상승에도 긍정적 효과를 불러오고 있다.◇자연 선순환 문화 확산 앞장강원랜드는 지난해 강원도, 춘천사회혁신센터와 함께 플라스틱 업사이클링 모델 구축을 위한 플라스틱 프리 리빙랩 프로젝트를 추진했다. 플라스틱 프리 리빙랩 프로젝트는 플라스틱 수거 체계 개선과 재활용 방법을 모색하는 사업이다. 이를 통해 플라스틱 자원 순환 모델을 공동 개발하고, 폐기물 배출 데이터와 수거체계 개선 실험을 진행했다.플라스틱폐기물로 제작한 벤치. /강원랜드6만 2264개의 일회용 플라스틱 폐기물을 벤치와 고객 대여 및 홍보용 담요 등으로 재생산하기도 했다. 플라스틱 자원 순환 모델 확산을 위한 안내책자를 제작, 강원 관광·리조트업계 인식개선에 앞장설 예정이다.이삼걸 강원랜드 대표는 6일 “환경 캠페인을 지속적으로 진행해 환경보호문화 확산에 대한 공감대를 넓혀 나가겠다”고 말했다."
2023-02-27,외국인 상대 카지노株 오르고… 내국인 상대 강원랜드 주가는 하락,"“외국인 입국 1년새 3.3배 늘어… 내국인은 온라인 카지노로 이동”코로나 방역 완화로 국내로 입국하는 외국 관광객이 많아지며 외국인 상대 카지노 업체들의 주가도 최근 상승세를 띠고 있다. 반면, 내국인이 이용하는 카지노인 강원랜드 주가는 방문객 감소로 부진을 겪고 있다. 금투 업계에선 “같은 카지노 종목이라도 상대 고객에 따라 업황이 갈리기 때문에 투자에 유의해야 한다”는 지적이 나온다.지난 24일 기준 이른바 ‘외국인 카지노 3총사’라는 롯데관광개발, 그랜드코리아레저(GLK), 파라다이스의 주가의 최근 3개월 상승률은 각각 27.8%, 21.9% 1.7%를 기록했다. 같은 기간 코스피 지수가 0.6% 하락한 것을 고려하면 상대적으로 높은 수익을 낸 것이다.코로나 방역이 점차 완화되며 외국인 입국이 많아진 것이 가장 큰 원인이다. 정부는 작년 8월부터 2년여 만에 일본 관광객에 대해 무비자 입국을 허용했고, 지난 11일부터는 중국 발 입국자에 대해 단기 비자 발급이 재개됐다. 이에 따라 작년 일본인 국내 입국자는 약 29만7000명을 기록, 전년(1만5000명)의 20배로 폭증했다. 전체 외국인 입국자 수도 320만명으로, 전년 대비 3.3배로 늘었다. 외국인 상대 시장에서 국내 카지노와 경쟁 관계인 마카오 카지노가 최근 당국의 규제로 위축됐다는 것도 희소식으로 작용했다. 외신 등에 따르면 올해부터 마카오 카지노 업체 6곳 합산 테이블 수는 6000대로 제한됐다.반면, 내국인 전용 카지노 업체인 강원랜드의 주가는 같은 기간 14.7% 하락했다. 작년 4분기 하루 평균 방문자가 6200명으로 전 분기 대비 13% 감소하면서 실적이 부진했기 때문이다. 작년 4분기 영업이익은 184억원으로, 시장 전망치(595억원)의 절반도 안 됐다. 이선화KB증권 연구원은 “코로나 기간에 강원랜드 고객 일부가 온라인 카지노 등으로 이동한 것으로 보인다”고 했다. 한 금투 업계 관계자는 “전문적 ‘큰손’들이 주류인 외국인 카지노는 코로나 완화로 호황인 반면, 소액으로 즐기는 ‘일반인’ 비율이 높은 강원랜드는 경기가 침체되며 타격을 받는 모습”이라고 말했다."
2022-11-11,"‘강원랜드 채용비리’ 무죄 권성동, 형사보상금 565만원 받는다","권성동 국민의힘 의원. /뉴스1강원랜드 채용비리 의혹으로 재판에 넘겨졌다가 대법원에서 무죄가 확정된 권성동 국민의힘 의원이 형사보상금을 받게 됐다.11일 관보에 따르면 서울중앙지법 형사51부(재판장 고연금)는 최근 국가가 권 의원에게 565만원의 형사보상금을 지급하라고 결정했다. 형사보상은 무죄가 확정된 경우 형사소송에 든 비용 등을 국가가 보상하는 제도다.권 의원은 2012년 11월부터 이듬해 4월까지 강원랜드 교육생 공개 선발 과정에서 압력을 넣어 의원실 인턴 비서 등 11명을 채용하게 한 혐의(업무방해)로 2018년 기소됐다. 최흥집 전 강원랜드 사장에게서 감사원 감사 청탁을 받고 그 대가로 자신의 비서관을 경력 직원에 채용하게 한 혐의(제3자 뇌물수수), 자신의 선거운동을 도와준 고교 동창을 강원랜드 사외이사로 지명하도록 산업통상자원부 공무원들에게 압력을 행사한 혐의(직권남용)도 받았다.1심과 2심은 관련자 진술의 신빙성 등에 비춰볼 떄 혐의가 입증됐다고 보기 어렵다며 무죄를 선고했다. 대법원도 올해 2월 원심 판단에 문제가 없다며 무죄를 확정했다.한편 서울중앙지법은 가수 고(故) 김광석씨의 부인 서해순씨의 명예를 훼손한 혐의로 기소됐다가 무죄가 확정된 고발뉴스 이상호 기자에게도 520만원의 형사보상금을 지급하라고 결정했다.이씨는 영화 ‘김광석’과 기자회견 등을 통해 서씨가 김씨와 딸을 살해했다는 허위사실을 유포해 서씨의 명예를 훼손한 혐의로 재판에 넘겨졌는데, 1~3심 모두 무죄가 선고됐다."
