date,title,content
2024-01-03,"경동나비엔, SK매직 가전 3개 영업권 인수",'아쿠아썸 타슈켄트 2023' 경동나비엔 부스/뉴시스경동나비엔이SK매직 가전품목 3개의 영업권을 인수한다.3일 업계에 따르면 경동나비엔은SK매직 가전사업부 중 가스레인지·전기레인지·전기오븐 총 3개 품목의 영업을 양도하는 ‘구속력 있는 양해각서(BindingMOU)’를 체결했다. 매매대금은 400억 수준으로 알려졌다.이들은 작년 하반기부터 매각을 위해 협상을 이어왔다. 매각 대상과 가격 산정에서 의견이 달라 한 차례 협상이 결렬되기도 했었다.SK매직이 경동나비엔 측 요구사항을 포괄 수용하기로 결정하면서 입장차가 좁혀진 것으로 전해졌다.경동나비엔은 이번 인수를 통해 렌탈사업을 강화한다. 경동나비엔은 현재 가정용보일러·온수기·난방매트 등 난방장치 중심 사업에서 실내공기질 관리장치 사업으로도 확장에 나서고 있다.SK매직은 이번 가전 부문 일부 매각을 통해 운영 효율화에 나설 예정이다.
2023-02-28,경동나비엔 보일러 해외시장 본격 진출,"올해 북미에 콘덴싱 신제품 출시보일러 기업 경동나비엔이 해외시장 공략을 적극적으로 추진한다. 냉난방과 환기를 통합 관리하는 냉난방 공조(HVAC) 시스템을 앞세워 올해부터 북미 지역 등 글로벌 시장에 본격적으로 진출한다는 계획이다.경동나비엔은 지난 24일 핵심 생산 기지인 경기도 평택의 서탄공장 생산 현장을 언론에 공개하고, 올해부터 냉난방 공조(HVAC) 시스템을 중심으로 글로벌 시장 공략을 본격적으로 시작하겠다는 로드맵을 밝혔다.HVAC는 냉난방과 환기를 아우르는 개념으로, 보일러·에어컨·공기청정기·환풍기 등 각각의 제품을 통해 관리하던 냉난방과 공기 질을 통합 관리하는 시스템을 의미한다.경동나비엔은HVAC시장 진출을 위해 올해 북미 지역에HVAC신제품 ‘콘덴싱 하이드로 퍼내스’를 출시한다. 보일러처럼 가스로 물을 먼저 가열한 후 다시 물과 공기의 열교환을 통해 따뜻해진 공기를 실내에 공급하는 시스템이다. 김종욱 대표이사는 “현재도 국내 보일러 업계 전체 수출의 88%를 차지하고 있지만 글로벌 수요에 맞춰 생산·수출 규모를 더욱 늘릴 계획”이라고 말했다.약 13만2000㎡(4만평) 넓이의 경동나비엔 서탄공장은 단일 공장으로는 세계 최대 규모의 보일러 및 온수기 공장이다. 연간 생산 규모는 2014년 가동 시작 당시 120만대에서 현재 200만대까지 늘었다. 2026년에는 연간 439만대까지 생산량을 늘릴 계획이다.2014년 당시 4289억원 수준이었던 경동나비엔 매출 역시 5년 뒤인 2019년 7742억원, 2년 뒤인 2021년에는 국내 보일러 업계 최초로 1조원을 돌파했다. 지난해 매출은 1조1601억원이다. 같은 기간 해외 매출 비율 역시 2014년 46%에서 2017년 처음으로 50%를 돌파했고, 2021년에는 64%까지 늘었다."
2023-04-07,쿠쿠 밥솥·경동 보일러 한국보다 더 잘 팔리는 곳,"보일러 전문 기업 경동나비엔은 지난해 창사 이래 최대 매출(1조1609억원)을 달성했다. 수출 호조 덕분이었다. 작년 전체 매출의 3분의 2를 해외에서 벌어들였다. 경동나비엔은 북미·중국·러시아 등 전 세계 47국에 보일러와 온수기를 수출하고 있다. 지난해 무역의 날에는 업계 최초로 5억불 수출의 탑을 수상했다.농기계 전문 기업 대동의 북미 시장 주력 제품CK트랙터. 대동은 지난해 매출 1조4637억원으로 사상 최대 실적을 올렸는데, 이 중 약 83%를 수출로 거뒀다. /대동지난해 우리나라 무역 적자는 472억달러(약 62조원)에 달했다. 14년 만에 첫 적자였던 데다가 규모로도 사상 최대였다. 최근 13개월 연속 무역 적자가 이어지고, 수출도 6개월 연속 감소하는 등 한국 경제 버팀목에 적신호가 켜진 상황이다. 이런 어려운 대외 무역 환경 속에서도 일찌감치 수출에 눈을 돌려 성과를 내는 국내 중견 기업들도 있다. 경동나비엔(보일러·온수기), 대동·TYM(농기계), 코웨이(정수기 렌털), 쿠쿠(전기밥솥) 등이다. 이 기업들은 국내 내수 시장이 사실상 포화 상태에 이르렀다는 판단에 일찌감치 해외로 눈을 돌려 기술력과 현지화 전략으로 성과를 거두고 있다.무역적자 최악 상황이지만, 일찌감치 해외로 눈돌려 성공한 ‘K名家’ 중견기업들경동나비엔은 지난해 해외 시장에서 거둔 호실적에 대해 “품질 경쟁력과 현지화 전략이 뒷받침된 결과”라고 했다. 국가별로 난방 문화와 인프라가 다르다는 특성을 고려해 현지 시장 맞춤형 제품을 출시했다는 것이다. 미국에선 큰 탱크에 물을 데운 후 필요할 때 사용하는 저탕식 온수기를 주로 사용해 왔다. 하지만 이 방식은 식구 한 사람이 온수를 많이 쓰면 다음 사람은 그만큼 온수를 쓰지 못하고 물을 데우는 시간도 오래 걸려 에너지 효율이 낮다. 반면 한국의 콘덴싱 온수기는 보일러를 작동했을 때 발생하는 배기가스 열을 재활용해, 에너지 효율을 높이면서 물을 데울 수 있다. 경동나비엔은 2008년 북미 시장에서 한국식 콘덴싱 온수기를 출시해 큰 성공을 거뒀다. 2008년 당시 연간 2만대 수준이었던 북미 콘덴싱 온수기 시장은 지난해 80만대로 40배가량 성장했다.경기도 평택 경동나비엔 서탄공장에서 물류 공정에 배치된 로봇이 보일러를 수출국별로 분류해 적재하고 있다. /경동나비엔국내 시장 대비 해외 시장에서 좋은 성과를 거두는 또 하나의 분야가 농기계다. 국내 농기계 1·2위인 대동과TYM은 지난해 사상 최대인 1조4637억원, 1조1661억원의 매출을 올렸다. 이 기업들 매출 절반 이상이 미국 시장에서 나왔다. 연평균 성장률 1.7% 정도로 정체된 국내 농기계 시장 대신 넓은 정원과 마당이 있는 집이 많은 미국 시장을 적극적으로 공략한 결과다. 업계 관계자는 “코로나 확산 이후 재택근무가 늘면서 정원과 농장을 갖춘 집주인들의 수요가 더욱 늘어난 것으로 보인다”고 했다.철저한 현지화… 제조 과정 할랄 인증까지이 기업들은 십수 년 전부터 해외 진출에 주력해온 만큼 현지화 전략에도 공을 들였다. 밥솥이 주력인 쿠쿠는 중국·베트남·북미 시장에서 좋은 성과를 거두고 있다. 특히 중국 청도복고전자·심양홈시스·요녕전자 3개 법인의 2022년 매출은 924억원으로 전년보다 35% 늘었다. 쿠쿠 측은 “중국 시장에서는 소비자들 취향에 맞춘 다양한 레시피와 중국어 음성 안내 기능을 추가하고, 온라인 쇼핑이 활성화된 현지 시장에 맞춰 온라인 플랫폼 T몰·JD·틱톡 등과 직거래를 늘렸다”고 했다.코웨이는 지난해 전체 매출 3조8561억원 중 1조4019억원이 해외법인에서 발생했고, 이 중 말레이시아 법인 매출액이 처음으로 1조원을 넘었다. 코웨이 관계자는 “2000년대부터 현지에 진출해 방문 판매 위주로 정수기 렌털 시장을 공략해왔고, 무슬림 국가라는 말레이시아 특성을 고려해 필터 등 각종 부품 제조 과정에서 할랄 인증을 통과했다”고 했다."
2024-01-11,400억원 들인 변신… 주방에 도전장 낸 보일러 회사,"내수 침체에 新시장 도전주력 사업이 보일러인 경동나비엔은 최근SK매직과 가스·전기레인지·전기오븐 3개 사업 분야의 영업권을 약 400억원에 인수하는 양해각서(MOU)를 체결했다. 경동나비엔은 그동안 공기청정기 같은 환기시스템으로 사업을 확장하고 있었는데, 이번MOU체결로 주방가전 사업에 뛰어든 것이다. 경동나비엔은 생활가전 업체로 거듭나겠다며 ‘나비엔매직’이라는 상표권 출원까지 마쳤다. 경동나비엔 관계자는 “국내 보일러 시장의 성장이 정체한 게 20년이 넘었고, 온수기나 숙면매트 같은 사업으로는 한계가 있어 회사의 사업구조를 생활가전 분야로 확장하게 된 것”이라며 “환기청정기나 주방 후드 같은 환기 시스템 분야와의 시너지 효과도 기대된다”고 말했다.보일러와 가구, 소형 가전 등 내수(內需) 시장 의존도가 높던 기업들이 주력 사업의 비중을 과감히 줄이고, 신사업을 전면에 내세우며 변신하고 있다. 인구 감소로 내수 시장의 성장세가 멈추고, 지난해부터 부동산 경기 침체까지 심해진 탓에 주거 관련 제품을 생산·판매하던 기업에서 눈에 띄는 변화가 나타나고 있다. 내수 시장만으론 생존이 어려워 해외 시장으로 눈을 돌리는 기업도 늘었다.주력 사업 줄이고, 색다른 제품군에 ‘도전장’지금까진 주력 사업과 유사한 업종에 진출해 시장 확대를 꾀하는 기업이 많았다. 보일러업체가 난방매트 사업에, 밥솥 제조 업체가 정수기 사업에 진출하는 식이다. 그런데 이마저도 한계에 부딪히자 사업 연관성이 없어 보이는 제품군에 ‘도전장’을 내미는 기업이 많아졌다. 저출생과 고령화가 속도를 내는 가운데 경기 침체가 장기화할 조짐이 보이자 “기존 사업만 고집하다가는 미래가 없다”는 위기감을 느낀 것이다.특히 보일러, 주방가전, 가구 같은 제품은 사용 주기가 길고, 주택시장 경기에 매출의 영향을 많이 받는다. 내 집 장만이나 이사 같은 ‘이벤트’가 없다면 소파와 침대는 평균 5~8년 이상, 보일러는 10년마다 교체하는 경우가 많다.그래픽=김현국밥솥으로 잘 알려진 쿠쿠홈시스는 1분기 중 ‘전기 머리 인두기’(고데기) 상품군을 새로 출시하기 위해 최근 ‘제트스타일러’라는 상표권을 출원했다. 그간 필터형 정수기, 공기청정기 등으로 사업을 확대하다가 2년 전부터LED마스크, 헤어드라이어를 선보이며 ‘홈뷰티’ 사업을 시작했다. 안마의자 업체인 바디프랜드는 ‘W얼음정수기’를 출시해 최근 싱가포르 등 해외에도 수출하고 있다.정수기 렌털 사업을 주력으로 하던 코웨이는 2022년 12월 매트리스와 안마의자 브랜드 ‘비렉스’를 출시하고 사업을 키우고 있다. 1년 만에 매트리스 2종, 침대프레임 2종, 안마의자 3종을 선보이고 전국 6곳에 오프라인 매장을 열었다. 에프엔가이드는 코웨이는 침대·안마의자 사업이 안착하면서 지난해 영업이익이 전년(6774억원) 대비 10% 늘어난 7477억원을 기록할 것으로 전망했다.2000년대 초반부터 정체를 겪던 보일러업계도 마찬가지다. 귀뚜라미는 지난해 ‘카본보드 온돌’을 출시하면서 건자재 사업에 뛰어들었다. 카본보드 온돌은 바닥뿐만 아니라 벽면에 설치해 난방 효율을 높이고, 온수 배관 방식의 일반적인 난방 설비보다 공사 기간도 짧다. 반대로 건자재 사업을 주력으로 하는KCC는 실리콘 사업을 강화하면서 부동산 경기 침체 속 활로를 찾고 있다.반려동물 가전·가구로 새 수요 창출기존 고객을 대상으로 새로운 수요를 창출하는 변화를 시도하는 기업도 있다. 선풍기와 히터 등을 판매하는 신일전자는 반려동물 시장이 커지는 것에 주목해 반려동물용 공기청정기·욕조·드라이기 등을 새로 선보였다. 가구업체 에넥스는 지난해 ‘펫토리’라는 이름으로 반려동물이 사용하는 침대, 식탁 등을 출시했다.해외 시장으로 눈을 돌리는 기업도 많다. 세라젬은 2022년 미국에 처음으로 안마의자 직영점을 열었고, 지난해엔 시카고 등 4곳에서 팝업 스토어를 운영했다. 일본과 부탄 등 일부 국가에만 냉·난방제품을 수출하던 신일전자는 북미와 유럽, 호주시장에 새로 도전장을 냈다. 코웨이는 얼음정수기를 앞세워 태국과 말레이시아 등 동남아 시장 공략에 공을 들이고 있다."
2022-08-22,[기업 브리핑] 스마트 보일러 ‘나비엔 콘덴싱 ON AI’,경동나비엔이 기존 보일러 대비 최대 93% 이상 단축된 시간 안에 온수를 쓸 수 있는 ‘나비엔 콘덴싱ONAI’를 출시했다. 이 신제품은 온수 사용 패턴을 학습·분석한 뒤 고객의 생활 패턴에 맞춰 온수를 준비하는 스마트 운전이 가능하다. 또 고객이 스스로 보일러의 문제를 한눈에 확인할 수 있는 스마트 진단 서비스 등 인공지능(AI) 기능을 갖췄다.
2024-04-17,업계 2위 SK렌터카 사모펀드에 팔린다,"홍콩계 어피니티에 8500억원SK네트웍스는 16일 자회사인SK렌터카의 우선 매각 협상 대상자로 홍콩계 사모 펀드 운용사인 어피니티에쿼티파트너스(이하 어피니티)를 선정하고 양해각서(MOU)를 체결했다고 밝혔다. 매각 대상은SK네트웍스가 보유한SK렌터카 지분 100%다.SK네트웍스는 “매매 예정 금액은 8500억원 내외”라고 했다. 세부 실사를 거친 뒤 매각을 위한 본계약을 체결한다.SK렌터카는 롯데렌탈에 이어 국내 렌터카 시장 점유율 2위 사업자다.SK네트웍스가 2019년AJ렌터카 지분 42%를 3000억원에 인수해 이듬해SK렌터카로 사명을 바꿨다.SK렌터카는 지난해 연결 기준 매출 1조4028억원, 영업이익 1220억원을 기록했다. 모회사인SK네트웍스 연간 영업이익의 절반 이상을 차지하는 알짜 계열사로 꼽힌다.SK네트웍스는 지난 1월 자회사인SK매직의 가스레인지, 전기레인지, 전기오븐 등 3품목의 영업권을 경동나비엔에 400억원에 팔기도 했다. 휴대전화 도매, 스피드메이트(차량 관리), 워커힐(호텔) 등의 사업을 하고 있는SK네트웍스는 인공지능(AI)을 핵심 신성장 사업으로 선정하고AI기반 사업 모델 전환을 가속한다는 계획이다."
2023-03-06,"경동나비엔, K보일러 넘어 북미 냉난방 공조 시장 도전","세계 최대 규모의 보일러·온수기 생산시설인 경동나비엔 서탄공장에서 ‘비전 검사 로봇’이 제품을 검수하고 있다. [사진 경동나비엔]지난달 말 찾은 경기도 평택에 있는 경동나비엔 서탄공장. 부지 면적만 13만2231㎡(약 4만 평)로 세계 최대 규모의 보일러·온수기 생산시설이다. 올해로 가동 10년째, 처음엔 120만 대 생산으로 시작해 지난해 200만 대를 넘었다.김용범 경동나비엔 영업·마케팅 총괄임원은 “북미 시장 확대를 위한 전진기지”라고 소개했다. 그는 “2008년 후발주자로 북미 시장에 진출했지만 ‘콘덴싱 온수기’로 차별화했다”며 “K­보일러 성공 신화를 쓴 경험을 바탕으로 올해는 냉난방 공조(HVAC) 시장 공략을 본격화하고, 이를 위해 서탄공장의 생산량을 지금보다 두 배로 확대할 예정”이라고 말했다.서탄공장이 가동된 2014년 4289억원이었던 이 회사 매출은 지난해 1조1601억원으로 성장했다. 국내 보일러·온수기 수출(금액 기준)의 88.2%를 차지하고 있다. 지난해엔 업계 최초로 ‘5억불 수출의 탑’을 수상했다. 김 총괄은 “2008년 2만 대 수준에 그쳤던 북미 시장 콘덴싱 온수기 보급량은 지난해 80만 대로 증가했고, 이 가운데 약 45만 대(56.3%)가 경동나비엔 제품”이라고 말했다.올해는 ‘콘덴싱 하이드로 퍼내스’ 출시를 계기로HVAC시장의 판도를 바꾸겠다고 포부를 밝혔다. 퍼내스는 열로 공기를 가열한 뒤 실내에 공급하는 난방 방식으로, 북미 지역에서 주로 사용한다. 하지만 공기가 건조하고, 온도 편차가 크다는 단점이 있었다. 경동나비엔 관계자는 “물과 공기의 열교환을 통해 따뜻해진 공기를 실내에 공급하는 기술을 통해 이런 문제점을 해결했다”며 “공기의 질이 쾌적하고, 안정적으로 난방을 구현할 뿐만 아니라 콘덴싱 기술이 접목돼 에너지 효율이 높다”고 말했다.이를 위해 지난해 200만 대인 생산량을 3년 안에 439만 대 수준으로 확대할 계획이다. 자동화에도 적극적으로 투자한다. 서탄공장은 생산·조립 공정 곳곳에 로봇을 배치해 생산성을 높이고 있다. 컨베이어 벨트 끝에 ‘비전 검사 로봇’이 대표적이다. 조립이 끝난 보일러를 하나하나 촬영해 정상 여부를 검사한다.경동은 연간 320조원대로 추정되는 글로벌 냉난방 공조 시장을 적극 공략할 계획이다. 이를 통해 2025년 매출 2조원, 2032년 10조원 달성을 목표로 한다. 인구 증가세가 둔화하며 성장이 정체된 국내 시장의 한계를 극복하기 위해 사업 다각화, 해외 시장 진출을 추진 중이다."
2023-03-05,‘K보일러’ 넘어 냉난방 공조 출사표…경동나비엔 “2025년 매출 2조”,"경동나비엔 서탄공장에서 ‘비전 검사 로봇’이 조립된 보일러를 촬영해 오류를 확인하고 있다. 사진 경동나비엔지난달 말 찾은 경기도 평택에 있는 경동나비엔 서탄공장. 부지 면적만 13만2231㎡(약 4만 평)로 세계 최대 규모의 보일러‧온수기 생산시설이다. 올해로 가동 10년째, 처음엔 120만 대 생산으로 시작해 지난해 200만 대를 넘었다.김용범 경동나비엔 영업·마케팅 총괄임원은 이곳에 대해 “북미 시장 확대를 위한 전진기지”라고 소개했다. “2008년 후발주자로 북미 시장에 진출했지만 ‘콘덴싱 온수기’로 차별화했습니다. ‘K­보일러’ 성공 신화를 쓴 경험을 바탕으로 올해는 냉난방 공조(HVAC) 시장 공략을 본격화하고, 이를 위해 서탄공장의 생산량을 지금보다 두 배로 확대할 예정입니다.”경기 평택에 있는 경동나비엔 서탄공장 전경. 사진 경동나비엔서탄공장이 가동된 2014년 4289억원이었던 이 회사 매출은 지난해 1조1601억원으로 성장했다. 국내 보일러‧온수기 수출(금액 기준)의 88.2%를 차지하고 있다. 지난해엔 업계 최초로 ‘5억불 수출의 탑’을 수상했다. 김 총괄은 “2008년 2만 대 수준에 그쳤던 북미 시장 콘덴싱 온수기 보급량은 지난해 80만 대로 증가했고, 이 가운데 약 45만 대(56.3%)가 경동나비엔 제품”이라고 자랑했다.올해는 ‘콘덴싱 하이드로 퍼내스’ 출시를 계기로HVAC시장의 판도를 바꾸겠다고 포부를 밝혔다. 퍼내스는 열로 공기를 가열한 뒤 실내에 공급하는 난방 방식으로, 북미 지역에서 주로 사용한다. 하지만 공기가 건조하고, 온도 편차가 크다는 단점이 있었다. 경동나비엔 관계자는 “물과 공기의 열교환을 통해 따뜻해진 공기를 실내에 공급하는 기술을 통해 이런 문제점을 해결했다”며 “공기의 질이 쾌적하고, 안정적으로 난방을 구현할 뿐만 아니라 콘덴싱 기술이 접목돼 에너지 효율이 높다”고 말했다.이를 위해 지난해 200만 대인 생산량을 3년 안에 439만 대 수준으로 확대할 계획이다. 자동화에도 적극적으로 투자한다. 서탄공장은 생산·조립 공정 곳곳에 로봇을 배치해 생산성을 높이고 있다. 컨베이어 벨트 끝에 ‘비전 검사 로봇’이 대표적이다. 조립이 끝난 보일러를 하나하나 촬영해 정상 여부를 검사한다.경동나비엔 서탄공장에서 보일러 품질 확보를 위한 내구성 시험이 진행되고 있다. 사진 경동나비엔경동은 연간 320조원대로 추정되는 글로벌 냉난방 공조 시장을 적극 공략한다는 전략이다. 김 총괄은 “이를 통해 2025년 매출 2조원, 2032년 10조원 달성이 목표”라고 강조했다. 보일러 업계 관계자는 “인구 증가세가 둔화하며 성장이 정체된 국내 시장의 한계를 극복하기 위해 사업 다각화, 해외 시장 진출을 추진 중”이라며 “가스보일러 수출액은 2018년 1억3217만 달러(약 1720억원)에서 지난해 1억5923만 달러(약 2070억원)로 20%가량 늘었고, 사업 무대도 북미를 넘어 중국·유럽·중앙아시아 등으로 넓히고 있다”고 말했다."
2022-12-26,"북미선 경동나비엔, 그리스선 귀뚜라미…‘K-보일러’도 해외서 잘나간다",지난 2월 미국 올랜도에서 열린 북미 건축설비 전시회IBS에서 방문객들이 경동나비엔 부스를 둘러보고 있다. 사진 경동나비엔보일러 업계가 내수 시장을 넘어 해외로 영토를 확장하고 있다. 수출 규모는 물론 현지 진출 국가도 증가하고 있다.26일 관세청 수출입 무역통계에 따르면 가스보일러 수출액은 지난해 1억6862만 달러(약 2200억원)로 2018년 1억3217만 달러에서 30%가량 늘었다. 올해 들어 지난달까지 수출액은 1억4906만 달러였다. 가스온수기 수출액은 2018년 1억6689만 달러에서 지난해 3억1883만 달러(약 4100억원)로 91% 늘었으며 올해 역시 3억 달러대를 기록할 전망이다.북미 지역의 콘덴싱(열을 재활용하는 기술) 온수기 시장은 2008년 2만 대에서 지난해 80만 대로 커졌다. 경동나비엔은 북미에서 지난해 47.5%의 시장점유율을 기록하면서 선두 자리를 굳혔다. 이 회사는 북미 전체 보일러 시장에서도 1위를 차지하고 있다.그래픽=김영옥 기자yesok@joongang.co.kr경동나비엔은 2017년부터 6년 연속 국내보다 해외에서 더 많은 매출을 올렸다. 지난해에는 전체 매출 1조1029억원 중 7074억원(64.1%)을 해외에서 거둬들였다. 업계에 따르면 경동나비엔은 지난해 국내 가스보일러와 가스온수기 수출액의 88%를 차지했다.나라마다 난방 문화와 설비 인프라가 달라 보일러는 수출이 어려운 품목으로 꼽힌다. 경동나비엔 관계자는 “북미 시장에 기존 가스관을 교체하지 않고도 사용할 수 있는 온수기 제품을 내놓는 등 콘덴싱 기술을 기반으로 현지화 전략을 폈다”고 말했다.영국에서는 온수 가전을 중심으로 트렌드 조성에 나섰다. 영국 정부의 수소 발전 로드맵에 따라 관련 인증도 획득했다. 캐나다·멕시코·우즈베키스탄에는 새롭게 법인을 설립했다. 경동나비엔은 우즈베키스탄을 중심으로 중앙아시아 지역에 진출할 계획이다.그리스 기름보일러 시장에서는 귀뚜라미가 선두다. 최근 귀뚜라미는 글로벌 경쟁력을 키우기 위해 보일러 전문 기업을 벗어난 종합 냉난방 에너지 기업으로 도약을 선언했다.
2022-05-18,"공정위, '계열사 부당지원' 경동원·경동나비엔에 과징금 37억원","공정거래위원회. 연합뉴스계열사인 경동나비엔에 외장형 보일러 펌프를 싸게 납품해준 경동원이 수십억원의 과징금을 물게 됐다.공정거래위원회는 계열사를 부당하게 지원해 공정거래법을 위반한 기업집단 경동 소속회사 경동원에 시정명령과 과징금 24억3500만원을 부과한다고 18일 밝혔다. 지원을 받은 경동나비엔에도 12억4500만원의 과징금을 부과했다.두 기업에 부과된 과징금은 총 36억8000만원이다.공정위 조사 결과 경동원은 2009년 1월부터 2019년 3월까지 10년여간 외장형 순환 펌프를 매출원가보다 낮은 가격으로 경동나비엔에 공급한 것으로 나타났다.이런 지원 행위로 경동원은 약 51억원의 영업손실을 부담하고, 경동나비엔은 최소 51억원의 이익을 받은 것으로 추산됐다.공정위는 ""이를 통해 경동나비엔은 경쟁이 치열한 외장형 순환펌프 및 기름보일러 시장에서 가격 경쟁력을 확보했고 시장에서의 지위를 유지·강화할 수 있었다""고 설명했다.공정위는 ""이 사건 지원행위로 계열회사 간 내부시장이 공고해짐에 따라 경쟁사업자의 사업 기회와 신규 사업자의 시장진입이 봉쇄되는 효과가 나타났고, 경동나비엔의 외장형 순환펌프 및 기름보일러 시장 점유율이 확대되는 등 경쟁이 저해됐다""고 지적했다."
