date,title,content
2023-06-09,"회삿돈 246억 횡령한 계양전기 직원...대법, 징역 12년 확정","회삿돈 246억원을 횡령한 혐의로 재판에 넘겨진 전 계양전기 재무팀 직원에게 징역 12년이 확정됐다.대법원 3부(주심 안철상 대법관)는 특경법상 횡령, 범죄수익은닉규제법 위반 혐의로 기소된 김모 씨에게 징역 12년을 선고한 원심을 확정했다고 9일 밝혔다.대법원 전경. /조선일보DB김씨는 지난 2016년부터 6년간 계양전기 재무팀 대리로 근무하면서 은행 잔고 증명서에 맞춰 재무제표를 꾸미는 수법으로 155회에 걸쳐 회사 자금 약 246억원을 빼돌린 혐의로 재판에 넘겨졌다. 그는 빼돌린 돈 대부분을 해외 가상화폐 거래소 선물옵션과 주식에 투자하거나 도박 사이트 게임비, 유흥비, 생활비 등으로 탕진한 것으로 조사됐다.1심은 “피해 회사는 심각한 손실을 입었고 피해회복이 대부분 안 됐다”며 징역 12년을 선고했다. 2심도 “중형이 불가피하다”며 1심 판단을 유지했다.대법원도 “원심이 피고인에 대해 징역 12년을 선고한 것이 심히 부당하다고 할 수 없다”며 김씨의 상고를 기각했다."
2022-09-06,"‘회삿돈 246억원 횡령’ 계양전기 직원, 1심 징역 12년","회삿돈 246억 원을 횡령한 혐의로 재판에 넘겨진 계양전기 재무팀 직원 김모(35)씨가 1심에서 중형을 선고받았다. 서울중앙지법 형사합의23부(재판장 조병구)는 6일 특가법상 횡령 등의 혐의로 기소된 김씨에게 징역 12년을 선고하고 208억여원의 추징을 명령했다.계양전기 재무팀 직원 김모씨가 지난 2월 검찰로 송치되고 있다. /뉴스1계양전기 재무팀 대리로 근무하던 김씨는 2016년부터 6년여간 은행 잔고 증명서에 맞춰 재무제표를 꾸미는 수법으로 155회에 걸쳐 회사 자금 약 246억원을 횡령한 혐의로 지난 3월 구속기소됐다. 그는 빼돌린 돈 대부분을 해외 가상화폐 거래소 선물옵션과 주식에 투자하거나 도박 사이트 게임비, 유흥비 등으로 탕진한 것으로 조사됐다.김씨는 수사가 시작되자 남은 돈 37억원을 회사에 자진 반납했지만, 체포되기 직전 횡령금으로 5억원 상당의 가상화폐를 구입해 전처에 맡겨놓은 것이 조사 결과 드러났다. 검찰은 그를 범죄수익은닉규제법 위반 혐의로 추가 기소했다.재판부는 “김씨가 막대한 자금을 횡령했고, 범행을 은폐하기 위해 회계를 조작하고 문서를 위조하는 등 적극적인 행위를 했다”면서 “피해 회사가 심각한 손실을 보았고, 피해 대부분이 회복되지 않았다”고 했다.김씨는 최후진술에서 “오로지 제 헛된 욕심과 그릇된 판단으로 이 자리까지 오게 됐다”고 했다."
2022-02-26,"[단독] 계양전기 횡령범… 코인으로 120억, 도박으로 70억 탕진","경찰에 “나는 도박 중독”/뉴시스6년간 회삿돈 245억원을 횡령한 혐의로 구속된 자동차 부품 회사 계양전기의 재무 담당 직원 김모(35)씨가 25일 검찰에 구속 송치됐다. 경찰 조사 결과 그는 빼돌린 돈 중 약 200억원을 비트코인 등 가상 화폐와 주식 투자로 모두 썼거나 스포츠 도박 사이트 판돈으로 탕진한 것으로 알려졌다. 김씨는 경찰 조사에서 “(나는) 도박 중독이다”라고 진술한 것으로 알려졌다. 경찰은 공범은 따로 없는 것으로 보고 있다이날 경찰 등에 따르면 김씨는 횡령한 회삿돈 중 120억원을 비트코인 등 가상 화폐 거래를 하다가 잃었다고 한다. 70억원은 외국 스포츠 도박 사이트에서 판돈으로 걸었다가 날렸고, 10억원은 주식 거래에서 손해를 본 것으로 조사됐다. 투자나 도박으로 사라진 돈만 약 200억원으로 전체 횡령금의 82%에 달한다.나머지 45억원 중 37억원은 김씨가 회사 계좌에 돌려놨고, 7억여원은 유흥비 등으로 쓴 것으로 알려졌다. 결과적으로 현재 횡령금 중 김씨 계좌에 남아 있는 건 수천만원으로 조사됐다.횡령금 대부분이 사라진 상황이라 경찰은 계양전기가 이번 사건으로 입은 피해를 회복하는 게 사실상 불가능하다고 보고 있다. 경찰 관계자는 “김씨 계좌에 남은 횡령금 수천만원과 김씨의 다른 재산에 대해 추징·몰수 보전 신청을 할 계획”이라며 “다만 김씨가 가진 자산은 다 합해도 수억원 수준으로 파악됐다”고 했다. 서울 수서경찰서는 이날 김씨를 검찰에 송치했다. 김씨는 ‘회사 측에 할 말이 없나’는 취재진의 질문에 답하지 않았다.김씨는 2016년부터 최근까지 6년간 회사 회계 장부를 조작하는 등의 방식으로 회삿돈을 빼돌린 혐의를 받고 있다. 계양전기는 내부 감사를 하다 김씨의 횡령 정황을 포착해 지난 15일 경찰에 고소장을 냈고, 이튿날 김씨는 긴급 체포 됐다. 코스피 상장사인 계양전기는 이번 사건이 발생하면서 현재 주식 거래가 중단된 상태다."
2022-02-17,"‘245억 횡령’ 간 큰 계양전기 직원, 자택서 체포",서울 수서경찰서 전경/채제우 기자회삿돈 245억원을 횡령한 혐의를 받는 계양전기 재무팀 직원이 16일 자택에서 긴급 체포됐다.17일 서울 수서경찰서는 전날 밤 9시 20분쯤 횡령 피의자 30대 남성 김모씨를 그가 거주하고 있던 오피스텔에서 긴급 체포했다고 밝혔다.경찰 등에 따르면 계양전기는 자사 재무팀 대리 김씨의 횡령 혐의를 포착해 지난 15일 서울 수서경찰서에 고소장을 제출했다. 결산 감사를 하다 은행에서 받은 금융거래확인서와 내부 전산상의 잔액을 확인하는 과정에서 횡령 사실을 파악한 것으로 알려졌다. 현재까지 파악된 횡령 금액은 245억원이며 김씨는 회사 측에 이를 주식·비트코인·도박·유흥 등에 사용했다고 말한 것으로 전해졌다. 회사 관계자는 “김씨가 2016년부터 소액으로 횡령을 하다가 작년부터 횡령 액수가 커졌다고 말했다”며 “정확한 횡령 금액은 아직 파악 중”이라고 밝혔다.경찰 관계자는 “아직까지 공범에 대한 정황은 발견되지 않았다”며 “이날부터 피의자 조사를 진행할 예정”이라고 말했다.계양전기의 주식매매 거래는 지난 15일 중지됐다. 계양전기는 임영환 대표이사 명의의 공식 입장문을 내고 “횡령 금액 회수와 조속한 주식거래 재개를 위해 전사적으로 모든 역량을 집중하고 있다”며 “다시는 이러한 불상사가 발생하지 않도록 내부통제시스템을 갖추고 최선을 다할 것을 약속드린다“고 밝혔다.앞서 오스템임플란트에서는 자금관리 직원 이모(45)씨가 회삿돈 약 2215억원을 횡령한 혐의로 구속 기소됐다.
2022-02-15,코스피 상장사 계양전기 직원 245억원 횡령으로 거래 정지,"한국거래소 서울 사옥 전경코스피 시장 상장사에서도 직원 횡령 사건이 발생해 주식 거래가 정지됐다.15일 코스피 시장 상장사인 계양전기는 자사 재무팀 직원 김모씨를 횡령 혐의로 고소했다고 밝혔다. 횡령 금액은 245억원으로 2020년 말 기준 자기자본 1926억원의 12.7% 해당하는 금액이다. 회사는 “횡령 금액은 고소장에 기재된 금액으로 확정된 금액이 아니며, 추후 법원의 판결에 의해 변동될 수 있다”고 밝혔다.한국거래소 유가증권(코스피) 시장본부는 “직원 횡령 혐의 발생으로 상장 적격성 실질심사 사유가 생겼다”며 계양전기 주식 매매 거래를 정지시켰다. 유가증권시장본부는 다음 달 10일(15영업일 이내)까지 계양전기가 상장 적격성 실질심사 대상인지를 결정하게 된다. 상장 적격성 실질 심사 대상이 아니라는 판단이 내려지면 거래가 재개되지만, 실질 심사 대상이라는 판단이 내려지면 기업심사위원회에서 실질 심사를 진행하게 된다.전동공구, 자동차용 모터 등을 생산하는 계양전기의 소액주주는 1만1981명으로 이들은 전체 계양전기 주식의 44.3%를 보유하고 있다."
2022-02-25,‘245억 횡령’ 계양전기 직원 검찰 송치…질문에는 묵묵부답,"회사자금 245억원을 횡령한 혐의로 구속된 계양전기 재무팀 직원 30대 김모씨가 25일 서울 강남구 수서경찰서에서 동부지검으로 송치되고 있다. /뉴스1회삿돈 245억 원을 횡령한 혐의를 받는 계양전기 직원이 검찰에 넘겨졌다.25일 서울 수서경찰서는 계양전기 재무팀 직원 30대 김모씨를 특정경제범죄가중처벌법 위반(업무상 횡령) 혐의로 서울동부지검에 구속 송치했다.김 씨는 이날 오전 7시 38분쯤 검은색 패딩에 캡 모자를 쓰고 유치장에서 나왔다. 그의 손에는 구치소에 제출할 서류들이 담긴 흰색 봉투가 들려 있었다. 그는 ‘공범 없는 것 맞냐’ ‘주식, 코인, 도박 등에 탕진한 것 맞냐’ 등 취재진의 질문에 대답하지 않고 곧바로 호송차에 올라탔다.김씨는 2016년부터 6년간 은행 잔고 증명서에 맞춰 재무제표를 꾸미는 등 수법으로 회삿돈 245억원을 빼돌린 혐의를 받는다. 회사 측에 따르면 김씨는 최근 회계 결산 과정에서 관련 자료를 제출하지 않다가 독촉을 받자 범행을 털어놨다. 김씨는 회사 측에 횡령한 돈을 주식 투자와 도박 등에 탕진했다고 말한 것으로 알려졌다. 계양전기는 지난 15일 김씨의 횡령 혐의를 포착해 경찰에 고소장을 냈고, 김 씨는 지난 18일 자택에서 체포됐다.경찰은 현재까지 공범은 없다고 보고 있다. 경찰 관계자는 “계좌 압수 영장이 발부돼 자금 흐름을 추적 중”이라며 “송치 후에 기소 전 몰수 추징보전 신청 등 역시 고려하고 있다”고 말했다."
2022-02-22,"경찰, 245억원 횡령 계양전기 본사 압수수색","계양전기에서 6년간 회삿돈 245억원을 빼돌린 혐의를 받는 30대 직원 김모씨가 18일 서울 서초구 서울중앙지법에서 열린 영장실질심사를 마친 뒤 법원을 나서고 있다. /연합뉴스경찰이 회삿돈 245억원 횡령 사건이 일어난 계양전기 본사를 22일 압수수색했다.서울 수서경찰서는 이날 오전 9시 30분쯤부터 강남구 계양전기 본사를 압수수색했다고 밝혔다. 압수수색은 횡령 혐의를 받는 30대 직원 김모씨가 최근까지 근무했던 재무팀에 한해 이뤄졌다.경찰은 이날 김씨가 사용한 업무용 컴퓨터 자료와 관련 문서 등을 확보했다. 경찰 관계자는 “증거 자료 확보, 공범 존재 여부 확인, 다른 횡령 사실 있는지 등 여러 사안들 확인 하는 차원에서 진행한 압수수색”이라고 했다.김씨는 2016년부터 6년간 은행 잔고 증명서에 맞춰 재무제표를 꾸미는 수법 등으로 회삿돈 245억원을 빼돌린 혐의를 받는다. 계양전기는 지난 15일 김씨의 횡령 혐의를 포착해 경찰에 고소장을 냈다. 내부 결산 감사를 하다 은행에서 받은 금융거래 확인서와 내부 전산상의 잔액을 비교·확인하는 과정에서 횡령 혐의를 포착한 것으로 알려졌다. 그는 18일 구속됐다.김씨는 회사 내부 감사에서 횡령한 돈을 주식·비트코인·도박에 투자하거나 유흥으로 대부분 사용했다고 말한 것으로 전해졌다. 경찰은 그의 진술이 사실인지, 횡령한 돈을 숨긴 곳이 있거나 공범은 없는지 등을 조사 중이다."
2022-02-18,회삿돈 245억 횡령 계양전기 재무팀 직원 “주식·비트코인 투자”,"코스피 시장에 상장돼 있는 자동차 부품 회사 계양전기에서 약 245억원을 횡령한 혐의를 받는 30대 직원이 경찰에 체포됐다. 서울 수서경찰서는 이 회사 재무팀 소속 직원 김모씨를 지난 16일 횡령 혐의로 긴급 체포해 조사 중이라고 17일 밝혔다. 경찰은 조만간 그에 대해 구속영장을 신청할 방침이다. 경찰은 그가 횡령한 돈을 어디에 썼는지도 추적하고 있다.경찰 등에 따르면 계양전기는 지난 15일 김씨의 횡령 혐의를 포착해 당일 수서경찰서에 고소장을 냈다. 내부 결산 감사를 하다 은행에서 받은 금융거래 확인서와 내부 전산상의 잔액을 비교·확인하는 과정에서 횡령 혐의를 포착한 것으로 알려졌다. 회사 측은 현재까지 파악된 횡령 금액은 245억원이라고 했다. 회사 관계자는 “김씨가 2016년부터 최근까지 소규모로 돈을 빼돌려 와서 발견이 늦었던 것 같다”면서 “작년에 그의 횡령 액수가 커졌는데 큰돈이 비게 된 점을 내부에서 이상하게 여겨 조사를 벌였다”고 말했다.김씨는 회사 내부 감사에서 횡령한 돈을 주식·비트코인·도박에 투자하거나 유흥으로 대부분 사용했다고 말한 것으로 전해졌다. 경찰은 그의 진술이 사실인지, 횡령한 돈을 숨긴 곳이 있거나 공범은 없는지 등을 조사 중이다.계양전기는 횡령 사건이 발생하면서 지난 15일 주식거래가 중단됐다. 이 회사는 이날 임영환 대표이사 명의의 공식 입장문을 내고 “횡령 금액 회수와 조속한 주식거래 재개를 위해 전사적으로 모든 역량을 집중하고 있다”고 했다.앞서 오스템임플란트에서도 지난 1월 자금 관리 직원 이모(45)씨가 회삿돈 약 2215억원을 횡령한 혐의로 구속 기소되는 등 최근 기업 내부 직원들의 대형 횡령 사고가 잇따르고 있다."
2024-09-11,“정년 없고 돈도 잘 벌어”… 기술직에 눈 돌리는 젊은이들,"국내서도 ‘블루칼라’ 인기 높아져세계적으로 고임금을 받는 블루칼라 직업군(생산·기능직 노동자)이 떠오르고 있다. 고령화로 인해 숙련공이 부족해지자 임금이 크게 올랐고, 사무직을 선호하던 20~30대 역시 현장직에 큰 관심을 보이고 있다. 사진은 지난해 부산에서 열린 기능경기대회에 참가한 배관공(왼쪽)과 국내 한 조선소에서 용접 작업을 하고 있는 숙련공(오른쪽)의 모습. /김동환·안상현 기자수원에서 배관 용접을 전문적으로 교육하는 학원에는 최근 20대 학생의 등록이 계속 늘어나고 있다. 5년 전만 해도 30대가 가장 어린 학생에 꼽혔지만 이제는 절반 이상 학생이 20대일 정도다. 과거에는 현장 기술직이 장시간·저임금이라는 인식이 강했다. 하지만 이제는 정년이 없다는 장점과 함께 사무직보다 돈을 많이 벌 수 있다고 입소문이 나면서 20대 학생들이 학원을 찾고 있는 것이다. 김종훈 원장은 “배관 용접은 3개월 교육을 받고, 기술이 좋으면 한 달에 500만원도 벌 수 있다”며 “업무 특성상 일과 휴식 시간이 분명히 나눠지는 만큼 ‘워라밸’이 높은 것도 20대들에게 인기가 높아진 이유”라고 했다.한국에서도 기술직에 대한 인기가 높아지고 있다. 고등학교 졸업 후 첫 직장을 찾는 20대부터 새로운 일자리를 찾는 40~50대까지 현장 기술 분야에 뛰어들고 있다. 지문인식기 등 전자제품을 개발하던 김모(49)씨는 8년 전부터 에어컨 전문 청소업을 시작했다. 그는 “일반 중소기업에서는 승진 적체로 50대까지 일을 할 수 있는 사람이 적은데 현장 기술직은 이런 고민을 하지 않아도 돼서 이 일을 선택했다”면서 “최근 3년 사이에 관심이 급증하면서 곳곳에 업체들이 생기기 시작했다”고 밝혔다.◇억대 연봉 받는 기술직기술직에 대한 선호가 높아지는 데는 임금이 큰 요인이다. 대한건설협회와 중소기업중앙회 등이 지난해 평균 노임을 집계한 결과 특고압 케이블을 작업하는 기술직의 하루 8시간 평균 노임은 42만1236원으로 한 달 평균 약 840만원 이상 버는 것으로 나타났다. 건설 현장에서 높은 곳에 임시 가설물을 설치하는 비계공은 28만1721원, 용접공 26만2551원, 미장공 25만6225원으로 뒤를 이었다. 건설업계 관계자는 “현장에는 특근과 야근 등이 많기 때문에 실제는 평균 노임보다 50%는 더 번다”고 했다.그래픽=김하경기술직에 대한 관심이 높아지고 있지만 여전히 수요에 비해 공급은 부족하다. 기술만 있으면 언제나 일감을 구할 수 있다는 것이다. 경기도 평택시에서 전봇대에 올라 2만2900볼트의 특고압 케이블 설치·수리·철거 작업을 하는 업체인 ‘파워케이블공사’ 관계자는 “넉넉한 임금에다 회사에 지원만 하면 회삿돈으로 배전전공 자격증 교육까지 다 시켜서 숙련공으로 만들어주지만 여전히 일손이 모자란다”며 “대표까지 현장에 나가 일하는 상황”이라고 했다. 2년 전부터 백화점, 아웃렛 등에서 전기 배선 설비 공사를 하는 최모(37)씨도 “여기저기서 현장에 와달라는 요청이 많아서 지금은 오히려 쉬는 날을 확보하는 게 어려울 정도”라며 “원할 때 원하는 만큼 일을 할 수 있다는 게 장점”이라고 했다.그래픽=양진경◇기술직 채용·양성 활발국내에서 기술직에 대한 인식이 바뀌면서 기술직의 구인·구직을 돕는 서비스가 등장했다. 포항공대 출신들이 창업한HR스타트업 ‘디플에이치알’은 생산·기술직 채용 공고만 다루는 전문 채용 플랫폼 ‘고초대졸닷컴’을 지난해 12월부터 운영하기 시작했다. 생산·기술직은 전체 채용 시장의 약 30%를 차지하는 큰 시장이지만, 이 분야를 모르는 젊은 사람들이 자신에게 맞는 공고를 찾기가 어려웠기 때문이다. 현재 고초대졸닷컴의 20대 지원자 비율은 71.5%이며 월간활성이용자(MAU)는 15만명을 넘어섰다.젊은 기술공 양성을 위한 기업들의 지원도 이어지고 있다.HD현대중공업은 올해 초 기능직 인력 양성을 위해 도장 교육이나 용접 실습 등을 위한 ‘뿌리아카데미관’의 문을 열었다. 국내 대표 전동공구 기업인 계양전기도 지난달 전문 숙련공을 꿈꾸는 고등학생과 대학생을 선발해 소속 학교와 개인에게 수백만원 상당의 각종 공구를 무상 지원하는 ‘네오블루’ 프로젝트에 시동을 걸었다. 미국과 독일 등을 중심으로 기술직에 대한 수요가 높아지고 있는 가운데 한국에서도 기술직 근로자에 대한 재평가가 이뤄지고 있기 때문이다. 임영환 계양전기 대표는 “전문성을 갖춘 숙련공은 사회적으로도 귀중한 인재”라며 “프로젝트를 더욱 확대해 취업 연계 및 장학금 지원에도 나설 계획”이라고 했다."
2022-07-29,"볼펜은 돼도, 물티슈는 안 돼?…직장인 횡령의 선, 어디까지?","2022년 1월 오스템임플란트에서 2000억원대 횡령 사건이 발생한 것을 비롯해 ‘억’소리 나는 고액의 각종 횡령 범죄가 쉴 새 없이 터지고 있다. 사기업은 물론 금융회사와 관공서에 이르기까지 사고가 나지 않는 영역을 찾기 어려울 정도다. 개인의 도덕적 해이와 함께 기업의 허술한 감시망을 비판하는 목소리가 커지고 있다.직장인들 사이에선 자성의 목소리도 나온다. 직접적인 자금 횡령이 아니라도 회사의 비품 등을 집으로 가져가거나 개인적인 목적으로 쓰는 일이 비일비재하기 때문이다. 직장인들 사이에선 아예 ‘소확횡’이라는 말이 유행어처럼 쓰인다. 소확횡은 ‘소소하지만 확실한 횡령’을 줄인 말로, ‘소소하지만 확실한 행복’을 뜻하는 ‘소확행’을 변형한 것이다. 회사 물건을 소소하게 사적으로 소비하면서 만족감을 얻는다는 의미다.이런 소확횡도 원칙적으로는 절도에 해당한다. 하지만 직장인들 사이에서도 어느 정도는 괜찮다, 이건 선넘었다 의견이 갈리는 것으로 나타났다. 직장인들이 생각하는 소확횡은 어디까지일까?최근 기업에서 직원의 횡령 사건이 빈번하게 일어나면서 직접적인 자금 횡령 외에도 회사의 각종 비품 등을 집으로 가져가는 등의 ‘소확횡’을 보는 직장인들의 의견이 엇갈리고 있다. /게티이미지뱅크볼펜, 커피 믹스는 ‘OK’,물티슈는 “선 넘었다”지난 6월 기업정보 플랫폼 잡플래닛은 이용자 469명에게 소확횡 관련 설문조사를 진행했다.업무 시간 외 다른 일을 하는 ‘시간 횡령’에 대한 직장인들의 의견은 사례에 따라 온도 차가 있었다. 먼저 업무 시간에 여행 정보를 찾아보는 것에 대해서는 ‘잠깐이니까 괜찮다’(57%)는 답변이 과반수를 차지했다. 아무리 업무 시간이라고 해도 잠깐은 눈감아줄 수 있지 않겠냐는 것.그럼 그 잠깐은 어느 정도의 시간을 말하는 걸까. 30분 정도 우체국이나 은행 등 개인 용무로 자리를 비우는 것에 대해서는 ‘문제 없다’는 답변이 53%로 ‘안 된다’보다 많았다. 급한 개인 용무가 있다면  30분 내외의 업무 시간은 개인적으로 써도 된다고 생각하는 사람이 절반을 차지한다는 의미다.업무 시간에 자주(1시간에 한 번) 담배를 피우는 것에 대해서는 의견이 팽팽했다. ‘괜찮다’와 ‘안 된다’가 각각 절반인 50%를 차지했다.업무 시간에 개인적인 용무로 잠깐 자리를 비우거나 여행 정보를 검색하는 등의 ‘시간 횡령’은 괜찮다고 생각하는 직장인이 많은 것으로 나타났다. /픽사베이회사 비품을 개인적으로 사용하는 건 해당 물품이 사무용품인 경우에는 챙겨가도 상관 없다는 답변이 많았다. 예컨대 회사 볼펜은 어차피 쓰라고 둔 거니 집으로 가져가도 괜찮고(60%), 회사에서 A4용지로 개인 자료를 출력하는 것도 괜찮다(78%)는 게 다수의 답변이었다.하지만 사무용품이 아닌 생활용품에 가까운 비품이라면 어떨까. 커피 믹스나 과자 등의 간식류에 대해서는 챙겨갈 수도 있다는 답변이 53%, 회사에서 일하면서 먹으라고 둔 건데 그걸 집에 왜 챙겨가느냐는 답변이 47%였다.물티슈의 경우에는 ‘집에 가져가서는 안 된다’(72%)는 답변이 훨씬 많았다. 간식이야 직원들 먹으라고 둔 거라지만, 물티슈 같은 생활용품은 양심상 불편하다는 것이다.사무실에서 전기를 개인적인 목적으로 마음껏 쓰는 직장인들에 대해서는 다들 어떻게 생각하고 있을까? ‘사무실에서 보조배터리를 3개씩 충전해가도 되는가?’라는 질문에 ‘괜찮다’는 답변이 71%에 달했다. 전기 횡령에는 상대적으로 관대했다.소확횡 만연하지만 엄밀히 말하면 ‘범죄’시간이냐, 사무용품이냐에 따라 다소 의견이 갈리기는 해도 직장인들 사이에 관행처럼 ‘소확횡’이 만연해 있다. 회사에서 받은 스트레스를 해소하기 위한 일종의 보상 심리로 회사 비품을 슬쩍하는 경우도 많다. 그래서인지 직장인들은 큰 죄의식을 느끼지 않고SNS에 훔쳐온 회사 비품을 자랑하기도 한다.대부분의 회사가 이를 알면서도 문제 삼는 일은 드물다. 그러나 소확횡도 엄밀히 따지면 범죄다.타인의 재물을 허락 없이 가져가는 것은 절도죄에 해당한다. 즉, 회사 자산인 회사 비품을 직원이 마음대로 가져가면 절도죄가 성립하는 것이다. ‘문서 출력 몇 장 한 건데 뭐 어떠냐’고 생각할 수도 있겠지만 훔친 재물의 양과 상관없이 절도죄에 해당하는 것에는 변함이 없다.더욱이 회사 비품을 관리∙보관하는 직원이 그랬다면 횡령죄에 해당한다. 횡령죄는 ‘타인의 재물을 보관하는 자’가 그 물건을 반환하지 않은 경우 성립한다.tvN드라마 '나의 아저씨'에서 아이유가 탕비실에서 커피믹스를 훔치는 장면(왼쪽)과 소셜미디어에 ‘소확횡’을 인증한 직장인들. /tvN,인스타그램 캡처절도죄는 6년 이하의 징역 또는 1000만원의 벌금, 업무상횡령죄는 10년 이하의 징역 또는 3000만원 이하의 벌금형(횡령액에 따라 가중처벌도 가능)을 받는다.비품 한두 개 가져갔다고 회사가 형사고소까지 하겠냐마는 원칙은 분명히 알아둘 필요가 있다. 상습적이라면 최소 징계사유가 되고도 남는다. 소확횡, 소소해도 탈이 난다는 걸 명심해야 한다.소소하지 않은 대형 횡령 사건 잇달아이미 선을 넘어버린 횡령은 할 말을 잃게 한다. 오스템임플란트 재무 담당 직원이 2000억대의 회삿돈을 빼돌린 사건부터 계양전기, 아모레퍼시픽 등에서도 횡령 사건이 발생했다. 계양전기는 246억원, 아모레퍼시픽은 35억원의 피해가 발생했다. 금융기관 중에선 새마을금고에서 40억원대,  우리은행에서 664억원 규모의 횡령 사건이 발생했다. 심지어 강동구청 등 관공서에서도 115억원이 넘는 횡령이 벌어져 논란이 됐다.전문가들은 민간·공공영역을 망라하고 횡령 범죄가 줄줄이 터지는 가장 큰 원인으로 조직 내부 통제 시스템이 제대로 작동하지 않았던 점을 꼽았다. 오스템임플란트와 계양전기, 금융권에서 적발된 횡령범들은 회삿돈을 관리하는 재무 담당자였는데 이들의 권한을 통제할 수 있는 시스템이 미비했다는 것이다.횡령 사건 피의자들 대부분이 빼돌린 회삿돈으로 주식 등에 투자했다가 날렸다는 점도 주목된다. 오스템임플란트 직원과 강동구청 공무원은 각각 횡령액 중 1000억원 이상과 77억원을 주식 투자로 탕진한 것으로 조사됐다. 우리은행 직원 역시 횡령액 가운데 300억원 이상을 고위험 파생상품에 투자했다가 손실을 본 것으로 나타났다."
