date,title,content
2023-02-07,‘부유층 마약 사건’ 고려제강 3세 1심에서 집행유예,"신준호 중앙지검 강력범죄 수사부장이 26일 서초구 서울중앙지검에서 재벌가 3세, 연예인 등이 가담한 대마사범 집중수사 결과를 발표하며 증거물을 설명하고 있다. /뉴스1부유층 자제들의 마약 사건에 연루돼 기소된 고려제강 3세 홍모(40)씨가 7일 1심에서 징역형의 집행유예를 선고받았다.서울중앙지법 형사합의 25-1부(재판장 박정길)는 이날 마약류관리법 위반(대마) 혐의로 구속기소 된 홍씨에게 징역 10개월에 집행유예 2년을 선고했다. 310만원의 추징과 40시간의 약물치료강의 수강도 명했다.재판부는 “마약 범죄는 개인의 육체와 정신을 피폐하게 하므로 엄벌할 필요가 있다”면서도 “피고인이 범행을 자백하면서 수사에 협조했고, 더는 대마를 흡연하지 않겠다고 다짐하는 것을 참작했다”고 밝혔다.홍씨는 중견 철강업체 고려제강 창업주 고(故) 홍종열 회장의 손자다. 작년 7월∼12월 서울 강남구와 용산구 등에서 대마를 3차례 구매해 4차례 흡연한 혐의로 기소됐다. 홍씨는 자신이 소지한 대마를 범 효성가 3세인 조모(40)씨에게도 3차례 무상으로 건넨 혐의를 받았다.검찰은 조씨를 비롯한 남양유업 창업주의 손자, 해외 유학생, 연예인 등의 대마 혐의를 수사하다 홍씨의 매수·흡연 정황을 포착한 것으로 전해졌다. 검찰은 최근 마약류관리법 위반 혐의로 17명을 무더기로 재판에 넘겼고, 지난달 29일에는 홍씨에게 대마를 판매한 한일합섬 창업주의 손자 김모(43)씨의 구속영장을 발부받았다."
2022-12-22,이번엔 고려제강 3세 구속… 부유층 자제 마약수사 확대,재벌가 3세와 가수 등의 대마 거래를 수사 중인 검찰이 이번엔 중견 철강업체 고려제강 3세를 구속했다.서울 서초구 서울중앙지검./뉴스1서울중앙지검 강력부(부장 신준호)는 고려제강 창업주의 손자인 홍모씨를 지난 20일 마약류관리법 위반 혐의로 구속한 것으로 21일 전해졌다.이달 초 검찰은 재미교포 A씨와 남양유업 창업주의 손자 등 대마 사범 9명을 재판에 넘겼다. 추가 수사에서 검찰이 고려제강 3세 홍씨가 남양유업 3세로부터 대마를 구입해 투약한 정황을 포착해 지난 17일 홍씨를 체포했다고 한다.검찰은 부유층 자제들이 해외 유학 등을 계기로 쌓은 인맥을 통해 마약을 상당 기간 서로 사고팔았다고 보고 수사를 확대해 왔다. 전직 경찰청장 아들도 수사 대상이 되자 최근 검찰에 자수했다.
2023-10-18,"공정위, 침대 스프링 등 강선 가격 담합한 제강사들에 548억원 과징금","정창욱 공정거래위원회 카르텔조사국장이 18일 정부세종청사에서 ""10개 제강사의 가격 담합에 과징금 약 548억원을 부과하고 6개 제강사를 검찰에 고발하기로 결정했다""고 밝히면서 세부 내용을 설명하고 있다. /연합뉴스침대 스프링이나 자동차, 정밀기계 등에 쓰이는 강선(철로 만든 선)을 만들어 파는 10개 제강사가 6년 가까이 가격 담합을 벌이다 적발됐다. 이들의 시장점유율은 80%에 달한다. 18일 공정거래위원회는 법 위반 기간이 짧은 1개 업체를 제외한 나머지 9개 업체에 총 548억원 과징금을 부과하고, 이 중 6개 업체를 검찰 고발한다고 밝혔다.공정위에 따르면 이들은 2016년 4월부터 지난해 2월까지 5년 10개월간 13차례에 걸쳐 가격을 짬짜미한 혐의를 받는다. 원자재 가격이 오르면 제품 가격을 함께 올리고, 원자재 가격이 떨어지면 가격 인하를 자제하기로 합의했다.그 결과 제조업 분야에 광범위하게 쓰이는 강선 제품 가격이 전반적으로 올랐다. 침대 스프링용 강선은 가격이 최대 120% 오른 것으로 조사됐다. 2016년 3월 1㎏당 660원에서 지난해 2월 1460원으로 올랐다. 같은 기간 침대 가격도 30% 올라 담합이 소비자에게도 피해를 줬다는 게 공정위 설명이다. 다른 강선 제품 가격도 37~62% 올랐다.적발된 10개 업체는 고려제강·대강선재·대흥산업·동일제강·DSR제강·만호제강·영흥·청우제강·한국선재·홍덕산업 등이다. 법 위반 기간이 짧은 대강선재는 과징금을 피했다. 대흥산업·동일제강·DSR제강· 만호제강·영흥·청우제강 등 6개 업체는 담합에 적극 가담해 검찰 고발됐다. 이번 조치는 2021년 12월 공정위가 담합 관련 과징금 부과 기준율을 관련 매출액의 최대 10%에서 20%로 상향한 이후 첫 제재다. 정창욱 공정위 카르텔조사국장은 “법 개정으로 약 160억원의 과징금이 더 부과됐다”고 했다."
2022-12-21,"검찰, 고려제강 3세도 마약 혐의 구속…부유층 마약 수사 확대","재벌가 3세와 가수 등의 대마 거래를 수사 중인 검찰이 이번엔 고려제강 3세를 구속한 것으로 21일 전해졌다.서울 서초구 서울중앙지검 모습. 2022.11.14/뉴스1 ⓒNews1 김민지 기자본지 취재를 종합하면, 서울중앙지검 강력부(부장 신준호)는 지난 20일 마약류관리법 위반 혐의로 홍모씨를 구속했다. 홍씨는 중견 철강업체 고려제강 창업주 고(故) 홍종열 회장의 손자다검찰은 이달 초 남양유업 창업주 손자 홍모씨와 가수 등 대마 사범 9명을 기소했다. 검찰은 추가 수사 과정에서 고려제강 3세 홍씨가 남양유업 3세 홍씨로부터 마약을 구입해 투약한 정황을 포착해, 지난 17일 홍씨를 자택에서 체포한 것으로 알려졌다.검찰은 이번 사건에 연루된 대부분이 부유층 자제로 해외 유학 등을 하며 쌓은 인연으로 ‘인적 네트워크’를 형성해 암암리에 상당 기간 마약을 서로 사고팔았다고 보고 수사를 확대 중이다. 최근 마약 수사 대상이 된 전직 경찰청장 아들도 검찰에 자수했다."
2024-12-13,‘F1963 야외정원′ 부산시 1호 민간정원 됐다,"부산시가 13일 민간정원 1호로 선정한 부산 수영구 망미동'F1963'의 야외정원./부산시철강공장 창고에서 복합문화공간으로 변신한 부산 수영구 망미동 ‘F1963′의 야외정원이 부산시 제1호 민간 정원에 선정됐다.부산시는 13일 ‘F1963 야외 정원’을 부산시 제1호 민간 정원으로 선정하고 인증식을 열었다. ‘F1963 야외정원’은 ‘F1963′ 주차장으로부터 들어선 건물들을 따라 그 주변에 조성돼 있다.이 야외정원은 초록 이파리가 하늘로 쭉쭉 뻗은 대나무 숲인 ‘소리길’,하늘과 작은 연꽃 정원이 어우러진 생태정원 ‘달빛가든’,느티나무의 그늘과 단풍이 가정의 정취를 느낄 수 있게 하는 ‘단풍가든’ 등 3곳으로 이뤄졌다.이동흡 부산시 공원도시과장은 “’F1963 야외정원’은 넓지 않은 공간이지만 번잡한 도심과 단절되는 여유로움을 주면서 잘 가꿔진 대나무 숲, 생태정원, 느티나무와 단풍나무의 어우러짐 등이 적절하게 배치된 미술작품들이 마음의 치유를 느끼게 하는 곳이라 부산시 민간정원 1호로 선정했다”고 말했다.부산시 민간정원에 지정되면 인터넷 홈페이지 등 다양한 부산시의 미디어를 통해 널리 홍보되고 정원 운영과 관리에 대한 시의 지원을 받을 수 있게 된다.‘F1963′은 지역 업체인 고려제강의 공장, 창고로 사용되던 공간이었으나 2016년 전시, 음식점, 서점, 도서관, 카페, 야외정원 등 다양한 시설을 갖춘 복합문화공간으로 변모했다. 완공된 2016년엔 부산비엔날레 특별전시장으로 활용되기도 했다.이에 앞서 부산시는 지난해 8월 낙동강 하구의 부산 사상구 삼락생태공원을 ‘부산시 지방정원 1호’로 지정했다. ‘지방정원’은 지방자치단체가 직접 만들어 관리, 운영하는 곳이다. 삼락생태공원은 낙동강 하구 동측 둔치로 과거 농경지였으나 4대강 살리기 사업 중 하나였던 낙동강살리기 사업을 거쳐 수로, 습지, 보호 숲, 자연초지, 산책로 등을 갖춰 철새도래지로 쓰일 수 있도록 복원된 곳이다."
2024-01-12,홍영철 회장 ‘경복동문대상’,경복고 총동창회(회장 지창훈)는 제32회 경복동문대상 수상자로 홍영철 고려제강 회장을 선정했다. 시상식은 15일 오후 6시 30분 더프라자호텔 그랜드볼룸에서 열린다.
2023-09-14,SKT 등 10개 기업 94분기 연속 흑자,"40분기 연속 흑자는 69개社국내 500대 기업 중 현대모비스,SK텔레콤, 고려아연, 신세계 등 10개 기업은 2000년부터 올해 2분기까지, 23년째한 분기도 빠짐없이 94분기 연속 흑자를 기록한 것으로 나타났다. 반면, 한국전력공사가 11분기 연속 적자를 기록하는 등 주요 공기업 적자도 이어졌고, 반도체 불황 등 경기 침체 여파로 삼성전자,SK하이닉스 등 17사는 작년 하반기 이후 적자로 돌아서며 분기 연속 흑자 기록이 중단됐다.기업데이터연구소CEO스코어가 국내 500대 기업 중 분기보고서를 제출한 352사의 개별(별도) 기준 분기 실적을 조사한 결과, 기업들이 금융감독원에 분기보고서를 제출하기 시작한 2000년부터 올해 2분기까지 94분기 연속 흑자를 기록한 기업은 현대모비스(자동차 부품)·SK텔레콤(통신)·KT&G(담배 및 인삼 제조)·고려아연(아연 제련)·에스원(보안)·CJENM(엔터테인먼트)·신세계(유통)·유한양행(제약)·한섬(의류)·국도화학 등 10사였다. 국도화학은 페인트 원료 등으로 활용되는 에폭시 글로벌 1위(시장 점유율 약 24%) 기업이다. 이번 조사는 종속회사(자회사) 등 실적을 포함한 ‘연결’ 기준 대신 개별 회사의 실적만 따졌다.10사를 포함해 최근 10년(40분기) 이상 연속 흑자 기업은 총 69사였다. 삼성화재(93분기), 금호석유화학(91분기), 광동제약(90분기), 고려제강(90분기),LG생활건강(89분기), 엔씨소프트(88분기),GSEPS(87분기),LS일렉트릭(87분기), 네이버(86분기), 카카오(86분기), 현대건설(86분기), 포스코인터내셔널(86분기) 등이 포함됐다.한편, 지난 2분기 기준 조사 대상 352사 중 60사(17%)가 적자를 기록했다.연속 적자가 길어지고 있는 기업은 한화오션(옛 대우조선해양·11분기 연속 적자), 한국전력(10분기), 한국지역난방공사(9분기) 등 공기업 또는 공적 자금이 투입됐던 기업이 순위에 올랐다. 한화오션은 대우조선해양 시절 산업은행 관리 아래 경영난이 길었고, 한전 등 에너지 공기업은 방만 경영에 대한 지적이 계속 나오고 있다."
2023-09-13,삼성전자도 못한 일... 94분기 연속 흑자 낸 국내 기업 10곳,"국내 500대 기업 중 현대모비스,SK텔레콤, 고려아연, 신세계 등 10개 기업은 2000년부터 올해 2분기까지 23년 이상, 한 분기도 빠짐없이 94분기 연속 흑자를 기록한 것으로 나타났다.다만, 이들 기업처럼 장기간 흑자 기조를 이어왔던 기업 중 작년 하반기부터 심화한 글로벌 경기 침체, 반도체 불황 영향으로 적자 전환한 기업도 여럿 있었다. 삼성전자,SK하이닉스 등 17사는 지난해 하반기 이후 적자 전환으로 분기연속 흑자 기록이 중단됐다.서울 남산에서 바라본 도심의 기업 건물들./연합뉴스13일 기업데이터연구소CEO스코어가 국내 500대 기업 중 분기보고서를 제출한 352사의 개별(별도) 기준 분기 실적을 조사한 결과, 기업들이 금융감독원에 분기보고서를 제출하기 시작한 2000년부터 올 2분기까지 94분기 연속 흑자를 기록한 기업은KT&G,SK텔레콤, 한섬, 고려아연, 에스원,CJENM,신세계, 현대모비스, 유한양행, 국도화학 등 10사로 집계됐다. 이번 분석은 종속회사(자회사) 실적을 제외한 ‘개별’ 기준 실적을 기준으로 했다.이들 기업에 이어 올해 2분기까지 연속 흑자를 이어오고 있는 기업은 삼성화재(93분기), 금호석유화학(91분기), 광동제약(90분기), 고려제강(90분기),LG생활건강(89분기), 엔씨소프트(88분기),GSEPS(87분기),LS일렉트릭(87분기), 네이버(86분기), 카카오(86분기), 현대건설(86분기), 포스코인터내셔널(86분기) 등이었다.이번 조사 대상 기업 중 최근 10년(40분기) 이상 연속으로 흑자를 기록한 기업은 총 69곳(19.6%)에 달했다. 지난해 하반기 이후 적자 전환으로 연속 흑자 기록이 깨진 기업은 삼성전자(55분기),LX하우시스(54분기), 현대엔지니어링(53분기),TKG태광(45분기), 풀무원식품(45분기), 하나증권(40분기),SK하이닉스(39분기), 신한투자증권(35분기),GS건설(35분기), 유진증권(34분기), 삼성증권(33분기), 다올투자증권(33분기), 이베스트투자증권(28분기), 도이치모터스(26분기), 대창(23분기), 하이투자증권(21분기), 현대지에프홀딩스(21분기) 등 17곳으로 나타났다.한편 지난 2분기에는 조사 대상 352사 중 60곳(17.0%)이 영업손실을 기록했다. 특히 한화오션(11분기), 한국전력공사(10분기), 지역난방공사(9분기) 등은 최근 2년 이상 적자가 이어졌다."
2023-08-09,美연구소 “초전도체 아니다” 한마디에… 테마주 ‘와장창’,"상한가 행진하다 줄줄이 급락테마주 열풍에 편승해 개인 투자자들이 몰리며 과열됐던 상온 초전도체 관련주들이 8일 미국발(發) 부정 평가에 일제히 폭락했다.이날 초전도체 관련 종목으로 분류된 덕성과 서남은 하한가에 마감했고, 모비스(-25.6%), 서원(-24%), 국일신동(-19.1%), 고려제강(-15.7%), 원익피앤이(-16.5%), 파워로직스(-14.5%), 신성델타테크(-6.5%) 등도 급락한 채 거래를 마쳤다.전날인 7일 덕성·신성델타테크·파워로직스·국일신동이 상한가였고, 모비스(20%)·서남(14.9%)·고려제강(11.8%)·원익피앤이(10.5%)도 모두 두 자릿수 상승했던 것과 비교하면 주가 급등락 폭이 매우 컸다.그래픽=김성규미국 메릴랜드대학교 응집 물리 이론 센터(CMTC)는 8일 공식 X(옛 트위터) 계정에 “슬프게도 우리는 이제 게임이 끝났다고 믿는다”며 “LK-99는 상온 초전도체는 물론 (일반적인) 초전도체도 아니다”고 주장했다.CMTC는 인도 국립물리학연구소(NPL), 중국의 국제양자물질센터(ICQM), 싱가포르 난양공대 등이LK-99에 대해 내놓은 논문을 언급하며 “신뢰성 있는 기관의 3개 논문에서 모두 초전도성을 확인하지 못했다”고 했다. 초전도체는 전기 저항이 0인 물질을 뜻하는데 특성이 다르다는 것이다.세계 연구진 대부분 부정 평가, 퀀텀 “성과 공개할 것”CMTC는 또 퀀텀에너지연구소가 공개한 동영상에서LK-99가 보인 반(反)자성 현상에 대해서도 “흥미롭지 않다”고 밝혔다.LK-99가 구리, 납, 인 등 반자성을 지닌 물질을 합성해 만든 물질이기 때문에 이런 현상은 당연한 결과라는 것이다.CMTC는 “(LK-99는) 저항성이 높은 저품질(lowquality) 물질”이라고 했다. 다만CMTC는 자체적으로LK-99를 만들거나 실험했는지는 밝히지 않고, 다른 연구진의 연구 결과를 분석한 내용만 언급했다.지난달 22일 인터넷 사이트 ‘아카이브’에LK-99 관련 논문이 발표된 뒤 전 세계 연구진들은 잇따라 재현 및 검증에 나서고 있다. 일부 연구진이 초전도체의 특성을 확인했다는 논문을 발표하기도 했지만, 대부분은 부정적인 내용이다.이에 대해 퀀텀에너지연구소 측은 제작 방법은 공개했지만 노하우가 따로 있다는 입장이다. 회사는 “관련 논문이 국제학술지APL머티리얼즈에 제출된 상태”라며 “심사가 끝나면 연구 성과를 공개할 것”이라고 했다. 국내 초전도저온학회도 검증위원회를 꾸려 샘플 재현을 시도하고 있다. 검증에는 2주 이상이 소요될 전망이다. 한 물리학계 관계자는 “상온 초전도체일 가능성이 낮아 보이지만, 퀀텀에너지연구소가 보유한LK-99 샘플을 실제로 시험하기 전까지는 확신하기 힘들다”면서 “아직까지 검증이 진행되는 상황으로 봐야 한다”고 했다.초전도체 테마주, 코인 버금가는 급등락상온 초전도체 관련 종목은 그 실체를 놓고 새로운 뉴스가 나올 때마다 주가가 요동치는 모습을 보였다. 한국초전도저온학회가 상온 초전도체에 대해 부정적 평가를 내놓은 다음 날인 지난 4일 일제히 폭락했던 초전도체 관련 종목은 다음 거래일인 7일 다시 급등세를 보였다. 상온 초전도체 개발 논문 공동 저자인 김현탁 윌리엄앤드메리대 교수가 한 언론 인터뷰에서 “이미 검증을 마쳤다”고 반박했기 때문이다.하지만 8일 폭락은 미국에서 부정적 평가가 전해지자 오전만 해도 상승세였던 종목들이 급락세로 돌아섰다. 덕성의 경우 지난 1~3일 사흘간 상한가였다가 4일 5%대 하락한 뒤, 이번 주에는 7일 상한가, 8일 하한가로 롤러코스터를 탔다. 서원도 지난 2~3일 이틀간 상한가 후 4일 15% 급락했다가, 7일 상한가, 8일 24% 하락했다. 서남은 4일 투자 경고 종목으로 지정되며 상온 초전도체와의 관련성을 부정하기까지 했지만 7일 15% 올랐다가, 8일 하한가로 돌아섰다.전문가들은 개인 투자자들 사이에서 포모(FOMO·FearOfMissingOut) 증후군이 퍼지며 초전도체주들이 과열 현상을 빚는 것으로 본다. 포모 증후군은 자신만 뒤처지고 기회를 놓치고 있는 것 같은 불안감이나 공포감에 투자하는 것을 뜻한다.증시 과열이 심해지자 이복현 금융감독원장은 8일 임원 회의에서 “단기간에 과도한 투자자 쏠림, 레버리지(차입 투자) 증가, 단타 위주 매매 등 과열 양상이 나타나고 있다”며 특별단속반에 “리딩방 등을 통해 테마주 풍문을 유포하는 행위를 집중 점검하라”고 지시했다. 또 증권사들에는 대출 경쟁 과열을 관리해달라고 요청했다."
2023-08-08,테마주 열풍에 삼성전자 파나? 올해 개인 순매도 1위,"주가 고점 대비 7% 떨어져‘이차전지’나 ‘초전도체’ 같은 테마주 열풍이 거센 나머지 국내 대장주인 삼성전자 주가가 약세를 보이고 있다.7일 삼성전자는 0.29% 오른 6만8500원에 마감했다. 최근 3개월 사이 고점(7월 4일 7만3600원)과 비교했을 때 7% 떨어졌다. 같은 기간 코스피 하락률(0.5%)과 비교했을 때 14배 더 떨어졌다. 최근 15거래일간 삼성전자는 11번 하락 마감했다.실제 올해 개미들이 가장 많이 판 종목은 삼성전자였다.NH투자증권이 1~7월 자사 개인 투자자들의 연령대별 순매도·순매수 상위 종목을 분석했더니, 모든 연령대에서 순매도 1위는 삼성전자로, 순매수 1위는 ‘이차전지 대장주’로 꼽히는 포스코홀딩스로 나타났다. 많은 투자자들이 삼성전자를 팔아 포스코홀딩스로 옮겨 탔다는 뜻이다.미국반도체산업협회(SIA)·한국개발연구원(KDI) 등 국내외 전문 기관들이 반도체 업황 개선 전망을 내놓고 있지만, 투자자들의 테마주 투자 열풍이 워낙 거세 별 영향을 미치지 못하고 있다.증권가에서는 개인 투자자들이 자신만 뒤처지는 듯한 두려움에 추격 매수하는 ‘포모(FOMO) 증후군’ 때문에 테마주로 몰리는 것으로 본다. 이달 들어 이차전지에서 초전도체로 개인들이 옮겨가며 해당 종목들은 급등락을 반복하고 있어 투자 주의가 요구된다.한국초전도저온학회가 상온 초전도체에 대해 부정적 평가를 내놓은 다음 날인 지난 4일 일제히 폭락했던 초전도체 관련 종목은 7일 다시 급등세를 보였다. 상온 초전도체 개발 논문 공동 저자인 김현탁 윌리엄앤드메리대 교수가 한 언론 인터뷰에서 “이미 검증을 마쳤다”고 반박했기 때문이다.이날 ‘초전도체 테마주’로 알려진 서원과 덕성·신성델타테크·파워로직스·국일신동은 상한가에 장을 마쳤다. 또 다른 초전도체 종목인 모비스(20%)·서남(14.9%)·고려제강(11.8%)·원익피앤이(10.5%)도 모두 상승 마감했다.서원의 경우 지난 2~3일 이틀간 상한가를 친 뒤 4일 14.7% 급락했다가 이날 다시 상한가로 돌아섰다. 지난 1~3일 상한가를 이어간 서남은 주가 급등에 투자 경고 종목으로 지정돼 4일 하루 거래가 정지됐다. 서남 측에서 상온 초전도체와의 관련성을 부정했음에도, 7일 거래가 재개되자 다시 두 자릿수 상승세를 이어갔다."
