date,title,content
2023-06-09,"검찰, ‘한국타이어 부당 거래 의혹’ 장선우 극동유화 대표 소환 조사","조현범(구속 기소) 한국타이어앤테크놀로지 회장의 ‘부당 거래’ 의혹을 수사 중인 검찰이 9일 이 의혹 핵심 인물인 장선우 극동유화 대표를 불러 조사하고 있다.200억대 횡령·배임 혐의를 받고 있는 조현범 한국타이어 회장이 8일 오후 서울 서초구 서울중앙지법에서 열린 구속 전 피의자심문(영장실질심사)에 출석하고 있다. 2023.3.8/뉴스1본지 취재를 종합하면, 서울중앙지검 공정거래조사부(부장 이정섭)는 이날 장선우 대표를 피의자 신분으로 소환 조사 중이라고 한다. 검찰은 장 대표 측이 조현범 회장에게 차량을 제공한 배경, 극동유화 계열사인 우암건설이 한국타이어 발주 공사를 수주한 경위 등을 집중 조사할 것으로 전해졌다.장 대표가 2010년 설립한 우암건설은 2013년 한국타이어 헝가리 공장 확장 공사, 2014년 대전 연구개발센터인 한국타이어 데크노돔 신축 공사, 2017년 판교 신사옥 공사 등을 수주하며 단기간에 회사 규모를 키웠다. 검찰은 이 과정에 장 대표와 조 회장의 사적 친분이 작용했으며, 조 회장이 우암건설에 공사 수주 등 특혜를 제공하는 대가로 뒷돈을 받아 챙긴 것은 아닌지 의심하고 있다.앞서 검찰은 장 대표의 배임, 횡령 등 개인 비리 정황도 포착해 지난 4월 장 대표의 주거지와 관계자 사무실 등을 압수 수색한 바 있다. 지난달 31일에는 장 대표의 부탁을 받고 조 회장에게 차량을 제공한 혐의를 받는 장 대표의 형 장인우 고진모터스 대표를 피의자 신분으로 불러 조사했다.조 회장은 2014~2017년 한국타이어 계열사 한국프리시전웍스로부터 약 875억원 규모의 타이어 몰드를 사들이면서 다른 제조사보다 비싼 가격에 사는 방식으로 부당 지원하는 데 개입한 혐의로 지난 3월 재판에 넘겨졌다. 이로 인해 한국타이어는 약 131억원의 손해를 본 것으로 조사됐다. 또 조 회장은 2017~2022년 회삿돈을 자택 가구, 외제차 구입 등에 쓴 혐의도 받고 있다."
2023-04-17,"검찰, ‘한국타이어와 부당거래 의혹’ 극동유화 대표 압수수색","한국타이어와 우암건설간 부당 거래 의혹을 수사 중인 검찰이 우암건설을 세운 장선우(48) 극동유화 대표에 대한 압수수색에 나섰다.서울중앙지검 공정거래조사부(부장 이정섭)는 17일 오전 서울 용산구 한남동에 있는 장 대표의 주거지와 고진모터스 등 관계사 사무실 등에 수사관을 보내 관련 자료를 확보 중이다.서울 서초구 서울중앙지검./뉴스1검찰은 조현범(구속기소) 한국타이어 회장이 우암건설에 ‘끼워넣기’ 식으로 공사를 발주하고 뒷돈을 챙겼다는 의혹을 수사하던 중 장 대표의 배임·횡령 등 개인 비리 정황을 추가로 포착해 압수수색에 나선 것으로 알려졌다.우암건설은 장 대표가 2010년 세운 회사다. 우암건설은 2013년 한국타이어 헝가리 공장 3차 증설 공사, 2014년 한국타이어 연구개발(R&D) 센터인 ‘한국타이어 테크노돔’ 공사 등을 수주하며 성장했는데, 검찰은 여기에 장 대표와 조 회장의 개인적인 친분이 영향을 준 것으로 보고 있다고 한다. 우암건설은 2015년에야 토목건축공사업 면허를 딸 정도로 시공능력 평가 순위가 낮은데도 2000억원이 넘는 금액이 투입된 한국타이어 테크노돔 시공사로 참여했다. 검찰은 이 과정에서 조 회장에게 뒷돈이 제공됐는지 의심하는 것으로 전해졌다.검찰은 앞서 지난달 29일 우암건설 본사와 계열사 사무실, 한국타이어 등을 압수수색 했다."
2023-09-13,정치 테마주 주의… 선거 직전엔 급락하더라,"증시 지지부진에 단기 차익 노려총선 7개월이나 남았는데 과열초전도체, 신소재 맥신(Mxene), 양자컴퓨터 등 과학 테마주에 이어 정치 테마주가 들썩이고 있다. 지명도가 높은 한동훈 법무장관과 관련됐다고 소문난 기업들이 테마주로 묶여 주가가 급등하는 것이다.사외이사가 한 법무장관과 서울대 법대, 컬럼비아대 로스쿨 동문이라 ‘한동훈 테마주’로 분류되는 코스닥 상장 의료AI기업 ‘노을’은 지난달 28일부터 이달 8일까지 10거래일동안 주가가 두배 가까이(99%) 올랐다. 같은 기간 태양금속(33%)과 나우IB·부방(이상 15%), 극동유화(9%) 등 다른 한동훈 테마주도 크게 뛰었다. 태양금속은 회장이 한 장관과 같은 청주 한씨라는 이유로, 부방과 극동유화는 사외이사가 서울대 동문이라는 이유로 한동훈 테마주에 편입됐다.반면, 재판 등 법적 부담이 커진 이재명 더불어민주당 대표 관련주는 힘을 받지 못하고 있다. 에이텍과 이스타코는 대선 직전 해였던 2021년 고점 대비 70~90% 가량 빠진 상태다.LCD디스플레이 상품 제조업체인 에이텍은 대표가 성남창조경영CEO포럼 운영위원이었다는 이유로 성남시장 출신인 이재명 대표 테마주로 분류됐다. 부동산 관련 업체인 이스타코는 지난 대선 당시 이 대표의 부동산 공약 관련주로 꼽혀 주가가 급등했었다.전문가들은 정치 테마주 투자에 유의해야 한다고 지적한다. 정작 해당 정치인과의 연관성이 불분명한 경우가 많다는 이유에서다. 국회의원 총선거(내년 4월)를 7개월이나 앞둔 시점에 정치 테마주가 과열되는 것도 이례적이다. 증권가에선 “증시가 횡보하는 국면에서 단기 차익을 노린 투자자들이 끊임없이 테마를 찾는 과정에서 정치 테마가 주목받은 것으로 보인다”고 했다.이런 테마주는 변동성도 크다. 한동훈 테마주 중 대장주격이었던 오파스넷은 올 들어 지난달 25일까지 130% 상승해 고점을 찍었으나 이후 8거래일만에 20% 하락했다.자본시장연구원이 작년 2월 발표한 ‘20대 대통령 선거 정치테마주 현상에 대한 소고’ 보고서에 따르면 정치 테마주는 여론 조사 지지율 등락이나 정치적 이벤트에 따라 급등락을 반복하다가 선거 직전(선거일 기준 13~24거래일 전)부터 급락하는 흐름을 보였다."
2023-03-29,"검찰, ‘한국타이어 부당 거래 의혹’ 우암건설 압수수색","검찰이 29일 조현범 한국타이어앤테크놀로지(한국타이어) 회장과의 부당한 거래 의혹을 받는 우암건설에 대한 강제 수사에 착수했다.서울 서초구 서울중앙지검의 모습. /뉴스1서울중앙지검 공정거래조사부(부장 이정섭)는 이날 오전부터 한국타이어 발주 공사와 관련한 배임 의혹을 확인하기 위해 우암건설과 계열사 사무실 등을 압수 수색하고 있다고 밝혔다.우암건설은 윤활유 제조사인 극동유화의 건설부문 계열사로 검찰은 조 회장이 우암건설에 일감을 주는 대신 부당한 대가를 받았을 가능성을 의심 중이라고 한다. 실제 우암건설은 2013년 한국타이어의 헝가리 공장 확장 공사, 아트라스BC전주 공장 증설 공사 등 한국타이어가 발주한 공사에 여러 차례 참여한 것으로 알려졌다. 검찰은 조 회장의 횡령·배임 의혹 수사를 진행하는 과정에서 우암건설과 한국타이어의 부당한 거래 정황을 포착한 것으로 전해졌다.장선우 대표는 조현범 한국타이어 회장과 친분이 깊은 것으로 알려져 있다. 한국타이어는 극동유화의 2대 주주이고, 조 회장은 우암건설의 자회사인 우암디앤아이의 주주로 알려져 있다. 또한 두 사람은 2008년 코스닥 상장사인 앤디코프의 유상증자 단계에서 미공개 정보를 이용해 시세 차익을 얻은 혐의로 검찰 수사를 받은 바 있다.한편 조 회장은 지난 27일 계열사를 부당 지원해 회사 약 131억원의 손해를 입히고, 회삿돈을 개인 용도로 사용하는 등 75억5000여 만원의 횡령·배임 혐의 등으로 구속 기소됐다."
2024-01-12,"美·英, ‘홍해 후티반군 소식에 국내 해운·정유주 강세","지난 6일(현지시간) 홍해에서 '번영의 수호자 작전'을 수행 중인 영국 구축함HMS다이아몬드호의 모습. '번영의 수호자 작전'은 예멘 후티 반군이 팔레스타인 무장 정파 하마스를 지지한다는 명분으로 홍해에서 민간 선박을 공격하는 것에 대응해 미국과 동맹국들이 창설한 다국적 해상 안보 작전이다./연합뉴스미국과 영국이 홍해상에서 민간 선박을 잇달아 공격한 친(親) 이란 예멘 후티반군에 대한 공습을 개시해 중동 지역 긴장이 고조되자 국내 해운·정유주(株)가 장 초반 강세를 보이고 있다.12일 오전 10시 기준, 해운 업종 주가는 전일 대비 4% 올라 전체 업종 중 상승률이 가장 높았다. 대표적으로 흥아해운이 28% 급등했고, 대한해운(+11%),KSS해운(+4%),HMM(+2.6%) 등도 강세다.전세계 해상 컨테이너 물동량의 30%를 차지하는 홍해 지역의 긴장이 높아지자 물류대란에 따른 해운운임 상승 기대감이 투자 심리를 자극하는 것으로 풀이된다.글로벌 해운사들이 위험한 홍해 대신 아프리카 최남단의 희망봉을 거쳐 가는 우회로를 이용할 경우 물류비는 그만큼 늘어날 수 밖에 없다. 해운사 이익이 불어날 가능성이 커지는 것이다.향후 에너지 가격이 뛸 것이란 전망에 국내 정유·가스주도 오름세다. 흥구석유와 한국석유가 각각 15%, 8% 올랐고 대성에너지(+11%), 중앙에너비스(+6%), 극동유화(+3%),S-OIL(+0.9%) 등도 상승세를 타고 있다.앞서 11일(현지 시각) 뉴욕상업거래소에서 서부텍사스산원유(WTI) 선물 가격은 2% 가까이 뛰어 배럴당 73.50달러를 기록했고, 브렌트유도 1.9% 올랐다. 천연가스 역시 전날 대비 1.9% 오른 1MBTU당 3.1달러로 마감했다."
2023-07-21,"검찰, 조현범 한국타이어 회장 배임수재 혐의 추가 기소","검찰이 200억원대 횡령·배임 혐의로 기소돼 재판을 받고 있는 조현범 한국타이어그룹 회장을 추가 기소했다.200억대 횡령·배임 혐의를 받고 있는 조현범 한국타이어 회장이 지난 3월 영장실질심사에 출석하고 있다. /뉴스1서울중앙지검 공정거래조사부(부장 이정섭)는 지난 19일 조 회장을 배임수재 등 혐의로 추가 기소했다고 21일 밝혔다. 검찰은 조 회장에게 부정한 청탁과 함께 뒷돈을 건넨 장선우 극동유화 대표, 조 회장에게 차량을 제공한 장인우 고진모터스 대표 등도 업무상 배임 등의 혐의로 함께 재판에 넘겼다.조 회장은 장선우 대표가 설립한 우암건설에 끼워넣기식 공사를 발주하고 뒷돈을 챙긴 혐의를 받는다. 검찰은 ‘끼워넣기 발주’ 과정에 조 회장과 장 대표 사이의 개인적 친분관계가 작용했다고 보고 있다. 장 대표의 형인 장인우 고진모터스 대표는 장 대표 부탁을 받고 조 회장 측에 차량을 제공한 혐의를 받고 있다.검찰은 조 회장의 개인 회사인 의료기기 제조업체 아름덴티스트리가 발주한 공사를 우암건설이 낙찰받은 공사에 대해서도 두 회사 대표 등 4명을 건설산업기본법위반죄로 재판에 넘겼다. 또 해당 입찰에 들러리로 참여한 세 회사 임원 등 6명을 약식 기소했다."
2022-03-14,출근길에 꼭 챙겨야 할 이것 “오늘의 AI투자날씨는 ‘맑음’ 입니다”,"“오늘의AI투자 날씨는 맑음. 인기 업종은 식품·음료·담배입니다. 관련 주식은 ‘극동유화’,‘에스원’,‘S-Oil’등이 있어요.”매일 아침 출근길, 오늘의 주식시황을AI가 날씨에 빗대 쉽게 설명해준다면?KB국민카드는 자사 마이데이터 서비스 플랫폼 ‘리브메이트’를 통해 날씨처럼 투자정보를 직관적이고 손 쉽게 확인할 수 있는 ‘AI투자 날씨’ 서비스를 선보인다고 14일 밝혔다.로보어드바이저 기업 ‘콴텍투자일임’의 빅데이터 및 인공지능(AI) 기술을 토대로 기업의 재무제표, 주가, 기사 등 정보가 종합적으로 반영된 결과지표를 맑음, 폭우, 흐림, 구름잔뜩, 비와 같이 날씨로 표현해준다. 시각적 이미지도 곁들여 고객들이 한 눈에 당일의 시황을 체감할 수 있게 했다.KB국민카드는 ‘AI투자 날씨’ 서비스 출시를 기념해 오는 3월 31일까지 행사 응모 후 한 달 동안 ‘콴텍’AI와 모의 투자대결을 통해 최대 100만 포인트를 제공하는 행사도 진행한다.‘콴텍’AI와 국내주식 종목을 대상으로 한 달 동안 수익률을 대결하는 방식이다. 수익률 △1위는 100만 포인트 △2위는 50만 포인트 △3위는 20만 포인트를 받는다. 또 행사 참가자 전원에게 100포인트를, 마이데이터 자산연동을 한 고객에게는 1000포인트를 지급한다."
2023-04-17,"檢, '한국타이어 부당거래 의혹' 장선우 극동유화 대표 압수수색",서울 서초동 서울중앙지검. 연합뉴스조현범 한국타이어앤테크놀로지(한국타이어) 회장을 재판에 넘긴 검찰이 장선우 극동유화 대표의 주거지 등에 대한 강제 수사를 진행 중에 있다.17일 법조계에 따르면 서울중앙지검 공정거래조사부(부장검사 이정섭)는 이날 오전 배임 등 혐의로 서울 용산구에 위치한 장 대표의 주거지와 고진모터스 등 관계사를 압수 수색하고 있다.검찰은 우암건설에 공사를 부당 발주해 회삿돈을 빼돌린 조 회장의 혐의를 수사하던 장 대표의 추가 범죄 혐의도 포착한 것으로 전해졌다. 앞서 검찰은 지난달 29일에도 우암건설 본사와 계열사·임직원 사무실·한국타이어 등에 대한 압수수색을 진행한 바 있다.특히 검찰은 장 대표가 최대 지분을 가진 우암건설이 한국타이어의 공사를 다수 수주한 점을 주목하고 있다. 조 회장이 장 대표에게 일감을 몰아주고 ‘뒷돈’을 받았다는 의혹이다. 우암건설은 한국타이어의 ▶헝가리 공장 확장 공사(2013년) ▶아트라스BC전주공장 증설 공사(2013년) ▶금산공장 압연동 증설 공사(2014년) ▶대전 소재 중앙연구소 테크노돔 신축 공사(2014년) ▶판교 신사옥(2017년) 등 공사에 참여했다.특히 테크노돔의 경우 공사비만 2666억 원에 달해 당시 도급 순위 2000위 밖이었던 소형 건설회사인 우암건설이 입찰을 따낸 것을 두고 의혹이 제기된 바 있다. 검찰은 우암건설이 공사 과정에서 아무 역할을 하지 않고도 ‘끼워 넣기식’ 계약을 체결해 공사비를 타낸 것으로 의심하고 있다.검찰은 조 회장과 장 대표가 어린 시절의 인연을 바탕으로 단순 사업 파트너 이상의 관계를 구축한 것으로 보고 있는 것으로 알려졌다. 앞서 두 사람은 2008년 미공개 정보를 이용해 코스닥 상장사인 앤디코프 유상증자에 참여한 뒤 시세 차익을 얻은 혐의로 나란히 검찰 수사를 받기도 했다.한편 '계열사 부당지원 의혹'으로 한국타이어그룹을 수사하던 서울중앙지검은 올해 초 서울서부지검으로부터 조 회장의 개인비리 의혹 사건을 넘겨받아 지난달 27일 조 회장을 공정거래법위반·특정경제범죄가중처벌법위반(횡령·배임) 혐의로 구속기소했다.
2022-12-27,[사랑방] 관훈클럽정신영기금,◆관훈클럽정신영기금(이사장 김진국 중앙SUNDAY고문)은 26일 관훈클럽 전시관 리모델링 비용 지원 등의 공로로 장홍선 극동유화그룹 회장에게 감사패와 감사장을 전달했다.
2023-07-21,한국타이어 조현범 회장 배임수재 혐의 추가 기소,"200억원대 횡령·배임 혐의로 구속기소 돼 재판을 받고 있는 조현범 한국타이어 회장이 우암건설 등과 부당거래를 한 혐의로 추가 기소됐다.서울중앙지검 공정거래조사부(부장 이정섭)는 19일 조 회장을 배임수재 등 혐의로 불구속기소 했다고 21일 밝혔다. 검찰은 금품 등을 제공하는 대신 사업 청탁을 한 장선우 극동유화 대표는 배임증재 및 업무상 배임 혐의로, 장 대표의 형 장인우 고진모터스 대표는 업무상 배임 혐의로 각각 불구속 기소했다. 자동차 부품 제조업체를 운영하는 김모씨 역시 배임증재 및 업무상 배임 혐의로 불구속 기소했다.조현범 한국타이어 회장이 200억대 횡령 등 혐의로 재판을 받던 중 배임수재 혐의로 추가 기소됐다. 연합뉴스조 회장은 자신과 친분이 있는 장선우 대표 소유의 우암건설에 공사를 발주해주고 대가를 받은 것으로 조사됐다. 우암건설은 이를 통해 2013년 한국타이어 헝가리 공장 3차 증설 공사, 2014년 연구개발센터인 한국타이어 테크노돔 공사 등을 수주했다. 아우디의 국내 공식 딜러인 고진모터스 장인우 대표는 동생 장선우 대표의 부탁으로 조 회장에 고진모터스 소유의 차량을 제공한 혐의를 받고 있다. 검찰은 “리스 차량, 임대차 아파트 등의 특성상 범행 액수 특정이 어려운 실정”이라고 설명했다.검찰은 조 회장의 개인 회사인 의료기기 제조업체 아름덴티스트리가 발주하고 우암건설이 낙찰받은 200억원대 건설공사에서 입찰담합을 벌인 혐의로 회사와 대표 등 4명을 재판에 넘기고, 해당 입찰에 들러리로 참여한 건설회사 등 3곳과 각 회사 임원 등 6명은 약식기소했다.조 회장은 지난 3월 특정경제범죄가중처벌법상 횡령 및 배임, 공정거래법 위반 등 혐의로 구속기소됐다. 검찰은 한국타이어가 계열사이자 조 회장 등 총수 일가가 지분을 가진 한국프리시전웍스(MKT)로부터 비싼 가격에 타이어 몰드를 사들이는 방법으로 부당 지원을 하고, 이렇게 발생한 이익이 조 회장 등 총수 일가에게 흘러들어간 것으로 판단했다. 그러나 조 회장 측은 1심에서 경영상의 이유를 들며 혐의를 부인하고 있다."
