date,title,content
2023-01-22,[부음] 강병중 넥센그룹 회장 부인상,"▲김양자 별세, 강병중(넥센그룹 회장) 부인상, 강호찬(넥센타이어 부회장)·신영·소영(서울디지털대 교수) 모친상, 정은보(전 금융감독원장) 장모상, 정원선(국제변호사) 시모상=22일, 부산 한중프라임장례식장 202호, 발인 27일 오전 7시. 051-513-6731"
2024-11-27,[단독] 임혜동 “김하성이 합의 어겼다”... 1억 달라는 소송 1심 패소,"MLB(미 프로야구)에서 뛰는 김하성(29·샌디에이고 파드리스)을 협박해 거액을 뜯어낸 혐의(공갈 등)를 받는 전 야구 선수 임혜동(28)이 합의 조건을 위반했다며 김씨를 상대로 1억원을 달라는 소송을 냈지만, 1심에서 패소했다.메이저리거 김하성을 협박해 돈을 뜯어낸 혐의를 받는 전 야구 선수 임혜동이 지난 7월 서울 서초구 서울중앙지방법원에서 열린 구속 전 피의자 심문(영장실질심사)에 출석하기 위해 법정으로 향하고 있다. /뉴시스27일 서울중앙지법 민사96단독 이백규 판사는 임씨가 김씨를 상대로 낸 1억원의 기타(금전) 소송에서 원고 패소로 판결했다.선후배 사이인 두 사람의 갈등은 2021년 2월 서울 강남에서 함께 술자리를 가지다 시비가 붙어 몸싸움을 벌이면서 시작됐다.임씨는 김씨에게 폭행을 당했다며 이후 합의금을 요구했다. 당시 임씨는 김씨의 소속사에서 매니저로 일하고 있었다고 한다.결국 김씨는 임씨가 향후 직간접적으로 연락하거나 이 같은 일을 외부에 공개하는 등 김씨에게 불이익이 될 만한 행동을 하지 않는 조건으로 합의서를 썼고 합의금 4억원을 줬다. 임씨가 합의를 어기면 합의금의 배액(8억원)을 위약벌로 배상해야 한다는 내용도 넣었다.그러나 임씨는 오히려 김씨가 합의를 어기고 제 3자에게 관련 사실을 알리는 등 비밀유지의무를 위반했다며 작년 12월 소송을 제기했다. 재판 과정에선 합의서에 명시적 규정은 없더라도 김씨에게도 이러한 배상 규정이 적용돼야 한다는 취지로 주장했다.이 판사는 “이 사건 합의에 의하면 원고(임씨)가 비밀유지의무를 위반해 합의 관련 사실을 외부에 발설하는 경우 합의금의 배액을 위약벌로 지급하도록 규정돼 있을 뿐, 피고(김씨)에게 동일한 의무를 부과하는 내용 등은 찾아볼 수 없다”며 임씨 주장을 받아들이지 않았다.그러면서 “임씨는 명시적 규정이 없더라도 이 같은 규정이 김씨에게도 준용돼야 한다고 주장하나 이는 합의서에 반하는 주장으로 그렇게 해석해야 할 근거를 찾을 수 없다”며 “임씨가 제시하는 증거들만으론 김씨가 제 3자에게 합의 관련 사실을 발설해 비밀유지의무를 위반했다고 인정하기 부족하다”고 지적했다.한편 지난 8월 서울중앙지법 민사25부(재판장 송승우)는 반대로 김씨가 임씨를 상대로 낸 위약벌 청구 소송에서 “임씨는 김씨에게 8억원을 지급하라”고 선고한 바 있다. 김씨는 합의 이후에도 임씨가 계속 연락해오자 공갈 혐의로 그를 형사 고소하고, 민사 재판으로도 위약벌 청구 소송을 제기했다.앞서 수사를 벌인 서울 강남경찰서는 지난 7월 공갈 등 혐의가 인정된다고 보고 임씨를 검찰에 송치했다. 아직 법원에는 사건이 접수되지 않은 것으로 알려졌다.임씨는 2015년에 김씨가 있던 넥센(현 키움) 히어로즈에 투수로 입단했지만, 1군에 데뷔하지 못한 채 이듬해 팀에서 방출됐다. 이후 사실상 선수 생활을 마쳤다."
2024-10-03,"히어로즈 前부사장, 사문서변조로 1심서 징역 1년 추가","남궁종환 전 넥센 히어로즈(현 키움 히어로즈) 부사장. /키움 히어로즈최근 사기 혐의로 징역 1년이 확정된 남궁종환 전 넥센 히어로즈(현 키움 히어로즈) 부사장이 문서 위조 등 혐의로 추가 기소돼 1심에서도 실형을 선고받았다.3일 법조계에 따르면, 서울중앙지법 형사23단독 양진호 판사는 사문서변조, 변조사문서행사 혐의로 기소된 남궁 전 부사장에게 지난달 25일 징역 1년을 선고했다.남궁 전 부사장은 2010~2018년 히어로즈 부사장을 지냈고, 주식 1만3000주를 보유하고 있다. 그는 지난 2020년 8월 돈을 빌리기 위해 이미 다른 채무로 담보가 잡혀있는 자신의 주식에 채무가 없는 것처럼 조작한 혐의로 기소됐다. 그는 주주 명부에서 자신의 주식이 담보로 잡혀있다는 내용을 수정테이프로 가리고 복사해 문서를 변조한 것으로 전해졌다.남궁 전 부사장은 위조된 문서를 이용해 총 3억 5000만원을 빌린 것으로 조사됐다. 양 판사는 “피고인은 동종 범죄로 처벌받은 전력이 있음에도 집행유예 기간 중 범죄를 저질렀다”며 “자신의 돈을 갚을 능력에 관해 거짓말을 하면서 근거 자료를 제공하기 위해 주주 명부를 변조, 행사해 죄책이 매우 무겁다”고 지적했다.남궁 전 부사장은 앞서 이장석 전 히어로즈 대표와 회삿돈 약 21억원을 횡령한 혐의로 2018년 징역 3년에 집행유예 4년을 확정받았다. 또한 이 전 대표에게 “횡령액을 변제하려 한다”며 3억 1000만원을 빌린 뒤 갚지 않은 혐의로 추가 기소돼 지난 8월 징역 1년이 확정됐다."
2024-09-10,[기고] ‘프라하의 연인’에서 원전까지… 한국과 체코의 우정은 끈끈하다,"프라하에서 가장 오래된 다리 근처의 펍과 안양의 북극곰의 공통점은 무엇일까? 한국과 체코 간 우정의 상징이라는 것이다. 두 나라는 글로벌 안보와 경제 번영을 위한 전략적 동맹을 통해 전통적 파트너십을 뛰어넘으며 관계를 발전시켜 왔다. 이번 방한을 계기로 나는 수십 년 동안 지정학적 지형을 좌우할 양국 관계의 다음 장을 써 내려가고자 한다.최근 체코 정부가 한국수력원자력을 신규 원전 사업 우선협상대상자로 선정한 것은 획기적인 순간이며, 한국에 대한 믿음과 신뢰를 강조한 결정이다. 그러나 우리의 이야기는 여기에만 국한되지 않는다. 체코에서 현대, 두산, 넥센 등 한국 기업들은 고유의 노하우와 역량을 제공하며 두 나라의 상호 이익에 기여했고, 현지 브랜드처럼 친숙하게 여겨진다.양국 관계는 수많은 개인적 우정과 교육, 문화 및 스포츠 분야 협력을 기반으로 한다. 한국 아이스하키 팬이라면HL안양에서 ‘북극곰(마스코트)’의 일원으로 활약하며 한국 아이스하키 발전에 큰 발자취를 남긴 파트릭 마르티넥(한국에서는 ‘할아버지’로도 불린다)을 기억할 것이다. 또 2018년 2월 올림픽 사상 최초로 알파인 스키와 스노보드에서 모두 금메달을 획득한 에스테르 레데츠카의 활약 덕분에 개최지 평창과 한국은 항상 체코인의 마음에 남아있다.2005년 방영된 드라마 ‘프라하의 연인’의 영향으로 여전히 수많은 한국 관광객이 주 4회 직항편으로 체코를 찾는다. 내 집무실에서 멀지 않은 곳에 드라마에 등장했던 펍 ‘우 말레호 글레나(UMaléhoGlena)’가 있는데, 이곳은 체코어뿐만 아니라 한국어 메뉴가 인쇄되어 있을 정도다! 최근 몇 년간 체코의 젊은이들 사이에서 한국에 대한 관심이 폭발적으로 증가했는데, K팝이 단연 으뜸이다.체코는 한반도의 평화와 외교에 전념하며 핵무기 없는 한반도와 긴장 완화를 위한 노력을 지지하고 있다. 우리는 국제법 수호의 중요성을 인식하고 지역 안보와 협력을 강화하기 위한 윤석열 대통령의 기조를 높이 평가한다. 러시아와 북한과의 잘못된 군사 거래는 세계 평화에 대한 심각한 위협으로, 핵 확산 방지 노력을 약화시키고 유럽과 인도 태평양을 불안정하게 만든다.지금 체코 안보의 가장 큰 위협은 러시아 제국주의다. 이 시점에서 나는 한국인들에게 감사를 표하고 싶다. 체코는 우크라이나에 대한민국의 역할과 지원을 높이 평가하고 있다. 우크라이나에 대한 한국의 접근 방식은 다른 국가들에도 모범이 되고 있다. 우리는 침략과 공격을 받았던 역사적 경험을 잊지 않고 있다. 또 무력 위협이나 사용을 금지하고 모든 회원국이 다른 국가의 주권, 영토 보전 및 정치적 독립을 존중할 것을 촉구하는 유엔 헌장을 지지한다.우리는 사이버 방어, 군비 통제 및 비확산, 기술 및 대테러 대응을 포함한 여러 공동의 지역 간 안보 과제에 대해 협력하고 있다. 특히 사이버 보안은 많은 잠재력을 가진 분야이다. 두 나라의 유대는 단순한 외교 관계를 넘어 경험과 문화 교류의 공유에 뿌리를 두고 있다. 양국 하키팀을 응원하거나 ‘우 말레호 글레나’에서 맥주를 즐기면서, 양국은 오래도록 지속되는 견고한 우정을 쌓아 왔다. 우리는 스포츠와 음악에 대한 사랑뿐 아니라 세계 평화와 안보를 위한 헌신으로 하나가 되어 있고, 공동의 위협에 맞서 굳건히 파트너십을 지켜나갈 것이다."
2024-08-31,"법원 “‘연락 않겠다’ 합의 어긴 임혜동, 김하성에 8억 줘야”","공갈 혐의를 받는 전 야구선수 임혜동(28)이 메이저리거 김하성(29·샌디에이고 파드리스)에게 합의 조건 위반에 따라 8억원을 줘야 한다는 법원 판단이 나왔다.메이저리거 김하성을 협박해 돈을 뜯어낸 혐의를 받는 전직 프로야구 선수 임혜동이 지난달 4일 서울 서초구 서울중앙지법에서 열린 영장실질심사에 출석하기 위해 법정으로 향하고 있다./뉴시스31일 법조계에 따르면, 서울중앙지법 민사25부(재판장 송승우)는 전날 김하성이 임혜동을 상대로 제기한 위약벌 청구 소송에서 “피고는 원고에게 8억원을 지급하라”고 선고했다.선후배 사이인 두 사람 사이의 분쟁은 2021년 2월 서울 강남의 한 술집에서 술을 마시다 몸싸움을 벌이면서 벌어졌다. 임혜동은 당시 군인 신분이었던 김하성에게 합의금을 요구했다. 김하성은 결국 향후 직간접적으로 연락하거나 불이익한 행위를 하지 않는 조건으로 합의금 4억원을 줬다.그러나 임씨가 이후에도 연락해 오는 등 합의 사항을 어기자 김하성은 지난해 말 공갈 혐의로 그를 형사 고소하고, 민사 재판으로도 위약벌 청구 소송을 제기했다. 이를 수사한 서울 강남경찰서는 지난 1일 공갈·공갈미수 혐의가 인정된다고 보고 임혜동을 검찰에 송치했다.지난 3월 21일 서울 구로구 고척스카이돔에서 열린 2024 미국 메이저리그(MLB) 월드투어 서울시리즈 공식 개막전 샌디에이고 파드리스와LA다저스의 2차전 경기, 김하성이 그라운드에 입장하고 있다./뉴스1임혜동은 2015년 프로야구 넥센(현 키움) 히어로즈에 투수로 입단했지만 1군에 데뷔하지 못하고 이듬해 팀을 떠났다."
2024-07-25,[기고] 체코는 시작일 뿐… 세계의 원전 르네상스 시작됐다,"체코전력공사가 테믈린에서 운영 중인 1000㎿(메가와트)급 원전 2기. 한국수력원자력은 지난 17일 두코바니와 테믈린에 신규 원전을 2기씩 추가 건설하는 사업의 우선 협상 대상자로 선정됐다. /한국수력원자력예상대로 한국의 ‘팀코리아 컨소시엄’이, 프랑스EDF사를 제치고, 체코 신규 원전의 우선협상대상자로 선정되었다. 이는 우리 원전 기업들의 우수성을 바탕으로, 국가 정상을 필두로 치밀한 원전 외교가 성공한 결과라고 할 수 있을 것이다. 한국과 체코는 2015년 전략적 동반자 관계를 맺은 이후 다방면에 걸쳐 깊은 협력 관계를 구축하여 왔고, 현대자동차, 넥센타이어 등 체코에 진출한 우리 기업들에 대한 체코 국민들의 평가가 좋으며, 무엇보다 양국 정부 사이 다년간 쌓여진 신뢰가 수주의 바탕이 되었다고 할 것이다. 이번 두코바니 원전 2기 계약이 서명되고, 약 3년후 테믈린 원전 2기 계약이 서명되면, 수주 금액은 총 약 56조원에 이를 것으로 추정된다.2050년 탄소 중립 달성을 목적으로 세계는 원전 르네상스 시대로 돌입하고 있어서 체코 원전 수주 이후 지금은 우리의 글로벌 원전 전략을 구상할 적기로 생각된다. 우리가 세계 원전 시장을 주도하기 위한 유일한 선결 조건은 한미 원전 동맹의 완성이다. 원전 하부 공급망을 잘 갖추고 있지 못한 미 웨스팅하우스사를 기업 결합 형식으로 우리 원전 공급망에 참여토록 하면, 한미 양국 간 원전 동맹이 완성된다. 한미 양국 간 이익 공유와 상호 윈윈이 되는 가운데, 우리 원전 공급망이 글로벌 원전 시장을 주도할 수 있다.현재 세계 원전 강국은 러시아, 중국, 프랑스 그리고 한국이다. 이 중 러시아 원전은 우크라이나 전쟁으로 인한 미국과 유럽의 제재로 인해 어려움에 처해있다. 중국 국영원전공사(CGN)는 원전 기술의 군사적 전용 혐의로 인해, 미국 제재를 받고 있어 글로벌 시장 공략이 힘든 처지이다. 프랑스는 핀란드 오킬루토 원전 3호기 공사에서 13년을 지연한 끝에 거액의 배상금을 냈고 지금도 영국 및 자국 프랑스에서 수년간 공사를 지연 중으로 우리의 팀코리아와 경쟁이 어렵다. 따라서 우리가 미국과의 공조가 완성되면 글로벌 원전 시장을 주도할 준비가 갖추어지는 것이다. 원전은 국가 간 백년 동맹 성격으로, 국가원수를 포함한 치열한 국가 간 수주전이 벌어지는데, 여기에서도 한미 공조가 압도적인 위력을 발휘할 것임은 더 말할 나위가 없을 것이다.당장 체코 이웃 나라 폴란드에서는 한수원이 원전 2기를 논의 중이다. 최근 폴란드 내 정권 교체 이후 사업 지연에 대한 우려가 일부 있는데, 이번 체코 원전 수주로 폴란드 사업에 좋은 영향을 줄 것으로 보인다. 또한 옆 나라 슬로바키아에서Fico(피쵸) 총리 내각이 원전 1기 건설 방침을 최근 확정했는데, 이 원전 건설을 담당할 체코·슬로바키아 합작사가 이미 가동 중으로 체코와 잘 협력하여 슬로바키아 원전 수주를 도모할 일이다. 스웨덴, 네덜란드, 영국, 핀란드, 슬로베니아 등 여러 유럽 국가에서도 원전 타당성 조사 사업이 목하 구상 중이거나 시행 중으로 있다. 이 국가들 원전도 이번 체코에서 높아진 한국 원전의 성가를 바탕으로 수주를 도모할 적기로 보인다.웨스팅하우스사는 불가리아에서 자사가 수주한 원전 2기를 우리 현대건설이 시공하도록 계약을 맺었고, 또한 폴란드 원전 6기, 우크라이나에서 원전 9기를 수의 계약 형식으로 수주했거나 수주 예정이고, 장차 또 다른 국가들에서 동사의 수주가 예상된다. 한미 공조가 완성되면, 이를 우리 원전 공급망이 순차적으로 건설할 수 있을 것이 예상된다. 우리 기업들이 확실히 수익을 거둘 수 있는 원전 시장은 주로 유럽 및 중동 지역이며 이들 지역을 중심으로 우리의 글로벌 원전 전략을 수립해서 시행함이 좋을 것으로 보인다.이번 체코 원전 수주를 출발점으로 해서, 글로벌 원전 시장 전체를 향한 한국의 전략 가동이 시작되었다. 원전은 재생에너지와 함께 탄소 중립 실현과 기후변화 완화를 위한 도구로서, 여사한 우리의 노력은 인류 전체의 복지와 생존에 기여함과 동시에 사업국 모두와 공동 유산을 남기는 것이다. 우리가 글로벌 원전 전략 가동의 선결 조건을 이루고, 한미 공동으로 글로벌 원전 시장을 주도해 나갈 것을 기대한다.문하영 한·체코미래포럼 부의장·前 주체코대사"
2024-07-19,"美·佛에 앞선 기술력… 체코, K원전 만장일치로 선택","원전 강국 모두 꺾었다17일(현지 시각) 체코 내각회의는 만장일치로 한국수력원자력을 신규 원전 우선협상대상자에 선정했다. 페트르 피알라 체코 총리는 이날 회의 후 기자회견에서 “모든 기준에서 한국이 제시한 조건이 우수했다”고 밝혔다.15년 전UAE(아랍에미리트) 바라카 원전 수주 당시엔 경쟁국보다 낮은 건설 단가와 시공 능력이 주요 강점으로 꼽혔지만, 이번 수주전에선 가격뿐 아니라 설계 기술까지 어느 하나 흠을 잡을 수 없는 실력을 갖추게 된 것이다. 1978년 고리 1호기가 상업 운전을 시작한 후발 주자 한국이 1950년대부터 원전을 가동한 원전 1세대 강국 미국과 프랑스를 제치고 유럽에 첫발을 내디뎠다.◇'온 타임 온 버짓’은 기본K원전의 특장점인 ‘온 타임 온 버짓(OnTimeOnBudget)’은 이번 수주전에도 힘을 발휘했다. 18일 세계원자력협회에 따르면, 한국의 원전 건설 단가는kW(킬로와트)당 3571달러로, 중국(4174달러), 미국(5833달러), 러시아(6250달러), 프랑스(7931달러) 등에 비해 최대 55% 가까이 낮은 수준이다. 2009년UAE바라카 원전 수주 당시에도 우리는 경쟁 상대국이었던 프랑스보다 20~30% 낮은 가격과 비교적 짧은 공사 기간을 내세워 우위를 점했는데, 이번 체코 수주전에서는 기술력도 입증하며 양대 원전 강국 미국과 프랑스를 꺾은 것이다.그래픽=송윤혜수주 15년 만인 올해 마지막 4호기까지 상업 운전에 들어가는UAE바라카 원전은 한국형 ‘온 타임 온 버짓’의 대표적인 사례다. 고리 1호기부터 꾸준히 원전을 건설하면서 축적된 역량을 바탕으로, 무조건 정해진 시간 안에 원하는 결과물을 저렴한 가격에 만들어 낸다는 강점이 유럽 시장까지 사로잡은 것이다. 대통령실 비서실장을 지낸 이관섭 전 한수원 사장은 “이제 시공과 설비 제조를 넘어 원자로 설계까지 우리 원전이 독보적인 실력을 쌓게 된 것”이라고 말했다.◇K조선업처럼 ‘맞춤형’ 공략체코는 입찰 과정에서 자국의 여건에 맞춰 1200MW(메가와트)급 이하 원전 건설을 요구했다. 대규모 냉각수를 얻기 어려운 내륙이라는 지리적인 한계와 당시 예측한 전력 수요와 송·배전망 상황을 감안한 조건이었다. 최신형 1400~1600MW급 원전에 주력해온 각국은 ‘체코 맞춤형’ 모델이 필요했다. K원전으로선 기술력을 입증할 좋은 기회였다. 앞서 2016년부터EU(유럽연합) 기준에 맞춰 1000MW급 모델을 개발해오던 우리나라는 5년 만인 2021년 개발을 마치고, 2023년 5000여 가지 항목을 만족시키며EU인증을 받았다. 반면 프랑스는 설계도는 만들었지만, 결국 인증은 받지 못한 채 입찰 서류를 냈다. 미국은 한수원보다 두 세대 뒤떨어진 인증만 받은AP1000 모델로 준비하다 입찰에서 먼저 탈락했다.한 원전 업계 관계자는 “한국 조선업은 선주(船主)의 다양한 요구를 맞춤형 설계·건조로 충족시키며 일본을 따라잡고 세계 시장을 휩쓸었는데, 우리 원전도 향후 폭발적으로 커질 원전 시장에 맞춤형 주문에 대응할 수 있는 역량을 입증한 것”이라고 했다.◇K제조업 경쟁력도 한몫이번 수주전에서 정부는 체코에 원전 건설뿐 아니라 다른 산업 지원책까지 함께 제시하며 K제조업 역량을 총동원했다. 현대차·현대제철·한화첨단소재·넥센타이어 등 체코에 이미 진출한 기업뿐 아니라 앞으로 반도체, 전기차,AI(인공지능) 등으로 ‘산업 지원 패키지’를 확대하며 체코에 경제 협력을 제안한 것이다.안덕근 산업통상자원부 장관은 이날 열린 브리핑에서 “체코에는 한국 기업만 100개 이상 있고, 근로자 1만4000명 이상이 고용돼 있다”며 “대표적인 제조업 국가인 체코와 향후 산업 협력이 강화될 것으로 기대된다”고 말했다.☞온 타임 온 버짓대규모 건설 사업을 정해진 시간과 예산 내에서 마무리하는 것. 한수원을 비롯한 ‘팀코리아’가 2008년UAE바라카 원전 사업을 따내고, 이번에 체코 내각의 만장일치로 신규 원전 우선협상대상자로 선정된 가장 중요한 이유로 꼽힌다. 팀코리아는 이번 수주를 통해 경제성과 시공 능력뿐 아니라, 세계 최고 수준의 설계 능력까지 모두 갖췄다는 평가를 받게 됐다."
2024-07-04,"법원, ‘김하성 공갈’ 前 야구 선수 임혜동 영장 기각","MLB(미 프로야구)에서 뛰는 김하성(29·샌디에이고 파드리스)을 협박해 거액을 뜯어낸 혐의(공갈 등)를 받는 전 야구 선수 임혜동(28)의 구속영장이 4일 기각됐다. 임씨의 구속영장이 기각된 건 지난 1월에 이어 두 번째다.메이저리거 김하성을 협박해 돈을 뜯어낸 혐의를 받는 전 야구선수 임혜동씨가 4일 오전 서울 서초구 서울중앙지방법원에서 열린 영장실질심사에 출석하고 있다. /뉴스1서울중앙지법 신영희 영장전담 부장판사는 이날 공갈 혐의 등으로 구속영장이 청구된 임씨에 대한 영장실질심사를 마친 후 “피의자의 방어권 보장이 필요한 점, 지난 구속영장 청구 기각 이후 도망이나 증거인멸을 우려할 만한 사정이 있었다고 보기 어려운 점, 사건 경위, 고소인과의 분쟁 상황, 수사와 심문에 임하는 태도, 주거 및 가족 관계 등에 비추어 볼 때 현 단계에서 피의자를 구속할 사유를 인정하기 어렵다”며 구속영장을 기각했다.함께 구속영장이 청구된 임씨의 전 소속사 팀장 박모씨에 대해서도 비슷한 이유로 영장이 발부되지 않았다.앞서 경찰은 지난 1월 임씨에 대해 구속영장을 신청했으나 당시에도 법원은 “추가 소명이 필요하다”며 기각한 바 있다.서울 강남경찰서는 보완 수사를 거쳐 지난달 26일 임씨와 박씨에 대해 공갈 등 혐의로 구속영장을 재차 신청했지만 또 기각됐다.경찰에 따르면 임씨는 2021년 2월 서울 강남의 한 술집에서 김하성과 술자리를 즐기다 몸싸움을 벌인 뒤 이를 빌미로 그를 협박해 합의금 명목으로 두 차례에 걸쳐 4억원을 받아낸 혐의를 받는다. 당시 임씨는 김하성의 소속사에서 매니저로 일하고 있었다. 임씨는 이후에도 이를 알리겠다는 등 재차 김하성을 협박해 추가 금품을 요구했는데, 김하성이 이를 거부한 것으로 알려졌다.임씨가 베테랑 투수 류현진(37·한화)으로부터 비슷한 수법으로 3억여원을 뜯어낸 혐의는 지난 1월 구속영장에는 포함됐으나 이번에는 빠졌다.임씨는 2015년 넥센(현 키움) 히어로즈에 투수로 입단했지만, 1군에 데뷔하지 못한 채 이듬해 팀에서 방출됐다. 이후 사실상 선수 생활을 마쳤다."
2024-06-04,“폭염으로부터 근로자 지킨다”...경남도 민관 ‘폭염방위대’ 가동,"경남도는 4일 오후 폭염 재해 예방을 위해 동아오츠카와 업무협약을 체결하고 ‘경상남도 폭염방위대’를 출범했다. /경남도올해 폭염이 예상되는 가운데 경상남도가 민간기업과 손을 잡고 지역 근로자 온열질환 재해를 예방하는 ‘폭염방위대’를 운영한다고 4일 밝혔다.경남도는 이날 여름철 근로자 온열질환 등 산업재해를 예방하기 위한 폭염방위대 출범식을 가졌다. 경남도와 동아오츠카가 주관 기관으로 나선다. 기능성 음료 제조업체인 동아오츠카는 온열질환 예방 프로그램을 보유한 기업으로 알려져 있다.경남도에 따르면 기상청은 올 여름철 기온이 평년보다 높을 확률을 50%로 전망했다. 강수량은 7·8월에 평년과 비슷하거나 많을 확률이 각각 40%, 6월은 평년과 비슷할 확률이 50%라고 예측했다. 기상청 날씨 전망의 경우 확률이 33.3% 이상이면 발생 가능성이 상대적으로 높다는 의미라고 한다.강순익 경남도 중대재해예방과장은 “올 여름 폭염이 예상되는 가운데 지역 근로자의 산재 예방과 안전문화 캠페인 모범사례를 만들고 확산하기 위해 광역자치단체 처음으로 동아오츠카와 협약을 체결했다”고 설명했다. 폭염방위대에는 고용노동지청, 안전보건공단 경남지역본부, 한국가스공사 부산경남지역본부, 대한적십자사 경남지사 등 6개 기관이 유관기관으로 동참한다.폭염방위대는 경남에 있는CJ대한통운, 컬리 창원클러스터, 삼성중공업 거제조선소, 두산에너빌리티, 넥센타이어 양산·창녕공장, 부산신항만 등 6개 기업을 찾아가 근로자들을 대상으로 온열질환 안전예방교육을 진행하고, 온열질환 자가진단, 수분 체크, 스트레스 검사 등 다양한 폭염 예방 설루션을 제공한다. 6개 유관기관에서는 안전보건 강사 파견, 물품 지원 등을 한다. 폭염방위대 출범식에서 한국가스공사 부산경남지역본부는 취약계층 온열질환 예방에 쓸 1000만원을 대한적십자사 경남지사에 기탁했다.최만림 경남도 행정부지사는 “민관이 함께 손을 맞잡고 도내 근로자가 폭염으로부터 안전한 환경에서 일하고, 폭염에 대한 경각심을 갖고 안전문화가 더 확산될 수 있도록 노력하겠다”며, “앞으로도 관계기관과 협력해 산업재해 예방에 최선을 다하겠다″고 말했다."
2024-03-21,"안방 돌아온 김하성의 만세 인사… 낭만의 이 장면, 심판이 만들었다","김하성이 팬들에게 인사하는 시간을 주기 위해 랜드 박스데일 주심이 홈플레이트를 쓸고 있다. /쿠팡플레이 중계화면미국행 이후 4년 만에 친정팀 홈구장에 등장한 김하성(28·샌디에이고 파드리스)은 헬멧을 벗고 양팔 벌려 관중들에게 인사했다. 고척돔은 환호로 가득 찼고 그야말로 낭만 넘치는 순간이 그려졌다. 국내 야구팬들을 뭉클하게 한 이 장면은 사실 주심의 사려 깊은 배려 덕분에 나올 수 있었다.2024 시즌 미 프로야구 메이저리그(MLB) 개막전인 ‘MLB월드투어 서울 시리즈’는 20일 오후 7시 서울 고척 스카이돔에서 열렸다. 사상 처음으로 한국에서 열린MLB개막전이자, ‘몸값 1조원’ 슈퍼스타 오타니 쇼헤이(30·LA다저스)의 이적 후 첫 경기였기에 세계의 관심이 쏟아진 경기였다.무엇보다 국내 야구팬들의 가슴을 뜨겁게 한 건 4년 만에 돌아온 김하성이었다. 2014년 넥센 히어로즈(현 키움 히어로즈)에서 프로 생활을 시작한 그는 5년간 고척돔을 홈구장으로 사용하며 뛰었기 때문이다.MLB진출 후 아시아 내야수 최초로 골드글러브를 거머쥔 김하성의 금의환향이었다.이런 스토리답게 이날 경기 2회 김하성의 첫 타석에는 팬들을 뭉클하게 한 장면이 나왔다. 그의 이름이 전광판에 뜨고 곧이어 타석에 등장하자 팬들은 환호했다. 김하성은 이에 화답하듯 헬멧을 벗고 만세 자세로 인사했다. 그러자 더 큰 함성이 고척돔을 가득 채웠다.김하성이 팬들에게 인사한 후 배려해준 박스데일 주심에게 엄지손가락을 들어보이고 있다. /쿠팡플레이 중계화면팬들을 소름 돋게 한 이 순간 뒤에는, 사실 주심을 맡은 랜드 박스데일 심판위원의 배려가 있었다. 김하성이 피치클록(타격 준비를 위한 시간제한)에 신경 쓰지 않고 충분히 인사할 수 있도록 깨끗한 홈플레이트 위 모래를 직접 털어낸 것이다. 주심이 움직인다는 건 경기 진행이 불가능하다는 의미여서 피치클록도 작동하지 않는다.실제로 타석을 가까이에서 포착한 중계 화면을 보면, 박스데일 주심은 김하성이 나옴과 동시에 마스크를 벗고 타석 주위를 돈다. 이어 허리 숙여 홈플레이트를 쓸어냈고, 그사이 인사를 마친 김하성과 짧은 대화를 나눈다. 김하성은 미소를 띤 채 고마움을 전하는 듯 엄지손가락을 들어올리기도 했다.이를 본 중계진 역시 박스데일 주심의 배려를 알아채고 감탄했다. 해설을 맡은 전 메이저리거 투수 김선우는 “심판과LA다저스 포수 윌 스미스가 얘기해준 것 같다”며 “이게 바로 메이저리그 클래스다”라고 했다. 송재우 해설위원 역시 “홈플레이트 깨끗하다. 근데 시간을 끌어주기 위해 일부러 쓸어내고 있다”고 설명했다.김하성도 경기를 마친 뒤 박스데일 주심에게 고마움을 전했다. 김하성은 “한국에서 경기하는 거라 심판께서 배려해 주신 것”이라며 “덕분에 팬들에게 인사하고 타석에 설 수 있었다”고 했다. 이어 “정말 기분 좋았고 감사했고 색다른 느낌이었다”며 “고척에서 이렇게MLB정식 경기를 한다는 게 기뻤다”고 말했다.한편 이날 경기는 오타니의 쐐기타로 승부를 뒤집은 다저스가 5대 2로 승리했다. 두 팀은 21일 오후 또 한 번 고척에서 2차전을 치른다. 파드리스는 조 머스그로브를, 다저스는 야마모토 요시노부를 선발 투수로 내세운다.-조선일보 국제부가 픽한 글로벌 이슈! 뉴스레터 구독하기 ☞https://page.stibee.com/subscriptions/275739국제퀴즈 풀고 선물도 받으세요! ☞https://www.chosun.com/members-event/?mec=n_quiz"
