date,title,content
2022-06-22,주(駐)부산 체코명예영사관 문 열어,"구스타브 슬라메취카 주한체코대사(왼쪽서 두번째)와 강호찬(왼쪽서 세번째) 체코명예영사 등이 22일 부산 해운대구KNN타워 안 '주부산 체코명예영사관' 개관식을 갖고 있다./부산체코명예영사관주(駐)부산 체코명예영사관이 22일 문을 열었다. 이 영사관은 부산 해운대구 재송동 센텀시티KNN타워 안에 있다.구스타브 슬라메취카 주한체코대사는 이날 개관식에서 “부산 명예영사관은 한국·체코 양국간 경제통상 및 문화교류를 확대하는 지역의 기지가 되길 바란다”고 말했다.체코명예영사인 강호찬(51) 넥센타이어 부회장은 “부산 명예영사관은 양국 간 우호증진과 경제협력, 문화교류에 기여하는 부산·울산·경남 등 지역의 교두보 역할을 할 것”이라고 말했다.강 부회장은 지난해 10월 체코명예영사에 위촉됐다. 강 명예영사는 강병중 넥센타이어 회장의 장남으로 연세대를 나와 대유리젠트증권 사원으로 일하다 넥센타이어로 옮겨 상무, 사장 등을 지냈다. 넥센타이어는 지난 2019년 체코 자테츠시에 유럽 공장을 건설, 타이어 생산과 판매를 해오고 있다."
2024-07-25,[기고] 체코는 시작일 뿐… 세계의 원전 르네상스 시작됐다,"체코전력공사가 테믈린에서 운영 중인 1000㎿(메가와트)급 원전 2기. 한국수력원자력은 지난 17일 두코바니와 테믈린에 신규 원전을 2기씩 추가 건설하는 사업의 우선 협상 대상자로 선정됐다. /한국수력원자력예상대로 한국의 ‘팀코리아 컨소시엄’이, 프랑스EDF사를 제치고, 체코 신규 원전의 우선협상대상자로 선정되었다. 이는 우리 원전 기업들의 우수성을 바탕으로, 국가 정상을 필두로 치밀한 원전 외교가 성공한 결과라고 할 수 있을 것이다. 한국과 체코는 2015년 전략적 동반자 관계를 맺은 이후 다방면에 걸쳐 깊은 협력 관계를 구축하여 왔고, 현대자동차, 넥센타이어 등 체코에 진출한 우리 기업들에 대한 체코 국민들의 평가가 좋으며, 무엇보다 양국 정부 사이 다년간 쌓여진 신뢰가 수주의 바탕이 되었다고 할 것이다. 이번 두코바니 원전 2기 계약이 서명되고, 약 3년후 테믈린 원전 2기 계약이 서명되면, 수주 금액은 총 약 56조원에 이를 것으로 추정된다.2050년 탄소 중립 달성을 목적으로 세계는 원전 르네상스 시대로 돌입하고 있어서 체코 원전 수주 이후 지금은 우리의 글로벌 원전 전략을 구상할 적기로 생각된다. 우리가 세계 원전 시장을 주도하기 위한 유일한 선결 조건은 한미 원전 동맹의 완성이다. 원전 하부 공급망을 잘 갖추고 있지 못한 미 웨스팅하우스사를 기업 결합 형식으로 우리 원전 공급망에 참여토록 하면, 한미 양국 간 원전 동맹이 완성된다. 한미 양국 간 이익 공유와 상호 윈윈이 되는 가운데, 우리 원전 공급망이 글로벌 원전 시장을 주도할 수 있다.현재 세계 원전 강국은 러시아, 중국, 프랑스 그리고 한국이다. 이 중 러시아 원전은 우크라이나 전쟁으로 인한 미국과 유럽의 제재로 인해 어려움에 처해있다. 중국 국영원전공사(CGN)는 원전 기술의 군사적 전용 혐의로 인해, 미국 제재를 받고 있어 글로벌 시장 공략이 힘든 처지이다. 프랑스는 핀란드 오킬루토 원전 3호기 공사에서 13년을 지연한 끝에 거액의 배상금을 냈고 지금도 영국 및 자국 프랑스에서 수년간 공사를 지연 중으로 우리의 팀코리아와 경쟁이 어렵다. 따라서 우리가 미국과의 공조가 완성되면 글로벌 원전 시장을 주도할 준비가 갖추어지는 것이다. 원전은 국가 간 백년 동맹 성격으로, 국가원수를 포함한 치열한 국가 간 수주전이 벌어지는데, 여기에서도 한미 공조가 압도적인 위력을 발휘할 것임은 더 말할 나위가 없을 것이다.당장 체코 이웃 나라 폴란드에서는 한수원이 원전 2기를 논의 중이다. 최근 폴란드 내 정권 교체 이후 사업 지연에 대한 우려가 일부 있는데, 이번 체코 원전 수주로 폴란드 사업에 좋은 영향을 줄 것으로 보인다. 또한 옆 나라 슬로바키아에서Fico(피쵸) 총리 내각이 원전 1기 건설 방침을 최근 확정했는데, 이 원전 건설을 담당할 체코·슬로바키아 합작사가 이미 가동 중으로 체코와 잘 협력하여 슬로바키아 원전 수주를 도모할 일이다. 스웨덴, 네덜란드, 영국, 핀란드, 슬로베니아 등 여러 유럽 국가에서도 원전 타당성 조사 사업이 목하 구상 중이거나 시행 중으로 있다. 이 국가들 원전도 이번 체코에서 높아진 한국 원전의 성가를 바탕으로 수주를 도모할 적기로 보인다.웨스팅하우스사는 불가리아에서 자사가 수주한 원전 2기를 우리 현대건설이 시공하도록 계약을 맺었고, 또한 폴란드 원전 6기, 우크라이나에서 원전 9기를 수의 계약 형식으로 수주했거나 수주 예정이고, 장차 또 다른 국가들에서 동사의 수주가 예상된다. 한미 공조가 완성되면, 이를 우리 원전 공급망이 순차적으로 건설할 수 있을 것이 예상된다. 우리 기업들이 확실히 수익을 거둘 수 있는 원전 시장은 주로 유럽 및 중동 지역이며 이들 지역을 중심으로 우리의 글로벌 원전 전략을 수립해서 시행함이 좋을 것으로 보인다.이번 체코 원전 수주를 출발점으로 해서, 글로벌 원전 시장 전체를 향한 한국의 전략 가동이 시작되었다. 원전은 재생에너지와 함께 탄소 중립 실현과 기후변화 완화를 위한 도구로서, 여사한 우리의 노력은 인류 전체의 복지와 생존에 기여함과 동시에 사업국 모두와 공동 유산을 남기는 것이다. 우리가 글로벌 원전 전략 가동의 선결 조건을 이루고, 한미 공동으로 글로벌 원전 시장을 주도해 나갈 것을 기대한다.문하영 한·체코미래포럼 부의장·前 주체코대사"
2024-07-19,"美·佛에 앞선 기술력… 체코, K원전 만장일치로 선택","원전 강국 모두 꺾었다17일(현지 시각) 체코 내각회의는 만장일치로 한국수력원자력을 신규 원전 우선협상대상자에 선정했다. 페트르 피알라 체코 총리는 이날 회의 후 기자회견에서 “모든 기준에서 한국이 제시한 조건이 우수했다”고 밝혔다.15년 전UAE(아랍에미리트) 바라카 원전 수주 당시엔 경쟁국보다 낮은 건설 단가와 시공 능력이 주요 강점으로 꼽혔지만, 이번 수주전에선 가격뿐 아니라 설계 기술까지 어느 하나 흠을 잡을 수 없는 실력을 갖추게 된 것이다. 1978년 고리 1호기가 상업 운전을 시작한 후발 주자 한국이 1950년대부터 원전을 가동한 원전 1세대 강국 미국과 프랑스를 제치고 유럽에 첫발을 내디뎠다.◇'온 타임 온 버짓’은 기본K원전의 특장점인 ‘온 타임 온 버짓(OnTimeOnBudget)’은 이번 수주전에도 힘을 발휘했다. 18일 세계원자력협회에 따르면, 한국의 원전 건설 단가는kW(킬로와트)당 3571달러로, 중국(4174달러), 미국(5833달러), 러시아(6250달러), 프랑스(7931달러) 등에 비해 최대 55% 가까이 낮은 수준이다. 2009년UAE바라카 원전 수주 당시에도 우리는 경쟁 상대국이었던 프랑스보다 20~30% 낮은 가격과 비교적 짧은 공사 기간을 내세워 우위를 점했는데, 이번 체코 수주전에서는 기술력도 입증하며 양대 원전 강국 미국과 프랑스를 꺾은 것이다.그래픽=송윤혜수주 15년 만인 올해 마지막 4호기까지 상업 운전에 들어가는UAE바라카 원전은 한국형 ‘온 타임 온 버짓’의 대표적인 사례다. 고리 1호기부터 꾸준히 원전을 건설하면서 축적된 역량을 바탕으로, 무조건 정해진 시간 안에 원하는 결과물을 저렴한 가격에 만들어 낸다는 강점이 유럽 시장까지 사로잡은 것이다. 대통령실 비서실장을 지낸 이관섭 전 한수원 사장은 “이제 시공과 설비 제조를 넘어 원자로 설계까지 우리 원전이 독보적인 실력을 쌓게 된 것”이라고 말했다.◇K조선업처럼 ‘맞춤형’ 공략체코는 입찰 과정에서 자국의 여건에 맞춰 1200MW(메가와트)급 이하 원전 건설을 요구했다. 대규모 냉각수를 얻기 어려운 내륙이라는 지리적인 한계와 당시 예측한 전력 수요와 송·배전망 상황을 감안한 조건이었다. 최신형 1400~1600MW급 원전에 주력해온 각국은 ‘체코 맞춤형’ 모델이 필요했다. K원전으로선 기술력을 입증할 좋은 기회였다. 앞서 2016년부터EU(유럽연합) 기준에 맞춰 1000MW급 모델을 개발해오던 우리나라는 5년 만인 2021년 개발을 마치고, 2023년 5000여 가지 항목을 만족시키며EU인증을 받았다. 반면 프랑스는 설계도는 만들었지만, 결국 인증은 받지 못한 채 입찰 서류를 냈다. 미국은 한수원보다 두 세대 뒤떨어진 인증만 받은AP1000 모델로 준비하다 입찰에서 먼저 탈락했다.한 원전 업계 관계자는 “한국 조선업은 선주(船主)의 다양한 요구를 맞춤형 설계·건조로 충족시키며 일본을 따라잡고 세계 시장을 휩쓸었는데, 우리 원전도 향후 폭발적으로 커질 원전 시장에 맞춤형 주문에 대응할 수 있는 역량을 입증한 것”이라고 했다.◇K제조업 경쟁력도 한몫이번 수주전에서 정부는 체코에 원전 건설뿐 아니라 다른 산업 지원책까지 함께 제시하며 K제조업 역량을 총동원했다. 현대차·현대제철·한화첨단소재·넥센타이어 등 체코에 이미 진출한 기업뿐 아니라 앞으로 반도체, 전기차,AI(인공지능) 등으로 ‘산업 지원 패키지’를 확대하며 체코에 경제 협력을 제안한 것이다.안덕근 산업통상자원부 장관은 이날 열린 브리핑에서 “체코에는 한국 기업만 100개 이상 있고, 근로자 1만4000명 이상이 고용돼 있다”며 “대표적인 제조업 국가인 체코와 향후 산업 협력이 강화될 것으로 기대된다”고 말했다.☞온 타임 온 버짓대규모 건설 사업을 정해진 시간과 예산 내에서 마무리하는 것. 한수원을 비롯한 ‘팀코리아’가 2008년UAE바라카 원전 사업을 따내고, 이번에 체코 내각의 만장일치로 신규 원전 우선협상대상자로 선정된 가장 중요한 이유로 꼽힌다. 팀코리아는 이번 수주를 통해 경제성과 시공 능력뿐 아니라, 세계 최고 수준의 설계 능력까지 모두 갖췄다는 평가를 받게 됐다."
2024-06-04,“폭염으로부터 근로자 지킨다”...경남도 민관 ‘폭염방위대’ 가동,"경남도는 4일 오후 폭염 재해 예방을 위해 동아오츠카와 업무협약을 체결하고 ‘경상남도 폭염방위대’를 출범했다. /경남도올해 폭염이 예상되는 가운데 경상남도가 민간기업과 손을 잡고 지역 근로자 온열질환 재해를 예방하는 ‘폭염방위대’를 운영한다고 4일 밝혔다.경남도는 이날 여름철 근로자 온열질환 등 산업재해를 예방하기 위한 폭염방위대 출범식을 가졌다. 경남도와 동아오츠카가 주관 기관으로 나선다. 기능성 음료 제조업체인 동아오츠카는 온열질환 예방 프로그램을 보유한 기업으로 알려져 있다.경남도에 따르면 기상청은 올 여름철 기온이 평년보다 높을 확률을 50%로 전망했다. 강수량은 7·8월에 평년과 비슷하거나 많을 확률이 각각 40%, 6월은 평년과 비슷할 확률이 50%라고 예측했다. 기상청 날씨 전망의 경우 확률이 33.3% 이상이면 발생 가능성이 상대적으로 높다는 의미라고 한다.강순익 경남도 중대재해예방과장은 “올 여름 폭염이 예상되는 가운데 지역 근로자의 산재 예방과 안전문화 캠페인 모범사례를 만들고 확산하기 위해 광역자치단체 처음으로 동아오츠카와 협약을 체결했다”고 설명했다. 폭염방위대에는 고용노동지청, 안전보건공단 경남지역본부, 한국가스공사 부산경남지역본부, 대한적십자사 경남지사 등 6개 기관이 유관기관으로 동참한다.폭염방위대는 경남에 있는CJ대한통운, 컬리 창원클러스터, 삼성중공업 거제조선소, 두산에너빌리티, 넥센타이어 양산·창녕공장, 부산신항만 등 6개 기업을 찾아가 근로자들을 대상으로 온열질환 안전예방교육을 진행하고, 온열질환 자가진단, 수분 체크, 스트레스 검사 등 다양한 폭염 예방 설루션을 제공한다. 6개 유관기관에서는 안전보건 강사 파견, 물품 지원 등을 한다. 폭염방위대 출범식에서 한국가스공사 부산경남지역본부는 취약계층 온열질환 예방에 쓸 1000만원을 대한적십자사 경남지사에 기탁했다.최만림 경남도 행정부지사는 “민관이 함께 손을 맞잡고 도내 근로자가 폭염으로부터 안전한 환경에서 일하고, 폭염에 대한 경각심을 갖고 안전문화가 더 확산될 수 있도록 노력하겠다”며, “앞으로도 관계기관과 협력해 산업재해 예방에 최선을 다하겠다″고 말했다."
2023-04-22,"79조 손실 올들어 만회했다는 국민연금, 무슨 종목 샀길래","전북 전주의 국민연금공단 건물./뉴스1지난해 최악의 수익률을 보였던 국민연금이 올해 1분기 국내외 증시 훈풍에 힘입어 손실을 대부분 만회한 것으로 알려졌다. 국민연금은 지난해 글로벌 금리 인상으로 인한 주식시장 약세 속에 연간 -8.22% 운용 수익을 기록했다. 평가손실액은 79조 6000억원에 달했다.이런 손실을 만회하기 위해 국민연금이 주목한 종목은 무엇이었을까. 22일 금융정보업체 에프앤가이드가 이달 11일 기준으로 국민연금이 5% 이상 대량 지분을 보유한 상장사를 집계한 결과 국민연금은 레저, 항공운수, 해상운수 등 종목에 대한 지분을 늘리며 엔데믹(endemic·감염병의 풍토병화) 대응에 나선 것으로 나타났다.부동산PF위험 노출 우려? 금융주 축소국민연금은 지난해 4분기 들고 있던 종목 289개 종목 중 올해 1분기 85개 종목에 대한 투자를 축소한 것으로 나타났다. 반면 투자를 확대한 종목은 56개, 신규로 5% 이상 대량 보유 종목에 편입한 종목은 18개로 투자 종목 축소 경향성이 더 컸다.지난해 4분기 보유 종목 중 축소 비중이 컸던 분야는 보험, 상업은행, 게임, 식료품, 전기 장비 등이었다. 보험에서는 지난해 4분기 6.1% 지분을 보유하고 있던 메리츠화재가 상장 폐지되면서 제외됐고 삼성화재(8.71%→7.71%), 현대해상(11.62%→11.25%),DB손해보험(10.32%→10.12%), 삼성생명(6.87%→6.86%) 등에 대한 지분을 축소했다. 보험사들은 금리 인상기에 투자하기 좋은 것으로 평가되고, 실제 지난해 실적도 좋았지만 이미 실적 개선에 대한 기대가 반영됐다는 판단 속에 다른 주식과의 매력도를 비교하는 과정에서 비중을 줄인 것이 아니냐는 분석이 나온다.상업은행주 중에서는 은행은 지난 4분기 대량보유종목 9개 중DGB금융(10.05%→8.78%),JB금융(8.21%→7.17%), 우리금융(7.86%→6.84%),BNK금융(9.48%→8.47%)에 대한 지분을 축소했다. 은행주 중에서는 신한지주에 대한 지분만 7.96%에서 8.01%로 확대했다. 한 금융투자업계 관계자는 “특히 지방은행에 대한 비중을 줄인 것이 눈에 띄는데 미국 실리콘밸리은행 파산 사태를 염두에 뒀을 수 있고, 국내에서는 부동산PF노출 문제 등을 고려한 것일 수 있다”고 했다.이 밖에 국민연금이 공개매수에 참여한 것으로 알려진SM엔터테인먼트를 포함해 현대에너지솔루션,KT&G,테이팩스, 나노신소재, 더네이쳐홀딩스, 하이록코리아, 다우기술, 동원시스템즈,SK디앤디, 와이지-원, 대신증권,SK디스커버리, 인텍플러스,CJ프레시웨이, 대주전자재료, 큐리언트, 파크시스템스, 영풍, 천보, 카카오페이 등의 상장사 지분을 5% 미만으로 낮췄다.2023년 1분기 국민연금 5% 이상 지분 보유 신규 편입 종목레저·항공·해운, 코로나 타격 종목 확대투자를 확대한 분야는 코로나 펜데믹 시기 타격이 컸던 레저, 해상운수, 항공운수 등이었다. 외국인 관광객이 늘어나고 해외 여행객도 급증하는 엔데믹 시기에 발맞춘 것으로 볼 수 있다.레저 분야에서는 지난해 주가가 크게 떨어졌던 쏘카와 롯데관광개발이 새롭게 5% 이상 대량 지분 보유 종목이 됐다. 세븐럭 카지노를 운영하는GKL에 대한 지분을 8.94%에서 10.54%로 1.6%포인트 늘렸고 하나투어 지분도 6.52%에서 8.67%로 2.15%포인트 대폭 확대했다.운송량이 늘며 항공과 해운주의 전망도 긍정적으로 내다본 것으로 파악된다. 제주항공의 지분을 6.04%에서 8.11%로 확대했고, 진에어의 지분은 7.31%에서 10.66%로 3% 이상 늘렸다. 한진칼 지분도 5.06%로 늘려 신규 5% 이상 지분 보유 종목에 포함됐다. 해상운수 분야에서는 지난해 4분기 들고 있던 2 종목(대한해운, 팬오션)의 지분을 모두 1% 가량 확대했다.자동차부품과 의료기기에 대한 투자를 확대한 것도 확인됐다. 국민연금은 지난해 4분기 보유하고 있던 13개 자동차부품 종목 중 5개에 대한 투자를 확대했고 1종목만 축소했다. 한국앤컴퍼니(6.01%→6.18%), 현대위아(9.73%→10.05%),HL만도(11.04%→11.4%), 한국단자(11.31%→11.79%), 넥센타이어(6.06%→7.07%) 등이다.의료장비 중에서는 맥아이씨에스가 신규 대량 지분 보유 종목에 올랐고 인터로조(10.93%→11.29%), 덴티움(8.36%→9.96%), 레이(5.32%→7.33%) 등에 대한 투자를 확대했다. 이 중 덴티움, 레이는 임플란트 관련 회사로 이 분야 1위인 오스템임플란트가 상장 폐지되면서 반사이익을 얻을 것으로 기대한 것이 아니냐는 추측이 나온다."
2023-01-22,[부음] 강병중 넥센그룹 회장 부인상,"▲김양자 별세, 강병중(넥센그룹 회장) 부인상, 강호찬(넥센타이어 부회장)·신영·소영(서울디지털대 교수) 모친상, 정은보(전 금융감독원장) 장모상, 정원선(국제변호사) 시모상=22일, 부산 한중프라임장례식장 202호, 발인 27일 오전 7시. 051-513-6731"
2023-01-09,[기고] ‘가치 동맹’ 중부 유럽과 원전·방산 협력 확대해야,"체코, 폴란드, 슬로바키아, 헝가리 이런 나라들은 자신이 동유럽보다는 중부 유럽으로 불리는 것을 좋아한다. 중부 유럽이 유럽의 중심 지역이라는 느낌도 있고, 벨라루스나 러시아를 유럽으로 본다면 지리적으로 더 타당한 듯하다. 이 지역에서 한국은 독일에 이은 제2의 제조업 투자 강국이다. 현대기아차, 삼성, 엘지,SK,한국타이어, 넥센타이어 등과 유관 협력사 수백 기업들이 진출, 수많은 일자리를 창출하고 있으며, 유럽, 중동, 아프리카 시장의 수출 전진 기지 역할을 하고 있다. 한국은 더 이상 동아시아의 작은 나라가 아니다. 중부 유럽 국가들은, 역사적으로 국가가 아예 없어지는 한국보다 더한 고초들을 겪어왔으나, 지금은 우리와 자유민주주의, 인권, 시장경제를 공유하는 가치 동맹국들이다.이 지역에서 최근 원자력발전소 수주 건이 현안이다. 작년 폴란드 원전 진출 합의에 이어 올해 9월에는 체코 원전 최종 입찰을 앞두고 있다. 그간 이 지역은 러시아 원전이 독점하여 가장 유력하였으나, 우크라이나 전쟁을 계기로 러시아가 완전 탈락하고, 국가 안보상 이유로 중국도 배제되어, 프랑스, 한국, 미국 3국 기업 간 경쟁이다. 프랑스는 핀란드, 영국에서 수주한 원전 건설이 납기를 못 지켜 수백억 달러의 손실을 기록함에 따라, 주로 한국 한수원과 미국 웨스팅하우스사 간 경쟁 상황이다.한미 간에는 그간 두 번에 걸친 양국 정상 공동 성명에서 해외 원전 공동 진출 협력에 합의했고 이를 현실로 구체화하는 것이 수주를 위한 올해의 가장 큰 과제가 될 것으로 보인다. 작년 10월 웨스팅하우스사가 지재권과 수출 통제를 이유로 한전과 한수원에 소송을 제기함으로써 기업 간 협력에 적신호가 켜졌다. 그러나 한미 양국 정부 간에는, 이익 공유를 전제로, 원전 협력을 하는 것이 글로벌 경영상 필수적인 과제다. 웨스팅하우스사는 원천 기술은 있지만, 제조·건설 등 하부 구조가 결여되어 있다. 따라서 한미 양국 기업들 간 협력이 불가피하므로 적절한 이익 공유 구조를 만들어 기업들 간 공생 구조가 마련되는 것이 필요하고도 바람직한 것으로 보인다. 개개의 입찰에서 담합은 절대 안 되지만, 전체의 차원에서 글로벌 공동 경영은 가능할 것이다. 참고로 지금 중부 유럽에서는 러시아의 우크라이나 침략 이후 국민들이 공황 상태로 미국에 대한 조야의 심리적인 의존도에 비추어 볼 때, 한미 공조를 이루지 않고서 우리 단독 원전 수주는 별 가망이 없을 것으로 보인다. 우리는 늘 현실을 직시해야 한다.원전은 단순한 경제 사업이 아니며, 정치 경제 안보의 복합 사업으로 우방국 간 백년 동맹을 맺는 성격이다. 특히 중부 유럽에서 한국은 강국이다. 폴란드에서 대규모 방산 수주는 우리의 납기 준수와 장비의 가성비에 기인하지만 아울러 양국이 둘 다 미국의 우방국으로 가치 동맹국임을 기반으로 한다. K팝과 K푸드 등 한류 문화에 대해서도 현지 젊은이들은 열광한다. 한국은 점점 매력적인 국가가 되어가고 있다. 이렇게 중부 유럽에서 원전, 방산 수주가 확대되면 이어서 전기차 생산 현지 공장, 수소 경제 인프라, 전기차 배터리 소재 부품 및 생산 공장, 원전 및 방산 부품 합작 공장 등 우리와의 협력이 끝없이 확대될 것이며 이는 우리뿐 아니라 우리 후손들에게 물려줄 수 있는 멋진 시작이 될 것이다. 새해 한국과 중부 유럽 간 꿈이 현실이 될 것을 기대해본다."
2022-11-30,"매출 상위 기업 270곳 중 40곳, 영업이익으로 이자도 못 갚아","자료=CEO스코어국내 주요 대기업의 올해 3분기 이자비용이 6조원이 넘는 것으로 집계됐다. 이는 작년 3분기와 비교해 40%가량 늘어난 것으로, 기업 10곳 중 9곳꼴로 이자 부담액이 커졌다. 또 영업활동을 통해 벌어들인 이익으로 이자도 내지 못하는 기업 수가 지난해 3분기 35곳에서 올해 3분기에는 40곳으로 늘었다.30일 기업데이터연구소CEO스코어가 국내 매출 상위 500대 기업 중 분기보고서를 제출한 268곳을 대상으로 분기별 이자비용과 이자보상배율 등을 조사한 결과 이들 기업의 3분기 이자비용은 총 6조1540억원으로 작년 동기(4조3321억원) 대비 42.1% 증가했다. 3분기 이자비용이 가장 큰 곳은 한국전력공사(7223억원)였다. 이어 한국가스공사(2399억원), 삼성전자(2165억원), 포스코홀딩스(1716억원), 현대자동차(1489억원),SK하이닉스(1487억원) 등의 순으로, 이자비용에 1000억원 이상을 지출한 기업은 총 13곳이었다.조사 대상 기업 268곳 중 3분기 이자비용이 전년 동기 대비 증가한 기업은 236곳(88.1%)이나 됐다. 이중 이자비용이 가장 많이 증가한 곳은 한전으로, 작년보다 2312억원 늘었다. 포스코홀딩스(831억원),SK하이닉스(827억원), 가스공사(813억원), 삼성전자(795억원), 현대차(708억원), 한화(515억원) 등도 이자비용이 크게 늘었다. 이자비용이 증가한 데 반해 이들 기업의 영업이익은 34조7336억원으로 작년 같은 기간(49조4421억원)보다 29.7% 감소했다. 이에 따라 이들 기업의 올해 3분기 영업이익을 이자비용으로 나눈 이자보상배율은 5.6배로, 전년 동기(11.4배)의 절반 수준에 그쳤다. 이자보상배율이 전년 동기 대비 감소한 기업도 268곳 중 166곳(61.9%)이나 됐다. 이자보상배율은 기업이 부채에 대한 이자를 지급할 수 있는 능력을 판단하는 지표로, 값이 작을수록 이자에 대한 부담이 크고 수치가 1 미만으로 떨어지면 해당 기간 벌어들인 돈으로 이자를 감당하지 못한다는 의미다.이자보상배율이 1 미만인 기업은 작년 3분기 35곳에서 올해 3분기 40곳으로 5곳 늘었다. 특히 작년 3분기 이자보상배율이 1을 넘었던 현대중공업, 한진, 한화시스템,SKC,대한전선, 태영건설, 롯데하이마트, 현대리바트 등은 올해 3분기에는 1 미만을 기록했다. 넥센타이어와 가스공사, 금호타이어,HJ중공업,KCC건설, 한화에너지 등은 작년 3분기에 이어 올해 3분기에도 이자보상배율이 1을 넘지 못했다. 이와 달리 이자비용은 늘었지만 영업이익이 더 큰 폭으로 증가하면서 이자보상배율이 개선된 기업은 77곳으로 집계됐다.LG에너지솔루션은 이자비용 97억원이 늘었지만, 영업이익이 8946억원(흑자전환) 증가하면서 이자보상배율이 16.2배로 크게 올랐다. 이밖에 삼성물산(6.8배→13.8배)과 현대오일뱅크(5.7배→8.8배),GS칼텍스(10.6배→13.7배) 등도 개선됐다."
2022-03-19,"“하나금융, 우크라 사태로 매물 나온 英프리미어리그 첼시 인수전 참가”","잉글랜드 프리미어리그 첼시의 엠블럼. /AFP연합뉴스하나금융그룹이 잉글랜드 프리미어리그(EPL) 첼시 구단 인수전에 뛰어든 것으로 전해졌다.영국 부동산 개발업자 닉 캔디 측은 18일(현지 시각) 하나금융투자 등과 함께 컨소시엄을 꾸려 첼시 인수를 위한 입찰에 참여한다고 밝혔다고 로이터통신이 보도했다.닉 캔디가 꾸린 블루 풋볼 컨소시엄은 로이터에 “하나금융투자와 C&P스포츠가 캔디의 글로벌 투자자 컨소시엄에서 주요한 파트너”라고 했다.C&P스포츠의 카탈리나 김(한국명 김나나) 최고경영자는 “첼시에 대한 입찰을 준비하는 중이다. 놀랍게도 경제 규모에도 불구하고 한국 자본이 프리미어리그 구단에 투자를 한 적이 없었다”며 “이제 변화할 때이고, 우리는 첼시와 새로운 장을 시작할 준비가 돼 있다”고 했다.하나금융은 대한축구협회와 국가대표팀의 메인 스폰서다. 컨소시엄을 이룬 C&P스포츠는 런던과 서울에 기반을 둔 스포츠 컨설팅 회사로, 지난 10년간 토트넘 홋스퍼와 금호타이어, 맨체스터 시티와 넥센타이어, 스페인 아틀레티코 마드리드와 현대차 사이의 거래를 진행했다고 로이터는 설명했다.캔디는 동생과 함께 부동산 개발업체를 운영하며 런던 중심가의 낡은 건물을 사들여 초고가 주택으로 재개발해 재산을 일궜다. 원 하이드 파크를 비롯해 노호 스퀘어, 고든 하우스 등이 대표적인 사업이다. 캔디는 이탈리아 출신으로 첼시에서 선수와 감독 경력이 있는 지안루카 비알리와 자문 계약을 맺고 첼시 인수전 참여를 준비해 왔다.첼시는 러시아 올리가르히(신흥재벌) 구단주인 로만 아브라모비치가 지난 2003년부터 소유해왔다. 아브라모비치는 1억4000만파운드(약 2300억원)에 첼시를 인수해 명문구단으로 만들었다. 하지만 러시아의 우크라이나 침공 이후 영국에서 제재 압박을 받자 구단을 매물로 내놨다.첼시 인수전에는 미국 메이저리그 시카고 컵스 구단주인 톰 리케츠 가문과 헤지펀드 시타델 창업주 켄 그리핀 컨소시엄 금융회사 에이셀 파트너스 컨소시엄 등이 참여한다."
2022-05-06,[부음] 류홍계 별세 외,"▲류홍계별세,이종철前 한국사료협회 기획부장·이종욱서울여대 명예교수·이종준前 태영인더스트리 부장·이종오前 삼성전자 상무 모친상,김승호변호사·박창호前 경남도청 공무원·민경수前 경북도청 공무원 장모상=5일15시5분 서울성모병원, 발인 8일6시30분, (02)2258-5940▲박재관前 국민일보 논설위원 별세,박혜원세브란스병원 재활병원 언어치료사·박정원·박용진한국발명진흥회 책임연구원·박용규부친상=5일7시56분 강남세브란스병원, 발인 7일9시, (02)2019-4002▲심효임별세,김진환·김선이한국항공대 교수·김자향·김선진OTP영어학원 대표·김선미모친상,소재선민주평화통일자문회의 상임위원회 간사·정철욱前 스타벅스코리아 부사장·설동우前 넥센타이어 전무·김태주알버말코리아 대표 장모상,권순옥시모상=4일19시 삼성서울병원, 발인 7일7시30분, (02)3410-6924▲어충조前 현대그룹 종합기획실장 별세,전경희남편상,어정현·어봉환화승인더스트리 재무부문장 부친상,김성우법무법인 율촌 변호사 장인상,박소연시부상=4일23시27분 서울아산병원, 발인 7일6시, (02)3010-2000"
