date,title,content
2024-12-20,암세포 잡는 유도미사일 ‘ADC’… 국내 제약·바이오 업계서 개발 경쟁 치열,"삼성바이오로직스, 전용 생산 시설 연내 완공키로셀트리온, 2029년까지ADC신약 상용화 목표GC녹십자, 이중 항체ADC공동 개발 계약 맺어암세포를 잡는 ‘유도미사일’로 불리는 항체·약물 접합체(ADC)를 둘러싼 국내 제약·바이오 업계의 개발 경쟁이 치열해지고 있다.ADC는 항체에 약물을 붙여 정확히 암세포에만 전달하는 치료 기술이다. 일반 세포에 가해지는 악영향은 줄이고 치료 효과는 극대화할 수 있어, 글로벌 항암제 시장의 핵심으로 떠오르고 있다. 글로벌 시장조사 기관 이벨류에이트에 따르면, 지난해 100억달러(약 14조원) 규모였던ADC시장 규모는 2028년 280억달러로 급성장할 전망이다. 국내 기업들도ADC시장에 합류하기 위해 연구·개발(R&D)에 사활을 걸고 있다.항체는 암세포 표면의 항원을 인식하고 결합해 독성을 없앤다.ADC는 이처럼 길잡이 역할을 하는 항체에 약물(페이로드)을 링커로 연결해 특정 암세포만을 공격하게 된다.ADC의 개념을 적용한 첫 약물은 1970년대 개발됐다. 이후 아스트라제네카와 다이이찌산쿄가 공동 개발한 유방암ADC치료제 ‘엔허투’가 압도적인 효능을 보이면서 세계ADC개발 열풍을 이끌었다.아직 국내에서 개발된ADC치료제는 없지만 국내 제약·바이오 업계에서는 생산 시설과 파이프라인을 구축하고 있다. 삼성바이오로직스는 연내 완공을 목표로ADC전용 생산 시설을 신설하고 있다. 고객사와 계약을 맺어 의약품을 생산하는 위탁 개발 생산(CDMO)이 주력인 만큼, 최대 500L 규모 생산 설비를 구축해ADC수요에 대응하겠다는 것이다. 셀트리온은 지난달 국제 콘퍼런스에서 각각 폐암과 방광암을 타깃으로 하는ADC치료제 2종의 개발 성과를 공개했다. 2029년까지ADC신약을 상용화하겠다는 목표다.동아에스티는 지난해ADC전문 업체 앱티스를 인수했다. 앱티스는 위암 치료제 ‘AT-211′을 개발하고 있다. 지난달GC녹십자는 카나프테라퓨틱스와 이중 항체ADC공동 개발 계약을 체결했다. 리가켐바이오는 지난해 미국 얀센과 2조원 규모의ADC항암제LCB84의 기술 이전 계약을 맺었고, 이달 고형암 치료제LNCB74의 미국 임상 1상 시험 계획(IND) 승인을 받았다."
2024-06-07,"한미약품·GC녹십자, 희소 질환 ‘파브리병’ 신약 개발 손잡은 이유는","‘개발 리스크 낮추기’ 공동 전략국내 매출 상위 5대 제약사 중 2곳인 한미약품과GC녹십자는 유전성 희소 질환인 파브리병을 치료하기 위한 신약을 개발하고 있다. 파브리병은 불필요한 물질을 제거하는 세포 소기관 ‘리소좀’의 효소 이상으로 당지질이 과다 축적돼 사망에 이르는 질환이다. 환자들은 현재 2주마다 한 번씩 병원을 찾아가 정맥 주사를 몇 시간 동안 맞는 치료를 받고 있는데, 두 회사가 공동 개발 중인 신약은 월 1회 피하(皮下) 투여만 하면 된다.한미약품이 특허를 가진 후보물질 ‘LA-GLA’에 대해GC녹십자가 임상, 개발 등을 하는 방식으로 진행한다. 한미약품 관계자는 “개발 중인 신약은 미국 식품의약국(FDA)으로부터 지난달 희소 의약품으로 지정되는 등 수요가 높을 것으로 기대된다”며 “GC녹십자와 함께 글로벌 임상시험계획(IND) 신청도 준비하고 있다”고 했다.국내 제약·바이오 업계에서 신약 공동 연구·개발(R&D)이 대세로 자리매김하고 있다. 지금까지 제약업계에서는 서로의 영업망을 이용해 약품을 공동으로 판매하는 경우가 종종 있었는데, 이제는 R&D 단계부터 손을 잡는 사례가 늘고 있다. 막대한 비용과 시간이 드는 신약 개발의 리스크를 최대한 줄이기 위해서다.그래픽=김하경◇회사 간 강점 결합해 신약 개발국내 제약 기업의 신약 개발 노하우가 쌓인 데다, 회사마다 강점이 달라 공동 연구 개발로 협력할 때 시너지가 더 커졌다는 분석이다. 제약업계 관계자는 “신약 개발은 단독으로 성공하면 막대한 이익을 낼 수 있지만, 그 단계까지 과정이 너무 험난하고 성공률도 낮다”며 “공동 개발을 통해 ‘하이 리스크 하이 리턴(고위험 고수익)’을 ‘로 리스크 미들 리턴(저위험 중간 수익)’으로 바꾸는 셈”이라고 했다.공동 R&D의 대표적 유형이 신약 후보물질 발굴에 강한 회사가 임상과 허가, 제조 등에 강점을 가진 회사와 손잡는 것이다. 대원제약은 일동제약의 신약 R&D 자회사 유노비아와 위식도역류질환 치료제인 ‘P-CAB(칼륨경쟁적 위산분비 억제제)’ 공동 개발과 라이선스 계약을 지난달 29일 체결했다.P-CAB는 위산 분비에 연관된 효소를 차단하는 방식으로 위산 관련 장애를 치료하는데, 속쓰림 증상 등을 개선해 주목받고 있다. 대원제약은 유노비아가 발굴해 보유한P-CAB신약 후보물질의 임상 개발 등을 수행하고, 향후 허가부터 제조·판매 등을 포함한 국내 사업화 권리를 얻게 된다. 백인환 대원제약 대표는 “국내 제약사 사이에서 경쟁이 아닌 협력을 통해 신약 개발의 각 단계를 나누어 공동 개발하는 모범 사례를 만들게 된 것”이라고 했다.동아쏘시오홀딩스의 원료의약품 자회사인 에스티팜은 차백신연구소와 메신저 리보핵산(mRNA) 의약품 공동 개발에 나섰다. 에스티팜은mRNA플랫폼 기술을 토대로 후보물질을 도출하고, 차백신연구소는 후보 물질에 대한 임상 시험 등 모든 개발 과정을 총괄한다. 각자 강점이 있는 영역에서 시너지를 내는 것이다. 차백신연구소는 치료제 상업화 권리를, 에스티팜은 치료제 독점 생산·공급권을 갖게 된다.◇바이오 벤처와 함께AI로 신약 연구제약업체가 바이오 벤처기업과 손잡는 경우도 늘고 있다.GC녹십자는 바이오 벤처인 노벨파마와 유전 질환인 산필리포 증후군 치료제를 개발하고 있고, 유한양행은 인벤티지랩과 올해 1월 비만·당뇨병 치료제를 개발하기로 협의했다. 유망한 바이오텍들의 기반기술과 대형 제약사의 노하우를 합쳐 효율적으로 신약을 개발하겠다는 것이다. 제약업계 관계자는 “대형 제약사들이 과거에는 공동 협력을 꺼리고 단독으로 신약을 개발하는 데 집중했으나, 이제 창업주의 3·4세들이 경영을 맡게 되면서 소모적 경쟁보다는 합리적으로 비용을 줄이고 상업화를 하는 것에 열려 있는 분위기”라고 했다.제약업체들이 인공지능(AI) 신약 개발 플랫폼과 손잡는 경우도 나타나고 있다.JW중외제약은 지난달AI신약 개발 기업 온코크로스와 공동연구 계약을 체결했다.JW중외제약이 개발 중인 항암, 재생의학 분야 신약에 온코크로스의AI신약 개발 플랫폼 ‘랩터AI’를 활용한다는 계획이다. 업계 관계자는 “국산 신약은 1999년 이후 25년간 37종에 불과할 정도로 개발에 속도가 붙지 못했던 것이 사실”이라며 “규모를 가리지 않고 제약·바이오 업체들이 함께 신약 개발에 나서면서 혁신 신약들이 속속 등장할 것이라는 기대가 크다”고 했다."
2023-06-16,"[기업 브리핑] GC녹십자, 인니 적십자와 혈장 공급 협약","GC녹십자가 인도네시아 적십자 및 제약사 트리만과 혈액제제 임가공과 플랜트 사업을 위한 혈장 공급 업무협약을 체결했다고 15일 밝혔다. 이번 협약을 통해 인도네시아 적십자는 안정적인 혈액 공급 체계를 구축하고,GC녹십자는 글로벌 플랜트 건설 및 기술이전 발판을 마련하게 됐다."
2023-04-25,本紙 김경은 기자 ‘녹십자언론상’,"대한의사협회와GC녹십자가 공동 수여하는 제45회GC녹십자언론문화상 수상자로 김경은 조선일보 기자와 서상희 채널A 기자, 김아름 보건신문 기자, 손락훈 메디포뉴스 기자 등 4명이 선정됐다. 의료에 대한 국민의 이해를 높이고 국가 보건 향상에 기여한 공로가 인정됐다. 이 상은 1979년 제정돼 올해까지 191명의 언론인이 수상했다."
2023-04-12,"GC녹십자, 당뇨치료제 2종 출시…”국내 당뇨치료제 강자 될 것”",GC녹십자 당뇨치료제 '네오다파정'/GC녹십자 제공GC녹십자가 당뇨 치료제 ‘네오다파정’과 ‘폴민다파서방정’을 출시했다고 12일 밝혔다.네오다파정은 다파글리플로진 성분의SGLT-2 억제제 계열 당뇨병 치료제다. 다파글리플로진은 신장에서SGLT-2를 억제해 포도당 재흡수를 줄이고 포도당을 소변으로 배출해 혈당을 내리는 효과를 나타낸다. 네오다파정 5밀리그램은 다파글리플로진 저함량 제품으로 제2형 당뇨병 치료 시 용량 조절용으로 활용될 수 있을 것으로 보인다.폴민다파서방정은 다파글리플로진과 메트포르민 성분이 결합된 복합제다. 메트포르민은 간에서 포도당이 생성되는 것을 막고 장의 포도당 흡수를 감소시켜 인슐린에 대한 민감성을 개선해 당뇨병 치료 시 대표적인 1차 선택 약물로 알려져 있다. 메트포르민을 복용해도 혈당 조절이 불충분한 환자에게 다파글리플로진과 메트포르민을 병용할 경우 혈당 강화 효과가 강화되는 것이 입증됐다.GC녹십자 관계자는 “이번 당뇨병 치료제 출시를 시작으로 당뇨 치료제 라인업을 지속적으로 추가해 1조 원 규모로 추산되는 국내 당뇨병 치료제 시장의 강자로 자리매김할 것”이라고 밝혔다.
2024-05-29,20년간 ‘美 FDA 승인’ 총 8종… 올해 폐암 신약도 벽 넘을까,"국내 제약사들 잇단 美시장 도전최근 국내 바이오HLB의 간암 신약 ‘리보세라닙’이 미국 식품의약국(FDA)으로부터 보완 요구서를 받자,FDA승인의 높은 벽을 국내 제약 바이오 업계가 다시 한번 실감했다는 지적이 나왔다. 이런 가운데 올해도 세계 최대 의약품 시장인 미국 진출에 성공할 국내 신약이 나올지 관심이 모인다. 지난해FDA승인을 받은 셀트리온 자가면역질환 치료제 ‘짐펜트라’와GC녹십자의 면역결핍증 치료제 ‘알리글로’가 올해 본격적으로 미국 판매를 시작하고, 오는 8월에는 유한양행의 폐암 신약 ‘렉라자’가FDA승인 여부 결정을 앞두고 있다.셀트리온·GC녹십자 본격 美 진출많은 제약사들이FDA승인에 도전하는 이유는 미국 시장의 규모가 세계 의약품 시장 규모의 절반을 차지할 정도로 크고, 일단 승인을 받으면 다른 국가에 진출할 때에도 유리하기 때문이다. 의약품 시장 조사기관인 아이큐비아에 따르면, 2022년 기준 미국의 의약품 시장 규모는 4290억달러(약 572조원)에 달한다.FDA승인을 계기로 ‘블록버스터(연간 매출 1조원 이상인 의약품)’ 신약이 종종 나오는 배경이다. 이에 비해 국내에서는 아직 블록버스터가 나온 적 없고, 연간 총매출이 1조원 이상인 회사도 10곳이 되지 않는다.까다로운FDA승인 절차를 통과한 국산 신약은 아직 10종에 이르지 못했다. 지난해 승인받은 셀트리온의 짐펜트라와GC녹십자의 알리글로를 포함해FDA승인을 받은 국산 신약은 총 8종이다. 2003년LG화학의 항생제 ‘팩티브’가 국산 의약품 최초로FDA허가를 받은 후 20년 동안 거둔 성과다.그래픽=이진영2010년대 들어 2~3년에 한 번꼴로FDA승인 약품이 나오면서 주기가 점점 짧아지고 있다는 기대가 나온다. 예컨대 2022년 한미약품의 롤론티스가FDA승인을 받은 후 지난해 셀트리온의 짐펜트라,GC녹십자의 알리글로가 뒤를 이어 약 1년 사이에 3종의 신약이 승인을 획득한 것이다. 짐펜트라는 지난 3월 미국에 출시됐고, 알리글로는 오는 7월 본격적으로 판매된다. 권해순 유진투자증권 연구원은 “국내 기업이 개발한 다수의 신약이 올해 상업화 단계에 진입하고, 글로벌 신약도 출시될 것으로 예상된다”며 “연구개발 기술력이 점차 높아지면서 국내 바이오제약 산업도 이제 글로벌 의약품 시장에서 주목받고 있다”고 했다.올해도FDA승인 국산 신약 나올까현재FDA승인 절차를 밟고 있는 국산 신약은 유한양행의 폐암 신약 ‘렉라자’다. 오는 8월 허가 여부가 결정될 예정이지만, 지난 2월FDA로부터 우선심사 승인을 받아 그보다 일찍 승인 결정이 나올 수 있다는 전망이 나온다. 렉라자는 유한양행이 2018년 존슨앤드존슨에 기술 이전한 의약품으로, 미국 출시 후 유통 등은 존슨앤드존슨이 맡게 된다. 렉라자가 승인을 받을 경우 국내 제약사가 후보 물질을 글로벌 빅파마(bigpharma·대형 제약사)에 기술 이전해 제품 출시까지 이어진 첫 사례가 된다. 증권가에서는 렉라자가FDA승인을 받으면 유한양행이 올 한 해에만 마일스톤(단계별 기술료)으로 1800억원을 수령할 것으로 보고 있다.국산 항암제로는 처음으로FDA승인을 기대했던HLB는FDA로부터 보완 요구 서한(CRL)을 받은 이유에 대해 27일 밝혔다. 간암 신약 리보세라닙의 안정성이나 약효 등에는 문제가 없으나 파트너사인 중국 항서제약의 면역항암제 ‘캄렐리주맙’ 공장 설비(Facility)에 대한 지적이 있었다는 것이다.HLB관계자는 “미국 연방 규정집에 따르면 ‘설비’는 위생 시설, 공조 시설 등을 지칭하는 것으로, 보완 사항이 중대한 것은 아닌 것으로 판단된다”고 했다. 회사는 이런 문제를 해결하고 빠른 시일 내에 재허가 신청서를 제출할 예정이라고 밝혔다.한승연NH투자증권 연구원은 “국내 제약사들은 2000년대 약가 인하 이후 본격적인 글로벌 신약 R&D(연구개발)에 들어섰고, 올해부터는 대형 신약들의 미국 출시가 기대된다”며 “작은 내수 시장을 넘어 글로벌 전문 의약품 시장의 75% 이상을 차지하는 미국과 유럽으로의 진출은 선택이 아닌 필수”라고 했다."
2024-03-06,美 뚫은 혈액제제… “첨단기술로 불순물 99.9% 제거”,"GC녹십자 오창 공장 가보니지난달 27일 충북 청주시GC녹십자 오창 공장에서 검사원들이 혈액제제 ‘알리글로’에 불순물이 있는지 검사하고 있다./김효인 기자지난달 27일 충북 청주시GC녹십자 오창 공장에서 실험 가운과 위생망을 착용한 검사원 4명이 어두운 방 안에 마주 앉아 유리병 두 개를 손에 들고 내용물을 들여다보고 있었다. 이들은 유리병을 각각 검은색과 흰색 배경에 번갈아 비춰보며 꼼꼼히 살폈다. 혈액제제(면역글로불린)로는 국내 최초로 미국에 진출하는 ‘알리글로’ 품질을 검사하는 장면이다.GC녹십자 관계자는 “검사원들이 일일이 수작업으로 불순물을 확인하고, 특수 카메라가 한 바이알(병)당 12장의 사진을 찍어 최종적으로 이물질 분석을 한다”고 설명했다.GC녹십자가 혈액제제 알리글로를 하반기 미국 시장에 공급하기 위해 박차를 가하고 있다. 지난해 12월 미 식품의약국(FDA)의 품목 허가를 획득하고 지금은 현지 약국과 보험사 등과 판매 방식을 협의 중이다. 혈액제제는 사람의 혈장에 포함된 다양한 단백질을 성분별로 분리·정제해 만드는 의약품이다. 혈장을 원료로 하는 만큼 감염과 바이러스에 취약해 제조 공정이 중요하다. 박형준GC녹십자 오창 공장장은 “정제 기술로 불순물 혈액응고 인자를 99.9% 제거할 수 있다”고 했다.이처럼 국내 제약사들의 미국 시장 진출이 올해도 이어진다.GC녹십자의 ‘알리글로’와 셀트리온의 ‘짐펜트라’가 올해 본격적으로 미국 판매를 시작하고, 삼성바이오에피스의 ‘하드리마’,SK바이오팜의 ‘세노바메이트’도 미국 매출을 확대한다는 계획이다. 세계 최대 제약·바이오 시장인 미국에 진입하기 위해선 까다로운FDA인허가뿐 아니라 복잡한 미국 사보험 시장과의 계약, 현지 영업과 마케팅 등 넘어야 할 산이 많다.GC녹십자는 7월 알리글로를 미국 주요 보험사 처방집에 등재하고, 현지 시장에 정식 출시한다. 기존 제품들과 차별화를 위해 면역글로불린 유통 채널의 약 50%를 점유하고 있는 ‘전문약국(SP)’을 주로 공략할 계획이다. 이우진GC녹십자 글로벌 사업본부장은 “알리글로는 면역글로불린 정제 공정에 독자적인 기술을 도입해 제품의 안전성을 극대화한 제품”이라며 품질 경쟁력을 강조했다.셀트리온은 자가면역질환 치료제 ‘짐펜트라’(램시마SC의 미국 제품명)의 미국 초도 물량을 최근 선적했다고 밝혔다. 미국 시장 공략을 위해 미국 법인을 중심으로 직판 마케팅망을 구축하고 있다. 셀트리온은 이달 초까지 3회에 걸쳐 짐펜트라 초도 물량을 출하할 예정이다. 삼성바이오에피스는 지난해 하반기 미국 시장에 진출한 자가면역 치료제 ‘하드리마’의 판매 확대에 나선다.SK바이오팜은 뇌전증 치료제인 ‘세노바메이트’의 올해 미국 판매 목표액이 4160억원이라고 최근 미국 현지 행사에서 밝혔다."
2023-06-16,"[기고] “대한민국 유일 백신특구 ‘전남 화순’, 세계 백신 중심기지로”","글로벌 바이오 캠퍼스 최적지박창환 전남도 정무부지사박창환 전남도 정무부지사./전남도광주광역시와 인접한 전남 화순군은 면적(787㎢)이 전남 22개 시·군 중 네 번째로 넓다. 전남에서 땅 크기 순위가 4위인데도 서울(605㎢) 넓이를 크게 앞지른다. 지역의 73%가 산으로 둘러싸여 ‘호남의 알프스’로 불린다. 호남의 명산 ‘무등산’은 화순과 담양, 광주에 걸쳐 있다. 예부터 온화하고 순한 사람이 사는 고장이라 ‘화순(和順)’이라 했다. 온순한 탓인가, 광주와 가까운 지리적 장점을 살리지 못하고 이렇다 할 산업 기반이 없었다. 발전이 더뎌 ‘광주 옆 변방’이라는 오명을 안고 기나긴 세월이 흘렀다. 거대한 무등산이 드리운 그늘에 갇힌 듯했다.변두리를 맴돌던 화순이 최근 재조명되기 시작했다. 전 세계를 바이러스 공포에 떨게 했던 코로나 사태가 역설적이게도 광명을 비추고 있기 때문이다. 대한민국 229개 시·군·구 중 ‘백신 특구’를 품은 곳은 화순뿐이다.독감 백신 원료가 되는 유정란 수십만개가GC녹십자 화순공장으로 운반된다. 대지면적 10만㎡, 연면적 3만7000㎡의 화순 백신 공장은 국내 독감 백신 시장 점유율 1위를 달리는GC녹십자의 대표 백신 생산 공장이다. 인구 6만2000여 명에 불과한 화순이 ‘K백신’ 고장으로 불리는 이유다.GC녹십자 화순공장은 2009년 국내 최초로 세계적으로 유행했던 신종인플루엔자 백신을 자체개발하고 보급하는 등 국내 백신을 선도하는 기업이다.GC녹십자 화순공장을 가동해 독감 백신뿐 아니라 수두 백신, 유행성출혈열 백신, 파상풍/디프테리아 백신 등 여러 백신을 연간 수천만 도즈(성인 1회 접종량) 넘게 생산한다.백신 생산 전 단계 인프라를 갖춘 곳은 전국에서 화순이 유일하다. 화순전남대병원을 중심으로 한 백신산업특구에서 백신의 기초연구부터 임상시험, 제품화까지 백신 개발의 전 단계가 일사불란하게 이뤄진다. 정부는 2010년 화순읍 내평리 일대 94만1731㎡를 백신산업특구로 지정했다. 2012~2015년 4년 연속 우수 특구, 2018년 최우수 특구로 선정됐다. 2022년에도 우수 특구로서 국무총리상을 수상했다.앞서 여러 백신 생산 인프라 구축이 선행돼 가능한 일이었다. 전남도는 2007년 화순에 생물의약연구센터를 세웠다. 전남도는 대도시와 가깝고 교통이 편리한 화순을 전략적으로 백신 생산 중심지로 키웠다. 2004년 4월 국내 5대 암 전문종합병원인 화순전남대병원이 화순읍에서 개원했다. 병상 705개를 갖춘 이 병원의 연간 환자는 76만명이다. 한해 1만여건의 수술이 이뤄진다. 다양한 임상데이터를 바탕으로 백신 개발을 위한 임상시험이 가능하다. 전국 지방종합병원 중 암 임상·치료 건수가 가장 많다. 전남도는 2006년 화순생물의약산업단지(75만4578㎡) 조성에 착수했고,GC녹십자가 3년 뒤 백신 공장을 만들었다.이달 말에는 국가 면역치료 혁신센터가 화순 전남대병원에 완공될 예정이다. 면역 치료와 백신 등을 연구하는 ‘국가 면역치료 플랫폼’이다. 면역 치료는 사람의 면역세포를 활용해서 암과 치매 등 난치병을 연구하는 방법이다. 사람이 가진 자체 면역을 활용한다는 점에서 ‘꿈의 백신’으로 불린다. 면역 치료제는 세계 암 치료 시장에서 2024년 165조 원대 규모로 크게 불어난다. 면역치료 기술 선점을 놓고 미국과 일본, 중국 등이 치열한 경쟁을 벌인다. 세계 시장에 도전장을 내민 우리나라 면역치료 연구 본산이 바로 화순이다.정부는 2025년부터 매년 2000여 명의 국내외 바이오 교육생을 양성하는 ‘글로벌 바이오 캠퍼스’를 만들 계획이다. 세계보건기구(WHO)는 세계 중·저소득국의 바이오 생산 공정 인력을 양성하고, 전 세계 백신 불평등 문제를 해결하려고 팔을 걷어붙였다. 글로벌 백신 허브를 조성하는 게 골자다. 나라마다 백신을 집중적으로 개발하는 글로벌 바이오 캠퍼스를 둔다.WHO는 한국을 글로벌 허브로 선정했다. 이에 따라 복지부는 여러 지자체를 물색하며 바이오 캠퍼스 조성 공모에 나섰다.백신으로 특화한 전남 화순군이 출사표를 던진 것은 당연한 일이다. 화순의 백신이 전 세계에 광명을 비추길 기대한다."
2024-07-23,"‘백신입찰 담합’ 무더기 벌금형 선고받은 제약‧유통사들, 2심선 전원 무죄","국가예방접종사업(NIP) 입찰 과정에서 가격을 담합한 혐의로 재판에 넘겨져 1심에서 유죄를 선고받았던 제약·유통업체 및 임직원들이 2심에선 모두 무죄 판결을 받았다.서울고법. /조선일보DB서울고법 형사3부(재판장 이창형)는 23일 독점 규제 및 공정거래에 관한 법률 위반 등 혐의로 기소된 녹십자 등 6개 업체와 각사 임원 총 7명에게 원심 판결을 파기하고 무죄를 선고했다.앞서 1심은 녹십자와 글락소스미스클라인(GSK)에 각 7000만원, 보령바이오파마와 유한양행에 각 5000만원,SK디스커버리와 광동제약에 각 3000만원의 벌금을 선고했다. 임원 7명에겐 300만~500만원의 벌금을 선고했다.이 사건은 녹십자‧GSK‧보령바이오파마‧유한양행‧SK디스커버리‧광동제약 6개사와 임원 7명이 정부가 발주한 자궁경부암 백신 등의 입찰에 참여하면서 이른바 ‘들러리 업체’를 세우는 수법으로 담합해 폭리를 취했다는 것이 골자였다.재판부는 “애초에NIP입찰에서 공정한 자유경쟁을 통한 가격 형성이 전제됐다고 보기 어렵고, 피고인들에게 경쟁을 제한하거나 낙찰가에 영향을 미쳐 공정성을 해칠 고의가 있었음이 증명되지 않았다”고 판단했다.또 “질병관리본부 담당자들도 촉박한NIP사업 일정을 맞추기 위해 공동 판매사 측에 빠른 낙찰을 압박했고, 들러리 업체를 세워서라도 입찰을 마무리하라는 의사를 가감 없이 표시했다”며 “공동 판매사들은 이런 배경 아래 낙찰을 통한NIP사업의 원활한 수행을 위해 이 사건 공동행위에 이르렀다”고 설명했다."
2024-03-27,"법원 “'옵티머스 사태', 증권사, 은행, 예결원 함께 배상해야”","NH투자증권 규탄하는 옵티머스 펀드 피해자들/뉴시스‘옵티머스 펀드 사기’ 사건에서 최대 판매사였던NH투자증권과 수탁사인 하나은행·사무관리사인 예탁결제원이 함께 책임을 지고 배상해야 한다는 법원 판결이 나왔다.27일 법조계에 따르면, 서울중앙지방법원 민사22부(재판장 최욱진)는 지난 1월 26일 옵티머스 펀드에 투자한 녹십자웰빙이NH투자증권, 하나은행, 예결원 등을 상대로 낸 부당이득금 청구 소송에서 “피고들은 공동으로 약 11억원과 지연 손해금을 배상하라”고 판결했다.NH투자증권은 2019~2020년 옵티머스 펀드를 4000억원대 규모로 가장 많이 판매한 금융사다. 옵티머스 펀드가 사기로 드러난 뒤NH투자증권은 개인 투자자들에게는 원금 전액을 반환했지만, 법인 등 전문 투자자들과는 소송 중이다. 법원은 전문 투자자들이NH투자증권을 상대로 낸 소송에서 투자 원금을 돌려줘야 한다는 판결을 내리고 있다.그런데 녹십자웰빙은 판매사인NH투자증권 뿐만 아니라 하나은행과 예결원을 상대로도 배상하라며 소송을 냈다. 하나은행에 대해서는 “옵티머스의 불법적 운용이나 펀드 부실을 알 수 있었는데도 수탁 업무를 수행한 책임이 있다”고 했고, 예결원에는 “옵티머스의 부탁을 받고 허위의 자산명세서를 작성해 펀드의 불법 운용을 방조했다”고 했다. 하나은행과 예결원은 “옵티머스의 불법 행위를 몰랐다” “의무 위반이 없다”며 반박했다.재판부는 하지만NH투자증권과 하나은행‧예결원의 배상 책임을 함께 인정했다. 재판부는 “이 사건이 단순 투자금 사기 사건에서 끝나지 않고 대규모 금융 사건으로 번진 데는 자본시장법이 각각 역할을 부여한NH투자증권, 하나은행, 예결원의 주의 의무 위반이 상호작용을 일으킨 탓이 크다”고 밝혔다.재판부는 이어 “피고들은 투자자 보호 의무를 부담해야 하는 금융기관이나 공공기관”이라며 “책임 분담을 고려하는 데 참작돼야 한다”고 했다. 다만 옵티머스 펀드 상품의 높은 위험성 등을 고려해, 녹십자웰빙이 청구한 24억여원 중 절반 수준인 11억원만 인정했다.이번 판결이 확정되면 향후 투자자들에 대한 배상 책임을NH투자증권과 다른 금융기관들이 나누게 될 수 있다.NH투자증권은 옵티머스 사건과 관련해 2021년 하나은행과 예결원, 예금보험공사(옵티머스 파산관재인) 등을 상대로 손해배상 소송을 진행 중이다."
