date,title,content
2024-12-03,컵라면 전성시대… 年 10억개 팔린다,"10년 새 매출 2배로 늘어그래픽=박상훈컵라면 매출이 가파르게 늘고 있다. 작년 국내 매출이 처음으로 1조원을 넘겼고 올해는 1조386억원을 올릴 것으로 전망된다. 연간 10억개가 팔린 셈이다. 10분 안에 1000원 안팎으로 한 끼를 해결해 주는 컵라면은 경기 불황일 때 잘 팔리는 대표 식품이다. 업계에선 “값이 싸고 간편해 1997년 외환 위기, 2008년 리먼 사태를 비롯해 경기가 안 좋을 때마다 매출이 오르는 경향을 보인다”고 한다.아직 국내에서 봉지 라면과 컵라면 판매 비율은 7대3 정도다. 하지만 1인 가구 증가에 불황까지 겹쳐 컵라면이 봉지 라면보다 성장세가 훨씬 가파르다. 이런 소비자들을 겨냥해 식품 업계는 봉지 라면으로 팔던 제품을 컵라면으로도 내놓고, 800원짜리 초저가형 컵라면, 양을 8배 늘린 컵라면까지 내놓고 있다.그래픽=박상훈1년에 10억개 팔리는 컵라면내수 부진으로 식품 업계 대부분이 고전하지만, 컵라면 매출은 최근 10년 사이 약 2배로 늘었다. 시장조사 기관 유로모니터에 따르면, 2014년 6741억원이던 컵라면 매출은 올해 1조386억원까지 올라섰다. 성장 속도만 보면 이미 한계점에 다다른 봉지 라면보다 컵라면이 빠르다. 봉지 라면 판매량은 전년 대비 2022년엔 10.4%, 작년에는 4% 늘었지만, 컵라면은 2022년 15.7%, 작년 7.4% 증가했다. 컵라면 시장에서 점유율 1위를 차지하는 농심 제품들도 최근 매출이 크게 늘었다. 2020년부터 작년까지 연평균 성장률을 보면 김치사발면이 12.6%, 육개장사발면은 9.1%, 신라면 용기면은 5.9%를 기록했다.컵라면 시장이 확대되자 라면 업체들은 잇따라 봉지 라면 제품을 컵라면으로도 내놓고 있다. 농심은 주력 상품인 신라면블랙, 짜파게티 더블랙을 전자레인지에서도 익힐 수 있는 용기 면으로 만든 ‘신라면블랙사발’ ‘짜파게티 더블랙 사발면’을 내놨다. 마라 맛과 매운맛 컵라면도 잇따라 시장에 등장했다. 올해 오뚜기는 편의점 세븐일레븐과 협업해 ‘대파열라면’을 내놨고, 팔도는 종전 왕뚜껑에 마라 맛을 합친 ‘마라맛 킹뚜껑’,삼양식품은 ‘간짬뽕 엑스 컵라면’을 출시했다.편의점 “컵라면 소비자를 잡아라”소비자가 갑자기 늘어난 것도 아닌데 컵라면 매출이 왜 늘었을까. 업계에선 컵라면이 대표적 불황 식품이라는 점을 주목한다. 외식 물가가 치솟고 소비 심리가 위축된 상황에서 빠르고 싸게 한 끼를 해결할 수 있는 컵라면이 인기를 끌고 있다는 것이다. 라면 업체 관계자는 “인건비, 원재료 인상으로 김밥 한 줄에 5000원, 분식집 라면 한 그릇에 4500원이 일반화해 컵라면만큼 가격 대비 만족도가 뛰어난 게 없다고 생각하는 사람이 많아졌다고 본다”고 말했다.실제 컵라면은 봉지 라면보다 저렴하다. 대형 마트 기준으로 컵라면 대부분이 개당 1000원이 넘지 않는다. 농심 육개장 사발면은 하나에 780원, 오뚜기 진라면 컵은 747원, 팔도 김치도시락 컵면은 870원 수준이다. 라면 업계 관계자는 “가격만 따질 경우 봉지 라면보다 컵라면이 훨씬 저렴하다”고 말했다.소비자들의 수요를 파악하고 발 빠르게 대응하는 편의점 업계도 ‘컵라면족’ 잡기에 힘을 쏟고 있다. 컵라면을 조리할 수 있는 뜨거운 물과 바로 먹을 수 있는 테이블 등을 놓는 편의점은PB(자체 브랜드) 컵라면도 확대하고 있다.GS25는 팔도점보도시락, 공간춘, 오모리점보도시락 등 특대형 시리즈 라면을 들여놨다. 일반 컵라면보다 8배 이상 크게 만든 대용량PB컵라면이다.CU는 올해 초 880원짜리 초저가 육개장컵라면을 선보였다.실제 편의점GS25에서 올해 9월까지 판 라면 가운데 컵라면 비율은 80%나 됐다. 올해GS25의 컵라면 매출은 작년과 비교해 19.6% 늘어났다. 세븐일레븐의 올해 컵라면 매출도 작년보다 15% 늘었다.GS25 관계자는 “컵라면을 찾는 소비자가 늘면서 컵라면을 살 때 삼각김밥이나 도시락을 할인해 주거나, 탄산음료를 주는 묶음 구성도 늘리고 있다”고 말했다.유튜브, 틱톡 등에서는 한국의 컵라면을 소개하거나 맛있게 먹는 법을 담은 콘텐츠 조회가 많게는 수백만 회를 기록하기도 한다. 라면을 흔히 컵라면과 동일시하는 미국 등에서도 한국 컵라면의 인기가 높아지고 있다고 한다. 농심은 지난달 미국LA제2 공장에 1억6000만개를 생산할 수 있는 용기 면(컵라면) 라인을 증설해 가동 중이다. 농심이 미국 법인에서 연간 생산 가능한 컵라면은 6억6000만개로 늘었다. 농심 관계자는 “미국인들에게 익숙한 건 봉지 라면보다 컵라면”이라며 “한국 라면의 인기가 높아지면서 컵라면 라인 증설을 결정했다”고 말했다."
2024-11-14,"농심, 3분기 영업 이익 32.5%↓... 국내·중국에서 부진","농심이 해외 사업 성장에도 불구하고 국내와 중국 시장에서의 침체로 인해 영업 이익은 크게 감소한 것으로 나타났다.14일 농심은 올해 3분기 연결 기준 영업 이익을 전년 동기 대비 32.5% 감소한 376억 원으로 공시했다. 매출액은 0.6% 감소한 8504억 원으로 집계됐다.지난달 8일 농심이 서울 중구 명동 코리아마트 2층에 선보인'K라면 슈퍼마켓'의 모습. /뉴시스매출에는 해외 사업의 기여가 컸다. 국내 수출(33.5%)을 중심으로 미국(1.4%), 일본(20.3%), 호주(15.4%), 베트남(20.4%)에서 고른 성장세를 보였다. 농심 측은 “국가별 식문화를 고려해 신브랜드 라인업을 확대하고 거래선 정비로 직거래 비중을 늘려 보다 적극적인 마케팅을 진행한 효과”라고 분석했다.반면 국내 내수와 중국 시장에선 어려웠다. 국내에선 경기 둔화로 시장 규모가 축소되며 스낵과 음료 부문 매출이 각각 6.6%, 13.8% 감소했다. 중국에선 현지 소비 침체와 온라인 채널 부진으로 매출이 21% 줄었다.3분기 영업이익은 내수 시장 침체에 대응한 판촉비 증가와 해상 운임을 포함한 수출 비용 등 경영 비용 상승으로 전년 대비 감소했다.농심 관계자는 “국내에서 큰 반응을 얻은 신라면 툼바를 4분기 글로벌 시장에 본격적으로 출시할 예정”이라며 “10월부터 가동을 시작한 미국법인의 용기면 라인 증설 효과를 통해 매출 및 이익이 개선될 수 있도록 할 것”이라고 밝혔다."
2024-08-31,"농심, 수출 전용 라면 공장 부산 녹산공단에 짓는다","농심이 수출 전용 라면 공장을 짓기로 했다. 급증하는 해외 라면 수요에 대응하기 위해 수출용 라면만 생산하는 공장을 따로 만드는 것이다. 신규 공장이 설립되면 농심이 국내에서 생산하는 수출용 라면은 기존 연간 5억개에서 10억개로 늘어날 전망이다.30일 농심에 따르면, 이날 이사회에서 수출 전용 공장 부지로 부산 녹산공단을 확정했다. 기존 건면을 만들던 녹산공장 인근 부지에 1만7000㎡(약 5100평) 규모로 설립된다. 내년 공사를 시작해 2026년 상반기 완공이 목표다. 현재 농심은 북미와 중국에 따로 현지 공장을 보유하고 있다. 이번에 추진하는 신규 공장은 동남아와 유럽에 수출할 라면 생산용이다. 농심 관계자는 “이 지역들은 여러 국가로 돼 있는 만큼, 일일이 해외 법인을 세우고 부지를 확보해 공장을 짓는 것보다 국내에 수출 전용 공장을 만드는 게 더 효율적이라고 판단했다”고 했다.이를 위해 이사회는 교환사채 발행 방식으로 1400억원의 자금을 조달하는 안도 이날 함께 의결했다. 농심이 국내에 라면 공장을 신설하는 것은 17년 만으로, 수출 전용 공장은 이번이 처음이다. 농심은 대표 제품 ‘신라면’의 해외 매출이 지난 2021년부터 국내 매출을 앞서고 있다. 2022년 해외 매출은 6200억원, 지난해는 7100억원을 기록했다."
2024-08-30,"농심, 동남아·유럽 수출 전용공장 짓는다…2026년 부산 녹산공단에 완공","지난 4일 농심이 2024 파리올림픽을 맞아 프랑스 파리 까르푸 매장에서 신라면을 테마로 팝업스토어를 운영하고 있는 모습. /올림픽사진공동취재단농심이 동남아와 유럽 지역 수출을 전용으로 하는 생산 공장을 새로 짓는다. 신규 공장의 위치는 부산 녹산공업단지로 낙점됐다. 이로써 농심은 수출 전용 라면 생산량을 5억개에서 10억개로 2배가량 늘릴 수 있게 됐다.30일 농심에 따르면, 이날 이사회에서 새로운 수출 전용 공장 부지로 부산 녹산공단을 확정했다. 신규 공장은 기존 건면을 생산해오던 녹산공장 인근 부지에 1만7000㎡(5100평) 규모로 설립된다. 내년 상반기 공사를 시작해 2026년 상반기 완공이 목표다.농심이 국내에 라면 공장을 신설하는 것은 17년 만이다. 수출 전용 공장을 만드는 건 이번이 처음이다. 이를 위해 이사회는 교환사채 발행 방식으로 1400억원의 자금을 조달하는 안도 함께 의결했다.당초 농심은 미국 현지에서 가동 중인 2개의 공장 외에 추가로 1곳을 더 건설하려 했지만 해당 계획은 보류됐다. 이탓에 해외 공장 대신 국내에 수출 전용공장을 짓는 것으로 선회한 것이 아니냐는 지적도 나왔다. 농심 관계자는 “신규 공장에서 생산하는 라면은 해외 법인이나 공장이 없는 동남아, 유럽 지역 위주 수출용이기 때문에, 보류된 미국 공장 설립과 이번 신규 공장 설립과 연결 짓기는 무리”라고 설명했다.해외에서 늘어난 라면의 인기에 힘입어 농심도 수출에 주력해오고 있다. 대표 제품 ‘신라면’의 해외 매출이 지난 2021년부터 국내 매출을 앞섰다. 2022년 해외 매출은 6200억원, 지난해는 7100억원을 기록했다.농심은 녹산 수출공장에 3개의 초고속·최첨단 생산라인을 우선 설치하고 증가하는 수요에 빠르게 대처할 수 있도록 8개 라인까지 늘릴 수 있도록 설계했다.녹산 수출공장이 완공되면 연간 라면 해외시장 공급 능력은 27억개로 늘어난다. 이는 국내에서 생산하는 수출용 물량뿐 아니라 미국법인(약 10억개)과 중국법인(약 7억개)에서 생산하는 라면을 합친 수치다.농심은 평택 포승이나 부산 녹산 공장의 부지에 라면 수출전용공장을 세우는 것을 검토하다 부산 녹산으로 부지를 정했다. 농심 관계자는 “기존 공장과 거리가 가까워 생산 인프라를 공유할 수 있는 데다, 부산항과도 가까워 수출에 드는 물류 비용 절감 효과를 누릴 수 있기 때문에 녹산공단에 짓기로 한 것”이라고 했다.농심은 수출전용공장의 생산력을 기반으로 내년 초 판매법인 설립을 검토 중인 유럽시장을 확대하고 성장 잠재력이 있는 남아메리카, 아프리카, 오세아니아 시장 진출도 준비에 나선다.농심 수출전용공장은 인공지능(AI) 딥러닝 기술을 적용한 품질검사 시스템과 빅데이터를 활용해 고장과 사고를 예측해 대응하는 시스템을 갖춘다."
2024-07-09,"농심, 사내 벤처 통해 신사업 나선다… 반려견 영양제·꿀꽈배기 막걸리 출시","농심이 사내 벤처 팀에서 개발한 반려견 영양제 3종과 막걸리를 정식 출시하기로 했다. 이 제품들은 모두 농심의 사내 벤처 프로그램 ‘N-Start’(이하 엔스타트) 4기에서 개발한 제품이다. 엔스타트는 농심 직원들이 신사업을 직접 제안해 추진할 수 있는 프로그램으로, 올해는 총 6명의 직원이 선정됐다.농심이 지난 8일 '반려다움' 브랜드로 출시한 반려견 영양제 3종. /농심반려견 영양제는 지난 8일 ‘반려다움’이라는 브랜드로 ‘반려다움 조인트 서포트’,‘반려다움 클리어 아이즈’,‘반려다움 프로바이오틱스’의 제품 3종이 출시됐다. 각각 반려견의 관절, 눈, 장 건강에 도움을 주는 제품이다. 네이버 스마트스토어에서 구매할 수 있고, 하반기 중으로 고양이 대상 영양제도 출시할 계획이다.한편 전통주 추진팀은 막걸리 양조장 ‘조은술세종’과 협업해 개발한 막걸리 ‘꿀꽈배기맛주’를 10일CU편의점을 통해 출시한다. 국산 쌀과 꿀을 활용해 스테디셀러 과자 꿀꽈배기의 맛을 느낄 수 있는 막걸리로, 동반성장위원회가 주관하는 ‘상생컨소시엄 기획사업’에서도 최종평가 1등을 받은 제품이다. 농심은 전통주 활성화를 위해 꿀꽈배기의IP(지적재산권)를 공유하기로 했다. 농심 관계자는 “전통주 추진팀은 사회공헌 및 새로운 도전에 대한 직원들의 열정과 아이디어가 돋보여 사내 벤처 아이템으로 선정했다”고 했다.농심이 10일 편의점CU를 통해 출시하는 막걸리 '꿀꽈배기주'./농심한편 2018년부터 시작된 엔스타트는 올해까지 총 7개 팀이 선정돼 신사업에 도전하고 있다. 이 중 스마트팜, 건강기능식품, 자사몰의 3개 팀은 사업성을 인정받아 사내 정식 부서로 편성돼서 사업을 이어가고 있다. 스마트팜은 2022년 말부터 오만,UAE,사우디 등 중동 지역 중심으로 수출에 나섰고, 건기식 제품은 2020년 출시한 ‘라이필’ 브랜드를 중심으로 지난 5월까지 매출 1000억원 달성하며 시장에 안착했다는 평가다. 농심의 인터넷 쇼핑몰 ‘농심몰’은 패키지 꾸미기 서비스 ‘농꾸’를 중심으로 다양한 기획 상품을 선보이고 있다."
2024-05-25,프랑스 상륙한 농심 ‘너구리’,"/뉴스124일(현지 시각) 프랑스 파리 포르트 드 베르사유 전시관에서 열린 ‘코리아 엑스포 2024′ 박람회에서 농심의 ‘너구리’ 라면 캐릭터가 농심 라면 제품을 홍보하고 있는 모습. 농심은 오는 6월부터 프랑스 주요 유통업체인 ‘카르푸’,‘르클레르’ 등 250개 점포에서 다양한 라면과 스낵 제품을 판매할 예정이다."
2024-02-07,"[기업 브리핑] 농심, 백혈병소아암협회에 후원금 1억 외","농심, 백혈병소아암협회에 후원금 1억농심은 지난 5일 한국백혈병소아암협회에 후원금 1억원을 전달했다고 밝혔다. 기부금은 소아암 환아 그림 공모전, 환아의 생일과 골수이식 기념일 선물 제공 등 후원 사업에 사용할 예정이다. 농심은 또 면역력이 약한 환아들의 가정에 1억원 상당의 ‘백산수(생수)’를 제공한다. 농심은 2018년부터 임직원 단체 헌혈증 기부 등 백혈병 소아암 환아 돕기에 나서고 있다.우아한형제들, 대금 280억 설 전 조기 지급배달의민족을 운영하는 우아한형제들은 9~12일 설 명절을 앞두고 입점 소상공인을 위해 280억원 규모의 정산 대금을 조기 지급할 예정이라고 6일 밝혔다. 배달의민족과 배민1, 포장 주문 등에 입점한 업주들은 이번 조기 지급을 통해 기존 정산 예정일보다 최대 5일 앞당겨 대금을 받을 수 있다. 라이더 대상 정산 대금도 설 연휴 전 조기 지급한다."
2024-01-19,"농심, ‘사나이 울리는 신라면’에서 ‘인생을 울리는 신라면’으로 광고 카피 변경","1998년, 2003년 농심 신라면 광고 /농심농심이 38년 만에 신라면의 광고 카피를 변경한다. ‘사나이 울리는 신라면’이 ‘인생을 울리는 신라면’으로 새롭게 태어난다.농심은 오는 20일부터 새로운TV광고를 통해 변경된 카피를 선보일 예정이다. 이 광고 카피는 1986년 신라면 출시와 함께 등장했다. 신춘호 농심 창업자가 자신의 성을 따 ‘신라면’이라는 제품 이름을 짓고, 카피를 직접 만든 것으로 유명하다.새 광고는 가족·친구·동료와 함께하는 신라면의 모습을 담을 예정이다. 새해에도 신라면으로 맛있는 일상을 기원하는 메시지를 전한다.신라면은 한국을 대표하는 라면 브랜드 중 하나다. 농심은 “새롭게 선보이는 카피 ‘인생을 울리는 신라면’은 단순한 식품을 넘어 고객과 희로애락을 함께 하며 정서적 교류를 나누는 동반자가 되겠다는 의미가 담겨있다”고 설명했다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2024-01-19,"38년간 ‘사나이 울리는’ 신라면, 이젠 ‘이것’ 울린다","농심이 1986년 신라면 출시때부터 쓰였던 '사나이 울리는'이라는 광고 카피를 38년 만에 바꾼다. 사진은 1997년 방송된 농심 신라면TV광고 일부. / 농심‘사나이 울리는 농심 신라면.’농심이 신라면의 대표 광고 카피를 38년 만에 바꾼다. 성(性) 고정관념에서 벗어나는 시대 변화의 흐름을 반영한 것이다.농심이 대표 제품 신라면의 광고 카피를 교체한다고 19일 밝혔다. 신라면의 새TV광고에는 ‘사나이 울리는’ 대신 ‘인생을 울리는 신라면’이라는 새로운 문구가 쓰였다.‘사나이 울리는 농심 신라면’이라는 카피는 1986년 신라면 출시 당시 나왔다. 농심 창업주 고 신춘호 회장이 자신의 성(姓)을 따 ‘신(辛) 라면’으로 이름을 붙이고, 카피도 직접 만든 것으로 알려졌다.이 광고 카피가 등장했던 시절은 ‘남자는 태어나서 딱 세 번만 울어야 한다’ ‘남자는 씩씩해야 한다’ 같은 성 고정관념이 강하던 때였다. 강인한 남성마저 울릴 정도로 맵다는 이미지를 담은 문구는 소비자에게 각인됐고, 신라면은 히트를 쳤다. 최수종, 최민식, 유해진, 송강호, 박지성, 박형식 등 당대 톱스타들이 광고에 출연해 “사나이 울리는 농심 신라면”이라는 카피를 외쳤다.농심이 1986년 신라면 출시때부터 쓰였던 '사나이 울리는'이라는 광고 카피를 38년 만에 바꾼다. 사진은 1998년과 2003년 방송된 농심 신라면 광고./ 농심다만 최근 손흥민이 모델로 출연한 신라면 광고에선 ‘사나이 울리는’이라는 문구보다는 ‘세계를 울리는’이라는 카피를 더 강조됐다. 나아가 새로운 광고에선 ‘사나이’라는 단어를 더는 쓰지 않기로 한 것이다.농심 측은 광고 카피 교체가 성 인식에 대한 사회 변화를 반영한 것이냐는 분석에 대해 “단순하게 사나이, 남자보다 소비자 전체를 감동시키는 광고를 하겠다는 의도”라는 입장이다.농심 신라면 새 광고 화면 모습./농심새로운 광고에선 대한민국 대표 라면의 친근함과 일상성을 강조하기 위해 유명 연예인 대신 일반인 모델이 등장한다. 한편, 이번 광고는 ‘인생을 맛있게 메워주는 라면’이라는 주제로 오는 20일 처음 방송된다. 다음 달부터는 가족과 캠핑에서 즐기는 신라면, 회식 다음 날 속을 달래는 신라면, 친구들과 함께 먹는 신라면, 나만의 공간에서 편하게 즐기는 신라면 등 4편도 차례로 공개된다."
2023-11-17,"4개월만에 800만 봉지 팔린 먹태깡, 농심 ‘이 회의’에서 나왔다","신동원 회장 주재 아이디어 회의팀장·평사원 등 팀 구성해 발표MZ의견 마케팅 반영 창구 역할신동원 농심 회장이 사내에서 열린 연구원들의 아이디어 발표 행사인 '챌린지 페어'에서MZ직원들이 내놓은 신제품을 맛보고 있다. /농심“젊은 소비자들 사이에선 갈수록 ‘불만두’ ‘불버거’ ‘불닭’처럼 더 매운 맛이 인기입니다. 신라면도 이젠 한 단계 더 매운 맛을 내놓을 때가 됐다고 생각합니다.”작년 6월 열렸던 농심의 신제품 개발 회의인 이른바 ‘씨알 회의’.농심 신동원 회장이 직접 주재하는 아이디어 회의다. 이 회의에 들어온 한 20대 연구원이 이 같은 의견을 내놓자, 신 회장은 “좋은 아이디어”라면서 “맛의 기본기를 지키면서 매운맛을 내는 라면을 만들어보면 좋겠다”라고 대답했다고 한다. 기존 신라면보다 스코빌 지수를 2배가량 높여 매운 맛을 강화한 신제품 ‘신라면 더 레드’가 나오게 된 배경이다. ‘신라면 더 레드’는 지난 8월 한정판으로 출시돼 80일 만에 1500만 봉지가 팔렸다. 오는 20일 정식으로 출시된다.농심의 ‘이색 신제품 회의’는 2008년부터 당시 부회장이던 신동원 농심 현 회장이 한 달에 두 번씩 직접 열어왔다. 보통 회장이나 부회장이 주재하는 회의엔 임원급만 참석하지만, 이 회의는 팀장·대리·평사원까지 각각 팀을 짜서 직접 프레젠테이션을 하면서 신제품 아이디어를 발표한다. 매번 참석하는 인원은 30여 명 정도. 보통 2시간 사이에 4~5가지 아이디어가 발표된다. 회장 취임 후에도 신 회장은 씨알 회의를 직접 진행해 왔다. 농심 관계자는 “신 회장이 젊은 직원들의 아이디어를 직접 듣는 것을 무척 중요하게 생각하는 만큼, 씨알 회의를 무엇보다 중요하게 챙긴다”고 말했다.MZ직원들의 아이디어를 직접 듣기 위해 신 회장은 부회장 시절부터인 2018년부터는 소위 ‘챌린지 페어’를 진행해 왔다. 연구원 200여 명이 모여 각기 팀을 짜서 신제품을 위한 아이디어를 발표하고, 시식 행사도 진행하는 사내 행사다. 최근 출시 4개월만에 누적 판매량 800만 봉지를 돌파한 신제품 과자 ‘먹태깡’의 아이디어도 이 ‘챌린지 페어’에서 나왔다. 한 대리급 연구원이 “요즘 젊은 소비자들 사이에서 안주로 먹태를 먹는 것이 인기”라고 발표했고, 이를 들은 신 회장이 “한번 제품으로 만들어보자”고 주문했다는 것이다. 이후 1년 동안 신 회장과 연구원들이 과자에 짭짤한 맛을 더하고 청양고추의 뒷맛을 넣는 식으로 맛의 완성도를 높이기 위한 의견을 주고받으면서 제품을 개발해 ‘먹태깡’을 만들었다.지난달 신라면 건면 포장지에 프랑스 화가 앙리 마티스의 그림 ‘한 다발’을 입힌 한정판 제품을 출시한 것, 농심 40주년 기념을 기념하기 위해 동대문 디자인 플라자와 서울 지역 대학교 10여 곳에서 안성탕면 관련 전시를 보여주는 팝업 스토어를 여는 행사를 벌인 것도 ‘씨알 회의’에서 나온 20~30대 젊은 직원들의 의견을 적극 반영한 결과다.농심 관계자는 “젊은 직원 의견을 최대한 듣고 이를 제품과 마케팅에 직접 반영하는 새로운 회의 방식이 뜻밖의 히트 상품을 낳고 있다”고 말했다."
