date,title,content
2024-12-21,농협은행장에 강태영,"농협금융지주는 20일 임원 후보 추천위원회를 열고 차기 농협은행장에 강태영(58)NH농협캐피탈 부사장을 추천했다고 밝혔다. 강 부사장은 경남 진주 대아고, 건국대 축산학과를 졸업한 뒤 1991년 농협중앙회에 입사해, 농협은행 디지털전환(DT)부문장 등을 거쳤다. 이날 농협생명 대표에는 박병희 농협생명 부사장이, 농협손해보험 대표에는 송춘수 전 농협손해보험 부사장이 추천됐다. 임기는 내년 1월부터 2년이다."
2024-12-31,5대銀 모두 ‘예대금리차 1%p’ 넘겨,"작년 3월 이후 1년 8개월만/뉴시스금리 인하기에 접어들었지만 은행들이 예금 금리만 먼저 내리고 대출 금리는 높게 유지하면서 예금 금리와 대출 금리 차이가 확대되고 있다. 지난달 국내 5대 은행의 예대 금리차는 1년여 만에 모두 1%포인트대로 벌어졌다.30일 은행연합회 소비자포털에 공시된 ‘예대금리차 비교’ 통계에 따르면 11월 기준KB국민·신한·하나·우리·NH농협 등 5대 은행에서 취급한 가계 대출의 예대 금리차는 1~1.27%포인트로 집계됐다. 이는 햇살론뱅크·햇살론15 등 정책서민금융은 제외한 것이다. 5대 은행의 가계 예대 금리차가 모두 1%포인트를 넘은 것은 작년 3월 이후 20개월 만이다.은행별로 보면,KB국민은행과NH농협은행이 1.27%포인트로 가장 컸고, 이어 하나(1.19%포인트), 우리(1.02%포인트), 신한(1%포인트) 순이었다.KB국민은행의 경우 작년 2월(1.48%포인트)이후 21개월 만에 예대 금리차가 제일 크게 벌어졌다. 대부분 은행들이 8월 이후 예대 금리차가 계속해서 커지는 추세다.전체 19개 은행 중에서는 전북은행의 예대 금리차가 5.93%포인트로 가장 높았다. 전북은행은 “(대출 금리가 더 높은) 중저신용자 대출 취급 비율이 38.5%로 높기 때문”이라고 설명했다. 토스(2.48%포인트), 한국씨티은행(2.41%포인트), 카카오뱅크(2.04%포인트) 등은 2%포인트를 넘었다.이에 금융 당국의 ‘관치금리’가 은행들의 배만 불리고 있다는 지적이 나온다. 은행들은 지난 8월부터 당국의 가계 대출 관리 압박에 가산금리를 붙여 대출금리를 높였다. 한국은행이 두 차례 연속 기준금리를 0.25%포인트씩 내리면서 예금 금리는 하락하고 있지만, 당국의 압박에 대출 금리는 여전히 높게 유지되는 것이다.예대 금리차는 12월에도 확대될 가능성이 높다. 이날KB국민은행이 예·적금 금리를 최대 0.2%포인트 내리는 등 이달 들어 5대 은행이 일제히 예금 금리를 내리고 있기 때문이다. 다만 내년 초에는 이런 흐름이 꺾일 것이란 전망도 나온다. 은행들은 새해 들어 가계 대출 총량이 새로 생기면서 대출 총량 관리 압박이 줄고, 이에 가산금리 인하 등으로 대출 금리를 내릴 가능성이 점쳐지기 때문이다."
2024-12-30,“1000명 대기 중”... 연말정산 앞두고 기부 사이트 접속 급증,"“10만원 쓰고 13만원 이득 챙기자”연말 고향사랑기부제 관심 급증[왕개미연구소]2024년 귀속 연말정산 준비를 하려는 직장인들이 한꺼번에 몰리면서 30일 고향사랑기부제 사이트 접속 지연 현상이 빚어졌다.이날 오후 행정안전부가 운영하는 고향사랑기부제 사이트인 ‘고향사랑e음’은 대기자 수가 1000명을 넘어섰다. 오는 31일까지 기부를 완료해야만 내년 1월 연말정산에서 절세 혜택을 받을 수 있기 때문에 접속자들이 한꺼번에 몰린 것으로 풀이된다. 행정안전부에 따르면, 지난해 고향사랑기부제 모금액의 40%가 연말에 집중됐다.30일 연말정산을 준비하는 직장인들이 한꺼번에 몰리면서 고향사랑e음 사이트 접속 지연이 하루 종일 빚어졌다./고향사랑e음40대 회사원 이모씨는 “회사 동료가 10만원 기부하면 전액 세액공제 받으면서 답례품으로 돼지 목살을 2kg어치 받았다고 해서 해보려고 한다”면서 “답례품 품목을 보니까 한우뿐만 아니라 쌀, 생선, 김치, 딸기, 장어, 젓갈, 참기름 등 무척 다양해서 둘러보는 재미가 있다”고 말했다.고향사랑기부제는 직장인이 주민등록상 주소지 외의 지자체에 기부하면 세액공제 혜택과 함께 기부금의 30% 상당 답례품을 받는 제도다. 대다수 직장인들은 10만원 기부를 선택한다. 연말정산 때 전액 돌려받는 액수가 10만원이 최대 금액이기 때문이다. 10만~500만원은 세액공제(16.5% 지방세 포함) 혜택을 받는다.기부금은 연말정산 간소화 서비스에 자동으로 반영되기 때문에 소비자는 별도의 영수증 등록 절차 없이 세액공제를 받을 수 있다.2024년 1월 1일부터 12월 31일까지 기부한 금액 중 10만원까지는 전액 공제되고, 10만원 초과 금액에 대해선 16.5%의 세액공제가 적용된다./고향사랑e음✅일본은 15년 만에 1조엔 돌파올해로 시행 2년째를 맞은 한국의 고향사랑기부제는 일본이 지방소멸 극복방안의 하나로 시도해 성공한 고향납세제(ふるさと納税)를 본따서 만든 것이다. 개인이 2000엔 이상 원하는 지역에 기부하면 답례품(기부액의 30% 이내)과 세액공제 혜택을 받을 수 있다.일본은 제도 시행 15년 만인 지난해 고향납세 기부액이 1조엔(약 9조3248억원)을 넘어섰다. 고향납세로 주민세 공제를 받은 사람은 전년 대비 107만명 증가한 1000만2000명으로 역대 최대를 기록했다.한국은 작년에 고향사랑기부금으로 651억원을 모았다. 행정안전부에 따르면, 올해는 작년보다 더 금액이 늘어날 전망이다. 지난 30일까지 기부금은 약 800억원으로, 전년 동기 대비 23% 늘었다.행정안전부 관계자는 “기부자에게는 답례품 포인트가 지급되는데, 5년간 유효하다”면서 “기부 시점 이후에도 언제든지 답례품 신청이 가능하므로 대기자 수가 상대적으로 적은 연초에 접속하면 빠르게 신청할 수 있다”고 말했다.그래픽=조선디자인랩 이연주✅민간 플랫폼, 이달부터 본격 가동고향사랑기부제는 이달부터 민간 플랫폼 참여에 본격 시동이 걸리면서 날개를 달 전망이다. 업계 관계자는 “일본에서도 고향납세제가 원래는 관(官) 주도였다가 2014년 민간에 개방하면서 폭발적으로 성장했다”면서 “한국 역시 민간 플랫폼들의 참여가 늘어나면서 기부가 더욱 활성화될 것”이라고 말했다.현재 민간 플랫폼으로는 ‘위기브’와 ‘놀고팜’ 등이 있고,KB국민은행, 신한은행, 하나은행,IBK기업은행,NH농협은행 등 은행들도 서비스 제공을 시작했거나 계획 중이다.그런데 민간 플랫폼을 통해서 납세자가 기부하면 일정 수수료(약 10%)가 일부 플랫폼의 몫으로 돌아간다. 이에 대해 수수료 부담을 지적하는 목소리도 있지만, 플랫폼이 적극적으로 홍보 활동을 벌이는 점을 고려하면 타당하다는 반박도 있다.실제로 ‘위기브’는 12월 기부자 전원에게 2000원 상당의 포인트를 지급하고, 추첨을 통해 다이슨청소기 등 선물을 주는 이벤트도 진행 중이다. 페이코 사이트를 통해서 접속해 기부하면 5000원 어치 포인트도 추가로 얻을 수 있다.민간 플랫폼에 최근 참여한 A지자체 고향기부사랑제 담당자는 “작은 식당이 배달 플랫폼을 통해서 더 많은 손님들을 확보하듯, 지자체 입장에선 수수료가 들더라도 홍보가 더 많이 되는 것도 중요하다”면서 “작년보다 기부 참여자 수가 크게 늘어나서 민간 플랫폼 효과를 톡톡히 보고 있다”고 말했다."
2024-12-26,"주담대 2억, 비대면 부활… 새해엔 대출 빗장 풀려","은행권, 가계대출 ‘문턱 낮추기’시중은행들이 새해부터는 그동안 조여온 가계 대출 문턱을 낮춘다는 예고를 하고 있다. 일부는 벌써 규제를 풀고 있다. 지난 7~8월부터 금융 당국의 가계 대출 관리 압박에 은행들은 대출 금리를 높이고, 대출 조건을 강화하는 식으로 문턱을 높여왔다. 그런데 해가 바뀌면 가계 대출 총량 한도가 새로 생기는 데다, 경기 부진으로 대출 강화가 바람직하지 않다는 지적도 나오면서 은행들의 분위기가 바뀌고 있다. 다만 다주택자 주택 담보 대출은 투기적 요소가 많다고 보고 규제를 이어갈 것으로 보인다.그래픽=백형선◇생활 자금·비대면 대출 규제 풀어우선 은행들은 생활 안정 자금을 목적으로 받는 주택 담보 대출의 한도를 상향하고, 중단했던 비대면 대출도 재개하고 있다.25일 금융권에 따르면, 우리은행은 내년 1월 2일부터 생활 안정 자금 목적의 주택 담보 대출 한도를 1억원에서 2억원으로 올리고, 모기지 보험(MCI·MCG) 적용을 부활한다. 모기지 보험을 적용하면 대출 한도를 계산할 때 소액 임차 보증금을 빼지 않기 때문에 한도가 늘어나는 효과가 있다. 서울의 경우 대출 한도가 5000만원 이상 늘어난다. 또 그간 중단한 다른 은행에서 주택 담보 대출 갈아타기도 다시 취급한다. 우리은행은 앞서 23일부터 비대면 가계 대출도 재개했다.KB국민은행은 11월에 생활 안정 자금 목적 주택 담보 대출 한도를 1억원에서 2억원으로 올린 데 이어, 내년 1월부터 한도를 더 상향하거나 폐지하는 방안을 검토 중이다. 지난 8월부터 중단한 모기지 보험 적용을 부활하는 방안도 검토하고 있다.신한은행은 내년에 실행될 대출에 대해 이달 중순부터 생활 안정 자금 목적 주택 담보 대출 한도를 1억원에서 2억원으로 올려 신청받고 있다. 모기지 보험과 대출 모집인을 통한 대출도 다시 취급하기 시작했다. 이와 함께 내년에 ‘연 소득 100% 이내’로 제한된 신용 대출 한도와 비대면 대출도 재개할 방침이다. 분양 주택에 대한 전세 대출 판매도 다시 시작했다.하나은행도 이달 중순부터 내년 대출 실행 건에 한해 비대면 주택 담보·전세 자금 대출을 다시 취급하기로 했다.NH농협은행은 이달 30일부터 비대면 직장인 신용 대출 상품 4개(NH직장인대출V·올원직장인대출·올원마이너스대출·NH씬파일러대출) 판매를 재개하고, 내년 1월 2일부터 임대인 소유권 이전 등 조건부 전세 자금 대출도 다시 허용하기로 했다.그래픽=백형선◇내년 대출 여력 회복은행들이 이처럼 규제를 풀고 있는 것은, 우선 새해가 시작되면 은행별로 한 해 동안 대출할 수 있는 가계 대출 총량이 새로 설정돼 대출 한도 여력이 커지기 때문이다.또 최근 소비 심리가 크게 위축돼 경기 측면에서도 대출 규제 강화가 바람직하지 않다는 지적도 나온다. 이복현 금융감독원장은 지난 20일 기자들과 만나 “내년 초부터는 가계 대출 관련 실수요자에게 자금 공급이 원활하게 되도록 방향을 잡고 있다”며 “특히 지방 부동산 가계 대출 관련해서는 수요자가 더욱 여유를 느끼게 하겠다”고 했다.내년에 대출 금리가 내려갈 가능성도 제기된다.NH농협은행은 대출 규제 완화 조치를 발표하며 지난 23일부터 주기형 주택 담보 대출 우대금리를 0.1%포인트 확대한다고 밝혔다. 우대 금리가 확대되면 그만큼 대출자에게 적용되는 금리는 낮아진다.다만, 은행권의 대출금리 인하를 두고는 전망이 엇갈린다. 한 업계 관계자는 “최근 부동산 경기나 탄핵 등의 여파로 볼 때 주택 담보 대출이 올해처럼 늘어날 요인이 없다”며 “은행들이 가계 대출 확보를 위해 대출 가산 금리를 낮추는 경쟁을 시작할 수 있다”고 했다. 하지만 다른 업계 관계자는 “내년 초까지는 분위기를 봐야 할 것”이라며 “특정 시기 쏠림 등을 고려해 속도 조절을 해야 하는 만큼, 연초에 금리 인하 경쟁을 할 만큼 문턱이 크게 낮아지기는 어렵다”고 했다.◇다주택자 규제는 이어질 듯다만 여전히 많은 은행이 유지하고 있는 다주택자 주택 담보 대출 규제는 계속 이어질 가능성이 높다. 유주택자가 수도권뿐만 아니라 전국 어느 곳이라도 집을 더 사는 경우는 실수요보다는 투자 목적이 크다고 판단되는 경우가 많은 만큼, 갑자기 규제를 풀어줄 명분이 없다는 것이다."
2024-08-24,농협銀 100억대 부당 대출… 올 들어 4번째 금융 사고,"지인 명의 도용한 허위 대출 의혹… 횡령 의심받던 직원은 극단 선택NH농협은행 전경. /NH농협은행NH농협은행에서 횡령으로 의심되는100억원대 부당 대출 사고가 발생했다. 농협은행에서 배임 또는 횡령 사고가 발생한 것은 올 들어서만 네 번째다.23일 농협은행은 “서울 소재 모 지점에서 횡령 가능성이 있는 부당여신거래 행위를 발견해 이달 20일부터 감사 중”이라고 밝혔다. 횡령 의심을 받던 영업점 직원 A씨는 감사가 시작되자 극단적 선택을 한 것으로 전해졌다.농협은행에 따르면, A씨는 2020년 6월부터 올해 8월까지 지인 명의를 도용하는 방식으로 서류를 꾸며 허위 대출을 받았다. 사고 금액은 약 117억원으로 추정된다. 농협은행은 이번 건 외에도 지난 3월 110억원 규모 배임 사고를 공시했고, 5월에는 각각 54억원, 11억원 규모 배임 사고 2건을 공시했다. 한 금융권 관계자는 “은행 업무가 디지털화되면서 서류 위·변조를 걸러내기에 취약해진 부분이 있다”면서도 “대출을 승인할 땐 본인 확인 절차가 필수인데, 이 절차가 허술했던 것으로 보인다”고 했다.내부 통제 시스템 강화를 위해 책무 구조도 도입을 의무화하는 내용의 ‘금융회사의 지배구조에 관한 법률’이 지난 7월부터 시행되는 등 횡령이나 불법 대출, 불완전 판매 같은 금융 사고를 막기 위한 대책이 강화됐지만, 금융 사고는 끊이지 않고 발생하고 있다. 책무 구조도란 금융 사고가 발생했을 때 최고경영자 등 임원별 책임과 제재 근거를 명확히 한 문서다.다른 은행들도 마찬가지다. 우리은행은 지난 2020년 4월부터 올해 1월까지 손태승 전 우리금융지주 회장의 친·인척에게 350억원 규모 부당 대출을 내준 사실이 이달 초 금융 당국에 의해 적발됐다.KB국민은행에서는 지난 3~4월 안양과 대구 등에서 대출과 관련한 3건의 배임 사고가 발생했는데, 사고 금액은 488억원에 달한다.국민의힘 강민국 의원실이 금융감독원으로부터 제출받은 자료에 따르면 2018년부터 2023년까지 은행권에서 발생한 금융사고 규모는 1525억5720만원이다. 연도별로는 2018년 24억1780만원, 2019년 67억4670만원, 2020년 8억1610만원, 2021년 72억7640만원, 2022년 739억7610만원, 2023년 613억2410만원 등이다."
2024-05-22,"농협은행 또 금융 사고, 64억원 ‘부당 대출’","지난 3월 109억원 규모의 금융 사고가 발생했던NH농협은행에서 64억원 규모의 부동산 대출 금융 사고가 추가 적발됐다.농협은행은 공문서 위조 및 업무상 배임에 해당하는 2건의 금융 사고를 자체 감사를 통해 적발했다고 22일 공시했다. 사고 금액은 각각 53억4400만원, 11억225만원이다.NH농협은행두 건 모두 부동산 관련 대출이다. 농협은행 관계자는 “일선 지점에서 채무자가 위조한 공문서를 제대로 확인하지 않거나, 일부러 감정가보다 높게 가치를 책정해 많은 돈을 대출해 준 사건”이라고 설명했다.농협은행은 인사위원회를 거쳐 관련자들을 징계할 예정이라고 밝혔다. 앞서 지난 3월에도 농협은행에서 109억원 규모의 배임 사고가 발생했다. 농협은행 측은 “지난 3월 사고 적발 이후 내부 감사 중 비슷한 유형의 사고가 발생한 것을 추가 인지했다”고 했다."
2024-09-13,"’北 리호남’과 농협 해킹 시도한 일당, 1심 전원 유죄","검찰 “국가 시스템 파괴, 중히 처벌해야” 항소지난 2011년 북한 공작원 ‘리호남’을 만나 농협 전산망 해킹을 시도했던 일당 5명이 1심에서 전원 유죄를 선고받았다.13일 법조계에 따르면, 서울중앙지법 형사27부(재판장 우인성)는 국가보안법 위반 등 혐의로 기소된 내국인 5명에게 징역형을 선고했다. 특수 잠입∙탈출, 회합 등 혐의가 유죄로 인정돼 해커 A씨 등 4명은 징역 2년 6개월~징역 3년 6개월의 실형을 선고받았고, 1명은 징역 2년 6개월에 집행유예 4년을 선고받았다. 다만 간첩 혐의는 무죄로 판단됐다.A씨 등은 2011년 4~5월 한국 정부의 비자금이 농협 은행에 차명으로 은닉돼 있다는 미확인 정보를 입수했다. 한·중 무역 사업 경험이 있는 B씨가 나머지 일당을 모집한 뒤, 북한 해커들을 동원해 비자금을 빼내겠다는 계획을 세웠다. 대북 연락책을 통해 북한 측과 소통한 이들은 2011년 6월 중국 단둥에서 리호남을 만나 북한 해커를 소개받은 것으로 조사됐다. 리호남은 북한 국가안전보위부(현 국가보위성)에서 근무하며 대남 공작을 맡아 1998년 ‘공화국 영웅’ 칭호를 받은 인물이다.A씨는 북한 해커와 농협 내부 전산망을 해킹하기로 결정한 뒤, 국내로 돌아와 일당과 함께 전산망IP등을 수집했다고 한다. 이후 중국으로 다시 나가 북한 측과 함께 농협 해킹을 시도했지만 방화벽에 막혀 실패한 것으로 조사됐다.수사당국이 2018년 리호남의 대북 보고문을 확보하면서 이들의 범행이 발각됐다. 검경은 4년여간 공조 수사를 벌여 이들을 차례로 검거, 2021~2022년 기소했다.1심 법원은 A씨 일당이 공작원의 지령을 받고 정보를 수집한 후 중국에서 농협 해킹을 시도했다는 혐의는 유죄로 인정했다. 하지만 이들이 빼간 해당 정보가 기밀로서 가치가 없다는 등의 이유로 간첩 혐의에 대해 무죄를 선고한 것으로 전해졌다.이에 검찰은 이날 “1심은 사실관계를 오인하고 기밀성에 대한 법리를 오해했다”면서 항소했다. 검찰은 “피고인들은 북한 공작원들과 연계해 국내 중요 금융기관에 침투하는 등 국가의 경제‧금융 시스템을 파괴하려 하고, 국가적 혼란을 초래할 위험이 높은 범행을 저질렀다”면서 “1심보다 중한 형이 선고될 필요가 있다”고 했다."
2024-04-07,"한소희, 농협광고도 계약 종료…새 모델로 고윤정 발탁","배우 한소희. /뉴스1배우 한소희(30)가 ‘NH농협은행’과의 광고모델 계약이 종료된 사실이 알려졌다. 한소희는 지난달 소주 브랜드 ‘처음처럼’과의 광고모델 계약도 종료된 바 있다. 일각에선 동료배우 류준열(37)과의 열애‧결별 과정에서 불거진 논란이 영향을 미친 것 아니냐는 추측도 나왔다.7일 농협은행 등에 따르면 농협은행은 이번 주부터 한소희 대신 고윤정을 모델로 한 인쇄 광고를 선보인다. 이어 고윤정을 모델로 한TV,유튜브, 소셜미디어 등의 광고를 차례로 공개할 예정이다. 농협은행은 지난 3년 동안 배우 강하늘과 한소희를 모델로 기용해왔다.농협은행 관계자는 조선닷컴과의 통화에서 “최근 계약 기간이 만료돼 새 얼굴을 물색해왔다”며 “한소희씨 사생활 문제 때문에 광고 모델을 교체한 것은 아니다”라고 밝혔다.한소희 소속사 측도 “농협 광고는 재계약 실패가 아닌 작년 말 서로 합의하에 계약 연장을 하지 않기로 결정한 것”이라며 “이는 열애설과 전혀 무관하다”라고 밝혔다.농협은행은 새 광고모델을 선정하는 과정에서 밝고 세련된 이미지를 가진 고윤정이 최적의 인물이라고 판단해 원톱 모델로 낙점한 것으로 알려졌다.배우 고윤정. /뉴시스한편 한소희와 류준열은 공개 연애 2주 만인 지난달 30일 결별을 발표했다. 류준열은 가수 겸 배우 혜리(30)와 2017년부터 공개 열애를 하다 지난해 결별한 것으로 알려졌다. 때문에 환승연애 의혹이 불거졌었다.혜리는 지난달 18일 입장문을 통해 논란을 일으킨 것을 사과한다면서도 “지난(해) 11월 8년 간의 연애를 마친다는 기사가 났다. 결별 기사가 난 직후에도 저희는 더 이야기를 해보자는 대화를 나누었다”며 “그리고 4개월 뒤 새로운 기사(열애설)를 접하고 나서의 감정이 배우 이혜리가 아닌 이혜리로 받아들여진 것 같다”고 했다. 자신은 류준열과 관계를 계속 이어가고 있었다고 생각했다는 것이다. 이후 한소희는 지난달 29일 소셜미디어에 혜리를 겨냥한 글을 올렸다가 삭제하기도 했다.한소희 소속사는 이와 관련 “더 이상 개인사로 감정을 소모하지 말자고 약속했다”며 “한소희는 그동안 개인적인 감정 때문에 자신과 대중을 힘들게 만들었다. 죄송하다. 어떤 질타도 달게 받겠다”고 했다."
2023-09-14,"과잉 대출 유발한 ‘50년 만기 주담대’, 최다 판매는 NH농협은행","NH농협은행이 50년 만기 주택담보대출 상품 판매 중단을 예고한 20일 오전 서울 중구NH농협은행 본점의 모습.  /연합뉴스최근 과잉 대출의 주요 원인으로 지목되는 ‘50년 만기 주택담보대출’을 가장 많이 신규 취급한 곳은NH농협은행인 것으로 14일 나타났다.14일 금융감독원이 더불어민주당 오기형 의원실에 제출한 자료에 따르면 8월 말 기준 50년 만기 주담대 신규 취급액은 총 8조3000억원이었으며 이 가운데 농협은행이 2조8000억원으로 전체의 33.7%를 차지했다.하나은행은 1조7000억원으로 전체의 20.5%를 차지했다. 이들 은행의 취급액이 전체 50년 만기 주담대 신규 취급액의 절반을 넘을 정도로 집중됐다. 이어 수협은행(1조2000억원),KB국민은행(1조원),IBK기업은행(9000억원) 등이 뒤를 이었다.연령별로 보면 40~50대가 4조7000억원으로 전체의 57.1%를 차지해 압도적으로 많았다. 30대 이하는 2조5000억원(29.9%)으로 집계됐다.60대 이상에도 50년 만기 주담대가 1조1000억원(12.9%) 판매됐다.50년 만기 주담대는 지난해 10월SC제일은행과 12월 광주은행이 도입했으며 올해 들어 상반기에 수협과 대구은행, 전북은행이 잇따라 취급하기 시작했다.특히 총부채원리금상환비율(DSR) 규제를 우회해 많은 대출을 받을 수 있다고 알려지면서 7~8월에 농협은행, 국민은행, 기업은행, 부산은행, 카카오뱅크, 하나은행, 신한은행, 경남은행, 우리은행 등이 뛰어들어 가계 대출 급증을 유발했다.그러나 금융위원회와 금감원 등 금융당국이 가계 부채 급증을 우려해 50년 만기 주담대를 취급하는 은행들을 압박하자 농협은행과 기업은행, 경남은행, 부산은행이 취급을 중단했고 하나은행도 14일부터 동참한다.SC제일은행과 광주은행, 카카오뱅크, 수협은행, 대구은행, 신한은행, 국민은행 등은 50년 만기 주담대에 연령 제한 등을 뒀다.이와 관련해 금감원은 13일 은행 등을 대상으로 대출 만기 설정 등과 관련한 행정 지도에 나섰으며 관련 규정을 개정할 방침이다. 50년 만기 주담대와 관련해 금융권 자체 관리 강화를 요청하는 공문도 발송할 계획이다."
2024-08-14,우리은행·NH농협은행 주담대 금리 0.3%p 올려,"주요 은행들이 이달 들어 줄줄이 대출 문턱을 높이고 있다. 최근 가계빚 증가세가 심상치 않자 금융 당국이 가계대출을 조이고 있는 영향으로 풀이된다.13일 금융권에 따르면, 우리은행은 오는 20일부터 대면 주택담보대출(5년 변동) 금리를 0.3%포인트 인상하기로 했다. 비대면 아파트 주택담보대출(5년 변동) 금리도 0.1%포인트 올린다. 이달 20일부터 적용되는 금리 인상까지 한 달 사이에 다섯 번이나 금리를 올리는 것이다.NH농협은행은 14일부터 주택담보대출 금리를 0.3%포인트 인상한다.NH농협은행은 지난달 24일에도 대면 주택담보대출 주기형·혼합형 상품 금리를 각각 0.2%포인트 올렸다.인터넷 전문은행인 케이뱅크는 이날 변동금리 아파트 담보대출과 5년 주기형 아파트 담보대출 금리를 각 0.1%포인트 높였다.KB국민은행, 신한은행 등 다른 시중은행들도 지난달부터 주택담보대출과 전세자금대출 금리를 올리고 있다.한국은행에 따르면, 7월 은행권 가계 대출이 5조5000억원 느는 등 최근 주택담보대출을 중심으로 은행권 가계대출이 넉 달 연속 5조~6조원 수준으로 늘고 있다."
