date,title,content
2023-06-08,다올투자증권 집중 매수 슈퍼개미는 왜 ‘투신’으로 둔갑했을까,"다올투자증권 사옥 전경 /다올투자증권소시에테 제네랄(SG) 증권발 주가 폭락 사태 직후 교사 출신 ‘슈퍼 개미’ 김기수씨와 친인척 등 김씨 측 특별관계자들은 다올투자증권의 주식을 다량 매입했다. 김씨 측의 보유량은 다올투자증권의 발행 주식수의 14%를 넘어, 2대 주주 급이 된 800여만주. 그런데 이 과정에서 주식거래시스템(HTS)상 ‘개인’으로 표기돼야 할 김씨 측의 주식 취득 주체 현황이 ‘투자신탁사(투신)’로 표기되는 이른바 ‘시장교란행위’가 있었다는 뒷말이 나왔다. ‘투신’의 대규모 매수는 시장에서 개인 투자자 매수세를 유인하는 요인으로 작용하기 때문이다. 한국거래소가 이 과정을 들여다보고 있다.지난달 26일 금융감독원은 김씨와 친인척 최모씨, 김씨가 보유한 순수에셋 등 ‘김씨 측 특별관계자’들이 다올투자증권 발행주식의 14.34%인 873만6629주를 보유하고 있다고 공시했다. 김씨 측은SG증권발 차액결제거래(CFD) 대량 매물의 여파로 다올투자증권의 주가가 추락한 지난 4월24일 직후 다올투자증권의 주식을 집중적으로 매수했다.폭락 전 5880원이던 다올투자증권의 주가는 김씨 측이 매수를 시작하기 직전인 4월27일 기준 총 48.6%가 빠지며 3020원을 기록했다. 김씨 측이 집중 매입을 시작하자 주가는 크게 올랐고, 김씨 측이 매입을 종료한 지난달 22일 종가는 폭락 후 총 37%가 오른 4140원을 기록했다.문제는 이 과정에서 발생했다. 김씨와 최씨의 구매 수량은 ‘개인’으로 표기돼야 하는데,HTS상 기관의 한 종류인 ‘투신’으로 표기됐기 때문이었다. 조선닷컴 취재 결과, 지난달 2일~22일 사이 주식시장 개장일 15일 가운데 7일 동안 김씨 측이 금융감독원에 보고한 다올투자증권 주식 매수 수량과HTS상 ‘투신’의 다올투자증권 매수 수량은 정확하게 일치하는 것으로 나타났다.주식 매매 주체 정보는 이른바 개미가 주식을 구매할 때 가장 먼저 보는 정보 가운데 하나다. ‘큰 손’인 기관이나 외국인이 움직이면 이를 따라가는 개인들이 많기 때문이다. 주식 매매 주체는 크게 개인과 외국인, 기관으로 나뉘고, 기관은 금융투자, 투신, 은행, 보험, 연기금 등으로 나뉘어HTS상 표기된다.이 때문에 증권가에서 “개인이 구매하며 기관인 척하는 게 시장교란행위 아니겠느냐”는 뒷말이 나온 것이었다. 자본시장법상 매매성황 오인, 투자매매 유인 등 목적성 있는 시세조종행위와 위계(거짓) 사용 등의 부정거래행위는 불공정 거래 행위로 규정된다.김씨 측은 김씨가 대표로 있는 프레스토투자자문과 매수·매도 일임 계약을 체결하고 다올투자증권 주식을 취득했다. 프레스토투자자문 측은 “우리는NH투자증권 시스템으로 다올투자증권 주식을 매입했다. 우리가 아니라NH투자증권에 물어봐야 할 것”이라고 했다.이에NH투자증권 관계자는 “우리는 보통 회원 혹은 회원사가 주문을 넣으면 이들을 대신해 매입을 진행하지만 일부 대형 회원과 회원사엔DMA(DirectMarketAccess) 방식을 쓸 수 있도록 시스템을 열어준다.DMA방식은 회원사가 직접 시스템에 들어가 주식을 거래하는 방식”이라며 “프레스토투자자문은DMA로 다올투자증권 주식을 매입했는데, 이 과정에서 일부 실수가 있었던 것으로 보인다”고 말했다.NH투자증권에 따르면DMA시스템을 이용하는 회원 혹은 회원사는DMA방식으로 주식을 매입할 때 개인인지 기관인지 외국인인지를 당사자가 직접 시스템에 입력해야 한다. 이 과정에서 프레스토투자자문이 실수로 ‘개인’이 아닌 ‘기관(투자신탁사)’이라고 입력했다는 것이다.이에 대해 한국거래소는 “김씨와 최씨의 다올투자증권 주식 매수 때 개인이 아니라 투신으로 표시된 부분에 대한 민원이 접수된 바 있다”며 “문제가 있었는지 들여다 보는 중”이라고 했다.김씨 측은 이번 대량 매수로 다올투자증권의 발행 주식 14%를 넘어선 수량을 보유하게 됐다. 사실상 2대 주주가 된 것이다. 이는 다올투자증권 최대 주주인 이병철 회장이 특별관계자와 보유한 지분 25.26%와 11%p밖에 차이 나지 않는 보유량이다."
2024-10-30,직무 정보 이용해 사익 챙긴 증권사 임직원...8명 재판행,"업무상 알게 된 정보를 이용해 사익을 취한 전직 증권사 임직원들이 무더기로 재판에 넘겨졌다.서울중앙지검 조세범죄조사부(부장 이진용)는 증권사 임직원의 직무정보이용 범행을 수사해 30일까지 전직 메리츠증권 임직원 7명과 다올투자증권 직원 1명을 불구속 상태로 재판에 넘겼다고 밝혔다. 검찰은 메리츠증권 임원 A씨를 지난 7월 먼저 기소했고, 나머지 7명을 직무정보이용 혐의로 이날 불구속 기소했다.서울 서초구 서울중앙지검 전경. /뉴스1A씨는 직무 중 알게 된 부동산 매각 정보를 이용해 부동산을 취득하고, 이 과정에서 부하 직원들에게 대출 알선을 청탁하고 그 대가로 금품을 건넨 혐의를 받았다.A씨는 부하 직원들의 알선으로 금융사들에게 총 1186억원을 대출받았고, 이를 바탕으로 11건의 부동산을 취득해 차익과 임대료로 총 245억원을 벌었다. 그는 부하 직원 B씨와 C씨의 가족을 자신의 회사 직원으로 허위 등재하고 월급을 주는 방법으로 두 사람에게 알선 대가 8억5000만원을 제공했다. 검찰은 다만 A씨의 직무정보이용 범행은 공소시효가 완성돼 기소하지 않았다고 밝혔다. B씨와 C씨도 A씨에게 억대 금품을 받은 혐의 등으로 재판에 넘겨졌다.B씨와 C씨 등 5명은 2019년 3월 코스닥 상장사의 전환사채(CB) 발행을 주선하면서 알게 된 정보를 이용해 억대 이익을 낸 혐의 등도 받는다. 이들은 지인인 회계사 명의로 특수목적법인(SPC)을 설립, 가족 등이 해당SPC에 투자하게 하고SPC명의로CB25억원을 인수했다. 이후CB를 주식으로 전환해 처분해 이자 및 전환차익으로 총 9억9000만원의 이익을 취했다고 한다.이들은 2022년 9월에도 같은 수법으로CB40억원을 인수해 이자 명목으로 3억9000만원을 벌었다.D씨와 E씨는 다른 코스닥 상장사의CB150억원을 인수하면서 얻은 정보로 그중 30억원을 D씨가 보유한 자산운영사에 매각하도록 해 운영 보수를 취득했다. 또 30억원 중 6억원에 대한 콜옵션을 지인 명의로 취득해 행사함으로써 700만원을 벌었다.앞서 금융감독원은 2023년 10월~12월 다올투자증권, 메리츠증권,LS증권, 하이투자증권, 현대차증권 등 5개 증권사를 상대로 기획검사를 실시해 이들 증권사 모두에서 불법 관행을 적발, 검찰에 통보·고발했다.사건을 넘겨받은 검찰은 1년간 수사 끝에 메리츠증권, 디올투자증권 임직원 8명을 기소했다.LS증권 임직원의 범행은 서울중앙지검 반부패수사3부(부장 이승학)가 수사 중이다.검찰은 “공신력 있는 대형 증권사 임직원들이 대출 알선 대가로 억대 금품을 수수하고, 직무상 얻게 된 정보를 이용해 다양한 방법으로 사익을 취하는 등 심각한 모럴 헤저드 사례를 확인했다”면서 “이번 수사로 인해 재발방지 및 임직원의 위법행위 근절을 위한 증권사의 내부통제제도 강화 필요성이 대두됐다”고 했다. 이어 “향후에도 금융기관 임직원들의 불법행위에 대해 법과 원칙에 따라 계속 엄정하게 대응해 자본시장 신뢰회복을 위한 수사를 해나갈 것”이라고 밝혔다."
2023-03-25,[경제계 인사] 다올투자증권,▲다올투자증권◇승진▷부회장 이창근◇선임▷대표이사 황준호▲다올저축은행◇선임▷대표이사 김정수
2022-12-07,"PF 위기 여파… 다올투자증권, 계열사 판다","벤처캐피털 다올인베스트먼트국내 벤처캐피털(VC) 1세대인 다올인베스트먼트가 매물로 나왔다. 6일 금융투자업계에 따르면, 다올금융그룹은 다올인베스트먼트 매각을 위해 국내 금융사 등 인수 후보자를 상대로 인수 의사를 타진하고 있다. 다올인베스트먼트의 전신은 지난 1981년 설립된 벤처캐피털 회사 ‘KTB네트워크’로, 2018년 이병철 다올금융그룹 회장에게 인수된 뒤 올해 다올인베스트먼트로 사명이 바뀌었다.다올인베스트먼트의 최대주주는 지분 52%를 보유한 다올투자증권(옛KTB투자증권)이다. 거래 가격은 2000억원대에서 책정될 가능성이 높은 것으로 전해졌다. 이날 종가 기준 다올인베스트먼트의 시가총액은 약 3075억원이다.다올인베스트먼트 매각이 추진되는 까닭은 레고랜드 사태가 촉발한PF자금 조달 위기 때문이라고 업계는 보고 있다. 다올투자증권은 중형급 증권사 중에서 부동산PF비중이 높은 편인데, 유동성 위기를 맞자 핵심 자회사를 팔아 자금을 급히 수혈하려 한다는 것이다. 핵심VC가IB시장에 매물로 나오자, 인수 경쟁도 치열해질 전망이다. 현재 우리금융지주, 유진금융그룹 등 국내 금융회사들이 인수 후보로 거론된다."
2022-11-24,"증권가 구조조정 칼바람...다올투자증권, 정규직 희망퇴직","중소형 증권사 인력 감축 본격화여의도 증권가/뉴스1자금 시장 경색과 증시 부진으로 올해 증권사 업황이 악화된 가운데 일부 중소규모 증권사가 본격적인 인력 감축에 들어간 것으로 나타났다.24일 증권업계에 따르면 다올투자증권이 오는 28일까지 정규직 직원을 상대로 희망퇴직 신청을 받기로 했다. 아직 희망퇴직 규모는 정해지지 않은 상태로 신청 직원 중 심사를 거쳐 최종 대상자를 선정할 것으로 알려졌다.희망퇴직 대상자가 되면 입사 1년 미만은 월급여 6개월분, 1년 이상∼3년 미만은 9개월분, 3년 이상∼5년 이하는 12개월분, 5년 초과는 13∼18개월분을 보상한다. 신입사원은 희망퇴직 대상이 아니다.이미 영업을 제외한 경영 관련 직무에서는 상무급 이상 임원 전원이 사직서를 제출한 것으로 알려졌다.앞서 지난 1일에는 케이프투자증권이 법인 상대 영업을 담당하는 법인부와 리서치사업부를 폐지하기로 했고 이베스트투자증권도 기업금융(IB) 부문 감원을 검토하고 있는 것으로 알려졌다. 증권업계 관계자는 “증권사는 계약직 비율이 높아 위기 상황에서 쉽게 인력을 조정할 수 있다”며 연말·연초 업계의 인력 감축이 본격화 될 것으로 전망했다."
2023-05-10,"SG발 사태로 급락한 다올증권 지분 11% 사들인 수퍼개미, 2대주주로","다올투자증권 사옥 전경. /다올투자증권 제공SG증권발 주가 폭락 사태로 다올투자증권의 주가가 급락한 가운데, 한 개인 투자자가 이 회사 지분을 대량으로 사들이며 ‘2대주주’로 등극했다. 10일 금융감독원 전자공시시스템에 따르면 사업가 김기수씨는 특별관계자를 포함해 다올투자증권 주식 697만949주(지분율 11.5%)를 보유하고 있다고 공시했다. 이는 최대주주인 이병철 다올금융그룹 회장의 지분(24.82%) 다음으로 많은 지분율이다.김씨 등은 지난달 28일부터 지난 8일까지 약 402만주를 장내에서 매수했다. 취득 단가는 3000원대다. 지난달 초 6000원대였던 다올투자증권 주가는 무더기 폭락 사태 여파로 3000원대로 급락한 상태였다.김씨는 주식 보유 목적에 대해 ‘일반투자’라고 공시했다. 일반투자는 경영권에 영향을 줄 의사는 없으나 단순투자보다 조금 더 적극적인 유형으로 임원 보수에 대한 지적이나 배당금 확대 등의 제안을 할 수 있다. 그는 공시를 통해 “발행회사의 주주로서의 권리를 행사하고자 한다”며 “배당의 증액을 요청하는 것에 국한되지 않으며, 발행회사 또는 기타 주주들이 제안하는 일체의 안건에 대해 찬성하거나 반대할 수 있다”고 밝혔다."
2022-11-25,다올투자증권 희망퇴직… 경영 임원들은 일괄사직서,자금 시장 경색과 증시 부진으로 증권 업계가 어려움을 겪고 있는 가운데 일부 중소 규모 증권사가 본격적인 인력 감축에 돌입했다.24일 증권 업계에 따르면 다올투자증권은 전날부터 오는 28일까지 정규직 직원을 상대로 희망퇴직 신청을 받고 있다. 규모는 신청자를 대상으로 심사 후 확정한다는 계획이다. 영업을 제외한 경영 분야 임원들은 경영상 책임을 지고 일괄 사직서를 제출했다. 이달 초 채권구조화팀 6명에 대해 계약 만료 후 재계약을 하지 않는 등 계약직에 대한 재계약 여부도 검토하고 있다.증권사가 희망퇴직을 실시하는 것은 이례적이다. 업무 특성상 계약직 임직원이 많기 때문에 통상 계약직에 대해 재계약을 하지 않는 방식으로 인력을 조정하기 때문이다. 다올투자증권이 희망퇴직을 실시하는 것도 2013년 이후 처음이다. 다올투자증권 관계자는 “내년에도 고금리 기조가 이어지며 주력인 기업금융(IB) 부문 부동산PF시장이 단기간 내에 살아나기는 어려울 것으로 판단했다”며 “중장기적 관점에서 사업을 재편하고 조직을 정비하는 과정”이라고 설명했다.앞서 지난 1일에는 케이프투자증권이 법인 상대 영업을 담당하는 법인부와 리서치사업부를 폐지하기로 했고 이베스트투자증권도IB부문 감원을 검토하고 있는 것으로 알려졌다.
2024-12-28,[경제계 인사] 하나금융지주 외,▲하나금융지주◇부사장 신규▷CIB본부 전호진◇상무 신규 선임▷리테일본부 김영호▷전략본부 남호식▷글로벌본부 서중근▷자본시장본부 조범준◇상무 승진▷감사부문 양재윤▲하나은행◇부행장 승진▷중앙영업그룹대표 김진우▷기업그룹장 서유석▷호남영업그룹대표 겸 광주전남영업본부 지역대표 우승구▷영남영업그룹대표 이재헌◇부행장 전보▷디지털혁신그룹장 겸AI·디지털전략본부 이선용▷영업지원그룹장 이은배▷신탁·투자상품본부 이재철◇상무 승진▷자금세탁방지본부 곽유근◇상무 전보▷ICT그룹장 계용근▷여신그룹장 이영준▷경영기획그룹장 겸 경영전략본부 정영석▲하나증권▷그룹장 전무 박헌준 이동영▷그룹장 상무 조대현▷전무 강희정 김은석 송인범 신명철 이은희 갈상면▷상무 김동식 김정현 남택민 우선정 임현주 조대헌 형정우▲다올투자증권▷전무 김진태 윤신영 허형욱▷상무 김현 김정준 이재일 김동응▲KB증권▷전무 박민배 손희재 윤법렬 노종갑 송상은▲KB자산운용▷전무 김은덕 노인기 손영진 이성준▷상무 김성훈 김종섭 심효섭▲KR투자증권▷전무 김민철 조태재▲풍산▷전무 박상준 박준현 이지원▷상무 이윤재 임원식 황영록 정동일 김종환 서송원▲풍산특수금속▷상무 양상용
2023-01-24,국내 1세대 벤처캐피탈의 ‘기구한 운명’...다올인베스트먼트 향방은,"다올투자증권 제공지난 17일 우리금융지주가 다올금융그룹의 벤처캐피탈(VC)인 다올인베스트먼트 인수를 위한 우선협상대상자로 선정된 가운데, 금융투자업계에서는 이번 인수합병(MA&)에 대해 엇갈린 평가가 나온다. 인수액이 2100억원 가량으로 추정되는데, 최근 종가 기준 시총 3245억원인 다올인베스트먼트의 지분 52%를 인수하는 거래임을 고려하면 시장 가치 대비 경영권 프리미엄이 너무 높다는 평가가 있다. 오히려 기업 가치가 저평가된 시기에 좋은 가격으로 거래를 하게 됐다는 정반대 평가도 있다. 하지만 양측 모두 다올인베스트먼트의 역사와 성과에 대해서는 동의하는 분위기다.다올인베스트먼트는 40년 경력의 벤처케피탈(VC)로 국내 1세대VC중 하나다. 국내외 1200여개 벤처기업에 2조원 이상 투자한 경험이 있다. 대표적인 투자 성공 사례로는 배달의민족(우아한 형제들)이 꼽힌다. 23억원을 들여 629억원을 회수했다. 핀테크 플랫폼 업체인 토스(비바리퍼블리카)에도 투자했다.전신은 국내 1세대 벤처캐피탈(VC)인KTB네트워크다. 한 때 ‘투자의 귀재’로 불렸던 권성문 전KTB금융그룹 회장이 1999년 국제통화기금(IMF) 구제금융 여파로 부실기업이 됐던 공기업 한국종합기술금융((KoreaTechnologyBanking)을 인수해 투자전문회사인KTB네트워크로 개편했다. 이후 권 전 회장이 2008년KTB투자증권(현 다올투자증권)을 설립하면서 모체였던KTB네트워크가VC로서KTB투자증권과 분리됐다.부침도 있었다. 90년대 후반 ‘냉각캔 사건’이 대표적이다. 권 전 회장이 미래와사람 대표를 지내면서 자체적으로 개발한 냉각캔을 ‘세계 최초 초소형 냉장고’로 홍보했으나 실제로는 상용화되지 못한 사건이다. 당시 금융감독원은 시세조종 등 불공정거래 금지위반 혐의로 권 회장 등 임직원 3명을 검찰에 고발했다. 검찰은 권 회장에 대해 기소유예 판결을 내렸다. 이후 권 전회장이 갑질 논란에 휘말리고 횡령 및 배임 혐의로 금감원의 조사를 받는 등 사건 사고가 이어졌다.2018년 이병철 다올금융그룹 회장이KTB투자증권 최대주주 자리에 오르면서 성장세를 이어왔다. 2021년 12월 코스닥에 상장 후 지난해KTB투자증권이 다올투자증권으로 이름을 바꾸면서KTB인베스트먼트도 다올인베스트먼트로 사명을 변경했다.2020~2021년 부동산 프로젝트 파이낸싱(PF)을 적극적으로 하며 사세를 키워왔던 다올투자증권은 지난해 급격한 금리 상승과 강원도 레고랜드 발 부동산PF시장 경색으로 타격을 입었다. 다올투자증권은 자금 조달을 위해 지난해 하반기부터 다올인베스트먼트를 포함해 계열사 지분 매각에 나섰다.우리금융과 다올금융그룹은 상세 실사 후 최종 주식매매계약(SPA) 협상 등을 거쳐 오는 3월 이내에 인수를 마무리한다는 계획이다. 23일 국제신용평가사 스탠더드앤드푸어스(S&P)는 보고서를 통해 “우리금융지주의 다올인베스트먼트 지분 인수 계획은 그룹의 비은행 부문 경쟁력 강화 전략에 부합한다”며 “다올인베스트먼트의 작은 자산규모를 고려할 때 이번 지분 인수가 그룹의 자본 적정성 및 리스크 프로파일에 미치는 영향은 제한적”이라고 평가했다."
2023-01-17,다올인베스트먼트 인수 우선협상대상자에 우리금융,"우리금융지주다올금융그룹이 다올인베스트먼트 매각을 위한 우선협상대상자로 우리금융지주를 선정했다.다올투자증권은 17일 우리금융지주와 다올인베스트먼트 지분 매각을 위한 양해각서(MOU)를 체결했다고 공시했다. 매각대상은 다올투자증권이 보유한 다올인베스트먼트 보통주식 52%다.양사는 조만간 실사를 진행해 1분기 중 모든 매각절차를 마친다는 계획이다. 매각 대금은 2000억대 초반이 될 것으로 알려졌다. 다올금융그룹은 “불투명한 금융시장에 선제적으로 대응하고 향후 새로운 성장동력을 확보하기 위한 사업재편의 일환으로 계열회사 매각을 결정했다”고 설명했다.다올인베스트먼트는 40여년 경력의 벤처캐피탈로 코스닥 상장사다. 2022년 3분기 기준 총자산규모는 3092억원, 자기자본은 2858억원, 운용자산(AUM)은 1조 4593억원이다."
2023-04-24,공통점 없이 줄줄이 하한가... 외국계 증권사의 ‘수상한 매도’,"24일 오후 서울 중구 하나은행 딜링룸의 모습. 이날 코스피 지수는 전거래일 대비 20.90포인트(0.82%) 하락한 2,523.50에, 코스닥 지수는 13.59포인트(1.56%) 내린 855.23에 장을 마쳤다./뉴스124일 주식시장에서 여러 종목이 큰 이슈 없이 하한가를 기록했다. 배경에는 외국계 증권사의 대량 매도가 있었던 것으로 나타나 한국거래소가 내용 검토에 나섰다.이날 코스피와 코스닥시장에서 다올투자증권, 삼천리, 대성홀딩스, 서울가스, 세방, 하림지주, 선광, 다우데이타의 주가가 전 거래일 대비 가격 제한 폭(-30%)까지 내린 하한가로 마감했다.CJ도 장중 한때 전 거래일 대비 28.15% 급락했다가 낙폭을 줄여 12.70% 내린 9만4900원에 거래를 마쳤다.이들 종목은 업종상 공통점이 없으나 모두 매도 상위에 외국계 증권사인SG증권이 오른 것으로 확인됐다.SG증권은 이날CJ를 19만7806주 순매도했고 다올투자증권(61만6762주), 삼천리(1만3691주), 대성홀딩스(1만1909주), 서울가스(7639주), 세방(12만1925주), 하림지주(191만 2287주), 선광(4298주), 다우데이타(33만8115주) 등도 대량 매도했다.이날 오전부터SG증권을 통한 대량 매도가 발생하자 시장에선 다양한 추측이 나왔다. 우선 외국계 증권사와 거래하는 특정 사모펀드에서 레버리지(대출)를 일으켜 일부 종목의 주가 상승에 베팅했다가 갑자기 주가가 하락하자 팔자 물량을 쏟아 냈다는 것이다. 거래량이 적고 신용잔액이 많은 종목에서 반대매매(융자 상환을 위한 강제 매각)가 발생했기 때문이다. 이날 하한가를 기록한 종목들은 5일 평균 신용융자 잔고율이 다올투자증권 14.27%, 삼천리 10.77%, 세방 12.29% 등으로 대부분 높았다. 또SG증권이 향후 이들 종목의 주가 하락을 예상해 대량 공매도에 나선 것 아니냐는 추측도 나왔다.한국거래소 관계자는 “오늘 발생한SG증권 주문이 정상적인 것인지 확인 중”이라고 했다."
