date,title,content
2024-12-20,"대신증권, 10번째 ‘종투사’로 지정될 듯","대신증권이 종합금융투자사(종투사) 지정을 눈앞에 뒀다.금융위원회 증권선물위원회는 지난 18일 제22차 회의에서 대신증권의 종투사 지정 안건을 통과시켰다. 오는 24일 금융위에서 최종 의결하면 모든 절차는 마무리되고, 대신증권은 10번째 종투사로 이름을 올리게 된다.종투사란, 중소기업 창업과 성장을 지원하고 기업의 해외 프로젝트 수행 시 종합적 금융 서비스 제공하기를 목표로 대형 증권사를 투자은행(IB)으로 육성한다는 취지로 마련한 제도다.자본시장법에 따르면 종투사는 3조원 이상의 자기자본 요건을 갖춘 증권사가 금융위에 지정 신청하면, 금융위는 신용 공여 업무 수행에 따른 위험 관리 능력, 내부 통제 기준 등 내용을 검토해 지정 여부를 결정한다.종투사가 되면 신용 공여 한도가 자기자본의 100%에서 200%로 늘어나고, 헤지펀드에 자금을 대출하는 프라임브로커리지 서비스도 할 수 있게 되는 등 영업 여건이 크게 좋아진다.금융 당국의 종투사 지정은 지난 2022년 키움증권 이후 2년 만이다. 현재 종투사는 미래에셋증권, 한국투자증권,NH투자증권, 삼성증권,KB증권, 메리츠증권, 하나증권, 신한투자증권, 키움증권 등 9곳이다."
2023-07-18,을지로 사옥 매각 나서는 대신증권...”자기자본 늘려 종투사 진입”,대신증권 본사 사옥 '대신343'.(대신증권 제공)대신증권이 서울 을지로 본사 사옥 ‘대신343(옛 대신파이낸스센터)’ 매각을 추진한다. 종합금융투자사업자(종투사) 자격 요건인 자기자본 규모 3조원을 넘기기 위해서다.18일 금융투자업계에 따르면 대신증권은 최근 주요 임원진이 참석한 경영회의에서 내년 상반기 중 종합금융투자사업자를 신청한다는 단기 경영목표를 정했다. 국내 61개 증권사 중 종투사 문턱을 넘은 곳은 9곳뿐이다.종투사 아닌 증권사 중 유일하게 자기자본이 2조원을 넘어서는 대신증권은 그동안 차기 종투사 진입 유력 후보로 꼽혔다. 올해 3월말 기준 약 2조300억원 규모다. 업계에서는 을지로 사옥의 매각 금액을 6000억~7000억원 가량으로 추정하고 있다.대신증권은 종투사 진입을 통해 사업을 다각화한다는 구상이다. 종투사로 지정되면 기업 신용공여 한도가 자기자본의 100%에서 200%로 늘어난다. 헤지펀드 운용 서비스를 제공하는 프라임브로커리지서비스(PBS)도 할 수 있다. 투자 목적이 아닌 외화 일반환전 업무도 가능해진다.대신증권 관계자는 “계열사 배당이나 보유 자산 일부를 시가평가하는 방식으로도 자기자본을 늘릴 계획”이라며 “자기자본이 3조원이 넘는 증권사와 그렇지 않은 증권사간 격차가 벌어지고 있다” 했다.
2023-06-08,"대신증권, 7일 이내 신용거래 이자율 0%로","업계 최초… 증권사들 합류할까대신증권이 단기 신용융자 금리를 0%로 낮추기로 했다. 업계 최초다. 증권가에선 다른 증권사들도 이런 움직임에 합류할 지 관심이 높아지고 있다.대신증권은 7일 개인 고객들이 가장 많이 사용하는 1~7일 단기 신용융자 이자율을 기존 연 5.75%에서 0%로 내린다고 밝혔다. 신용융자는 주식 투자를 위해 돈을 빌리는 것을 가리킨다. 90일 이상도 0.25%포인트 내린 연 9.5%를 적용하기로 했다. 대신증권은 “신용거래의 73%가 단기인 만큼 투자자들이 직접적인 혜택을 받을 수 있다”며 “단기이자율을 낮춰 신용거래 기간을 가급적 줄일 수 있도록 유도해 ‘장기 빚투(빚내서 투자)’로 인한 위험을 관리하는 효과도 나타날 것”이라고 했다. ‘빚투’ 확대 우려에 대해선 “신용 거래를 안 하던 투자자가 금리 인하로 거래를 하게 되는 사례는 적을 것”이라고 했다.증권사들의 신용융자 금리는 지난해 말 10%를 넘어섰다가 올 들어 기준금리가 동결되는 등 시장 상황이 바뀌면서 하향 조정되고 있다. 금융투자협회에 따르면 7일 대신증권을 제외한 증권사들의 단기 신용융자 금리는 평균 연 5.85%다. 개인 투자자들이 가장 많이 쓰는 비대면 계좌 단기 신용을 기준으로 하나증권이 연 7.9%로 금리가 가장 높고 미래에셋증권(연 7.5%), 유진투자증권(연 7.5%), 이베스트투자증권(연 7.45%) 등이 연 7%대다. 개인 고객이 가장 많은 키움증권은 연 5.4%다.한 증권사 관계자는 “신용융자 재원이나 이자율 책정 방식은 증권사별로 큰 차이가 없지만 최종 금리는 고객 유치 전략 등에 따라 결정한다”며 “따라서 0% 금리의 효과가 좋다면 다른 증권사 금리에도 영향을 미칠 수 있을 것”이라고 했다."
2024-07-18,대신증권 “체코 원전 덤핑 아냐...추가 수주 가능성도”,"체코 신규원전 예정 부지인 두코바니 전경. /한국수력원자력한국이 체코 신규 원전 건설 사업의 우선협상대상자로 선정된 것에 대해 “4호기 중 우선 2호기만 수주한 것은 아쉽지만, 수주 금액인 24조원은 예상보다 높은 가격”이라는 분석이 나왔다.허민호 대신증권 연구원은 18일 ‘체코 원전 우선협상대상자 선정은 해외 진출 본격화’라는 보고서를 통해 “(2기 수주액 24조원은) 지난해 12월 국내에서 발주한 신한울 3·4호기의 예상 공사비 11조7000억원보다 105% 많고, 언론 예상 금액인 15조원보다 60% 많게 수주한 것”이라고 밝혔다. 문경원 메리츠증권 애널리스트도 “2009년 아랍에미리트(UAE) 바라카 원전 당시 4기에 20조원이었던 것과 비교하면 기당 용량은 1.4GW에서 1.0GW로 작아지고, 기당 수주 규모는 커진 것이 특징”이라고 말했다.그래픽=김성규특히, 현지 원전 산업화 과정에서 밸류체인(ValueChain·가치 사슬) 부족, 인건비 증가, 다른 인허가 절차 등으로 해외 건설 시 들어갈 수 있는 추가 비용 증가 우려가 있었던 점을 감안하면, 충분한 예비비를 확보한 것으로 추정된다. 허민호 대신증권 연구원은 “저가 수주 우려는 완전히 해소될 수 있을 것으로 판단된다”고 했다.허 연구원은 4호기 중 우선 2호기만 수주한 것은 아쉽다고 했다. 그러나 추가로 체코 테멜린 지역 2기(3·4호기) 원전을 건설할 경우 한수원에 우선 협상권을 주는 옵션도 제공되어 있는 점을 감안하면, 크게 우려할 상황은 아니라는 분석이다. 금융조달금액 부담 등의 이유로 우선 2기만 나온 것일 수도 있다는 것이다. 그는 “정치적 영향력이 큰 유럽에서의 수주 성공은 가격 경쟁력, 공기 준수, 원전 밸류체인 지원 능력 등이 정치적 영향력보다 우위에 설 수 있음을 증명한 것”이라며 “앞으로 원전 건설의 가장 중요한 요소는 금융조달 가능성으로 예상되는데, K원전의 가격 경쟁력과 전략적 투자자 역할은 총 금융조달 금액을 낮추고, 대주단의 신뢰성을 확보할 수 있을 것”이라고 분석했다.권덕민 신영증권 연구원도 “현재 진행 중인 네덜란드, 폴란드 원전 수주에도 속도가 붙을 수 있을 것으로 예상한다”며 “글로벌 원전 수주 풀이 확대될 수 있는 기회가 될 수 있을 것”이라고 전망했다."
2023-03-30,대신증권 본격 ‘3세 경영’… 이사회 의장에 양홍석,"대신증권 창업주 3세인 양홍석(42·사진) 대신파이낸셜그룹 부회장이 대신증권 이사회 의장에 올랐다. 양 부회장 모친인 이어룡 대신파이낸셜그룹 회장은 의장에서 물러나면서 본격적으로 ‘3세 경영’ 체제에 돌입한다.대신증권 이사회는 지난 24일 정기 주주총회를 열고 양 부회장을 의장으로 선임했다고 29일 밝혔다. 이 회장은 2004년 남편인 고(故) 양회문 전 회장이 사망하자 바로 경영권을 이어받아 20년 가까이 대신증권 이사회 의장을 맡아왔다. 이 회장의 장남인 양 부회장은 현 대신증권 최대주주(10.19%)다.1981년생인 양 부회장은 서울대 경영학과를 졸업하고 2006년 대신증권에 입사, 지점 영업을 시작으로 기업금융과 법인영업, 자산운용 부문 등을 거치고 2014년 대신증권 사장, 2022년 부회장으로 승진했다."
2024-12-27,"지방 아파트도, 한국 주식도 손실... “국민만 아프다”","2024년 주요 자산별 성적표 분석美 주식은 2년 연속 20%대 상승[왕개미연구소]올해 자산시장에선 미국 기준 금리 인하 호재로 모든 자산 가격이 뛰는 ‘에브리싱 랠리(everythingrally)’ 현상이 나타났다. 일반적인 경제 이론을 뒤엎고, 안전자산인 금(金)과 위험자산인 가상화폐가 동반 상승하는 독특한 흐름이 이어졌다.전문가들조차도 정확히 앞을 내다보기 어려운 혼돈의 시기에 최고의 재테크 농사를 지은 자산과 최악의 자산은 무엇이었을까. 새해에 부자가 될 기회를 선점하고 싶다면, 올해 시장 판도에서 투자의 힌트를 얻어 전략을 짜야 한다.그래픽=조선디자인랩 한유진✅비트코인, 2년 연속 금메달27일NH투자증권이 주요 17개 자산을 분석한 자료에 따르면, 올해 압도적으로 높은 수익을 올린 자산은 비트코인이었다. 작년에 154% 올랐던 비트코인은 올 상반기에는 지루한 횡보세를 보였다. 하지만 트럼프 대통령 당선인이 ‘가산자산 대통령’을 자처하고 친(親)가상화폐 정책 공약을 내놓으면서 반전의 드라마를 썼다. 비트코인은 올해 136% 급등하면서 수익률 1위를 차지했다.수익률 2위는 42.2%의 성과를 올린KRX금(金)이었다.KRX금은 일반인이 금을 실시간 거래할 수 있는 현물 매매시장이다. 마치 주식처럼 증권사HTS·MTS를 통해 손쉽게 사고 팔 수 있다. 매매 차익은 비과세되며, 금융소득종합과세 대상에서도 제외된다는 것이 장점이다.3위는 미국 주식(S&P500)이었다. 작년에도 24% 넘게 올랐는데, 올해도 26% 넘게 오르면서 작년 성과를 뛰어 넘었다. 대장주인 애플은 인공지능(AI) 붐에 따른 아이폰 교체 수요 기대감 등에 힘입어 연일 사상 최고치를 경신 중이다. 미국 역사상 첫 ‘시가총액 4조달러’(약 5900조원) 문턱에도 바짝 다가섰다.기술주 중심의 나스닥지수는 지난 11일 사상 최고로 2만선을 넘었다./그래픽=박상훈강선우 미래에셋증권 수석매니저는 “지난 10년 간 미국 S&P500지수가 200% 상승하는 동안 한국 코스피지수는 20% 상승하는 데에 그쳤다”면서 “지금까지와 같은 한미(韓美) 증시 성과 차이는 앞으로도 계속될 것”이라고 예상했다. 미국은 생산의 3요소(노동력·기술·자본)에서 전부 우위를 점해 기업 성장을 위한 최적의 환경을 제공하는 곳이기 때문에 증시 상승도 이어진다는 설명이다.강선우 매니저는 “내년에도 ‘미국예외주의’가 지속될 수 있는 만큼, 현재 포트폴리오에서 한국 주식 비중이 높다면 미국으로의 지역 분산을 고려하라”고 권했다.✅올해 최악의 자산은 한국 주식17개 자산 중에서 올해 손실을 본 자산은 3개 뿐이었다. 이 중에서 2개가 한국 관련 자산이었다. 인구가 줄어드는 지방은 신규 공급이 계속되면서 미분양이 쌓이고 있다. 그 결과 올해 서울 아파트가 4.5% 상승한 동안, 지방 아파트 가격은 1.7% 떨어지면서 양극화 현상이 심해졌다.정보현NH투자증권Tax센터 부동산 수석연구원은 “서울 아파트는 지난 3월부터 상승폭을 확대했지만 그 이외 지역은 약세를 이어가면서 격차가 더 벌어지고 있다”면서 “내년에도 입지나 신축·구축 여부에 따라 상승·하락 지역이 상존하는 차별·국지화 장세가 이어질 것”이라고 말했다.그래픽=양인성원유(WTI)도 올해 2% 가량 하락했는데, 중국 등 주요국 경기 부진 우려가 확대되면서 원유 수요에 부정적인 영향을 미쳤다. 내년에도 원유 가격은 약세를 이어갈 전망이다. 26일 대한석유협회와 에너지정보청(EIA) 보고서에 따르면, 중동 지역 분쟁 완화와 더불어 주요 산유국 연대인OPEC+의 감산 가능성이 낮아지면서 유가가 약 10% 하락할 전망이다.올해 전세계 주요 자산 중 가장 나쁜 수익률을 기록한 건 한국 코스피지수였다. 24일까지 8% 하락해 17개 자산 중에서 꼴찌였다. 내수 부진에 계엄 사태 이후 정치 불안이 이어지고 원·달러 환율까지 1500원에 육박하면서 최악의 시절을 보내는 중이다. 이경민 대신증권 연구원은 “국내 정치 리스크가 투자심리 위축과 원화 약세 압력 증폭, 외국인 매도 압박을 잇는 악순환의 고리를 만들고 있다”고 말했다.그래픽=조선디자인랩 한유진주가 하락으로 한국 증시는 역사적 저평가 국면에 진입한 상황이다. 코스피지수의 밸류에이션(실적 대비 주가 수준)이 역대 최저 수준이다(위 그림 참고).27일 미래에셋증권에 따르면, 이달 말 기준 코스피지수의 12개월 선행 주가수익비율(12MFPER)은 7.8배다. 과거 5개년PER평균(10배)에 턱없이 모자란다. 내년 실적 전망을 감안하면, 코스피지수가 저평가됐다는 뜻이다. 반면 미국, 인도, 호주 등의 주요 시장은 12개월 선행PER이 5년 평균보다 높아 투자 심리가 과열된 상태다.하지만 주가수익비율(PER)과 같은 정량적인 수치가 절대적인 기준이 되긴 어렵다는 반박도 있다. 증권업계 관계자 A씨는 “가는 장이 더 가고 빠지는 장은 더 빠진다는 측면에서 보면, 매수 타이밍을 잡는 지표로 밸류에이션은 유효하지 않을 수 있다”고 말했다."
2023-01-26,"대신증권, 서울대병원에 어린이 의료지원 기금 전달","대신증권, 서울대병원 어린이 의료지원 발전기금 전달대신증권은 서울대병원에 어린이 의료지원을 위한 발전기금으로 5억원을 전달했다고 26일 밝혔다.발전기금은 어린이병원과 소아청소년과에서 어린이 환아들을 위한 진료환경 개선과 소아혈액종양 연구비로 사용될 예정이다. 이날 전달식에는 이어룡 대신파이낸셜그룹 회장, 양홍석 대신파이낸셜그룹 부회장, 김연수 서울대병원장이 참석했다.대신파이낸셜그룹은 지난 1996년부터 건국대, 전남대, 부산대 등에서 구순구개열 환아 수술비를 지원하는 등 소아의료 지원에 힘쓰고 있다. 2021년부터는 서울아산병원 어린이병원에 의료지원금을 전달하고 건강보험 적용을 받지 못하는 이른둥이 가정을 돕다.이밖에도 기업이윤의 사회환원이라는 경영철학 아래 매년 국민보건지원사업, 아동지원사업 등 사회공헌 활동을 이어오고 있다. 국립암센터 발전기금, 의료봉사 후원금, 소아암환우돕기 헌혈행사 등도 마찬가지다."
2024-12-27,"환율 한때 1487원...日 엔화 약세에도 증시 급등, 한국만 마이너스","27일 서울 김포국제공항 국제선 청사 환전소에 1달러를 살 때 1535원이 필요하다는 환율이 표시되어 있다. 이날 고시 환율은 달러당 1467.5원에 마감(오후 3시 30분 기준)했다. /연합뉴스정국 불안으로 달러화에 대한 원화 환율이 1500원 선에 근접하면서 한국 경제 위기감이 고조되고 있다. 한덕수 대통령 권한대행 탄핵소추안이 의결된 27일엔 장중 1487원까지 올랐다. 비상계엄 사태 이전 1402원이었던 환율은 정국 고비고비마다 상승하고 있다. 전 세계적인 달러화 강세에 정국 불안까지 겹치자 외국인 투자자들은 한국 증시에서 발을 빼고 있다. 아시아 주요국 증시가 상승할 때 한국 증시만 외면받고 있다.그래픽=백형선◇계엄 후 원화 가치 -4.4%27일 서울 외환 시장에서 달러 대비 원화 환율은 1467.5원에 마감(오후 3시 30분 기준)했다. 이날 환율은 오전 중 이재명 더불어민주당 대표가 한덕수 대행을 탄핵하겠다는 기자회견을 갖고, 최상목 경제부총리가 탄핵 재고를 요청하는 입장을 발표한 뒤에 급등, 장중 1487원까지 올랐다. 글로벌 금융 위기가 한창이던 2009년 3월 이후 15년 9개월 만에 가장 높은 수치다.국내 정치 상황만 최근의 환율 상승을 자극하고 있는 것은 아니다. 도널드 트럼프 미 대통령 당선인이 관세장벽을 높이겠다고 예고한 데다, 미 연방준비제도가 내년 기준금리 인하 속도를 늦추겠다는 입장을 밝힌 뒤 달러화는 유로·엔·위안 등 주요 국 통화를 상대로 ‘나 홀로 강세’를 보이고 있다.하지만 최근 원화 가치 하락엔 국내 요인이 더 크게 작용했다. 이달 초까지만 해도 1402원이었던 환율은 윤석열 대통령이 비상계엄을 선포한 직후 1425원으로 뛰었다. 탄핵안 1차 표결이 무산된 후 첫 거래일에 1437원으로 상승했다. 잠시 숨죽이던 환율은 한 대행 탄핵소추안이 통과되면서 1500원 선에 가까워졌다.계엄 사태 이후 미 달러화에 대한 원화 가치는 총 4.4% 추락했다. 같은 기간 유로(-1%), 영국 파운드(-1.1%), 중국 위안(-0.2%), 대만 달러(-0.3%)의 낙폭보다 크다. 이 기간 엔화(-5.2%)만 우리보다 약세 폭이 컸다. 우에다 가즈오 일본은행(BOJ) 총재가 내년 1월 금리 인상에 대한 언급을 피해, 금리 인상이 멀어졌다고 투자자들이 판단하고 있기 때문이다.김정식 연세대 명예교수는 “대행 사태가 앞으로 어디까지 갈지, 헌법재판소 결정은 언제 날지, 수출 호조세가 지속될 수 있을지에 따라 환율이 계속 요동칠 것”이라며 “환율 안정에 도움이 되는 뉴스가 많지 않아 우려된다”고 했다.그래픽=백형선◇국내 증시, 나 홀로 하락이날 증시는 일제히 하락했다. 코스피는 전 거래일 대비 1.02% 하락한 2404.77, 코스닥은 1.43% 떨어진 665.97에 거래를 마쳤다. 코스피는 장중 2388.33까지 떨어지며 2400 선을 내주기도 했다. 외국인과 기관 투자자가 코스피에서 각각 1730억원, 1150억원어치를 순매도했다. 외국인은 이날을 포함해 비상계엄 사태 이후 총 3조4150억원을 순매도(판 것이 산 것보다 많음)했다. 국내 정치 불확실성을 우려한 외국인들이 한국 증시에서 돈을 빼가고 있는 것이다.반면 한국처럼 통화가치 약세를 겪고 있는 일본 증시의 상황은 다르다. 일본 대표 증시인 닛케이평균은 이날 전 거래일 대비 1.8% 상승한 4만0281.16에 거래를 마쳤다. 지난 7월 말 4만 선이 무너진 이후 5개월여 만에 4만 선을 회복한 것이다. 니혼게이자이신문은 “강달러로 엔화 약세가 이어지면서 수출 관련주를 중심으로 매수세가 확산됐다”고 분석했다. 똑같은 달러 강세에 노출됐지만, 일본은 엔화 약세가 수출 기업 수혜라는 호재로 부각되는 반면, 한국의 원화 약세는 정치 리스크에 가려진 것이다.지난 3일 윤석열 대통령의 비상계엄 선포 이후 코스피는 27일까지 3.8% 하락했다. 같은 기간 일본 닛케이(2.6%), 중국 상하이종합(0.6%), 홍콩 항셍(1.7%), 대만 가권(1.1%) 등 아시아 주요 증시가 상승한 것과 대조적이다.이경민 대신증권 연구원은 “국내 정치 리스크가 투자 심리 위축과 원화 약세 압력 증폭, 외국인 매도 압박을 잇는 악순환의 고리를 만들고 있다”고 했다."
2024-12-16,"불확실성 시대, 재테크 비책 알려줍니다","[2025 재테크 박람회] 일대일 상담 부스 들르세요‘2025 대한민국 재테크 박람회’에선 중·장년층의 관심이 많은 전원생활용 부동산과 건강을 주제로 한 이색 세미나도 만날 수 있다. 전원주택과 농막 쉼터, 이동식 주택 컨설팅으로 유명한 건축사 성진용 퍼스트디앤씨 대표가 20일 오후 12시 10분 시작되는 강연에서 각종 궁금증을 해결해 줄 예정이다. 성 대표는 명지대 부동산 대학원 객원교수 출신으로 부동산 종합 미디어 조선일보 ‘땅집고’ 아카데미에서 관련 강의를 진행한 적 있다. 성 대표는 전원생활을 꿈꾸는 사람들에게 어떤 선택지가 있는지 알아보고, 투자 사기를 당하지 않으려면 어떤 점들을 주의해야 하는지 소개할 예정이다. 그는 “농촌 생활의 모든 정보를 알려 드리겠다”며 “안전하고 합법적으로 자연 속 힐링 하우스를 완성해 보라”고 했다.그래픽=송윤혜세미나를 들은 뒤 생긴 궁금증을 풀 수 있도록 다양한 상담 부스도 준비되어 있다. 우리금융그룹 부스에선 세무와 자산 관리, 카드 등과 관련해 전문가와 일대일 상담을 할 수 있다. 대신증권 부스에선 연금 컨설팅 전문가가 상담을 돕는다. 세무법인 다솔도 현장에서 무료 상담 부스를 운영한다. 여기서 상담받고 다솔에서 정식 상담을 받으면 상담료를 30% 할인해 준다. 소유한 집을 담보로 평생 연금을 받을 수 있는 ‘주택연금’이 궁금하다면 한국주택금융공사 상담 부스를 방문해 보자.2전시관의 갤럭시아머니트리 부스는 방문만 해도 5000원의 캐시가 적립된 실물 카드를 받을 수 있다. 매일 선착순 1000명에게 제공된다. 머니트리 캐시는 현금처럼 사용 가능하다. 현장에서 머니트리 앱을 다운받고 카드 등록을 인증하면 휴대전화 그립톡도 증정한다(하루 1000명 선착순). 생성형 인공지능(AI)검색을 서비스하는 스타트업 ‘뤼튼테크놀로지스’ 부스에선 앱 설치를 인증한 방문객에게 행운의 기념품을 증정한다.2025 대한민국 제테크 박람회"
2024-12-04,"비상 계엄 사태 여파에 코스피, 1.97% 급락 출발","45년만의 비상계엄 사태로 정치적 불확실성이 증폭되면서 코스피 지수가 4일 2% 가까이 하락해 출발했다.윤석열 대통령이 비상계엄을 선언했다 국회의 의결로 계엄을 해제한 4일 오전 서울 중구 하나은행 딜링룸 전광판에 이날 거래를 시작한 코스피, 원/달러 환율, 코스닥 지수가 표시돼 있다 /연합뉴스4일 한국거래소에 따르면, 이날 코스피는 전 거래일보다 1.97% 하락한 2450.76으로 거래를 시작했다. 오전 9시 10분 기준 외국인은 1200억원어치를 순매도(매도가 매수보다 많은 것)하고 있고, 기관과 개인은 각각 1040억원, 130억원을 순매수하고 있다. 국내 시가총액 상위 종목들도 대부분 하락세다. 삼성전자는 전 거래일 대비 0.93% 하락한 5만3100원에 거래 중이고,SK하이닉스는 0.06% 상승한 16만5000원에 거래되고 있다.LG에너지솔루션(-1.64%), 삼성바이오로직스(-0.62%) 등도 하락 거래 중이다.코스닥 역시 전 거래일 대비 1.91% 하락세로 출발했지만, 이후 낙폭을 소폭 줄이면서 오전 9시 15분 기준 1.5% 하락한 680.23에 거래중이다.원 달러 환율도 이날 외환시장 개장 직후 급등했다. 이날 오전 9시 서울외환시장에서 원·달러 환율은 전날(주간거래 종가)보다 15.2원 오른 1418.1원에 상승 출발했다.시장에서는 향후 국내 정치적 불확실성 확대로 인해 단기적인 증시 변동성은 불가피하다는 분석이 나온다. 한지영 키움증권 연구원은 “한국 고유의 정치 불확실성이 증폭된 상태이므로 향후 단기적으로 국내 증시의 변동성 확대를 감내해야할 것”이라고 했다. 이경민 대신증권 연구원도 “금융시장은 단기 변동성 확대를 경계한다”며 “비상계엄 선포 직후 해제하면서 환율, 야간 선물 시장 등 낙폭을 축소했다는 점을 고려할 때 금융시장 충격 강도는 제한적일 것”이라고 했다."
