date,title,content
2024-12-18,김보현 대우건설 사장 “안전 최우선으로 내실 경영”,"지난 17일 대우건설 본사에서 열린 대표이사 취임식에서 김보현 신임 대우건설 사장이 사기를 흔들고 있다. /대우건설김보현 대우건설 신임 대표이사(사장)가 안전을 최우선으로 수익을 극대화하고 리스크를 줄이겠다는 목표를 밝혔다.대우건설은 지난 17일 서울 중구 대우건설 본사에서 열린 대표이사 취임식에서 김 대표가 ‘안전 최우선 문화’를 바탕으로 당면한 건설업 위기를 타개하기 위해 내실 있는 경영 기조로 시장 불확실성에 대응하자고 제안했다고 18일 밝혔다.또 빌딩정보모델링(BIM)과PC공법 등 스마트건설 기술을 활용해 건축물 설계, 시공, 유지관리까지 전 과정에서 생산성과 효율성을 높여 업계를 선도하겠다는 포부도 밝혔다. 건설 외의 신사업 분야도 구체화해 신성장 동력도 확보할 계획이다. 김 대표는 “100년 기업으로 도약하기 위해 수평적 조직 문화를 조성하고, 팀·본부 간 신뢰와 협력을 바탕으로 한 적극적이고 능동적인 협업체계를 갖춰야 한다”고 강조했다.정원주 대우건설 회장은 격려사에서 “김 대표는 대우건설 인수합병(M&A) 과정을 총괄하며 두 회사가 강력한 시너지를 창출할 수 있도록 이끌었고, 부드러우면서도 강한 리더십의 소유자”라며 “앞으로 그의 리더십 아래 전 직원이 소통하고 협력해 더욱 우수하고 혁신적인 글로벌 건설사로 도약할 것을 확신한다”고 밝혔다.대우건설은 앞으로 정 회장과 김 대표가 호흡을 맞춰 해외 시장의 3대 핵심 권역으로 꼽히는 북미, 아프리카, 동남아시아 개발사업을 적극 추진할 계획이다. 동시에 투르크메니스탄, 체코 등 신시장 개척에도 나서 사업 포트폴리오를 더욱 다각화·고도화하겠다는 방침이다."
2024-11-06,[경제계 인사] 대우건설 신임 대표 김보현 외,"대우건설 신임 대표 김보현대우건설은 신임 대표이사로 김보현 총괄부사장을 내정했다고 5일 밝혔다. 김 신임 대표는 2021년 대우건설 인수단장을 맡아 중흥그룹의 대우건설 인수를 총괄했다.한전KDN신임 사장 박상형한전KDN은 신임 사장으로 박상형 전 한국수력원자력 관리본부장이 취임했다고 5일 밝혔다. 또 한국남동발전에는 강기윤 전 의원, 남부발전에는 김준동 전 대한상의 부회장, 동서발전에는 권명호 전 의원이 각각 사장에 취임했다."
2024-10-22,"삼성물산·대우건설, 兆단위 해외 사업 잇단 수주","각각 튀르키예·투르크메니스탄서고속도로·비료 공장 건설 공사삼성물산과 대우건설이 해외에서 잇따라 고속도로·플랜트 건설 수주에 성공했다.삼성물산 건설 부문은 총사업비 16억달러(약 2조원) 규모의 튀르키예 고속도로 투자 운영 사업을 수주했다고 21일 밝혔다. 삼성물산은 한국도로공사, 한국해외인프라도시개발지원공사(KIND), 정부 정책 펀드인PIS펀드와 컨소시엄을 꾸렸다. 이스탄불 나카스와 바삭세히르를 연결하는 31.3㎞ 구간에 4∼8차로 고속도로를 건설하는 사업으로 2027년 준공이 목표다. 삼성물산은 고속도로 건설 때 설계와 조달을 담당하며, 공사 수주액은 2600억원이다. 또한 지분 투자를 통해 고속도로 준공 후 15년 동안 발생하는 통행 매출 중 일부를 수익으로 가져갈 수 있다.대우건설도 이날 투르크메니스탄에서 약 1조원 규모의 미네랄 비료 공장 프로젝트를 수주했다고 밝혔다. 투르크메니스탄 화학공사가 발주한 이 프로젝트는 수도 아시가바트에서 동쪽으로 약 450㎞ 떨어진 제2 도시 투르크메나밧에 연산 35만t의 인산비료와 연산 10만t의 황산암모늄 생산 설비와 부대 시설을 건설하는 사업이다. 대우건설이 중앙아시아에 진출한 것은 이 사업이 처음이다. 대우건설 관계자는 “석유화학과 비료 관련 추가 수주를 모색하고, 신도시 개발 같은 신규 사업도 발굴할 계획”이라고 했다."
2024-09-30,"정진행 전 현대건설 부회장, 대우건설 부회장으로","정진행 대우건설 부회장./조선DB정진행 전 현대건설 부회장이 10월부터 대우건설 부회장으로 건설업계에 복귀한다.30일 대우건설 등에 따르면, 정 전 부회장은 10월 2일부터 대우건설에서 부회장으로 업무를 시작한다. 정 부회장은 정원주 대우건설 회장을 도와 해외사업 부문 고문 역할을 할 것으로 알려졌다.정 부회장은 대학 졸업 후 1979년 현대건설에서 사회생활을 시작했고, 이후 현대자동차 중남미지역본부장, 기아자동차 아태지역본부장·유럽총괄본부장, 현대자동차 전략기획담당 사장 등을 지냈다. 2019년 현대건설 부회장에 오른 뒤 이듬해 말 ‘40년 현대맨’을 마감했다.대우건설 관계자는 “해외사업 경험이 풍부해 글로벌 수주 활동 등에 도움이 될 것으로 기대한다”고 말했다."
2024-09-24,"[부동산 100자 정보] 대우건설 , 체코 원전 예정지에 소방차 기증","대우건설은 정원주 회장이 지난 19일 체코 신규 원자력발전소 예정 지역인 트레비치를 방문해 소방차를 기증하고 오찬 행사에 참석했다고 23일 밝혔다. 사진은 체코 트레비치에서 열린 소방차 기증식에서 참석자들이 기념 촬영하는 모습. /대우건설대우건설은 정원주 회장이 지난 19일 체코 신규 원전 건설 예정지인 두코바니 인근 트레비치시(市)를 방문해 소방차 1대를 기증하고, 순조로운 원전 계약을 위한 지역 주민의 응원을 부탁했다고 23일 밝혔다. 대우건설 관계자는 “소방 시설이 부족해 화재 발생 때 대처가 어렵다는 주민 의견을 듣고 첫 지역 상생 활동으로 소방차 지원을 결정했다”고 했다."
2024-08-27,"[부동산 100자 정보] 대우건설, 베트남 끼엔장 신도시 사업 추진 외","대우건설, 베트남 끼엔장 신도시 사업 추진대우건설이 베트남 타이빈성(省)에서 ‘끼엔장 신도시 개발 사업’ 투자자로 승인받아 사업을 본격 추진한다고 26일 밝혔다. 베트남 수도 하노이에서 남동쪽으로 120㎞쯤 떨어진 타이빈시 일대에 약 96만3000㎡ 규모로 신도시를 조성하는 사업이다. 대우건설은 전체 지분의 51%를 갖고, 내년부터 2035년까지 약 3억9000만달러(약 5200억원)를 투자할 계획이다.GS건설·KAIST,협력 관계 구축 양해각서GS건설이 지난 22일 한국과학기술원(KAIST)과 ‘스마트시티 기술 선도 역량 상호 발전을 위한 협력 관계 구축’ 양해각서를 체결했다. 두 기관은KAIST내 연구 센터를 설립, 데이터 수집을 시작으로 스마트시티 구축과 관련한 연구를 진행할 계획이다.GS건설 관계자는 “도시 구성원 삶의 질 향상에 중점을 둔 미래 도시 개발을 추진해 나갈 것”이라고 했다."
2024-12-30,합리적 분양가… 삼성D 아산캠퍼스 배후단지,"[분양 단지 입체 분석] 탕정 푸르지오 센터파크 1416가구다음 달 2일 1순위 청약을 접수하는 충남 아산시 '탕정 푸르지오 센터파크'는 합리적인 분양가와 일자리가 풍부한 첨단 산업 단지의 배후 주거지로 주목받고 있다. /대우건설대우건설이 지난 27일 충남 아산시 탕정면에서 ‘탕정 푸르지오 센터파크’ 분양을 시작했다. 아산 탕정테크노 일반산업단지 C1블록 일원에 들어서는 이 단지는 지하 2층~지상 29층 16동(棟)에 전용면적 59~136㎡ 총 1416가구 규모로 조성된다. 실수요자들이 가장 선호하는 전용 84㎡가 전체 물량의 65%(915가구)를 차지한다. 분양가 상한제가 적용되는 공공택지에 들어서는 단지로 3.3㎡당 평균 분양가는 1340만원이다. 건설 원자재 가격 인상으로 수도권과 지방 가리지 않고 분양가가 치솟은 상황에서 합리적인 가격으로 신축 대단지에 내 집 마련을 할 기회여서 수요자들의 관심이 쏠린다.그래픽=김성규◇합리적 분양가의 ‘푸르지오’ 브랜드 타운탕정 푸르지오 센터파크는 작년 말 분양해 조기 완판된 ‘탕정 푸르지오 리버파크’와 맞붙어 있어 총 3042가구 규모의 ‘푸르지오’ 브랜드 타운으로 조성된다. 단지는 입주민들의 생활을 편리하게 해줄 다양한 설계가 적용된다.단지 전체를 남향 위주로 배치해 일조권과 조망권을 극대화했다. 소형 평형인 전용면적 59㎡에도 안방 드레스룸이 조성되며, 전용면적 84㎡A에는 알파룸이 조성돼 다양한 공간 활용이 가능하다. 소나무와 계절별 꽃나무 등 단지 조경에도 신경을 썼다. 약 2000㎡에 이르는 넓은 잔디 마당과 1km의 순환 산책로, 다양한 주제를 가진 어린이 놀이터 등도 들어선다.피트니스 센터와 골프클럽 같은 운동 시설, 어린이집과 다함께돌봄센터 등 육아 시설이 마련된다. 독서실과 스터디룸, 게스트하우스 등도 조성된다. 가구당 1.37대의 널찍한 주차 공간도 마련된다.단지가 들어서는 아산시 탕정면 일대는 농어촌 특별 전형에 지원할 수 있고, 천안 불당동 일대 학원가를 편리하게 이용할 수 있다. 단지 바로 옆에는 내년 개교 예정인 아산갈산중 부지가 있다. 삼성고와 충남외고 등 지역 명문 학군으로의 통학도 편리하다.◇삼성디스플레이 캠퍼스 배후 주거지단지는 삼성디스플레이 아산캠퍼스가 있는 아산디스플레이시티 1·2단지의 대표적인 배후 주거지로 꼽힌다. 삼성을 비롯해 여러 우량 기업이 입주한 첨단 산업 단지로 편하게 통근할 수 있는 ‘직주근접(職住近接)’ 단지다.대중교통으로는 1호선 배방역이 가깝고,KTX와SRT가 정차하는 천안아산역을 통해 서울역, 수서역까지 40분대 이동이 가능하다. 아산시 주요 도로인 이순신대로가 가깝고, 지난해 9월 개통한 아산~천안 고속도로를 통해 주변 지역으로 빠르게 이동할 수 있다. 천안아산역 주변의 이마트 트레이더스, 갤러리아 백화점, 모다아울렛 등 대형 쇼핑 시설을 비롯해 천안시청과 아산시청 주변의 생활 인프라를 동시에 누릴 수 있다.탕정 푸르지오 센터파크는 이달 31일까지 특별공급, 다음 달 2일 1순위 청약을 접수한다. 총 807가구가 배정된 특별공급은 이전기관(산업단지) 종사자, 기관 추천, 다자녀가구, 신혼부부, 생애최초, 노부모부양 등이 있다. 전국 청약이 가능한 1순위는 청약통장 가입 6개월 이상, 지역별 예치금 조건을 충족한 만 19세 이상은 누구나 신청할 수 있다. 대우건설 관계자는 “삼성디스플레이 캠퍼스의 배후 주거지로 전국 청약 접수가 가능하고, 분양가 상한제가 적용되는 만큼 실수요자들의 관심이 높을 것으로 기대한다”고 했다. 견본주택은 충남 아산시 배방읍 연화로 90 일원에 있다."
2024-05-10,"대우건설, 본사 직원 ‘최장 2개월’ 유급 휴직","일부선 “건설 업황 악화 여파”대우건설이 본사 직원 1200여 명에게 최장 2개월 유급 휴직을 주기로 했다. 휴식을 통해 재충전 기회를 제공하겠다는 취지다. 하지만 일부에서는 “건설 업황 악화 여파로 인한 비용 줄이기”라는 해석도 나온다.9일 건설 업계에 따르면 대우건설 노사는 전날 이 같은 내용의 ‘리프레시 휴직’ 제도를 앞으로 1년 동안 시행하기로 합의했다. 본사 직원 1500명 중 필수 인력 20%를 제외한 인원이 1개월(희망 시 최장 2개월)간 휴직하고 기본급의 50%를 받는 안이 유력하다. 대우건설은 세부 사항을 확정해 이번 주 중 공지할 예정이다.유급 휴직제 도입에 대해 업계에선 “최근 공사 일감이 줄어든 상황에서 비용을 줄이려는 것”이라는 해석이 나온다. 대우건설의 올해 1분기 연결 기준 매출은 2조4873억원, 영업이익은 1148억원이다. 작년 1분기와 비교해 매출은 4.6%, 영업이익은 35% 감소했다. 대우건설을 비롯한 건설 업계 전체 실적이 최근 악화하는 추세다. 대우건설 관계자는 “공사 현장 근로자는 유급 휴직 대상에 포함되지 않는 데다, 인건비 절감 효과도 연간 60억~70억원 수준”이라며 “올해 전 직원 임금도 3.5% 인상하기로 노사가 합의한 만큼, 리프레시 휴직을 비용 절감으로 해석하는 것은 무리다”라고 했다."
2023-12-27,대우건설 해외수주 목표 초과달성... 중장기 성장기반 마련,"대우건설이 올해 상반기 2조1100억원이 넘는 해외 수주 실적(누계)을 기록했다. 연간 수주 목표인 1조8000억원을 넘는 수치다.27일 건설업계에 따르면, 대우건설은 올해 2월 나이지리아 ‘카두나 정유시설 긴급 보수 공사(KadunaRefineryQuickFixPJ)’를 약 7255억원에 수주했다. 이어 3월에도 리비아에서 약 1조500억원 규모의 패스트트랙 발전 공사 계약을 체결했다. 연간 수주 목표를 이미 1분기에 달성한 셈이다.여기에 지난 6월 26일 수주한 나이지리아 인도라마 비료공장 3호기(약 3427억원)까지 합하면, 상반기에만 2조1182억원의 수주 실적을 거뒀다. 인도라마 비료공장은 1·2호기도 대우건설이 수주했다. 인도라마 비료공장은 대우건설이 나이지리아 시장에서 구축한 독보적 경쟁력을 입증했다는 평가가 나온다. 대우건설 관계자는 “앞선 공사를 성공적으로 수행하며 얻은 신뢰를 바탕으로 발주처로부터 수의계약 형태로 수주했다”고 말했다.대우건설 정원주 회장이 지난 2월 오만 두쿰 정유시설 건설현장을 살펴보고 있다.대우건설은 리비아 재건사업, 사우디아라비아 네옴시티 프로젝트 등 수주도 추진하고 있다. 중앙아시아라는 ‘신(新)시장 개척’에도 속도를 내고 있다. 정원주 대우건설 회장은 작년부터 나이지리아·베트남·필리핀·투르크메니스탄·우즈베키스탄의 정상급 지도자들을 연달아 만나고 있다. 글로벌 수주 확대를 위해 직접 발로 뛰며 ‘영업맨’ 역할을 자처하고 있다. 지난 5월 오만 두쿰 정유시설 건설현장을 방문해 중동시장 수주 전략을 직접 점검하고 현장 임직원을 격려했다. 또 투르크메니스탄을 방문해 국가최고지도자 겸 인민의사회의장과 대통령을 잇달아 예방했다. 비료공장 건설사업에 대한 진행사항을 논의하고 현지에서 추진 중인 신도시 개발사업에 대한 참여의사도 전달한 바 있다.대우건설 관계자는 “정 회장을 주축으로 해외 주요 정상급 지도자와의 면담에서 회사의 신뢰도와 협상력을 끌어올리고 있다”면서 “이는 신규 시장을 개척하고 거점시장의 저변을 확대하는 것으로 이어지고 있다”고 말했다.대우건설은 해외시장 확대를 통해 사업포트폴리오를 다변화하고 중장기 성장을 위한 토대를 마련하고 있다. 대우건설 관계자는 “금리와 원자재가격, 인건비 등의 급격한 인상으로 국내 건설시장의 불확실성이 높아지고 있는 가운데 해외 수주에서 괄목할만한 성과를 거뒀다”며 “다양해진 포트폴리오 구성을 통해 글로벌 시장의 대표 건설기업으로 성장하겠다”고 강조했다."
2024-12-26,"내년 상용화한다던 ‘하늘 택시’, 전용 배터리 없어 못 뜬다","업체 다수UAM비행 실증 못 해2025년 상용화를 외치며 야심 차게 출발했던 ‘한국형 도심항공교통(UAM)’ 사업의 성과가 제로(0)에 가까운 것으로 나타났다. 지난 2020년 문재인 정부는 ‘2024년 비행 실증, 2025년 상용 서비스 최초 도입, 2030년 본격 상용화’를 계획으로 내세운 ‘K-UAM로드맵’을 발표했다. 당시 정부는 “하늘을 나는 자동차의 출현이 현실화돼, 수도권 기준 출퇴근 시간과 사회적 비용이 70% 줄어든다”며 대대적 홍보에 나섰다.그래픽=김하경그러나 25일까지 1차 목표였던 2024년까지의 비행 실증은 결국 이뤄지지 않았다. 자연히 2025년 상용화 얘기도 자취를 감췄다. 이에 대해 주관 부처인 국토교통부는 “글로벌 선두 업체들의 인증 작업이 늦어지는 등 산업 자체의 개화가 늦어지고 있다”고 했다. 그러나 신산업 분야에서 있는 초기 지연으로 보기 어렵다는 지적도 만만찮다. 업계에선 배터리 문제 등에 따른UAM의 현실 구현 가능성, 경제성 부족 등을 거론하며 “정부의 당초 예상보다 현저하게 사업성이 떨어질 가능성이 있다”는 목소리가 나온다.정부는K-UAM로드맵에 따라 지난해 초 업체 43곳을 참여시켜 ‘그랜드 챌린지’란 이름의 민관 합동 사업을 본격화했다.SKT,현대차, 롯데, 카카오, 대우건설,UAM산업기술연구조합 등 업체들이 6팀으로 나뉘어 사업을 시작했다. 버티포트(수직 이착륙장) 구축, 5G 통신 등을 통한 교통 관리, 승객용 엔터테인먼트 서비스 등 인프라를 구축해 시장을 선도하겠다는 계산이었다.그러나 이는UAM의 핵심인 기체(eVTOL·전기식 수직 이착륙기)가 준비됐을 때 가능한 일이다. 2020년 정부는 해외UAM업체, 컨설팅 회사 등의 주장을 인용하며 미국, 유럽 업체들의 미FAA(연방항공청) 등 인증 획득이 조만간 이뤄지고 산업이 개화할 것이라고 했다. 그러나 현재까지FAA의 인증 획득을 완료한 업체는 없다. 정부 로드맵 작성에 관여했던 한 인사는 “2020년 당시 전기차 테슬라의 성공으로 모든 산업에 ‘전기 붐’이 불었다”며 “탄소를 내뿜지 않는 것에 대한 대규모 투자가 이뤄졌고 그 선두에UAM이 있었던 것”이라고 했다.전기차의 성공으로 항공 분야에도 전기 운송 수단의 핵심인 배터리 적용이 곧 이뤄질 것으로 예측했던 것인데 이는 만만찮은 작업이었다. 한 업계 전문가는 “주로 4~6인이 타는eVTOL을 띄우려면 전기차 배터리의 7배 출력을 내는 배터리가 필요하다”며 “출력을 높이면 배터리 셀(cell)을 늘려야 하고 무거워지는 게 문제”라고 했다.더 큰 문제는 시간이 흐르면서 나타나는 배터리 열화(성능 저하) 현상이다. 자동차보다 더욱 가혹한 운행 상황에 직면하는 하늘에서의 운항은 배터리 성능을 크게 저하시키는데, 이에 대한 해답을 찾기도 쉽지 않다. 국내 한 배터리사 관계자는 “UAM전용 배터리를 만들려면 전기차 분야에 투자된 만큼의 연구와 새 시설이 필요하다”고 했다.일각에선 이미 글로벌 선두 업체인 미국 ‘조비(Joby)’ 등이 비행 실증에 성공했다는 반박도 있다. 지난 14일SKT와 한화시스템이 중심이 된 드림팀이 조비의 기체를 들여와 전남 고흥에서 비행 시연을 하기도 했다. 그러나 이 같은 일회성 비행은 하루에도 수차례 1년 이상 운항을 지속하는 상용화 단계 비행과는 차원이 다르다는 게 전문가들 견해다.상황이 이렇다 보니 국내 대기업들도 투자에 난색을 보이고 있다. 민관 합동 사업 초기 양대 축이라고 불렸던 카카오가 주관 사업자에서 참여 사업자로 변경하면서 역할을 대폭 축소했고,SKT와 한화도 투자를 줄이는 방향을 검토하고 있다. 6팀 중 하나였던 대우건설·제주항공 컨소시엄은 참여를 철회했다. 자금 리스크가 불거진 롯데도 사업 진행이 쉽지 않을 것이란 말이 나오고 있다.UAM법인 슈퍼널을 미국에 설립한 현대차는 2028년 기체를 내놓는다는 계획을 세웠지만, 원천 기술 등을 갖고 있는 건 아니어서 어려움을 겪는 것으로 전해졌다. 국토부는 이에 대해 “사업의 옥석 고르기 단계가 진행되는 것”이라며 “내년 말쯤 미국 조비가FAA인증에 성공하면 상황이 달라질 것”이라고 했다.☞UAM(도심항공교통)도심(Urban)의 상공(Air)을 운항하는 교통수단(Mobility). 기체인 전기식 수직 이착륙기(eVTOL·electricverticaltake-offandlanding)가 수직 이착륙장(vertiport)을 오간다."
