date,title,content
2024-10-04,"대한전선, 싱가포르서 8400억원 초고압 전력망 사업 수주...역대 최대 규모","대한전선은 싱가포르전력청과 총 8400억원 규모 400kV(킬로볼트) 초고압 전력망 공급 계약을 체결했다고 4일 밝혔다. 이는 지난해 대한전선 매출(2조8440억원)의 30%에 해당하는 금액으로, 대한전선이 국내외에서 수주한 프로젝트 중 규모가 가장 크다.대한전선이 싱가포르에서 400㎸ 프로젝트를 수행하는 모습. /대한전선이번 프로젝트는 현지에서 사용하는 가장 높은 전압인 400kV초고압 지중 전력망을 싱가포르 전역에 구축하는 사업이다. 인공지능(AI) 데이터센터 확대 등으로 급증하고 있는 전력 수요에 안정적으로 대응하기 위해 싱가포르전력청이 상당 기간 준비해 왔다. 대한전선은 전력망 설계부터 생산, 포설, 접속, 시험까지 일괄 담당하는 ‘턴키’ 방식으로 사업을 수행할 계획이다. 송종민 대한전선 부회장은 “기술 및 품질 검증이 까다로운 싱가포르에서 사업을 수주하는 것은 기술, 품질, 서비스 등 모든 면에서 경쟁력을 갖췄음을 보여주는 것”이라고 말했다."
2024-07-26,"대한전선, 美서 1900억원 역대 최대 수주","동부지역 노후 전력망 교체 사업美공략해 올해만 5200억원 따내대한전선이 미국에서 케이블 포설을 준비하고 있다. /대한전선국내 2위 전선 업체인 대한전선이 미국에서 역대 최대 수주에 성공했다.25일 대한전선은 미국 동부에서 1900억원 규모의 장기 계약을 체결했다고 밝혔다. 대한전선이 미국에서 수주한 프로젝트 중 가장 큰 규모다. 대한전선은 동부 지역의 노후 전력망을 교체하는 프로젝트에 138kV(킬로볼트), 345kV급 케이블과 접속재 등 초고압 전력망 자재를 공급한다.대한전선은 최근 미국에서 잇따라 수주 실적을 올리고 있다. 미국의 전력망은 절반 이상이 교체 시기인 40년을 넘어선 것으로 알려졌다. 여기에 더해 최근 인공지능(AI)과 반도체 수요로 전력 사용량이 급증하면서 노후 전력망 교체 수요가 크게 확대되고 있다. 대한전선이 이 같은 시장을 공략하고 있는 것이다.이번 수주를 포함해 대한전선은 올해 미국에서만 약 5200억원의 신규 수주를 올렸다. 대한전선 역대 최대 성과인 2022년(4000억원)을 이미 넘기며 올해 최대 실적을 기록할 것으로 기대하고 있다. 대한전선 관계자는 “기술과 품질, 안정성 등을 까다롭게 검증하는 미국에서 다수의 프로젝트를 수주한 것만으로도 회사의 기술력과 경쟁력이 검증된 것”이라며 “더 많은 사업 기회를 발굴해 국가 경쟁력 강화에도 기여하겠다”고 밝혔다."
2024-06-19,올해만 美서 3300억원… 대한전선 실적 새로쓸까,"또 1300억원 전력망 교체 수주대한전선이 미국에서 케이블 포설을 준비하고 있다. /대한전선대한전선은 최근 미국에서 총 1300억원 규모의 전력망 교체 사업을 수주했다고 18일 밝혔다. 지난 3월 말 미국 남동부 플로리다 지역의 1100억원 규모 노후 전력망 교체 사업을 따낸 지 3개월 만이다. 대한전선은 상반기에만 미국에서 약 3300억원의 신규 수주를 달성했다. 올해 미국 내예상 수주액이 역대 최대였던 2022년(약 4000억원)을 넘길 것으로 회사는 보고 있다.대한전선이 이번에 수주한 사업은 초고압 프로젝트 1건과 중저압 프로젝트 2건이다. 대한전선은 미국 뉴욕에 새롭게 짓는 반도체 공장에 345kV(킬로볼트)급 전력망을 구축(450억원)하고, 캘리포니아주LA지역 전력청에 3년에 걸쳐 중저압 케이블을 공급(850억원)한다.대한전선은 2017년 미국에서 본격적으로 사업을 시작한 이후 주요 도시에서 신규 전력망 구축, 노후 전력망 교체 프로젝트 등 다양한 사업을 수주했다. 대한전선은 이번 수주를 통해 미국에서 진행되고 있는 노후 전력망 교체 사업에서 추가 수주도 기대하고 있다. 미국의 송전 전력망은 50% 이상이 설치 40년을 경과한 노후화된 상태로 교체 주기를 초과한 상태다. 대한전선은 “우호적인 시장 환경이 조성된 만큼 현지 생산 거점 확보 방안 등을 면밀히 검토해 더 많은 사업 기회를 발굴하겠다”고 말했다."
2024-09-20,[기업 브리핑] 대한전선 900억 규모 미국 HVDC사업 수주 외,"대한전선 900억 규모 미국HVDC사업 수주대한전선은 19일 미국에서 진행되는 320㎸(킬로볼트) 전압형 초고압직류송전(HVDC) 및 500㎸ 초고압교류송전(HVAC) 프로젝트의 케이블 공급자로 선정됐다고 밝혔다. 미국 전력 회사인 ‘LS파워 그리드 캘리포니아’가 발주한 것으로 총 수주 규모는 900억원이다. 대한전선은 이번 프로젝트를 통해 미국HVDC시장에 처음으로 진출하게 됐다.HVDC는 장거리 대규모 송전의 핵심기술로, 일부 업체만 상용화에 성공했다.동서식품 바리스타 챔피언십 개최동서식품이 원두커피 바리스타 경연 대회인 ‘2024 카누 바리스타 챔피언십’을 개최한다고 19일 밝혔다. 24일까지 참가자 모집, 11월 16~17일 본선을 진행한다. 우승자에게는 상금 3000만원이 수여된다."
2024-09-27,돈 풀겠다는 中… 화장품·식품·전선株 수혜 볼듯,"경기 부양책 잇따라 발표일러스트=조선디자인랩·Midjourney최근 중국이 유동성(돈) 공급, 대규모 소비 바우처 발행 등 경기 부양책을 잇달아 발표하면서, 국내 투자자들도 중국 경기 부양책의 수혜주를 찾는 데 분주하다. 중국 증시도 뜨겁다. 26일 중국 증시 대표 지수인CSI300은 4% 넘게 상승했고, 홍콩Ｈ지수도 7000을 넘기며 연중 최고치를 기록했다. 증권가에서는 대중 수출 비중이 높은 화장품과 식품, 수요가 늘어 가격 상승이 예상되는 구리·철강 등 원자재 관련 종목들이 수혜를 입을 것이라는 전망이 나온다. 다만 일각에선 “일부 종목은 기업 체질 개선이 동반되지 않는다면 주가 상승이 오래가지 않을 수도 있다”는 의견도 나온다.그래픽=양진경돈 푸는 中, 수혜주를 찾아라중국은 지난 24일 시중 유동성 공급 등 대규모 경기 부양책을 공개했다. 판궁성 중국인민은행 총재는 “조만간 지급 준비율을 0.5%포인트 낮춰 금융 시장에 유동성 1조위안(약 189조4000억원)을 제공할 것”이라고 했다. 지급준비율이란 은행의 예금 중 중앙은행에 맡겨야 하는 돈의 비율로, 이를 내리면 시중에 돈이 더 풀리는 효과가 있다. 중국 지방 정부도 연이어 경기 부양책을 내놨다. 상하이시는 25일 외식, 숙박, 영화 등 4개 분야에서 사용할 수 있는 5억위안(약 950억원)의 소비 쿠폰을 배포하기로 했다.이 같은 중국의 부양책은 일차적으로 중국 수출 비중이 큰 K뷰티, K푸드 업종의 실적에 도움이 될 것이란 전망이 나온다. 26일 한국거래소에 따르면, 국내 대표적인 화장품주인 아모레퍼시픽 주가는 중국의 경기부양책 발표 하루 뒤인 25일 9.04% 상승하면서 올 들어 최고 상승률을 보였다. 아모레퍼시픽 주가는 최근 한 달간(26일 기준) 21%가량 상승했다.이외에도 화장품 업종인 코스맥스와LG생활건강도 최근 한 달간 주가가 각각 9.1%, 8.1%쯤 상승하며 화장품 업종이 고른 강세를 보였다. 박현진 신한투자증권 연구원은 “코스맥스는 중국 사업 의존도가 전체 이익 대비 45% 이상으로 높은 수준”이라며 “중국 로컬 시장 내 소비력이 개선된다면 화장품 수요도 자연히 회복될 것으로 예상된다”고 했다.‘불닭볶음면’의 수출 호조로 성장하고 있는 삼양식품도 향후 중국 수출 물량이 늘어나면서 실적이 좋아질 것이란 전망이 나온다. 대신증권은 올해 3분기(7~9월) 삼양식품의 매출을 4269억원으로 전망했는데, 이는 전년 대비 27.3% 증가한 수치다. 삼양식품 주가는 26일 5.59% 상승했다.전선·철강 등도 수혜 예상중국 경기 활성화로 산업 전반에 소재로 사용되는 구리의 가격 상승도 예측되면서 ‘전선주’도 수혜 종목이 될 것이라는 분석이 나온다. 전선업체들은 구리 등 원자재 가격을 판매가에 반영하기 때문에 구리 가격 상승은 전선업체 매출 상승을 부르기 때문이다. 26일 대한전선과 가온전선은 2.82%, 3.94%씩 상승했다.현대제철·포스코홀딩스 등 철강업 종목도 중국 경기부양책 수혜주가 될 가능성이 있다. 박현욱 현대차증권 연구원은 “현재 중국 철강 수요 부진은 2015년과 비슷하다”며 “중국 경기가 회복되면 부진했던 수요 개선 등으로 철강업 실적이 반등할 수 있다”고 했다.“기업 체질 개선되는지 봐야”그러나 전문가들은 “이들 종목 투자를 고려할 때 단순히 중국 경기 이슈만 참고 삼아서는 안 된다”고 조언한다. 정지윤NH투자증권 연구원은LG생활건강에 대해 “3분기 중국 매출 회복은 지속되고 있으나, 글로벌 마케팅 지출 확대로 이익 레버리지를 기대하기는 제한적”이라고 했다. 특히 화장품 종목의 경우 브랜드 리뉴얼이나 판매 채널 구조조정 등 기업 체질 개선이 동반되지 않으면 주가 상승이 오래가지 않을 수 있다는 의견도 있다.이번 부양책이 중국 증시의 구조적 상승까지 이끌기는 어려울 수도 있다는 시각도 나온다. 이동연 한국투자증권 연구원은 “중국 경기 개선 속도는 여전히 더뎌 10월 중순에 9월 실물 지표가 발표되는 시점에 투자 심리가 다시 약해질 수 있다”고 했다. 향후 지표에 따라 중국발 국내 종목 주가 상승세에도 제동이 걸릴 가능성이 있다는 것이다."
2024-10-19,이란 최고지도자 “신와르 사망했지만 하마스는 살아 있다”,"이란 최고지도자 아야톨라 알리 하메네이가 지난 6월 테헤란에서 대통령 선거 투표를 마친 뒤 기자회견을 하고 있다. /AP연합뉴스팔레스타인 무장단체 하마스 최고지도자 야히아 신와르가 이스라엘군의 공격으로 사망한 가운데, 이란 최고지도자가 ‘저항의 축’은 멈추지 않는다는 내용의 성명을 발표하며 그를 추모했다.19일 로이터·프랑스24 등에 따르면 하메네이는 이날 “신와르의 사망에도 하마스는 살아있고 건강하다”고 밝혔다. 그는 “그(신와르)의 손실은 이스라엘에 대한 저항 전선에 분명히 고통스러운 일이지만 (저항의 축은) 결코 끝나지 않을 것”이라고 밝혔다. ‘저항의 축’은 이란이 물밑에서 지원하는 하마스, 레바논 무장단체 헤즈볼라 등 반(反)미·반 이스라엘 연대를 의미한다.하메네이는 사망한 신와르에 대해 “그는 저항과 투쟁의 빛나는 얼굴이었다. 강철같은 결의로 억압적이고 공격적인 적에 맞섰다”고 평가했다. 또한 “그의 지혜와 용기로 이 지역 역사에 기록된 10월 7일의 돌이킬 수 없는 타격을 그들(이스라엘군)에게 가했고, 명예와 자부심을 갖고 순교자들이 있는 하늘로 올라갔다”고 말했다.신와르는 지난해 10월 7일 이스라엘에 대한 기습 공격을 설계한 인물이다. 지난 17일 이스라엘군은 신와르가 가자지구 남부 도시 라파의 한 건물에서 시신으로 발견됐다고 밝혔다.-조선일보 국제부가 픽한 글로벌 이슈! 뉴스레터 구독하기 ☞https://page.stibee.com/subscriptions/275739국제퀴즈 풀고 선물도 받으세요! ☞https://www.chosun.com/members-event/?mec=n_quiz"
2024-09-28,"野, 김여사 총공세… TF 만들어 각종 의혹 제기","TF만들어 각종 의혹 제기… 친야 세력과 장외 전선도 구축더불어민주당 이재명(왼쪽) 대표가 27일 최고위원회의에서 윤석열 대통령을 비판하고 있는 전현희(오른쪽) 최고위원의 발언을 들으며 웃고 있다. /연합뉴스더불어민주당이 27일 ‘김건희 국정농단’ 태스크포스(TF)를 꾸려 김 여사 관련 의혹을 본격 조사하겠다고 밝혔다. 민주당은 또 “김건희 특검이 즉각 시작돼야 한다”고 했다. 민주당은 최근 국회에서 ‘김건희 특검법’을 강행 처리했다. 10월 국회 국정감사를 앞둔 시점에 민주당이 김 여사 문제에 대해 총공세에 나선 것이다.민주당 황정아 대변인은 이날 당 최고위원 회의 후 “김 여사와 관련해 매일 새로운 의혹들이 부각되고 있다”며 관련 의혹 조사를 위한TF·조사단을 꾸리기로 했다고 밝혔다. 황 대변인은 “또 다른 트랙으로 김건희 특검법을 계속 추진할 것”이라고 했다.민주당 등 야당은 김 여사와 관련해 명품백 수수, 도이치모터스 주가 조작 의혹에 더해 최근 공천 개입 의혹 등을 집중 제기하고 있다. 민주당은 지난 19일 국회에서 처리한 김건희 특검법 수사 대상에 이런 의혹을 포함해 8가지를 수사 대상으로 명시했다. 삼부토건 주가조작 의혹, 해병대원 순직 사건 관련 임성근 전 해병대 1사단장 구명에 김 여사가 관여한 의혹, 문재인 정부 때 검찰이 수사 끝에 무혐의 처분한 코바나컨텐츠의 뇌물성 협찬 수수 의혹도 포함됐다.대통령실 등 여권에선 “민주당이 근거가 희박하거나 일방적인 주장에 기반한 의혹들을 무차별 제기하고 있다”고 반박했다. 그러나 야권에선 도이치모터스 주가조작 사건이나 공천 개입 등과 관련해 추가로 의혹을 제기하고 있다. 검찰이 도이치모터스 사건과 관련해 김 여사 기소 여부를 결정해야 하는 시점에 이런 상황들이 전개되는 것이다. 고위공직자범죄수사처는 이날 김 여사의 공천 개입 의혹 고발 사건에 대한 수사에 착수했다.민주당은 장외 친야(親野) 세력과 연계해 김 여사에 대한 공세 전선 확장에도 나섰다. 민주당 의원들은 이날 ‘윤석열·김건희일가온갖비리진상규명모임’이란 단체와 함께 ‘김건희 특검법 재의결’을 촉구하는 기자회견을 열었다. 민주노총 등도 28일 서울 등 주요 도시에서 ‘윤석열 정권 퇴진 시국대회’를 열 예정이다.그래픽=김현국민주당이 ‘김건희 국정농단’TF를 가동하기로 하는 등 총공세에 나선 것은 10월 시작되는 22대 국회 첫 국정감사를 ‘김건희 국감’으로 만들겠다는 전략이라는 해석이 정치권에서 나온다. 민주당이 이미 국회에서 일방 처리한 김건희 특검법에 대해 윤석열 대통령이 조만간 재의(再議)를 요구할 것이 확실시되는 상황에서 재가결(再可決) 동력을 확보하려는 것이란 시각도 있다.야권에서 제기하는 김 여사 관련 의혹은 크게 명품백 수수, 도이치모터스 주가조작, 공천 개입 등 세 갈래다. 명품백 수수 사건과 관련해 검찰은 조만간 김 여사와, 김 여사에게 명품백을 건넨 최재영씨를 불기소 처분할 것으로 알려졌다. 청탁금지법상 공직자의 배우자를 처벌할 근거 규정이 없기 때문이다.하지만 최근 검찰 수사심의위원회가 김 여사는 불기소, 최씨에 대해선 기소 의견을 낸 점을 야권은 집중 부각하고 있다. 같은 사건을 두고 수사심의위가 가방을 준 사람은 기소, 받은 사람은 불기소하라고 결론 낸 데다, 검찰이 두 사람을 모두 불기소 처분해도 상당한 잡음이 나올 수밖에 없다는 점을 부각하려는 것이란 말이 나온다.도이치모터스 주가조작 사건은 문재인 정부 때부터 검찰이 수사해왔지만 여전히 김 여사에 대한 처분 결정은 내려지지 않았다. 이런 상황에서 이 주가조작 사건 ‘선수’였던 김모씨가 관련 수사가 불거진 2021년 10월 작성했다는 편지를JTBC가 입수해 보도했다. 김씨가 김 여사 계좌 관리인으로 지목된 민모씨에게 전달하려던 이 편지에 ‘김건희만 빠지고 우리만 달리는 상황이 올 수도 있다’라고 쓴 대목이 있다는 것이다. 야권에선 이런 내용이 ‘김 여사가 주가조작으로 인해 오히려 손해를 봤다’는 취지의 윤 대통령 해명과 달리, 김 여사가 주가조작 사범들과 긴밀히 소통한 정황이라고 주장한다.반면, 김 여사가 주가 조작에 가담했다는 직접 증거로 보긴 어렵다는 반박도 있다. 검찰은 선수 김씨가 도피 생활 중 공범에게 쓴 편지에서 ‘김 여사만 빠진다’고 했다고 해서, 김 여사가 주가조작에 연루됐다고 보기는 어렵다는 입장이라고 한다. 검찰 관계자는 “(2021년 당시) 윤 대통령이 유력 대선 주자로 부상하면서 김씨와 주변 사람은 처벌되고 김 여사는 빠져나가는 것 아니냐는 김씨의 해석일 뿐”이라고 했다. 검찰은 김 여사가 도이치모터스 주가조작 공범인 이종호 전 블랙펄인베스트먼트 대표와 2020년 40차례 전화와 문자를 주고받은 것과 관련해, 주가조작 범행 시기(2009년 12월~2012년 12월)와 관련이 없어 김 여사 처분에 영향을 미치지 않는다는 입장이다.최근 국민의힘 김영선 전 의원과 명모씨가 연관된 김 여사의 ‘공천 개입’ 의혹은 공수처가 이날 수사4부에 사건을 배당하고 수사에 착수했다. 이 의혹은 김 여사가 지난 4월 총선 공천을 앞두고 김 전 의원에게 지역구를 옮겨달라고 요청하고 지원 방안을 논의했다는 내용이다. 실제 김 전 의원은 지난 2월 원래 지역구인 창원 의창이 아닌 김해갑으로 출마하겠다고 기자회견을 했다. 다만 김 전 의원은 공천을 받지 못했다.이와 같은 ‘공천 개입 의혹’에 대해 여권도 민감한 사안으로 보고 촉각을 곤두세우고 있다. 다만, 총선을 앞두고 김 전 의원 등을 만나 제보를 받은 것으로 알려진 개혁신당 이준석 의원은 “(김 여사의) 공천 개입으로 보기 애매하다”는 입장을 밝혔다.한편, 야권이 제기하는 삼부토건 주가조작, 임성근 전 해병대 1사단장에 대한 구명 로비 의혹과 관련해서는 논리적 비약이 있다거나 의혹을 뒷받침할 결정적 근거가 부족하다는 반론도 만만치 않다. 이 두 의혹에는 도이치모터스 주가조작 사건으로 항소심까지 유죄가 선고된 이종호 전 블랙펄인베스트먼트 대표가 등장한다. 야권은 이씨의 단체 채팅방 발언을 근거로, 과거 김 여사와 친분이 있던 그가 삼부토건 주가조작, 임 전 사단장 구명 로비를 했을 가능성이 있다고 주장한다. 그러나 이씨는 “임 전 사단장 구명을 김 여사에게 요청한 적이 없고 구명 운운 발언은 허세였다”고 했다. 야당에서 삼부토건 주가조작 의혹의 근거로 주장하는 “삼부 체크할게” 언급을 두고도 이씨와 채팅을 한 단톡방 멤버 송호종씨는 “골프장에서 삼부(3부) 하면 오후 5~6시 시작하는 게 있어 그 정도로 이해했다”고 했다."
2024-12-03,[경제계 인사] 롯데바이오로직스 대표이사 제임스 박 외,롯데바이오로직스 대표이사 제임스 박롯데바이오로직스는 신임 대표이사 사장으로 제임스 박(58) 전 지씨셀 대표이사를 지명했다고 2일 밝혔다.서브원 대표이사 이국환글로벌 구매 설루션 전문 기업인 서브원은 신임 대표이사로 이국환 전 우아한형제들 대표이사를 지명했다고 2일 밝혔다.▲삼성디스플레이▷부사장 기창도 김봉한 윤지환 이호중 한준호 황의훈▷상무 강의식 김성철 김영석 김현영 박순룡 송봉섭 오현욱 최동완 한상면▲삼성전기▷부사장 김희열 오창열▷상무 강병우 김태영 박재성 손용훈 송용준 이민곤 조영일▲삼성SDI▷부사장 김윤태 남주영 박규성▷상무 김익수 김현욱 남중현 변상원 송정훈 안희정 유형우 황선욱▲삼성SDS▷부사장 신계영 전민섭 황수영▷상무 김성범 노광빈 민대홍 서진우 이관희 이동섭 이명교 최병철▲삼성글로벌리서치▷상무 이성혁 임명기▲에코프로▷전무 이승환 이수호 김순주▲에코프로비엠▷전무 방한민 최윤영▷상무 이현진 오동구 공보현▲에코프로이엠▷부사장 이규봉▲에코프로머티리얼즈▷전무 강동현▷상무 이성준▲호반그룹▷부사장 김준석▷상무 서동진▲호반건설▷상무 이규재▲호반산업▷전무 김용일▲대한전선▷전무 백승호▷상무 남정세▲호반서서울(서서울CC)▷상무 이은래▲삼성금거래소▷상무 이영만▲팬오션▷상무 정상진 서보남
2024-05-15,"한물 간 줄 알았는데.... 터빈·변압기·전선, ‘E산업’이 뜬다","가스터빈 수요 세계 각국서 폭증두산에너빌리티가 2019년 세계에서 다섯째로 개발에 성공한 발전용 대형 가스터빈. 두산에너빌리티는 세계적인 구전난(求電難) 속에 가스터빈 수요가 폭증하자, 미국GE,독일 지멘스 등이 장악해온 가스터빈 시장에서 입지를 넓혀가고 있다. /두산에너빌리티AI(인공지능)·데이터 센터·전기차 등 폭증하는 전력(電力·Electricity) 수요가 세계적으로 전력 산업 생태계 호황으로 이어지고 있다. 발전소 투자가 쏟아지면서 발전용 터빈, 변압기, 전선 등 장비도 ‘E(전력) 프리미엄’으로 수요가 폭증했는데, 공급이 따라가지 못하고 있다. 일론 머스크 테슬라 최고경영자(CEO)도 지난 4월 한 인터뷰에서 “AI발전에서 작년에는 엔비디아의 신경망 칩 부족이 문제였다면, 이제는 변압기 부족이 닥쳤다”고 했다. 전력 인프라 업계에선 “거대 시장인 미국의 전력 설비 교체 주기까지 맞물려 2030년까지는 호황이 이어질 것”이라고 전망하고 있다.‘기계공학의 꽃’으로도 불리는 가스터빈(두산에너빌리티), 초고압 변압기(HD현대일렉트릭) 등 전력 인프라 설비에서 기술력을 끌어올린 국내 기업의 세계시장 입지도 강화되고 있다. 200년 넘은 전력 설비 시장은 그간GE·지멘스 등 미국, 독일의 선진국 메이저 기업들이 시장을 장악해왔다. 그러나 세계 각지에서 ‘에너지 러시’가 벌어지면서 이들만으로는 쏟아지는 수요를 감당할 수 없게 됐다.그래픽=김성규두산에너빌리티는 한국중부발전이 경남 함안에서 추진 중인 함안복합화력 가스터빈 수주를 앞두고 있다. 가스터빈 시장이 수요 폭증으로 공급자 우위 시장이 되면서GE,지멘스 등 선두 기업들의 납품 날짜는 예측이 사실상 불가능했고, 두산에너빌리티가 단독 응찰했다. 2019년 발전용 대형 가스터빈 국산화에 성공한 두산에너빌리티는 이번 계약을 따내면 가스터빈 4호 수주다. 한 업계 관계자는 “미국, 독일, 일본 등 모두 기계 설비 분야에서 오랫동안 경쟁력을 쌓은 곳들”이라며 “전기 수요가 급격히 늘어나면서 난공불락이었던 시장에 균열이 생기고 있다”고 했다.이 같이 에너지 수요가 폭증하며 변압기, 전선 등 한물갔다고 생각했던 전력 관련 업체들은 ‘귀한 몸’이 됐다. 한국무역협회에 따르면, 올해 1분기 변압기 수출액은 5억4482만달러(약 7400억원)로 작년 동기 대비 81.9% 늘었다. 고압 케이블을 포함한 전선 수출도 1분기 6억7571만달러(약 9250억원)로 작년보다 45.7% 늘었다.LS일렉트릭·HD현대일렉트릭·효성중공업·대한전선 등 관련 기업 모두 호황을 이어가고 있다.반도체·자동차에 이어 신성장 동력이 될 것이라는 기대감도 나온다. 반도체·석유화학·철강 등 전력 다소비 업종을 뒷받침하면서 지난 수십년간 성장해온 한국의 전력 생태계만큼 노하우가 쌓인 곳이 없다는 것이다. 한전 사장을 지낸 조환익 국민대 특임교수는 “전력 산업은 성장성이 높고 경쟁력이 강한 산업 가운데 하나”라며 “정책적인 뒷받침을 통해 미래 신성장 동력으로 키울 필요가 있다”고 했다."
2024-06-27,兆단위 낙월해상풍력사업...본격 스타트...국내 100여 기업과 손잡아,"전남 해상풍력 발전소 모습. /전라남도 제공해상풍력 전문업체인 명운산업개발이 국내 공급망 참여 기업과 협력을 본격화 한다.전남 영광에서 낙월해상풍력사업을 추진 중인 명운산업개발은 27일 서울 서초구JW메리어트호텔에서GS엔텍·포스코 등 100여 업체와 함께 ‘영광 낙월해상풍력 참여기업 협의체 발대식’을 갖고 사업 본격화를 선언했다. 낙월해상풍력사업은 명운산업개발이 전남 영광 낙월면 안마도와 송이도 일대 공유수면에 추진하는 364.8MW(메가와트)급 해상풍력 발전사업이다. 중형LNG(액화천연가스) 발전소 1기에 해당하는 전기를 생산할 수 있는 규모다.해당 사업에는 하부구조 모노파일 제작업체인GS엔텍을 비롯해 포스코(후판)와 대한전선(해저케이블),LS일렉트릭(전력기기), 호반산업(EPC,설계·구매·시공) 등이 참여하고 있다. 이날 행사에는 이들을 비롯해 현대해상화재, 김&장, 법무법인 지평 등 금융·회계·법무 관련 기업과 한국남부발전, 한국풍력산업협회, 목포해양대학교 등 100여개 업체·기관 160여명이 참석했다.명운산업개발 관계자는 “GS엔텍은 낙월해상풍력사업을 통해 하부구조 모노파일을 처음 생산·공급하는 기회를 갖게 됐으며, 대한전선도 이번 사업을 계기로 해저케이블 시장에 진입하게 됐다”면서 “전체 사업비의 70%에 이르는 기자재와 시공 물량을 국내 기업 중심으로 발주하면서 국내 공급망 구축에 크게 기여하고 있다”고 말했다.27일 서울 서초구JW메리어트호텔에서 열린  ‘영광 낙월해상풍력 참여기업 협의체 발대식’에서 참여 기업 관계자들이 기념 촬영을 하고 있다./명운산업개발이날 행사에서 김강학 명운산업개발 회장은 “그동안 어려운 대내외 환경속에서도 낙월해상풍력 사업의 성공을 믿고 투자와 협력을 유지해준 참여기업들에 감사하다”며 “명운산업개발이 추구하는 해상풍력의 길고 담대한 여정을 함께하며 우리나라 에너지전환과 지속가능한 미래를 위해 노력하자”고 말했다.회사 측에 따르면 2년여에 걸쳐 조(兆) 단위 대규모 기자재 구매·건설자금이 100여개 국내 기업에 지급될 예정이다."
