date,title,content
2024-05-08,"공정위, 코카콜라·롯데칠성 등 현장조사…‘음료 가격 담합’ 혐의","공정위 전경국내 음료 업체들이 담합을 벌여 가격을 올렸다는 의혹에 대해 공정거래위원회가 8일 조사에 착수했다.업계에 따르면 공정위는 이날 한국코카콜라, 롯데칠성음료, 동서음료 등 국내 대표적 음료 업체 3곳에 조사관을 보내 음료 판매 관련 자료를 확보했다. 공정위는 국내 음료시장을 과점 중인 이 업체들이 서로 짜고 서로 음료 가격을 올렸는지 여부를 살펴보는 것으로 알려졌다.업계에선 최근 정부가 생활 물가 잡기에 전력을 기울이고 있는 것이 이번 조사의 배경이라고 보고 있다. 앞서 지난 3월에도 공정위는CJ제일제당·삼양사·대한제당 등 대표적인 국내 설탕 제조업체의 담합 정황을 포착하고 현장조사를 나갔다.공정위는 올해 업무 추진 계획에서도 국민의 경제적 부담을 가중시키는 의·식·주 분야의 담합에 대한 감시를 강화하겠다고 밝혔다.지난 1일부터는 공정위 홈페이지에 ‘민생 밀접 분야 불공정행위 신고센터’도 신설됐다. 민생과 밀접한 생필품 등 품목에서 업체들의 담합 정황을 포착한 사람은 누구나 신고센터를 통해 당국에 신고할 수 있다.공정위 관계자는 “음료업체들의 담합 사실이 확인되면 엄정 조치할 것”이라고 말했다."
2024-03-20,‘슈거플레이션’ 우려로… 설탕 3사 담합 조사,"공정위, 판매 관련 자료 확보설탕 제조·판매 업체들이 담합을 벌여 가격을 올렸다는 의혹에 대해 공정거래위원회가 19일 조사에 착수했다. 업계에 따르면 공정위는 이날CJ제일제당, 삼양사, 대한제당 등 대표적인 국내 제당 업체 3곳에 조사관을 보내 설탕 판매 관련 자료를 확보했다. 공정위는 국내 시장 90% 이상을 과점 중인 이 업체들이 서로 짜고 설탕 가격을 일부러 상승시켰는지 여부를 살펴보는 것으로 알려졌다.업계에선 최근 ‘슈거플레이션(설탕+인플레이션)’ 우려가 커진 것이 이번 조사의 배경이라고 보고 있다. 슈거플레이션이란 설탕 값 상승이 빵·과자 등 설탕을 원료로 사용하는 가공식품의 가격까지 전반적으로 끌어올리는 현상이다. 통계청에 따르면 지난달 설탕 값은 1년 전보다 20.3%나 올랐다. 이는 16개월 만에 최고치를 기록한 지난 1월 상승률과 동일한 수준이다.최근 정부는 ‘물가 잡기’에 총력을 기울이고 있다. 윤석열 대통령은 지난 18일 물가 상황을 점검하면서 “정부는 장바구니 물가를 내릴 수 있도록 특단의 조치를 즉각 실행할 것”이라며 “담합 같은 불공정 행위로 폭리를 취하면 엄정하게 대응하겠다”고 말했다. 공정위는 올해 업무 추진 계획에서 국민의 경제적 부담으로 직결되는 의·식·주 분야에 대한 담합 감시를 강화하겠다고 했다.이번 조사를 받는 설탕 업체 3곳은 2007년에도 담합 혐의가 적발돼, 공정위가 과징금 약 511억원을 부과했었다. 당시 공정위는 이 업체들이 1991년부터 2005년까지 약 15년에 걸쳐 제품 출고량과 가격을 담합한 행위를 적발했다. 공정위 관계자는 “법 위반 사실이 확인되면 엄정 조치할 것”이라고 말했다."
2023-09-14,12년 만에 최고 수준 치솟은 국제 설탕 가격... 설탕 관련주 화색,"그래픽=조선디자인랩 정다운브라질, 인도, 태국 등 주요 사탕수수 생산국이 이상 기온으로 흉작을 겪으면서 국제 설탕 가격이 12년 만에 최고 수준으로 치솟자 설탕 관련주들이 상승세를 타고 있다.13일(현지 시각) 런던 국제 금융 선물 거래소에서 설탕 선물 가격은 톤당 749.30달러를 기록했다. 지난 5월 10년 만에 700달러 선을 돌파한 설탕 가격은 6~8월 600달러대에서 안정됐으나 이달 들어 다시 고공 행진하고 있다. 현재 국제 설탕 가격은 악천후로 브라질 사탕수수 생산량이 20%나 감소했던 2011년 이후 12년 만에 최고 수준을 기록했다.설탕 원료인 원당 가격도 상승세다. 이날 미국 뉴욕 선물 거래소에서 원당 선물 가격은 파운드당 26.62를 기록, 전달 대비 10.35% 올랐다.이에 수혜주로 꼽히는 국내 설탕 관련 기업 주가는 들썩이는 중이다. 설탕과 설탕 대체재를 개발하는 대한제당 주가가 지난 13일 장중 한때 14%대까지 뛰었고, 설탕 대체재인 올리고당 생산 업체 네오크레마 주가도 반사이익이 예상되며 이달 들어 4.2% 올랐다.원재료 가격 상승이 제품 가격 인상으로 이어져 수익 개선이 기대되는 빙그레는 14일 유가증권시장에서 4.2% 오른 5만4200원에 거래를 마쳤다."
2022-12-17,"새치기하려다 살인 사건까지 난 美 치킨 샌드위치, 한국서도 성공할까?","[아무튼, 주말]파파이스 2년만에 컴백맘스터치와 한판 승부?미국 치킨 프랜차이즈 ‘파파이스’가 한국에서 완전 철수한 지 2년 만에 ‘치킨 샌드위치(버거)’라는 새 메뉴를 앞세워 돌아왔다. 미국에서 파파이스 치킨 샌드위치는 살인 사건이 일어날 정도로 선풍적 인기를 얻었고, 모든 패스트푸드 업체에서 앞다퉈 같은 메뉴를 도입하게 했다. 미국에 이어 한국에서도 ‘치킨 샌드위치 전쟁’이 일어날지 관심이 모아지고 있다. 아이러니하게도 파파이스의 최대 적수는 파파이스 자회사로 설립돼 한국 패스트푸드업계 1위로 올라선 ‘맘스터치’다.파파이스 '스파이시 치킨 샌드위치'./파파이스살인사건 일으킨 치킨 샌드위치파파이스가 지난 16일 서울 강남역에 국내 재진출 1호점을 열었다. 파파이스는 1994년 압구정 1호점을 시작으로 한때 점포 200여 개를 운영할 정도로 성공했지만, 2000년대 들어 인기가 시들해지다 결국 2020년 남은 매장 20여 곳 전부 문을 닫았다.성공적인 재진출을 위해 파파이스가 꺼내든 무기는 치킨 샌드위치. 두 장의 번(빵) 사이에 닭튀김을 끼워 넣었다. 미국 파파이스는 닭가슴살을 사용하는 반면, 국내에서는 닭넓적다리살을 이용한다. 파파이스 관계자는 “가슴살보다 넓적다리살을 선호하는 국내 소비자 입맛이 반영됐다”며 “튀김옷이나 양념은 미국과 동일하다”고 했다. 국내에서는 흔히 치킨 버거라고 부르지만, 미국에서는 소고기 패티 외에 치킨, 생선·새우 튀김 등 다른 재료가 들어가면 버거가 아닌 샌드위치라고 부른다.치킨 샌드위치는 파파이스가 2019년 출시해 선풍적 인기를 얻은 메뉴다. 치킨 샌드위치를 대표 메뉴로 하는 ‘칙필레(Chick-fil-A)’가 맥도날드와 스타벅스에 이어 미국 외식업계 3위에 올랐다. 칙필레를 부러운 눈으로 쳐다보던 미국 프랜차이즈 업체들 중 파파이스가 가장 먼저 칼을 빼들었다. 2019년 8월 12일 여름·가을 한정 메뉴로 내놓은 치킨 샌드위치가 폭발적 인기를 얻었다. 큼직한 닭가슴살과 오이 피클, 마요네즈를 버터 함량이 높아 부드럽고 고급스런 맛의 브리오슈 번 사이에 끼워 넣은 치킨 샌드위치는 “푸짐하고 맛있다”는 평가를 얻었다.칙필레가 “치킨 샌드위치는 1967년부터 팔아온 우리가 원조”라고 견제하자, 이에 파파이스가 대응하면서 벌인 온라인 설전(舌戰)이 화제가 되면서 판매가 더욱 촉진됐다. 미 전역 모든 매장에서 하루 평균 1000개씩 팔렸고, 2주 만에 준비한 치킨 물량이 소진되며 판매가 종료됐다.파파이스 치킨 샌드위치를 놓고 살인 사건이 벌어지기까지 했다. 치킨 샌드위치가 2019년 11월 상시 메뉴로 재출시되자 매장에 긴 대기줄이 늘어섰다. 메릴랜드주(州) 파파이스 매장에서 한 남성이 새치기하려다 저지하는 남성과 시비가 붙었고, 칼로 찔러 살해했다. 이 끔찍한 사건으로 파파이스 치킨 샌드위치는 더욱 유명해졌다.치킨 샌드위치로 파파이스는 매출이 전년 대비 38% 늘었다. 이후 맥도널드,KFC,버거킹, 웬디스 등 거의 모든 프랜차이즈가 앞다퉈 치킨 샌드위치를 내놓았다. 국내 패스트푸드 브랜드에는 대부분 치킨 버거 메뉴가 있지만, 이때까지 미국에선 맥도널드조차 치킨 버거를 팔지 않았다.파파이스의 ‘아들’ 맘스터치한국에 다시 도전하는 파파이스가 맞서 싸워야 하는 ‘주적(主敵)’은 토종 패스트푸드 프랜차이즈 ‘맘스터치’다. 맘스터치는 ‘싸이버거’ ‘인크레더블 버거’ ‘내슈빌 핫치킨’ 등 치킨 버거가 대표 메뉴인 데다, 입이 찢어질 정도로 크고 두껍다는 뜻인 ‘입찢버거’로 알려질 만큼 뛰어난 가성비로 인기를 얻었다는 점도 미국 파파이스와 겹친다.맘스터치는 1997년 파파이스의 자회사로 설립됐다. 프랜차이즈업계 관계자는 “당시 한국 파파이스를 운영한 대한제당 계열사TS해마로가 국내 치킨 브랜드에 맞서기 위해 만든 브랜드가 맘스터치”라며 “미국 본사와 계약할 때 조리법에 대한 기술 이전을 받기로 했기 때문에 가능했다”고 했다. 이 관계자는 “이후 꾸준히 수정됐겠지만 치킨 레시피의 기본 ‘DNA’는 파파이스와 맘스터치가 동일할 것”이라며 “맘스터치의 감자튀김(케이준양념감자)에 미국 남부 루이지애나 향토 음식을 뜻하는 ‘케이준(Cajun)’이 붙는 것도 루이지애나 뉴올리언스에서 출발한 파파이스의 흔적”이라고 덧붙였다.TS해마로는 적자투성이였던 맘스터치 분사를 추진했고, 당시 관리 책임자였던 정현식 전 대표에게 인수를 제안했다. 정 전 대표는 빚 3억원을 떠안는 조건으로 맘스터치를 2004년 인수했다. 맘스터치는 품질과 양은 높고 가격은 낮게 유지하는 가성비 전략과 지방 골목 상권 위주 입점 전략으로 실적을 개선하며 성장했고, 지난해 말 기준 매장 수 1352개로 롯데리아(1330개)를 밀어내고 업계 1위 자리를 차지했다.프랜차이즈업계에서는 “업계 1위 절대 강자 맘스터치를 대적하기엔 파파이스가 힘에 부칠 것”이란 전망과 “요즘 맘스터치가 예전 같지 않아 해볼 만한 싸움”이란 전망이 엇갈린다. 2019년 11월 맘스터치를 운영하던 해마로가 사모펀드 케이엘앤파트너스에 1973억원에 매각됐고, 2021년 3월 상호가 주식회사 맘스터치앤컴퍼니로 변경됐다. 매각 이후 싸이버거 등 주요 메뉴 가격이 크게 오르며 소비자들에게 아쉬움을 샀다. 맘스터치(Mom’sTouch)가 ‘엄마의 손길’이란 의미임에 빗대 ‘엄마의 손찌검’이란 새 별명도 얻었다. 일각에선 “맘스터치와 파파이스는 대표 메뉴가 치킨 버거로 같다는 점에서 포지션이 겹친다”며 “파파이스의 재진출은 맘스터치가 목표로 하고 있는 연내 기업 매각에 상당한 변수가 될 듯하다”고 보기도 한다."
2022-06-15,"‘사료가격 담합’ 700억원대 공정위 과징금…대법 “담합아냐, 취소해야”","“정보교환만으로 담합은 아냐”서울 서초구 대법원 청사 전경. 2018.6.17/뉴스1 ⓒNews1 박세연 기자사료 가격 담합을 이유로 공정거래위원회로부터 시정명령과 과징금 약 700억원을 부과받은 하림 등 11곳에 대해 대법원이 “담합으로 볼 수 없다”는 판단을 내렸다.대법원 1부(주심 김선수 대법관)와 3부(주심 이흥구 대법관)는 대한사료와 하림홀딩스 등 4개 회사가 공정위의 시정‧과징금납부명령을 취소해달라며 낸 소송 상고심에서 업체 손을 들어준 원심 판단을 확정했다고 15일 밝혔다.앞서 공정위는 2015년 가축 사료 시장의 부당공동행위(담합)를 적발했다며 10개사에 시정명령을 내리고 과징금 총액 745억 9800만원을 부과했다.제제 대상은 하림홀딩스를 비롯해 카길애그리퓨리나(카길), 제일홀딩스,CJ제일제당, 대한제당, 삼양홀딩스, 서울사료, 우성사료, 대한사료 등 10곳이었다. 공정위가 적발한 담합 참여사는 11곳이었으나, 가장 먼저 자진 신고를 한 두산생물자원은 과징금(27억3600만원)을 감면받았다.공정위는 이들 기업이 2006년 10월~2010년 7월까지 업계 동향, 배합사료 가격이 인상·인하 시기 등 정보를 교환하는 식으로 16차례나 가격 조정 폭과 시기를 미리 짜맞췄다고 봤다.그러나 서울고법은 공정위의 처분을 취소해야 한다고 판단했다. 공정위 처분에 대한 불복소송은 고법·대법원 2심제로 이뤄진다. 서울고법은 이들 사료 업체가 수년에 걸쳐 사료 판매 가격과 인상 계획, 생산·판매량 등 정보를 공유해온 것은 맞지만, 공동으로 배합사료 가격을 결정·변경하려는 명시적·묵시적 의사의 합치가 있었다고는 볼 수 없다고 판단했다.또, 사료시장에서 점유율이 높은 농협이 가격 조정을 하는 등 영향력을 행사했기 때문에 이들 업체가 가격을 짜맞추기도 어려웠을 것이라고도 판단했다.대법원도 “문제가 된 정보교환 회의에는 11개사 외에도 다수의 중소업체 임직원들이나 사료 구매 수요자 협회가 참여했기 때문에 적발 업체들이 가격 인상 등을 합의했다고는 보기 어렵다”며 “경쟁 사업자들이 가격 정보를 교환한 경우, 의사연결의 상호성을 인정할 수 있는 유력자료가 될 수는 있지만 그렇다고 담합행위가 있다고 단정할 수는 없다”고 원심 판단을 유지했다.이번에 먼저 승소 판결을 받은 대한사료 등 4곳 외 나머지 사료회사 6곳의 소송도 현재 대법원에서 진행 중이다."
2022-05-31,글로벌 ‘식량 확보 전쟁’에… 곡물株는 웃는다,"우크라戰 이후, 밀값 40% 폭등식량가격지수 역대 최고치 육박20여국은 식품 수출 금지령도시장에 진열된 수입산 곡물(사진은 기사 내용과 무관함) / 뉴스1세계 경제가 코로나에서 벗어나면서 인플레이션이 본격화하는 가운데 러시아·우크라이나 전쟁 장기화로 식량 가격이 치솟고 있다. 여기에 주요국의 식량 수출 금지까지 겹치면서 곡물 가격 상승을 부채질하고 있다. 인플레 공포로 전 세계 증시가 휘청대는 와중에 국내외 주요 곡물 회사들의 주가와 관련 자산들의 가치가 높아지는 이유다.30일 유엔 식량농업기구(FAO)에 따르면, 올해 4월 기준 세계 식량 가격 지수는 158.5로 작년 말(133.7)보다 18.5% 상승했다. 세계 식량 가격 지수는FAO가 밀, 옥수수, 보리, 쌀 등 24품목에 대한 국제 가격 동향을 조사해 매달 발표하는 지수로, 2014~2016년 평균 가격 수준을 100으로 산정해 산출한다. 세계 식량 가격 지수는 역사상 최고치를 기록했던 3월(159.7)보다 조금 낮아지기는 했지만 여전히 높은 수준이다. 김소현 대신증권 연구원은 “곡물 가격은 4월에 주춤했지만 5월 이후 다시 반등하기 시작했다”며 “우크라이나 전쟁 장기화로 공급이 부족한 가운데 정부의 수출 금지 조치 등 시장 개입 확대로 식량 안보 우려는 더욱 고조되고 있다”고 밝혔다.19국 식량 수출 금지에 나서국제식량정책연구소(IFPRI)에 따르면, 현재까지 일부라도 식품 수출을 금지한 국가는 19국, 수출 허가를 받도록 한 나라는 7국에 달한다. 대부분 수출 제한은 2월 24일 러시아의 우크라이나 침공 이후 이뤄졌다. 세계 2위 밀 생산국이자 세계 최대 설탕 생산국인 인도는 13일부터 밀 수출을 금지했고, 설탕 수출도 제한하기로 했다.말레이시아는 다음 달부터 닭고기 수출을 금지하고, 세계 최대 팜유 수출국인 인도네시아도 지난달 28일부터 한 달 가까이 팜유 수출을 중단했다. 러시아와 우크라이나의 경우 밀과 옥수수, 해바라기씨 등의 수출을 금지하거나 허가제로 바꿨다.아리프 후사인WFP(유엔세계식량계획) 수석 경제분석가는 “세계 식량 가격은 2020년 중반 이후 상승해 현재 역대 최고 수준”이라며 “36국에서 식품 물가가 15% 이상 올랐다”고 밝혔다. 이달 22~26일 스위스 다보스에서 열린 세계경제포럼에서도 식량 위기 문제가 주요 관심사였다.특히 전쟁 장기화로 밀과 옥수수의 공급 부족은 당분간 이어질 것으로 예상된다. 밀과 옥수수 가격은 연초 대비 각각 40%, 30% 오른 상태다. 러시아와 우크라이나 두 국가가 수출하는 밀과 옥수수는 전 세계에서 비율이 각각 30%, 20%를 차지한다.심은주 하나금융투자 애널리스트는 “전쟁이 한창이던 4월은 우크라이나의 주요 곡물 파종 시기였다”며 “올해 봄 우크라이나 생산물과 재배 면적은 30% 이상 감소했을 것”이라고 분석했다.국내외 식량 기업 주가 상승이 같은 분위기는 곡물 등 식량 관련 국내외 회사들의 주가를 끌어올리고 있다. 대두, 옥수수 등 전 세계 주요 곡물 교역의 80%를 점유하고 있는 4대 곡물 기업ABCD(ADM,벙기, 카길, 루이 드레퓌스) 중 주식시장에 상장되어 있는ADM과 벙기의 주가는 올해 들어 상승세를 타고 있다. 미국 최대 곡물회사인ADM(아처대니얼스미들랜드)의 27일(현지 시각) 주가는 88.93달러로 연초(67.89달러) 대비 31% 올랐다. 1902년 미국 미네소타에서 설립된ADM은 곡물 저장, 유통, 가공 등을 아우르고 있다.미국의 벙기 주가 역시 현재 114.72달러로 올해 1월 3일(93.71달러)보다 22.4% 상승한 상태다. 비상장사인 카길도 세계 식량 가격이 치솟으면서 지분 가치가 상승했다. 블룸버그에 따르면, 카길의 주주 제임스 카길과 오스틴 카길, 마리안 리브만 등은 최근 세계 500대 부자 대열에 합류했다. 이들이 보유한 카길 지분 가치는 53억달러(약 6조5000억원)로 올해 들어서만 20% 늘어난 덕분이다.국내 식량 관련 기업들도 상승 추세다.CJ제일제당 주가는 30일 39만4500원을 기록하며 올해 최저점(1월 27일·33만2000원)대비 18.8% 올랐고, 4월 중순까지 2000원대에서 머물던 대한제당 주가는 30일 4955원이 돼 두 배 가량으로 치솟았다.자원이 풍부한 국가에 투자하는ETF도 주목받고 있다. 뉴욕 증시에 상장되어 있는 ‘아이셰어즈MSCI브라질’은 브라질 주요 기업에 투자하는ETF인데, 27일 35.72달러를 기록했다. 연초(27.36달러) 보다 30.6% 올랐다."
2022-05-17,‘밀 쇼크’에 부풀어오른 밀가루·사료株,"대한제당·대한제분 10%대 상승사조동아원·한탑 등은 상한가세계 밀 생산량 2위국인 인도가 지난 14일 식량 안보를 명분으로 밀 수출을 전격 금지하면서 식품 가격이 상승 압박을 받고 있다. 15일 서울의 한 대형마트에 밀가루가 진열되어 있는 모습. /뉴스1세계 밀 생산량 2위 국가인 인도가 밀 수출을 금지하면서 세계 ‘밀 쇼크’ 우려가 커지는 가운데 사료 및 제분 관련주가 무더기로 상한가를 기록했다.16일 유가증권시장에서 배합 사료 업체인 사조동아원이 가격 제한폭(29.97%)까지 치솟았고, 같은 업종의 대주산업(29.95%)과 한탑(29.93%)도 각각 상한가로 거래를 마쳤다.양돈 사료 생산업체인 팜스토리(22.19%), 식품회사 신송홀딩스(19.93%), 설탕·사료 제조업체 대한제당우(18.70%), 육계·양돈업체 고려산업(15.38%), 소맥분 제조업체 대한제분(14.37%), 사료·식품업체 미래생명자원(12.16%), 한일사료(10.73%) 등이 10% 이상 급등했다.15일(현지 시각) 외신에 따르면 인도 대외무역총국(DGFT)은 지난 13일 밤부터 밀 수출을 금지했다. 인도 정부는 “밀 국제 가격이 급등해 인도와 이웃 국가의 식량 안보가 위기에 처했기 때문에 필요한 수요를 맞추기 위해 수출을 제한하기로 했다”고 밝혔다.유엔식량농업기구에 따르면 2020년 기준 인도의 밀 생산량은 중국에 이어 2위다. 3위는 러시아, 4위는 미국이다. 김소현 대신증권 연구원은 “주요 농산물 수출국이 수출 제한 및 금지를 선언하고, 수입국은 재고를 비축하기 시작하면서 식량 안보 불안이 커질 조짐”이라면서 “각국의 추가적인 수출 제한 정책 강화는 소맥 가격 상승 요인으로 작용할 것”이라고 했다."
2022-05-31,[부음] 공용규씨 별세 외,"▲공용규별세,공윤성조선일보CS마케팅기획팀 대리 부친상=29일21시32분 서울성모병원, 발인 31일5시, (02)2258-5940▲김윤덕前 국회의원 별세,유홍근아내상,유현희·유대열·유현주·유현경·유현숙·유현아모친상,이시형·장영백·김성권장모상=29일6시25분 서울성모병원, 발인 31일7시50분, (02)2258-5977▲전명숙별세,한봉구·한봉순·한봉희·한봉수당진주류상사 부장·한해림모친상,정유라현대경제신문 산업부 기자 외조모상=30일9시12분 충남 당진장례식장, 발인 1일8시, (041)354-4444▲조성주별세,고한성미쓰이소꼬코리아 대표 모친상,김진경前 대한제당 부사장·이승한유진데이타 상무·정수영장모상=30일9시 신촌세브란스병원, 발인 1일10시, (02)2227-7547"
2024-03-19,소비자 밀가루 값 10년 만에 내린다…CJ제일제당 6.6% 인하,"CJ제일제당 로고.CJ제일제당이 정부의 물가 안정 요청에 소비자용 밀가루 3종 가격을 평균 6.6% 낮춘다. 소비자용 밀가루 가격을 내린 것은 최근 10년 동안 처음이다.19일CJ제일제당은 다음 달 1일부터 중력 밀가루 1㎏, 2.5㎏ 제품과 부침용 밀가루 3㎏ 등 3종의 소비자 판매용 밀가루 제품 출고가를 인하한다고 밝혔다.인하율은 제품별로 3.2%~10% 수준으로 평균 인하율은 6.6%다.CJ제일제당 측은 “어떤 제품의 가격을 세부적으로 얼마만큼 인하할지는 조정 중”이라고 설명했다. 중력밀가루와 부침용 밀가루는 전체 소비자용 밀가루 판매 물량의 절반 이상을 차지한다.송미령 농림축산식품부 장관이 19일CJ제일제당 서울 영등포 공장을 방문해 밀가루 공급 상황과 가격 동향 등을 점검하고 있다. 연합뉴스이번 가격 인하 결정은 정부의 물가안정 간담회가 열린 지 6일 만에 이뤄졌다. 농림축산식품부는 지난 13일CJ제일제당 등 19개 식품업계 관계자를 불러 물가안정 간담회를 열었다. 정부는 세계식량가격지수를 근거로 곡물과 유지류 가격이 2년 전보다 떨어진 만큼, 식품업계가 국제 원재료 가격 변화를 가격에 반영해 물가 안정에 협조해 달라고 당부했다.가격 인하 결정이 나온 이 날에도 송미령 농식품부 장관이 서울 영등포에 있는CJ제일제당 공장을 찾아 “국제 곡물 가격이 지속해서 하락하고 있는 만큼, 하락 효과를 소비자도 체감할 수 있어야 한다”고 말했다.CJ제일제당 관계자는 “최근 국제 원맥 시세를 반영하고, 정부의 물가안정 기조에 적극적으로 동참하는 차원에서 가격을 내리기로 했다”며 “장바구니 물가 안정에 기여할 수 있기를 바란다”고 말했다. 또 다른 밀가루 판매 업체인 삼양사와 대한제분은 가격 인하 여부를 검토 중인 것으로 알려졌다.정부는CJ제일제당과 삼양사, 대한제당 등 설탕 제조업체 조사에도 나섰다. 이에 라면·빵·과자 업체들의 가격 인하 여부에도 관심이 쏠린다. 한 라면업체 관계자는 “이미 가격을 내린 데다 일부 원재료 가격은 안정세에 있지만 농수산물, 유가, 환율 등의 변동성이 남아 있어 가격 인하를 고려하기엔 어려운 상황”이라고 말했다."
2024-03-19,"'슈가플레이션' 담합 의혹 파헤친다…공정위, 제당 3사 현장조사","공정거래위원회가 설탕 제조ㆍ판매 업체들이 담합을 벌였다는 의혹에 대해 조사에 착수했다. 19일 업계에 따르면 공정위는 이날CJ제일제당, 삼양사, 대한제당 등 국내 제당 3개 업체에 조사관을 보내 설탕 판매 관련 자료를 확보 중이다. 시장 내 지배적 지위를 가진 이들이 담합해 설탕의 가격을 과도하게 올렸는지 살펴보고 있다.이번 조사는 생필품 물가를 잡기 위한 범정부 대응의 일환으로 풀이된다. 윤석열 대통령은 전날 농협하나로마트 양재점을 찾아 물가 상황을 점검하면서 “정부는 장바구나 물가를 내릴 수 있도록 특단의 조치를 즉각 실행할 것”이라며 “과도한 가격 인상, 담합 같은 불공정 행위로 폭리를 취하면 엄정하게 대응하겠다”고 강조했다.설탕은 지난달 가공식품 세부 품목 73개 중 1년 전보다 20.3% 상승하면서 두 번째로 높은 상승률을 기록했다. 일각에서는 ‘슈가플레이션(설탕+인플레이션)’ 우려가 제기됐다. 공정위 관계자는 “조사 중인 사안에 관해서는 확인할 수 없다”며 “법 위반 사실이 확인되면 엄정 조치할 것”이라고 밝혔다."
