date,title,content
2024-04-01,CJ제일제당 이어 삼양사·대한제분도 밀가루값 인하,"1일부터 소비자 판매용 제품 가격 인하서울의 한 대형마트에 진열된 대한제분 밀가루. /뉴스1CJ제일제당을 시작으로 대한제분과 삼양사 등 식품기업들이 1일 밀가루 제품값을 내린다.1일 식품업계에 따르면 삼양사는 이날부터 소비자 판매용 중력분 1㎏, 3㎏ 제품 가격을 평균 6% 내린다. 대한제분도 소비자 판매용 밀가루 1㎏, 2㎏, 2.5㎏, 3㎏ 등 제품 가격을 인하한다. 다만 대한제분은 구체적인 인하율을 밝히지는 않았다.대한제분은 지난해 7월에도 제품 가격을 평균 6.4% 내린 바 있다.앞서 정부는 식품업계에 재료 가격 하락분을 제품 가격에 반영할 것을 권고했다.유엔식량농업기구(FAO)가 발표한 곡물 가격지수는 올해 2월 113.8로 우크라이나 전쟁 발발 직후인 2022년 3월(170.1) 대비 33.1% 하락했다.유지류 가격지수는 2022년 3월 251.8로 고점을 찍은 뒤 지난 2월 120.9로 떨어졌다.정부 권고에 따라CJ제일제당이 지난 달 가장 먼저 소비자 판매용 밀가루 3종 가격을 평균 6.6% 내리겠다고 발표한 이후 삼양사와 대한제분도 각각 제품 가격 인하를 결정했다.국제 유지류 가격 하락에 따라 식용유 가격도 내려간다. 오뚜기는 식용유 제품 가격을 이날부터 평균 5% 인하하기로 했다."
2022-02-04,[부음] 이종각 대한제분 명예회장 별세,"‘곰표’ 밀가루로 유명한 대한제분의 이종각(90) 명예회장이 3일 별세했다. 1932년 평양 출생으로 서울고, 서울대 경제학과를 졸업하고 1957년 대한제분에 입사해 부사장, 대표이사 사장·회장 등을 지냈다. 대한제분은 고(故) 이한원 전 회장이 1952년 설립한 회사로 이 명예회장은 입사 이후 대한제분이CJ제일제당, 동아원과 함께 국내 3대 제분 업체로 성장하는데 기여했다. 고인의 자녀인 이건영 대표이사 회장과 이재영 부사장이 현재 대한제분 경영을 맡고있다. 빈소는 서울대병원, 발인은 5일 오전 8시 30분. (02)2072-2010"
2024-03-20,"CJ제일제당, 밀가루값 최대 10% 내려","대한제분·삼양사도 참여할 듯CJ제일제당이 다음 달 1일부터 소비자에게 판매하는 밀가루 제품 가격을 내린다고 밝혔다. 가격을 내리기로 결정한 품목은 중력 밀가루 1kg과 2.5kg제품, 부침용 밀가루 3kg등 3가지다. 대형마트 출고 가격을 기준으로 제품에 따라 3.2~10%, 평균 6.6% 정도 값이 내려간다. 부침용 밀가루와 중력 밀가루는 일반 가정에서 많이 사용하는 제품으로,CJ제일제당이 취급하는 기업과 소비자 간 거래(B2C) 물량의 절반 이상을 차지한다.CJ제일제당이 밀가루 가격 인하를 발표하면서 대한제분과 삼양사도 조만간 가격 인하에 나설 것으로 보인다. 삼양사와 대한제분은 이날 “조만간 가격을 내릴 계획이고 내부적으로 인하 폭을 논의하고 있다”고 했다.앞서 정부는 최근 2년 동안 국제 원맥 가격이 하락세인 것을 강조하며 밀가루 업계에 가격 인하를 요구해왔다. 농림축산식품부는 지난 13일 식품 업계 관계자들과 가진 간담회에서 “국제 원재료 가격 변화를 탄력적으로 가격에 반영해 물가 안정에 협조해 달라”고 촉구했다."
2023-06-19,"5800만캔 팔린 ‘곰표 밀맥주’, 계약 종료되자 상표권자·제조사 진흙탕 싸움","서울의 한 편의점에서 손님이 '곰표 밀맥주'를 꺼내고 있다./뉴스1편의점 대란 상품 ‘곰표 밀맥주’를 두고 전 제조사 세븐브로이맥주와 상표권자 대한제분의 갈등이 깊어지고 있다. 대한제분이 신규 제조사를 세븐브로이에서 제주맥주로 바꾸고 ‘곰표 밀맥주 시즌2′를 준비하자, 세븐브로이 측이 해당 제품에 대한 판매 금지 가처분 신청을 내고 대한제분을 공정거래위원회에 제소한 것이다.두 업체가 2020년 상반기 출시한 곰표 밀맥주는 품귀 현상을 빚을 정도로 인기를 끌었다. 3년간 5800만캔 넘는 판매 기록을 올렸다. 지난 3월 상표권 사용 계약 기간이 만료되면서, 대한제분은 새로운 제조사인 제주맥주와 손을 잡고 ‘곰표 시즌2′ 출시를 예고했다.그러자 세븐브로이는 지난달 재고 자산과 관련해 법원에 곰표 밀맥주 판매금지 가처분 신청을 제기했다. 세븐브로이가 3월까지 생산한 곰표 밀맥주 ‘시즌1′ 제품은 오는 9월까지 판매할 수 있다. 하지만 시즌2 제품이 출시되면 포장이 유사한 두 제품이 섞일 수 있으므로 재고 물량 소진 이후까지 재출시를 늦춰야 한다는 것이다.이와 별개로 세븐브로이는 대한제분을 지난 15일 ‘거래상 지위 남용 행위 금지’와 ‘사업 활동 방해행위 금지’ 위반으로 공정거래위원회에 제소했다. 주류 수출 면허가 없던 대한제분이 계약 기간 중 세븐브로이맥주의 수출사업권을 탈취했고, 성분분석표와 영양성분표 등 세븐브로이의 핵심기술을 경쟁사업자에 전달해 사업을 방해했다는 주장이다.이에 대해 대한제분은 19일 입장자료를 내고 “재출시되는 곰표 밀맥주는 새로운 파트너사의 독자적 레시피로 생산되는 제품”이라며 “레시피가 기존과 동일하다는 (세븐브로이 측) 주장은 전혀 상식적이지 않고 사실이 아니다”라고 밝혔다.또 수출 사업권 갈등에 대해선 “곰표 밀맥주의 수출은 상표권자인 대한제분의 허락 없이 진행할 수 없고, 이에 대한제분이 세븐브로이의 수출 사업을 빼앗았다는 주장 자체가 성립될 수 없다”며 허위사실에 대해 법적 조치를 할 예정이라고 했다.세븐브로이는 지난 4월 상표권 사용 계약이 종료되자 기존 곰표 밀맥주의 이름을 대표 밀맥주로 바꿨고 제품 디자인도 곰 대신 호랑이 캐릭터로 변경했다."
2022-05-17,‘밀 쇼크’에 부풀어오른 밀가루·사료株,"대한제당·대한제분 10%대 상승사조동아원·한탑 등은 상한가세계 밀 생산량 2위국인 인도가 지난 14일 식량 안보를 명분으로 밀 수출을 전격 금지하면서 식품 가격이 상승 압박을 받고 있다. 15일 서울의 한 대형마트에 밀가루가 진열되어 있는 모습. /뉴스1세계 밀 생산량 2위 국가인 인도가 밀 수출을 금지하면서 세계 ‘밀 쇼크’ 우려가 커지는 가운데 사료 및 제분 관련주가 무더기로 상한가를 기록했다.16일 유가증권시장에서 배합 사료 업체인 사조동아원이 가격 제한폭(29.97%)까지 치솟았고, 같은 업종의 대주산업(29.95%)과 한탑(29.93%)도 각각 상한가로 거래를 마쳤다.양돈 사료 생산업체인 팜스토리(22.19%), 식품회사 신송홀딩스(19.93%), 설탕·사료 제조업체 대한제당우(18.70%), 육계·양돈업체 고려산업(15.38%), 소맥분 제조업체 대한제분(14.37%), 사료·식품업체 미래생명자원(12.16%), 한일사료(10.73%) 등이 10% 이상 급등했다.15일(현지 시각) 외신에 따르면 인도 대외무역총국(DGFT)은 지난 13일 밤부터 밀 수출을 금지했다. 인도 정부는 “밀 국제 가격이 급등해 인도와 이웃 국가의 식량 안보가 위기에 처했기 때문에 필요한 수요를 맞추기 위해 수출을 제한하기로 했다”고 밝혔다.유엔식량농업기구에 따르면 2020년 기준 인도의 밀 생산량은 중국에 이어 2위다. 3위는 러시아, 4위는 미국이다. 김소현 대신증권 연구원은 “주요 농산물 수출국이 수출 제한 및 금지를 선언하고, 수입국은 재고를 비축하기 시작하면서 식량 안보 불안이 커질 조짐”이라면서 “각국의 추가적인 수출 제한 정책 강화는 소맥 가격 상승 요인으로 작용할 것”이라고 했다."
2023-06-26,"“밀가루 가격 내려달라” 정부 요청에, 제분업계 “7월 인하 검토”","'밀가루 가격 인하 여부 주목'/뉴시스정부가 제분업체들에 밀가루 가격을 내려달라고 요청했다. 업체들은 “7월에 인하 가능성을 검토하겠다”며 말을 아꼈다.26일 농림축산식품부는 서울 서초구aT센터에서CJ제일제당, 대한제분 등 7개 제분업체와 간담회를 열었다. 이 자리에서 농식품부는 밀 수입 가격이 하락한 것을 적극 감안해 밀가루 가격을 책정해달라고 요청했다. 작년 9월 1t당 496달러까지 치솟았던 밀 수입 가격이 지난달 기준 416달러까지 하락했기 때문이다.작년 같은 달(438달러)과 비교하면 5.1% 떨어진 것으로, 지난 3월부터 3개월 연속으로 전년보다 가격이 하락했다. 밀 선물 가격도 작년 5월 1t당 419달러까지 올랐다가 이달에 243달러로 떨어졌다. 다만, 밀 선물 거래(미래 특정 시점에 미리 정한 가격으로 매매하기로 약속하는 거래) 가격이 수입 가격에 반영되기까지는 4~6개월 정도가 걸리는 것으로 알려져 있다.제분업체들은 “선물 가격과 수입 가격의 시차, 부대비용과 환율 상승 등을 고려하면 여전히 어려운 점이 있다”며 “물가 안정을 위해 7월에 밀가루 출하가격 인하 가능성을 검토하겠다”고 했다.최근 밀을 비롯한 국제 곡물 가격이 하락하면서 식품 업체들에 가격을 낮춰달라는 요구가 커지고 있다. 원료인 곡물 가격은 떨어지는데, 이를 가공한 식품 가격은 여전히 높은 수준에 머무르고 있다는 것이다. 실제 통계청에 따르면, 밀가루 소비자물가지수는 5월 139.2로 작년보다 9.6% 올랐다. 이에 추경호 부총리가 지난 18일 한 방송 프로그램에 출연해 “국제 밀 가격이 하락한 것에 맞춰 기업들이 라면값을 적정하게 내렸으면 좋겠다”고 말하기도 했다."
2024-09-18,"남산 케이블카 운영사, 서울시에 곤돌라 ‘공사 중단’ 소송 제기","남산 케이블카를 운영하는 한국삭도공업이 지난달 말 남산 곤돌라 공사를 중단하라며 서울시를 상대로 행정소송을 냈다.남산에서 노랗게 변한 은행나무 뒤로 케이블카가 푸른하늘에 미끄러지듯 산 정상을 향해가고 있다. /이태경 기자18일 서울시에 따르면 한국삭도공업은 지난달 말 서울행정법원에 남산 곤돌라 사업 부지에 대한 서울시의 용도구역 변경 결정의 효력을 정지해달라며 소송을 제기했다.앞서 서울시는 지난달 1일 곤돌라 사업 부지의 용도구역을 도시자연공원구역에서 공원으로 바꿨다. 곤돌라 운영을 위해서는 높이 30m가 넘는 중간 기둥을 세워야 하는데, 도시자연공원구역에는 높이 12m 이상의 구조물을 설치할 수 없어서다.이에 대해 한국삭도공업은 “서울시가 도시자연공원구역 해제 기준을 따르지 않았다”고 주장했다. 반면 서울시는 “용도구역을 ‘해제’할 때만 기준이 있는 것이고, 이번 용도구역 ‘변경’은 기준을 따르지 않아도 된다”며 문제가 없다는 입장이다.한편 한국삭도공업은 이외에도 남산 곤돌라가 개통하면 인근 학교의 학습권을 침해하고 자연환경을 훼손할 우려가 있다는 등의 이유로 곤돌라 공사 중단을 주장하는 것으로 알려졌다.남산 케이블카는 5·16 군사정변 직후인 1961년 당시 대한제분 사장이었던 한석진(1984년 사망)씨가 허가를 받아 이듬해 운영을 시작했다. 민간 기업에 사업권을 내줄 당시 사업 종료 시한을 따로 정해 두지 않아 남산 케이블카는 60년 넘게 ‘가족회사’의 형태로 대물림되고 있다. 지금도 회사 공동대표로 한석진씨의 아들인 한광수(83)씨와 이기선씨가 등록돼 있고, 한씨와 이씨 일가가 회사 지분 100%를 소유하고 있다.독점 운영이 지속되면서 ‘이제라도 특혜를 뺏어야 한다’는 등의 주장이 제기돼 지난 2016년에는 서울시의회가 특별위원회를 꾸려 행정 사무조사를 실시하기도 했다. 당시 서울시의회는 한국삭도공업이 인건비를 과다하게 기재하는 등 재무회계가 불투명하게 운영되고 있다고 지적했다. 서울시의회는 케이블카 사업의 허가 기간을 제한하는 근거를 마련하도록 궤도운송법 개정을 건의할 것을 서울시에 요구했지만, 지금까지도 남산 케이블카는 한국삭도공업이 운영하고 있다.상황이 달라진 건 작년 6월 서울시가 ‘남산 프로젝트’의 일환으로 명동역과 남산 정상을 잇는 남산 곤돌라를 발표하면서다. 지난 2016년 서울시가 명동역과 남산을 잇는 곤돌라를 설치하겠다고 했다가 백지화했는데, 이를 재추진하기로 한 것이다. 서울시가 직접 운영하고 케이블카보다 5000원 정도 저렴한 곤돌라를 짓기로 하면서 오는 2026년부터는 케이블카의 독점이 깨지게 된 셈이다. 이에 이번 한국삭도공업의 소송 제기를 두고 ‘남산 케이블카의 독점 체제가 깨질 위기에 놓이자 이를 막기 위한 것 아니냐’는 주장도 나온다."
2024-09-19,"62년 독점 남산 케이블카, ‘경쟁 상대’ 곤돌라 등장에 서울시에 건설 중단 소송","지난 2008년 9월 26일 오전 남산에서 노랗게 변한 은행나무 뒤로 케이블카가 푸른하늘에 미끄러지듯 산 정상을 향해가고 있다. /이태경 기자서울시가 최근 지하철 4호선 명동역과 남산 정상을 잇는 곤돌라 건설 공사를 시작한 가운데, 1962년 이후 남산 케이블카를 단독 운영해 온 민간 업체가 제동을 걸고 나섰다. “60년 넘게 이어온 독점이 깨질 것 같으니 시비를 거는 것 아니냐”는 지적이 나온다.18일 법조계와 서울시 등에 따르면, 남산 케이블카를 운영하는 한국삭도공업과 환경 단체, 대학생 등은 지난달 말 서울행정법원에 곤돌라 공사를 중단해 달라는 취지의 집행정지 가처분 신청을 냈다. 업체 등은 “서울시가 관련 절차를 거치지 않았다” “남산 곤돌라가 개통하면 근처 학교 학생들의 학습권이 침해되고 남산의 자연 환경이 훼손될 우려가 크다”고 주장하고 있다.한국삭도공업은 1962년부터 남산 중턱과 정상을 오가는 케이블카를 운영하고 있다. 우리나라 최초의 여객용 케이블카다. 대한제분 사장이었던 한석진씨가 사업권을 받았으나 당시 사업 종료 시한을 따로 정하지 않아 대를 이어 독점 운영하고 있다. 이러다 보니 수시로 특혜 시비가 일었다. 국가 소유인 남산에서 특정 ‘가족 기업’이 무기한 독점 영업을 하는 게 맞느냐는 것이다.2016년 서울시의회는 한국삭도공업이 운영비에 인건비를 과다하게 반영하는 등 불투명하게 운영되고 있다고 지적했다.작년 6월 서울시가 남산 곤돌라 건설 계획을 발표하면서 상황이 달라졌다. 서울시는 “관광객이 몰려 케이블카를 타려면 한 시간씩 기다려야 한다”며 “남산 곤돌라가 생기면 정상으로 올라가는 길이 더 수월해질 것”이라고 했다. 요금도 남산 케이블카보다 5000원가량(성인 왕복 기준) 싸게 정할 계획이다. 단체 관광객을 위해 곤돌라 출발 지점인 예장공원 지하에는 관광버스 전용 주차장도 운영한다.서울시 관계자는 “케이블카 업체가 가처분 신청을 내 황당하다”며 “2026년 개통에 차질이 없도록 추진할 계획”이라고 했다."
2022-06-14,"“종가집, 김치 말고 김밥도 팔아요”…편의점 이색 협업에 ‘돈쭐’","게임사, 힙한 도넛, 녹차와 협업…브랜드 충성팬 노리기MZ세대 인증샷 찍기 좋은 패키지 디자인박재범과 협업한 특별 매장엔 새벽부터 문전성시편의점을찾는사람들의 발걸음이갈수록늘어나고 있습니다. 산업통상자원부가 공개한 자료를 보면 지난해 한국의 대표 편의점 3사(CU,GS25, 세븐일레븐)의 매출이 사상 처음으로 대형마트 3사(이마트, 롯데마트, 홈플러스)를 앞지를 정도로 ‘편의점이 대세’인 시대가 됐습니다. 주요 편의점 3사의 매출이 전체 유통업계에서 차지하는 비율은 15.9%입니다. 대형마트 3사의 비율 15.7%를 근소한 차이로 따돌렸습니다. 업계에서는 편의점이 다양한 전략들을 앞세웠기 때문에 오프라인 시장에서 대형마트를 꺾은 것이라고 평가합니다.대형마트보다 가격 경쟁력도 떨어지고, 살 수 있는 품목도 제한적인 편의점이 어떻게 대형마트를 제칠 수 있었을까요?지난해CU전체 맥주 매출 1위를 기록한 곰표 밀맥주. /BGF리테일유통업계는 편의점 업체들의 핵심 판매 전략 중 하나인 다양한 협업 제품 출시에 키(key)가 있다고 보고 있습니다.CU가 편의점에서 단독 판매하고 있는 ‘곰표 밀맥주’가그런사례입니다. 대한제분과 세븐브로이의 협업을 통해 만든 이 맥주는 대형 제조사가 만든 맥주를모두 제치고 2021년CU가 판 전체 맥주 가운데매출 1위를 차지했습니다. 지난 30여 년 동안 편의점 맥주 시장에서 단독 판매하는 차별화 상품이 대형 제조사 제품들을 누르고 1위에 오른 것은 처음 있는 일입니다. 최근편의점 업계에어떤 이색 협업 제품이 나왔는지잡스엔이알아봤습니다.◇“검은 편의점에서 검은 간식을”…이마트24, 게임 ‘검은사막’과 협업인기 게임 ‘검은사막’과 협업한 이마트24. /펄어비스이마트24는 인기 게임인 검은 사막과 협업한 제품 9종을최근출시했습니다. 이번 협업으로 출시한제품은 검은삼각(삼각김밥 2종), 검은버거(그릴드 스테이크버거), 블랙 디저트(흑임자 크림치즈 찰떡), 검은사리(오징어먹물 파스타), 검은츄로(초코 츄러스 스낵), 검은새치(블랙페퍼 치킨새우강정) 등이 있습니다. 검은커피는 6월 21일에 출시할 예정입니다. 콜라보 제품은 프리미엄을 콘셉트로 검은색 원재료를 사용하고 검은색 패키지로 구성했습니다.특별 매장(팝업 스토어) '24BLACK’도 이마트24 삼청동점에 오픈했습니다. 특별 매장인 일명 ‘검은 편의점’은방문자가 검은사막 게임 속 한 공간에 존재하고 있는 것처럼 느껴지도록실내를 검게설계했습니다. ‘24BLACK’은 1층 ‘포토부스&편의점 공간’과 2층 ‘전시&체험 공간’으로 구성했습니다. 협업 제품들은 전국 이마트24에서 만나볼 수 있지만, 이 특별 매장은2022년6월 30일까지만한시적으로 운영합니다.◇MZ세대 인기 브랜드부터 전통 브랜드까지 다양한 협업GS25에서 판매 예정인 왼쪽부터 슈퍼말차라떼, 슈퍼말차초코콘. /GS리테일GS리테일도 6월 15일부터 편의점GS25에서 ‘슈퍼말차초코콘’,‘슈퍼말차라떼’ 2종을 먼저 선보입니다. 2021년부터GS리테일이 진행해오는 ‘힙 플레이스’ 입점 프로젝트의 일환입니다. 슈퍼말차는 국내 유기농 보성 말차를 사용하는 프리미엄 말차 전문 브랜드입니다.  2019년 10월 성수점 오픈 이후, 녹차 덕후들의 대표 말차 맛집으로 자리를잡으며 더현대서울, 롯데월드몰, 동탄점 등 5곳에서직영 매장이 운영되고 있습니다.슈퍼말차는 이번GS리테일과의 협업을 통해 편의점 콘셉트의 특별 매장을 선보일 예정입니다. ‘슈퍼말차 25’를 슬로건으로내세워7월 15일부터 약 한 달간 현대백화점 더현대서울을 시작으로 릴레이 팝업 스토어를 운영합니다.세븐일레븐과 종가집이 협업해 출시하는 간편식 4종. /세븐일레븐세븐일레븐 역시 김치 브랜드 ‘종가집’과 손잡고 스페셜 콜라보레이션 간편식 4종을 출시했습니다.먼저6월 7일 여름 별미 메뉴인 '종가집 열무도시락' 2종(열무비빔밥, 열무비빔국수)을 선보였습니다. 14일에는 세븐일레븐의 기존 판매 베스트 메뉴에 종가집 김치를 더해 업그레이드한 ‘종가집 김치볶음밥’과 ‘종가집 참치김치김밥’을 출시합니다.세븐일레븐과 농촌진흥청이 협업한 상주곶감수정과. /세븐일레븐세븐일레븐은 또 농촌진흥청과 협약을 통해 개발한 프로젝트 상품 ‘세븐셀렉트 상주곶감수정과’를 선보입니다.세븐셀렉트 상주곶감수정과는 농촌진흥청에서 추천한 지역우수 농업인 신경순 씨가 키운 상주 둥시곶감으로 만들었습니다. 둥시곶감은 쫀득한 식감과 깊은 맛이 특징으로 고품질 상주 곶감의 대표 품종입니다.이상품은 ‘식혜 1호’ 식품명인(77호) 문완기 명인이 제조를 맡아 주목을 받았습니다.◇“유명∙인기 브랜드의 등에 올라타라”도넛 브랜드와 협업 우유, 한달만에 200만개‘불티’편의점은 왜 이런 브랜드들과 협업할까요. 브랜드 협업 상품이 일종의 인기 보증 수표가 됐기 때문입니다.유명브랜드의 충성팬들이협업 제품을 살 가능성이큽니다.GS25 상품 중 유명 도넛 브랜드인 노티드와 협업해 만든 ‘노티드 우유’의 경우출시 한 달 만에 200만 개 이상이 판매되기도 했습니다. 노티드우유 3종은 출시 첫 달 가공유 상품 중 빙그레 바나나우유에 이어매출 2위에 올랐습니다.GS25가 출시한 노티드 스마일위트에일 수제맥주. /GS리테일지난 3월 출시한 노티드 스마일위트에일도판매첫 달에수제맥주 매출 1위에 올랐습니다. 출시 이후 누적 매출 기준으로 60여종의GS25의 수제맥주 중 6위를 달리고 있습니다.맛뿐아니라MZ세대들이 인증샷을 찍고 싶어할 만한 패키지 디자인을 상품에 적용했기 때문에 인기를 끄는 것 같습니다.원스피리츠와 협업해 특별매장을 낸GS25. /GS리테일GS25가가수 박재범이운영하는주류회사 원스피리츠와협업한 것도 성공 사례로 꼽힙니다.GS25는 5월 31일 부산 전포동 카페거리에 팝업스토어 ‘지에스 원(GSWON)’을 오픈했습니다. 특별 매장의 입장은 오전 10시 반부터 진행됐지만 팝업스토어 앞에는 새벽부터 줄 선 사람들이 가득했습니다. 특별 매장 오픈 첫 날에는 1000명이 넘는 고객들이 방문한 것으로 집계됐습니다.과거에는 편의점 자체 상품인 경우가성비만 추구한다는 인식이 있었습니다. 하지만 점점 그런인식을 깨는 독특한 협업 상품들과 참신한 이벤트들이 나온 덕분에 편의점 자체 상품도 흥행 보증 수표가 된 것 같습니다. 특별한 소비 경험과 감성까지 제공하는 편의점 협업 상품에 오늘도소비자들은 기꺼이지갑을 열고 있습니다.잡스엔추천기사"
2022-03-31,"“활어회 팔고, 세탁도 뚝딱”…오프라인 플랫폼으로 진화중인 편의점","코로나19로 비대면 문화가 확산하면서 소비 방식도 많이 달라졌습니다. 그러다 보니 간단한 생필품 소비도 집밖을 멀리 벗어나기보다 가까운 편의점을 이용하는 사람들도 늘고 있는데요. 산업통상자원부의 2021년 유통업계 매출동향 자료를 보면 편의점 매출은 2020년 대비 2021년 6.8%나 늘었습니다.생활 속에서 편의점 역할이 커지면서 위상도 달라지고 있습니다. 먹거리 판매를 넘어 골프채 같은 고가 제품을 빌려주는 렌탈샵, 공과금 납부를 할 수 있는 주민센터, 은행, 세탁소, 우체국, 횟집까지…. 생활 속 ‘필수 오프라인 플랫폼’으로 자리잡는 모습입니다. 안정적인 수익을 보장한다는 인식이 커지면서 일찍이 편의점 창업에 뛰어드는 20·30대 청년들도 늘고 있다고 하는데요. 변신에 변신을 거듭하는 편의점의 세계를 잡스엔이 알아봤습니다.드라마 ‘편의점 샛별이’에서 배우 김유정이 편의점 알바생을 연기하는 모습. /SBS‘소비 편의’에서 ‘생활 편의’로 진화편의점은 소비 편의를 넘어 생활 편의로 서비스를 확대하고 있습니다. 생활에 꼭 필요한 서비스를 제공해 멀리 찾아가는 번거로움을 줄여줍니다.GS25와CU,세븐일레븐 등 편의점 업계가 제공하는 서비스만 수십가지에 달합니다.편의점 업계에서 가장 주목 받는 서비스는 ‘렌탈’입니다. 취미 생활에 아낌없이 지갑을 열며 ‘플렉스’(Flex·성공이나 부를 뽐내는 행위)하는MZ세대를 겨냥해 나온 것인데요. 골프채나 낚시용품 같은 값비싼 제품들을 구입하기 전에 일단 체험부터 해보라는 취지입니다.렌탈 서비스로 대표적인 편의점은CU입니다. 게임기와 미용기기, 캠핑장비, 스포츠용품 등을 빌려줍니다. 대여 기간은 최소 3일인데, 장기 계약을 맺을 필요가 없어 다양한 제품을 가볍게 체험해 보기 좋습니다. 갤럭시워치(900원), 에어팟프로(800원), 아이패드 프로 5세대(4700원), 다이슨 헤어드라이어(1800원), 시네빔(2400원), 레이저 퍼터(1400원) 등을 빌려 사용해볼 수 있다고 합니다.세탁서비스를 선보이는 곳도 있습니다.GS25는 물세탁 서비스를 비롯해 생활 빨래와 드라이클리닝, 프리미엄 클리닝, 수선 등의 편의를 제공합니다. 세탁물을 들고 편의점에 방문해 전용 세탁 수거 봉투에 세탁물을 담아 바코드를 접수하면, 다음날 세탁물 인수증이 카카오톡을 통해 발행됩니다. 이후 세탁품목과 가격을 확인한 후 결제하면 됩니다.편의점은 주민센터 역할도 합니다. 바로 무인복합기 서비스인데요, 편의점에서 간단한 문서 업무를 볼 수 있는 것이죠.CU는 300여개 점포에서 복사나 인쇄, 팩스, 스캔 등 복합기와 연동된PC를 통해 주민등록등본과 어학성적표 등을 출력할 수 있도록 했습니다.GS25에서는 101개 기관의 공공요금과 세금을 수납할 수 있습니다. 세븐일레븐은 종합 민원 문서 출력 서비스를 도입했는데, 앱을 통해 발급할 민원 문서를 선택한 후 출력 희망 점포를 고르면 정부24에서 제공하는 증명서를 발급받을 수 있다고 합니다.문서 처리에 이어 금융 업무도 편의점에서 가능합니다. 단순히 현금입출금기(ATM)를 들여놓는 수준이 아니라 체크카드 발급을 할 수 있습니다. 근무 시간과 은행 업무 시간이 겹치는 직장인이 자주 이용할 것으로 보입니다.먼저CU는 2021년 하나은행과 협약을 맺고 업계 최초로 상업자 표시 편의점(PLCS)을 열었습니다. 50여가지 은행 업무가 가능한 종합금융기기STM(SmartTellerMachine)을 설치해 입출금, 통장 정리, 계좌개설, 체크카드 및 보안카드 발급 등을 할 수 있도록 했습니다.GS25는KB국민은행과 협의해 간편 결제 핀테크 시스템을 선보였습니다. 신용카드를 연동하면GS25뿐 아니라GS리테일 온오프라인 매장에서 간편결제를 할 수 있는 시스템입니다.이밖에 전기 오토바이 충전소를 설치하는 편의점도 있습니다. 배달 시장이 급속도로 성장하면서 가까운 편의점에서 전기 오토바이 배터리를 충전할 수 있도록 인프라를 확대해 나가고 있는 것이죠.학생들 사이에서는 유통기한 마감 세일을 알려주는 서비스도 인기입니다. 편의점 삼각김밥과 도시락 등 유통기한이 임박한 상품이나 점포에서 판매가 부진한 상품을 폐기하는 대신 할인된 가격으로 판매하는 것입니다.노량진 수산시장의 활어회를 편의점에서 맛볼 수 있다. /유튜브 채널 ‘아이즈매거진’ 캡처편의점 이색협업 열기도 여전합니다. 지난 2019년CU가 대한제분과 협업해 ‘곰표 시리즈’를 선보인데 이어 재밌는 협업 사례가 연달아 나오고 있습니다.CU는 수산물 전문 유통 플랫폼 ‘인어교주해적단’과 손잡고 수산시장 활어회 픽업 서비스를 선보이고 있습니다. 퇴근길에 싱싱한 회가 생각나지만, 횟집에 찾아가기는 부담스러운 직장인이라면 이제 편의점에서 회를 받아 먹을 수 있는 것이죠.이마트24는 애플과 손잡았습니다. 전국 370여개 점포에서 애플 액세서리 특화 매장을 운영합니다. 애플 전용 판매대를 설치하고, 에어팟 프로와 에어팟, 애플펜슬, 케이블 등 다양한 정품 제품을 판매하고 있습니다. 이밖에 이마트24는 영화 예매권과 다이아몬드 반지 등을 판매해 화제가 되기도 했습니다.편의점이 유망 창업 아이템?코로나19 상황에서도 매출이 늘어나는 등 생활 속에서 편의점의 역할이 커지자 창업에 뛰어드는 20·30대 청년들도 늘고 있습니다. 여기에 고용 불안이 이어지면서 편의점이 청년들 사이에서 도전해볼 만한 사업 아이템으로 주목받는 것이죠.편의점은 가맹비와 인테리어 등 수억원의 투자 비용이 드는 카페와 치킨집에 비해 창업 비용이 덜 들고, 시스템이 안정적으로 갖춰져 있어 경영 노하우가 적어도 점포를 운영할 수 있다는 인식이 큽니다.편의점에 젊은 점주들이 늘면서 재치있는 안내가 온라인에서 화제가 되고 있다. /온라인 커뮤니티실제로 편의점 신규 점포 창업 연령대별 비중을 보면 기존에 가장 높은 비중을 차지하던 50대는 줄어들고, 20·30대 창업 비중은 늘고 있습니다.CU신규 점포의 20대 창업 비중은 2019년 6.0%에서 2020년 7.4%로 올랐습니다. 2021년에는 10.4%를 기록했고, 2022년 1~2월은 2021년 같은 기간 대비 26.5% 증가세를 보였습니다. 30대도 마찬가지입니다. 2019년 17.4%에서 2021년 19.1%로 비중이 늘었습니다. 신규 점포를 낸 자영업자 10명 가운데 3명이 청년층인 것이죠.GS25와 세븐일레븐도 사정은 비슷합니다.GS25의 20·30대 점주는 2019년 34%에서  2021년 40.6%로 늘었다고 합니다. 세븐일레븐 역시 2019년 37.1%에서 38.5%로 조금 늘었습니다.편의점 업계는 젊은 점주가 늘어나는 것을 반기는 분위기입니다.MZ세대는 유행에 민감하고, 신상품 도입과 홍보에도 적극적이기 때문에 브랜드 인지도 제고에 도움이 된다는 입장입니다."
