date,title,content
2024-05-07,"‘제4이통’ 스테이지엑스, 야놀자 등 컨소시엄 참여 명단 공개","7일 정부에 주파수 대금 1차분 430억원 납부조만간 기간통신사업자 등록 마무리서상원 스테이지엑스 대표가 지난 2월 열렸던 미디어데이 행사에서 발표하는 모습. /뉴스1제4이동통신사로 선정된 스테이지엑스가 7일 과학기술정보통신부에 주파수 대금(1차분 430억원)을 납부하고 본격 출범했다. 이날 컨소시엄 명단도 공개한 스테이지엑스는 조만간 기간통신사업자 등록을 마무리하고, 5G(5세대이동통신) 주파수 28GHz대역을 기반으로 한 ‘리얼5G’서비스를 추진하게 된다.스테이지엑스는 대표사이자 최대주주인 알뜰폰업체 스테이지파이브를 비롯해 야놀자, 더존비즈온이 주주사로 컨소시엄에 참여했을 뿐 아니라, 연세의료원, 카이스트, 인텔리안테크놀로지스, 폭스콘인터내셔널홀딩스, 신한투자증권 등이 파트너사로 참여한다.스테이지파이브의 경우, 통신사업에 필수적인 기술과 서비스 개발을 주도하면서 ‘리얼5G’서비스에 필요한 코어망을 클라우드화하는 데 주력할 예정이다. 야놀자와는 국제공항을 중심으로 28GHz핫스팟을 구축하게 된다. 공항을 이용하는 내외국인에게 리얼 5G 서비스를 제공하겠다는 계획이다. 이뿐 아니라 통신 로밍, 여행자 보험, 여행 관련 콘텐츠를 원스톱으로 제공하겠다는 계획도 갖고 있다. 인터파크트리플과는K-POP과 뮤지컬 공연장에서 특화 서비스를 선보일 계획으로,AR·VR(증강·가상현실), 홀로그램, 멀티뷰 실감형 콘텐츠를 공동 발굴하기로 했다. 더존비즈온과는 기업 전용 상품을 공동 개발하게 된다.연세의료원·카이스트와는 혁신서비스를 발굴하고, 인텔리안테크놀로지스와는 6G(6세대이동통신) 시대를 대비하기로 했다. 폭스콘인터내셔널홀딩스와는 28GHz대역을 지원하는 중저가 단말기를 공동으로 개발한다. 이밖에 신한투자증권은 자금 조달 주관 및 자문 파트너로 참여하게 된다.스테이지엑스는 사업 자본금으로 2000억원을 계획했다. 초기 확보한 자금은 500억원대로는 주파수 대금 납부와 사무실 임대, 운영 경비 등을 충당하고, 설비투자 및 혁신서비스 출시에 필요한 자금을 시리즈A 투자유치로 마련하게 된다. 지난달부터 글로벌 투자사와 세부 논의를 시작한 상태다.서상원 스테이지엑스 대표는 “출범을 위한 모든 준비가 성공적으로 마무리됐고, 앞으로 후속 자금 유치도 조속히 마무리하겠다”며 “스테이지엑스 출범을 통해 통신시장 경쟁 활성화 뿐 아니라, 국내 투자 활성화 및 고용을 창출해 기업의 순기능을 다 할 수 있도록 하겠다”고 말했다.[조선일보와 미디어DX가 공동 개발한 생성형AI의 도움을 받아 작성한 기사입니다.]"
2024-01-19,한동훈이 “총선 어떻게 이기냐”고 묻자 AI가 한 대답은?,"국민의힘 한동훈 비대위원장이 19일 오후 서울 중구 을지로 더존비즈온 을지로점에서 열린 ‘공공부문 초거대AI활용 추진 현장 간담회’에서 공공민원 관련GPT연동AI휴먼과 실시간 대화 서비스를 체험하고 있다./뉴스1한동훈 국민의힘 비상대책위원장이 19일 서울 중구 더존비즈온 을지로점에서 열린 ‘공공부문 초거대AI활용 추진 현장 간담회’에 참석해 초거대AI서비스 체험에 나섰다. 초거대AI는 대용량 데이터를 스스로 학습해 인간처럼 종합적 추론을 하는 것이 가능하다.한 위원장이 초거대AI에 “관공서에서 물어볼 건 아닌 거 같은데, 국민의힘이 국회의원 선거에서 이기려면 어떻게 해야 하나”라고 묻자, 초거대AI는 3가지 방안을 제시했다.초거대AI는 “후보자의 정책과 이념을 분석해 자기에게 가장 일치하는 후보에게 투표할 수 있다”며 “주변 사람들에게 후보에 대한 정보를 공유하고, 동참을 유도해 지지를 확대할 수 있다”고 했다. 아울러 “선거 참여율을 높이기 위해 주변 사람들을 독려하고 투표소에 가는 것을 도와줄 수 있다”며 “이러한 노력을 통해 국민의힘이 선거에서 이길 수 있다”고 답했다. 이에 한 위원장은 “잘 적어야겠다”며 “저렇게 하면 이길 수 있겠다”고 말했다.한 위원장은AI가 대답할 때 연거푸 주변의 당직자들에게 받아 적으라는 지시를 했다, 그는 이 밖에도 “주민등록증을 발급받으려면 어디로 가야 하나” “국내에서 비행기를 탈 때 신분증을 안 갖고 오면 어떻게 해야 하나” 등을 질문했다.시연에 함께한 정상원 이스트소프트 대표이사가 “뿔테안경이 가장 잘 어울리는 사람이 누구냐”고 질문하자,AI가 “개인의 취향과 외모에 따라 다를 수 있다”고 답하는 것에 “이게 맞다”며 웃음을 터뜨리기도 했다.한 위원장은 이날 간담회에서 “AI관련 산업을 증진하는 게 대한민국을 발전시키고 국민 삶을 개선한다는 것을 잘 알고 있다”며 관련 산업에 대한 지원 필요성을 강조했다. 그는 이세돌 사범과AI알파고의 대국 사례를 언급하며 “모두가 바둑은 계산의 영역이 아니라 인간 뇌의 탐구 영역을 보여주는 정점이라고 생각했다”며 “(대국을 통해) 아무리 우수한 인간 기사도 절대 이기지 못한다는 것을 받아들이게 됐다”고 했다.한편 이날 간담회에는 조준희 한국소프트웨어산업협회장, 송호철 더존비즈온 플랫폼사업 대표, 고진 대통령직속디지털플랫폼정부위원회 위원장, 하정우 네이버클라우드AI이노베이션 센터장 등이AI산업 추진 현황 등을 소개했다."
2024-11-28,"AI 주도권, 반도체서 소프트웨어로 이동하나","美증시SW업종 수익률 좋아최근 반도체 기업들 주가보다 소프트웨어 기업들 주가가 강세를 보이자,AI(인공지능) 산업 주도권이 반도체 기업에서 소프트웨어 기업들로 이동하고 있다는 분석이 나온다.27일 미국 경제 매체 마켓워치에 따르면, 최근 한 달간(26일 기준) S&P500 반도체 및 반도체 산업 지수는 4.11% 하락한 반면, 소프트웨어 기업들을 모은 S&P500 소프트웨어 지수는 같은 기간 5.3%의 수익률을 보였다.미 증권사 웨드부시는 25일 “엔비디아가 촉발한AI수혜주 랠리에 앞으로 더 많은 소프트웨어 주식이 참여할 것”이라며 “이제AI소프트웨어 시대가 도래했다”고 했다. 그러면서 클라우드 기반의 데이터 스토리지 회사인 스노플레이크, 데이터 분석 회사인 엘라스틱에 대한 투자 의견을 ‘중립’에서 ‘시장 수익률 상회’로 상향 조정했다. 최근 한 달간 이들 주가는 40% 이상 급등했다.외신은AI소프트웨어 기업 붐의 배경으로 생성형AI도입으로 인한 거대 언어 모델(LLM) 등장과 기업들의 적극 활용, 하드웨어 기업과 달리 트럼프 행정부 2기의 고율 관세 부과 정책에 비교적 자유로운 점 등을 꼽고 있다.국내 증시에서도AI소프트웨어 기업들이 주목받고 있다. 응용 소프트웨어 개발 업체인 더존비즈온과 한글과컴퓨터는AI기술을 적용한 제품 매출 확대 등으로 최근 한 달간 주가가 각각 35%, 45%가량 상승했다. 관련ETF(상장지수펀드)도 등장하고 있다.KB자산운용은 26일 ‘RISE미국AI테크액티브’를 출시했다. 편입 자산의 절반은 팔란티어, 몽고DB등AI소프트웨어 기업들로 구성했다."
2022-01-27,"BBIG도 얼어붙었다, 시총 48조 증발","배터리·바이오·인터넷·게임대표종목 12개 중 11개가 하락올 들어BBIG(배터리·바이오·인터넷·게임) 업종 대표 기업의 시가총액이 50조원 가까이 증발한 것으로 집계됐다.BBIG는 미래먹거리라는 평가를 받는 업종들이지만 연초부터 몰아치는 금리 인상 한파에 얼어붙고 있다.크래프톤의 대표적인 게임 배틀그라운드: 뉴스테이트. /크래프톤26일 한국거래소에 따르면, 올 들어 지난 25일까지 거래소가 산출하는 ‘KRXBBIGK-뉴딜지수’ 구성 종목 12개 중 11개 종목의 주가가 하락했다. 4.6% 상승한LG화학을 제외한 나머지 종목의 주가가 모두 떨어졌다. 이 지수는 배터리, 바이오, 인터넷, 게임 업종의 대표 기업 3종목씩 총 12종목으로 구성돼 있다. 정부가 2020년 내놓은 한국판 뉴딜 정책에 민간이 호응하는 차원에서 거래소는 2020년 9월부터 이 지수를 산출해 발표하고 있다.게임업종의 크래프톤 주가가 36.7% 하락했고, 인터넷 업종의 카카오(-22.1%)와 더존비즈온(-21.8%) 주가도 크게 하락했다. 바이오 업종의SK바이오사이언스(-23.6%), 셀트리온(-20%) 역시 큰 폭으로 하락했다. 그러다 보니 12종목의 시가총액 합계가 지난해 말에는 376조6279억원에 달했는데, 지난 25일에는 328조715억원으로 48조원 넘게 줄어들었다. 배터리 업종의 경우LG화학의 주가가 상승했고, 삼성SDI(-2%)나SK이노베이션(-1.7%)도 주가가 크게 하락하지는 않았다.정의현 미래에셋자산운용 상장지수펀드(ETF) 운용팀장은 “미국 연방준비제도의 기준금리 인상 우려, 미국 국채 금리 급등, 러시아의 우크라이나 침공 가능성 등 지정학적 리스크로 인해 전 세계적으로 위험자산인 주식에 대한 선호 심리가 급격히 축소되고 있다”며 “특히 금리 인상은 성장주의 미래 가치에 대한 ‘디스카운트’를 불러와 국내 대표 성장주인BBIG업종 대표 종목들의 주가가 더 크게 하락한 것”이라고 했다.금리 인상기에 접어들었지만BBIG업종이 투자 매력을 완전히 잃은 것은 아니라는 분석도 나온다. 정의현 팀장은 “LG에너지솔루션이 상장 후 주가가 상승하면 투자자들은 투자 대안인 삼성SDI나SK이노베이션, 배터리 소재 기업 등에도 주목하게 될 것”이라며 “메타버스(3차원 가상세계) 기술의 발전과 함께 인터넷·게임 업종의 대표 기업들도 성장세를 이어갈 것으로 기대해볼 만하다”고 했다."
2024-04-05,"더존비즈온, 네번째 인터넷 은행 설립 출사표","4일 전사적자원관리(ERP) 전문기업인 더존비즈온이 국내 네 번째 인터넷 전문은행에 출사표를 냈다. 더존비즈온은 이날 중소기업·소상공인 특화 인터넷전문은행인 ‘더존뱅크(가칭)’를 세워 기업 데이터 기반의 혁신 금융을 선보이겠다는 포부를 밝혔다.‘제4인터넷 전문은행’을 향한 경쟁 구도에 더존비즈온이 뛰어들면서 소소뱅크,KCD(한국신용데이터)뱅크, 유뱅크, 더존뱅크가 4번째 자리를 두고 경쟁하게 됐다.더존뱅크가 내세운 혁신은 기존 은행이 확장하기 어려웠던 중소기업·소상공인 분야의 상품 특화다. 금융당국이 인터넷은행 인가 심사에서 은행권 경쟁력을 높일 ‘혁신성’을 가장 중요한 기준으로 평가한다. 그동안 중소기업·소상공인은 정확한 신용평가등급 자료가 없어 담보, 보증에 의존하는 등 이들에게 원활한 자금공급이 어려웠다.하지만 더존뱅크는 더존비즈온이 보유한 방대한 기업 데이터와 기업용 솔루션 경쟁력으로 이들을 위한 맞춤형 상품 개발이 가능하다고 주장한다. 중소기업·소상공인 특화 은행에 필요한 기업 데이터와 인공지능(AI)을 활용한 기업 신용평가모형 개발 역량도 확보해둔 상태다. 또 기업의 핵심 솔루션인ERP와 그룹웨어 등을 중심으로 기업 자금흐름 정보, 데이터 검증장치, 내부통제 기능까지 활용하며 금융 혁신을 위한 기업 데이터의 가치를 높일 계획이다.앞으로 더존비즈온은 금융당국에 인가 신청을 위한 막바지 작업에 들어간다. 더존뱅크 컨소시엄을 구성하고 대형 시중은행과 정책기관, 대기업 등을 주주로 참여시켜 경쟁력을 강화할 계획이다.한편, 더존비즈온은ERP를 비롯해 그룹웨어, 전자세금계산서 등 국내 기업 정보화 소프트웨어 분야에서 손꼽는 정보통신기술(ICT) 기업이다. 지난해 매출액은 연결기준으로 3536억원이었다. 더존비즈온이 인터넷전문은행에 도전한다는 소식이 알려지면서 4일 주가는 전날보다 21% 치솟은 5만3300원에 장을 마쳤다."
2024-04-04,"인터넷은행 출사표 낸 더존비즈온, 주가 단숨에 21% 치솟아","더존비즈온4일 전사적자원관리(ERP) 전문기업인 더존비즈온이 국내 네 번째 인터넷 전문은행에 출사표를 냈다. 더존비즈온은 이날 중소기업ㆍ소상공인 특화 인터넷전문은행인 ‘더존뱅크(가칭)’를 세워 기업 데이터 기반의 혁신 금융을 선보이겠다는 포부를 밝혔다.'제4인터넷 전문은행'을 향한 경쟁 구도에 더존비즈온이 뛰어들면서 소소뱅크,KCD(한국신용데이터)뱅크, 유뱅크, 더존뱅크가 4번째 자리를 두고 경쟁하게 됐다.더존뱅크가 내세운 혁신은 기존 은행이 확장하기 어려웠던 중소기업ㆍ소상공인 분야의 상품 특화다. 금융당국이 인터넷은행 인가 심사에서 은행권 경쟁력을 높일 ‘혁신성’을 가장 중요한 기준으로 평가한다. 그동안 중소기업ㆍ소상공인은 정확한 신용평가등급 자료가 없어 담보, 보증에 의존하는 등 이들에게 원활한 자금공급이 어려웠다.하지만 더존뱅크는 더존비즈온이 보유한 방대한 기업 데이터와 기업용 솔루션 경쟁력으로 이들을 위한 맞춤형 상품 개발이 가능하다는 얘기다. 중소기업ㆍ소상공인 특화 은행에 필요한 기업 데이터와 인공지능(AI)을 활용한 기업 신용평가모형 개발 역량도 확보해둔 상태다.또 기업의 핵심 솔루션인ERP와 그룹웨어 등을 중심으로 기업 자금흐름 정보, 데이터 검증장치, 내부통제 기능까지 활용하며 금융 혁신을 위한 기업 데이터의 가치를 높일 계획이다.앞으로 더존비즈온은 금융당국에 인가 신청을 위한 막바지 작업에 들어간다. 더존뱅크 컨소시엄을 구성하고 대형 시중은행과 정책기관, 대기업 등을 주주로 참여시켜 경쟁력을 강화할 계획이다.한편, 더존비즈온은ERP를 비롯해 그룹웨어, 전자세금계산서 등 국내 기업 정보화 소프트웨어 분야에서 손꼽는 정보통신기술(ICT) 기업이다. 지난해 매출액은 연결기준으로 3536억원이었다. 더존비즈온이 인터넷전문은행에 도전한다는 소식이 알려지면서 4일 주가는 전날보다 21% 치솟은 5만3300원에 장을 마쳤다."
2023-09-26,"더존비즈온, 전자신문 인수한다…“사업 다각화, 시너지 창출 목적”","국내 전사적 자원관리(ERP) 기업인 더존비즈온이 정보통신기술(ICT) 전문매체인 전자신문을 인수한다고 25일 공시했다. 호반건설이 보유한 전자신문 지분 74.38% 전량을 사들이는 방식으로 인수 가격은 560억원이다.더존비즈온 측은 사업 다각화 및 시너지 창출 목적으로 전자신문 인수를 추진했다고 설명했다. 이번 인수를 통해 전자신문이 보유한ICT분야 정보·콘텐트 생산 역량 등 언론사로서 정체성을 유지하고, 최대 주주로서 지원 역할을 한다는 입장이다. 또 편집권 독립을 보장하고, 기사·영상·데이터 등 다양한 콘텐트 개발 지원에 주력할 방침이다.전자신문은 1982년 창간한ICT매체다. 호반건설이 2021년 7월 인수해 2년2개월 동안 지분을 보유해왔다. 더존비즈온은 토종ERP업체로 국내 기업 중 가장 높은 시장 점유율을 차지하고 있다.더존비즈온 측은 “정보통신 분야 기업이 전문 미디어를 인수한 만큼 두 회사의 강점을 살려 디지털 전환 시대를 선도하는 이정표를 만들 것”이라고 밝혔다."
2023-09-26,IT기업과 미디어가 만나면 어떤 시너지가 날까[트랜D],"━더존비즈온,ICT전문지 전자신문과 한솥밥더존을지타워. 사진 더존비즈온국내 전사적자원관리(ERP) 기업인 더존비즈온(이하 더존)이 정보통신기술(ICT) 전문지 전자신문사를 인수한다. 국내에선 테크 기업이IT언론사를 인수하는 첫 사례인 만큼, 인수 배경과 기대 효과에 관심이 쏠린다.더존은 호반건설과 전자신문 지분 인수에 관한 계약을 체결했다고 지난 25일 밝혔다. 인수 규모는 호반건설이 보유한 전자신문 지분 74.38%(44만1230주) 전량으로 인수가는 560억원 규모다. 취득 예정일은 다음 달 20일이다.더존은 전자신문을 인수한 배경에 대해 ""SaaS통합 플랫폼(SaaSIntegrationPlatform) 기업으로 성장해 온 대표성과 디지털 전환 선도기업으로서 상징성이 크게 작용했다""고 설명했다.SaaS통합 플랫폼은 인공지능(AI), 빅데이터, 클라우드 등ICT역량을 기반으로 통합된 서비스형 소프트웨어(SaaS) 플랫폼을 말한다. 더존은 '위하고(WEHAGO)','아마란스 10(Amaranth10)','ERP10' 등 자사 솔루션을 기반으로SaaS통합 플랫폼 생태계를 확장 중이다.올해 창간 41주년을 맞은 전자신문은 국내ICT산업 발전과 궤를 같이한 대표IT전문지다. 더존 측은 ""(전자신문엔) 최근AI,디지털, 4차산업혁명 등 변화하는 산업 환경과 엄중해진 미디어 상황에 대응하기 위해 새로운 비전과 성장 동력이 필요한 시점이었다""며 ""자사ICT기술력과 전자신문의 정보력을 결합하면AI로 대표되는 디지털 시대에 시장과 산업에서 다양한 시너지를 낼 수 있을 것""이라 내다봤다.━베조스號 10년…워싱턴포스트는 어떻게 바뀌었나미국 워싱턴DC에 있는 워싱턴포스트 본사의 모습.AP=연합뉴스테크 기업의 언론사 인수는 국내에선 낯선 사례이나, 외국엔 선례(先例)가 있다. 2013년 미국 전자상거래 기업 아마존(Amazon)의 창업자 제프 베조스(JeffBezos)가 2억5000만 달러(당시 약 2789억원)를 들여 인수한 워싱턴포스트(WP)가 대표적이다.변화하는 미디어 환경에 대응하기 위해 신성장동력이 필요했다는 점 또한 전자신문 인수 건과 닮았다. 1877년 워싱턴DC에서 창간돼 미국에서 가장 오래된 신문사 중 하나였던WP는 종이신문 시대가 저물면서 광고매출 하락과 구독자 감소 등으로 심각한 경영난에 처했다. 이를 타개하기 위해 사업 다각화를 추진했지만, 성과를 거두지 못하고 결국 매각을 택했다.베조스는WP를 인수하면서 종이신문 중심의 인쇄 출판물을 디지털 브랜드로 바꾸는 디지털 전환에 착수했다. 기사 작성을 돕는 인공지능을 도입했고, 웹디자이너와 데이터 분석가 등 인재를 대거 등용했다. 아마존의 핵심 엔지니어들을WP로 파견해 디지털 경험과 기술을 전수하기도 했다. 이들은 기자와 함께 뉴스 기획부터 생산, 유통, 분석까지 전 과정에 투입됐다.신문의 '독자' 개념을 '고객'으로 재정립하기도 했다. 자체 개발한 시스템을 통해 A/B테스팅(디지털 마케팅에서 두 가지 이상의 시안 중 최적 안을 선정하기 위해 시험하는 방법)을 거쳐 콘텐트를 출고, 고객의 선호도를 실시간으로 파악했다. 성공적인 언론사 모델을 만들기 위해선 소비자 행동에 대응하는 디지털 전환이 필요하다고 판단한 것이다.그로부터 10년,WP는 놀라운 변화를 맞았다. 텍스트 일색이었던 기사는 영상, 인포그래픽 등 다양한 색을 입힌 콘텐트로 범위를 확장했다. 신문 플랫폼을 넘어 유튜브, 틱톡, 레딧 등 떠오르는 온라인 플랫폼에서도 존재감을 드러냈다. 워싱턴DC지역 신문 성격이 강했던WP는 뉴욕타임스(NYT), 월스트리트저널(WSJ)과 함께 세계에서 가장 영향력이 큰 3대 일간지로 탈바꿈했다. 인수 7년 후인 2020년엔 구독자 300만명, 사이트 방문자 수 9000만명을 기록한다.━더존-전자신문, 언론의 디지털 전환 좋은 사례 될까전자신문 역시 이번 지분 매각을 계기로 언론 본연의 역할을 강화하며 디지털 전환을 통해 외연을 확장할 전망이다. 더존은 전자신문의ICT분야 정보·콘텐트 생산 역량 등 언론사 정체성을 그대로 수용할 방침이라고 전했다. 편집권 독립을 보장해 주면서 기사뿐 아니라 영상, 데이터 등 특화된 콘텐트 개발에 주력할 수 있도록 지원하겠다는 설명이다.AI를 활용한 새로운 비즈니스 모델도 발굴한다. 더존에 따르면 회사는 사내'AI연구소'를 통해 뉴스에AI를 접목하는 플랫폼을 구축 중이다.AI로 단순 기사를 제작할 뿐 아니라, 광고주의 경영 컨설팅까지 비즈니스 모델로 만들겠다는 계획이다. 또 지금까지 축적한ICT데이터와 고객사, 전문가 풀을 활용해 더 다양한 취재 풀을 전자신문에 제공할 수 있다.더존은 전자신문과 협력해 유망ICT기업 발굴과 육성에도 나선다. 팁스(TIPS,민간투자주도형 기술창업 지원) 운영사 중 한 곳인 더존은 현재 20개 스타트업을 발굴해 키우고 있다. 세계적으로 기술패권 전쟁이 벌어지는AI,배터리, 양자, 원자력, 우주항공 등 미래 첨단 분야를 선도하는 잠재 기업을 지원하면서 국가 기술 경쟁력을 높이는 데도 크게 기여한다는 목표다.더존 관계자는 ""사회 전 영역이ICT를 토대로 빠르게 변화하는 디지털 전환(DX)의 시대를 맞아 이제는 누구나 기술의 혜택을 누릴 수 있는 디지털 격차 해소가 중요해지고 있다""며 ""미래 디지털 전환 환경을 이끄는DX선도기업으로서 대한민국 대표ICT전문매체와 시너지를 통해 국가 미래 기술 경쟁력을 높여 나갈 수 있을 것""이라고 말했다."
2023-09-25,"더존비즈온, 전자신문 인수한다 “정보기술 시너지 기대”","서울 중구에 위치한 더존비즈온 사옥 전경. 사진 더존비즈온국내 전사적 자원관리(ERP) 기업인 더존비즈온이 정보통신기술(ICT) 전문매체인 전자신문을 인수한다고 25일 공시했다. 호반건설이 보유한 전자신문 지분 74.38% 전량을 사들이는 방식으로 인수 가격은 560억원이다.더존비즈온 측은 사업 다각화 및 시너지 창출 목적으로 전자신문 인수를 추진했다고 설명했다. 이번 인수를 통해 전자신문이 보유한ICT분야 정보·콘텐트 생산 역량 등 언론사로서 정체성을 유지하고, 최대 주주로서 지원 역할을 한다는 입장이다. 또 편집권 독립을 보장하고, 기사·영상·데이터 등 다양한 콘텐트 개발 지원에 주력할 방침이다.전자신문은 1982년 창간한ICT매체다. 호반건설이 2021년 7월 인수해 2년2개월 동안 지분을 보유해왔다. 더존비즈온은 토종ERP업체로 국내 기업 중 가장 높은 시장 점유율을 차지하고 있다.더존비즈온 측은 “정보통신 분야 기업이 전문 미디어를 인수한 만큼 두 회사의 강점을 살려 디지털 전환 시대를 선도하는 이정표를 만들 것”이라고 밝혔다. 이어 “더존비즈온은 중소벤처기업부 창업지원 프로그램인 민간투자 주도형 기술창업지원(TIPS·팁스) 운영사 중 한 곳으로 현재 20개 스타트업을 발굴해 육성하고 있다”며 “앞으로 전자신문과 협력해 유망기업 발굴과 육성에 나설 경우 국가 전략 산업의 초석이 될 가능성이 높다”고 기대했다."
2024-07-18,"더존비즈온, AI 더한 기업용 솔루션 ‘옴니이솔’ 공개","더존비즈온 이강수 사장이 18일 서울 삼성동 인터컨티넨탈 서울 파르나스에서 열린 신제품 발표회에서 기업용 솔루션 ‘OmniEsol’을 소개하고 있다. 사진 더존비즈온그룹웨어에ERP(EnterpriseResourcePlanning,전사적 자원 관리),AI까지 하나로 묶은 비즈니스 플랫폼이 나왔다. ㈜더존비즈온(대표 김용우)은 업무 전반에AI를 도입한 기업용 솔루션 '옴니이솔(OmniEsol)'을 새롭게 공개했다. 현재 중소·중견기업 시장 80%를 잡고 있는 더존비즈온은 이번 신제품을 무기로 대기업과 해외 시장까지 공략하겠다는 포부를 밝혔다.더존비즈온은 18일 서울 강남구 그랜드 인터컨티넨탈 서울 파르나스에서 고객사·파트너사 관계자들을 초대해 신제품 발표회를 열었다. 이날 이강수 사장은 “옴니이솔은 디지털 전환(DX)을 넘어 인공지능 전환(AX)을 위한 혁신의 완성""이라며 ""세상에 없던 새로운 개념의 비즈니스 플랫폼으로서 기업이 필요로 하는 모든 솔루션을 담아냈다”고 강조했다.옴니이솔은 단순한ERP를 넘어 그룹웨어, 문서작성, 문서중앙화 등에AI가 더해진 비즈니스 플랫폼이다.MES(제조실행관리시스템),GSP(그룹사통합관리경영정보시스템),ICS(내부회계관리시스템), 경비 지출 시스템, 전자 구매, 공급망 관리 등에도AI가 적용된다. 이상철ERP1본부장은 “AI기반의 비즈니스 융합·연결·공유 플랫폼이 옴니이솔’이라며 ""기업 핵심 솔루션의 개별 업무 프로세스마다AI가 더해져 업무 효율을 극대화하고 개발 환경을 획기적으로 개선할 수 있다""고 설명했다.더존비즈온은AI소프트웨어 개발 플랫폼 ‘GENAIDEWS’도 소개했다. 프로그램 개발 과정에AI기술을 접목, 소스 코드 생성 등 단순하고 반복적인 작업을 자동화하고 분석·검증까지 지원함으로써 소프트웨어 개발 패러다임을 바꿀 수 있다는 게 업체 측의 설명이다.AI연구소 정재근 소장은 ""개발 과정의 오류를 줄여 시간과 비용을 절약하고, 개발 인력난으로 고충을 겪는 많은 개발 및 서비스 기업들의 고민을 해결할 수 있다”고 말했다.이와 함께 더존비즈온은 옴니이솔을 발판으로 글로벌 시장 진출 본격화도 선언했다. 업체 관계자는 “이번 신제품은 지난 30년간 축적한 기술력과AI라는 최신 기술을 집약한 결정체로 결코 해외 솔루션에 뒤지지 않는다”며 “글로벌 파트너사와 함께 세계 시장으로 진출하겠다""고 밝혔다. 실제 더존비즈온은 최근 일본 삿포로에 법인 설립을 마치고 아마존웹서비스(AWS)와 파트너십도 구축했다.이날 옴니이솔 신제품 발표회에는 1000여명이 행사장을 채워 성황을 이룬 가운데 성장전략부문 지용구 대표와 플랫폼사업부문 송호철 대표가 인공지능 전환(AX) 시대에 필요한AI기반 업무 혁신 사례와 미래 비전, 생성형AI와 통합 업무 플랫폼 만남을 주제로 발표에 나섰다.더존비즈온은 옴니이솔 출시에 맞춰 완전 개방형 비즈니스 파트너 모집에 나선다는 계획이다. 이를 통해 전 산업 분야를 아우르는 옴니이솔 영역 확대 및 시장 공략을 본격화할 예정이다. 한편, 이날 아마존웹서비스(AWS)는 옴니이솔 파트너십을 통한 고객 성장 지원 전략을 소개했다. 마이크로소프트(MS) 역시 인공지능 전환(AX)을 위한 마이크로소프트AI소개 및 비즈니스 적용 사례를 발표했다."
