date,title,content
2024-12-11,이종구 덕성학원 이사장,"학교법인 덕성학원 이사회는 이종구(71) 이사를 제15대 이사장으로 선임했다. /덕성학원학교법인 덕성학원 이사회는 이종구(71) 이사를 제17대 이사장으로 선임했다. 임기는 2년이다. 이 신임 이사장은 서울대 사회학과를 졸업하고 일본 도쿄대에서 사회학 석·박사 학위를 취득했다. 성공회대학교 부총장, 한국산업노동학회장 등을 거쳤다."
2024-12-30,전 세계에서 가장 유명한 한국 동네는? [여기 힙해],"오징어게임, 한강으로 힙해진 쌍문동지난 20일 서울 도봉구 쌍문동의 골목. /김종연 영상미디어 기자전 세계에서 가장 유명한 한국 동네는 어디일까요?수많은 후보들이 떠오르지만, 넷플릭스 ‘오징어게임 시즌2′가 또 한 번 글로벌 시청자수 1위에 오른 지금은 바로 여기일 것 같습니다.“쌍문동”오징어게임의 감독 황동혁이 태어난 곳이자, 극중 주인공인 성기훈이 탄생한 곳이기도 합니다.이 뿐만이 아닙니다. 아시아 여성 최초로 노벨문학상을 받은 한강이 자란 곳이고, ‘응답하라 1988′의 배경이 됐으며, 과거로 거슬러 올라가면 만화 ‘아기공룡 둘리’가 살았던 동네이기도 합니다. 드라마 한류의 주역 중 하나인 ‘도깨비’에도 등장합니다. 왠지 정겨운 동네 ‘쌍문동’,돈이 되는 여기 힙해 서른 다섯번째 이야기입니다.쌍문동의 자랑들이 태어난 곳서울 쌍문동 백운시장에 있는 생선·건어물 가게. 넷플릭스 드라마 '오징어 게임'에서 상우 어머니가 운영하는 생선가게로 나온다. /김종연 영상미디어 기자“쌍문동의 자랑, 서울대 천재 조상우는 여기서 왜 이러고 있을까?”오징어게임 시즌 1에서 쌍문동은 주인공 성기훈과 서울대 천재 조상우가 자란 곳입니다. 조상우 어머니의 생선가게 ‘팔도건어물’은 쌍문동 백운시장에 있습니다. 백운시장은 황동혁 감독이 어린 시절 자란 곳으로 그는 “나도 쌍문동에서 태어나 홀어머니 밑에서 자랐고, 할머니가 시장에서 좌판을 깔고 나물을 팔았다”며 “기훈과 상우의 캐릭터와 가족사에 제 어린 시절의 역사가 담겨 있다”고 한 바 있습니다.오징어게임 시즌 2 /넷플릭스그러나 시즌 2에서는 쌍문동이 등장하지 않습니다. 시즌2에서 성기훈이 찾아가는 ‘상우네 생선가게’가 있는 시장은 서울 금천구 시흥동에 있는 ‘비단길 현대시장’입니다. 금천구 최대 규모의 골목형 시장으로 약 270여개의 점포가 있다고 합니다.백운대를 바라보면 글이 잘 써질까?서울 쌍문동의 우이천/김종연 영상미디어 기자“내가 어린 시절을 보낸 동네에도 이런 바위산이 있었어. 인수봉과 백운대라는 두 개의 흰 바위봉우리를 올려다보면서 자랐다고. 지금도 모국을 떠올리면, 인구 천만의 붐비는 도시 대신 그 한 쌍의 얼굴 같은 봉우리들이 생각난다고.”아시아 최초 여성 노벨문학상 수상자 한강의 ‘히랍어시간’에 나오는 문장입니다. 한강은 전라도 광주 북구에 있는 중흥동에서 태어났지만, 국민학교 시절 서울로 전학와 쌍문1동에 있는 ‘백운국민학교(현 백운초등학교)’를 졸업했습니다. 옆으로는 우이천이 흐르고, 북한산을 바라볼 수 있는, 교가가 “의젓한 백운대를 우러러보고”로 시작할 정도로 아름다운 곳에 위치했다고 합니다. ‘히랍어시간’의 이 문장에는 한강의 학창시절 경험이 묻어났다고 볼 수 있습니다.참고로 한강의 중학교도 쌍문동에 있는 ‘신경여중(현 선덕중)’입니다. 이 곳의 교가 역시 “백운대 인수봉 북악산 기슭에”로 시작할 정도로 경치가 좋습니다.첫 눈처럼 만날 그날드라마 도깨비 속 덕성여대 쌍문캠퍼스 도서관/tvN“우리 가장 행복할 그날/ 첫눈처럼 내가 가겠다.”겨울, 특히 눈이 오면 자동 재생되는 그 노래 에일리의 ‘첫눈처럼 너에게 가겠다’의 드라마 ‘도깨비’.여기서 은탁이 공부했던 도서관이 덕성여대 쌍문캠퍼스에 있는 도서관이라고 합니다. 여기서 은탁은 휴대폰앱의 촛불을 불어 김신을 소환하는대요. 실제로는 외부인 출입금지라 남자가 들어갈 수 없다고 하더라고요. 네이버 지도에서는 드라마 도깨비 촬영지로 덕성여대 주요 장소를 정확히 방문할 수도 있습니다. 그 외에도 둘리유아숲체험장, 함석헌기념관 등이 있습니다.쌍문은 효자문?쌍문동이라는 동명에는 세 가지 설이 있습니다. 첫 번째는 효자문입니다. 과거 이곳에 살던 계성 부부가 세상을 떠나자, 그의 아들이 묘 앞에 움집을 짓고 여러해 살다 죽었는데 마을 사람들이 그의 효성을 지극히 여겨 효자문을 두 개 세운 데서 유래했다는 설입니다.두 번째 설은 옛날에 현 창동 우체국 부근에 열녀문이 두 개 있었다 하여 ‘쌍문’이라는 이름으로 불렸다는 말이 있습니다.세 번째는 도봉구의 효자 남궁지와 그의 처 하동 정씨, 그의 아들 효자 남궁조 부자가 고종으로부터 효자문을 받았는데, 부자의 묘소가 노해 파출소(옛 쌍문동 중심지)에서 볼 때 남과 북에 있어 ‘쌍문’이라 하였다는 이야기도 있습니다. 어떤 설이 사실일지는 모르지만, 극중 성기훈과 조상우가 못한 효도를 과거 조상들이 했던 것 같습니다. 이번 주말, 쌍문동을 걸어보며, 문화적 향기를 듬뿍 맡아보는 것은 어떠실까요?여기힙해 뉴스레터 구독하기 ☞https://page.stibee.com/subscriptions/275743"
2024-04-25,덕성여대 독문과·불문과 내년부터 신입생 안 뽑는다,"서울지역 대학으론 첫 학과 폐지…AI통번역 확산에 어문계 위기덕성여대가 2025학년도부터 독어독문학과와 불어불문학과 신입생을 받지 않기로 했다. 사실상 학과 폐지 수순이다. 서울 시내 대학이 어문 관련 학과를 없앤 건 이번이 처음이다.학교법인 덕성여대 이사회는 독어독문학과, 불어불문학과에 내년도 신입생을 배정하지 않기로 최근 의결했다고 24일 밝혔다. 덕성여대 신입생들은 학부로 입학해 2학년 때부터 전공을 결정한다. 올해 1학년생은 두 학과에 지원할 수 있지만, 내년 입학생들은 지원할 수 없다. 이사회는 두 학과 폐지 이유로 “인기가 저조하고, 재학생 감소에 따라 정상 운영이 불가능하다고 판단했다”고 했다. 덕성여대는 두 학과를 폐지하는 대신 259명 규모의 자유전공학부를 신설하기로 했다.덕성여대가 서울 시내 대학 최초로 독어독문학·불어불문학과를 폐지하면서 인문학계의 위기감은 커지고 있다. 서울 사립대학의 한 교수는 “덕성여대 상황에 대해 독어독문학회 등 여러 어문 학회와 지방 인문 대학들이 촉각을 곤두세우고 있다”며 “이번 결정으로 다른 학교 인문학 전공에도 부정적 영향이 갈 것으로 보여 우려스럽다”고 했다.어문 계열 학과 퇴조는AI(인공지능) 기술 발전과 관련이 깊다. 덕성여대 대학교육혁신원장을 맡고 있는 양정호 국어국문학 교수는 “학령인구가 감소하고AI통번역이 일상이 된 상황에서 우리 학교도 살길을 찾아가야 한다”며 “명확한 전공 평가 기준이 있었고, 하위 점수를 받은 두 학과에 신입생을 미배정하기로 결정한 것”이라고 했다.전국 4년제 대학 어문 학과는 2018년 920곳에서 2023년 750곳으로 5년 만에 18% 사라졌다. 입학 정원도 같은 기간 1만8451명에서 1만5000명으로 줄었다. 서울 외 대학들은 이미 어문 학과를 폐지·축소했다. 한국외대는 작년부터 용인 캠퍼스의 영어·중국어·일본어·태국어 통번역학과 등 13개 학과 신입생 모집을 중단했다. 부산대도 올해부터 독어교육·불어교육과를 없앴다."
2024-04-24,AI 번역에 밀려나는 어학과? 덕성여대 독문·불문과 폐지 수순,"두 어문학과 폐지, 서울권 대학으로는 처음민주덕성 비상대책위원회 소속원들이 20일 오후 서울 종로구 덕성여대 종로캠퍼스 양관 앞에서 독어독문·불어불문과 폐지 추진을 규탄하며 피켓 시위를 벌이고 있다. /연합뉴스덕성여대가 2025학년도 신입생부터 독어독문학·불어불문학과에 배정하지 않기로 결정했다. 서울권 대학으로는 처음으로 어문계열 두 학과가 폐지 수순을 밟게 됐다.24일 덕성여대에 따르면 학교법인 덕성학원 이사회는 전날 독어독문학·불어불문학과 신입생을 미배정하고 259명 규모의 자유전공학부 신설 등을 골자로 한 학칙 개정안을 최종 의결했다. 학교 측은 두 학과의 인기 저조 등을 폐지 근거로 내세웠다고 한다. 지난달 26일 김건희 덕성여대 총장은 이 같은 학칙 개정안을 공고하면서 “2023학년도에 평가 최하위를 기록하는 등 유지가 불가한 전공의 학사구조를 개편해야 한다”고 했다.또 덕성여대 측은 재학생 감소에 따라 해당 전공이 정상적 운영이 불가능하고, 대학 존립 위기에 대비한 선제 대응이 필요해 이같은 결정을 내렸다고 했다.그래픽=김성규AI(인공지능) 기술 발달로 덕성여대 뿐 아니라 대학의 어문계열 학과가 점차 사라질 것이란 지적도 나온다. 서울권 대학들은 어학 학과를 없애거나 다른 학과와 통합하는 경향을 보이고 있다. 한국외대는 작년부터 용인 캠퍼스의 영어·중국어·일본어·태국어 통번역학과 등 13개 학과의 신입생 모집을 중단했다. 서울 캠퍼스에도 유사한 학과가 있다는 이유에서였다. 서울 삼육대는 2021년 중국어학과와 일본어학과를 ‘항공관광외국어학부’로 통폐합했다. 경북대 불어교육과 학생들은 대학이 폐과를 결정하는 기준이 명확하지 않다면서 오는 27일 헌법소원을 청구하기로 했다.덕성여대가 서울 시내 대학 최초로 독어독문학·불어불문학과를 폐지하면서 인문학 붕괴에 대한 우려도 커지고 있다. 일부 교수들은 “덕성여대 상황에 대해 독어독문학회나 지방 대학들에서 촉각을 곤두세우고 있다”며 “이번 결정으로 다른 학교 인문학 전공에도 부정적 영향이 갈 것으로 보여 우려스럽다”고 했다.서울권 대학 뿐 아니라 전국 대학에서 외국어학과는 점차 사라지는 추세다. 전국 4년제 대학의 어학 학과는 2018년 920곳에서 2023년 750곳으로 5년 만에 5분의 1(18%)이 사라졌다. 입학 정원도 같은 기간 1만8451명에서 1만5000명으로 18%(3000명) 줄었다.특히 영어학과는 222곳에서 196곳으로, 중국어학과가 138곳에서 118곳으로 줄었다. 독어독문학과는 이제 전국적으로 52곳, 불어불문과는 47곳 남았다. 같은 인문 계열이지만 문헌정보학·심리학 등 ‘인문과학’ 계열은 최근 5년간 742곳에서 864곳으로 오히려 늘어난 것과 대비된다."
2023-02-23,이면재 덕성학원 이사장,"학교법인 덕성학원 이사회는 이면재(62) 현 이사장을 제16대 이사장으로 재선임했다. 임기는 다음 달 1일부터 내년 12월 7일까지다. 이 신임 이사장은 서울지방변호사회 인권위원장, 대진대 총장 등을 지냈다."
2024-07-18,"국정원, 대북제재 위반 선박 위성 사진 공개","국가정보원은 18일 북한의 불법 해상활동에 관여한 대북제재 위반 선박 ‘더이호’와 ‘덕성호’의 위성 사진을 공개했다.국정원이 18일 공개한 대북제재 위반 선박의 위성 사진 모습. /국정원 제공국정원은 이날 “관계기관과 함께 ‘더이호’가 북한 남포 서해상에서 북한 선박 ‘덕성호’로부터 북한산 석탄 5,000여t을 환적, 이동 중인 동향을 감시했다”고 밝혔다.국정원은 이 과정에서 정보자산 가동 및 우방국과 정보 협력을 통해 불법 환적 장면이 담긴 위성 자료를 채증했다고 한다. 국정원은 “선사 관계자의 대북제재 위반 전력 및 북한 연계 기관 실체ㆍ불법성을 규명하여, 관계기관에 지원했다”고 했다. 국정원은 “‘더이호’는 우리 정부가 대북제재 위반으로 해상에서 억류한 최초 사례”라며 “이번 조치는 북한과 연계된 불법 네트워크에 대한 강력한 경고”라고 했다.국정원은 “‘더이호’ 이외에도 국내 및 동남아 등 해외에서 유엔 대북제재 위반 선박들에 대한 조치를 추진 중에 있다”며 “최근 러북 협력 강화에 따른 제재 위반 가능성도 염두에 두고 추적ㆍ감시 활동을 차질없이 수행할 것”이라고 했다.앞서 외교부는 이날 북한산 석탄의 불법 해상환적에 관여한 홍콩 선사 ‘HK이린’과 북한 선박 ‘덕성’호를 19일자로 독자 제재 대상으로 지정한다고 밝혔다. 외교부에 따르면 ‘HK이린’이 소유한 무국적 선박 ‘더 이’(DEYI)호는 지난 3월 북한 남포 인근 해상에서 덕성호로부터 북한산 석탄을 옮겨 싣고 운송했다.정부는 지난 3월 러시아 블라디보스토크로 가던 ‘더 이’호를 미국의 요청에 따라  전남 여수 인근 해상에서 대북 안전보장이사회(안보리) 제재 위반 연루 혐의로 억류해 관련 조사를 진행했다. 북한 선박과 해상 환적,  북한산 석탄 수출은 모두 안보리 대북제재에 따라 금지돼 있다. 덕성호는 지난해 3월 말 북한에 반입된 중고 선박인데, 중고 선박의 대북 공급 또한 제재 위반이다."
2022-01-01,김건희 덕성여대 총장,덕성여대 제12대 총장에 김건희 식품영양학 전공 교수가 선임됐다. 임기는 이달 20일부터 4년이다.
2024-05-06,[태평로] 건전하면 무능하다? 착함을 조롱하는 사회,"건전한 시민의 덕성이무능과 동일시되는 시대“너나 깨끗해라” 조롱과막말·범법이 능력인 사회얼마 전 ‘착한 어린이’ 온라인 영상이 화제였다. 일고여덟 살쯤으로 보이는 남자아이가 신호등 없는 횡단보도에 서있다가 얼른 뛰어 길을 건넌다. 맞은편으로 건너간 아이는 뒤로 돌더니 배에 두 손을 올리고 90도 가까이 허리 굽혀 인사한다. 차를 세워 길을 건너게 해준 운전자에게 감사 인사를 전한 것이다. “누구 집 아이인지 잘 컸다” 같은 댓글이 달렸다. 그런데 아이는 서른 되고 마흔 되고 쉰 살 되어서도 ‘착한 심성’을 지킬 수 있을까.최근 식사를 함께 한 정부 관료 A는 부하 직원 얘기를 하다가 “나는 착한 게 싫다”고 했다. 일 못하는 직원이 주로 착하다고 했다. 착함과 능력은 카테고리(범주)가 다른데도 ‘착함=무능’이라는 범주 오류를 확고히 믿고 있었다. 놀라운 일은 아니다. 우리 사회에 널리 퍼져 있는 신화(神話)다. 사소하고 궂은 일은 떠넘기고 주목받는 일 좇으며 성과 내는 게 능력이다. 아랫사람 윽박지르고 핍박해서 퍼포먼스 보이는 게 능력이다. 남들이 기피하는 일, 돋보이지 않는 일 묵묵히 하는 이들이 무능한 것이다.건전한 시민의 덕성이 무능과 동일시되는 시대다. 이번 총선에서도 드러났다. 욕설과 막말과 범법이 능력이다. 대학생 딸에게 11억 대출받게 해 강남 아파트 사는 게 능력이다. 잘못 인정한다면서도 “너나 깨끗해라” 조롱하는 게 능력이다. 표창장 위조해 딸 의전원 보내는 게 능력이다. 범죄 혐의에도 정치에 나서 제3당 만드는 게 능력이다. 자식 위한 일에 그깟 사소한 범법이 무슨 잘못이냐 여기는 게 능력이다. 공직도 마찬가지다. 선관위 경력직에 자식 꽂아넣는 게 능력이다. 위조문서 만들 여건이 되지 못한 이들, 할 수 있어도 차마 하지 못한 이들이야말로 무능한 것이다.물론 평범한 시민인 필부(匹夫)의 도덕과 나라 구해야 할 정치인·공직자의 도덕은 때로 다를 수 있다. 2300년 전 맹자는 ‘형수의 비유’로 이 차이를 간명하게 설명했다. 형수가 물에 빠지면 손을 잡아서만 아니라 머리채를 당겨서라도 끌어올려야 한다. 위급한 상황을 구제해야 할 때 사소한 도덕에 얽매여선 안 된다. 그러나 이 말이 평소 형수한테 함부로 해도 된다는 말은 아니다.착각하는 이가 적지 않다. 입으로는 정의(正義)를 외치면서 시민의 도덕은 아무렇지 않게 여긴다. 임진왜란 발발 전인 450년 전 사회에도 이런 자가 많았던 모양이다. ‘칼을 찬 유학자’ 남명 조식(曺植·1501~1572)이 일갈했다. “요즘 배웠다는 사람들은 손으로는 물 뿌리고 비질하는 법도 모르면서 입으로는 하늘의 이치를 말하며 이름을 도둑질하고 남을 속인다.” 왜 비질하기 전 물을 뿌리는가. 먼지를 최소화해 남에게 피해 주지 않으려는 ‘착한 마음’이다. 유교 경전인 ‘대학(大學·큰 배움)’을 배우기 앞서 아이들 배우는 ‘소학(小學·작은 배움)’에 나오는 내용이다. 작은 배움도 모르면서 큰 배움을 안다고 하는 이들이 지금도 목소리를 높인다.타인에 대한 배려와 관용, 희생과 존중 같은 가치가 조롱받는 사회는 건강하지도 않고 어느 수준 이상으로 발전할 수도 없다. 스타 플레이어가 제 몫 다 하고, 돋보이지 않더라도 팀원들이 제자리에서 서로 존중하며 단단한 팀워크를 짤 때 ‘수퍼 A급’ 팀이 될 수 있는 것과 같다. 욕설·막말·범법하는 이들이 스타가 되는 팀은 잠깐 반짝할 수 있을 뿐이다.다시 모두(冒頭)의 횡단보도 아이를 생각한다. 아이는 서른·마흔·쉰 살 되어도 착한 심성을 지켜갈 수 있을까. 건전한 시민의 덕성이 무능과 동일시되는 시대에 상처받거나 조롱당하지 않고 세상을 온전히 건너갈 수 있을까. 눈물이 난다."
2024-02-24,AI가 다 통·번역해주는 시대… 위기의 어문학과,"대학들 정원 줄이거나 통폐합… 5년간 학과 수 18% 줄어일러스트=김성규지난 20일 서울 종로구 덕성여대 캠퍼스에서 독어독문과, 불어불문과 교수와 동문들이 ‘우리 학문 지켜내자’ ‘불법적인 학과 폐지’라는 피켓을 들고 시위를 벌였다. 대학 측이 최근 내년부터 독문과·불문과 신입생을 뽑지 않는 내용의 학칙 개정안을 공고하자 반발하는 시위를 한 것이다. 지방 사립대에서는 독문과·불문과가 많이 없어졌지만 서울 주요 대학에선 이례적이다. 덕성여대 측은 “사회 변화와 학생 수요에 맞게 학과 정원을 조정할 수밖에 없다”고 했다. 매년 583명을 ‘글로벌융합대학’ 신입생으로 뽑아서 2학년 때 전공을 선택하게 하는데, 독문·불문과를 선택한 학생은 각각 10명도 안 됐다고 한다. 이 때문에 독문·불문과를 줄이고 경영학 등 학생들이 원하는 전공을 늘려줄 수밖에 없다는 것이다.학령 인구 감소로 어려움을 겪는 대학들이 학과 구조조정을 하는 가운데 최근 들어 외국어 관련 학과들이 큰 타격을 받고 있다.AI(인공지능) 기술이 발달해 ‘어학 전문가’ 수요가 떨어지자 어학 학과를 없애거나 다른 학과와 통합하는 경우가 많다. 외국어 학과 대신 취업이 잘되는 첨단 기술 학과 등으로 바꾸는 대학이 서울 지역에서도 늘어나고 있다.우리 나라에서 가장 많은 외국어(45개)를 가르치는 한국외대는 작년과 올해 용인 캠퍼스의 영어·중국어·일본어·태국어 통번역학과 등 13개 학과의 신입생 모집을 중단했다. 서울 캠퍼스에도 유사한 학과가 있기 때문이다. 대신 외국어와 인공지능·빅데이터를 융합한 ‘AI융합대학‘ 등을 만들었다. 교육계에선 “외대가 한국을 대표하는 외국어 전문 대학이지만, 외국어 교육에 대한 학생들 수요가 줄고 있기 때문에 위기의식이 대단하다”는 말이 나온다. 동덕여대도 2022년 독일어와 프랑스어과를 ‘유러피언스터디즈(EuropeanStudies)학과’로 통폐합하고 입학 정원을 12명 줄였다. 대신 ‘HCI(인간기계연결기술)사이언스’ 등 학과를 신설했다. 서울 삼육대는 2021년 중국어학과와 일본어학과를 ‘항공관광외국어학부’로 통폐합했다.전국적으로도 외국어학과는 최근 급격히 주는 추세다. 전국 4년제 대학의 어학(문학 포함) 학과는 2018년 920곳에서 2023년 750곳으로 5년 만에 5분의 1(18%)이 사라졌다. 입학 정원도 같은 기간 1만8451명에서 1만5000명으로 18%(3000명) 줄었다. 한때 가장 인기 있었던 영어학과가 222곳에서 196곳으로, 중국어학과가 138곳에서 118곳으로 줄었다. 독어독문학과는 이제 전국적으로 52곳, 불어불문과는 47곳 남았다. 같은 인문 계열이지만 문헌정보학·심리학 등 ‘인문과학’ 계열은 최근 5년간 742곳에서 864곳으로 오히려 늘었다.그래픽=김성규독어·불어 교사를 키우는 학과도 사라지는 추세다. 경북대는 최근 2025학년도부터 정원 8명의 불어교육학과를 없애고 대신 ‘정보 교사’를 양성하는 정보교육학과를 신설하기로 했다. 갈수록 불어 교사 수요는 줄고, 컴퓨터 교사 수요는 급증하고 있기 때문이다. 고등학교에서 ‘제2 외국어’를 배우는 학생이 줄어 교육청마다 이미 수십 년째 독일어·프랑스어 교사는 거의 안 뽑고 있다. 전국의 독일어 교사는 최근 5년 만에 194명에서 80명으로 반 토막 났다. 불어교육학과 등 사범대 교수들도 “프랑스어 교사를 10년 넘게 안 뽑는데 학과를 유지하기 어렵다”고 동의했다고 한다. 부산대도 올해 신입생부터 독어교육·불어교육학과를 독문·불문학과로 통폐합했다.그래픽=김성규임대근 한국외대 디지털콘텐츠학과 교수는 “실시간AI통·번역 프로그램을 사용하는 시대에 꼭 인간이 언어를 배우고 통·번역을 해야 하느냐는 본질적 의문이 제기되고 있다”면서 “통·번역이 가능한 수준의 언어 전문가 수요가 줄어들기 때문에 외국어를 전공하려는 학생은 급감할 수밖에 없다”고 말했다.폐과된 학과 구성원들이 반발하기도 한다. 경북대 불어교육과 학생들은 대학이 폐과를 결정하는 기준이 명확하지 않다면서 오는 27일 헌법소원을 청구하기로 했다. 담당 변호사는 “고등교육법에 폐과 관련 규정이 제대로 없어서 폐과되는 학과 학생들이 교육 받을 권리가 침해 당하고 있다”고 말했다.덕성여대가 추진하던 독문과·불문과 2025학년도 신입생 모집 중단 학칙 개정안도 대학 평의원회에서 부결됐다. 한 평위원회 의원은 “어문학과는 단순히 언어를 넘어 그 나라 문화와 철학을 가르치는 기초 학문이자 순수 학문”이라며 “덕성여대가 이 같은 기초 학문을 외면하는 건 종합 대학의 의무를 방기하는 것”이라고 했다.한 사립대 총장은 “국립대는 외국어 등 학생 수요가 좀 적더라도 학문 보호 차원에서 다양한 학과를 운영할 필요가 있지만, 사립대들은 학생이 급감하는데 사회 수요에 맞게 학과 구조조정을 하지 않으면 곧 망할 판”이라고 말했다."
2024-12-16,[부음] 김기형 前 의정부시장 별세 외,"▲김기형前 의정부시장 별세,김성철부친상=15일0시 의정부을지대병원, 발인 17일8시, (031)951-7444▲김영곤前 김영곤박스 사장 별세,이옥예남편상,김종석삼청마케팅 연구소 대표·김종철포스코 연구원 부친상=15일3시 신촌세브란스병원, 발인 17일8시, (02)2227-7500▲김용호별세,이강진·이강미매일산업뉴스 발행인·이강산크레신 국내영업담당 이사 모친상,문미희시모상=15일0시53분 신촌세브란스병원, 발인 17일5시, (02)2227-7500▲이윤수동서화학 대표 별세,최재을前KB데이타시스템 대표·조성원SBS인터내셔널 보도국장 장인상=14일14시30분 서울성모병원, 발인 17일5시20분, (02)2258-5940▲이태진前 덕성여고 교장 별세,윤정숙남편상,이호영前 삼성전자 상무·이민정·이민선부친상,이선근·이완호장인상=14일13시11분 신촌세브란스병원, 발인 17일8시, (02)2227-7500"
