date,title,content
2024-12-24,"액체 중심이던 숙취 해소제, 이제는 환·젤리가 대세로","필름형·이중 제형까지 등장모임이 많은 연말·연시를 앞두고 제약 업계의 숙취 해소제 시장 경쟁이 치열해지고 있다. 과거 액체형 중심이던 숙취 해소제는 환(丸), 젤리 제형이 대세로 자리잡았다. 요즘에는 입에 붙여서 녹여 먹는 필름형, 병에 든 액상과 뚜껑의 알약을 함께 먹는 이중 제형까지 등장했다. 특히 내년부터는 제품에 ‘숙취 해소’라는 문구를 넣으려면 인체 적용 시험을 거쳐야 하는 만큼, 숙취 해소제 품질 경쟁이 본격화할 전망이다.왼쪽부터 대웅제약의 숙취 해소제 ‘에너씨슬 퍼펙트샷 쎈’,HK이노엔의 젤리형 숙취 해소제 ‘컨디션 스틱’,동국제약의 필름형 숙취 해소제 ‘이지스마트’./대웅제약·HK이노엔·동국제약국내 숙취 해소제 시장점유율 1위인HK이노엔은 ‘컨디션’에 이어 지난 2022년 젤리 제형 ‘컨디션 스틱’도 출시해 열풍을 일으켰다.HK이노엔은 내년 새 규제에 맞춰 컨디션의 인체 적용 시험을 마치고, 숙취 해소에 효과가 있다고 알려진 성분들을 추가하는 등 업그레이드에 박차를 가하고 있다. 회사 측은 “내년부터 ‘컨디션 스틱’ 가격은 일부 인상되지만 숙취 해소 효능이 강화된 리뉴얼 제품”이라고 했다.프리미엄 건강 기능 식품에서 자주 사용되던 이중 제형 숙취 해소제도 잇따라 등장하고 있다. 대웅제약은 지난 9월 이중 제형 숙취 해소제 ‘에너씨슬 퍼펙트샷 쎈’을 출시했다. 숙취 해소 물질로 특허를 받은 노니트리 추출물과 함께 비타민 B군 8종을 넣은 것이 특징이다. 종근당도 지난 9월 이중 제형 숙취 해소제 ‘깨노니 땡큐샷’을 선보였다. 지난해 젤리 제형으로 출시한 ‘깨노니 스틱’ 라인업을 확장한 것이다. 동아제약 역시 지난 8월 이중 제형 ‘모닝케어 프레스온’을 출시했다. 제약 업계 관계자는 “최근 이중 제형 비타민제가 인기를 끌면서 젊은 층을 중심으로 알약과 액상이 함께 있는 제품이 프리미엄이라는 인식이 생긴 것으로 보인다”며 “물 없이도 섭취할 수 있다는 것도 장점”이라고 했다.젊은 세대를 겨냥해 편의성을 높인 제품도 잇따라 등장하고 있다. 동국제약은 지난 7월 입천장에 붙여 먹는 필름 제형 숙취 해소제 ‘이지스마트’를 출시했다. 9월에는 이를 씹어먹는 형태로 바꾼 ‘이지스마트 구미츄’를 내놨다. 시장조사 업체 닐슨아이큐에 따르면 2023년 국내 숙취 해소제 시장 규모는 약 3500억원으로 집계됐다."
2024-12-25,[부음] 김태관씨 별세 외,"▲김태관별세,김미정·김보영한국후지쯔 수석·김민정부친상,김성근연합뉴스 기획조정실 차장 장인상,최주희투어디자인 대표 시부상=23일20시45분 이대서울병원, 발인 26일6시, (02)6986-4440▲이강원前 미 보스턴태권도협회장 별세,강신호남편상,이학재보스턴체육회장·이레나이화여대 의과대학 교수·이헬레나·이리사부친상,송준호동국제약 대표·신석영WLGore수석 연구원·채현주SK바이오사이언스 팀장 장인상=23일17시 이대서울병원, 발인 26일5시, (02)6986-4440▲이득상별세,김난수남편상,이성재·이대영센서테크 중앙연구소 수석연구원·이주영연합뉴스 테크부 과학전문기자·이민영도원엔지니어링 건축부 이사 부친상,김효제장인상=24일1시55분 건양대병원, 발인 26일7시20분, (042)600-6660▲임홍선한국거래소 대외협력팀장 별세,민준홍한국거래소 기술기업상장부 차장 남편상,임제웅광암철강 상무 형님상=24일3시54분 삼성서울병원, 발인 26일6시, (02)3410-6917▲정수경별세,박민식前 현대모비스 이사 아내상,박선아아주대병원 교수·박승대법무법인 지평 변호사·박승현영화 프로듀서 모친상,윤승환인하대병원 교수 장모상,김남연사단법인 두루 변호사·박선정시모상=20일5시 삼성서울병원, 발인 27일10시, (02)3410-6903▲최성규前 건국대 상무 별세,홍명자남편상,최종관비디텍 부장·최영미부친상,이상훈이지정보시스템 대표 장인상,이규희시부상=23일13시54분 건국대병원, 발인 25일7시30분, (02)2030-7909"
2024-12-12,‘소비자가 선택한 2024 최고의 브랜드’ 영광의 수상자들,"/조인원 기자11일 서울 중구 더 플라자호텔에서 조선일보 주최로 열린 ‘소비자가 선택한 2024 최고의 브랜드’ 시상식에서 수상자들이 기념 촬영을 하고 있다. 맨 윗줄 왼쪽부터 휴맥스이브이 문지성 그룹장, 파인투데이코리아 오영석 지사장, 이디야 신동희 본부장, 쿠쿠홈시스 허재영 상무이사,NH투자증권 강민훈 디지털 사업부 대표,IBK연금보험 서치길 대표이사,LG전자 조태희 선임, 상떼화장품 박정흠 부사장, 지온메디텍 전승무 차장. 가운데 줄 왼쪽부터 아파트멘터리 김준영 대표, 오펠라헬스케어코리아 강지욱 사장, 동국제약 박혁 이사, 모노플로우 이기문 대표, 메트라이프생명보험 윤세연 팀장, 하나손해보험 배성완 대표이사, 고래사 장병근 전무, 하나은행 조범준 그룹장, 대교 김재수 실장, 한국네트웍스 조영민 대표이사. 맨 아랫줄 왼쪽부터 조선일보 이광회AD본부장, 교원프라퍼티 송현주 부문장, 아모레퍼시픽 주효정 상무,CJ제일제당 김은설 사업부장, 한서대학교 함기선 총장,SC제일은행 이기경 전무, 심사위원장인 부경대학교 전중옥 교수, 에쓰-오일토탈에너지스윤활유 패트리스 드베미 대표이사, 유한대학교 김현중 총장,LG유플러스 류병철 팀장, 기탄러닝 안진영 이사, 한국애브비 정상영 상무."
2022-01-04,[경제계 인사] 존슨앤드존슨메디칼 북아시아 사장 오진용 외,"존슨앤드존슨메디칼 북아시아 사장 오진용존슨앤드존슨메디칼은 북아시아 지역 총괄사장으로 오진용 신임 사장을 임명했다고 3일 밝혔다.제네시스BBQ대표에 이승재치킨 프랜차이즈 업체제네시스BBQ는 제과 업체 페레로 이승재(55) 대표를 신임 대표이사 사장으로 임명했다고 3일 밝혔다. 이 신임 대표는 페레로 한국 대표와SC존슨코리아 대표, 쥴랩스코리아 대표를 지냈다.SK텔레콤CTO에 이상호SK텔레콤은 지난 1일 최고기술책임자(CTO)와 메타버스 컴퍼니(CO)장에 각각 이상호 11번가 대표와 양맹석 메타버스 담당을 임명했다.동국제약 회장에 창업주 장남 권기범동국제약은 창업주 고 권동일 회장의 장남인 권기범 부회장을 회장으로 추대했다고 3일 밝혔다.▷부회장 오흥주▷총괄사장 전세일 이종진▷부사장 이근영▷전무보 강수연▷상무보 이계완 유규원 강성오 함명진반도건설 총괄사장에 박현일반도건설은 3일 박현일 사장을 총괄사장으로 임명하고 김용철 사장을 영업부문 대표, 이정렬 부사장을 시공부문 대표로 선임했다.▲반도홀딩스▷부사장 신동철 ▷상무 이정호 송한규▲반도건설▷부사장 정용훈 권재현 ▷상무 김희수 안재식 이정훈 김현수 왕호 김용권 김성욱▲반도종합건설▷상무 백귀석▲중흥그룹▷전무 임성묵 ▷상무 류재우 임은수 유승규 심영기 윤학선 오해종 김영진 박민수▲피데스개발▷전무 김희정 ▷상무 김시한 임동수 박정흠▲유한양행▷전무 정동균▷상무 이병철 김재용 공병준 김준환"
2024-04-18,"알리·테무, 수수료 0원 내걸고 제주삼다수·삼성전자까지 빨아들여","그래픽=양인성쿠팡의 독주 태세에 대항하려는 국내 이커머스 업체들의 반격이 이어지는 와중에도, 알리익스프레스(알리)·테무 등 중국 이커머스 업체들의 영향력은 계속 커지고 있다. 알리와 테무는 국내 이커머스 2·3위를 차지할 뿐만 아니라, 가입자 수를 합치면 1700만명을 넘어서는 수준까지 이르렀다. 국내 주요 판매자들도 빠르게 중국 이커머스 업체로 흡수되는 상황이다.식품 기업을 시작으로 패션·IT·제약회사까지 속속 입점하는 상황이다.국내 기업들이 제아무리 시장 점유율을 넓히기 위해 서로 경쟁해도 결국엔 중국 이커머스와의 싸움에선 밀리게 되는 것 아니냐는 자조 섞인 관측까지 나올 정도다.17일 이커머스 설루션 업체 ‘브리치’에 따르면, 지난달 알리가 ‘수수료 0원’이라는 파격 조건을 내걸고 국내 셀러들을 모집하기 시작한 이후 이 업체에 알리 입점 대행 서비스를 문의한 경우는 2주 동안 1만 건이 넘었다. 브리치 관계자는 “예전엔 보통 일주일 걸리던 입점 심사 기간이 최근엔 열흘 넘게 걸리고 있다”고 했다.국내 주요 기업들의 알리 입점도 늘고 있다. ‘마데카솔’로 유명한 동국제약, 제주삼다수의 소매판권을 가진 광동제약이 입점·판매 수수료를 내지 않는 조건으로 입점한 것으로 알려졌다. 식음료 업체인 동아오츠카, 롯데칠성음료도 최근 알리에 입점했다. 삼성전자도 알리에 브랜드 페이지를 개설했다.와이즈앱·리테일·굿즈에 따르면 지난 3월 알리와 테무의 월간 활성사용자수(MAU)는 각각 887만명, 829만명으로 합치면 1700만명 정도다. 쿠팡은 3086만명이다. 한 이커머스 관계자는 “중국 이커머스 업체에 가입하는 이들 수가 1년에 10배씩 늘어나고 있음을 감안하면, 쿠팡이 1년 뒤에도 1위를 유지할 수 있을지 장담하기는 어려운 상황”이라고 말했다."
2024-01-03,[부음] 이명호 별세 외,"▲이명호별세,우정훈·우혜경·우혜련·우혜선·우현아중앙일보 편집부 부장 모친상,하동원세계일보 편집부 선임기자 장모상=1일21시20분 충남 천안하늘공원장례식장, 발인 4일8시, (041)621-8016▲이의종별세,이순호·이재호세계일보 대외협력국장·이선호경기일보 지역사회부장 부친상,한승희공무원 시부상=2일5시14분 경기 광주SRC재활병원, 발인 4일7시30분, (031)760-3644▲전병오별세,전덕중한국연예제작자협회 부회장 부친상=2일1시46분 서울아산병원, 발인 4일5시, (02)3010-2000▲정규화별세,홍혜경·홍순강前 동국제약 부사장·홍은경 모친상,김의중·김종덕장모상=1일15시 고대안암병원, 발인 4일9시, (02)923-4442▲정홍섭前 동명대 총장 별세,정진형·정기승부친상=1일21시 부산 좋은강안병원, 발인 4일6시, (051)610-9009▲최영상前 대우그룹 부사장 별세,최윤정비아이에스 주식회사 근무·최라정JP모건 체이스은행 부장·최현정주한미군 군무원 부친상,이택균아주대 교수·제해관BTK부사장·이병식농업정책보험금융원 부장 장인상=1일22시40분 서울아산병원, 발인 4일6시, (02)3010-2000▲하정애별세,최호임·최계량·최재경前 청와대 민정수석·최미숙·최숙남모친상=1일21시40분 대구 영남대병원, 발인 3일9시, (053)620-4241"
2023-11-27,송년회 ‘숙취해소제’ 경쟁… MZ “우린 짜먹어요”,"젊은층 겨냥 스틱 제품 속속 출시… 섭취·휴대 간편하고 맛 좋아 인기HK이노엔의 숙취 해소제.모임이 많은 연말·연시를 앞두고 제약사들이 숙취 해소제 마케팅 경쟁에 돌입했다. 키워드는 ‘먹기 편하고’ ‘맛도 좋은’ ‘MZ세대 공략’이다.국내 숙취 해소제 시장점유율 1위 상품은 한국콜마 계열사HK이노엔의 ‘컨디션’이다.HK이노엔은 지난해 젤리 제형 ‘컨디션 스틱’을 출시해 소문을 탔다. 컨디션 스틱은 지난해 3월 출시 이후 올해 3분기 매출 36억원을 기록해 전년 동기 대비 56.5% 성장했다.HK이노엔은 올해도 연예인 박재범을 모델로 내세워 2030세대를 공략한 홍보를 이어간다는 계획이다.종근당도 지난 14일 스틱형 젤리 제형 숙취 해소제 ‘깨노니 스틱’ 2종을 출시했다. 깨노니 스틱은 천연물 노니에서 추출한 ‘노니트리’를 주원료로 헛개나무 열매 추출 분말, 수용성 밀크시슬 등을 배합했다. 종근당 관계자는 “배사과맛과 납작복숭아맛 2종으로 구성해 맛을 차별화했다”고 했다.한독도 스틱형 젤리 제형 ‘레디큐 스틱’ 2종이CU,GS25, 세븐일레븐, 이마트24 등 주요 편의점에 입점했다고 최근 밝혔다. 레디큐 스틱은 숙취 해소를 위한 커큐민과 음주 후 피로 회복을 위한 타우린 등을 함유하고 있다.이 외에도 동국제약 ‘아니벌써’,삼진제약 ‘파티히어로’,알리코제약 ‘다깼지’ 등 스틱형 숙취 해소제가 시장에서 치열한 경쟁을 벌이고 있다.국내 숙취 해소제 시장은 꾸준한 성장세를 보이고 있다. 시장조사 업체 닐슨코리아에 따르면 국내 숙취 해소제 시장 규모는 2018년 2236억원에서 지난해 3127억원으로 5년 만에 40%가량 커졌다. 특히 스틱형 제품의 출시가 늘어나는 것은 상대적으로 휴대와 섭취가 편하다는 특징 때문에 젊은 층의 선호도가 높아서다. 롯데멤버스가 지난 7월 성인 남녀 2000명을 대상으로 음주와 해장 등에 관해 진행한 설문조사에 따르면 20대는 16%가 음주 시 숙취 해소제를 복용한다고 답한 반면 50대 이상에서는 5.3%에 그쳤다. 또 20대는 56.7%가 환 또는 젤리 등의 비음료 숙취 해소제를 선호하는 반면 50대 이상은 77.1%가 액상 숙취 해소제를 선호하는 것으로 나타났다."
2023-08-07,폭염에 1000만 탈모인 비상… 고민 해결책은?,"강한 자외선과 고온 다습한 날씨는 두피와 모발을 약하게 만들어 탈모를 촉진할 수 있어 주의가 요구된다.전국에 폭염 특보가 발령될 정도로 불볕더위가 기승을 부리면서 탈모에도 비상이 걸렸다. 강한 자외선과 고온 다습한 날씨가 두피와 모발을 약하게 만들어 탈모를 촉진할 수 있기 때문이다.건강보험심사평가원에 따르면 지난 2021년 기준 병원 진료를 받은 국내 탈모 환자는 24만3609명으로 2017년 대비 13.7% 증가했다. 탈모 치료를 받는 인구 중 30대는 22.6%로 가장 높았으며, 40대 21.7%, 50대 16.5% 순이었다. 20대 환자도 증가 추세를 보이며 탈모 환자 10명 중 4명이 20대와 30대로 나타났다. 대한탈모치료학회는 국내 탈모 인구를 약 1000만 명으로 추산하고 있다.중장년층에 집중되던 탈모 치료 연령대가 젊은층으로 확대되면서 제약업계에서도 전문적인 탈모 케어 제품을 선보이고 있다. 탈모가 이미 시작된 경우에는 적절한 약물 치료가 중요하며 두피와 모발에 영양을 공급해 모발 건강을 유지하는 게 중요하기 때문이다.현대약품의 마이녹실은 탈모약으로 활용되고 있는 미녹시딜을 사용한 일반의약품이다. 궤양과 고혈압 치료제로 사용되며 안전성을 입증한 미녹시딜은 두피의 말초혈관을 확장하고 피부 혈류량을 증가시켜 모발에 영양을 공급하고, 모근 세포를 활성화시키는 역할을 한다.동국제약의 판시딜은 약용효모 성분의 탈모치료제로 모발과 손톱의 구성 성분인 케라틴,L-시스틴 등과 모발 영양 성분인 약용효모와 비타민 등을 최적 비율로 배합했다. 모발 필수 영양성분이 혈액을 통해 모근 조직 세포에 직접 공급돼 머리카락이 굵어지고 덜 빠지며 손상된 모발을 개선하는데 도움을 준다.동성제약은 탈모 증상을 완화해주는 샴푸를 내놨다. 샴푸액에 함유된 징크피리치온은 두피 각질과 피지 개선에 도움을 준다. 덱스판테놀 성분은 과도하게 분비되는 피지를 완화시키고 영양 성분이 모근에 잘 흡수될 수 있게 한다. 카페인을 1% 함유해 두피와 모발에 활력을 더하는 효과도 있다.제약업계 관계자는 “여름철에는 강한 자외선을 포함한 직사광선에 모발이 장시간 노출돼 모발과 두피에 안 좋은 영향을 준다”며 “땀 등이 모발과 두피에 쌓이지 않도록 각별히 주의하고 탈모 예방에 도움되는 제품으로 평소 꾸준하게 관리하는 것이 좋다”고 했다."
2023-06-08,미국산 벽 넘고 1년 새 35% 껑충… 새로운 수출 효자,"‘뷰티 디바이스’ 폭발 성장, 2030세대도 주 고객층으로메디큐브 에이지알 모델인 배우 김희선이 뷰티 디바이스 '더마EMS샷'을 들고 있다. 메디큐브 측은 뷰티 기기 론칭 2년 만에 누적 100만대, 매출 1500억원을 기록했다고 밝혔다. /메디큐브서울 마포구에 사는 직장인 이모(33)씨는 최근 기능이 각기 다른 뷰티 디바이스를 3개 사서 쓰고 있다. 매일 아침, 저녁으로는 얼굴에 바르는 화장품의 흡수를 도와주는 제품을, 사흘에 한 번씩은 피부 속 근육을 자극해 탄력 개선에 도움을 준다는 기기를 쓴다. 초음파로 콜라겐을 생성해 리프팅에 효과가 있다는 제품도 1주일에 한 번씩 사용한다. 이씨가 뷰티 디바이스에 들인 돈만 200만원 남짓. 그는 “피부과 시술도 좋지만 비용이나 효과 측면에서 집에서 매일같이 하는 관리가 더 중요하다는 생각이 들었다”며 “최근에는 모공을 줄이는 데 효과가 있는 제품들도 나오고 있어서 추가로 구매할지 고민 중”이라고 말했다.그래픽=박상훈그래픽=박상훈그래픽=박상훈그래픽=박상훈코로나 기간 본격적으로 꽃피기 시작한 뷰티 디바이스 시장이 폭발적인 성장세를 보이고 있다. 2018년LED마스크 열풍으로 일반 대중에게 알려지기 시작한 뷰티 디바이스는 2~3년 전부터 기능별 라인업을 강화하며 주고객층이 기존 40대에서 2030세대로 낮아지고 있다. 업체들은 배우 이영애, 김희선, 이보영, 모델 한혜진 등을 내세우며 홍보에 열을 올리고 있다.LG경제연구원에 따르면 2013년 800억원이었던 뷰티 디바이스 시장은 지난해 1조6000억원 규모로 성장했다. 글로벌 시장조사업체 리서치앤마켓에 따르면 세계 홈 뷰티 디바이스 시장은 2020년 95억7160만달러에서 2030년 895억 3510만달러로 매년 연평균 25.1% 성장률을 기록할 전망이다.얼굴 라인 잡아줘요, 모공 속 피지까지 쏙 빼줍니다… 별별 기기국내에서 이 시장을 개척한 건LG전자다. 2017년 홈 뷰티 케어 브랜드 ‘LG프라엘’을 론칭하고 더마LED마스크 등 기기 4종을 출시하며 소문을 탔다. 이후 코로나 기간 라인업을 대폭 강화했다. 2020년 눈가 관리에 특화된 아이케어 제품을 출시했고 2021년에는 클렌저 기기 ‘워시팝’과 피부 탄력 관리 기기 ‘인텐시브 멀티케어’,화장품 흡수 촉진 기기 ‘에센셜 부스터’ 등 4종을 내놓았다. 올해도 피부 3㎜ 아래 부위에 초음파를 쏴 콜라겐 생성에 도움을 준다는 더마쎄라와 모공 속 피부까지 세척해준다는 초음파 클렌저 ‘워시멜로’를 내놨다. 다만 비싼 가격이 흠이다. 대부분 100만원 안팎을 호가해 20대가 사용하기엔 부담스럽다는 반응이 많다.이 틈새를 겨냥한 제품이 메디큐브의 뷰티 디바이스 브랜드 에이지알이다. 원래 화장품을 만들던 메디큐브는 2021년 3월 중주파로 피부 속 근육을 자극한다는 ‘더마EMS샷’을 출시하면서 이 시장에 진출했다. 이후 피부과의 고가 시술인 울세라와 비슷한 효과를 낸다는 ‘유쎄라 딥샷’,고전압 전기를 피부에 쏴줘 모공 관리에 도움을 준다는 ‘ATS에어샷’,화장품 흡수를 도와줘 이른바 ‘물광 디바이스’로 인기를 끈 ‘부스터 힐러’ 등을 잇따라 내놓았다. 대부분 20만원대로 이른바 ‘가성비가 좋다’는 반응을 이끌며 돌풍을 일으켰다. 에이지알은 지난달 뷰티 디바이스 론칭 2년 만에 누적 100만대, 매출 1500억원을 달성했다고 밝혔다. 다만 효과에 대해서는 개인별 차이가 크다는 평가다.뷰티 디바이스 시장이 커지자 아모레퍼시픽 같은 화장품 기업도 뷰티 기기 브랜드 메이크온을 론칭하고 기기를 내놓기 시작했다. 이 밖에 동국제약, 유한양행 같은 제약사들도 신제품을 출시하고 있다.수출 효자 상품으로미국 중심으로 성장해오던 글로벌 뷰티 디바이스 시장에서도 한국 제품들이 주목받는 추세다. 관세청은 지난해 국내 기업의 피부 미용기기 수출액이 전년 대비 35% 증가한 3억5300만달러로 집계됐다고 밝혔다. 특히 피부 마사지기 등 가정용 기기가 8900만달러로 역대 최대 수출 실적을 냈다. 메디큐브 에이지알 역시 매출의 30%는 해외에서 발생한다. 에이지알 관계자는 “K콘텐츠가 세계적으로 인기를 끌면서 한국 화장품과 뷰티 기기에 대한 관심도 높아지고 있다”며 “지난달 일본 지역에 톱스타 혼다 쓰바사가 출연한 광고를 내놨고 다른 국가도 진출할 계획”이라고 했다."
2022-07-04,"개도 걸친 구찌 코트...""130만원짜리라고?""","우리나라 전체 인구 중 30%는 반려동물을 기른다고 합니다. 국민 10명 중 3명꼴로 개와 고양이를 키우고 있는 것인데요. 저출산과 핵가족 추세가 빨라지면서 반려동물을 가족처럼 여기는 ‘펫팸족’(pet+family)이 빠르게 증가했습니다. 코로나19 이후 반려동물을 입양하는 가구 수가 늘어난 것도 원인입니다.이에 따라 반려동물을 위해 지갑을 여는 씀씀이도 커지고 있는데요. 반려동물에게 먹고 입힐 음식이나 옷은 물론, 호텔이나 가전기기, 병원 등으로 ‘펫코노미’(pet+economy∙반려동물과 관련한 산업) 시장이 커지고 있습니다.펫팸족을 위한 다양한 반려동물 상품이 출시되고 있다. /구찌 홈페이지반려 인구 1500만…양육비는 월평균 14만원KB금융그룹이 발간한 ‘2021 한국반려동물보고서’를 보면 우리나라에서 반려동물을 기르는 인구는 1448만명입니다. 반려 가구 수는 604만 가구로, 이 가운데 반려견 양육가구는 80.7%, 반려묘 가구는 25.7%를 차지했습니다.반려동물을 기르는 가구가 매월 고정적으로 지출하는 양육비는 평균 14만원 수준입니다. 이 가운데 사료비 비중이 33.4%로 가장 높았고, 간식비 17.8%, 일용품 구입비 11.1%, 미용비 10% 순입니다. 2017년 조사에선 반려동물 양육비로 월 평균 ‘5만~10만원’을 쓴다는 답변이 가장 많았는데요. 5년 전과 비교해 평균 지출 비용도 늘어났네요.반려동물 시장 규모도 커지고 있습니다. 한국농촌경제연구원에 따르면 국내 반려동물 시장 규모는 2020년 3조4000억원으로, 2015년(1조9000억원) 대비 78.9% 성장했습니다. 2027년엔 약 6조원대로 커질 것으로 연구원은 예측했습니다.반려견MBTI검사부터 마사지까지…다양한 펫산업의 세계반려동물 산업의 세계는 ‘A부터 Z까지’ 다양합니다. 먼저 호텔 업계에선 ‘펫캉스’를 선보이고 있습니다. 업체들은 반려동물과 함께 이용할 수 있는 객실이나 펫 전용 수영장, 디저트 상품 등을 내놓고 있습니다. 켄싱턴호텔앤리조트는 지난 2020년 12월 반려동물과 투숙할 수 있는 객실을 마련한 데 이어 최근엔 펫 전용 수영장을 만들었습니다.경기도에 있는 5성급 호텔 소노캄은 반려동물을 위한 전용 방석과 식기, 수건 등을 갖춘 반려동물 동반 객실을 만들었는데요, 시설을 바꾸자 60% 안팎이었던 투숙률이 90%까지 높아졌다고 합니다. 또 카페에선 반려동물이 먹기 좋은 재료로 만든 카푸치노인 ‘멍푸치노’나 디저트 세트 ‘펫프터눈티’ 메뉴를 선보이고 있습니다.호텔 업계가 다양한 펫캉스 상품을 내놓고 있다. /시그니엘조선 팰리스 서울 강남 호텔에선 펫 전용 러닝머신과 반려견 전용 유모차 대여 서비스가 등장했고, 코오롱 계열 리조트∙호텔은 반려동물의 성격을 분석할 수 있는 ‘스피드 멍BTI’,반려견 생일파티 룸서비스 등 이색 서비스를 선보이고 있습니다. 파라다이스호텔 부산도 반려동물과 함께 즐기는 뷔페와 반려견 근육을 풀어주는 아로마 마사지 교실, 펫크닉(pet+picnic) 등을 진행했습니다.가전업계도 펫케어 기능을 탑재한 가전을 잇따라 출시하고 있습니다. 삼성전자의 비스포크 제트 봇AI는 반려동물의 일상을 모니터링하고, 이상행동을 감지하면 알림을 보내주는 등 다양한 펫 돌봄 기능을 제공합니다. 또 비스포크 그랑데AI는 ‘펫케어 코스’를 통해 반려동물로 인한 얼룩과 냄새를 제거하고, 비스포트 직화오븐은 펫 간식 모드를 통해 16가지 반려동물 간식을 만들 수 있습니다.LG전자는 반려동물 관련 신가전을 개발 중인 것으로 알려졌습니다. 반려동물의 털을 말려주는 ‘펫 드라이룸’ 특허를 다수 확보한 데다 ‘펫 스타일러’ 상표권도 출원한 상태라고 합니다.반려동물 영양제 시장도 급성장하고 있는 분야입니다. 국내 제약∙바이오 기업들이 앞다퉈 건강기능식품을 내놓고 있는데요. 2022년 3월 한국동물약품협회가 발표한 자료를 보면 2021년 국내 동물용의약품과 동물용외약외품, 동물용의료기기 등을 포함한 동물약품 시장규모는 1조3481억원입니다.관련해 일동제약은 최근 반려동물용 프로바이오틱스 및 관절 건강 영양제를 출시했습니다. 종근당바이오 역시 반려동물용 프로바이오틱스 브랜드 ‘라비벳 유산균’을 내놨고, 광동제약은 지난 3월 반려견 영양제 ‘견옥고’를 선보였습니다. 동국제약은 2021년 국내 최초로 반려견 전용 치주 질환제 ‘캐니돌정’을 내놨습니다.명품 업계도 커지는 반려동물 시장에 발맞춰 다양한 제품을 출시하고 있습니다. 구찌는 1100만원 대 반려동물용 소파를 출시해 화제가 됐습니다. 또 구찌 시그니처 로고가 박힌 반려동물 목걸이와 리드 줄, 의류 등을 판매한다고 하는데요. 반려동물용 코트는 133만원, 면 티셔츠는 36만원이라고 합니다. 이밖에 목걸이는 40만원대, 리드줄은 50만원대로 가격이 형성됐습니다.발렌티노는 지난 6월10일 서울 용산구에 팝업 스토어를 열고, 락 스터드 장식이 달린 하네스와 이동장 등을 판매했습니다. 이외에도 반려동물 시장에 진입한 명품 브랜드는 많습니다. 지난 2016년 톰 브라운이 펫 스웨터를 출시한 데 이어 프라다, 베르사체, 펜디, 루이비통 등도 다양한 펫 상품을 출시했습니다.펫산업 성장에 따라 수의대 입시 경쟁률도 치열하다. /게티이미지뱅크펫산업 성장에 수의대 인기도 ↑다양한 업계가 펫산업을 주목하는 가운데 수의사 선호도도 높아지고 있습니다. 수의대 경쟁률이 치열해지고 있는 것인데요. 입시전문 교육기관 진학사에 따르면 2022학년도 수의대 수시 경쟁률은 307명 모집에 9657명이 지원해 31.5대 1을 기록했습니다.수의대 경쟁률은 해마다 높아지고 있습니다. 2016년 경쟁률 13.99대 1에서 2018년 21.87대 1로 올랐고, 2022년에는 23.33대 1을 기록했습니다. 수능 응시자 수가 2016년 총 58만5332명에서 2022년 44만8138명으로 약 23.5% 감소한 가운데 수의대 지원자 수는 2016년 7513명에서 2022년 1만2272명으로 7년간 약 63.3% 늘어난 것입니다.또 한 조사에서 2022년 전국 수의대에 재학 중인 학생들을 대상으로 ‘수의학과에 진학한 이유’를 물어본 결과, 응답자 190명 중 132명(69.5%)이 ‘동물에 대한 관심’을 꼽았습니다. 이어 ‘의료직 희망’과 ‘전문직업인의 안정성’ 항목이 각각 57.4%와 56.8%를 차지했습니다. 수의사가 미래 중요한 직업으로 떠오르면서 수의학과 진학을 고려하는 사람들도 많아진 것으로 보입니다."
