date,title,content
2024-12-21,[부음] 박진석 前 한국은행 런던사무소장 별세 외,"▲박진석前 한국은행 런던사무소장 별세,이정자前 서원대 교수 남편상,박경수연세대 의대 교수 부친상=20일10시 신촌세브란스병원, 발인 23일9시, (02)2227-7500▲이후걸별세,이승호동서식품 차장 부친상,안병일전북도 중앙협력본부장 장인상=20일5시40분 신촌세브란스병원, 발인 22일7시40분, (02)2227-7500▲오규상한국여자축구연맹 회장 별세=20일19시 서울아산병원, 발인 23일7시, (02)3010-2000"
2024-12-24,"지하철 9호선, 남양주까지 뚫린다...논현동까지 환승없이 51분","그래픽=김성규국토교통부 대도시권광역교통위원회는 24일 서울 지하철 9호선을 강동구에서 북쪽으로 연장하는 ‘강동하남남양주선 광역철도’의 기본계획을 승인했다고 밝혔다.이 노선은 총길이 17.59㎞에 총사업비 2조8240억원이 투입돼 오는 2031년 개통을 목표로 추진된다. 현재 공사 중인 서울 9호선 중앙보훈병원역(둔촌동)~강일동 구간(4단계)에 이어, 고덕·강일지구, 미사지구, 남양주 왕숙·왕숙2지구, 진접2지구가 차례로 연결되는 것이다.새로 개통되는 역은 주요 택지 지구를 중심으로 총 8곳에 건설될 예정이며, 역명은 아직 정해지지 않았다. 서울 9호선과 같은 전동차가 운행될 예정이다.노선이 개통되면 남양주 진접2지구에서 서울 논현동까지 환승 없이 51분이 소요될 것으로 예상된다. 현재는 버스로 약 72분 걸린다. 남양주에서 서울 강남까지 소요 시간을 1시간 이내로 단축하는 것이다. 7개 대규모 택지 지구를 통과하는 노선 특성상 출퇴근 시간 단축 효과가 크다. 남북 방향의 이 노선은 동서 방향의 진접선(4호선), 경춘선(GTX-B), 경의중앙선 등과도 연계된다. 국토부는 “남양주·하남시의 만성적 교통 체증을 완화하고, 서울과 경기도 동북 지역을 연결하는 주축 교통망이 될 것”이라고 했다.이 노선은 3기 신도시 남양주 왕숙·왕숙2지구의 핵심 교통 사업이다. 2020년 12월 왕숙·왕숙2지구 광역교통 개선 대책으로 확정됐고, 예비타당성 조사를 거쳐 2021년 7월 4차 국가철도망 구축 계획과 광역교통 시행 계획에 반영됐다."
2024-09-16,정다은 아나 “서울대 나왔지만 시댁 가면 동서에 주눅”…누군가 했더니,"아나운서 출신 방송인 정다은. /뉴스1아나운서 출신 방송인 정다은이 시댁에 가면 월드클래스인 동서 때문에 주눅이 든다고 밝혀 화제가 되고 있다.조우종 전 아나운서와 결혼한 정다은은 지난 14일 방송된MBN예능프로그램 ‘속풀이쇼 동치미’에서 동서인 박희영 프로골프 선수를 언급했다.정다은은 “올해로 결혼한 지 8년차다. 초등학교 갓 입학한 딸아이와 세 가족이 살고 있다”며 “나름 행복하게 살고 있는데 이상하게 시댁만 가면 작아질 때가 있다”고 했다.정다은은 “나도 아나운서로 열심히 일하고,TV에 얼굴도 나오고, 자랑은 아니지만 서울대도 나왔다”며 “나름 어디 가서 내 이야기하면 잘 나간다고 할 수 있을 줄 알았다”고 했다.정다은은 “근데 문제는 결혼 1년 뒤에 도련님이 결혼해서 손아래 동서가 들어왔는데 골프선수였다. 그것도 세계무대에서 뛰는LPGA선수”라며 박희영을 언급했다.이어 “나도 너무 대단한 동서가 들어와서 좋은데, 문제는 시어머니께서 너무 대단하다고 굉장히 자랑하고 항상 칭찬하신다. 그리고 동서가 결혼 1년 뒤에LPGA우승까지 했다”며 “내가 그렇게 방송에 나와도 내 사진이 붙어있던 적이 없는데 동서가 우승을 하고 시댁을 가니까 신문이 스크랩돼 있더라”고 했다.골프선수 박희영. /조선일보DB정다은은 “나도 너무 자랑스러워서 ‘동서 대단하다’고 하니, 시어머니가 ‘아니지, 그냥 대단한 게 아니다. 걘 세계 1등이야’라고 하더라”며 “맞장구를 치면서도 약간 찝찝하더라. 주눅이 들었다”고 고백했다.정다은은 또 “우리집은 명절이면 어머님이 식사 준비를 하시고, 나와 남편이 저녁에 가서 식사를 하는 분위기였다”며 “동서가 미국에 살면서 가끔 한국에 오니, 잠깐 왔을 때 어머니를 제대로 챙기더라. 결혼하고 첫 명절에도 아침부터 와서 식사를 준비했다는데 저녁만 먹으러 온 내가 너무 초라했다”고 했다.정다은은 “동서가 운동을 하다보니 체력이 좋고 지치지 않는다”며 “심지어 성격도 좋다. 한국에 들어올 땐 아예 시댁에 산다. 어머님을 모시는 그 마음과 공경심이 좋지만, 내가 너무 비교된다”고 했다.한편, 정다은은 지난 2017년 아나운서 조우종과 결혼해 슬하에 딸을 두고 있다. 조우정의 동생 조주종씨는 지난 2018년 박희영과 결혼했다."
2024-08-30,해리스 동서는 한국계... 깜짝 등장한 조카들 “큰엄마를 응원합니다”,"지난 21일 일리노이주 시카고 유나이티드 센터에서 열린 민주당 전당대회에서 카멀라 해리스 부통령의 조카들인 (왼쪽부터) 알렉산더 허들린, 재스퍼 엠호프, 아덴 엠호프가 지지 연설을 하고 있다. /AFP연합뉴스지난주 미국 민주당 전당대회에 깜짝 등장해 대선 후보인 카멀라 해리스 부통령을 응원한 조카들의 어머니가 한국계인 것으로 알려졌다.지난 21일(현지 시각) 일리노이주 시카고 유나이티드센터에서 열린 민주당 전당대회엔 해리스 부통령의 조카인 재스퍼·아덴 엠호프 남매가 등장해 해리스 부통령을 응원했다. 이들 남매는 검은 머리의 아시아계 외모로 눈길을 끌었다.이들 남매는 해리스 부통령 남편(더그 엠호프)의 동생인 앤드루 엠호프와 한국계 부인 주디 리 박사가 낳은 자녀들이다. 이들에게 해리스 부통령은 큰엄마가 된다.재스퍼는 당시 “큰엄마만큼 바쁜 사람은 없지만 함께 요리하고 식사를 하는 등 항상 가족을 위한 일을 위해 시간을 낸다”고 말했고, 아덴은 “큰엄마는 어렸을 때부터 내가 소중한 존재이고 사랑받는다는 걸 느끼게 해준 분”이라며 해리스 부통령의 인간적인 면모를 강조했다.해리스 부통령의 친인척 중 한국계가 있다는 사실은 지난해 4월 처음 알려졌다. 당시 윤석열 대통령이 미국을 국빈 방문했을 때 해리스 부통령의 동서인 주디 리 박사는 남편과 함께 조 바이든 미국 대통령 주재 만찬에 참석했다.미국 민주당 대선 후보인 카멀라 해리스 부통령이 29일(현지시각) 조지아주 서배너에서 열린 유세에서 자신만만한 표정을 보이고 있다. /연합뉴스주디 리 박사는 다음 날 해리스 부통령이 마련한 오찬 자리에도 초대받아 소개됐다. 다만 주디 리 박사는 현지에서 별다른 정치 활동은 하지 않는 것으로 전해졌다. 해리스 부통령은 당시 오찬에서 “미국에는 약 200만명의 한국계 미국인이 산다. 한반도 밖에서 한국계 인구가 가장 많다는 게 자랑스럽다”며 “오늘 이 자리에는 제 가족 중 한 명으로, ‘시스터 인 로’(sisterinlaw·동서)인 주디 리 박사도 함께하고 있다”고 소개했다. 그러면서 한국계인 앤디 김(민주당), 미셸 박 스틸(공화당) 연방 하원 의원 등도 언급했다.해리스 부통령은 또 미국에서 전기차를 생산 중인 현대자동차와 텍사스주에 반도체 공장을 건설 중인 삼성전자, 넷플릭스 드라마 ‘오징어게임’,그룹 방탄소년단(BTS), 영화 ‘미나리’로 아카데미 여우조연상을 받은 배우 윤여정 등을 언급하며 한국에 대한 깊은 관심을 보여주기도 했다.해리스 부통령은 “BTS를 포함한 K팝 밴드들이 미국 빌보드에서 1위를 차지하고 있다. 나는BTS를 내 사무실로 초청해 만나 기뻤다”고 했다. ‘오징어게임’에 대해선 “남편과 몇 주에 걸쳐 집에서 몰아봤다”고 했다.해리스 부통령은 지난주 전당대회를 마친 뒤 28일부터 7대 경합주 중 하나인 조지아주 남부 지역에서 이틀 일정으로 버스 유세를 시작했다.조선일보 국제부가 픽한 글로벌 이슈! 뉴스레터 구독하기 ☞https://page.stibee.com/subscriptions/275739국제퀴즈 풀고 선물도 받으세요! ☞https://www.chosun.com/members-event/?mec=n_quiz"
2024-08-26,금진호 前 상공부 장관 별세… 노태우 전 대통령과는 동서,"금진호(92) 전 상공부 장관이 지난 21일 별세했다. 경북 봉화 출신인 금 전 장관은 대구 대륜고, 서울대 법대를 졸업했다. 고인은 6·25전쟁 때 장교로 입대해 1956년 대위로 전역했고, 1960년대 초반 공직 생활을 시작했다. 총무처 총무과장, 상공부 중소기업국장, 섬유공업국장, 공업기획국장, 광무국장과 동력자원부 석탄국장 등을 거쳤다. 고인은 전두환 전 대통령을 주축으로 한 신군부가 권력을 장악하면서 국가안보위원회 상공분과위원장을 맡았고, 5공 정권에서 총리 비서실장, 상공부 차관을 거쳐 1983년 상공부 장관에 임명됐다. 14대 국회 때 민주자유당 소속으로 경북 영주·영풍에서 국회의원을 지냈다. 고인은 노태우 전 대통령과는 동서지간이다. 고인 아내는 노 전 대통령 부인 김옥숙 여사의 여동생 김정숙씨다."
2023-03-18,동서식품 김석수 회장 선임,동서식품은 주주총회에서 동서그룹 오너가 2세 김석수(69) 동서식품 감사를 회장(등기이사)에 선임하는 안건을 의결했다고 17일 밝혔다. 김 회장은 2018년 회장에서 물러난 지 5년 만에 복귀했다.▲동서식품▷사장 김광수▷상무 안선민 이동희 이현주 강성룡
2024-04-26,"이나영 이어 남편 원빈도 16년만에 동서식품과 결별, 무슨 일?","원빈, 이나영. /조선DB배우 이나영에 이어 남편인 배우 원빈도 올해 동서식품과의 광고 계약이 종료된 것으로 확인됐다.26일 동서식품에 따르면 지난달 이나영 후임으로 배우 박보영이 ‘맥심 모카골드’ 광고 모델로 발탁됐다. 원빈의 ‘맥심T.O.P’후임 광고 모델은 아직 정해지지 않았다.이나영은 2000년부터 24년간 맥심 모카골드 광고 모델로 활동해왔다. 원빈은 2008년부터 16년간 맥심T.O.P광고 모델로 활동했다. 원빈은 “네가 그냥 커피였다면, 이 사람은 티오피야”라는 광고 대사를 유행시키기도 했다.동서식품 관계자는 조선닷컴과의 통화에서 “원래 두 분과 매년 재계약을 하는 방식으로 계약을 이어왔다”며 “광고 계약 종료를 결정한 시기가 약간 차이는 있지만 두 분과 올해 재계약을 하지 않은 것은 맞다”고 했다.부부이자 장수 모델인 원빈‧이나영과 올해 동시에 재계약을 하지 않은 이유에 대해서는 “특별한 이유는 없다”며 “두 분이 그동안 굉장히 큰 역할을 해주셨다. 회사에서는 두 분께 너무 감사해 하고 있다”고 했다.원빈‧이나영 부부는 2015년 결혼한 뒤 슬하에 아들 한 명을 두고 있다. 이나영은 작년 드라마 ‘박하경 여행기’에 출연하는 등 꾸준히 작품 활동을 이어오고 있으나, 원빈은 2010년 영화 ‘아저씨’ 이후 14년째 공백기를 갖고 있다."
2024-03-27,한전 이어 발전공기업도 희망퇴직...동서발전 첫 테이프 끊어,"임금피크제 13명 대상 진행2009년 이후 15년 만한국동서발전 울산 사옥./뉴스1한전에 이어 한전의 발전 공기업에서도 희망퇴직이 시작됐다. 국제 에너지 가격 급등의 충격을 고스란히 받으며 한전의 재무구조가 악화한 가운데 계열 발전 공기업까지 인력 구조조정에 나서는 모양새다.27일 한국동서발전에 따르면, 총 13명에 대한 희망퇴직 절차에 들어간다. 동서발전은 올해 임금피크제 전환 인력 119명을 대상으로 지난 19일까지 희망퇴직 신청을 받았고, 해당 인력의 11%에 해당하는 13명이 희망퇴직을 신청했다고 밝혔다. 동서발전 관계자는 “인사위원회 심사를 거쳐 3월 말일부로 신청자들의 퇴직을 확정할 계획”이라고 말했다. 한전의 발전 공기업 가운데 첫 인력구조조정 사례다.한전은 임직원이 반납한 임금 인상분을 재원으로 6월 이후 희망퇴직을 시행할 계획이다. 지난달 2일까지 80.9%의 직원들이 임금반납에 동의해 122억 7000만여 원의 재원을 마련한 것으로 알려졌다. 앞서 한전은 원가에 미치지 못하는 전기요금 탓에 영업적자가 2021년 5조8465억원, 2022년 32조6552억원에 이르자 지난해 5월, 488명을 줄이겠다고 밝힌 데 이어 11월엔 2026년까지 700명을 감축하겠다고 밝혔다.지난해에도 영업적자가 4조5416억원에 이르면서 회사채 발행이 막힐 지경에 이르자 한국수력원자력을 비롯한 발전 공기업으로부터 중간배당을 결정했고, 모회사의 경영난이 확산하며 발전 공기업들도 군살 빼기에 나선 것으로 풀이된다.동서발전 노조는 지난해 12월 임금교섭 당시 임금피크제 대상직원의 희망퇴직을 위한 제도개선 안건을 투표에 부친 결과, 직원의 79%가량이 찬성하면서 올해 임금피크제 대상 직원에게 첫 희망퇴직 신청을 받게 됐다. 동서발전의 희망퇴직은 2009년 이후 15년 만이다.동서발전 관계자는 “전력그룹사 누적적자 개선을 위한 적극적인 경영효율화 노력의 하나”라고 말했다."
2024-02-08,충남 태안 기업도시 허리 잇는 ‘동서 주 간선도로’ 개통,"개통된 충남 태안기업도시 동서 주 간선도로. /태안군충남 태안군은 태안 기업도시를 남북으로 가로지르는 주 간선도로와 부남대교(태안읍 송암리)를 잇는 ‘동서 주 간선도로’가 개통됐다고 8일 밝혔다.태안군에 따르면 개통된 도로는 총연장 1.3㎞의 왕복 4차로 규모다. 현대도시개발이 2022년 2월 착공한 이 도로가 개통됨에 따라 태안읍∼태안기업도시∼서산시 부석면을 연결하는 새 도로망이 확충됐다. 태안 기업도시 내 골프장 4곳과 한국타이어 주행시험장, 국내 최대 규모 드론 전문시설인 태안군UV랜드 등으로의 접근성이 좋아진 것이다.현대도시개발은 남북 주 간선도로 구간 중 태안읍 반곡리부터 로얄링스CC까지 1.1㎞ 구간 4차로 확장 공사를 지난해 5월 완료한 데 이어 로얄링스CC부터 동서 주 간선도로를 잇는 1.8㎞ 구간 확장 공사를 시작할 예정이다.태안군 관계자는 “이번 동서 주 간선도로 개통이 기업도시 방문객 증가는 물론 기업 유치, 지역 상권 활성화에도 기여할 것으로 기대한다”고 말했다."
2024-12-23,[조용헌 살롱] [1475] 권력과 法師,"정치자금법 위반 혐의를 받는 이른바 '건진법사'로 알려진 전성배 씨가 지난 19일 서울 양천구 서울남부지법에서 열린 구속 전 피의자 심문(영장실질심사)에 출석하며 법정으로 향하고 있다. /연합뉴스살롱을 20년 쓰면서 필화 사건은 없었지만 소동을 일으킨 칼럼은 있었다. 지난 대선에서 윤석열 후보 손바닥에 ‘王’ 자를 쓴 도사가 다름 아닌 ‘J’라는 사람이었다고 썼던 칼럼이었다. J는 전성배(64). 건진법사(乾津法師)의 본명이 전성배였다. 이 칼럼 이후 윤석열 캠프에서 건진법사에 대한 비판적 여론을 의식하게 되었다고 들었다. 건진의 밥줄(?)을 끊은 것 같아서 미안한 마음도 있었다.대원군때 장자방 역할을 했던 도사 백운학도 결국 암살되었다. 반대파였던 민비 쪽에서 보낸 자객에게 죽었다. 함양 서상면 출신의 박 도사(1935~2000). 이후락·윤필용과 친했기 때문에 윤필용 사건의 와중에서 반대파의 공격을 받았다. 보안대 지하실로 끌려가서 ‘너 임마! 도사라면서! 너는 오늘 죽었다’ 소리를 들으며 요원으로부터 흠씬 맞았다. 한때 대권 주자로 거론되었던 포철 박태준. 그가 헬기를 타고 서상면으로 박 도사를 찾아오는 성의를 보이는 바람에 김영삼 정권 때 박 도사도 고초를 겪었다.권력은 한 치 앞도 볼 수 없는 것이다. 여차하면 감옥이고 죽음이다. 동서고금을 막론하고 권력자는 예지력이 있는 왕사나 국사를 모셨다. 왕사가 없는 시대에는 무당, 법사, 도사, 술사를 끼고 산다. 여차하면 무당은 바로 버린다.건진은 가방끈이 짧다. 법사가 되려면 가방끈이 짧고 밑바닥 계층이어야 한다. 학벌이 좋으면 영발이 쇠퇴한다. 이미 10대 중반에 접신이 되었으니 학교도 못 다녔다. 건진의 어머니도 충주 일대에서 유명한 샤먼이었는데 아침마다 ‘오늘 오후에 누구 올 것이다!’라고 예측하면 거의 들어맞았다고 한다.건진은 접신된 귀신이 13가지나 되었다고 한다. 다른 무당은 1~2개 정도 들어왔는데 건진은 13개나 되었으니 그 구질이 다양하였다. 5공화국 때는 전두환 정권의 실세들이 건진을 만나려고 쫓아다니기도 했다. 건진의 또 한 가지 주특기는 치병에 관한 부분이었다. 내가 아는 지인이 사업하다 부도나서 감옥에 3년 있었는데 감방에서 몸이 차가워지는 냉병이 왔었다고 한다. 건진은 인체의 숨어 있는 잠맥(潛脈)을 잡아내기도 하였다. 건진에게 비판적인 필자에게 그 지인은 건진 때문에 냉병이 나았다고 여러번 강변하였다. 건진은 원주 치악산에서 산신 기도를 하다가 간첩 신고를 당하기도 했고, 이번엔 검찰에 체포되는 신세가 됐다. 술사는 매일 바쁘고 이권을 챙기다가 거미줄에 걸린다. 도인은 한가하게 끽다거(喫茶去)나 하고 그럭저럭 사는 것이다.권력 핵심에 법사가 너무 가까이 가면 뒤끝이 좋지 않다는 게 역사적인 교훈이다.△매일 조선일보에 실린 칼럼 5개가 담긴 뉴스레터를 받아보세요. 세상에 대한 통찰을 얻을 수 있습니다. 구독하기 ☞https://page.stibee.com/subscriptions/91170"
