date,title,content
2024-06-26,"“같은 염색약, 다이소가 약국보다 싸” 약사들 발칵… 결국","/동성제약·다이소몰동성제약이 염색약 ‘세븐에이트’의 다이소 유통 출하를 중단했다. 비슷한 제품이 약국보다 다이소에서 더 저렴한 가격에 판매돼 소비자와 약사 등의 불만이 이어지자 내려진 결정이다.대한약사회는 25일 보도자료를 통해 동성제약으로부터 세븐에이트 다이소 유통 관련 사과와 함께 후속 조치 등에 대해 회신을 받았다고 밝혔다.염색약 세븐에이트는 동성제약의 간판 제품 중 하나로, 최근 다이소에 유사 제품을 납품하면서 문제가 불거졌다. 맨눈으로 보기엔 별 차이가 없어 보이는데 약국에선 7000~8000원, 다이소에선 5000원에 각각 판매됐기 때문이다.얼핏 보면 제품 외관은 동일한 듯 보이지만, 사실 두 제품은 성분과 구성 등에서 차이가 있다. 약국에 납품되는 제품은 모발을 보호해 주는 성분이 들어있고 빗 등 부속품도 함께 들어있는 반면, 다이소 제품은 모발 보호 성분이 빠져있고, 빗과 같은 구성품도 들어있지 않다.다만 소비자 사이에선 약국이 같은 제품을 두고 폭리를 취한다고 오인해 불만이 일부 있었던 것으로 알려졌다.이에 약사 커뮤니티를 중심으로 불매 운동 조짐까지 나왔다고 한다. 이번 보도자료에서 대한약사회는 “다이소를 통해 유통되었던 세븐에이트 제품이 약국에서 유통하고 있는 제품과의 외형적 차이가 없어 구별하기 어렵다는 문제 제기가 약사회원은 물론 소비자들로부터 있어왔다”고 했다.동성제약은 다이소에 제품 출하를 중지하고, 포장 디자인 등을 변경해 재출시할 예정인 것으로 전해졌다. 약사회는 “동성제약에 민원 해결을 위한 협의를 진행하여 약국 이외의 유통제품에 대한 차별화를 통해 오해하지 않도록 조치하겠다는 답변을 받았다”고 했다."
2023-11-09,실적 좋은데 공매도 금지·빈대 호재까지… 제약株 날았다,"종근당 대규모 신약수출 소식에 매출 ‘1조 클럽’ 기업도 속속 출현지난 6일 최대 1조7000억원 규모의 신약 물질 수출 계약 소식을 알린 종근당 주가가 8일까지 3일 만에 27.5% 상승했다. 바이오업계 양강인 셀트리온와 삼성바이오로직스도 최근 역대 분기 최대 실적을 기록하면서 올해 내내 주춤했던 제약바이오주가 상승세를 탈 수 있다는 전망이 나온다. 개별 기업의 성과 이외에 공매도 금지 조치, 빈대 확산 등이 예상 밖 호재로 작용하고 있다.그래픽=김성규탄탄한 실적으로 날개 단 제약주종근당의 주가는 글로벌 빅파마(BigPharma·대형 제약사)인 노바티스와의 신약 후보 물질CKD-510의 기술 이전 계약 체결 소식을 알린 지난 6일 전일 대비 26.11% 급등하며 52주 신고가를 경신한 데 이어 3일 연속 오름세를 보였다. 회사 주가는 8일 상승세로 시작해 장 마감 직전 등락을 반복하다 전일과 같은 12만9500원에 마감했다.삼성증권, 키움증권, 유진투자증권, 신영증권 등은 지난 7일 리포트를 통해 종근당 목표주가를 일제히 15만원으로 상향 조정했다. 서근희 삼성증권 연구원은 “총 계약 금액 중 계약금 8000만달러(약 1061억원)는 4분기 실적에 일시 반영될 것”이라며 “신제품 매출 성장과 연구개발(R&D) 비용 축소 등으로 개선될 수익성을 감안하면 추가 상승 여력이 있다”고 이유를 밝혔다.최근 3분기 실적을 발표한 삼성바이오로직스와 셀트리온의 주가도 각각 전일 대비 0.27%, 1.22% 상승 마감했다. 삼성바이오로직스의 올해 3분기 연결 기준 매출은 1조340억원으로 창립 이래 첫 분기 매출 1조원을 돌파했다. 셀트리온은 3분기 연결 기준 매출 6723억원으로 역대 분기 최대 실적을 기록했다. 올해 누적 매출은 1조7938억원으로 매출 ‘1조 클럽’ 입성을 확정지었다. 유한양행, 종근당, 한미약품 등도 3분기까지 누적 매출 1조원을 확정하는 등 좋은 실적을 낸 점도 업계에 활기를 불어넣고 있다.전반적인 제약바이오 기업 주가 상승의 영향으로 이날 종근당, 삼성바이오로직스, 셀트리온 등으로 구성된 코스피 200 헬스케어 지수는 1.35% 오른 1701.33를 기록했다. 구성 종목이 다른KRX헬스케어,KRX300헬스케어, 코스닥 150헬스케어 또한 1% 안팎 상승세를 보였다.지난 6일 시작된 공매도 금지도 제약주에 호재로 분석된다. 이동건SK증권 연구원은 “이차전지 업종 다음으로 공매도 비중이 높은 업종이 제약바이오(헬스케어) 업종”이라며 “구성 종목 대다수가 신약 개발 기업 특성상 수급에 민감한 만큼 단순 수급 이슈로 공매도가 쌓여 주가가 부진했던 기업들의 경우 확실한 수혜가 될 것”이라고 했다.‘빈대’ 가 뜻밖의 수혜 된 제약사도뜻밖에 빈대 확산이 호재가 된 제약사도 있다. 빈대 퇴치제·살충제 등을 만들고 유통하는 중소 규모 제약사들이다. 빈대 퇴치제 ‘모스펜스’ 제조사인 경남제약의 주가는 지난 7일 상한가를 기록한 데 이어 8일에도 2.79% 오른 2210원으로 마감했다. 또 다른 빈대 퇴치제 ‘비오킬’ 제조사인 동성제약 주가도 이달 들어 4.9% 상승했다. 빈대 퇴치제 원료를 공급하는 국제약품 주가도 6.3% 상승했다. 경남제약의 경우 최근 5년간 적자를 기록하며 주가가 하락했기 때문에 반등 폭이 더 컸다.빈대 목격 제보가 점점 더 늘어나면서 이들 제약사의 주가는 한동안 상승세를 이어갈 전망이다. 정부가 빈대에 물린 경우 항히스타민제 복용을 권하면서 항히스타민제 제조 제약사들의 주가도 상승세를 보이고 있다. 김정현 교보증권 연구원은 “과거에는 셀트리온의 램시마 미국 진출, 한미약품의 기술 이전 등 이슈로 대형 제약사들의 시총 상승에 업종 전체가 프리미엄을 받아 동반 상승한 반면 이제는 제약 업계 트렌드가 세분화되면서 개별 종목이 각각 움직이고 있다”며 “개별 기업의 실질적인 경제적, 사업적 성과뿐 아니라 단기적인 트렌드 관점에서의 접근도 필요하다”고 했다."
2023-11-08,호텔·찜질방·PC방 ‘빈대 방역’ 초비상,"매트리스 등 고온 살균 강화살충제·침구 청소기도 불티최근 서울 시내에 빈대 출몰로 호텔 등 숙박업체들이 ‘빈대 방역’으로 초비상이 걸렸다. 사람이 많이 다니는 곳을 꺼리는 분위기가 형성되면서 찜질방·PC방·키즈카페 등도 마찬가지다. 온라인 쇼핑몰에선 빈대 퇴치에 효과적이라는 살충제와 침대 방수 커버, 침구 전용 청소기 판매가 급증하고 있다.롯데호텔앤드리조트는 7일 서울·부산·제주·울산 등 전국 20곳의 체인에 위생 가이드라인을 배포했다. 롯데호텔 관계자는 “열에 유독 약한 빈대 특성을 감안해 전국 호텔 모든 객실의 침구와 매트리스를 70도 넘는 고온 수증기로 살균 작업을 진행하고 있다”고 했다. 호텔신라도 방역 강화에 나섰다. 호텔 신라 관계자는 “외국에서 빈대 퇴치 전문 방역제를 공수해 구석구석 방역을 진행했다”고 했다. 조선호텔앤리조트는 객실 청소 체크리스트에 ‘빈대 발견 구역’ 항목을 새로 추가하고, 호텔 내 모든 공간에 해충 기피제 분사 횟수를 늘리기로 했다. 객실 정비 담당자 교육도 강화했다.서울 마포의 한 찜질방은 매주 월요일 휴무하는데 방역을 위해 7일 추가로 휴업했다. 사장 박모씨는 “전문 방역 업체를 불러 사우나 마룻바닥과 방 구석구석까지 집중적으로 방역하다 보니 영업을 하루 쉴 수밖에 없었다”고 했다.PC방·키즈카페·코인노래방을 운영하는 자영업자들도 온라인 커뮤니티에 “방역 어떻게 해야 하나요” 같은 문의 글을 계속 올리고 있다.빈대 퇴치를 위한 각종 살충제 판매는 급증하고 있다. 동성제약의 살충제 제품 ‘비오킬’은 쿠팡·G마켓 같은 온라인 쇼핑몰에서 지난달 4만여 개가 팔렸다. 작년보다 10배 늘었다. 경남제약의 ‘모스펜스’도 10월 판매량이 작년보다 3배가량 증가했다. 침구 전용 청소기와 매트리스·방수 커버도 마찬가지다. G마켓에 따르면 최근 일주일 사이(지난달 31일~지난 6일) 침구 전용 청소기 판매는 작년보다 6배 늘었다. 빈대 차단 효과가 있다는 침대·매트리스 방수 커버 판매도 같은 기간 111% 늘었다."
2023-11-02,빈대 출몰에 살충제 관련주 이틀째 급등,"19일 오전 대구 달서구 계명대학교 성서캠퍼스 기숙사에서 방역업체 관계자와 기숙사 관리직원들이 빈대(베드버그·bedbug) 박멸을 위해 기숙사 내부를 소독하고 있다. /뉴스1전국 곳곳에서 빈대가 발견되자 증시에서 관련주들이 투자자 관심을 모은다. 해충 기피제 수요가 늘 것이라는 기대감이 반영됐기 때문으로 풀이된다.1일 코스닥 시장에서 경남제약은 전날 상한가(30%)에 이어 10% 급등한 채 거래를 마쳤다. 이 회사는 빈대·진드기·모기 등 해충 기피제를 판매한다.코스피 종목인 동성제약도 이날 2.9% 올라 이틀 연속 상승세를 이어갔다. 이 회사가 판매하는 무독성 살충제는 전년 동월과 비교해 판매가 10배나 급증한 것으로 전해졌다.최근 프랑스 등 유럽 주요 도시뿐 아니라 한국의 찜질방과 대학 기숙사 등에서도 빈대, 일명 ‘베드 버그(bedbug)’가 발견되고 있다. 빈대는 주로 침대 주변과 옷장, 소파 등에서 머물다 새벽에 출몰해 사람 피를 빨아 먹고 다시 숨는 습성을 갖고 있다. 빈대는 감염병을 전염시키지 않아 감염병예방법상 관리 대상 해충은 아니다. 하지만 빈대에 물리면 붉은 물집과 두드러기 등 피부 염증이 발생한다. 이에 따라 시민들 우려가 확산되는 중이다.국가 간 교역, 여행, 이민 등이 늘며 국내에도 빈대가 출몰한 것으로 분석된다. 정부는 전날 관계 부처 회의를 열고 공동 숙박시설 등에 대한 빈대 관리와 방제 방안을 논의했다."
2023-08-07,폭염에 1000만 탈모인 비상… 고민 해결책은?,"강한 자외선과 고온 다습한 날씨는 두피와 모발을 약하게 만들어 탈모를 촉진할 수 있어 주의가 요구된다.전국에 폭염 특보가 발령될 정도로 불볕더위가 기승을 부리면서 탈모에도 비상이 걸렸다. 강한 자외선과 고온 다습한 날씨가 두피와 모발을 약하게 만들어 탈모를 촉진할 수 있기 때문이다.건강보험심사평가원에 따르면 지난 2021년 기준 병원 진료를 받은 국내 탈모 환자는 24만3609명으로 2017년 대비 13.7% 증가했다. 탈모 치료를 받는 인구 중 30대는 22.6%로 가장 높았으며, 40대 21.7%, 50대 16.5% 순이었다. 20대 환자도 증가 추세를 보이며 탈모 환자 10명 중 4명이 20대와 30대로 나타났다. 대한탈모치료학회는 국내 탈모 인구를 약 1000만 명으로 추산하고 있다.중장년층에 집중되던 탈모 치료 연령대가 젊은층으로 확대되면서 제약업계에서도 전문적인 탈모 케어 제품을 선보이고 있다. 탈모가 이미 시작된 경우에는 적절한 약물 치료가 중요하며 두피와 모발에 영양을 공급해 모발 건강을 유지하는 게 중요하기 때문이다.현대약품의 마이녹실은 탈모약으로 활용되고 있는 미녹시딜을 사용한 일반의약품이다. 궤양과 고혈압 치료제로 사용되며 안전성을 입증한 미녹시딜은 두피의 말초혈관을 확장하고 피부 혈류량을 증가시켜 모발에 영양을 공급하고, 모근 세포를 활성화시키는 역할을 한다.동국제약의 판시딜은 약용효모 성분의 탈모치료제로 모발과 손톱의 구성 성분인 케라틴,L-시스틴 등과 모발 영양 성분인 약용효모와 비타민 등을 최적 비율로 배합했다. 모발 필수 영양성분이 혈액을 통해 모근 조직 세포에 직접 공급돼 머리카락이 굵어지고 덜 빠지며 손상된 모발을 개선하는데 도움을 준다.동성제약은 탈모 증상을 완화해주는 샴푸를 내놨다. 샴푸액에 함유된 징크피리치온은 두피 각질과 피지 개선에 도움을 준다. 덱스판테놀 성분은 과도하게 분비되는 피지를 완화시키고 영양 성분이 모근에 잘 흡수될 수 있게 한다. 카페인을 1% 함유해 두피와 모발에 활력을 더하는 효과도 있다.제약업계 관계자는 “여름철에는 강한 자외선을 포함한 직사광선에 모발이 장시간 노출돼 모발과 두피에 안 좋은 영향을 준다”며 “땀 등이 모발과 두피에 쌓이지 않도록 각별히 주의하고 탈모 예방에 도움되는 제품으로 평소 꾸준하게 관리하는 것이 좋다”고 했다."
2022-03-25,[부음] 강정순 별세 외,"▲강정순별세,박근영하나금융티아이 대표이사·박근옥·박근수모친상,이선희시모상=23일13시30분 서울아산병원, 발인 26일6시20분, (02)3010-2000▲김금자별세,송홍관·송홍주·송창원여수경찰서 형사과장 모친상=24일1시 전남 보성 벌교중앙장례식장, 발인 26일13시, (061)857-3000▲김인식별세,김영한前 국민일보 편집국장·김윤환축산업·김승환前 삼성SDS부장 부친상=23일0시30분 경북 의성 안계농협장례식장, 발인 26일9시, (054)862-1910▲남복희별세,이긍구·이상구·이양구동성제약 대표이사·이경희모친상,나천열장모상,안정원·박영선·김주현시모상=24일16시30분 서울아산병원, 발인 26일8시, (02)6911-3616▲변정자별세,송승은부산일보 이사 모친상=23일18시 부산시민장례식장, 발인 26일5시30분, (051)636-4444▲신억식별세,박창우前 저축은행중앙회 감사실장 모친상,최미연시모상=23일19시 양주장례식장, 발인 26일10시, (031)863-4444▲안옥연별세,백승철인천 논현경찰서 여성청소년계장 모친상=24일7시10분 인천 간석장례문화원, 발인 27일8시30분, (032)464-4444▲오영심별세,김기홍전남도청 자치행정국장 장모상=23일23시40분 광주광역시 그린장례문화원, 발인 26일8시, (062)250-4455▲유광혁별세,유성한FC서울 단장 부친상=23일17시 서울성모병원, 발인 26일8시30분, (02)2258-5940▲윤종윤前 재경대구·경북시도민회 회장 별세,윤정호TV조선 보도본부 부본부장 부친상,김주희시부상=24일16시5분 신촌세브란스병원, 발인 28일7시, (02)2227-7500▲황기자별세,심재문약사·심재흔·심재남KBS춘천방송총국 편집부장 모친상=24일10시50분 춘천 강원효장례문화원, 발인 26일16시, (033)261-4441"
2024-07-26,"카데시인코퍼레이션-동성제약, 퓨리톤 적용 제품 사업 확대 MOU","(왼쪽부터) 카데시인코퍼레이션 이사장 김광호 박사, 동성제약 이양구 대표이사미국 ㈜카데시인코퍼레이션(KadeshInc.)은 지난 24일 제약사 동성제약(이양구 회장)과 퓨리톤을 기반으로 한의약, 화장품, 건강기능식품 등 다양한 제품군에 적용, 제품개발 및 사업확대를 위한 업무협약을 체결했다고 26일 밝혔다.㈜카데시인코퍼레이션은 미국 캘리포니아주 가든 글로브에 본사 공장을 보유하고 있으며, 100% 천연광물을 이용하여 약용 성분이 있는 300여가지의 엄선된 광물에서 인체에 유익한 약용 미네랄을 추출하는 기술을 바탕으로 미국FDA연구소, 주립대학 등과Puriton을 연구, 개발, 및 생산해 왔다. 현재는 한국을 비롯 전 세계에 계속적인 연구를 진행하고 있다.인체 내에서 미네랄과 미량 원소는 반도체 역할을 하며 모든 신체 기능을 원할하게 할 수 있도록 균형유지를 시켜준다. 급속화 된 토양의 산화로 식물성 원료에서 충분한 미네랄 공급이 어려운 것이 현재의 실상이라고 두 기업은 밝히고 있다. 그렇기에 미네랄의 근원이 되는 광물에서 인체에 필요한 자연 미네랄 원료를 취해 인체의 회복을 이끌어 내는 것은 앞으로의 의학, 화장품, 및 식품 산업에 중요한 축이 될 것이라고 동성제약과 퓨리톤 연구소는 기대하고 있다.협약식에 참석한 카데시인코퍼레이션 김광호 회장은 “이번MOU를 통해 ‘퓨리톤’으로 신규 다양한 제품군에 적용하고 동성제약의 오랜 연구 경험과 카데시인코퍼레이션의 광물의학이 결합해 인류의 건강에 이바지하고 글로벌 경쟁력을 갖출 것”이라고 말했다.향후 카데시인코퍼레이션은 동성제약과 적극적인 협업을 통해 공동연구와 다양한 제품 개발에 협력할 예정이다."
2024-06-26,"""염색약, 약국 8000원 다이소 5000원""…약사 반발하자 결국","동성제약이 염색약 ‘세븐에이트’의 다이소 유통을 일단 중단했다. 약국에서 파는 제품과 구분이 쉽지 않다는 약사들의 지적을 반영한 조치다.26일 제약 업계에 따르면 동성제약은 최근 대한약사회에 세븐에이트를 다이소에 유통했던 것과 관련, 사과와 함께 후속 조치 등을 회신했다. 대한약사회는 지난 24일 보도자료를 내고 “동성제약이 다이소에 유통했던 세븐에이트 제품이 약국에서 파는 제품과 외형적 차이가 없어 구별하기 어렵다는 약사 회원이나 소비자의 문제 제기가 있었다”고 밝혔다.약국에서 파는 세븐에이트(왼쪽)와 다이소 판매 세븐에이트. 사진 각 홈페이지 캡처동성제약이 다이소에 납품한 세븐에이트는 약국에서 유통하는 제품(세븐에이트)과 외형상 비슷하다. 약국에서 7000~8000원에 팔리는 제품이 다이소에선 5000원에 판매됐기 때문에 약국을 찾은 소비자 중에선 약사들에게 항의하는 이들이 적지 않았다고 한다. “약사를 상대로 폭리를 취한다”는 약사들의 불만도 잇따랐다. 이 때문에 약사 사회에선 동성제약에 대한 불매운동이 거론되기도 했다.다만 다이소에서 파는 세븐에이트 제품은 가격이 저렴한 대신 모발 보호 성분이나 빗과 같은 부속품이 들어있지 않은 것으로 알려졌다. 약사 항의가 이어지면서 동성제약은 약사회 측에 “약국 이외 유통제품에 대한 차별화를 통해 (소비자가) 오해하지 않도록 조치하겠다”는 답변을 보냈다고 한다.다이소의 온라인 쇼핑몰인 ‘다이소몰’에 들어가면 현재 세븐에이트는 구매할 수 없다. ‘재입고 예정’이라는 안내가 뜬다. 동성제약은 다이소 제품의 포장 디자인 등을 변경한다는 방침이다.대한약사회 관계자는 “약사가 특혜를 요구했다거나 갑질 문제가 아니다”라며 “소비자 입장에선 똑같은 제품이라고 인식할 수 있기 때문에 이를 시정해달라는 요청을 한 것”이라고 말했다."
2023-08-10,"중앙일보, '제 3회 중앙회화대전' 최종 수상작 발표","‘미술은 작품 그 자체만으로 평가받아야 한다’는 방향성을 가지고 블라인드 평가로 공정함을 이어가고 있는 '제3회 중앙 회화대전: 2023, 기본의 가치'의 최종 수상작이 오늘 10일 발표됐다.800여 점의 온라인 출품작 중 1차 본선 진출작 300점이 인사동 한국미술관에 전시되었고 9일 2차 현장 심사를 통해 대상 포함 79명의 수상작이 정해졌다.대상_우성희_설거지대상은 우성희 작가의 설거지(2)가 수상했다. 대상에게는 매입상금 1천만원이 수여된다.이번 2차 심사에는 유명 화가이자 현직 교수진으로 서양화 2명 동양화 1명의 심사위원으로 구성되었으며 심사위원장인 임근우 작가는 “작품 수준이 높아 심사가 쉽지 않았다”며 “수상의 영예를 안은 작가 여러분께 마음 깊이 축하의 말씀을 드리며, 앞으로도 중앙회화대전이 미술계 발전에 지대한 역할을 할 것으로 기대한다”고 말했다.금상_김화수_CONFLICT최종 수상작가 명단(상격별 가나다순)대상(1) 우성희금상(2) 김화수 박성호은상(5) 김춘심 민진영 요고코드(김효정) 유영은 장영아동상(10) 공종열 김미영 김애옥 김은정 김은하 맹유진 이시온 이은정 조미연 하지혜기업상(3) 이지수능교육상 양성미 동성제약상 손다현 아람비상 조스트(조정빈)특선(58)FREDRIK(이정빈)LEESUNStevenLeo(이상호)Yeoul-Jhin(이안나) 고미량(고미양) 김광종 김미소 김성대 김수한 김은경 김조운 김현진 김형수 김혜리 김희중 노하윤 문미옥 문효정 박수현 박윤주 박초리 배경진 배세원 상엽 서정연 송주영 신선희 신정미 심고은비 안현 안혜민 오세기 오창희 원이소 유재호 윤영섭 윤준혜 이수현 이영주 이한 이현희 이희민 인현미 임려은 임혜영 전태진 정보영 정지아 조재경 최연이 최혜윤 최효진 하민진 허지연 현지혜 홍대의 황수정 황주연금상_박성호_소나무 같은 그대에게"
2022-03-25,[부고] 김석희씨 外,"▶김석희씨 별세, 은종선씨 남편상, 김미경·재명(김제병원 정형외과장)·동훈씨(협신상사 대표) 부친상, 김석훈씨(한전 전북본부 과장) 장인상=24일 전북 김제 새만금장례식장, 발인 27일 오전 9시 30분, 063-548-5300▶남복희씨(동성제약 창업주 고 이선규 회장 부인) 별세, 이긍구·상구·양구·경희씨 모친상, 나천열씨 장모상, 안정원·박영선·김주현씨 시어머니상=24일 서울아산병원, 발인 26일 오전 8시, 6911-3616▶오영심씨 별세, 김기홍씨(전남도 자치행정국장) 장모상=24일 광주 그린장례문화원, 발인 26일 오전 8시, 062-250-4455▶유광혁씨 별세, 유성한씨(프로축구FC서울 단장) 부친상=23일 서울성모병원, 발인 26일, 2258-5940▶윤종윤씨(전 재경대구경북시도민회 회장) 별세, 윤정호씨(TV조선 보도본부 부본부장겸 시사제작국장) 부친상, 김주희씨 시아버지상=24일 신촌세브란스병원, 발인 28일, 오전 7시, 2227-7500"
