date,title,content
2024-12-02,'테니스장 우회 낙찰로 수십억 배임' 동양생명 전 대표 송치,"서울경찰청 광역수사단. /조선일보DB테니스장 운영권을 획득하는 과정에서 회사에 20억원대 손해를 끼친 혐의를 받는 동양생명 전 대표이사가 검찰에 넘겨졌다.서울경찰청 금융범죄수사대는 대만 국적의 저우궈단 전 대표를 업무상 배임·횡령 등 혐의로 지난달 말 검찰에 불구속 송치했다고 2일 밝혔다.저우 전 대표는 서울 중구 장충테니스장 운영권을 획득하기 위해 회사에 불리한 조건으로 A사와 계약을 맺어 회사에 20억여원의 손해를 끼친 혐의를 받는다.앞서 금감원은 동양생명이 장충테니스장의 실질적 운영권자 역할을 하면서 회사에 불리한 조건으로 운영권을 획득한 정황을 포착하고 지난해 경찰에 통보했다.경찰과 금감원에 따르면 스포츠클럽을 운영하는 A사는 2022년 장충테니스장 운영권을 낙찰받았다. A사는 직전 낙찰가가 3억7000만원이던 테니스장 운영권을 26억6000만원에 낙찰받았으며, 동양생명은 A사에 광고비 등 명목으로 3년간 27억원을 보전해주기로 했다. 또 광고대행수수료 명목으로 인건비와 관리비 1억6000만원도 지급했다.이런 계약 내용을 봤을 때 테니스장의 실질적 운영권자는 동양생명이라고 금감원과 경찰은 결론을 내렸다.동양생명이 ‘최근 5년 이내 테니스장 운영 실적’ 등 운영자 자격 요건을 갖추지 못하자 저우 전 대표가 A사를 내세워 ‘우회 낙찰’을 받고 광고비 등을 몰아주는 형식으로 낙찰금액을 보전해주면서 회사에 손해를 끼쳤다는 것이다. 동양생명은 테니스를 활용한 헬스케어 서비스의 하나로 테니스장 운영을 추진했다고 해명했으나 일각에서는 테니스 마니아로 알려진 저우 전 대표의 취미가 반영된 게 아니냐는 의혹도 제기됐다."
2024-03-06,[경제계 인사] 동양생명 신임 대표이사 이문구 외,"동양생명 신임 대표이사 이문구동양생명은 이문구 신임 대표이사가 취임했다고 밝혔다. 이 대표는 1992년 동양생명에 입사해GA사업단장, 영업본부장, 최고마케팅책임자 등을 지냈다.금융연구원장에 이항용 내정금융연구원은 이항용 한양대 경제금융학부 교수를 금융연구원장 후보로 단독 추천했다고 5일 밝혔다.▲에프앤가이드◇퇴직연금사업부문 대표▷김병철"
2024-08-29,"우리금융, 1조5500억원에 동양생명·ABL생명 인수","/우리금융그룹우리금융그룹이 28일 동양생명보험과ABL생명보험을 약 1조5500억원에 인수하기로 했다.우리금융은 이날 오전 서울 중구 본사에서 이사회를 열고 동양생명과ABL생명 인수를 결의하고, 중국 다자보험그룹 측과 주식 매매 계약을 체결했다. 우리금융은 동양생명 지분 75.34%를 1조2840억원에,ABL생명 지분 100%를 2654억원에 각각 인수하기로 했다. 총 인수 가액은 1조5493억원이다.동양생명은 국내 22개 생명보험사 중 수입 보험료 기준 6위로, 지난해 총자산 33조원과 당기순이익 2000억원을 기록했다.ABL생명은 업계 9위로 총자산 17조원, 당기순이익 800억원 수준이다. 우리금융은 지난 5월 두 생명보험사의 최대 주주인 다자보험 측과 본격적인 인수 협의를 진행했고, 6월에 업무협약을 체결한 뒤 현장 실사를 벌였다.우리금융이 두 생명보험사를 자회사로 최종 편입하게 되면, 지난 2014년 우리아비바생명을 매각한 이후 10년 만에 보험업에 다시 진출하게 된다. 이달 1일 우리투자증권을 출범시킨 데 이어 보험사까지 인수하면, 우리금융은 은행·보험·증권 등을 아우르는 종합 금융 그룹의 모습을 다시 갖추게 되는 것이다. 특히 그동안 90% 안팎에 달했던 은행 의존도를 완화함으로써 주주 가치 제고에도 도움이 될 것으로 보고 있다.다만 최근 불거진 손태승 전 우리금융 회장 친인척의 우리은행 부당 대출 문제가 인수 인허가에 부정적 영향을 줄 수 있다는 관측이 나온다. 우리금융 관계자는 “최종 인수까지 금융 당국의 승인 등이 남아있다”며 “앞으로 심사 절차에 성실하게 임하겠다”고 말했다."
2024-12-23,다시 보기 영상으로 이달 말부터 만나요,"본지 유튜브서 강연 무료 공개지난 20일 서울 강남구 세텍에서 2025 대한민국 재테크 박람회가 열렸다. 이상우 인베이드투자자문 사장이 내년에도 부동산으로 돈 버는 법을 주제로 강연하고 있다. /고운호 기자‘2025 대한민국 재테크 박람회’ 둘째 날인 21일에는 젊은 층의 관심이 높았다. 한 20대 커플은 “주말에 데이트도 하고 돈 버는 비법도 배워갈 겸 함께 오게 됐다”고 말했다.다양한 방송에서 20~30대의 재테크 멘토로 활동하고 있는 김경필 머니트레이닝랩 대표는 ‘진짜 노후 준비법’ 강연에서 “경기 수축 국면이 예상되는 만큼, 오버슈팅(단기 급상승)한 미국 주식시장에 과도한 쏠림 투자를 하는 것은 경계해야 한다”며 “노후 대비는 수익률이 아니라 안정성의 게임”이라고 강조했다.요즘 대중화된ETF(상장지수펀드) 투자 전략 강연도 큰 관심을 받았다. 김남호 타임폴리오자산운용 펀드매니저와 김효식 삼성액티브자산운용 팀장의 강연이 끝나자 개인 상담을 받고자 20여 명의 참관객이 긴 줄을 섰다. 두 사람은 기다린 모든 사람의 질문에 일일이 답했다. 김남호 매니저는 “마지막 강연이었는데도 열기가 대단했다”며 “재테크 박람회의 위력을 실감했다”고 말했다.30여 개 기업 부스에는 볼거리가 풍성했다. 5000원 캐시가 충전된 갤럭시아머니트리의 선불카드 1000장은 순식간에 동이 났다. 생성형 인공지능(AI) 검색을 서비스하는 스타트업 뤼튼테크놀로지스와 삼성금융네트웍스, 토스뱅크가 이벤트로 배포한 타포린백도 인기였다.금융 상담 코너도 북적였다. 동양생명과DB손해보험 부스에는 보험 리모델링을 고민하는 참관객들의 상담이 이틀간 이어졌다. 한국거래소KRX금시장 부스에서는 금 투자를 온라인으로 간편하게 하는 방법을 소개했다.연 인원 2만여 명이 참관한 이번 행사는 동영상과 서적으로도 다시 만날 수 있다. 강연 다시 보기 영상은 이달 말부터 조선일보 경제 유튜브 채널인 ‘조선일보 머니(youtube.com/@chosunmoney)’를 통해 순차적으로 공개된다. 지방에 거주해 참석하지 못했거나 1·2관 강연 시간이 겹쳐 미처 듣지 못했다면 유튜브에서 ‘조선일보 머니’를 검색해 영상으로 보면 된다. 구독 버튼을 누르면 쏠쏠한 금융 투자 강연을 무료로 시청할 수 있다. 강연 내용을 정리한 책은 내년 2월 출간될 예정이다."
2023-03-17,"삼성전자 주식 가장 많은 국민, 수원 사는 40대 남자","작년말 상장법인 주주 모두 1441만명… 삼성전자 638만명지난해 코스피와 코스닥지수가 각각 25%, 35% 빠지는 등 국내 증시가 4년 만에 하락세로 돌아섰지만 상장사 주주는 전년보다 4.1% 증가하며 1400만명을 넘었다. 특히 ‘국민 주식’ 삼성전자의 주주는 14% 늘어나 600만명을 넘어섰다.주주 수 늘었지만, 1인당 보유 종목·주식은 줄어16일 한국예탁결제원에 따르면 지난해 12월 기준 상장법인 2509사의 주주는 1441만명으로 나타났다. 여러 기업 주식을 보유한 주주를 중복 집계하지 않고 1명으로 계산한 실제 소유자 수로, 전년 대비 4.1% 증가한 수치다. 이 중 법인을 제외한 개인 주주의 수는 1424만명으로 전년(1374만명) 대비 3.6% 증가했다. 1인당 평균 소유 종목은 5.85종목으로 전년보다 1.8% 줄었고 1인당 평균 소유 주식 수는 7688주로 0.8% 감소했다.주식시장별로는 코스피에서 주주 수가 전년 대비 4.4% 증가한 1288만명을 기록한 반면 코스닥에서는 0.5% 감소한 787만명을 기록했다. 코넥스 시장은 5만명으로 전년과 동일했다.주주별로 나눠보면 개인 주주가 1424만명으로 98.8%를 차지했고 법인 주주가 4만3000법인(0.3%), 외국인 주주가 3만3000명(0.2%)이었다. 소유 주식 수도 개인 주주가 561억주로 가장 많았지만, 차지하는 비율은 50.7%로 절반을 겨우 넘었다. 1인당 소유 주식 수가 법인이나 외국인보다 현저히 적었기 때문이다. 1인당 평균 소유 주식 수는 법인이 94만주로 가장 많았고, 외국인 41만주, 개인 3940주 순이었다. 법인과 외국인 주주가 소유한 주식 비율은 각각 36.7%, 12%에 달했다.삼전 주가 30% 하락에도 주주 14% 증가국내 투자자들이 가장 많이 소유한 주식은 삼성전자로 지난해 12월 말 기준 주주가 638만755명이었다. 이어 카카오(206만명), 현대자동차(120만명)순이다. 코스닥에서는 카카오게임즈의 주주가 29만명으로 가장 많았다.삼성전자는 작년 한 해 주가가 30%가량 하락해 연초 7만8000원대에서 연말 5만5000원대까지 떨어졌지만 주주 수는 전년(561만4490명) 대비 13.6% 증가했다. 2~3위인 카카오와 현대차의 주주도 각각 7.7%, 2.6% 증가했다.외국인 주주의 소유 주식이 50% 이상인 회사는 33사로 전년 대비 1사 줄었다. 외국인 주주가 가장 많은 회사는 동양생명보험(82%), 에쓰오일(77.3%), 락앤락(77.1%) 순이었다. 코스닥시장에서는 한국기업평가(75.4%), 휴젤(74.0%), 티씨케이(71.5%)순이었다.개인주주, 경기 수원시 40대 남성이 가장 많아개인투자자를 성별로 나눠보면 남성과 여성이 각각 743만명(52.2%), 681만명(47.8%)으로 비슷했지만, 소유주식 수는 남성이 399억주로 71.1%를 차지해 여성(162억주)보다 두 배 이상 많았다.연령대별로는 40대 주주가 327만명(22.9%)으로 가장 많았지만, 소유 주식 수는 50대가 192억주(34.2%)로 가장 많았다. 지역별로는 경기도에 가장 많은 주주(379만명, 26.3%)가 분포해 있었다. 소유 주식 수가 가장 많은 지역은 서울로 619억주(55.9%)를 소유한 것으로 나타났다.반면 세종특별자치시는 주주 수가 11만명(0.8%)으로 가장 적었다. 제주특별자치도는 소유 주식 수가 4.7억주(0.4%)로 최하위였다.거주지·성별·연령으로 세분화하면 주주가 가장 많은 집단은 경기 수원시에 사는 40대 남성(4만5400명)이었고, 경기 용인시 거주 40대 여성과 경기 수원시 거주 40대 여성이 모두 4만3000명대로 2, 3위에 올랐다. 하지만 소유 주식 수가 가장 많은 집단은 서울 강남구 거주 50대 남성으로 11억8000만주를 소유하고 있는 것으로 나타났다. 2위는 서울 강남구 거주 60대 남성으로 9억 4000만주였고, 3위는 경기 성남시 거주 50대 남성으로 7억7000만주를 소유한 것으로 나타났다."
2022-08-17,“한국 보험시장 위기… 유병장수 대비하고 해외투자 늘려라”,"동양생명 저우궈단 대표“종신보험 주력했던 생보사들, 중년 겨냥 건강보험으로 바꿀때”“출생률은 바닥이고 노인 인구는 계속 늘고 있어요. 기대수명도 늘어 지금의 4050은 유병장수(有病長壽) 시대를 살아야 하죠. 이 ‘불쌍한 아이’는 대체 몇 명을 부양해야 할까요?”지난달 26일 서울 종로구 동양생명 본사에서 만난 저우궈단(63·사진) 동양생명 대표는 한국의 심각한 저출산·고령화 문제를 얘기하다가 갑자기 ‘불쌍한 아이’라는 표현을 썼다. 그가 말한 불쌍한 아이는 장래에 부모와 양가 조부모까지 6명을 부양해야 할 ‘외동아이’다. 현재 한국에 태어난 외동아이들이 향후 부모와 조부모 부양을 하면서 큰 고통을 겪을 수 있다는 주장이다.“중국은 이미 월광족(월급을 받아 다 써버리는 젊은 소비층)이 사회 문제가 되고 있습니다. 저는 그들에게 두 가지를 묻습니다. 부모가 죽고 상속받을 때 낼 세금은 모아놓았느냐, 부모 의료 비용 지출에 대한 계획은 세워놓았느냐고요. 출생률이 바닥인 한국도 예외는 아닐 겁니다.”저우궈단 대표는 올해 2월 동양생명 대표이사로 선임됐다. 대만 국적인 그는 미국 코네티컷대 금융수학 박사 학위를 받고, 중국 홍타이생명보험 회장(CEO), 타이캉보험그룹 부회장(CFO) 등을 거쳤다. 국립 타이완대학 금융학과 교수를 지내기도 했다. 지난 35년간 세계 8개 도시에서 금융, 특히 보험 분야에서 경력을 쌓아왔다.그는 한국의 인구구조에 주목했다. 과거 생명보험이 가장이 불의의 사고를 당했을 때 나머지 가족들을 보호해 주는 역할을 했다면, 이제는 저출생·고령화 시대에 맞춰 본인의 노후를 보장하는 개념으로 바뀌어야 한다는 것이다. 그는 “종신보험을 주력으로 하는 한국의 생명보험사들도 현재 중년 세대를 대상으로 한 건강보험 판매로 패러다임을 전환해야 한다”고 강조했다. 이에 맞춰 동양생명은 보험과 요양서비스를 결합한 상품을 선보이겠다는 계획이다.저우궈단 대표는 한국 보험시장을 위기로 진단했다. 그는 “2008년 글로벌 금융위기 이후 보험사 수익률이 지속적으로 하락하는 추세를 보이고 있다”며 “수익률이 좋고 장기채권 시장 규모가 큰 해외투자를 늘려야 하는데 현실적으로 쉽지 않다”고 했다.금융 당국이 지난 2020년 보험사의 해외자산 투자 한도를 30%에서 50%로 높였지만 환율 변동에 대비하기 위한 비용이 여전히 크다는 지적이다. 그는 “대만 보험사의 경우 외환변동성준비금 제도가 있어, 외환수익이 났을 때 60%까지 준비금을 적립하고 손실이 났을 때 준비금을 환입해 외환 변동성에 따른 손익 변동을 줄이고 있다”며 “이와 같은 해외 제도를 참고해 보험사들의 투자 환경을 개선할 필요가 있다”고 했다."
2024-10-29,"이복현 금융감독원장  “KB금융, 리스크 관리 안일함 없나”","우리금융에 이어 ‘리스크’ 점검이복현 금융감독원장이 29일KB·우리금융의 운영 리스크 등 각종 문제가 없는지 철저히 점검해야 한다고 공개적으로 주문하고 나섰다. 이 원장이 우리금융에 이어KB금융도 위험 관리 능력에 문제가 있다고 지적한 것이다.이복현 금융감독원장이 17일 오전 서울 여의도 국회 정무위원회에서 열린 금융감독원·서민금융진흥원 국정감사에서 의원 질의에 답하고 있다. /뉴스1이 원장은 이날 임원회의에서KB국민은행의 인도네시아 자회사인KB뱅크(옛 부코핀은행)의 투자·운영 부실을 언급하며 “KB금융이 이 문제와 관련해 반복적으로 지적받고 있고, 이로 인해KB금융의 평판이 나빠질 수 있다”며 “KB금융의 리스크 관리에 안일함이 없는지 살펴볼 필요가 있다”고 말했다. 이 원장이 언급한KB뱅크에는KB국민은행이 인수를 위해 3조1000억원 넘는 자금을 넣었지만, 올해 상반기까지 약 1조5000억원의 손실이 발생했다. 금감원은 이에 8월부터 진행한 정기검사를 이달 들어 연장하는 등 강도 높게 진행하고 있다.이 원장은 또 우리금융의 임종룡 회장 등 경영진에 대해 재차 비판했다. 그는 “우리금융의 내부 통제와 건전성 관리 수준이 현재의 우리금융지주 경영진이 추진하는 외형 확장에 따른 각종 리스크를 감당할 수 있는지 면밀히 점검할 필요가 있다”고 말했다. 금감원은 이 원장이 언급한 각종 리스크는 우리금융 내 출신 은행 간 파벌주의, 금융 사고에 대한 안일한 인식, 합리적 의사 결정을 방해하는 경영 체계 등이라고 설명했다. 우리금융은 지난 8월 동양생명과ABL생명을 인수하기로 하고 주식 매매 계약을 체결했는데, 이 원장은 금감원과 소통하지 않았다며 강도 높게 비판한 바 있다.이날 금감원은 임원회의에서 있었던 이 원장 발언을 보도자료로 공개했다. 이에 대해 금감원은 “금융시장에 주의를 환기시킬 목적”이라고 말했다."
2024-10-16,‘금리 4~5%’ 보험사 신종자본증권 발행 급증,"금리 인하기에 자본 확충 노려조기 상환 안 될 수 있는 위험도은행 신종 자본증권 관련 일러스트금리 인하기에 접어들면서 보험사들이 자본 확충을 위해 신종자본증권 발행을 늘리고 있다. 고금리 상품이라 투자자들 관심이 높지만, 조기 상환이 안 될 수 있는 리스크 요인도 따져야 한다는 조언이 나온다.15일 금융업계에 따르면 지난 10일 코리안리는 2300억원 규모로 30년 만기 5년 콜옵션(조기 상환) 조건의 신종자본증권을 발행했다. 동양생명(3000억원), 한화생명(6000억원) 등 보험사들의 신종자본증권 발행도 이어지고 있다. 수요도 늘고 있다. 지난달 한화생명은 발행에 앞서 3000억원 규모로 수요 조사를 했는데, 5000억원이 넘게 매수 주문이 몰리며 발행 규모를 두 배로 늘렸다. 최성종NH투자증권 애널리스트는 “올해 1·2월엔 보험사 신종자본증권 수요 예측에서 최초 모집액을 못 모으는 경우가 있었는데, 하반기엔 투자 수요가 늘고 있다”고 했다.신종자본증권은 주식처럼 만기가 없으면서 채권처럼 매년 일정한 이자나 배당을 주는 금융 상품이다. 회계상으로 자본으로 분류된다. 예·적금보다 안전성은 떨어지지만 신용도가 높은 금융사가 발행하는 경우에는 위험도가 비교적 낮다고 평가받는다. 최근 금리는 연 4~5% 수준으로 형성돼 은행권 정기예금보다 높다.보험사들이 최근 잇따라 신종자본증권 발행에 나선 것은 금리 인하기에 접어들면서 자본을 확충할 필요가 높아졌기 때문이다. 금리 인하기에는 보험사의 미래 부채 평가액이 커지기 때문에 그에 대응해 신종자본증권 등으로 자본을 확충해 보험사의 보험 지급 능력을 높일 필요가 있다. 한편 보험사가 조기 상환을 못했을 때 만기가 늘어나는 것 등은 리스크로 꼽힌다."
2024-09-12,"김병환 “우리금융 경영진 거취, 이사회서 판단할 일”","“금융권 신뢰 저하… 깊은 책임감 느껴야”11일 서울 여의도 국회에서 열린 당정 협의회에 참석한 김병환(왼쪽) 금융위원장과 이복현 금융감독원장. /뉴시스김병환 금융위원장은 손태승 전 우리금융지주 회장 친인척의 우리은행 부정 대출 의혹과 관련해 12일 “우리금융 현 경영진의 거취는 이사회나 주주총회에서 판단할 사안”이라고 밝혔다.김 위원장은 이날 정부서울청사에서 열린 기자간담회에서 우리은행 부정 대출과 관련해 임종룡 우리금융 회장과 조병규 우리은행장의 책임론이 대두되고 있다는 지적에 “금융권에 대한 국민의 신뢰가 크게 저하되는 사안으로 보고 있고, 매우 심각한 우려를 가지고 있다”며 “현 우리금융 경영진도 이번 금융사고와 관련해서 깊은 책임감을 느끼고 있을 것으로 생각한다”고 했다. 그러면서도 민간 금융사 최고경영자(CEO)의 거취 문제에 감독 당국이 직접 개입하는 것은 적절하지 않다는 뜻을 분명히 한 것이다. 김 위원장이 우리은행 부정 대출 사건에 공식 입장을 밝힌 것은 이번이 처음이다.김 위원장의 이날 발언은 우리금융 경영진의 책임을 분명히 하는 동시에, 이복현 금융감독원장의 우리금융에 대한 강공에 제동을 건 측면도 있다는 해석도 나온다. 지난 4일 이복현 금융감독원장은 “(우리금융의) 현 경영진이 이번 사태에 대응하는 방식을 봤을 때 발본색원할 의지가 있는지, ‘끼리끼리’ 문화와 ‘나눠 먹기’ 문화가 팽배했다고 의혹을 받는 조직에 대해 개혁 의지가 없는 것 아닌지, 결국은 현 경영진이 책임이 있다”며 직격탄을 날린 바 있다.이와 함께 김 위원장은 우리금융이 최근 발표한 동양생명과ABL생명의 인수 건에 대해 “금감원에서 1차적으로 심사를 하고 그 결과를 토대로 금융위는 법령이 정한 절차에 따라서 인가 여부를 결정하겠다”며 “특별한 방향성을 전혀 갖고 있지 않다”고 했다. 앞서 이복현 금감원장은 우리금융의 보험사 인수 추진에 대해 “당국에 전혀 보고하지 않아 몰랐다”며 불편한 심기를 드러냈다.한편 김 위원장은 “이달 들어 첫 5영업일 기준 은행권 가계 대출이 1조1000억원 늘었는데, 이는 전달 같은 기간에 비해 증가 폭이 절반 수준”이라고 했다. 이달 들어 시행한 2단계 스트레스 총부채원리금상환비율(DSR)과 수도권 주택담보대출 추가 가산 금리 적용과 관련해서 “효과가 조금 나오고 있다”며 “이렇게 조금 둔화하는 모습이 지속된다면 추가 조치 부분에 대해서는 상황을 더 보고 판단해도 되지 않을까 하는 생각이 든다”고 말했다."
2024-04-15,삼성전자·현대차는 아니다... 한국 억대 연봉 기업 톱 10은,"작년 12개 업종 매출 상위社 분석14일 본지가CXO연구소에 의뢰해 지난해 업종별 매출 상위 기업 120사의 직원(사원~부장)과 임원(상무·전무 등 미등기 임원) 연봉을 분석한 결과, 직원·임원 모두 전년보다 연봉이 감소한 것으로 나타났다. 2019년부터 2022년까지 매년 증가하던 전체 임직원 평균 연봉은 작년 줄어들었다. 반도체 등 주력 업종 실적 부진으로 소속 임직원 연봉이 감소한 게 영향을 미친 것으로 분석된다.◇임원·일반 직원 연봉 모두 줄었다조사 대상인 대기업 120사의 2023년 임직원은 78만5028명이다. 2019년 이후 가장 많은 숫자다. 2019년 64조3282억원이었던 임직원 인건비는 작년 79조5336억원으로 증가했다.총 인건비와 임직원은 증가세이지만 작년 1인당 평균 연봉은 2022년에 비해 줄었다. 2019년 조사 대상 기업의 임직원 평균 연봉은 8253만원이었다. 이후 8549만원(2020년), 9628만원(2021년), 1억196만원(2022년)으로 계속 증가했다. 하지만 지난해에는 1억131만원으로 전년보다 65만원 줄었다. 임원의 평균 연봉은 2022년 4억4685만원에서 작년 4억2727만원으로 줄었고, 직원 연봉은 9909만원에서 9855만원으로 감소했다.이번 조사 대상인 12업종 중에서 작년 직원 연봉 1위 업종은 자동차로 평균 1억1640만원을 받았다. 2022년 같은 조사에서 1위 업종은 전자였는데, 자동차가 이를 제친 것이다. 전자 업종 일반 직원 1인당 평균 연봉은 1억596만원으로 자동차, 금융, 정보통신에 이어 4위에 자리했다. 12업종 중 절반인 6업종은 전년 대비 연봉이 줄었다. 철강 업종의 일반 직원 연봉은 2022년 9790만원에서 작년 8707만원으로, 석유화학 업종은 9712만원에서 9679만원으로 감소했다.그래픽=박상훈◇직원 연봉 1억원 이상 기업 29곳임원을 제외한 일반 직원의 1인당 평균 연봉이 가장 많은 회사는 에쓰오일로 1억6832만원으로 조사됐다. 이어SK텔레콤, 삼성화재, 삼성증권,NH투자증권, 삼성생명, 삼성물산, 삼성SDS,기아, 포스코인터내셔널이 직원 연봉 상위 10위 안에 들었다. 직원 연봉이 평균 1억원 넘는 기업은 2019년 7곳에서 2020년 8곳, 2021년 19곳, 2022년 27곳으로 계속 늘었고, 지난해엔 29곳으로 조사됐다. 현대위아, 동양생명, 한온시스템, 현대건설, 서연이화, 대한항공 등 6사가 작년 직원 연봉 1억원 이상 목록에 추가됐다. 이 중 현대위아, 한온시스템, 서연이화 등 3사는 지난해 역대 최대 실적을 낸 현대차·기아의 부품 협력사들이다. 특히 현대차·기아에 범퍼부터 시트까지 핵심 내외장재를 공급하는 서연이화는 지난해 역대 최대인 3조원대 매출을 올리자 직원 연봉을 한 번에 16%(1385만원) 인상했다.‘반도체는 바닥, 자동차는 정점’이었던 작년 업황이 직원 연봉 순위에 그대로 반영됐다. 직원 연봉 톱10 기업에 삼성전자와SK하이닉스는 들지 못했지만, 기아(1억2576만원)는 포함됐다. 카카오, 엔씨소프트, 금호석유화학, 현대제철 등 4사는 2022년에는 직원 연봉 1억원 이상을 기록했지만, 작년에는 1억원을 넘지 못했다.삼성전자의 작년 인건비는 14조4782억원으로 2022년(15조5977억원)보다 1조1195억원 줄었다. 작년 창사 이래 최악의 실적을 기록한 삼성전자 반도체(DS) 부문의 초과이익 성과급(OPI·옛PS) 지급률은 0%였다. 삼성전자의 작년 직원 평균 연봉은 1억1522만원으로 전년(1억3080만원) 대비 1500만원 가까이 줄었다.SK하이닉스도 같은 기간 1100만원 감소했다.SK하이닉스 임원 연봉은 7억5517만원에서 5억6100만원으로 2억원 가까이 줄었다."
