date,title,content
2023-06-14,제2의 SG증권발 사태?... 동일산업 등 5종목 무더기 하한가,"동일산업·대한방직 등 폭락… 오늘부터 무기한 거래 정지14일 동일산업·대한방직·만호제강·방림(이상 코스피)과 코스닥 상장사 동일금속 등 5종목 주가가 하한가로 추락해 금융 당국이 조사에 착수하고, 해당 종목들의 거래를 15일부터 무기한 정지하기로 했다. 지난 4월 말 다우데이타 등 8종목이 최장 나흘 연속으로 무더기 하한가를 기록했던 ‘SG증권발 주가 폭락 사태’와 유사한 주가조작 사건 아니냐는 의혹이 제기된다.이 종목들의 주가는 이날 오전 10~11시쯤 갑자기 떨어지기 시작해 1~2시간 만에 가격 제한 폭인 30%까지 급락했다. 주식시장에선 “온라인 주식 투자 카페 운영자인 강모(52)씨가 회원들을 동원해 이 종목들을 꾸준히 매집해 오다가 한꺼번에 팔아 가격이 급락한 것 아니냐”는 주장이 나왔다. 회원이 6000여 명에 달하는 이 카페에는 하한가를 맞은 종목들을 추천하는 글이 다수 올라와 있다. 강씨는 이날 언론 인터뷰에서 “증권사들이 카페 회원들에게 신용 융자(대출) 연장을 해주지 않아 회원들이 해당 종목들을 팔았고, 이 때문에 주가가 하락했다”는 취지로 말했다.한국거래소는 투자자 보호를 위해 5종목에 대해 ‘해제 필요시’까지 사실상 무기한으로 거래를 정지했다. 하한가 사태가 연일 이어지는 것을 막으려는 조치다.금융감독원은 이날 폭락 사태가 시세조종 등 불공정 거래와 관련됐는지에 대해 긴급 점검에 착수했다. 앞서 ‘SG사태’에 대한 검찰 수사 결과, 라덕연(구속 기소) H투자자문사 대표 등 주가조작 일당의 시세조종 혐의가 있었던 것으로 드러났다. 라씨 일당은 시세조종이 쉬운 중소형주를 타깃으로 삼아 2~3년간 꾸준히 주가를 올렸는데, 14일 폭락 종목들도 비슷한 측면이 있다.이날 폭락 종목들은 철강(동일산업·만호제강), 건설기계 부품(동일금속), 섬유 소재(대한방직·방림) 등으로 업종이 나뉘었지만, 모두 시가총액이 1000억~3000억원대로 중소형주에 속한다. 또 대주주 비율이 높아 유통 가능한 주식 비율이 30~50%대로 비교적 낮다는 것도SG사태 때 폭락한 종목들과 공통점이다. 시세조종 세력이 상대적으로 적은 자금만 가지고도 손쉽게 주가를 올릴 수 있는 종목들인 것이다.실제 이 종목들 주가는 지난 2020년부터 3년여간 꾸준히 올랐다. 만호제강 주가는 지난 2020년 1월 2일 1만5750원에서 폭락 직전인 지난 13일 6만5400원으로 4배 이상으로 뛰었다. 같은 기간 다른 4종목의 주가 상승률도 168~282%에 이른다.다만 이번 폭락은SG사태와 달리 차액결제거래(CFD)를 통하지 않았고, 팔자 주문이 대량으로 나온 창구도 특정 외국계 증권사가 아니라 다수의 국내 증권사였다는 차이점이 있다.CFD거래란 투자자가 원금의 2.5배만큼 주식 매매를 주문한 뒤 나중에 시세 차액만 정산하는 고위험 상품이다.한편 이날 폭락한 종목들을 추천해 온 주식 투자 카페 운영자 강씨는 지난 2014~2015년 조광피혁 등 여러 종목의 시세를 조종한 주가조작 혐의로 기소돼 작년 대법원에서 징역 2년에 집행유예 4년, 벌금 4억원이 확정됐다."
2023-06-30,"‘무더기 하한가’ 동일산업 등 5종목, 다음주부터 거래 재개","금융위원회 내부 (금융위원회 제공) 2021.4.14/뉴스1최근 무더기 하한가 사태를 맞았던 동일산업 등 5개 종목에 대한 매매거래 정지가 다음주부터 풀린다.금융위원회와 한국거래소는 30일 “다음달 3일부터 동일산업, 대한방직, 만호제강, 방림, 동일금속 등 5개 종목에 대한 매매거래 정지 조치를 해제하기로 했다”고 밝혔다.지난 14일 이들 5개 종목은 장중에 갑자기 급락해 모두 하한가를 기록했고, 거래소는 다음날인 15일부터 해당 종목에 대한 거래를 정지시켰다. 지난 4월 발생한 ‘SG증권발 폭락 사태’같은 연속 하한가 사태를 막기 위한 조치였다.당시 하한가 사태 배후에 시세조종 세력이 있다는 의혹이 일었고, 이후 검찰은 이 의혹의 핵심 인물인 온라인 주식카페 운영자 강모(52)씨를 비롯한 관련자들을 출국금지했다. 또 강씨의 주거지를 압수 수색해 주식 거래 관련 자료를 확보했다.금융당국 관계자는 “향후에도 금융당국 및 한국거래소는 유관기관 간 긴밀한 협업을 통해 시장질서 교란세력에 대해 단호히 대응하는 등 투자자 보호 및 주식시장 안정을 위해 최선의 노력을 다하겠다”고 말했다."
2024-11-25,1조7900억원 vs 82만원... 한국 코스피의 양극화 현실,"日, 거래대금 2000만엔 넘어야 상장 유지시총 18兆 초대형 기업도 1부리그 탈락[왕개미연구소]소프트웨어 기업인 일본오라클은 시가총액이 2조엔(약 18조원)에 육박하는 초대형 기업이다. 우리나라 유가증권 시장에 상장되어 있는SK이노베이션(시총 기준 23위)과 덩치가 비슷하다.그런데 일본오라클은 놀랍게도 도쿄 증시의 최상위 부문인 ‘프라임’이 아니라, 프라임 아래 하위 시장인 ‘스탠더드’ 소속이다.프라임은 일본 도쿄증권거래소의 최상위 시장으로, 국제적인 경쟁력을 갖춘 초우량 기업들이 상장된 곳이다. 프로 축구에 빗대면 1부 리그다. 프라임 시장에서 거래되면, 해외 인지도가 높아지고 자금 조달도 용이해진다.그런데 일본오라클 같은 큰 기업이 1부 리그에서 제외된 이유는 왜일까. 바로 프라임 시장의 엄격한 상장 유지 기준을 충족하지 못했기 때문이다.그래픽=조선디자인랩 이민경최상위 부문인 프라임 시장에서 상장사 자격을 유지하려면, 주주 수 800명 이상, 유통 주식 시가총액 100억엔 이상, 유통 주식 비율 35% 이상, 하루 평균 거래 대금 2000만엔(약 1억8100만원) 등의 조건을 지켜야 한다.일본오라클은 낮은 유통 주식 비율에 발목을 잡혔다. 프라임 시장에 상장된 기업은 최대주주 일가가 주총 의결권을 독점하지 않도록 최소 35% 이상 지분을 시장에 유통해야 한다. 일본오라클은 모(母)회사인 오라클재팬홀딩스가 74%를 보유하고 있어 기준에 미달했다.도쿄증권거래소에 따르면, 지난 2022년 4월 초만 해도 프라임 상장사는 총 1849곳에 달했다. 하지만 이달 22일 기준으로는 1642곳에 불과하다. 2년여 동안 상장사 수가 207개(11%) 감소했다.도쿄증권거래소 관계자는 “프라임 시장의 엄격한 상장 유지 기준을 충족하지 못한 기업들은 경과 조치를 둬서 일정 기간 개선 노력을 하게 되는데, 그렇게 했어도 기준을 충족하지 못하면 자발적으로 상장 폐지 절차를 밟거나 혹은 중견 기업 위주인 스탠더드 시장으로 이동할 수 있다”고 말했다.그래픽=조선디자인랩 이민경✅“코스피 주식인데 하루 82만원 거래”한국 주식시장은 투자 심리 위축과 유동성 감소 등 복합적인 요인들이 얽히면서 거래대금 불균형 현상이 극심해지고 있다. 최상위 시장인 코스피에도 사실상 거래가 거의 이뤄지지 않는 ‘식물 상장사’도 늘어나고 있다.25일 한국거래소에 따르면, 지난 19일 유가증권 시장 소속 800여곳 중 거래대금이 가장 적었던 기업은 포항 소재 철강업체인 동일산업이다. 이날 동일산업의 거래대금은 82만원으로, 거래량은 21주에 불과했다.동일산업은 주가를 주당 순자산으로 나눈 주가순자산비율(PBR,낮을수록 저평가)이 0.2배에 달해 극도의 저평가 상태이지만, 부진한 주가와 저조한 거래 상태로 방치되면서 주주들이 속앓이를 하고 있다.그래픽=조선디자인랩 김영재동일산업 소액 주주인 A씨는 “명색이 코스피 주식인데 하루 거래 대금이 100만원도 안 된다니 이런 기업이 왜 퇴출 안 되는지 모르겠다”고 말했다.동일산업 주식이 하루에 82만원 어치 거래된 이날, 유가증권 시장에서 거래가 활발했던 주식은 삼성전자로, 1조7900억원에 달했다.이남우 한국기업거버넌스포럼 대표는 “거래 가뭄 기업들의 공통점을 살펴 보면 대부분 승계가 진행 중이거나 자녀 승계를 앞두고 있는 경우가 많다”면서 “비상장 기업일 때는 순자산 가치로 평가해 상속·증여세를 내야 하지만, 상장 기업은 시가로 가치를 따지므로 절세 전략상 (상장해서 주가를 낮게 유지하는 것이 승계 절차상) 유리하다”고 말했다. 물론 “대주주가 일부러 주가를 낮춘다고 입증하긴 어렵다”는 반박도 있다.그래픽=조선디자인랩 이민경✅“​K주식 승강제 도입 고려해 볼만""미국도 일본처럼 거래가 거의 없는 ‘식물 상장사’에 대한 조치를 강화해 시장 건전성을 높이고 있다. 투자자들이 신뢰할 수 있는 시장 환경에서 거래할 수 있도록 부실 기업을 제때 퇴출하는 것이다.올해 미국 나스닥에는 200여개 기업이 새로 데뷔했지만, 그 두 배인 400곳이 내쫓겼다. 이뿐만이 아니다. 지난 9월부터는 종가 기준으로 1달러 미만이 30일 연속 지속되면 상장폐지 후보에 올리는 ‘동전주 퇴출 제도’도 새롭게 도입했다.증권업계 관계자 A씨는 “한국 증시에도 거래량 미달시 관리종목으로 지정된다는 조항이 있긴 하지만 실제 상장폐지까지 간 기업은 최근에 없다”면서 “거래가 안 되는 좀비 기업은 하위 시장으로 강등시키는 등 제도 개선을 고민해 봐야 한다”고 말했다.또다른 업계 관계자 B씨도 “현재 코스피에 있는 문제 기업들을 상장 폐지시키는 것보다 오히려 코스피를 1부, 2부로 나눠서 승강제를 시행하는 방법도 고민해 볼만 하다”면서 “아무리 대기업이라도 주주환원책 등이 부실하면 1부에서 2부로 강등시키는 방식”이라고 말했다.한국거래소에 따르면, 올해 11월 기준 유가증권 시장에서 하루 평균 거래대금이 1조5600억원으로 가장 많은 주식은 삼성전자였다. 반면 똑같은 유가증권 시장에 속해 있는 우진아이엔에스는 시가총액 245억원에 하루 평균 거래대금이 779만원에 불과했다."
2024-11-26,1조7900억 vs 82만원… 코스피 거래 대금 양극화,"거래 거의 없는 식물 상장사 늘어서울 여의도 한국거래소 전경. /뉴스1투자 심리 위축과 유동성 감소 등 복합적인 요인들이 얽히면서 주식 시장에서 거래 대금 양극화 현상이 극심해지고 있다. 최상위 시장인 유가증권 시장에는 사실상 거래가 거의 이뤄지지 않는 ‘식물 상장사’도 늘어나고 있다.25일 한국거래소에 따르면, 지난 19일 유가증권 시장(코스피) 상장사 800여 곳 중 거래 대금이 가장 적었던 기업은 포항 소재 철강업체인 동일산업이다. 이날 동일산업의 거래 대금은 82만원으로, 거래량은 21주에 불과했다.동일산업은 주가를 주당 순자산으로 나눈 주가순자산비율(PBR,낮을수록 저평가)이 0.2배에 달해 극도의 저평가 상태이지만, 부진한 주가와 저조한 거래 상태로 방치되면서 주주들이 속앓이를 하고 있다. 이날 똑같이 코스피에 소속된 상장사인 삼성전자는 하루 거래 대금이 1조7900억원에 달했다.미국·일본 등 주요국은 거래가 거의 없는 ‘식물 상장사’에 대한 조치를 강화해 시장 건전성을 높이고 있다.올해 미국 나스닥에는 200여 개 기업이 신규 상장했지만, 그 두 배인 400곳이 쫓겨났다. 이뿐만이 아니다. 지난 9월부터는 종가 기준으로 1달러 미만이 30일 연속 지속되면 상장폐지 후보에 올리는 ‘동전주 퇴출 제도’도 새롭게 도입했다. 일본 최상위 시장인 프라임 상장사는 하루 평균 거래 대금이 2000만엔(약 1억8100만원)을 넘어야 한다.증권업계 관계자 A씨는 “한국 증시에도 거래량 미달 시 관리종목으로 지정된다는 조항이 있긴 하지만 실제 상장폐지까지 간 기업은 최근에 없다”면서 “거래가 안 되는 좀비 기업은 하위 시장으로 강등시키는 등 제도 개선을 고민해 봐야 한다”고 말했다."
2023-07-04,"지난달 동시 하한가 5종목, 거래 재개하자 또 폭락","4종목은 하한가, 다시 거래중지지난달 15일 매매거래 정지된 여의도KRX한국거래소 홍보관 모니터에 떠 있는 5종목 주가 현황. /뉴시스지난달 무더기 하한가를 기록해 거래정지됐던 5종목 중 4곳이 거래 재개 첫날 다시 하한가로 추락했다. 3일 서울 증시에서 동일산업·동일금속·대한방직·방림은 개장하자마자 가격 제한폭(-30%)까지 떨어져 하한가로 장을 마감했다. 만호제강은 28.7% 폭락세로 시작했지만 이후 하락폭이 줄며 10.6% 하락한 채 장 마감했다.한국거래소는 지난달 14일 5종목이 동시에 하한가를 기록하자 다음 날인 15일부터 30일까지 해당 종목에 대한 거래를 정지시켰다. 지난 4월 말 발생한 ‘SG증권발 폭락 사태’ 같은 연속 하한가 사태를 막기 위한 조치였다.SG사태 당시 일부 종목은 최장 4거래일 연속 하한가를 맞았었다.증권가에서는 빚투(빚내서 투자) 비중이 높은 일부 종목이 추가로 하락할 가능성이 있다고 보고 있다. 돈을 빌려준 증권사들이 대출 손실을 최소화하기 위해 담보로 잡고 있던 주식을 매각하는 반대매매를 할 수 있기 때문이다. 종목별 신용 비중(전체 주식 중 대출을 끼고 산 주식의 비율)은 대한방직(6.48%)·동일금속(5.57%)·방림(5.37%)·동일산업(3.79%) 순이다. 신용 비중이 1.26%로 낮은 만호제강만 하한가 행렬에서 벗어난 상태다.하지만 일각에서는 검찰이 주가조작 혐의 계좌들에 대해 ‘기소 전 추징 보전’ 조치를 취했기 때문에 추가 폭락 가능성이 높지 않다는 시각도 있다. ‘기소 전 추징 보전’은 피의자가 기소 전에 범죄 수익을 처분하지 못하도록 하는 조치로, 주가조작 세력이 주식을 팔지 못하게 하는 것이다.검찰은 이번 5종목 하한가 사태와 관련, 온라인 주식카페 운영자 강모(52)씨 등 관련자들을 출국 금지하고, 강씨의 주거지를 압수 수색해 주식 거래 관련 자료를 확보했다. 강씨는 시세 조종으로 104억원 부당이득을 취한 혐의를 받고 있다. 강씨는 “소액주주 운동 차원에서 오랜 기간 주식을 사들여 왔을 뿐 시세 조종 등 주가조작에 관여하지 않았다”는 입장이다."
2023-03-07,“주주행동주의 공격 대상 될만한 기업은 44곳”,"KB증권 “돈 쌓아두고 배당 안해8곳은 최대 주주 지분율도 낮아”행동주의 펀드의 활성화로 배당 확대나 자사주 매입·소각, 이사진 교체 등을 요구하는 주주 제안이 봇물을 이루고 있는 가운데, 앞으로 주주 행동주의 펀드의 표적이 될 만한 기업이 더 있다는 분석이 나왔다.KB증권이 국내 상장사 시가총액순 1000여 기업을 대상으로 자산 수익성과 주주 환원율, 영업 외 자산 비율 등을 토대로 주주 행동주의 공격 대상이 될 만한 기업을 산출했더니 총 44곳이 꼽혔다. 자산 수익성(ROIC·세후 영업이익을 평균 투자 자본으로 나눈 것)이 동일 산업군에 속한 기업들의 평균치 대비 30% 낮고, 평균 주주 환원율도 50% 미만인 기업, 영업 외 자산 비율이 평균보다 높은 곳이 대상이 됐다. 한마디로 ‘성장성은 낮은 데 비해 쌓아둔 돈은 많으면서도 주주에게 그간의 성과를 제대로 나눠주지 않은 곳’이 공격 대상이 될 수 있다는 것이다.특히 이들 중에 최대 주주 지분율이 36.5% 미만인 기업들만 따로 꼽았더니 삼성중공업, 에코프로, 코스모신소재, 현대바이오, 코스모화학, 삼부토건, 뉴프렉스, 우진 등 8곳이 남았다. 최대 주주 지분율을 36.5%로 기준 삼은 것은 국내 상장사들이 여는 정기 주주총회 평균 참석률이 73% 선이기 때문이라고KB증권은 설명했다. 참석률 대비 과반의 지분율을 확보하지 못할 경우 주총에서 이사 및 감사 선임 때 공격을 당할 수 있기 때문이다.기업 8곳 중 에코프로와 우진을 제외한 6곳은 최근 5년간 주주 환원율이 0%로, 배당 등을 전혀 하지 않았다.김준섭KB증권 연구원은 “국민연금이 2015년 국내 주식 배당 관련 추진 방안을 수립하고 이듬해부터 배당성향이 낮은 기업들을 대상으로 배당을 유도하기 시작하면서 코스피 배당 수익률이 오르기 시작했다”며 “최근 주주 행동주의 펀드들의 움직임도 국내 기업들의 지배 구조를 한 단계 끌어올리는 계기가 될 것”이라고 밝혔다."
2023-09-13,그분 한마디에 주가 요동… 핀플루언서 ‘거품 주의보’,"개미들은 팬덤 형성해 추종… 증권사 상대 집단 행동도핀플루언서란 금융(Finance)과 인플루언서(Influencer)의 합성어로SNS상에서 주식 등 금융지식을 제공하는 유명인사를 뜻한다. /자료=민트유튜브·인스타그램 등 소셜미디어에 등장하는 인플루언서(영향력 있는 사람)들이 증권사 등 기존 금융사를 대신해 증시에 큰 영향을 미치고 있다. 코로나를 거치며 이들을 지칭하는 ‘핀플루언서’라는 신조어까지 확산됐다. ‘금융(Finance)’과 ‘인플루언서(Influencer)’를 합친 말이다.개인 투자자들은 ‘팬덤(열성 지지자 모임)’까지 형성해 가며 이들을 추종한다. 이차전지·초전도체 등 핀플루언서가 찍은 종목에는 개인 투자자들이 불나방처럼 몰리며 수백%씩 주가가 뛰기도 한다.하지만 과도한 쏠림으로 인한 주가 상승이 거품으로 이어질 수 있다는 경고가 나온다. 실제 핀플루언서의 조언에 따르면 오히려 손해를 본다는 연구 결과도 있다.그래픽=백형선주가 좌지우지하는 핀플루언서일명 ‘밧데리 아저씨’로 불리는 박순혁씨는 일부 개인 투자자 사이에서 전폭적인 지지를 받는다. 그가 지난 5월 한국거래소 공시 위반 제재를 받고 이차전지 소재 기업 금양 홍보이사직을 그만둔 후에도 그가 나서는 강연회에 인파가 운집했다. 투자자들은 “증권사는 믿을 수 없고, 박씨 추천을 따랐더니 실제 돈을 벌었다”며 그를 옹호한다. 대한투자신탁(현 하나증권) 애널리스트(증권 분석가) 출신인 박씨는 이차전지 주식 8종을 대표 종목으로 꼽았고, 이 중 에코프로는 올 들어 750% 폭등했다. 온라인상에서는 ‘이런 분이 고위 공직자면 대한민국 국력이 크게 신장되고, 대통령 선거에 출마하면 무조건 찍어주고 싶다’는 댓글까지 올라왔다.하지만 11일 박씨는 투자 일임사의 운용본부장과 이차전지 회사(금양) 임원을 겸직하면서 이차전지주를 추천한 것으로 드러나 금융감독원 조사를 받게 됐다.구독자 50만 주식 유튜버이자 개인 투자자 김정환씨도 핀플루언서로 인정받았지만 뒤로는 증시를 교란한 행위가 적발됐다. 검찰은 지난 6월 김씨가 미리 특정 종목을 몰래 사놓은 뒤 개인들을 꼬드겨 투자하게 해 58억원의 부당이득을 취했다며 불구속 기소했다. 김씨는 경제 분야 유튜브에서 구독자 수 10위권에 들었을 뿐 아니라 언론에서도 전문가로 소개돼 왔다. 범행이 알려진 후 김씨는 유튜브 동영상을 모두 내렸다.회원수 6000여 명 주식 카페 운영자 강기혁은 대주주 지분이 커서 거래가 잘 안 되는 종목을 선정해 2~3년간 주가를 꾸준히 올렸다. 그는 2012년부터 투자 카페에 2000건 넘는 글을 올리며 2020~2023년 만호제강·동일산업 등 4종목 주가를 3~4배 끌어올렸다. 하지만 검찰은 강씨가 시세조종 등을 한 것으로 보고 구속했다.한탕 꿈 좇는 개인들… 집단 행동까지주택과 코인 가격 폭등을 경험한 개인 투자자들이 ‘주식 인생 한 방’을 노리며 핀플루언서 주위로 몰려드는 바람에 이들의 입김은 더 세지고 있다. 한국예탁결제원에 따르면 최근 5년 새 증시 개인 투자자는 502만명에서 1424만명이 돼 3배 가까이로 급증했다.일부 개인 투자자는 과잉 행태까지 보인다. 이차전지 주가가 떨어지면 수익이 나는 상품이 12일 출시되자 관련 증권사 계좌 해지 운동이 벌어졌다. 한 투자자는 “국가 미래 산업 주가 하락에 돈을 거는 매국 상품 판매자다. A 증권뿐 아니라 계열 은행·보험까지 모든 계좌를 해지하는 폭탄을 던져야 한다”며 격한 반응을 보였다.지난 4월 에코프로 매도 보고서를 낸 하나증권 김모 연구원에게는 협박성 항의 전화를 쏟아붓는 것도 모자라 일부 투자자가 금감원에 민원을 넣기도 했다. 한 애널리스트는 “기업 분석은 애널리스트의 고유 영역이지만 일부 개인은 이를 존중하지 않고 ‘조리돌림’ 수준으로 비난한다”고 했다.핀플루언서 등장에 공모 펀드 시장까지 위축되면서 ‘증권사의 두뇌’로 불리는 리서치센터 애널리스트 수가 현재 1000명대로 쪼그라들었다. 애널리스트 수는 2012년 1400명을 넘기도 했다. 공모 펀드 설정액은 지난 4월 말 100조원 밑으로 내려가며 2008년(172조원)과 비교했을 때 반 토막 났다.손실로 귀결되는 경우 많아 주의핀플루언서 말만 믿고 막무가내식으로 소수 종목에 투자하는 행태는 수익률과 별 연관이 없다는 연구도 있다. 스위스금융연수원(SFI)이 낸 ‘핀플루언서들’이란 제목의 논문에 따르면, 미국의 주식 관련 소셜미디어에서 활동하는 핀플루언서 중 절반 이상(56%)의 추천 종목 월평균 수익률을 확인했더니 오히려 2.3% 손실을 본 것으로 나타났다.☞핀플루언서Finance(금융)와Influencer(인플루언서)를 합친 말로 유튜브, 인스타그램, 틱톡 등 각종 소셜미디어를 통해 주식 등 투자 관련 정보를 제공하는 유명인을 뜻한다."
2023-07-28,‘5개 종목 하한가’ 주식카페 운영자 기소,"서울남부지방검찰청 모습. /뉴스1‘5개 종목 하한가 사태’와 연루됐다는 의혹을 받는 주식 정보 카페 운영자 강모(52)씨 등 4명이 28일 재판에 넘겨졌다. 다만 검찰은 강씨 등이 시세 조종에 관여한 종목의 수를 5개가 아닌 4개로 보고 있다.이날 서울남부지검과 금융당국 합동수사팀은 동일산업·동일금속·만호제강·대한방직 등 4개 종목에 대해 시세조종 행위를 한 혐의(자본시장법 위반)를 받는 강씨 등 3명을 구속 기소하고, 1명을 불구속 기소했다.검찰에 따르면 강씨 등은 2020년 1월부터 지난 6월까지 해당 종목들의 주문을 반복하며 통정거래 등 시세조종 행위로 361억원 상당의 부당이득을 취득한 혐의를 받는다.강씨는 하한가 사태의 배경으로 지목된 네이버 주식카페의 운영자다. 그는 지난 2014~2015년 조광피혁 등 여러 종목의 시세를 조종한 혐의로 기소돼 지난해 징역 2년·집행유예 4년·벌금 4억원을 선고받은 전력이 있다."
2023-07-12,‘5종목 하한가’ 주식카페 운영자 구속,‘5개 종목 하한가 사태'와 관련해 온라인 주식정보 카페 운영자 강모 씨(앞) 등 3명이 12일 오전 양천구 서울남부지법에서 열리는 영장실질심사에 출석하고 있다. 운영자 강씨와 카페에서 함께 활동한 손모·박모씨 등 총 3명은 동일산업·동일금속·만호제강·대한방직·방림 등 5개 종목 주문을 반복하면서 통정매매 등 수법으로 주가를 띄우고 359억원의 부당이득을 취한 혐의(자본시장법 위반)를 받는다. /연합뉴스‘5개 종목 하한가 사태’와 연루됐다는 의혹을 받는 주식정보 카페 운영자 강모(52)씨 등 3명이 12일 구속됐다.서울남부지법 김지숙 영장전담 부장판사는 이날 동일산업·동일금속·만호제강·대한방직·방림 등 5개 종목에 대해 시세조종 행위를 한 혐의(자본시장법 위반)를 받는 강씨 등 3명에 대해 “도망할 염려가 있다”며 구속영장을 발부했다.검찰에 따르면 강씨 등은 2020년 1월부터 지난 5월까지 해당 종목들의 주문을 반복하며 통정거래 등 시세조종 행위로 359억원 상당의 부당이득을 취득한 혐의를 받는다.강씨는 하한가 사태의 배경으로 지목된 네이버 주식카페의 운영자다. 이 카페에서 강씨는 주가가 폭락한 5개 종목을 추천하는 등 자주 언급했다고 한다.강씨는 지난 2014년~2015년 조광피혁 등 여러 종목의 시세를 조종한 혐의로 기소돼 지난해 징역 2년·집행유예 4년·벌금 4억원을 선고받은 전력이 있다.검찰과 금융당국은 주가 폭락에 앞서 불공정 거래 여부를 주시해왔다. 하한가 사태 이튿날인 지난달 15일 강씨 사무실을 압수수색하며 강제수사에 들어갔다.
2023-07-06,"검찰, ‘5종목 하한가’ 주식카페 운영자 구속영장",서울남부지검 /뉴스1검찰이 ‘5개 종목 하한가 사태’와 연루됐다는 의혹을 받는 주식정보 카페 운영자 강모(52)씨 등에 대해 6일 구속영장을 청구했다.서울남부지검·금융위원회·금융감독원 합동수사팀은 이날 동일산업·동일금속·만호제강·대한방직·방림 등 5개 종목에 대해 시세조종 행위를 한 혐의(자본시장법 위반)를 받는 강모씨 등 3명에 대해 사전구속영장을 청구했다고 밝혔다.검찰에 따르면 강씨 등은 2020년 1월부터 지난 5월까지 해당 종목들의 주문을 반복하며 통정거래 등 시세조종 행위로 359억원 상당의 부당이득을 취득한 혐의를 받는다.강씨는 하한가 사태의 배경으로 지목된 네이버 주식카페의 운영자다. 이 카페에서 강씨는 주가가 폭락한 5개 종목을 추천하는 등 자주 언급했다고 한다.강씨는 지난 2014년~2015년 조광피혁 등 여러 종목의 시세를 조종한 혐의로 기소돼 지난해 징역 2년·집행유예 4년·벌금 4억원을 선고받은 전력이 있다.검찰과 금융당국은 주가 폭락에 앞서 불공정 거래 여부를 주시해왔다. 하한가 사태 이튿날인 지난달 15일 강씨 사무실을 압수수색하며 강제수사에 들어갔다.
