date,title,content
2024-12-25,"두산그룹, 연말 성금 20억원",두산그룹은 연말을 맞아 이웃사랑 성금 20억원을 사회복지공동모금회에 기부했다고 24일 밝혔다. 1999년부터 두산그룹이 모금회에 낸 연말 성금은 총 558억원이다. 두산 관계자는 “우리 이웃들이 안전한 일상 속에서 어려운 환경을 이겨내는 데 도움이 되길 바란다”고 했다.
2024-12-20,"두산에너빌, 美기업에 소형원전 주기기 공급","빌게이츠 ‘테라파워’ 1호사업 참여원전 기업 두산에너빌리티는 미국SMR(소형모듈원전) 기업 테라파워의 1호SMR사업에서 주(主)기기 공급사로 선정됐다고 19일 밝혔다.SMR은 노심, 증기 발생기, 가압기 같은 원전 주요 기기를 하나의 모듈에 담은 소형 원자로를 가리킨다. 기존 대형 원전과 비교해 출력은 낮지만, 도시 근처나 오지, 섬 등 다양한 장소에 설치할 수 있어 차세대 원전으로 꼽힌다.마이크로소프트 창립자인 빌 게이츠가 2008년 설립한 테라파워는 미국 와이오밍주(州)에서 2030년 상업 운전을 목표로 첫SMR을 추진하고 있다. 이번 계약으로 두산에너빌리티는 테라파워 1호SMR기자재의 제작 가능성 검토 및 설계 지원 용역을 수행한다.두산에너빌리티는 다른SMR기업 엑스에너지, 뉴스케일파워와도 주기기 생산을 추진하고 있다. 원전 분야에서 반도체 산업의 파운드리(위탁 생산) 같은 역할을 맡아SMR같은 신사업에서 선두 기업이 된다는 목표다."
2024-12-10,두산밥캣 분할·합병案 공식 철회,"당분간 추진 않을듯지난 10월 박상현 두산에너빌리티 대표(가운데)가 두산에너빌리티-두산로보틱스 분할합병에 대해 설명하는 모습./연합뉴스두산그룹이 두산에너빌리티에서 두산밥캣을 분할한 후 두산로보틱스와 합병하는 계열사 분할·합병을 당분간 추진하지 않기로 했다.두산에너빌리티는 12일 이 방안을 통과시키기 위해 임시 주주총회를 열 예정이었지만 이를 취소한다고 10일 밝혔다. 두산에너빌리티와 두산로보틱스는 이날 각각 임시 이사회를 열고 이 같은 결정을 내렸다.박상현 두산에너빌리티 대표도 이날 홈페이지에 게재한 4차 주주서한에서 “갑작스러운 외부환경 변화로 촉발된 시장 혼란으로 주가가 큰 폭으로 하락하면서 회사는 오는 12일로 예정된 임시 주총을 철회할 수밖에 없게 됐다”며 “대단히 송구하다는 말씀을 올린다”고 밝혔다.앞서 두산그룹은 사업 시너지 극대화와 미래 경쟁력 제고를 위해 클린에너지, 스마트 머신, 반도체·첨단소재를 3대축으로 하는 사업 구조 개편을 발표했고, 이러한 개편의 일환으로 두산에너빌리티와 두산밥캣, 두산로보틱스간 분할 합병을 추진했다."
2024-12-16,"한국자원경제학회 에너지대상, 박지원 두산에너빌 회장 수상","두산에너빌리티는 박지원 회장이 ‘2024 한국자원경제학회 학술상’에서 에너지 대상을 받았다고 15일 밝혔다. 박 회장은 국내 대표 발전소 주(主) 기기 제조사인 두산에너빌리티를 24년째 경영하면서 원전 주요 기기를 국산화하고 가스터빈, 해상풍력발전기 독자 모델도 확대하는 등 국내 에너지 생태계를 확대한 공로를 인정받았다."
2024-12-10,"두산밥캣 분할·합병案, 사실상 무산","캐스팅보트 국민연금 기권키로최근 주가 급락도 영향 미친 듯두산그룹의 두산밥캣 분할·합병안이 사실상 무산될 것으로 보인다. 두산그룹은 지난 6개월간 원전 산업 경쟁력 확보 등을 명분으로 두산에너빌리티 자회사인 두산밥캣을 분할해 두산로보틱스에 합병하는 방안을 추진해왔다. 그러나 이날 두산에너빌리티 지분 6.85%를 보유한 국민연금이 분할 및 합병 안건에 조건부 기권 입장을 밝히며 반대 입장을 나타냈다. 이로써 12일 예정된 두산에너빌리티 임시 주주총회에서 부결될 것으로 예측된다.국민연금기금 수탁자 책임 전문위원회(수책위)는 9일 제15차 위원회에서 두산에너빌리티와 두산로보틱스 분할 합병 승인의 건에 대해 조건부로 ‘찬성’을 결정했다고 밝혔다. ‘합병 반대 의사 통지 마감일 전일인 오는 10일 기준 주가가 주식 매수 예정가액보다 높은 경우’를 조건으로 찬성 표결을 행사하고 그 외에는 기권하겠다는 결정이다. 수책위는 이 같은 결정이 주식매수청구권을 확보하기 위한 것이라고 설명했다. 자본시장법에 따르면 합병 회사의 주주는 회사에 대해 주주총회 전 합병 반대 의사를 통지함으로써 주식 매수 예정가액으로 보유 주식의 매수를 청구할 수 있다. 주식 매수 예정가액은 두산에너빌리티가 2만890원, 두산로보틱스가 8만472원이다. 불공정 합병 논란에 휩싸이며 일반주주들의 반발이 극심했던 두산에너빌리티의 경우, 이날 장중 주가가 1만7000원대임을 고려하면 10일까지 주가가 20% 이상 상승해야 국민연금이 찬성표를 행사할 수 있다.비상계엄 사태와 탄핵 정국으로 현 정부의 원전 정책 관련 불확실성이 커지며 두산에너빌리티를 비롯한 원전주들은 최근 주가가 급락했다. 오는 10일까지 관련 불확실성이 제거될 가능성이 희박하다는 점을 고려하면 국민연금은 기권표를 행사하게 될 가능성이 크다. 또한 증권신고서에 따르면 두산에너빌리티의 분할합병에 반대하는 주주들의 주식매수청구권 규모가 6천억원이 넘을 경우 두산에너빌리티와 두산로보틱스는 분할합병 계약을 해제할 수 있는데, 국민연금 한곳만으로도 주식매수청구권 규모 한도를 훌쩍 넘어버리기 때문에 분할합병 자체가 불투명해질 수도 있게 됐다."
2024-12-11,두산밥캣 분할·합병안 철회… 내일 열려던 임시 주총 취소,"두산그룹이 10일 두산에너빌리티(옛 두산중공업)에서 두산밥캣을 떼어내 두산로보틱스 산하에 두는 분할·합병안을 공식적으로 철회했다. 당초 오는 12일 두산에너빌리티 임시 주주총회를 열어 분할·합병안 의결을 진행할 계획이었는데, 이를 취소한 것이다. 지난 6개월간 추진했던 지배 구조 개편이 사실상 백지화됐다.두산그룹은 두산에너빌리티의 자회사인 두산밥캣을 떼어내 두산로보틱스 산하에 두면, 두산에너빌리티는 투자 자금을 확보해 원전 시장 경쟁력을 높일 수 있고 밥캣과 로보틱스는 첨단 장비 분야 등에서 시너지가 커질 것으로 기대했다. 하지만 임시 주총을 앞두고 ‘탄핵 정국’이란 변수가 생기면서 현 정부의 원전 정책 관련 불확실성과 함께 주가가 급락한 게 문제였다.두산에너빌리티는 분할·합병에 반대하는 주주들이 주식매수청구권을 행사하면 최대 6000억원 규모까지 주식을 인수할 계획이었다. 두산에너빌리티의 경우 인수가가 2만890원이었는데, 최근 정국 여파로 주가가 지난 9일 1만7380원까지 떨어졌다. 캐스팅보트로 꼽혔던 국민연금(지분 6.85%)까지 지난 9일 사실상 반대 의사를 밝혔다.두산에너빌리티는 “종전 찬성 입장이었던 많은 주주가 주가 하락으로 주식매수청구권을 행사하기 위해 반대 또는 주총 불참으로 돌아서면서 분할·합병이 불확실해졌다”면서 “향후 다양한 대응 방안을 찾아보겠다”고 했다."
2024-12-02,쪼개기 상장 때 신주 우선 배정... 소액 주주 보호한다,"정부, 자본시장법 개정안 발표두산 밥캣 같은 ‘꼼수 합병’ 차단일러스트=박상훈정부가 기업의 합병·분할 시 이사회가 주주의 이익 보호를 위해 노력해야 한다는 내용이 명시된 자본시장법 개정안을 마련해 이번 주 국회에 제출하기로 했다. 기업이 물적분할(모회사가 신설 회사의 지분을 100% 소유)한 자회사를 상장할 때 공모 주식의 최대 20%를 모회사 주주에게 배정하는 내용도 법안에 담긴다.그래픽=박상훈정부는 그동안 소액주주 보호를 위해 상법 개정과 자본시장법 개정을 검토해왔는데 자본시장법 개정이 더 효과적이라고 판단한 것이다. 자본시장법은 국내 증시에 상장된 2600여 개 상장 법인에 적용되는 반면, 상법은 상장이나 비상장과 무관하게 102만여 모든 법인에 적용된다. “상법을 개정해 모든 기업이 대상이 되면 큰 혼란이 발생할 것”이라는 경영계의 우려를 받아들인 것이다. 김병환 금융위원장은 2일 ‘일반주주 이익 보호 강화를 위한 자본시장법 개정방향’ 브리핑에서 “적용 대상 법인을 상장 법인으로 한정해 중소·중견기업에 미치는 부정적 영향을 최소화할 것”이라고 말했다.◇소액주주 울리는 인수합병 불가능해진다이날 금융위가 공개한 자본시장법 개정 방향에 따르면 상장법인이 합병·분할 등 중요한 결정을 할 경우 주주의 정당한 이익이 보호될 수 있도록 노력해야 한다는 내용이 명시된다. 이사회는 주식을 교환·이전하거나 분할할 때는 목적이나 기대 효과, 가액의 적정성 등에 대한 의견서를 작성해 공시하도록 노력해야 한다.개정안은 기업 합병·분할로 피해를 본 주식 투자자들의 불만을 달래기 위해 마련됐다. 가령 올해 7월 두산그룹은 연간 1조3000억원의 영업이익을 내는 알짜 기업 두산밥캣을 모기업인 두산에너빌리티에서 떼어내 두산로보틱스와 합병하는 방안을 발표했다. 그런데 두산로보틱스는 지난해 적자 192억원을 기록한 회사이기 때문에 밥캣과 에너빌리티 주주들은 “합병안 발표 이후 회사 가치가 떨어지고 주가 하락으로 피해를 봤다”며 거세게 반발했다. 금융위 관계자는 “합병이나 분할을 할 경우 주주 이익을 보호해야 한다는 의무 조항이 있기 때문에 앞으로는 전격적인 합병이나 분할로 인한 주주들의 피해가 발생하지 않을 것”이라고 말했다.계열사 간 합병 등에 적용되는 기업 가치 산정 기준도 바뀐다. 지금은 합병 시점의 주가로 합병하는 기업의 가치가 결정된다. 기업들이 피합병 기업의 주가가 낮을 때 합병하면 상대적으로 싼값에 인수할 수 있는 것이다. 이로 인해 합병하는 기업은 큰 이익을 보는 반면, 합병당하는 기업 주주는 큰 피해를 본다는 지적이 끊이지 않았다. 두산밥캣의 인수·합병 과정에서도 두산그룹이 상대적으로 주가가 저평가된 밥캣을 합병해 이익을 보려한다는 비판이 제기됐다. 정부는 앞으로 주가가 아니라 자산·수익가치 등 다양한 정보를 종합적으로 고려해 공정한 가액으로 합병 기준을 결정하도록 법을 개정하기로 했다.그래픽=박상훈또 주주들이 보다 정확한 정보를 받을 수 있도록 합병 등을 추진할 때 외부 평가기관에 의한 평가가 의무화되고, 결과도 공시해야 한다. 또 쪼개기 상장에 따른 피해를 막기 위해 물적분할 후 자회사를 상장하는 경우 대주주를 제외한 모회사 일반주주에게 공모주의 최대 20%를 우선 배정하는 근거도 마련하기로 했다.◇정부 “상장 기업만 적용해도 주주 보호 충분”한국경영자총협회, 대한상공회의소 등 8개 경제 단체는 공동성명을 내고 “정부 개정안은 주주 이익 보호를 위한 장치를 도입해 일반주주 권익에 긍정적인 효과가 있을 것”이라고 말했다. 한국경제인협회 유정주 기업제도팀장은 “야당이 추진하는 상법개정안은 대기업 죽이기 법안이었는데, 정부가 내놓은 방안은 꼭 필요한 제도를 핀셋으로 개선한다는 데 의미가 있다”고 말했다.반면 주주를 보호하겠다는 정부의 의지가 약해졌다는 반론도 나온다. 이남우 기업거버넌스포럼 회장은 “주주 보호는 상법을 개정하는 게 정통 방식이며, 연초부터 윤석열 대통령과 금융 당국 관계자들이 상법 개정의 의지를 보였는데, 결국 기업의 반발에 접은 것”이라고 평가했다.김병환 금융위원장은 “일반주주 보호 문제는 재무적 거래에서 주로 발생하기 때문에 자본시장법에 재무적 거래에 대한 주주 보호 노력 조항을 둠으로써, 상법 개정으로 우려되는 부작용을 해소하고 실효적인 주주 보호를 할 수 있다”고 말했다.☞두산밥캣 인수합병 사건지난 7월, 두산그룹은 굴착기 등을 제작하는 두산밥캣을 모기업 두산에너빌리티에서 떼어내 두산로보틱스 자회사로 편입하는 지배구조 개편안을 발표했다. 밥캣은 연간 영업이익이 1조3000억원에 달하고 로보틱스는 192억원의 적자 기업인데도, 합병 비율은 밥캣 주식 1주당 로보틱스 주식 0.63주에 불과했다. 5만원을 넘던 밥캣 주가가 3만4000원 선까지 떨어졌고, 밥캣 주주들이 반발했다."
2024-11-19,"청소년 장학생 500명에게… 두산연강재단, 5억원 전달","두산연강재단(이사장 박용현)은 어려운 형편 속에서도 꿋꿋이 생활하는 전국 초등학생·중학생 500명을 선정해 장학금 5억원을 전달했다고 18일 밝혔다. 전국 시도 교육청 8곳의 추천을 받은 가정 위탁(소년·소녀 가장), 가정 형편이 어려운 다문화 가정의 청소년들이다. 이 재단은 올해 초·중·고, 대학생 1524명에게 장학금 약 30억원을 지원했다."
2024-10-21,"두산, 에너빌리티 개미 투자자 달래기 나선다","오늘 사업 개편 위한 이사회 열어… 소액주주 반발 합병 비율 바꿀 듯두산그룹이 앞서 무산됐던 그룹 사업구조 개편을 다시 진행하며 ‘개미 주주 달래기’에 나섰다.20일 재계에 따르면, 두산은 두산에너빌리티를 인적 분할한 뒤 두산밥캣을 신설법인의 자회사로 두는 사업 개편안을 21일 이사회에서 의결할 것으로 알려졌다. 지난 7~8월 두산밥캣과 두산로보틱스를 합병한 뒤 최종적으로 두산밥캣을 상장폐지하는 사업 개편안을 추진했으나 주주 반발과 금융 당국의 압박으로 철회했다. 이에 따라 이번엔 합병은 추진하지 않되 개미 투자자들의 반발이 거셌던 주식 교환 비율을 두산에너빌리티 주주에게 더 친화적인 방향으로 다시 산정한 것으로 알려졌다.지난 8월 두산밥캣 합병 계획 철회 이후, 두산은 개편의 첫 단계인 ‘두산밥캣 인적 분할 이후 두산로보틱스 자회사로 편입’은 그대로 추진하기로 했다. 분할을 통해 에너빌리티가 약 7000억원 차입금 부담을 덜고, 전례 없는 세계 원전 시장 확대로 설비 투자가 시급한 상황에서 투자 자금을 확보한다는 이유에서였다.21일 이사회 안건은 이 작업의 연장선이다. 두산에너빌리티 주주는 연간 영업이익 1조원을 내는 알짜 자회사 두산밥캣을 분할해 떼어주는 대신, 두산로보틱스 주식을 받아야 하는데 이 과정에서 두산밥캣 ‘몸값’을 더 높게 책정하기로 한 것으로 알려졌다. 지난 7월 원안에서 주주 반발을 샀던 점을 감안해 두산밥캣이 포함된 신설 법인과 두산로보틱스 합병 비율을 재산정한 것이다.한편 최근 두산밥캣 지분 1%를 확보한 국내 행동주의 펀드 얼라인파트너스는 이와 관련해 지난 15일 두산밥캣 이사회에 주주 서한을 보내 “두산로보틱스와 포괄적 주식 교환을 통한 합병을 재추진하지 않을 것을 공표하라”고 요구했다. 두산밥캣이 두산로보틱스 자회사로 있다면, 잠재적으로 양사 합병 가능성이 있어 밥캣 주주의 손해가 될 수 있다는 주장이다. 이에 대해 두산 측은 “이미 합병을 하지 않겠다고 밝힌 바 있어 추가 입장 발표는 현재로선 고려하지 않고 있다”고 밝혔다."
2024-09-13,"이복현 “두산 사업 재편, 이해관계자 의견 수렴 기대”",이복현 금융감독원장이 두산그룹의 사업 구조 개편과 관련해 “두산이 향후 새 증권 신고서를 제출할 때 다양한 이해 관계자의 의견이 수렴된 상태에서 마무리되기를 바란다”고 12일 말했다.이 원장은 이날 오전 서울 여의도 한국경제인협회에서 기자들과 만나 “두산이 사업 재편과 관련해 다양한 이해 관계자들과 적극적으로 소통하겠다는 입장을 (당국에) 전달한 것으로 안다”며 “이해관계자들의 의견을 수렴한 상황에서 추가적인 신고서 업무가 마무리되면 좋겠다”고 밝혔다.그는 또 “기업이 변화하는 산업 환경에 맞게 구조를 개편하는 것은 오히려 도와드려야 할 일”이라면서도 “다만 경영진이 시장의 목소리를 청취하는 데 부족함이 있다고 오해받는 면이 있다면 살필 것”이라고 덧붙였다.두산그룹은 지난 7월 두산에너빌리티에서 두산밥캣을 인적 분할한 뒤 두산로보틱스의 완전 자회사로 편입하는 사업 재편 계획을 공개했다. 그러나 지배 주주 중심으로 사업 재편이 추진된다는 일반 주주들의 반발이 커졌다.이에 금감원은 두산로보틱스가 제출한 증권 신고서에 대해 두 차례 정정을 요구하면서 사업 재편에 제동을 걸었다. 이 원장은 앞서 “미비점이 있다면 횟수 제한 없이 정정을 요구하겠다”고 말하기도 했다.
