date,title,content
2024-07-05,"두산테스나, 2200억원 투자해 2027년 준공 평택 2공장 건설","반도체 테스트 기업 두산테스나는 경기 평택시 브레인시티 일반산업단지 내에 '평택 제2공장'을 건설한다고 4일 밝혔다. 사진은 두산테스나 평택 제2공장 조감도. /두산테스나두산테스나가 경기도 평택 브레인시티 일반산업단지 내에 2200억원을 투자해 1만5870㎡ 규모의 평택 제2 공장을 건설하기로 했다고 4일 밝혔다. 두산테스나는 시스템 반도체 웨이퍼 사전 테스트 분야 국내 시장점유율 1위 기업이다. 두산 테스나는 “시스템 반도체 신제품 관련 테스트 수요가 지속적으로 증가함에 따라 선제적으로 대응하려는 것”이라고 밝혔다.해당 공장에서는CIS(이미지 센서 반도체)와 고성능SoC(시스템온칩) 제조를 위한 웨이퍼 테스트 공정 작업을 수행한다. 두산테스나는 최근 스마트폰과 자율주행차에 고성능 카메라 모듈 사용이 늘어나면서 해당 제품의 수요가 크게 증가할 것으로 보고 있다.평택 2공장은 연내 착공해 2027년 상반기 안에 준공할 계획이다. 이를 위해 지난해 4만8000㎡ 규모 부지를 확보했으며, 향후 공장 증설 필요에 맞춰 단계별로 증축해나갈 예정이라고 회사 측은 밝혔다."
2022-03-08,"두산, 반도체 테스트회사 테스나 4600억원에 인수","두산 로고두산그룹이 반도체 사업에 진출한다. ㈜두산은 8일 이사회를 열어 국내 반도체 테스트 분야 1위 기업인 테스나 인수를 결정하고, 테스나 최대 주주인 사모펀드(PEF) 에이아이트리가 보유 중인 지분 전량(38.7%)을 4600억원에 인수하는 주식 매매 계약을 체결했다.테스나는 ‘스마트폰의 두뇌’로 불리는 애플리케이션 프로세서(AP)와 카메라 이미지 센서, 무선 통신칩(RF) 등 시스템 반도체 제품에 대한 테스트를 전문으로 하는 회사로, 삼성전자와SK하이닉스를 주요 고객사로 두고 있다. 최근 국내 시스템 반도체 부문 투자 확대로 지난해 매출과 영업이익은 전년보다 각각 56.6%, 76.8%씩 증가한 2075억원, 540억원을 기록했다.두산 박정원 회장두산은 이번 인수를 계기로 반도체 사업을 기존 에너지 부문, 산업기계 부문과 함께 사업 포트폴리오의 한 축으로 육성한다는 계획이다. 두산 측은 “중장기적으로 첨단 패키징 기술을 확보하는 등 반도체 후공정 전문 회사로 사업 영역을 점차 확대해 한국 시스템 반도체 생태계의 핵심 기업으로 도약시키겠다”고 밝혔다.두산그룹은 지난달 산업은행, 수출입은행 등 채권단으로부터 받은 긴급운영자금 3조원을 조기 상환하면서 2년 만에 채권단 관리 체제를 졸업했다."
2022-09-17,두산테스나 대표이사 김도원,반도체 테스트 기업인 두산테스나는 16일 이사회를 열고 ㈜두산 지주부문 최고전략책임자(CSO)인 김도원 사장을 대표이사로 선임했다고 밝혔다.
2022-06-15,"두산, 5년간 반도체에 1조원 투자","박정원(오른쪽) 두산그룹 회장이 두산테스나 사업장에서 반도체 웨이퍼 테스트 과정을 살펴보고 있다. /두산두산그룹이 앞으로 5년간 반도체 사업에 1조원을 투자한다.박정원 두산그룹 회장은 지난 14일 경기도 안성에 있는 반도체 테스트 분야 계열사인 두산테스나 사업장을 찾아 이 같은 투자 계획을 밝히고 경영진과 중장기 사업 전략을 논의했다. 박 회장은 이날 “반도체는 두산의 새로운 승부처로 기존 핵심 사업인 에너지, 기계 분야와 더불어 또 하나의 성장 축이 될 것”이라며 “두산테스나가 국내 시스템 반도체 분야의 최고 파트너 기업으로 자리 잡고, 5년 내 반도체 테스트 분야 글로벌 톱5로 성장하도록 투자를 아끼지 않겠다”고 말했다.두산이 지난 4월 4600억원에 인수한 두산테스나(옛 테스나)는 시스템반도체 설계‧제조 후 이뤄지는 테스트를 전문으로 하는 회사다. 국내 웨이퍼(얇은 실리콘판) 테스트 분야 시장점유율 1위 업체다. 웨이퍼 테스트는 반도체 칩이 새겨진 원형 웨이퍼를 가공하지 않은 상태에서 납품받아 전기·온도·기능 테스트를 통해 불량 여부를 판단하는 작업이다. 지난해 매출 2076억원, 영업이익 540억원을 기록했다.두산이 반도체 분야에 진출한 것은 협동로봇·드론·물류자동화와 같은 첨단IT(정보기술) 산업의 성장이 결국 반도체 수요 증가로 이어질 수밖에 없다고 판단했기 때문이다. 박 회장은 반도체 테스트 분야에서는 국내 산업이 초기 단계에 있어 성장 잠재력이 크다고 보고 투자를 결심했다고 한다. 현재 글로벌 반도체 테스트 부문 1~5위 업체는 대만·미국·중국이 차지하고 있다.두산그룹 관계자는 “반도체 테스트·패키징과 같은 후(後)공정 분야에서 글로벌 톱10에 이름을 올린 국내 기업은 아직 없다”며 “한국을 대표하는 글로벌 반도체 후공정 기업으로 도약하기 위해 테스트 장비, 첨단 패키징에 대한 추가 투자를 검토하고 있다”고 말했다."
2024-07-13,"흑자 기업과 적자 기업의 결합, 두산 계열사 주가 요동","순이익 1조 육박 알짜회사 ‘밥캣’에너빌리티서 로보틱스 자회사로분당두산타워두산그룹의 지배 구조 개편에 12일 계열사 주가의 희비가 엇갈렸다.캐시카우(현금 창출) 역할을 하는 두산밥캣을 합병하기로 한 두산로보틱스(이하 로보틱스) 주가는 약 24% 폭등한 10만5700원으로 마감했다. 반면 자회사인 두산밥캣(이하 밥캣)과 결별하는 두산에너빌리티(이하 에너빌리티)는 장 초반 8% 넘게 하락하다 낙폭을 점차 줄여 약 4% 하락한 2만900원으로 마감했다.이번 개편안의 핵심인 밥캣은 상장 폐지 소식에 장 초반 4% 넘게 하락했지만, 오후부터 반등하며 전날보다 5% 상승한 5만4600원으로 마감했다. 개편안에 따르면, 밥캣 주식 1주는 로보틱스 0.63주로 바뀌는데, 로보틱스 주가가 오르면서 0.63주의 가치가 현재 밥캣 주가보다 훨씬 높아졌기 때문이다. 로보틱스와 밥캣의 급등에 힘입어 두산그룹의 시가총액은 전날보다 1.91% 늘어난 31조5693억원을 기록했다. 여의도에서는 “에너빌리티 주가가 떨어지긴 했지만 밥캣과 로보틱스가 크게 오른 것을 감안하면 이번 개편안에 대해 주식시장이 긍정적으로 보고 있는 것”이라는 평가가 나온다. 김수현DS투자증권 연구원은 “(주)두산의 경우 로보틱스로부터 받는 배당이 증가하면서 개별 현금 흐름이 개선되고, 이에 따라 자사주 18%를 밸류업 정책(기업 가치 제고)에 활용할 수 있는 가능성이 더 커졌다”고 판단했다.◇두산그룹 3대 축으로 지배 구조 개편두산그룹은 전날 클린에너지, 스마트 머신, 반도체·첨단 소재 등 3대 축으로 그룹 핵심 사업을 집중하는 지배 구조 개편안을 실시한다고 밝혔다. 클린에너지를 담당하는 기업은 에너빌리티로, 앞으로 원전 사업 등을 이끈다.에너빌리티의 자회사인 밥캣은 인적 분할을 거쳐 로보틱스와 합병한 뒤 스마트 머신 부문을 맡는다. 이 과정에서 밥캣은 상장 폐지되고, 로보틱스의 100% 자회사로 들어간다. 현재 밥캣 지분은 에너빌리티가 46%, 로보틱스 지분은 ㈜두산이 68%를 보유하고 있다. 두산이 로보틱스를 통해 밥캣을 보유할 경우, 그룹 지배력이 더욱 강화되는 측면도 있다. 두산 관계자는 “소형 건설기계와 협동 로봇 시장의 사업적 결합을 기대하고 있다”고 말했다.반도체·첨단 소재 부문은 기존대로 두산테스나를 중심으로 진행된다. 두산 관계자는 “업종 구분 없이 혼재된 사업들을 시너지가 날 수 있도록 모은 것이 이번 사업 재편의 목적”이라고 말했다. 이를 위해 에너빌리티와 밥캣, 로보틱스 등은 각각 이사회를 열고 분할과 합병, 포괄적 주식 교환 등을 결정했다.그래픽=백형선◇”흑자 기업이 적자 기업 안으로… 밸류업에 역행”시장 일각에서는 “이번 개편안이 밥캣 소액주주들의 이익을 침해한 것 아니냐”는 지적이 나온다. 시가총액 측면에서는 로보틱스가 6조8515억원으로 밥캣(5조4736억원)보다 크다. 하지만 실적은 정반대다. 밥캣은 지난해 매출이 10조원에 육박하고 영업이익이 1조3000억원을 넘지만, 로보틱스는 매출 530억원에 192억원의 영업손실을 냈다.밥캣 기존 주주들은 합병에 찬성할 경우 주식 1주당 로보틱스 주식 0.63주를 받는다. 반면 반대할 경우 주당 5만459원에 반대매수청구권을 행사할 수 있다. 한 증권사 관계자는 “밥캣이 좋은 회사인데 주가가 낮다고 생각해서 오래 보유하려던 주식 투자자들이 합병 찬성이냐 반대 매각이냐의 양자 선택을 강요받는 상황이 된 것”이라고 말했다.이번 개편안이 기업 가치를 높이려는 정부의 밸류업 프로그램에 역행한다는 비판도 있다. 한국기업거버넌스포럼은 “자본시장법의 상장 회사 합병 비율 조항을 최대로 악용한 사례”라며 “두산은 밸류업에 얼음물을 끼얹고 있다. 이것이 바로 코리아 디스카운트”라고 밝혔다.두산그룹은 “이번 재편은 계열사의 밸류업을 위한 조치”라는 입장이다. 두산 관계자는 “밥캣은 현재 실적은 좋지만 미래 성장성에 대한 의구심 때문에 주가가 오르지 못하는 한계가 있었다”며 “미래 성장 가능성을 높이 평가받는 로보틱스 사업이 추가될 경우 두 회사 간의 시너지가 극대화될 것”이라고 말했다.이동헌 신한투자증권 연구원은 “밥캣은 로봇 산업에 진출해 기존 제품의 기술 혁신 가속화 및 신성장 동력 발굴을 추진하고, 로보틱스는 선진 시장 고객 접점 확대와 전문 서비스 시장을 선점하는 시너지 효과가 있을 것”이라고 말했다."
2024-07-11,두산 핵심사업 ‘3대축’으로 재편,"에너지·스마트머신·첨단소재두산밥캣, 로보틱스 자회사로두산그룹이 핵심 사업을 △클린 에너지 △스마트 머신 △반도체·첨단 소재 3대 부문으로 재편한다. 두산그룹은 11일 “사업 시너지 극대화와 주주 가치 제고를 위해 지배 구조 개편을 한다”고 밝혔다. /두산두산그룹이 핵심 사업을 △클린 에너지 △스마트 머신 △반도체·첨단 소재 3대 부문으로 재편한다. 현재 업종 구분 없이 혼재된 사업들을 시너지가 날 수 있는 사업끼리 뭉친다는 계획이다.두산그룹은 11일 “사업 시너지 극대화와 주주 가치 제고를 위해 지배 구조 개편을 한다”고 밝혔다. 두산그룹은 과거 오비맥주를 중심으로 소비재(B2C) 사업에 주력했다. 이후 두산중공업(현 두산에너빌리티)을 바탕으로 2007년 당시 한국 기업 역사상 최대 규모 해외 인수합병(M&A)이었던 밥캣(현 두산밥캣) 인수를 거쳐 중공업(B2B) 그룹으로 사업 체질을 바꿨다. 이후 두산에너빌리티는 원전 등 에너지 사업에 집중했는데, 사실상 업종이 다른 건설기계 제조사 두산밥캣이 자회사로 있어 사업 구조 재편이 필요했다.그래픽=조선디자인랩 권혜인이번 사업 개편은 두산밥캣을 분리해 협동 로봇 제조 회사인 두산로보틱스와 합병한 뒤 ‘스마트 머신’ 사업을 확대하는 게 핵심이다. 두산밥캣은 우선 인적 분할한 뒤, 두산로보틱스 합병과 포괄적 주식 교환을 거쳐 두산로보틱스의 자회사로 편입된다. 두산 관계자는 “인공지능(AI)을 활용한 모션 제어 기술 개발, 비전 인식 기술 강화, 고성능 자율 주행 기술 개발 등 양사가 개별적으로 진행해오던 R&D(연구개발) 과제를 공동 수행함으로써 중복 투자를 걷어내고 시너지를 내는 효과도 기대한다”고 말했다.두산에너빌리티, 두산퓨얼셀 등을 주축으로 하는 ‘클린 에너지’ 부문은 원전 및SMR(소형 모듈 원전), 가스·수소 터빈, 해상 풍력 같은 친환경 에너지 사업에 집중한다. 반도체·첨단 소재 부문은 시스템 반도체 웨이퍼 테스트 분야 국내 시장점유율 1위인 두산테스나를 중심으로 그룹 내 첨단 소재 사업을 총괄하게 된다. 두산에너빌리티, 두산밥캣, 두산로보틱스 3사는 이날 각각 이사회를 열고 분할, 합병, 포괄적 주식 교환 등을 결정했다."
2022-09-08,"“긴축 태풍에 대비”… 기업들, 자산·지분 팔아 현금 쌓는다","금리 인상으로 금융 비용 급증… 유동성 확보에 총력한진그룹은 제주KAL호텔을 950억원에 부동산 개발 회사에 최근 매각했다. 한진그룹은 대한항공이 소유한 왕산레저개발, 제주 토평동의 파라다이스호텔 부지, 미국 월셔그랜드센터 지분도 매각해 1조원가량 자금을 확보할 계획이다.SK그룹 계열사들도 잇따라 비주력 자산을 정리하고 있다.SK텔레시스는 지난 6월 경기 성남 판교연구소를 의약품 제조사 제테마에 팔아 820억원을 마련했고SK스퀘어는 7월 바이오 기업 나노엔텍 지분 760만주를 한 국내 사모펀드에 580억원에 넘겼다.기업들이 부동산이나 보유 지분을 팔아 현금 확보에 나서고 있다. 인플레이션으로 인한 긴축 우려가 커지고 급격한 금리 인상에 따라 금융 비용이 증가하자 유동성 확보에 나선 것이다. 기업들이 향후 경제 상황을 그만큼 부정적으로 인식하고 있다는 의미다. 국내뿐 아니라 해외 기업들과 글로벌 큰손으로 불리는 투자 그룹도 유사한 움직임을 보이고 있다.팔고 줄여라, 몸집 줄이는 기업·큰 손들미국 전기차 업체 니콜라는 지난달 30일(현지 시각) 4억달러(약 5518억원) 규모 신주를 발행할 것이라고 밝혔다. 또 다른 전기차 업체 루시드도 3년간 80억달러(약 11조원) 신주 발행을 위한 사전 작업에 들어갔다. 신주를 발행하면 유통 주식량이 증가하며 주식 가치가 하락한다. 주주들의 반발도 만만치 않다. 그러나 이들은 “공급망 위기에 따른 부품난을 타개하고 비용 상승에 대비하겠다”며 현금 확보를 선택했다.투자 업계 큰손들도 보유 지분 정리에 나서며 투자 목록을 재정비하고 있다. 손정의(孫正義·일본명 손 마사요시) 회장이 이끄는 일본 소프트뱅크는 지난달 중국 전자상거래 업체 알리바바 지분을 처분해 340억달러(약 44조원)의 현금을 확보했다. 소프트뱅크가 올해 4∼6월 분기 기준 역대 최대인 3조1600억엔(약 30조4000억원)의 손실을 내자 현금 확보에 나선 것이다. 한국 ‘서학개미’ 사이에서도 유명한 스타펀드 매니저 캐시 우드가 운용하는 아크인베스트먼트도 테슬라 지분 15만주를 정리했다.대규모 투자 계획을 추진해오던 기업들도 신중한 분위기로 바뀌고 있다.LG에너지솔루션은 지난 6월 2조원이 투입되는 미국 배터리 공장 투자 계획을 전면 재검토한다고 밝혔다. 반도체 테스트 기업인 두산테스나는 최근 시스템 반도체 후공정 업체 엔지온 인수전에 나섰다가 철수했다. 배터리 기업SK온도 글로벌 사모펀드 등으로부터 4조원 투자 유치 계획을 세웠지만 투자자들이 잇따라 난색을 표하면서 애를 먹고 있다. 한 대기업 관계자는 “기업, 사모펀드 등이 현금을 비축하며 보수적 자금 운용으로 돌아선 상황”이라며 “소비 심리 위축에 따라 투자도 더 위축될 가능성이 크다”고 했다.회사채, 차환 대신 상환기업들은 지갑을 닫으며 빚도 줄이고 있다.SK하이닉스는 지난달 26일 만기가 돌아온 1400억원 규모의 회사채를 현금으로 상환했다. 금리가 높아 조달 비용이 오르자 차환(借換)하지 않고 갚아버린 것이다.HL만도도 지난달 29일이 만기인 900억원 회사채를 전액 상환했다. 현대차는 지난해 4000억원의 회사채를 순발행했지만 올해는 발행보다 상환액이 많다. 반면 현대차의 현금성 자산과 단기 금융상품 자산이 23조원을 넘으며 지난해 말보다 27% 넘게 늘어났다.회사채를 통한 자금 조달을 중단하는 기업들이 늘고 있는 것은 올 들어 금리가 가파르게 오르면서 이자 부담이 크게 늘었기 때문이다. 금융투자협회에 따르면 ‘신용 등급AA-회사채 3년물 금리’는 올 초 2%대였지만 7일엔 4.7%를 넘었다. 신용 등급BBB-3년물 금리는 10%를 웃돌고 있다. 회사채 발행이 위축되면서, 지난달까지 회사채 순발행액은 전년 동기보다 14조원 넘게 줄었다.한 투자은행 관계자는 “글로벌 시장에서 투자 경쟁을 하는 기업들조차 유보금 활용으로 선회하며, 회사채 시장에 찬바람이 불고 있다”며 “현금 여유가 없는 저신용 기업들의 경우 회사채 발행에 어려움을 겪고 유동성 위기에 빠질 위험이 있다”고 했다."
2024-07-05,"[Biz & Now] 두산테스나, 평택 제2공장 연내 착공",두산테스나는 시스템 반도체 웨이퍼 테스트 수요 증가에 선제 대응하기 위해 경기 평택시 브레인시티 일반산업단지 내에 평택 제2공장을 건설하기로 했다고 4일 밝혔다. 우선 2200억원을 투자해 1만5870㎡(약 4800평) 규모 공장 구축 및 클린룸 설치를 진행한다. 연내 착공해 2027년 상반기에 준공할 예정이다. 고성능 집적 시스템 반도체(SoC)와 웨이퍼 테스트를 수행하게 된다.
2022-09-16,"[인사] 두산테스나, 김도원 대표이사 선임","김도원(53·사진) ㈜두산 지주부문 최고전략책임자(CSO)가 두산테스나 신임 대표이사로 16일 선임됐다. 두산은 지난 4월 시스템 반도체 테스트 기업인 테스나 지분을 인수하며 ‘두산테스나’를 출범시켰다. 국내 웨이퍼 테스트 시장점유율 1위 자리를 지키고 있다.김 사장은 미국 버지니아대를 졸업하고, 컬럼비아대·매사추세츠공과대(MIT) 등에서 각각 석·박사를 받았다. 1995년부터 보스턴컨설팅그룹에서 컨설턴트, 서울 대표파트너 등을 역임하며 에너지사업 분야 등을 담당해왔다.지난해 두산그룹에 합류해 그룹 전반의 비즈니스 비전 및 전략 수립, 신사업 개발 업무를 수행해왔다. 이번 인사로 김 사장은 두산테스나 대표이사 및 ㈜두산 지주부문CSO를 겸임하게 된다."
2024-10-30,SKC ‘후공정’ 한화 ‘장비’ 두산 ‘설계’…반도체 영토 넓힌다,"SK·한화·두산 등 주요 대기업이 구조조정과 사업 재편 중에도 반도체 사업은 오히려 키우고 있다. 대규모 투자가 필요한 반도체 제조보다는 후공정, 장비, 설계 서비스 등 부가가치가 높은 특정 분야로 ‘선택과 집중’을 하는 모양새다.29일 반도체 업계에 따르면,SKC의 자회사ISC는 최근 글라스(유리) 기판용 테스트 소켓을 세계 최초로 개발했다.ISC는 반도체 칩셋의 전기적 특성을 검사하는 테스트 소켓 업체로, 회사 매출의 80%를 미국 빅테크 등 해외에서 올린다.SKC의 또 다른 자회사 앱솔릭스는 차세대 반도체용 글라스 기판을 생산하는데,ISC·앱솔릭스 기술 협력을 통해 글라스 기판용 테스트 소켓을 만들어냈다. 최근 박원철SKC대표가 해외 투자자에게 성과를 설명하면서 이런 사실이 공개됐다. 회사는 내년 상반기 미국 빅테크 기업에 앱솔릭스 글라스 기판과ISC소켓을 함께 공급할 계획이다.SK는 그룹 차원의 리밸런싱(사업 재편)을 진행 중이며,SKC는 지난해 자회사SK엔펄스의 전공정 사업을 매각했고 역시 전공정에 해당하는 연마 부품CMP패드 사업은 매각 마무리 단계다. 그러나SKC는 “ISC는 매출의 10%를 특허 및 신기술 개발에 투자하고 있고, 앱솔릭스는 공장 내 장비 독자화를 추진하고 있다”고 밝혔다. 반도체 사업 중 ‘전공정 정리, 후공정 집중’ 기조가 뚜렷한 셈이다.한화는 반도체 장비 사업을 키운다. 한화정밀기계는 고대역폭메모리(HBM)용 패키징 장비인TC본더를SK하이닉스에 납품하려고 개발 및 협의 중인데, 지난 22일 김승연 한화 회장이 경기도 성남의 판교 한화 R&D 캠퍼스를 방문해TC본더 시연을 직접 봤다. 이날 김 회장은 “반도체는 글로벌 시장에서 기술 리더십을 보여줄 수 있는 중요 산업”이라고도 말했다. 지난해 12월 한화의 ‘전략통’으로 꼽히는 이성수 사장이 한화정밀기계 대표로 부임했고, 직후 회사는 ㈜한화의 반도체 전공정 장비 사업 부문을 인수했다. 지난 9월 한화는 한화에어로스페이스에서 보안·장비 부문을 떼 중간지주사 한화인더스트리얼솔루션즈를 설립하는 개편을 단행했는데, 한화정밀기계가 그 핵심이다.두산은 웨이퍼 테스트 기업인 테스나를 2022년 인수했다. 지난 2~3년간 메모리 불황으로 국내 후공정 업계는 실적 부진을 겪었으나, 국내 웨이퍼 테스트 1위인 두산테스나는 흑자 행진을 이어왔다. 두산은 국내 유력 디자인하우스(반도체 설계 서비스) 업체인 세미파이브 지분도 보유하고 있는데 최근 지분을 추가 인수하는 방안을 논의 중인 것으로 알려졌다."
