date,title,content
2024-08-07,"디와이운용, ‘블랙 먼데이’ 당시 펀드 수익률 폭락...미래에셋도 재간접 피해","지난 5일 오후 서울 여의도KB국민은행 딜링룸에서 코스닥과 코스피 지수가 표시되고 있다. 이날 코스피 지수가 장중 10% 폭락하면서 2,441.55로 마감했다. /장련성 기자디와이자산운용이 최근 증시 폭락장에 옵션 양매도 전략을 펼쳤다가 사모펀드 수익률이 폭락했다. 옵션 양매도 전략이란, 콜 옵션과 풋 옵션을 동시에 매도하여 정기적인 수익을 얻으려는 전략이다. 시장이 큰 변동이 없을 때는 안정적인 수익을 기대할 수 있지만, 큰 변동이 발생했을 때는 큰 손실이 발생할 위험이 있다. 디와이운용은 일반 공모주 사모펀드 위주로 운용하는 사모자산운용사다.업계에 따르면, 디와이자산운용의 운용자산(AUM)은 지난 2일 1373억원에서 주가가 폭락해 ‘블랙먼데이’였던 지난 5일 755억원으로 45%나 쪼그라들었다. 특히 공모형 공모주 재간접펀드 가운데 미래에셋운용이 유일하게 디와이운용 펀드를 편입해 그 피해를 입었다.금융정보제공업체 에프앤가이드에 따르면, ‘미래에셋IPO공모주셀렉션혼합자산투자신탁(사모투자재간접형)’은 ‘디와이 하이일드 일반 사모투자신탁 제2호C-s’를 9.23% 비중으로 담고 있다. 해당 펀드(집합투자증권 비중 전체 87.77%)에서 디와이운용 펀드 비중이 두 번째로 크다. 이에 지난 5일 ‘미래에셋IPO공모주셀렉션혼합자산투자신탁’ 하루 수익률은 마이너스(-) 6.14%로 집계됐다. 미래에셋운용 관계자는 “해당 펀드 성과가 크게 하락한 가운데 미래에셋IPO공모주셀렉션펀드에는 -5% 수준 기여로, 개별 펀드 리스크를 상대적으로 방어할 수 있었다”며 “앞으로도 리스크 관리에 철저하게 나설 것”이라고 말했다.부자가 되고 싶은 당신을 위한 경제지침서 유튜브 ‘조선일보 머니’ 보러가기 :https://www.youtube.com/@chosunmoney?sub_confirmation=1"
2023-05-12,‘또 CFD 반대 매매?’ 코스닥 상장사 디와이피엔에프 하한가,"디와이피엔에프코스닥 상장사인 디와이피엔에프의 주가가 12일 하한가를 기록한 가운데 별다른 요인 없이 매도 물량이 몰려 ‘제2의SG증권발 폭락 사태’가 우려되고 있다.이날 하루 전 보다 1만원 이상 빠진 3만 50원에 시작한 디와이피엔에프 주가는 개장과 동시에 가격 제한 폭까지 내려가 오전 전 거래일 대비 1만2300원(29.93%) 하락한 2만 8800원을 기록했다. 갑작스러운 폭락에 회사측은 “최근 주식시장에서 벌어지고 있는 반대매매 여파 등으로 인해 단기간 주가 변동 여파가 큰 것으로 추정된다”며 “사법적 문제가 없고 회사의 본질가치에도 전혀 변함이 없으니 투자자분들께서는 이 점을 유념해주시길 바란다”고 밝혔다.이날 오후 2시 40분 기준 디와이피엔에프의 매도 상위에는 키움증권, 삼성증권, 미래에셋증권과 함께 최근 8종목 폭락 사태의 출발점이 됐던SG증권이 이름을 올리고 있다. 외국계증권으로는 모건스탠리에서도 매도 물량이 몰리고 있다. 차액결제거래(CFD) 계좌에서 반대매매가 쏟아져 주가가 급락한 것으로 추정된다. 오후 2시 40분 현재 매도 잔량은 67만주 이상 쌓인 반면 매수는 거의 없는 상태다.이날 주식 관련 커뮤니티에서는 한 개인 주주가 디와이피엔에프에 대해 “이번 하락은 선광, 대성홀딩스 등의 사태와 관련이 없다”며 “디와이피엔에프를 리서치한 후 저평가 상태로 보고 레버리지를 사용해 투자하다가 반대매매를 당했다”고 글을 써 화제가 됐다. 그는 “회사가 좋아지는 모습이 실적, 수주로 증명되기 직전에 과욕으로 인해 이러한 일이 벌어져 안타깝게 생각한다”며 “이번에 반대매매를 당하면 돈을 하나도 못 벌고 나가게 된다. 피해를 본 다른 투자자와 회사 측에 사과드린다”고 적었다."
2024-08-22,[단독] “500억 한 방에 날렸다”... 하나증권 큰손 고객 80명 초비상,"하나證 랩어카운트, 블랙먼데이에 대규모 손실옵션 양매도 전략 썼다가 증시 변동성 직격탄하나증권의 큰손 고객 80여명이 국내 증시가 폭락한 지난 5일 500억원대 손실을 입은 것으로 확인됐다. 1인당 평균 6억2500만원꼴이다. 5일은 코스피가 전 거래일보다 8.8% 하락해 사상 최대 하락폭을 기록했던 ‘블랙먼데이’였다.22일 금융업계에 따르면, 하나증권 클럽원WM센터가 판매한 하나자산배분알파 랩어카운트(WrapAccount) 가입자 80여명이 500억원대 손실을 입었다. 랩어카운트란, 주식·채권·파생상품 등 다양한 금융상품을 투자자 맞춤형으로 운용하는 계좌를 말한다. 클럽원WM센터는 하나금융그룹이 지난 2017년 평균 금융자산 30억원 이상인 수퍼리치들의 자산을 굴리기 위해 만든VVIP전용 점포다.이 상품은 코스피 옵션 양매도 전략으로 운용되고 있었는데, 증시 변동성이 급격히 커지면서 직격탄을 맞았다. 옵션 양매도는 시장 변동성이 상대적으로 적을 때 콜옵션(살 수 있는 권리)과 풋옵션(팔 수 있는 권리)을 동시에 팔아 생긴 옵션 프리미엄으로 수익을 쌓는 전략이다. 양매도 전략은 주식 가격이 콜·풋옵션 가격 범위를 벗어나지 않으면 안정적 이익을 낼 수 있다. 하지만 예상범위를 이탈할 경우 손실은 무한대로 나는 구조를 갖고 있다.하나증권해당 상품에 가입했다가 원금 손실을 입게 된 투자자들은 하나증권 랩어카운트 운용역들이 리스크 관리를 제대로 하지 않아 피해가 커졌다고 주장하고 있다. 투자자 A씨는 “주가 하락에 대한 징후가 있었던 만큼 미리 포트폴리오를 조정해서 대응했어야 하는데, 그러지 않았다”고 주장했다.A씨는 이어 “5일 오전까지만 해도 약간의 손실을 감수한다면 충분히 포지션을 변경하거나 축소할 시간적 여유가 있었다고 판단된다”면서 “하지만 (운용역이 안이하게 대응하면서) 당일 오후 주가가 급락하면서 각 계좌에 필요한 추가 증거금(마진콜)이 늘어났고 운용 인력 두 명이 제대로 대응하지 못해 큰 손실로 이어졌다”고 말했다. 랩어카운트 운용과 관리에 있어 허점이 있었다는 것이다. 하나증권 측은 이 같은 고객 주장에 대해 입장을 밝히지 않았다.앞서 공모주 투자상품을 주로 운용하는 디와이자산운용도 지난 5일 증시 폭락장에서 옵션 양매도 전략을 펼쳤다가 사모펀드 수익률이 폭락하기도 했다. 디와이자산운용의 운용자산(AUM)은 지난 2일 1373억원에서 주가가 폭락해 ‘블랙먼데이’였던 지난 5일 755억원으로 45%나 쪼그라들었다.과거 옵션 양매도로 큰 손실을 입어 파산 위기에 몰린 자산운용사도 있었다. 와이즈에셋자산운용은 지난 2010년 당시 공모형 펀드 자금을 운영하는 전략으로 옵션 양매도를 하다 순자산보다 6배 큰 손실을 내면서 파산 위기에 몰리기도 했다.증권업계 관계자는 “옵션 양매도는 평상시에는 높은 확률로 일정한 수익을 얻을 수 있지만 갑자기 시장 변동성이 커지면 대규모 손실을 입을 수 있는 전략으로 고객에게 위험을 제대로 설명하지 않으면 다툼이 커질 수 있는 상품”이라면서 “지난 2008년 금융위기 당시 옵션 양매도로 자금을 굴리던 부티크 대표들도 큰 손실을 입고 극단적 선택을 한 사실이 있다”고 말했다."
2023-05-13,SG發 매도 쏟아져… 또 주가급락 사태,"디와이피엔에프 하한가, 신대양제지는 24% 떨어져디와이피엔에프주가 무더기 하한가 충격이 채 가시기도 전에 유사한 주가 급락이 재발했다. 3주전 첫 폭락 때처럼 이번에도 프랑스계 증권사SG증권의 ‘빚투(빚을 내서 하는 투자)’ 계좌에서 매도가 쏟아졌다.12일 코스닥에 상장된 기계·장비 업체 디와이피엔에프는 장 초반부터 하한가(-29.93%)로 추락한 뒤 그대로 거래를 마쳤다. 코스피 상장사인 신대양제지 주가도 장중 한때 28%까지 급락했다가 소폭 만회한 뒤 24.64% 하락 마감했다.증권 업계에서는 빚투를 한 투자자들이 주가가 떨어진 뒤 담보금을 채워 넣지 못하자, 증권사가 주식을 강제로 매각하는 반대매매가 일어났기 때문으로 보고 있다. 이날 두 종목의 매도 상위 증권사에는 빚투 계약을 주로 하는 외국계 증권사인SG와 모건스탠리가 포함됐다.유통 주식 비율이 낮고, 신용 융자 비율이 높은 점은 지난달 폭락한 8종목과 유사했다. 최근 2~3년간 주가가 지속적으로 오른 점도 비슷했다.이에 따라 라덕연 H투자자문사 대표와 같은 시세조종 세력이 주가를 끌어올렸다가 전날 금융 당국이 “빚투 계좌 3400여 개를 전수 조사하겠다”고 하자 매물을 던진 것 아니냐는 추정도 제기된다.다만 이날 디와이피엔에프 주주로 추정되는 한 개인 투자자는 “이번 하락은 선광·대성홀딩스 등 (지난달 주가 폭락) 사태와 관련이 없다”며 “레버리지(빚)를 사용해 투자하다가 반대매매를 당했다. 돈을 하나도 못 벌고 나가게 됐고 피해를 본 다른 투자자와 회사 측에 사과드린다”고 밝혔다.신대양제지의 경우 이날 하한가 직전까지 떨어졌다가 하락 폭이 줄어든 것을 볼 때 다음 주 추가 폭락 가능성은 크지 않다는 것이 증시 전문가들 평가다.금융위원회는 “주가조작 세력이 결부됐는지 여부는 추후 조사가 이뤄져야 부분으로 현재로서는 확인할 수 없다”며 “세력이 서로 짜고 주가를 올린 것이 아니라면 불법으로 보기는 힘들다”고 말했다."
2024-07-23,[부음] ‘부채도사’ 코미디언 장두석 별세 외,"장두석. /뉴시스‘부채도사’ 코미디언 장두석 별세’부채도사’로 유명한 개그맨 장두석(66)이 22일 별세했다. 1980년TBC로 데뷔해 ‘유머 1번지’,‘쇼 비디오 자키’ 등에 출연했다. 동료 이봉원과 호흡을 맞춘 ‘시커먼스’로도 인기를 얻었다. 빈소는 서울 여의도성모장례식장, 발인은 24일 8시.▲김승오월남전 참전 유공자 별세,조정순남편상,김형집사빅코리아 부장·김유나부친상,장동두한국철도기술연구원 책임연구원 장인상,배현정맥킨지앤드컴퍼니 대외협력팀 이사 시부상=22일6시 신촌세브란스병원, 발인 24일5시, (02)2227-7500▲김태희별세,최재영샘글로벌 고문·최선희케어 대표·최양하前 한샘 회장·최영희·최대양디와이인터내쇼날 대표·최진영샘글로벌 대표 모친상,박천표·김상조장모상,김정애·원유란·강미영·전영애시모상=21일14시11분 서울아산병원, 발인 24일7시, (02)3010-2000▲안도섭별세,안애란·안영란·안용락·안용철부친상,홍승연·정일규장인상,임주연시부상,안가연·안현진·안석진·안은비조부상,홍인성·홍기성·정직한외조부상=20일 17시 서울 상계백병원, 발인 23일7시, (02)938-5320▲이형구별세,이수정·이현정부친상,김상우보민한의원 원장·김동우케이뱅크 커뮤니케이션팀 팀장 장인상=22일2시50분 삼성서울병원, 발인 24일7시, (02)3410-3151"
2024-05-17,[부음] 김석중 前 서울 홍은초 교장 별세 외,"▲김석중前 서울 홍은초 교장 별세,홍영희남편상,김영재부친상=15일23시42분 신촌세브란스병원, 발인 17일13시, (02)2227-7560▲김용득별세,김원수·김원길·김원철서희건설 대표 부친상=16일14시30분 김해한솔병원, 발인 18일9시, (055)321-6624▲이상희별세,홍기영한국금융신문 부사장·홍기성·홍진희모친상,양승규디와이프라텍 상무 장모상=16일4시 한림대성심병원, 발인 18일8시30분, (031)384-1247▲조영희별세,홍영민·홍영수·홍민균티쓰리엔터테인먼트 대표 모친상=16일3시 서울성모병원, 발인 18일6시, (02)2258-5961"
2023-10-05,최불암 스타트 마약 ‘NO EXIT 캠페인’ 조좌진 디와이피엔에프 동참…“마약은 지옥”,"강남 학원가 마약 음료 사건 등 마약범죄가 사회적 이슈다. 이에 경찰청은 지난 4월 26일부터 마약퇴치운동본부와 합동으로 사회관계망서비스(SNS)  ‘노 엑시트 캠페인’을 진행하고 있다. 경찰은 마약을 ‘공동체를 파괴하는 테러와 같은 범죄’로 규정하고, 마약 근절을 위한 적극 대응과 국민의 의지 확산을 위해 이번 캠페인을 추진했다.캠페인은 ‘출구 없는 미로(NOEXIT)’ ‘마약 절대 시작하지 마세요’라는 글로 형상화한 이미지와 함께 인증사진을 촬영, 다음 주자 2명 지목과 함께 페이스북과 인스타그램 등 개인 또는 기관SNS계정에 게시하면 참여가 완료된다.분체이송시스템 글로벌TOP3 기업, 디와이피엔에프㈜ 조좌진 회장도 지난 4일 강성묵 하나증권 대표이사의 지목을 받아 캠페인에 참여했다. 조 회장은 이날 “마약은 중독성이 강해 빠져나오기 힘든 개미지옥과 같다”며 “개인은 물론 가족까지 지옥의 삶을 살 수 있다”고 말했다. 이어 “마약과 범죄로부터 안전하고 건강한 사회문화 조성을 위해 디와이피엔에프의 모든 임직원이 함께 노력하겠다”고 덧붙였다.디와이피엔에프 조좌진 회장(가운데)이 지난 4일 임직원들과 함께 마약예방 ‘노 엑시트(NOEXIT)’ 캠페인에 참여했다. 사진=디와이피엔에프조 회장은 다음 주자로 서창록 고려대학교 교수와 황인환 코위버㈜ 회장을 추천했다.캠페인 동참을 위한 이미지는 경찰청 공식 홈페이지나 블로그에서 다운로드할 수 있다. 지목을 받지 않았더라도 누구나 자발적으로 인증사진을 찍고 후속 주자를 지명해 캠페인에 동참할 수 있다.한편 첫 주자는 원로배우 최불암 씨였다. ‘노 엑시트 캠페인’은 연말까지 250일간 진행될 예정이다."
2024-11-22,위기때 고용 유지…롯데월드·비츠로셀 노사문화 대통령상,"━고용부 주최 노사문화대상호텔롯데 롯데월드가 운영하는 임직원 소통 프로그램 타운홀미팅. [사진 노사발전재단]호텔롯데 롯데월드, 비츠로셀이 2024년 노사문화대상 대통령상을 받았다. 고용노동부가 주최하고 노사발전재단이 주관하는 노사문화대상은 기업과 상생하는 노사문화를 실천하는 최우수 기업을 선정하고 지원하는 상이다.21일 고용부에 따르면 올해 노사문화대상은 최근 3년간 노사문화 우수기업으로 인증된 기업 가운데 상위 10개사를 선정했다. 대통령상을 받은 호텔롯데 롯데월드는 코로나19로 2020~2021년 영업이익이 창사 이래 최대 적자를 기록하는 등 경영 악화를 겪었지만, 임직원과 고용 유지 협약을 맺고 임금 동결·반납, 전환배치에 합의하며 노사가 상생 노력을 기울였다는 평가를 받았다. 이후 회사는 2022~2023년 사상 최대 매출을 기록하며 반등에 성공했고, 회사는 역대 최대 규모의 성과급 지급과 임금 인상으로 근로자의 고통 분담을 보상했다.호텔롯데 롯데월드는 ‘창조적 노사문화 구축’을 목표로 타운홀미팅 등 임직원과의 소통 활동을 이어왔다. 직원이 참여한 ‘아이디어 게임’을 통해 발굴된 신규 사업 아이디어는 실제 매출과 이익 창출로 이어지기도 했다. 또 직원 의견 수렴을 통해 임금피크제 감액률 조정 등 노사 합의를 이뤄냈다. 아울러 노사는 소외된 이웃을 초청하는 ‘드림티켓’과 서울대어린이병원에 ‘찾아가는 테마파크’ 행사 등을 통해 지역사회와의 공동체 가치 창출 노력을 실천했다.비츠로셀의 노사 대표가 현안을 협의하기 위해 분기마다 개최하는 노사협의회. [사진 노사발전재단]일차전지 제조 기업 비츠로셀은 2017년 공장의 90% 이상이 소실되는 화재에도 노사의 초기 비상 대응 체계가 가동되며 단 한 명의 인적 피해 없이 사고에 대응했다. 공장을 모두 복구할 때까지 모든 직원에게 유급휴직을 주면서 전원 고용을 유지했고, 이는 노사 간 신뢰를 공고히 했다는 평을 받았다.화재 복구 이후 회사는 고통을 분담한 임직원에게 보상하기 위해 회사 주식 22만 주(스톡그랜트)를 지급했다. 또 코로나19 이후 실질급여 감소분을 보전한다는 취지로 급여 대비 인센티브(현금+주식) 지급률도 2021년 50%에서 지난해 250%로 대폭 상향했다. 비츠로셀은 노사협의회를 운영하며 근로자의 목소리를 반영해 현장직에 대한 정기 상여제를 도입했고, 지난해엔 상여금 비율도 300%로 올렸다.노사문화대상을 수상한 기업은 앞으로 3년 동안 정기 근로감독에서 면제되고, 은행 대출 때 금리 우대를 받는 등 행정·금융상 혜택을 받을 수 있다. 선정 기업에 대한 시상은 오는 12월 노사문화유공 정부포상 시상식에서 진행될 예정이다. 이하 수상기업 명단.◆국무총리상▶디와이이노베이트=2016년부터 4년간 지속된 기업분할 등 위기 상황에도 노사가 합심, 휴업·복지후생비 축소 등 자구 노력으로 극복.▶오리엔탈정공=2012년 워크아웃, 2018년 조선업 불황에 따른 경영 위기 상황을 노사 간 대화와 양보를 통해 극복, 44년간 단 한 차례의 분규 없이 안정적 노사관계 지속.◆고용노동부 장관상 ▶대구텍 ▶엠에이치앤코 ▶파라다이스세가사미 ▶화신정공 ▶미원화학 ▶한국남동발전 영동에코발전본부"
2024-11-21,위기에도 ‘고용 유지’ 롯데월드·비츠로셀…노사문화대상 대통령상,"호텔롯데 롯데월드, 비츠로셀이 2024년 노사문화대상 대통령상을 수상했다. 고용노동부가 주최하고 노사발전재단이 주관하는 노사문화대상은 기업과 상생하는 노사문화를 실천하는 최우수 기업을 선정하고 지원하는 상이다.롯데월드 노사 대표가 지난 7월 전 임직원과 함께 개원 35주년 기념식에 참석했다. 사진 노사발전재단21일 고용부에 따르면 올해 노사문화대상은 최근 3년간 노사문화 우수기업으로 인증된 기업 가운데 상위 10개사를 선정했다. 대통령상을 받은 호텔롯데 롯데월드는 코로나19로 2020~2021년 영업이익이 창사 이래 최대 적자를 기록하는 등 경영 악화를 겪었지만, 임직원과 고용 유지 협약을 맺고 임금 동결‧반납, 전환배치에 합의하며 노사가 상생 노력을 기울였다는 평가를 받았다. 이후 회사는 2022~2023년 사상 최대 매출을 기록하며 반등에 성공했고, 회사는 역대 최대 규모의 성과급 지급과 임금 인상으로 근로자의 고통 분담을 보상했다.호텔롯데 롯데월드는 ‘창조적 노사문화 구축’을 목표로 타운홀미팅 등 임직원과의 소통 활동을 이어왔다. 직원이 참여한 ‘아이디어 게임’을 통해 발굴된 신규 사업 아이디어는 실제 매출과 이익 창출로 이어지기도 했다. 또 직원 의견 수렴을 통해 임금피크제 감액률 조정 등 노사 합의를 이뤄냈다. 아울러 노사는 소외된 이웃을 초청하는 ‘드림티켓’과 서울대어린이병원에 ‘찾아가는 테마파크’ 행사 등을 통해 지역사회와의 공동체 가치 창출 노력을 실천했다.일차전지 제조 기업 비츠로셀은 2017년 공장의 90% 이상이 소실되는 화재에도 노사의 초기 비상 대응 체계가 가동되며 단 한 명의 인적 피해 없이 사고에 대응했다. 공장을 모두 복구할 때까지 모든 직원에게 유급휴직을 주면서 전원 고용을 유지했고, 이는 노사 간 신뢰를 공고히 했다는 평을 받았다.비츠로셀의 노사 대표가 현안을 협의하기 위해 분기마다 개최하는 노사협의회. 사진 노사발전재단화재 복구 이후 회사는 고통을 분담한 임직원에게 보상하기 위해 회사 주식 22만 주(스톡그랜트)를 지급했다. 또 코로나19 이후 실질급여 감소분을 보전한다는 취지로 급여 대비 인센티브(현금+주식) 지급률도 2021년 50%에서 지난해 250%로 대폭 상향했다.비츠로셀은 노사협의회를 운영하며 근로자의 목소리를 반영해 현장직에 대한 정기 상여제를 도입했고, 지난해엔 상여금 비율도 300%로 올렸다. 노사는 일찍부터 정년 60세 연장(2014년), 임금피크제 폐지(2021년) 등에 합의했다. 직원이 원하는 혜택을 직접 고를 수 있는 선택적 복리후생제도(복지포인트)도 운영 중이다노사문화대상을 수상한 기업은 앞으로 3년 동안 정기 근로감독에서 면제되고, 은행 대출 때 금리 우대를 받는 등 행정‧금융상 혜택을 받을 수 있다. 선정 기업에 대한 시상은 오는 12월 노사문화유공 정부포상 시상식에서 진행될 예정이다. 이하 수상기업 명단.◆국무총리상▶디와이이노베이트=2016년부터 4년간 지속된 기업분할 등 위기 상황에도 노사가 합심, 휴업‧복지후생비 축소 등 자구 노력으로 극복. ▶오리엔탈정공=2012년 워크아웃, 2018년 조선업 불황에 따른 경영 위기 상황을 노사 간 대화와 양보를 통해 극복, 44년간 단 한 차례의 분규 없이 안정적 노사관계 지속.◆고용노동부 장관상 ▶대구텍 ▶엠에이치앤코 ▶파라다이스세가사미 ▶화신정공 ▶미원화학 ▶한국남동발전 영동에코발전본부"
2022-03-18,"기술력 인정 받은 25개 韓 부품사, 美 GM ‘올해의 협력사’ 선정","제너럴모터스(GM)가 17일(현지시간) 미국 애리조나주에서 ‘제 30회 올해의 협력사 시상식’을 개최했다. [사진GM]한국 자동차 부품업체 25곳이 미국 제너럴모터스(GM)의 우수 협력사로 뽑혔다.GM은 17일(현지시간) 미국 애리조나주 피닉스에서 ‘제30회 올해의 우수 협력사(SupplieroftheYear)’를 발표하고 시상식을 개최했다. 올해의 우수 협력사는GM에 납품하는 전 세계 1만여 이상 협력사 중 부품의 품질·물류·공급망 등이 상대적으로 우수하다고 평가받은 상위 1% 안팎의 부품 기업에 주어지는 상이다.GM은 올해 16개국 134개 기업을 선정했다.134개 우수 협력사를 국적별로 구분하면, 한국은 두 번째로 많은 우수 기업을 배출했다(25개사). 현대차그룹 계열사로는 현대글로비스와 현대모비스가 우수 협력사로 꼽혔고, 한국앤컴퍼니 계열사로는 한국앤컴퍼니와 한국타이어앤테크놀로지가 이 상을 받았다. 만도,KCC글라스, 남선알미늄도 같은 상을 수상했다.5년 연속 우수 협력사로 꼽힌 한온시스템은 “제품 제조와 고객 관리, 애프터서비스, 물류 부문에서 좋은 평가를 받아 올해의 우수 협력사로 뽑혔다”고 분석했다. 이 회사가 올해의 우수 협력사로 뽑힌 건 이번이 7번째다.미국 콜로라도주 잉글우드에 위치한 제너럴모터스(GM) 대리점에 쉐보레 볼트EV가 전시되어 있다. [AP=연합뉴스]천일엔지니어링 등 4개사, 오버드라이브상특히 천일엔지니어링은 올해의 우수 협력사로 뽑히면서, 동시에GM오버드라이브 상(GMOverdriveAward)을 동시에 수상했다. 오버드라이브 상은GM의 글로벌 구매·공급망 영역에서 탁월한 성과를 보인 공급업체를 표창하기 위해 제정한 특별상이다. 천일엔지니어링과 함께GM오버드라이브 상을 받은 한국 기업은LG화학·LG에너지솔루션·LG전자 등 4개사다.실판 아민GM글로벌구매·공급망 담당(부사장)은 “자동차 업계가 난관에 직면했지만, 우수 협력사는 지속가능한 발전과 혁신을 추구했다”며 “GM과 함께 더 나은 미래를 창조할 것”이라고 말했다.▶GM선정 ‘올해의 협력사’에 뽑힌 한국 기업한국앤컴퍼니, 오스템, 천일정기화물자동차, 천일엔지니어링, 코아비스, 대용산업, 대원강업, 디티알, 디와이오토, 현대글로비스, 지엔에스케이텍, 한국타이어앤테크놀로지. 한온시스템, 일진글로벌, 제이피씨오토모티브,KCC글라스, 케이엠앤아이, 광진기계, 만도, 현대모비스, 남선알미늄 자동차사업부문, 세일인텍, 에스엘, 성우하이텍, 우신세이프티시스템"
